Year,Géographie,GeoCode,Type de famille économique,Value
2020,Canada,,Couples avec d'autres personnes apparentées,139000.0
2015,Canada,,Familles monoparentales,49100.0
2016,Canada,,Familles monoparentales,48200.0
2017,Canada,,Familles monoparentales,52700.0
2018,Canada,,Familles monoparentales,53800.0
2019,Canada,,Familles monoparentales,58900.0
2020,Canada,,Familles monoparentales,61300.0
2015,Canada,,Familles monoparentales ayant un homme à leur tête,62400.0
2016,Canada,,Familles monoparentales ayant un homme à leur tête,58400.0
2017,Canada,,Familles monoparentales ayant un homme à leur tête,65800.0
2018,Canada,,Familles monoparentales ayant un homme à leur tête,61700.0
2019,Canada,,Familles monoparentales ayant un homme à leur tête,68500.0
2020,Canada,,Familles monoparentales ayant un homme à leur tête,67800.0
2015,Canada,,Familles monoparentales ayant une femme à leur tête,46100.0
2016,Canada,,Familles monoparentales ayant une femme à leur tête,44200.0
2017,Canada,,Familles monoparentales ayant une femme à leur tête,50100.0
2018,Canada,,Familles monoparentales ayant une femme à leur tête,52100.0
2019,Canada,,Familles monoparentales ayant une femme à leur tête,55600.0
2020,Canada,,Familles monoparentales ayant une femme à leur tête,59700.0
2015,Canada,,Autres familles de personnes non âgées,73200.0
2016,Canada,,Autres familles de personnes non âgées,75000.0
2017,Canada,,Autres familles de personnes non âgées,75300.0
2018,Canada,,Autres familles de personnes non âgées,77600.0
2019,Canada,,Autres familles de personnes non âgées,78900.0
2020,Canada,,Autres familles de personnes non âgées,86500.0
2015,Canada,,Personnes hors famille économique,30600.0
2016,Canada,,Personnes hors famille économique,30900.0
2017,Canada,,Personnes hors famille économique,31600.0
2018,Canada,,Personnes hors famille économique,31500.0
2019,Canada,,Personnes hors famille économique,32200.0
2020,Canada,,Personnes hors famille économique,34500.0
2015,Canada,,Personnes âgées hors famille économique,28500.0
2016,Canada,,Personnes âgées hors famille économique,28100.0
2017,Canada,,Personnes âgées hors famille économique,28900.0
2018,Canada,,Personnes âgées hors famille économique,28800.0
2019,Canada,,Personnes âgées hors famille économique,29500.0
2020,Canada,,Personnes âgées hors famille économique,31400.0
2015,Canada,,Hommes âgés hors famille économique,29600.0
2016,Canada,,Hommes âgés hors famille économique,29300.0
2017,Canada,,Hommes âgés hors famille économique,30400.0
2018,Canada,,Hommes âgés hors famille économique,30700.0
2019,Canada,,Hommes âgés hors famille économique,31400.0
2020,Canada,,Hommes âgés hors famille économique,33700.0
2015,Canada,,Femmes âgées hors famille économique,27900.0
2016,Canada,,Femmes âgées hors famille économique,27600.0
2017,Canada,,Femmes âgées hors famille économique,28100.0
2018,Canada,,Femmes âgées hors famille économique,28500.0
2019,Canada,,Femmes âgées hors famille économique,28700.0
2020,Canada,,Femmes âgées hors famille économique,30500.0
2015,Canada,,Personnes non âgées hors famille économique,31900.0
2016,Canada,,Personnes non âgées hors famille économique,32300.0
2017,Canada,,Personnes non âgées hors famille économique,33000.0
2018,Canada,,Personnes non âgées hors famille économique,33000.0
2019,Canada,,Personnes non âgées hors famille économique,33800.0
2020,Canada,,Personnes non âgées hors famille économique,35900.0
2015,Canada,,Hommes non âgés hors famille économique,34500.0
2016,Canada,,Hommes non âgés hors famille économique,34400.0
2017,Canada,,Hommes non âgés hors famille économique,34800.0
2018,Canada,,Hommes non âgés hors famille économique,34000.0
2019,Canada,,Hommes non âgés hors famille économique,36000.0
2020,Canada,,Hommes non âgés hors famille économique,37700.0
2015,Canada,,Femmes non âgées hors famille économique,28300.0
2016,Canada,,Femmes non âgées hors famille économique,29900.0
2017,Canada,,Femmes non âgées hors famille économique,31300.0
2018,Canada,,Femmes non âgées hors famille économique,31500.0
2019,Canada,,Femmes non âgées hors famille économique,31800.0
2020,Canada,,Femmes non âgées hors famille économique,33500.0
2015,Provinces de l'Atlantique,,Familles économiques et personnes hors famille économique,54200.0
2016,Provinces de l'Atlantique,,Familles économiques et personnes hors famille économique,54400.0
2017,Provinces de l'Atlantique,,Familles économiques et personnes hors famille économique,53900.0
2018,Provinces de l'Atlantique,,Familles économiques et personnes hors famille économique,55000.0
2019,Provinces de l'Atlantique,,Familles économiques et personnes hors famille économique,54800.0
2020,Provinces de l'Atlantique,,Familles économiques et personnes hors famille économique,57800.0
2015,Provinces de l'Atlantique,,Familles économiques,74600.0
2016,Provinces de l'Atlantique,,Familles économiques,73200.0
2017,Provinces de l'Atlantique,,Familles économiques,73500.0
2018,Provinces de l'Atlantique,,Familles économiques,73700.0
2019,Provinces de l'Atlantique,,Familles économiques,74300.0
2020,Provinces de l'Atlantique,,Familles économiques,80800.0
2015,Provinces de l'Atlantique,,Familles de personnes âgées,53200.0
2016,Provinces de l'Atlantique,,Familles de personnes âgées,55700.0
2017,Provinces de l'Atlantique,,Familles de personnes âgées,55900.0
2018,Provinces de l'Atlantique,,Familles de personnes âgées,57800.0
2019,Provinces de l'Atlantique,,Familles de personnes âgées,56900.0
2020,Provinces de l'Atlantique,,Familles de personnes âgées,61800.0
2015,Provinces de l'Atlantique,,Couples de personnes âgées,52500.0
2016,Provinces de l'Atlantique,,Couples de personnes âgées,54500.0
2017,Provinces de l'Atlantique,,Couples de personnes âgées,55700.0
2018,Provinces de l'Atlantique,,Couples de personnes âgées,57000.0
2019,Provinces de l'Atlantique,,Couples de personnes âgées,56300.0
2020,Provinces de l'Atlantique,,Couples de personnes âgées,59300.0
2015,Provinces de l'Atlantique,,Autres familles de personnes âgées,56600.0
2016,Provinces de l'Atlantique,,Autres familles de personnes âgées,66100.0
2017,Provinces de l'Atlantique,,Autres familles de personnes âgées,56700.0
2018,Provinces de l'Atlantique,,Autres familles de personnes âgées,63200.0
2019,Provinces de l'Atlantique,,Autres familles de personnes âgées,63300.0
2020,Provinces de l'Atlantique,,Autres familles de personnes âgées,76100.0
2015,Provinces de l'Atlantique,,Familles de personnes non âgées,82600.0
2016,Provinces de l'Atlantique,,Familles de personnes non âgées,80800.0
2017,Provinces de l'Atlantique,,Familles de personnes non âgées,80500.0
2018,Provinces de l'Atlantique,,Familles de personnes non âgées,80800.0
2019,Provinces de l'Atlantique,,Familles de personnes non âgées,80900.0
2020,Provinces de l'Atlantique,,Familles de personnes non âgées,87800.0
2015,Provinces de l'Atlantique,,Couples,73400.0
2016,Provinces de l'Atlantique,,Couples,75900.0
2017,Provinces de l'Atlantique,,Couples,73900.0
2018,Provinces de l'Atlantique,,Couples,73100.0
2019,Provinces de l'Atlantique,,Couples,75300.0
2020,Provinces de l'Atlantique,,Couples,77700.0
2015,Provinces de l'Atlantique,,Couples avec des enfants,97600.0
2016,Provinces de l'Atlantique,,Couples avec des enfants,96400.0
2017,Provinces de l'Atlantique,,Couples avec des enfants,97400.0
2018,Provinces de l'Atlantique,,Couples avec des enfants,97400.0
2019,Provinces de l'Atlantique,,Couples avec des enfants,92600.0
2020,Provinces de l'Atlantique,,Couples avec des enfants,100300.0
2015,Provinces de l'Atlantique,,Couples avec d'autres personnes apparentées,111100.0
2016,Provinces de l'Atlantique,,Couples avec d'autres personnes apparentées,106600.0
2017,Provinces de l'Atlantique,,Couples avec d'autres personnes apparentées,110600.0
2018,Provinces de l'Atlantique,,Couples avec d'autres personnes apparentées,110400.0
2019,Provinces de l'Atlantique,,Couples avec d'autres personnes apparentées,118400.0
2020,Provinces de l'Atlantique,,Couples avec d'autres personnes apparentées,127000.0
2015,Provinces de l'Atlantique,,Familles monoparentales,41600.0
2016,Provinces de l'Atlantique,,Familles monoparentales,46500.0
2017,Provinces de l'Atlantique,,Familles monoparentales,47800.0
2018,Provinces de l'Atlantique,,Familles monoparentales,49200.0
2019,Provinces de l'Atlantique,,Familles monoparentales,54100.0
2020,Provinces de l'Atlantique,,Familles monoparentales,53100.0
2015,Provinces de l'Atlantique,,Familles monoparentales ayant un homme à leur tête,50600.0
2016,Provinces de l'Atlantique,,Familles monoparentales ayant un homme à leur tête,49300.0
2017,Provinces de l'Atlantique,,Familles monoparentales ayant un homme à leur tête,63100.0
2018,Provinces de l'Atlantique,,Familles monoparentales ayant un homme à leur tête,54900.0
2019,Provinces de l'Atlantique,,Familles monoparentales ayant un homme à leur tête,57400.0
2020,Provinces de l'Atlantique,,Familles monoparentales ayant un homme à leur tête,60800.0
2015,Provinces de l'Atlantique,,Familles monoparentales ayant une femme à leur tête,40300.0
2016,Provinces de l'Atlantique,,Familles monoparentales ayant une femme à leur tête,45400.0
2017,Provinces de l'Atlantique,,Familles monoparentales ayant une femme à leur tête,45300.0
2018,Provinces de l'Atlantique,,Familles monoparentales ayant une femme à leur tête,47300.0
2019,Provinces de l'Atlantique,,Familles monoparentales ayant une femme à leur tête,51100.0
2020,Provinces de l'Atlantique,,Familles monoparentales ayant une femme à leur tête,50100.0
2015,Provinces de l'Atlantique,,Autres familles de personnes non âgées,61400.0
2016,Provinces de l'Atlantique,,Autres familles de personnes non âgées,68700.0
2017,Provinces de l'Atlantique,,Autres familles de personnes non âgées,64900.0
2018,Provinces de l'Atlantique,,Autres familles de personnes non âgées,64500.0
2019,Provinces de l'Atlantique,,Autres familles de personnes non âgées,68500.0
2020,Provinces de l'Atlantique,,Autres familles de personnes non âgées,73600.0
2015,Provinces de l'Atlantique,,Personnes hors famille économique,26100.0
2016,Provinces de l'Atlantique,,Personnes hors famille économique,27400.0
2017,Provinces de l'Atlantique,,Personnes hors famille économique,28000.0
2018,Provinces de l'Atlantique,,Personnes hors famille économique,27700.0
2019,Provinces de l'Atlantique,,Personnes hors famille économique,28900.0
2020,Provinces de l'Atlantique,,Personnes hors famille économique,31000.0
2015,Provinces de l'Atlantique,,Personnes âgées hors famille économique,25400.0
2016,Provinces de l'Atlantique,,Personnes âgées hors famille économique,26200.0
2017,Provinces de l'Atlantique,,Personnes âgées hors famille économique,27100.0
2018,Provinces de l'Atlantique,,Personnes âgées hors famille économique,25600.0
2019,Provinces de l'Atlantique,,Personnes âgées hors famille économique,26800.0
2020,Provinces de l'Atlantique,,Personnes âgées hors famille économique,28200.0
2015,Provinces de l'Atlantique,,Hommes âgés hors famille économique,28100.0
2016,Provinces de l'Atlantique,,Hommes âgés hors famille économique,27200.0
2017,Provinces de l'Atlantique,,Hommes âgés hors famille économique,28200.0
2018,Provinces de l'Atlantique,,Hommes âgés hors famille économique,26600.0
2019,Provinces de l'Atlantique,,Hommes âgés hors famille économique,27800.0
2020,Provinces de l'Atlantique,,Hommes âgés hors famille économique,30900.0
2015,Provinces de l'Atlantique,,Femmes âgées hors famille économique,24400.0
2016,Provinces de l'Atlantique,,Femmes âgées hors famille économique,25900.0
2017,Provinces de l'Atlantique,,Femmes âgées hors famille économique,26400.0
2018,Provinces de l'Atlantique,,Femmes âgées hors famille économique,25200.0
2019,Provinces de l'Atlantique,,Femmes âgées hors famille économique,25900.0
2020,Provinces de l'Atlantique,,Femmes âgées hors famille économique,27300.0
2015,Provinces de l'Atlantique,,Personnes non âgées hors famille économique,26800.0
2016,Provinces de l'Atlantique,,Personnes non âgées hors famille économique,28500.0
2017,Provinces de l'Atlantique,,Personnes non âgées hors famille économique,28900.0
2018,Provinces de l'Atlantique,,Personnes non âgées hors famille économique,29400.0
2019,Provinces de l'Atlantique,,Personnes non âgées hors famille économique,30400.0
2020,Provinces de l'Atlantique,,Personnes non âgées hors famille économique,32500.0
2015,Provinces de l'Atlantique,,Hommes non âgés hors famille économique,28700.0
2016,Provinces de l'Atlantique,,Hommes non âgés hors famille économique,29000.0
2017,Provinces de l'Atlantique,,Hommes non âgés hors famille économique,31200.0
2018,Provinces de l'Atlantique,,Hommes non âgés hors famille économique,31300.0
2019,Provinces de l'Atlantique,,Hommes non âgés hors famille économique,31300.0
2020,Provinces de l'Atlantique,,Hommes non âgés hors famille économique,33700.0
2015,Provinces de l'Atlantique,,Femmes non âgées hors famille économique,25600.0
2016,Provinces de l'Atlantique,,Femmes non âgées hors famille économique,28200.0
2017,Provinces de l'Atlantique,,Femmes non âgées hors famille économique,25600.0
2018,Provinces de l'Atlantique,,Femmes non âgées hors famille économique,28100.0
2019,Provinces de l'Atlantique,,Femmes non âgées hors famille économique,28600.0
2020,Provinces de l'Atlantique,,Femmes non âgées hors famille économique,31100.0
2015,Terre-Neuve-et-Labrador,10,Familles économiques et personnes hors famille économique,58300.0
2016,Terre-Neuve-et-Labrador,10,Familles économiques et personnes hors famille économique,60000.0
2017,Terre-Neuve-et-Labrador,10,Familles économiques et personnes hors famille économique,56900.0
2018,Terre-Neuve-et-Labrador,10,Familles économiques et personnes hors famille économique,59000.0
2019,Terre-Neuve-et-Labrador,10,Familles économiques et personnes hors famille économique,55900.0
2020,Terre-Neuve-et-Labrador,10,Familles économiques et personnes hors famille économique,59300.0
2015,Terre-Neuve-et-Labrador,,Familles économiques,82400.0
2016,Terre-Neuve-et-Labrador,,Familles économiques,77100.0
2017,Terre-Neuve-et-Labrador,,Familles économiques,75300.0
2018,Terre-Neuve-et-Labrador,,Familles économiques,74200.0
2019,Terre-Neuve-et-Labrador,,Familles économiques,74100.0
2020,Terre-Neuve-et-Labrador,,Familles économiques,82700.0
2015,Terre-Neuve-et-Labrador,,Familles de personnes âgées,45400.0
2016,Terre-Neuve-et-Labrador,,Familles de personnes âgées,48900.0
2017,Terre-Neuve-et-Labrador,,Familles de personnes âgées,51600.0
2018,Terre-Neuve-et-Labrador,,Familles de personnes âgées,53000.0
2019,Terre-Neuve-et-Labrador,,Familles de personnes âgées,48400.0
2020,Terre-Neuve-et-Labrador,,Familles de personnes âgées,55900.0
2015,Terre-Neuve-et-Labrador,,Couples de personnes âgées,43400.0
2016,Terre-Neuve-et-Labrador,,Couples de personnes âgées,44000.0
2017,Terre-Neuve-et-Labrador,,Couples de personnes âgées,50700.0
2018,Terre-Neuve-et-Labrador,,Couples de personnes âgées,50700.0
2019,Terre-Neuve-et-Labrador,,Couples de personnes âgées,46300.0
2020,Terre-Neuve-et-Labrador,,Couples de personnes âgées,53100.0
2015,Terre-Neuve-et-Labrador,,Autres familles de personnes âgées,59100.0
2016,Terre-Neuve-et-Labrador,,Autres familles de personnes âgées,
2017,Terre-Neuve-et-Labrador,,Autres familles de personnes âgées,55900.0
2018,Terre-Neuve-et-Labrador,,Autres familles de personnes âgées,62400.0
2019,Terre-Neuve-et-Labrador,,Autres familles de personnes âgées,70100.0
2020,Terre-Neuve-et-Labrador,,Autres familles de personnes âgées,79800.0
2015,Terre-Neuve-et-Labrador,,Familles de personnes non âgées,93000.0
2016,Terre-Neuve-et-Labrador,,Familles de personnes non âgées,86400.0
2017,Terre-Neuve-et-Labrador,,Familles de personnes non âgées,84500.0
2018,Terre-Neuve-et-Labrador,,Familles de personnes non âgées,87100.0
2019,Terre-Neuve-et-Labrador,,Familles de personnes non âgées,83600.0
2020,Terre-Neuve-et-Labrador,,Familles de personnes non âgées,92000.0
2015,Terre-Neuve-et-Labrador,,Couples,76700.0
2016,Terre-Neuve-et-Labrador,,Couples,82300.0
2017,Terre-Neuve-et-Labrador,,Couples,75300.0
2018,Terre-Neuve-et-Labrador,,Couples,74200.0
2019,Terre-Neuve-et-Labrador,,Couples,76500.0
2020,Terre-Neuve-et-Labrador,,Couples,79000.0
2015,Terre-Neuve-et-Labrador,,Couples avec des enfants,104900.0
2016,Terre-Neuve-et-Labrador,,Couples avec des enfants,101500.0
2017,Terre-Neuve-et-Labrador,,Couples avec des enfants,109200.0
2018,Terre-Neuve-et-Labrador,,Couples avec des enfants,105600.0
2019,Terre-Neuve-et-Labrador,,Couples avec des enfants,96100.0
2020,Terre-Neuve-et-Labrador,,Couples avec des enfants,105500.0
2015,Terre-Neuve-et-Labrador,,Couples avec d'autres personnes apparentées,136600.0
2016,Terre-Neuve-et-Labrador,,Couples avec d'autres personnes apparentées,113600.0
2017,Terre-Neuve-et-Labrador,,Couples avec d'autres personnes apparentées,123800.0
2018,Terre-Neuve-et-Labrador,,Couples avec d'autres personnes apparentées,113300.0
2019,Terre-Neuve-et-Labrador,,Couples avec d'autres personnes apparentées,119000.0
2020,Terre-Neuve-et-Labrador,,Couples avec d'autres personnes apparentées,131700.0
2015,Terre-Neuve-et-Labrador,,Familles monoparentales,36300.0
2016,Terre-Neuve-et-Labrador,,Familles monoparentales,50700.0
2017,Terre-Neuve-et-Labrador,,Familles monoparentales,42200.0
2018,Terre-Neuve-et-Labrador,,Familles monoparentales,49700.0
2019,Terre-Neuve-et-Labrador,,Familles monoparentales,46700.0
2020,Terre-Neuve-et-Labrador,,Familles monoparentales,47600.0
2015,Terre-Neuve-et-Labrador,,Familles monoparentales ayant un homme à leur tête,
2016,Terre-Neuve-et-Labrador,,Familles monoparentales ayant un homme à leur tête,
2017,Terre-Neuve-et-Labrador,,Familles monoparentales ayant un homme à leur tête,
2018,Terre-Neuve-et-Labrador,,Familles monoparentales ayant un homme à leur tête,
2019,Terre-Neuve-et-Labrador,,Familles monoparentales ayant un homme à leur tête,
2020,Terre-Neuve-et-Labrador,,Familles monoparentales ayant un homme à leur tête,
2015,Terre-Neuve-et-Labrador,,Familles monoparentales ayant une femme à leur tête,31700.0
2016,Terre-Neuve-et-Labrador,,Familles monoparentales ayant une femme à leur tête,50700.0
2017,Terre-Neuve-et-Labrador,,Familles monoparentales ayant une femme à leur tête,39800.0
2018,Terre-Neuve-et-Labrador,,Familles monoparentales ayant une femme à leur tête,47800.0
2019,Terre-Neuve-et-Labrador,,Familles monoparentales ayant une femme à leur tête,45800.0
2020,Terre-Neuve-et-Labrador,,Familles monoparentales ayant une femme à leur tête,46200.0
2015,Terre-Neuve-et-Labrador,,Autres familles de personnes non âgées,74100.0
2016,Terre-Neuve-et-Labrador,,Autres familles de personnes non âgées,75100.0
2017,Terre-Neuve-et-Labrador,,Autres familles de personnes non âgées,67800.0
2018,Terre-Neuve-et-Labrador,,Autres familles de personnes non âgées,68600.0
2019,Terre-Neuve-et-Labrador,,Autres familles de personnes non âgées,55200.0
2020,Terre-Neuve-et-Labrador,,Autres familles de personnes non âgées,84900.0
2015,Terre-Neuve-et-Labrador,,Personnes hors famille économique,24600.0
2016,Terre-Neuve-et-Labrador,,Personnes hors famille économique,28200.0
2017,Terre-Neuve-et-Labrador,,Personnes hors famille économique,25400.0
2018,Terre-Neuve-et-Labrador,,Personnes hors famille économique,27100.0
2019,Terre-Neuve-et-Labrador,,Personnes hors famille économique,30300.0
2020,Terre-Neuve-et-Labrador,,Personnes hors famille économique,33000.0
2015,Terre-Neuve-et-Labrador,,Personnes âgées hors famille économique,23800.0
2016,Terre-Neuve-et-Labrador,,Personnes âgées hors famille économique,25900.0
2017,Terre-Neuve-et-Labrador,,Personnes âgées hors famille économique,25700.0
2018,Terre-Neuve-et-Labrador,,Personnes âgées hors famille économique,24200.0
2019,Terre-Neuve-et-Labrador,,Personnes âgées hors famille économique,25900.0
2020,Terre-Neuve-et-Labrador,,Personnes âgées hors famille économique,28700.0
2015,Terre-Neuve-et-Labrador,,Hommes âgés hors famille économique,27700.0
2016,Terre-Neuve-et-Labrador,,Hommes âgés hors famille économique,26700.0
2017,Terre-Neuve-et-Labrador,,Hommes âgés hors famille économique,26400.0
2018,Terre-Neuve-et-Labrador,,Hommes âgés hors famille économique,26200.0
2019,Terre-Neuve-et-Labrador,,Hommes âgés hors famille économique,26100.0
2020,Terre-Neuve-et-Labrador,,Hommes âgés hors famille économique,36000.0
2015,Terre-Neuve-et-Labrador,,Femmes âgées hors famille économique,22400.0
2016,Terre-Neuve-et-Labrador,,Femmes âgées hors famille économique,24500.0
2017,Terre-Neuve-et-Labrador,,Femmes âgées hors famille économique,25300.0
2018,Terre-Neuve-et-Labrador,,Femmes âgées hors famille économique,23700.0
2019,Terre-Neuve-et-Labrador,,Femmes âgées hors famille économique,25800.0
2020,Terre-Neuve-et-Labrador,,Femmes âgées hors famille économique,27200.0
2015,Terre-Neuve-et-Labrador,,Personnes non âgées hors famille économique,25600.0
2016,Terre-Neuve-et-Labrador,,Personnes non âgées hors famille économique,32500.0
2017,Terre-Neuve-et-Labrador,,Personnes non âgées hors famille économique,25200.0
2018,Terre-Neuve-et-Labrador,,Personnes non âgées hors famille économique,30100.0
2019,Terre-Neuve-et-Labrador,,Personnes non âgées hors famille économique,33900.0
2020,Terre-Neuve-et-Labrador,,Personnes non âgées hors famille économique,35500.0
2015,Terre-Neuve-et-Labrador,,Hommes non âgés hors famille économique,28800.0
2016,Terre-Neuve-et-Labrador,,Hommes non âgés hors famille économique,36000.0
2017,Terre-Neuve-et-Labrador,,Hommes non âgés hors famille économique,27800.0
2018,Terre-Neuve-et-Labrador,,Hommes non âgés hors famille économique,34400.0
2019,Terre-Neuve-et-Labrador,,Hommes non âgés hors famille économique,34900.0
2020,Terre-Neuve-et-Labrador,,Hommes non âgés hors famille économique,37500.0
2015,Terre-Neuve-et-Labrador,,Femmes non âgées hors famille économique,22800.0
2016,Terre-Neuve-et-Labrador,,Femmes non âgées hors famille économique,26200.0
2017,Terre-Neuve-et-Labrador,,Femmes non âgées hors famille économique,19600.0
2018,Terre-Neuve-et-Labrador,,Femmes non âgées hors famille économique,28400.0
2019,Terre-Neuve-et-Labrador,,Femmes non âgées hors famille économique,32000.0
2020,Terre-Neuve-et-Labrador,,Femmes non âgées hors famille économique,33100.0
2015,Île-du-Prince-Édouard,11,Familles économiques et personnes hors famille économique,55600.0
2016,Île-du-Prince-Édouard,11,Familles économiques et personnes hors famille économique,53200.0
2017,Île-du-Prince-Édouard,11,Familles économiques et personnes hors famille économique,52200.0
2018,Île-du-Prince-Édouard,11,Familles économiques et personnes hors famille économique,56200.0
2019,Île-du-Prince-Édouard,11,Familles économiques et personnes hors famille économique,57200.0
2020,Île-du-Prince-Édouard,11,Familles économiques et personnes hors famille économique,59400.0
2015,Île-du-Prince-Édouard,,Familles économiques,71800.0
2016,Île-du-Prince-Édouard,,Familles économiques,71400.0
2017,Île-du-Prince-Édouard,,Familles économiques,72600.0
2018,Île-du-Prince-Édouard,,Familles économiques,72500.0
2019,Île-du-Prince-Édouard,,Familles économiques,76800.0
2020,Île-du-Prince-Édouard,,Familles économiques,78800.0
2015,Île-du-Prince-Édouard,,Familles de personnes âgées,58100.0
2016,Île-du-Prince-Édouard,,Familles de personnes âgées,59500.0
2017,Île-du-Prince-Édouard,,Familles de personnes âgées,64300.0
2018,Île-du-Prince-Édouard,,Familles de personnes âgées,62300.0
2019,Île-du-Prince-Édouard,,Familles de personnes âgées,58500.0
2020,Île-du-Prince-Édouard,,Familles de personnes âgées,63300.0
2015,Île-du-Prince-Édouard,,Couples de personnes âgées,57600.0
2016,Île-du-Prince-Édouard,,Couples de personnes âgées,56500.0
2017,Île-du-Prince-Édouard,,Couples de personnes âgées,60800.0
2018,Île-du-Prince-Édouard,,Couples de personnes âgées,59800.0
2019,Île-du-Prince-Édouard,,Couples de personnes âgées,57600.0
2020,Île-du-Prince-Édouard,,Couples de personnes âgées,60100.0
2015,Île-du-Prince-Édouard,,Autres familles de personnes âgées,60600.0
2016,Île-du-Prince-Édouard,,Autres familles de personnes âgées,82000.0
2017,Île-du-Prince-Édouard,,Autres familles de personnes âgées,
2018,Île-du-Prince-Édouard,,Autres familles de personnes âgées,66400.0
2019,Île-du-Prince-Édouard,,Autres familles de personnes âgées,78800.0
2020,Île-du-Prince-Édouard,,Autres familles de personnes âgées,88600.0
2015,Île-du-Prince-Édouard,,Familles de personnes non âgées,77300.0
2016,Île-du-Prince-Édouard,,Familles de personnes non âgées,75600.0
2017,Île-du-Prince-Édouard,,Familles de personnes non âgées,76900.0
2018,Île-du-Prince-Édouard,,Familles de personnes non âgées,76600.0
2019,Île-du-Prince-Édouard,,Familles de personnes non âgées,81100.0
2020,Île-du-Prince-Édouard,,Familles de personnes non âgées,84800.0
2015,Île-du-Prince-Édouard,,Couples,68000.0
2016,Île-du-Prince-Édouard,,Couples,64800.0
2017,Île-du-Prince-Édouard,,Couples,67400.0
2018,Île-du-Prince-Édouard,,Couples,69900.0
2019,Île-du-Prince-Édouard,,Couples,76800.0
2020,Île-du-Prince-Édouard,,Couples,79900.0
2015,Île-du-Prince-Édouard,,Couples avec des enfants,89200.0
2016,Île-du-Prince-Édouard,,Couples avec des enfants,92800.0
2017,Île-du-Prince-Édouard,,Couples avec des enfants,86300.0
2018,Île-du-Prince-Édouard,,Couples avec des enfants,86100.0
2019,Île-du-Prince-Édouard,,Couples avec des enfants,91000.0
2020,Île-du-Prince-Édouard,,Couples avec des enfants,96300.0
2015,Île-du-Prince-Édouard,,Couples avec d'autres personnes apparentées,104900.0
2016,Île-du-Prince-Édouard,,Couples avec d'autres personnes apparentées,94900.0
2017,Île-du-Prince-Édouard,,Couples avec d'autres personnes apparentées,125100.0
2018,Île-du-Prince-Édouard,,Couples avec d'autres personnes apparentées,120600.0
2019,Île-du-Prince-Édouard,,Couples avec d'autres personnes apparentées,119900.0
2020,Île-du-Prince-Édouard,,Couples avec d'autres personnes apparentées,116700.0
2015,Île-du-Prince-Édouard,,Familles monoparentales,40500.0
2016,Île-du-Prince-Édouard,,Familles monoparentales,43100.0
2017,Île-du-Prince-Édouard,,Familles monoparentales,48200.0
2018,Île-du-Prince-Édouard,,Familles monoparentales,49400.0
2019,Île-du-Prince-Édouard,,Familles monoparentales,52400.0
2020,Île-du-Prince-Édouard,,Familles monoparentales,50000.0
2015,Île-du-Prince-Édouard,,Familles monoparentales ayant un homme à leur tête,
2016,Île-du-Prince-Édouard,,Familles monoparentales ayant un homme à leur tête,
