Year,Géographie,Groupe d'âge,Sexe,Revenu du ménage,Plus haut niveau de scolarité,Minorité visible,Statut d'immigration,GeoCode,Value
2015,Île-du-Prince-Édouard,18 à 34 ans,Hommes,,,,,11,67.5
2015,Île-du-Prince-Édouard,18 à 34 ans,Femmes,,,,,11,81.2
2015,Île-du-Prince-Édouard,35 à 49 ans,Les deux sexes,,,,,11,67.3
2015,Île-du-Prince-Édouard,35 à 49 ans,Hommes,,,,,11,66.8
2015,Île-du-Prince-Édouard,35 à 49 ans,Femmes,,,,,11,67.8
2015,Île-du-Prince-Édouard,50 à 64 ans,Les deux sexes,,,,,11,52.0
2015,Île-du-Prince-Édouard,50 à 64 ans,Hommes,,,,,11,42.7
2015,Île-du-Prince-Édouard,50 à 64 ans,Femmes,,,,,11,60.8
2015,Île-du-Prince-Édouard,65 ans et plus,Les deux sexes,,,,,11,51.8
2015,Île-du-Prince-Édouard,65 ans et plus,Hommes,,,,,11,46.0
2015,Île-du-Prince-Édouard,65 ans et plus,Femmes,,,,,11,56.9
2015,Nouvelle-Écosse,"Total, 18 ans et plus",Les deux sexes,,,,,12,57.9
2015,Nouvelle-Écosse,"Total, 18 ans et plus",Hommes,,,,,12,54.9
2015,Nouvelle-Écosse,"Total, 18 ans et plus",Femmes,,,,,12,60.7
2015,Nouvelle-Écosse,18 à 34 ans,Les deux sexes,,,,,12,66.4
2015,Nouvelle-Écosse,18 à 34 ans,Hommes,,,,,12,63.3
2015,Nouvelle-Écosse,18 à 34 ans,Femmes,,,,,12,69.4
2015,Nouvelle-Écosse,35 à 49 ans,Les deux sexes,,,,,12,64.3
2015,Nouvelle-Écosse,35 à 49 ans,Hommes,,,,,12,66.1
2015,Nouvelle-Écosse,35 à 49 ans,Femmes,,,,,12,62.5
2015,Nouvelle-Écosse,50 à 64 ans,Les deux sexes,,,,,12,53.9
2015,Nouvelle-Écosse,50 à 64 ans,Hommes,,,,,12,45.2
2015,Nouvelle-Écosse,50 à 64 ans,Femmes,,,,,12,62.1
2015,Nouvelle-Écosse,65 ans et plus,Les deux sexes,,,,,12,46.9
2015,Nouvelle-Écosse,65 ans et plus,Hommes,,,,,12,45.4
2015,Nouvelle-Écosse,65 ans et plus,Femmes,,,,,12,48.2
2015,Nouveau-Brunswick,"Total, 18 ans et plus",Les deux sexes,,,,,13,53.5
2015,Nouveau-Brunswick,"Total, 18 ans et plus",Hommes,,,,,13,55.1
2015,Nouveau-Brunswick,"Total, 18 ans et plus",Femmes,,,,,13,52.0
2015,Nouveau-Brunswick,18 à 34 ans,Les deux sexes,,,,,13,65.9
2015,Nouveau-Brunswick,18 à 34 ans,Hommes,,,,,13,74.1
2015,Nouveau-Brunswick,18 à 34 ans,Femmes,,,,,13,57.4
2015,Nouveau-Brunswick,35 à 49 ans,Les deux sexes,,,,,13,61.9
2015,Nouveau-Brunswick,35 à 49 ans,Hommes,,,,,13,61.3
2015,Nouveau-Brunswick,35 à 49 ans,Femmes,,,,,13,62.5
2015,Nouveau-Brunswick,50 à 64 ans,Les deux sexes,,,,,13,45.7
2015,Nouveau-Brunswick,50 à 64 ans,Hommes,,,,,13,41.1
2015,Nouveau-Brunswick,50 à 64 ans,Femmes,,,,,13,50.0
2015,Nouveau-Brunswick,65 ans et plus,Les deux sexes,,,,,13,41.5
2015,Nouveau-Brunswick,65 ans et plus,Hommes,,,,,13,45.1
2015,Nouveau-Brunswick,65 ans et plus,Femmes,,,,,13,38.4
2015,Québec,"Total, 18 ans et plus",Les deux sexes,,,,,24,62.3
2015,Québec,"Total, 18 ans et plus",Hommes,,,,,24,64.8
2015,Québec,"Total, 18 ans et plus",Femmes,,,,,24,59.9
2015,Québec,18 à 34 ans,Les deux sexes,,,,,24,70.9
2015,Québec,18 à 34 ans,Hommes,,,,,24,70.8
2015,Québec,18 à 34 ans,Femmes,,,,,24,71.0
2015,Québec,35 à 49 ans,Les deux sexes,,,,,24,67.6
2015,Québec,35 à 49 ans,Hommes,,,,,24,70.3
2015,Québec,35 à 49 ans,Femmes,,,,,24,64.7
2015,Québec,50 à 64 ans,Les deux sexes,,,,,24,61.1
2015,Québec,50 à 64 ans,Hommes,,,,,24,62.9
2015,Québec,50 à 64 ans,Femmes,,,,,24,59.3
2015,Québec,65 ans et plus,Les deux sexes,,,,,24,46.7
2015,Québec,65 ans et plus,Hommes,,,,,24,51.8
2015,Québec,65 ans et plus,Femmes,,,,,24,42.5
2015,Ontario,"Total, 18 ans et plus",Les deux sexes,,,,,35,60.5
2015,Ontario,"Total, 18 ans et plus",Hommes,,,,,35,62.3
2015,Ontario,"Total, 18 ans et plus",Femmes,,,,,35,58.8
2015,Ontario,18 à 34 ans,Les deux sexes,,,,,35,71.8
2015,Ontario,18 à 34 ans,Hommes,,,,,35,73.2
2015,Ontario,18 à 34 ans,Femmes,,,,,35,70.4
2015,Ontario,35 à 49 ans,Les deux sexes,,,,,35,62.9
2015,Ontario,35 à 49 ans,Hommes,,,,,35,66.3
2015,Ontario,35 à 49 ans,Femmes,,,,,35,59.7
2015,Ontario,50 à 64 ans,Les deux sexes,,,,,35,55.5
2015,Ontario,50 à 64 ans,Hommes,,,,,35,56.4
2015,Ontario,50 à 64 ans,Femmes,,,,,35,54.5
2015,Ontario,65 ans et plus,Les deux sexes,,,,,35,47.3
2015,Ontario,65 ans et plus,Hommes,,,,,35,47.5
2015,Ontario,65 ans et plus,Femmes,,,,,35,47.2
2015,Manitoba,"Total, 18 ans et plus",Les deux sexes,,,,,46,59.1
2015,Manitoba,"Total, 18 ans et plus",Hommes,,,,,46,55.3
2015,Manitoba,"Total, 18 ans et plus",Femmes,,,,,46,62.8
2015,Manitoba,18 à 34 ans,Les deux sexes,,,,,46,70.2
2015,Manitoba,18 à 34 ans,Hommes,,,,,46,60.8
2015,Manitoba,18 à 34 ans,Femmes,,,,,46,79.8
2015,Manitoba,35 à 49 ans,Les deux sexes,,,,,46,63.6
2015,Manitoba,35 à 49 ans,Hommes,,,,,46,61.4
2015,Manitoba,35 à 49 ans,Femmes,,,,,46,65.6
2015,Manitoba,50 à 64 ans,Les deux sexes,,,,,46,55.8
2015,Manitoba,50 à 64 ans,Hommes,,,,,46,57.1
2015,Manitoba,50 à 64 ans,Femmes,,,,,46,54.5
2015,Manitoba,65 ans et plus,Les deux sexes,,,,,46,39.9
2015,Manitoba,65 ans et plus,Hommes,,,,,46,33.8
2015,Manitoba,65 ans et plus,Femmes,,,,,46,45.0
2015,Saskatchewan,"Total, 18 ans et plus",Les deux sexes,,,,,47,58.1
2015,Saskatchewan,"Total, 18 ans et plus",Hommes,,,,,47,58.0
2015,Saskatchewan,"Total, 18 ans et plus",Femmes,,,,,47,58.1
2015,Saskatchewan,18 à 34 ans,Les deux sexes,,,,,47,73.8
2015,Saskatchewan,18 à 34 ans,Hommes,,,,,47,73.9
2015,Saskatchewan,18 à 34 ans,Femmes,,,,,47,73.7
2015,Saskatchewan,35 à 49 ans,Les deux sexes,,,,,47,56.7
2015,Saskatchewan,35 à 49 ans,Hommes,,,,,47,56.2
2015,Saskatchewan,35 à 49 ans,Femmes,,,,,47,57.3
2015,Saskatchewan,50 à 64 ans,Les deux sexes,,,,,47,56.4
2015,Saskatchewan,50 à 64 ans,Hommes,,,,,47,56.2
2015,Saskatchewan,50 à 64 ans,Femmes,,,,,47,56.5
2015,Saskatchewan,65 ans et plus,Les deux sexes,,,,,47,35.3
2015,Saskatchewan,65 ans et plus,Hommes,,,,,47,33.2
2015,Saskatchewan,65 ans et plus,Femmes,,,,,47,37.1
2015,Alberta,"Total, 18 ans et plus",Les deux sexes,,,,,48,65.9
2015,Alberta,"Total, 18 ans et plus",Hommes,,,,,48,65.9
2015,Alberta,"Total, 18 ans et plus",Femmes,,,,,48,65.9
2015,Alberta,18 à 34 ans,Les deux sexes,,,,,48,71.6
2015,Alberta,18 à 34 ans,Hommes,,,,,48,72.9
2015,Alberta,18 à 34 ans,Femmes,,,,,48,70.3
2015,Alberta,35 à 49 ans,Les deux sexes,,,,,48,68.6
2015,Alberta,35 à 49 ans,Hommes,,,,,48,64.8
2015,Alberta,35 à 49 ans,Femmes,,,,,48,72.7
2015,Alberta,50 à 64 ans,Les deux sexes,,,,,48,63.4
2015,Alberta,50 à 64 ans,Hommes,,,,,48,62.5
2015,Alberta,50 à 64 ans,Femmes,,,,,48,64.4
2015,Alberta,65 ans et plus,Les deux sexes,,,,,48,51.7
2015,Alberta,65 ans et plus,Hommes,,,,,48,56.6
2015,Alberta,65 ans et plus,Femmes,,,,,48,47.4
2015,Colombie-Britannique,"Total, 18 ans et plus",Les deux sexes,,,,,59,59.7
2015,Colombie-Britannique,"Total, 18 ans et plus",Hommes,,,,,59,59.4
2015,Colombie-Britannique,"Total, 18 ans et plus",Femmes,,,,,59,60.0
2015,Colombie-Britannique,18 à 34 ans,Les deux sexes,,,,,59,69.1
2015,Colombie-Britannique,18 à 34 ans,Hommes,,,,,59,69.3
2015,Colombie-Britannique,18 à 34 ans,Femmes,,,,,59,68.9
2015,Colombie-Britannique,35 à 49 ans,Les deux sexes,,,,,59,61.1
2015,Colombie-Britannique,35 à 49 ans,Hommes,,,,,59,60.3
2015,Colombie-Britannique,35 à 49 ans,Femmes,,,,,59,61.8
2015,Colombie-Britannique,50 à 64 ans,Les deux sexes,,,,,59,57.3
2015,Colombie-Britannique,50 à 64 ans,Hommes,,,,,59,56.1
2015,Colombie-Britannique,50 à 64 ans,Femmes,,,,,59,58.4
2015,Colombie-Britannique,65 ans et plus,Les deux sexes,,,,,59,48.3
2015,Colombie-Britannique,65 ans et plus,Hommes,,,,,59,48.1
2015,Colombie-Britannique,65 ans et plus,Femmes,,,,,59,48.5
2016,Canada,"Total, 18 ans et plus",Hommes,,,,,,60.7
2016,Canada,"Total, 18 ans et plus",Femmes,,,,,,59.2
2016,Canada,18 à 34 ans,Les deux sexes,,,,,,69.2
2016,Canada,18 à 34 ans,Hommes,,,,,,69.8
2016,Canada,18 à 34 ans,Femmes,,,,,,68.5
2016,Canada,35 à 49 ans,Les deux sexes,,,,,,65.1
2016,Canada,35 à 49 ans,Hommes,,,,,,66.5
2016,Canada,35 à 49 ans,Femmes,,,,,,63.7
2016,Canada,50 à 64 ans,Les deux sexes,,,,,,56.0
2016,Canada,50 à 64 ans,Hommes,,,,,,55.9
2016,Canada,50 à 64 ans,Femmes,,,,,,56.0
2016,Canada,65 ans et plus,Les deux sexes,,,,,,45.8
2016,Canada,65 ans et plus,Hommes,,,,,,45.8
2016,Canada,65 ans et plus,Femmes,,,,,,45.8
2016,Terre-Neuve-et-Labrador,"Total, 18 ans et plus",Les deux sexes,,,,,10,63.9
2016,Terre-Neuve-et-Labrador,"Total, 18 ans et plus",Hommes,,,,,10,60.8
2016,Terre-Neuve-et-Labrador,"Total, 18 ans et plus",Femmes,,,,,10,66.9
2016,Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,,,,,10,72.5
2016,Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,,,,,10,76.2
2016,Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,,,,,10,68.8
2016,Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,,,,,10,71.8
2016,Terre-Neuve-et-Labrador,35 à 49 ans,Hommes,,,,,10,62.3
2016,Terre-Neuve-et-Labrador,35 à 49 ans,Femmes,,,,,10,80.7
2016,Terre-Neuve-et-Labrador,50 à 64 ans,Les deux sexes,,,,,10,61.8
2016,Terre-Neuve-et-Labrador,50 à 64 ans,Hommes,,,,,10,54.7
2016,Terre-Neuve-et-Labrador,50 à 64 ans,Femmes,,,,,10,68.9
2016,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,,,,,10,49.1
2016,Terre-Neuve-et-Labrador,65 ans et plus,Hommes,,,,,10,50.0
2016,Terre-Neuve-et-Labrador,65 ans et plus,Femmes,,,,,10,48.3
2016,Île-du-Prince-Édouard,"Total, 18 ans et plus",Les deux sexes,,,,,11,59.4
2016,Île-du-Prince-Édouard,"Total, 18 ans et plus",Hommes,,,,,11,55.0
2016,Île-du-Prince-Édouard,"Total, 18 ans et plus",Femmes,,,,,11,63.5
2016,Île-du-Prince-Édouard,18 à 34 ans,Les deux sexes,,,,,11,60.4
2016,Île-du-Prince-Édouard,18 à 34 ans,Hommes,,,,,11,61.2
2016,Île-du-Prince-Édouard,18 à 34 ans,Femmes,,,,,11,59.6
2016,Île-du-Prince-Édouard,35 à 49 ans,Les deux sexes,,,,,11,64.6
2016,Île-du-Prince-Édouard,35 à 49 ans,Hommes,,,,,11,58.2
2016,Île-du-Prince-Édouard,35 à 49 ans,Femmes,,,,,11,70.6
2016,Île-du-Prince-Édouard,50 à 64 ans,Les deux sexes,,,,,11,54.0
2016,Île-du-Prince-Édouard,50 à 64 ans,Hommes,,,,,11,50.5
2016,Île-du-Prince-Édouard,50 à 64 ans,Femmes,,,,,11,57.3
2016,Île-du-Prince-Édouard,65 ans et plus,Les deux sexes,,,,,11,59.6
2016,Île-du-Prince-Édouard,65 ans et plus,Hommes,,,,,11,50.0
2016,Île-du-Prince-Édouard,65 ans et plus,Femmes,,,,,11,68.0
2016,Nouvelle-Écosse,"Total, 18 ans et plus",Les deux sexes,,,,,12,58.1
2016,Nouvelle-Écosse,"Total, 18 ans et plus",Hommes,,,,,12,55.6
2016,Nouvelle-Écosse,"Total, 18 ans et plus",Femmes,,,,,12,60.4
2016,Nouvelle-Écosse,18 à 34 ans,Les deux sexes,,,,,12,65.2
2016,Nouvelle-Écosse,18 à 34 ans,Hommes,,,,,12,64.9
2016,Nouvelle-Écosse,18 à 34 ans,Femmes,,,,,12,65.6
2016,Nouvelle-Écosse,35 à 49 ans,Les deux sexes,,,,,12,67.1
2016,Nouvelle-Écosse,35 à 49 ans,Hommes,,,,,12,63.7
2016,Nouvelle-Écosse,35 à 49 ans,Femmes,,,,,12,70.2
2016,Nouvelle-Écosse,50 à 64 ans,Les deux sexes,,,,,12,54.5
2016,Nouvelle-Écosse,50 à 64 ans,Hommes,,,,,12,52.3
2016,Nouvelle-Écosse,50 à 64 ans,Femmes,,,,,12,56.6
2016,Nouvelle-Écosse,65 ans et plus,Les deux sexes,,,,,12,45.8
2016,Nouvelle-Écosse,65 ans et plus,Hommes,,,,,12,40.5
2016,Nouvelle-Écosse,65 ans et plus,Femmes,,,,,12,50.3
2016,Nouveau-Brunswick,"Total, 18 ans et plus",Les deux sexes,,,,,13,56.7
2016,Nouveau-Brunswick,"Total, 18 ans et plus",Hommes,,,,,13,54.7
2016,Nouveau-Brunswick,"Total, 18 ans et plus",Femmes,,,,,13,58.6
2016,Nouveau-Brunswick,18 à 34 ans,Les deux sexes,,,,,13,61.8
2016,Nouveau-Brunswick,18 à 34 ans,Hommes,,,,,13,57.5
2016,Nouveau-Brunswick,18 à 34 ans,Femmes,,,,,13,66.1
2016,Nouveau-Brunswick,35 à 49 ans,Les deux sexes,,,,,13,65.5
2016,Nouveau-Brunswick,35 à 49 ans,Hommes,,,,,13,58.7
2016,Nouveau-Brunswick,35 à 49 ans,Femmes,,,,,13,71.9
2016,Nouveau-Brunswick,50 à 64 ans,Les deux sexes,,,,,13,58.0
2016,Nouveau-Brunswick,50 à 64 ans,Hommes,,,,,13,60.6
2016,Nouveau-Brunswick,50 à 64 ans,Femmes,,,,,13,55.4
2016,Nouveau-Brunswick,65 ans et plus,Les deux sexes,,,,,13,41.2
2016,Nouveau-Brunswick,65 ans et plus,Hommes,,,,,13,39.8
2016,Nouveau-Brunswick,65 ans et plus,Femmes,,,,,13,42.5
2016,Québec,"Total, 18 ans et plus",Les deux sexes,,,,,24,61.3
2016,Québec,"Total, 18 ans et plus",Hommes,,,,,24,63.1
2016,Québec,"Total, 18 ans et plus",Femmes,,,,,24,59.5
2016,Québec,18 à 34 ans,Les deux sexes,,,,,24,70.5
2016,Québec,18 à 34 ans,Hommes,,,,,24,70.7
2016,Québec,18 à 34 ans,Femmes,,,,,24,70.3
2016,Québec,35 à 49 ans,Les deux sexes,,,,,24,65.1
2016,Québec,35 à 49 ans,Hommes,,,,,24,67.9
2016,Québec,35 à 49 ans,Femmes,,,,,24,62.2
2016,Québec,50 à 64 ans,Les deux sexes,,,,,24,59.6
2016,Québec,50 à 64 ans,Hommes,,,,,24,61.5
2016,Québec,50 à 64 ans,Femmes,,,,,24,57.6
2016,Québec,65 ans et plus,Les deux sexes,,,,,24,47.7
2016,Québec,65 ans et plus,Hommes,,,,,24,49.0
2016,Québec,65 ans et plus,Femmes,,,,,24,46.7
2016,Ontario,"Total, 18 ans et plus",Les deux sexes,,,,,35,59.5
2016,Ontario,"Total, 18 ans et plus",Hommes,,,,,35,60.2
2016,Ontario,"Total, 18 ans et plus",Femmes,,,,,35,58.9
2016,Ontario,18 à 34 ans,Les deux sexes,,,,,35,68.7
2016,Ontario,18 à 34 ans,Hommes,,,,,35,69.1
2016,Ontario,18 à 34 ans,Femmes,,,,,35,68.3
2016,Ontario,35 à 49 ans,Les deux sexes,,,,,35,64.8
2016,Ontario,35 à 49 ans,Hommes,,,,,35,67.3
2016,Ontario,35 à 49 ans,Femmes,,,,,35,62.5
2016,Ontario,50 à 64 ans,Les deux sexes,,,,,35,54.7
2016,Ontario,50 à 64 ans,Hommes,,,,,35,53.4
2016,Ontario,50 à 64 ans,Femmes,,,,,35,56.0
2016,Ontario,65 ans et plus,Les deux sexes,,,,,35,45.9
2016,Ontario,65 ans et plus,Hommes,,,,,35,46.2
2016,Ontario,65 ans et plus,Femmes,,,,,35,45.6
2016,Manitoba,"Total, 18 ans et plus",Les deux sexes,,,,,46,58.3
2016,Manitoba,"Total, 18 ans et plus",Hommes,,,,,46,58.1
2016,Manitoba,"Total, 18 ans et plus",Femmes,,,,,46,58.5
2016,Manitoba,18 à 34 ans,Les deux sexes,,,,,46,69.2
2016,Manitoba,18 à 34 ans,Hommes,,,,,46,69.4
2016,Manitoba,18 à 34 ans,Femmes,,,,,46,69.0
2016,Manitoba,35 à 49 ans,Les deux sexes,,,,,46,66.5
2016,Manitoba,35 à 49 ans,Hommes,,,,,46,65.6
2016,Manitoba,35 à 49 ans,Femmes,,,,,46,67.3
2016,Manitoba,50 à 64 ans,Les deux sexes,,,,,46,49.1
2016,Manitoba,50 à 64 ans,Hommes,,,,,46,48.2
2016,Manitoba,50 à 64 ans,Femmes,,,,,46,50.1
2016,Manitoba,65 ans et plus,Les deux sexes,,,,,46,42.7
2016,Manitoba,65 ans et plus,Hommes,,,,,46,42.4
2016,Manitoba,65 ans et plus,Femmes,,,,,46,43.0
2016,Saskatchewan,"Total, 18 ans et plus",Les deux sexes,,,,,47,59.4
2016,Saskatchewan,"Total, 18 ans et plus",Hommes,,,,,47,60.0
2016,Saskatchewan,"Total, 18 ans et plus",Femmes,,,,,47,58.7
2016,Saskatchewan,18 à 34 ans,Les deux sexes,,,,,47,68.7
2016,Saskatchewan,18 à 34 ans,Hommes,,,,,47,70.7
2016,Saskatchewan,18 à 34 ans,Femmes,,,,,47,66.5
2016,Saskatchewan,35 à 49 ans,Les deux sexes,,,,,47,62.7
2016,Saskatchewan,35 à 49 ans,Hommes,,,,,47,60.8
2016,Saskatchewan,35 à 49 ans,Femmes,,,,,47,64.6
2016,Saskatchewan,50 à 64 ans,Les deux sexes,,,,,47,56.3
2016,Saskatchewan,50 à 64 ans,Hommes,,,,,47,55.2
2016,Saskatchewan,50 à 64 ans,Femmes,,,,,47,57.3
2016,Saskatchewan,65 ans et plus,Les deux sexes,,,,,47,43.8
2016,Saskatchewan,65 ans et plus,Hommes,,,,,47,46.2
2016,Saskatchewan,65 ans et plus,Femmes,,,,,47,41.8
2016,Alberta,"Total, 18 ans et plus",Les deux sexes,,,,,48,62.7
2016,Alberta,"Total, 18 ans et plus",Hommes,,,,,48,63.5
2016,Alberta,"Total, 18 ans et plus",Femmes,,,,,48,61.8
2016,Alberta,18 à 34 ans,Les deux sexes,,,,,48,69.6
2016,Alberta,18 à 34 ans,Hommes,,,,,48,72.4
2016,Alberta,18 à 34 ans,Femmes,,,,,48,66.7
2016,Alberta,35 à 49 ans,Les deux sexes,,,,,48,66.8
2016,Alberta,35 à 49 ans,Hommes,,,,,48,67.0
2016,Alberta,35 à 49 ans,Femmes,,,,,48,66.5
2016,Alberta,50 à 64 ans,Les deux sexes,,,,,48,58.4
2016,Alberta,50 à 64 ans,Hommes,,,,,48,58.4
2016,Alberta,50 à 64 ans,Femmes,,,,,48,58.3
2016,Alberta,65 ans et plus,Les deux sexes,,,,,48,46.4
2016,Alberta,65 ans et plus,Hommes,,,,,48,43.6
2016,Alberta,65 ans et plus,Femmes,,,,,48,48.9
2016,Colombie-Britannique,"Total, 18 ans et plus",Les deux sexes,,,,,59,57.8
2016,Colombie-Britannique,"Total, 18 ans et plus",Hommes,,,,,59,58.8
2016,Colombie-Britannique,"Total, 18 ans et plus",Femmes,,,,,59,56.8
2016,Colombie-Britannique,18 à 34 ans,Les deux sexes,,,,,59,69.7
2016,Colombie-Britannique,18 à 34 ans,Hommes,,,,,59,70.0
2016,Colombie-Britannique,18 à 34 ans,Femmes,,,,,59,69.4
2016,Colombie-Britannique,35 à 49 ans,Les deux sexes,,,,,59,63.2
2016,Colombie-Britannique,35 à 49 ans,Hommes,,,,,59,64.8
2016,Colombie-Britannique,35 à 49 ans,Femmes,,,,,59,61.6
2016,Colombie-Britannique,50 à 64 ans,Les deux sexes,,,,,59,52.3
2016,Colombie-Britannique,50 à 64 ans,Hommes,,,,,59,53.5
2016,Colombie-Britannique,50 à 64 ans,Femmes,,,,,59,51.1
2016,Colombie-Britannique,65 ans et plus,Les deux sexes,,,,,59,42.8
2016,Colombie-Britannique,65 ans et plus,Hommes,,,,,59,42.7
2016,Colombie-Britannique,65 ans et plus,Femmes,,,,,59,42.8
2017,Canada,"Total, 18 ans et plus",Hommes,,,,,,59.8
2017,Canada,"Total, 18 ans et plus",Femmes,,,,,,60.0
2017,Canada,18 à 34 ans,Les deux sexes,,,,,,70.9
2017,Canada,18 à 34 ans,Hommes,,,,,,72.2
2017,Canada,18 à 34 ans,Femmes,,,,,,69.6
2017,Canada,35 à 49 ans,Les deux sexes,,,,,,64.1
2017,Canada,35 à 49 ans,Hommes,,,,,,63.1
2017,Canada,35 à 49 ans,Femmes,,,,,,65.2
2017,Canada,50 à 64 ans,Les deux sexes,,,,,,54.2
2017,Canada,50 à 64 ans,Hommes,,,,,,53.2
2017,Canada,50 à 64 ans,Femmes,,,,,,55.2
2017,Canada,65 ans et plus,Les deux sexes,,,,,,46.8
2017,Canada,65 ans et plus,Hommes,,,,,,45.8
2017,Canada,65 ans et plus,Femmes,,,,,,47.6
2017,Terre-Neuve-et-Labrador,"Total, 18 ans et plus",Les deux sexes,,,,,10,61.6
2017,Terre-Neuve-et-Labrador,"Total, 18 ans et plus",Hommes,,,,,10,58.6
2017,Terre-Neuve-et-Labrador,"Total, 18 ans et plus",Femmes,,,,,10,64.5
2017,Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,,,,,10,67.2
2017,Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,,,,,10,63.3
2017,Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,,,,,10,71.4
2017,Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,,,,,10,69.2
2017,Terre-Neuve-et-Labrador,35 à 49 ans,Hommes,,,,,10,69.8
2017,Terre-Neuve-et-Labrador,35 à 49 ans,Femmes,,,,,10,68.6
2017,Terre-Neuve-et-Labrador,50 à 64 ans,Les deux sexes,,,,,10,56.2
2017,Terre-Neuve-et-Labrador,50 à 64 ans,Hommes,,,,,10,54.1
2017,Terre-Neuve-et-Labrador,50 à 64 ans,Femmes,,,,,10,58.2
2017,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,,,,,10,55.0
2017,Terre-Neuve-et-Labrador,65 ans et plus,Hommes,,,,,10,47.8
2017,Terre-Neuve-et-Labrador,65 ans et plus,Femmes,,,,,10,61.5
2017,Île-du-Prince-Édouard,"Total, 18 ans et plus",Les deux sexes,,,,,11,61.3
2017,Île-du-Prince-Édouard,"Total, 18 ans et plus",Hommes,,,,,11,60.2
2017,Île-du-Prince-Édouard,"Total, 18 ans et plus",Femmes,,,,,11,62.4
2017,Île-du-Prince-Édouard,18 à 34 ans,Les deux sexes,,,,,11,64.7
2017,Île-du-Prince-Édouard,18 à 34 ans,Hommes,,,,,11,65.7
2017,Île-du-Prince-Édouard,18 à 34 ans,Femmes,,,,,11,63.8
2017,Île-du-Prince-Édouard,35 à 49 ans,Les deux sexes,,,,,11,74.0
2017,Île-du-Prince-Édouard,35 à 49 ans,Hommes,,,,,11,69.0
2017,Île-du-Prince-Édouard,35 à 49 ans,Femmes,,,,,11,78.8
