Year,Géographie,Groupe d'âge,Sexe,Value
2018,Canada,18 à 24 ans,Femmes,11.0
2019,Canada,18 à 24 ans,Femmes,10.0
2020,Canada,18 à 24 ans,Femmes,11.0
2016,Canada,20 à 24 ans,Les deux sexes,14.0
2017,Canada,20 à 24 ans,Les deux sexes,13.0
2018,Canada,20 à 24 ans,Les deux sexes,13.0
2019,Canada,20 à 24 ans,Les deux sexes,12.0
2020,Canada,20 à 24 ans,Les deux sexes,14.0
2016,Canada,20 à 24 ans,Hommes,16.0
2017,Canada,20 à 24 ans,Hommes,14.0
2018,Canada,20 à 24 ans,Hommes,14.0
2019,Canada,20 à 24 ans,Hommes,13.0
2020,Canada,20 à 24 ans,Hommes,16.0
2016,Canada,20 à 24 ans,Femmes,13.0
2017,Canada,20 à 24 ans,Femmes,12.0
2018,Canada,20 à 24 ans,Femmes,12.0
2019,Canada,20 à 24 ans,Femmes,11.0
2020,Canada,20 à 24 ans,Femmes,12.0
2016,Canada,25 à 29 ans,Les deux sexes,17.0
2017,Canada,25 à 29 ans,Les deux sexes,16.0
2018,Canada,25 à 29 ans,Les deux sexes,15.0
2019,Canada,25 à 29 ans,Les deux sexes,14.0
2020,Canada,25 à 29 ans,Les deux sexes,17.0
2016,Canada,25 à 29 ans,Hommes,16.0
2017,Canada,25 à 29 ans,Hommes,16.0
2018,Canada,25 à 29 ans,Hommes,14.0
2019,Canada,25 à 29 ans,Hommes,14.0
2020,Canada,25 à 29 ans,Hommes,16.0
2016,Canada,25 à 29 ans,Femmes,18.0
2017,Canada,25 à 29 ans,Femmes,17.0
2018,Canada,25 à 29 ans,Femmes,17.0
2019,Canada,25 à 29 ans,Femmes,15.0
2020,Canada,25 à 29 ans,Femmes,18.0
2016,Terre-Neuve-et-Labrador,Total 15 à 29 ans,Les deux sexes,18.0
2017,Terre-Neuve-et-Labrador,Total 15 à 29 ans,Les deux sexes,21.0
2018,Terre-Neuve-et-Labrador,Total 15 à 29 ans,Les deux sexes,17.0
2019,Terre-Neuve-et-Labrador,Total 15 à 29 ans,Les deux sexes,18.0
2020,Terre-Neuve-et-Labrador,Total 15 à 29 ans,Les deux sexes,19.0
2016,Terre-Neuve-et-Labrador,Total 15 à 29 ans,Hommes,23.0
2017,Terre-Neuve-et-Labrador,Total 15 à 29 ans,Hommes,25.0
2018,Terre-Neuve-et-Labrador,Total 15 à 29 ans,Hommes,20.0
2019,Terre-Neuve-et-Labrador,Total 15 à 29 ans,Hommes,21.0
2020,Terre-Neuve-et-Labrador,Total 15 à 29 ans,Hommes,22.0
2016,Terre-Neuve-et-Labrador,Total 15 à 29 ans,Femmes,14.0
2017,Terre-Neuve-et-Labrador,Total 15 à 29 ans,Femmes,18.0
2018,Terre-Neuve-et-Labrador,Total 15 à 29 ans,Femmes,13.0
2019,Terre-Neuve-et-Labrador,Total 15 à 29 ans,Femmes,13.0
2020,Terre-Neuve-et-Labrador,Total 15 à 29 ans,Femmes,17.0
2016,Terre-Neuve-et-Labrador,15 à 19 ans,Les deux sexes,5.0
2017,Terre-Neuve-et-Labrador,15 à 19 ans,Les deux sexes,9.0
2018,Terre-Neuve-et-Labrador,15 à 19 ans,Les deux sexes,5.0
2019,Terre-Neuve-et-Labrador,15 à 19 ans,Les deux sexes,9.0
2020,Terre-Neuve-et-Labrador,15 à 19 ans,Les deux sexes,11.0
2016,Terre-Neuve-et-Labrador,15 à 19 ans,Hommes,7.0
2017,Terre-Neuve-et-Labrador,15 à 19 ans,Hommes,10.0
2018,Terre-Neuve-et-Labrador,15 à 19 ans,Hommes,8.0
2019,Terre-Neuve-et-Labrador,15 à 19 ans,Hommes,13.0
2020,Terre-Neuve-et-Labrador,15 à 19 ans,Hommes,15.0
2016,Terre-Neuve-et-Labrador,15 à 19 ans,Femmes,
2017,Terre-Neuve-et-Labrador,15 à 19 ans,Femmes,7.0
2018,Terre-Neuve-et-Labrador,15 à 19 ans,Femmes,
2019,Terre-Neuve-et-Labrador,15 à 19 ans,Femmes,
2020,Terre-Neuve-et-Labrador,15 à 19 ans,Femmes,8.0
2016,Terre-Neuve-et-Labrador,15 à 24 ans,Les deux sexes,15.0
2017,Terre-Neuve-et-Labrador,15 à 24 ans,Les deux sexes,17.0
2018,Terre-Neuve-et-Labrador,15 à 24 ans,Les deux sexes,12.0
2019,Terre-Neuve-et-Labrador,15 à 24 ans,Les deux sexes,14.0
2020,Terre-Neuve-et-Labrador,15 à 24 ans,Les deux sexes,17.0
2016,Terre-Neuve-et-Labrador,15 à 24 ans,Hommes,19.0
2017,Terre-Neuve-et-Labrador,15 à 24 ans,Hommes,21.0
2018,Terre-Neuve-et-Labrador,15 à 24 ans,Hommes,15.0
2019,Terre-Neuve-et-Labrador,15 à 24 ans,Hommes,17.0
2020,Terre-Neuve-et-Labrador,15 à 24 ans,Hommes,20.0
2016,Terre-Neuve-et-Labrador,15 à 24 ans,Femmes,11.0
2017,Terre-Neuve-et-Labrador,15 à 24 ans,Femmes,13.0
2018,Terre-Neuve-et-Labrador,15 à 24 ans,Femmes,7.0
2019,Terre-Neuve-et-Labrador,15 à 24 ans,Femmes,10.0
2020,Terre-Neuve-et-Labrador,15 à 24 ans,Femmes,13.0
2016,Terre-Neuve-et-Labrador,18 à 24 ans,Les deux sexes,21.0
2017,Terre-Neuve-et-Labrador,18 à 24 ans,Les deux sexes,22.0
2018,Terre-Neuve-et-Labrador,18 à 24 ans,Les deux sexes,15.0
2019,Terre-Neuve-et-Labrador,18 à 24 ans,Les deux sexes,18.0
2020,Terre-Neuve-et-Labrador,18 à 24 ans,Les deux sexes,20.0
2016,Terre-Neuve-et-Labrador,18 à 24 ans,Hommes,27.0
2017,Terre-Neuve-et-Labrador,18 à 24 ans,Hommes,27.0
2018,Terre-Neuve-et-Labrador,18 à 24 ans,Hommes,20.0
2019,Terre-Neuve-et-Labrador,18 à 24 ans,Hommes,22.0
2020,Terre-Neuve-et-Labrador,18 à 24 ans,Hommes,24.0
2016,Terre-Neuve-et-Labrador,18 à 24 ans,Femmes,14.0
2017,Terre-Neuve-et-Labrador,18 à 24 ans,Femmes,17.0
2018,Terre-Neuve-et-Labrador,18 à 24 ans,Femmes,10.0
2019,Terre-Neuve-et-Labrador,18 à 24 ans,Femmes,14.0
2020,Terre-Neuve-et-Labrador,18 à 24 ans,Femmes,16.0
2016,Terre-Neuve-et-Labrador,20 à 24 ans,Les deux sexes,25.0
2017,Terre-Neuve-et-Labrador,20 à 24 ans,Les deux sexes,25.0
2018,Terre-Neuve-et-Labrador,20 à 24 ans,Les deux sexes,18.0
2019,Terre-Neuve-et-Labrador,20 à 24 ans,Les deux sexes,19.0
2020,Terre-Neuve-et-Labrador,20 à 24 ans,Les deux sexes,22.0
2016,Terre-Neuve-et-Labrador,20 à 24 ans,Hommes,31.0
2017,Terre-Neuve-et-Labrador,20 à 24 ans,Hommes,31.0
2018,Terre-Neuve-et-Labrador,20 à 24 ans,Hommes,23.0
2019,Terre-Neuve-et-Labrador,20 à 24 ans,Hommes,21.0
2020,Terre-Neuve-et-Labrador,20 à 24 ans,Hommes,25.0
2016,Terre-Neuve-et-Labrador,20 à 24 ans,Femmes,17.0
2017,Terre-Neuve-et-Labrador,20 à 24 ans,Femmes,19.0
2018,Terre-Neuve-et-Labrador,20 à 24 ans,Femmes,12.0
2019,Terre-Neuve-et-Labrador,20 à 24 ans,Femmes,16.0
2020,Terre-Neuve-et-Labrador,20 à 24 ans,Femmes,17.0
2016,Terre-Neuve-et-Labrador,25 à 29 ans,Les deux sexes,24.0
2017,Terre-Neuve-et-Labrador,25 à 29 ans,Les deux sexes,30.0
2018,Terre-Neuve-et-Labrador,25 à 29 ans,Les deux sexes,26.0
2019,Terre-Neuve-et-Labrador,25 à 29 ans,Les deux sexes,25.0
2020,Terre-Neuve-et-Labrador,25 à 29 ans,Les deux sexes,25.0
2016,Terre-Neuve-et-Labrador,25 à 29 ans,Hommes,30.0
2017,Terre-Neuve-et-Labrador,25 à 29 ans,Hommes,33.0
2018,Terre-Neuve-et-Labrador,25 à 29 ans,Hommes,29.0
2019,Terre-Neuve-et-Labrador,25 à 29 ans,Hommes,30.0
2020,Terre-Neuve-et-Labrador,25 à 29 ans,Hommes,25.0
2016,Terre-Neuve-et-Labrador,25 à 29 ans,Femmes,19.0
2017,Terre-Neuve-et-Labrador,25 à 29 ans,Femmes,27.0
2018,Terre-Neuve-et-Labrador,25 à 29 ans,Femmes,23.0
2019,Terre-Neuve-et-Labrador,25 à 29 ans,Femmes,19.0
2020,Terre-Neuve-et-Labrador,25 à 29 ans,Femmes,25.0
2016,Île-du-Prince-Édouard,Total 15 à 29 ans,Les deux sexes,15.0
2017,Île-du-Prince-Édouard,Total 15 à 29 ans,Les deux sexes,17.0
2018,Île-du-Prince-Édouard,Total 15 à 29 ans,Les deux sexes,13.0
2019,Île-du-Prince-Édouard,Total 15 à 29 ans,Les deux sexes,13.0
2020,Île-du-Prince-Édouard,Total 15 à 29 ans,Les deux sexes,14.0
2016,Île-du-Prince-Édouard,Total 15 à 29 ans,Hommes,18.0
2017,Île-du-Prince-Édouard,Total 15 à 29 ans,Hommes,19.0
2018,Île-du-Prince-Édouard,Total 15 à 29 ans,Hommes,16.0
2019,Île-du-Prince-Édouard,Total 15 à 29 ans,Hommes,15.0
2020,Île-du-Prince-Édouard,Total 15 à 29 ans,Hommes,14.0
2016,Île-du-Prince-Édouard,Total 15 à 29 ans,Femmes,12.0
2017,Île-du-Prince-Édouard,Total 15 à 29 ans,Femmes,15.0
2018,Île-du-Prince-Édouard,Total 15 à 29 ans,Femmes,11.0
2019,Île-du-Prince-Édouard,Total 15 à 29 ans,Femmes,10.0
2020,Île-du-Prince-Édouard,Total 15 à 29 ans,Femmes,13.0
2016,Île-du-Prince-Édouard,15 à 19 ans,Les deux sexes,6.0
2017,Île-du-Prince-Édouard,15 à 19 ans,Les deux sexes,11.0
2018,Île-du-Prince-Édouard,15 à 19 ans,Les deux sexes,
2019,Île-du-Prince-Édouard,15 à 19 ans,Les deux sexes,6.0
2020,Île-du-Prince-Édouard,15 à 19 ans,Les deux sexes,9.0
2016,Île-du-Prince-Édouard,15 à 19 ans,Hommes,9.0
2017,Île-du-Prince-Édouard,15 à 19 ans,Hommes,13.0
2018,Île-du-Prince-Édouard,15 à 19 ans,Hommes,
2019,Île-du-Prince-Édouard,15 à 19 ans,Hommes,9.0
2020,Île-du-Prince-Édouard,15 à 19 ans,Hommes,10.0
2016,Île-du-Prince-Édouard,15 à 19 ans,Femmes,
2017,Île-du-Prince-Édouard,15 à 19 ans,Femmes,8.0
2018,Île-du-Prince-Édouard,15 à 19 ans,Femmes,
2019,Île-du-Prince-Édouard,15 à 19 ans,Femmes,
2020,Île-du-Prince-Édouard,15 à 19 ans,Femmes,7.0
2016,Île-du-Prince-Édouard,15 à 24 ans,Les deux sexes,13.0
2017,Île-du-Prince-Édouard,15 à 24 ans,Les deux sexes,16.0
2018,Île-du-Prince-Édouard,15 à 24 ans,Les deux sexes,10.0
2019,Île-du-Prince-Édouard,15 à 24 ans,Les deux sexes,10.0
2020,Île-du-Prince-Édouard,15 à 24 ans,Les deux sexes,11.0
2016,Île-du-Prince-Édouard,15 à 24 ans,Hommes,16.0
2017,Île-du-Prince-Édouard,15 à 24 ans,Hommes,19.0
2018,Île-du-Prince-Édouard,15 à 24 ans,Hommes,13.0
2019,Île-du-Prince-Édouard,15 à 24 ans,Hommes,14.0
2020,Île-du-Prince-Édouard,15 à 24 ans,Hommes,12.0
2016,Île-du-Prince-Édouard,15 à 24 ans,Femmes,10.0
2017,Île-du-Prince-Édouard,15 à 24 ans,Femmes,14.0
2018,Île-du-Prince-Édouard,15 à 24 ans,Femmes,6.0
2019,Île-du-Prince-Édouard,15 à 24 ans,Femmes,6.0
2020,Île-du-Prince-Édouard,15 à 24 ans,Femmes,10.0
2016,Île-du-Prince-Édouard,18 à 24 ans,Les deux sexes,18.0
2017,Île-du-Prince-Édouard,18 à 24 ans,Les deux sexes,22.0
2018,Île-du-Prince-Édouard,18 à 24 ans,Les deux sexes,13.0
2019,Île-du-Prince-Édouard,18 à 24 ans,Les deux sexes,13.0
2020,Île-du-Prince-Édouard,18 à 24 ans,Les deux sexes,13.0
2016,Île-du-Prince-Édouard,18 à 24 ans,Hommes,22.0
2017,Île-du-Prince-Édouard,18 à 24 ans,Hommes,25.0
2018,Île-du-Prince-Édouard,18 à 24 ans,Hommes,17.0
2019,Île-du-Prince-Édouard,18 à 24 ans,Hommes,18.0
2020,Île-du-Prince-Édouard,18 à 24 ans,Hommes,15.0
2016,Île-du-Prince-Édouard,18 à 24 ans,Femmes,14.0
2017,Île-du-Prince-Édouard,18 à 24 ans,Femmes,18.0
2018,Île-du-Prince-Édouard,18 à 24 ans,Femmes,8.0
2019,Île-du-Prince-Édouard,18 à 24 ans,Femmes,8.0
2020,Île-du-Prince-Édouard,18 à 24 ans,Femmes,11.0
2016,Île-du-Prince-Édouard,20 à 24 ans,Les deux sexes,20.0
2017,Île-du-Prince-Édouard,20 à 24 ans,Les deux sexes,22.0
2018,Île-du-Prince-Édouard,20 à 24 ans,Les deux sexes,16.0
2019,Île-du-Prince-Édouard,20 à 24 ans,Les deux sexes,14.0
2020,Île-du-Prince-Édouard,20 à 24 ans,Les deux sexes,13.0
2016,Île-du-Prince-Édouard,20 à 24 ans,Hommes,24.0
2017,Île-du-Prince-Édouard,20 à 24 ans,Hommes,24.0
2018,Île-du-Prince-Édouard,20 à 24 ans,Hommes,20.0
2019,Île-du-Prince-Édouard,20 à 24 ans,Hommes,18.0
2020,Île-du-Prince-Édouard,20 à 24 ans,Hommes,14.0
2016,Île-du-Prince-Édouard,20 à 24 ans,Femmes,17.0
2017,Île-du-Prince-Édouard,20 à 24 ans,Femmes,19.0
2018,Île-du-Prince-Édouard,20 à 24 ans,Femmes,11.0
2019,Île-du-Prince-Édouard,20 à 24 ans,Femmes,9.0
2020,Île-du-Prince-Édouard,20 à 24 ans,Femmes,13.0
2016,Île-du-Prince-Édouard,25 à 29 ans,Les deux sexes,20.0
2017,Île-du-Prince-Édouard,25 à 29 ans,Les deux sexes,18.0
2018,Île-du-Prince-Édouard,25 à 29 ans,Les deux sexes,21.0
2019,Île-du-Prince-Édouard,25 à 29 ans,Les deux sexes,18.0
2020,Île-du-Prince-Édouard,25 à 29 ans,Les deux sexes,18.0
2016,Île-du-Prince-Édouard,25 à 29 ans,Hommes,23.0
2017,Île-du-Prince-Édouard,25 à 29 ans,Hommes,19.0
2018,Île-du-Prince-Édouard,25 à 29 ans,Hommes,21.0
2019,Île-du-Prince-Édouard,25 à 29 ans,Hommes,18.0
2020,Île-du-Prince-Édouard,25 à 29 ans,Hommes,18.0
2016,Île-du-Prince-Édouard,25 à 29 ans,Femmes,16.0
2017,Île-du-Prince-Édouard,25 à 29 ans,Femmes,17.0
2018,Île-du-Prince-Édouard,25 à 29 ans,Femmes,21.0
2019,Île-du-Prince-Édouard,25 à 29 ans,Femmes,18.0
2020,Île-du-Prince-Édouard,25 à 29 ans,Femmes,19.0
2016,Nouvelle-Écosse,Total 15 à 29 ans,Les deux sexes,14.0
2017,Nouvelle-Écosse,Total 15 à 29 ans,Les deux sexes,14.0
2018,Nouvelle-Écosse,Total 15 à 29 ans,Les deux sexes,13.0
2019,Nouvelle-Écosse,Total 15 à 29 ans,Les deux sexes,13.0
2020,Nouvelle-Écosse,Total 15 à 29 ans,Les deux sexes,16.0
2016,Nouvelle-Écosse,Total 15 à 29 ans,Hommes,16.0
2017,Nouvelle-Écosse,Total 15 à 29 ans,Hommes,16.0
2018,Nouvelle-Écosse,Total 15 à 29 ans,Hommes,14.0
2019,Nouvelle-Écosse,Total 15 à 29 ans,Hommes,14.0
2020,Nouvelle-Écosse,Total 15 à 29 ans,Hommes,18.0
2016,Nouvelle-Écosse,Total 15 à 29 ans,Femmes,12.0
2017,Nouvelle-Écosse,Total 15 à 29 ans,Femmes,12.0
2018,Nouvelle-Écosse,Total 15 à 29 ans,Femmes,12.0
2019,Nouvelle-Écosse,Total 15 à 29 ans,Femmes,12.0
2020,Nouvelle-Écosse,Total 15 à 29 ans,Femmes,14.0
2016,Nouvelle-Écosse,15 à 19 ans,Les deux sexes,8.0
2017,Nouvelle-Écosse,15 à 19 ans,Les deux sexes,7.0
2018,Nouvelle-Écosse,15 à 19 ans,Les deux sexes,7.0
2019,Nouvelle-Écosse,15 à 19 ans,Les deux sexes,5.0
2020,Nouvelle-Écosse,15 à 19 ans,Les deux sexes,7.0
2016,Nouvelle-Écosse,15 à 19 ans,Hommes,9.0
2017,Nouvelle-Écosse,15 à 19 ans,Hommes,8.0
2018,Nouvelle-Écosse,15 à 19 ans,Hommes,7.0
2019,Nouvelle-Écosse,15 à 19 ans,Hommes,6.0
2020,Nouvelle-Écosse,15 à 19 ans,Hommes,8.0
2016,Nouvelle-Écosse,15 à 19 ans,Femmes,7.0
2017,Nouvelle-Écosse,15 à 19 ans,Femmes,5.0
2018,Nouvelle-Écosse,15 à 19 ans,Femmes,7.0
2019,Nouvelle-Écosse,15 à 19 ans,Femmes,3.0
2020,Nouvelle-Écosse,15 à 19 ans,Femmes,7.0
2016,Nouvelle-Écosse,15 à 24 ans,Les deux sexes,12.0
2017,Nouvelle-Écosse,15 à 24 ans,Les deux sexes,11.0
2018,Nouvelle-Écosse,15 à 24 ans,Les deux sexes,12.0
2019,Nouvelle-Écosse,15 à 24 ans,Les deux sexes,10.0
2020,Nouvelle-Écosse,15 à 24 ans,Les deux sexes,14.0
2016,Nouvelle-Écosse,15 à 24 ans,Hommes,13.0
2017,Nouvelle-Écosse,15 à 24 ans,Hommes,13.0
2018,Nouvelle-Écosse,15 à 24 ans,Hommes,13.0
2019,Nouvelle-Écosse,15 à 24 ans,Hommes,12.0
2020,Nouvelle-Écosse,15 à 24 ans,Hommes,15.0
2016,Nouvelle-Écosse,15 à 24 ans,Femmes,10.0
2017,Nouvelle-Écosse,15 à 24 ans,Femmes,9.0
2018,Nouvelle-Écosse,15 à 24 ans,Femmes,11.0
2019,Nouvelle-Écosse,15 à 24 ans,Femmes,9.0
2020,Nouvelle-Écosse,15 à 24 ans,Femmes,13.0
2016,Nouvelle-Écosse,18 à 24 ans,Les deux sexes,14.0
2017,Nouvelle-Écosse,18 à 24 ans,Les deux sexes,14.0
2018,Nouvelle-Écosse,18 à 24 ans,Les deux sexes,15.0
2019,Nouvelle-Écosse,18 à 24 ans,Les deux sexes,14.0
2020,Nouvelle-Écosse,18 à 24 ans,Les deux sexes,17.0
2016,Nouvelle-Écosse,18 à 24 ans,Hommes,16.0
2017,Nouvelle-Écosse,18 à 24 ans,Hommes,17.0
2018,Nouvelle-Écosse,18 à 24 ans,Hommes,17.0
2019,Nouvelle-Écosse,18 à 24 ans,Hommes,15.0
2020,Nouvelle-Écosse,18 à 24 ans,Hommes,18.0
2016,Nouvelle-Écosse,18 à 24 ans,Femmes,13.0
2017,Nouvelle-Écosse,18 à 24 ans,Femmes,11.0
2018,Nouvelle-Écosse,18 à 24 ans,Femmes,13.0
2019,Nouvelle-Écosse,18 à 24 ans,Femmes,13.0
2020,Nouvelle-Écosse,18 à 24 ans,Femmes,16.0
2016,Nouvelle-Écosse,20 à 24 ans,Les deux sexes,15.0
2017,Nouvelle-Écosse,20 à 24 ans,Les deux sexes,15.0
2018,Nouvelle-Écosse,20 à 24 ans,Les deux sexes,16.0
2019,Nouvelle-Écosse,20 à 24 ans,Les deux sexes,15.0
2020,Nouvelle-Écosse,20 à 24 ans,Les deux sexes,19.0
2016,Nouvelle-Écosse,20 à 24 ans,Hommes,17.0
2017,Nouvelle-Écosse,20 à 24 ans,Hommes,18.0
2018,Nouvelle-Écosse,20 à 24 ans,Hommes,18.0
2019,Nouvelle-Écosse,20 à 24 ans,Hommes,16.0
2020,Nouvelle-Écosse,20 à 24 ans,Hommes,20.0
2016,Nouvelle-Écosse,20 à 24 ans,Femmes,13.0
2017,Nouvelle-Écosse,20 à 24 ans,Femmes,13.0
2018,Nouvelle-Écosse,20 à 24 ans,Femmes,13.0
2019,Nouvelle-Écosse,20 à 24 ans,Femmes,15.0
2020,Nouvelle-Écosse,20 à 24 ans,Femmes,18.0
2016,Nouvelle-Écosse,25 à 29 ans,Les deux sexes,19.0
2017,Nouvelle-Écosse,25 à 29 ans,Les deux sexes,21.0
2018,Nouvelle-Écosse,25 à 29 ans,Les deux sexes,15.0
2019,Nouvelle-Écosse,25 à 29 ans,Les deux sexes,18.0
2020,Nouvelle-Écosse,25 à 29 ans,Les deux sexes,20.0
2016,Nouvelle-Écosse,25 à 29 ans,Hommes,23.0
2017,Nouvelle-Écosse,25 à 29 ans,Hommes,23.0
2018,Nouvelle-Écosse,25 à 29 ans,Hommes,16.0
2019,Nouvelle-Écosse,25 à 29 ans,Hommes,17.0
2020,Nouvelle-Écosse,25 à 29 ans,Hommes,22.0
2016,Nouvelle-Écosse,25 à 29 ans,Femmes,15.0
2017,Nouvelle-Écosse,25 à 29 ans,Femmes,18.0
2018,Nouvelle-Écosse,25 à 29 ans,Femmes,14.0
2019,Nouvelle-Écosse,25 à 29 ans,Femmes,18.0
2020,Nouvelle-Écosse,25 à 29 ans,Femmes,18.0
2016,Nouveau-Brunswick,Total 15 à 29 ans,Les deux sexes,17.0
2017,Nouveau-Brunswick,Total 15 à 29 ans,Les deux sexes,17.0
2018,Nouveau-Brunswick,Total 15 à 29 ans,Les deux sexes,16.0
2019,Nouveau-Brunswick,Total 15 à 29 ans,Les deux sexes,14.0
2020,Nouveau-Brunswick,Total 15 à 29 ans,Les deux sexes,15.0
2016,Nouveau-Brunswick,Total 15 à 29 ans,Hommes,18.0
2017,Nouveau-Brunswick,Total 15 à 29 ans,Hommes,19.0
2018,Nouveau-Brunswick,Total 15 à 29 ans,Hommes,18.0
2019,Nouveau-Brunswick,Total 15 à 29 ans,Hommes,17.0
2020,Nouveau-Brunswick,Total 15 à 29 ans,Hommes,17.0
2016,Nouveau-Brunswick,Total 15 à 29 ans,Femmes,16.0
2017,Nouveau-Brunswick,Total 15 à 29 ans,Femmes,15.0
2018,Nouveau-Brunswick,Total 15 à 29 ans,Femmes,14.0
2019,Nouveau-Brunswick,Total 15 à 29 ans,Femmes,11.0
2020,Nouveau-Brunswick,Total 15 à 29 ans,Femmes,14.0
2016,Nouveau-Brunswick,15 à 19 ans,Les deux sexes,7.0
2017,Nouveau-Brunswick,15 à 19 ans,Les deux sexes,8.0
2018,Nouveau-Brunswick,15 à 19 ans,Les deux sexes,6.0
2019,Nouveau-Brunswick,15 à 19 ans,Les deux sexes,6.0
2020,Nouveau-Brunswick,15 à 19 ans,Les deux sexes,9.0
2016,Nouveau-Brunswick,15 à 19 ans,Hommes,8.0
2017,Nouveau-Brunswick,15 à 19 ans,Hommes,10.0
2018,Nouveau-Brunswick,15 à 19 ans,Hommes,9.0
2019,Nouveau-Brunswick,15 à 19 ans,Hommes,9.0
2020,Nouveau-Brunswick,15 à 19 ans,Hommes,9.0
2016,Nouveau-Brunswick,15 à 19 ans,Femmes,6.0
2017,Nouveau-Brunswick,15 à 19 ans,Femmes,7.0
2018,Nouveau-Brunswick,15 à 19 ans,Femmes,
2019,Nouveau-Brunswick,15 à 19 ans,Femmes,3.0
2020,Nouveau-Brunswick,15 à 19 ans,Femmes,8.0
2016,Nouveau-Brunswick,15 à 24 ans,Les deux sexes,16.0
2017,Nouveau-Brunswick,15 à 24 ans,Les deux sexes,15.0
2018,Nouveau-Brunswick,15 à 24 ans,Les deux sexes,15.0
2019,Nouveau-Brunswick,15 à 24 ans,Les deux sexes,12.0
2020,Nouveau-Brunswick,15 à 24 ans,Les deux sexes,12.0
2016,Nouveau-Brunswick,15 à 24 ans,Hommes,17.0
2017,Nouveau-Brunswick,15 à 24 ans,Hommes,17.0
2018,Nouveau-Brunswick,15 à 24 ans,Hommes,18.0
2019,Nouveau-Brunswick,15 à 24 ans,Hommes,16.0
2020,Nouveau-Brunswick,15 à 24 ans,Hommes,14.0
2016,Nouveau-Brunswick,15 à 24 ans,Femmes,15.0
2017,Nouveau-Brunswick,15 à 24 ans,Femmes,12.0
2018,Nouveau-Brunswick,15 à 24 ans,Femmes,11.0
2019,Nouveau-Brunswick,15 à 24 ans,Femmes,8.0
2020,Nouveau-Brunswick,15 à 24 ans,Femmes,10.0
2016,Nouveau-Brunswick,18 à 24 ans,Les deux sexes,21.0
2017,Nouveau-Brunswick,18 à 24 ans,Les deux sexes,19.0
2018,Nouveau-Brunswick,18 à 24 ans,Les deux sexes,20.0
2019,Nouveau-Brunswick,18 à 24 ans,Les deux sexes,16.0
2020,Nouveau-Brunswick,18 à 24 ans,Les deux sexes,14.0
2016,Nouveau-Brunswick,18 à 24 ans,Hommes,23.0
2017,Nouveau-Brunswick,18 à 24 ans,Hommes,21.0
