Year,Géographie,Type de municipalité,GeoCode,Value
2016,Yukon,Toutes les municipalités urbaines,60,
2018,Yukon,Toutes les municipalités urbaines,60,0.0
2020,Yukon,Toutes les municipalités urbaines,60,0.0
2016,Territoires du Nord-Ouest,Toutes les municipalités urbaines,61,
2018,Territoires du Nord-Ouest,Toutes les municipalités urbaines,61,0.0
2020,Territoires du Nord-Ouest,Toutes les municipalités urbaines,61,
2016,Nunavut,Toutes les municipalités urbaines,62,
2018,Nunavut,Toutes les municipalités urbaines,62,
2020,Nunavut,Toutes les municipalités urbaines,62,0.0
2016,Canada,Toutes les municipalités rurales,,4.4
2018,Canada,Toutes les municipalités rurales,,4.8
2020,Canada,Toutes les municipalités rurales,,4.8
2016,Terre-Neuve-et-Labrador,Toutes les municipalités rurales,10,19.4
2018,Terre-Neuve-et-Labrador,Toutes les municipalités rurales,10,14.6
2020,Terre-Neuve-et-Labrador,Toutes les municipalités rurales,10,20.5
2016,Île-du-Prince-Édouard,Toutes les municipalités rurales,11,
2018,Île-du-Prince-Édouard,Toutes les municipalités rurales,11,0.0
2020,Île-du-Prince-Édouard,Toutes les municipalités rurales,11,0.0
2016,Nouvelle-Écosse,Toutes les municipalités rurales,12,0.0
2018,Nouvelle-Écosse,Toutes les municipalités rurales,12,8.0
2020,Nouvelle-Écosse,Toutes les municipalités rurales,12,9.1
2016,Nouveau-Brunswick,Toutes les municipalités rurales,13,3.6
2018,Nouveau-Brunswick,Toutes les municipalités rurales,13,5.5
2020,Nouveau-Brunswick,Toutes les municipalités rurales,13,7.0
2016,Québec,Toutes les municipalités rurales,24,7.2
2018,Québec,Toutes les municipalités rurales,24,5.6
2020,Québec,Toutes les municipalités rurales,24,3.8
2016,Ontario,Toutes les municipalités rurales,35,0.0
2018,Ontario,Toutes les municipalités rurales,35,0.5
2020,Ontario,Toutes les municipalités rurales,35,0.5
2016,Manitoba,Toutes les municipalités rurales,46,0.0
2018,Manitoba,Toutes les municipalités rurales,46,4.3
2020,Manitoba,Toutes les municipalités rurales,46,5.6
2016,Saskatchewan,Toutes les municipalités rurales,47,3.3
2018,Saskatchewan,Toutes les municipalités rurales,47,2.6
2020,Saskatchewan,Toutes les municipalités rurales,47,2.9
2016,Alberta,Toutes les municipalités rurales,48,0.0
2018,Alberta,Toutes les municipalités rurales,48,1.6
2020,Alberta,Toutes les municipalités rurales,48,0.0
2016,Colombie-Britannique,Toutes les municipalités rurales,59,5.4
2018,Colombie-Britannique,Toutes les municipalités rurales,59,1.9
2020,Colombie-Britannique,Toutes les municipalités rurales,59,3.5
2016,Yukon,Toutes les municipalités rurales,60,
2018,Yukon,Toutes les municipalités rurales,60,0.0
2020,Yukon,Toutes les municipalités rurales,60,0.0
2016,Territoires du Nord-Ouest,Toutes les municipalités rurales,61,
2018,Territoires du Nord-Ouest,Toutes les municipalités rurales,61,0.0
2020,Territoires du Nord-Ouest,Toutes les municipalités rurales,61,0.0
2016,Nunavut,Toutes les municipalités rurales,62,0.0
2018,Nunavut,Toutes les municipalités rurales,62,0.0
2020,Nunavut,Toutes les municipalités rurales,62,0.0
2022,,,,4.2
2022,Terre-Neuve-et-Labrador,Toutes les municipalités,10,11.6
2022,Île-du-Prince-Édouard,Toutes les municipalités,11,0.0
2022,Nouvelle-Écosse,Toutes les municipalités,12,0.0
2022,Nouveau-Brunswick,Toutes les municipalités,13,5.2
2022,Québec,Toutes les municipalités,24,2.7
2022,Ontario,Toutes les municipalités,35,2.6
2022,Manitoba,Toutes les municipalités,46,8.5
2022,Saskatchewan,Toutes les municipalités,47,3.9
2022,Alberta,Toutes les municipalités,48,1.9
2022,Colombie-Britannique,Toutes les municipalités,59,5.5
2022,Yukon,Toutes les municipalités,60,0.0
2022,Territoires du Nord-Ouest,Toutes les municipalités,61,
2022,Nunavut,Toutes les municipalités,62,
2022,Canada,Toutes les municipalités urbaines,,2.6
2022,Terre-Neuve-et-Labrador,Toutes les municipalités urbaines,10,11.1
2022,Île-du-Prince-Édouard,Toutes les municipalités urbaines,11,0.0
2022,Nouvelle-Écosse,Toutes les municipalités urbaines,12,0.0
2022,Nouveau-Brunswick,Toutes les municipalités urbaines,13,0.0
2022,Québec,Toutes les municipalités urbaines,24,1.2
2022,Ontario,Toutes les municipalités urbaines,35,0.0
2022,Manitoba,Toutes les municipalités urbaines,46,7.4
2022,Saskatchewan,Toutes les municipalités urbaines,47,1.6
2022,Alberta,Toutes les municipalités urbaines,48,1.0
2022,Colombie-Britannique,Toutes les municipalités urbaines,59,6.4
2022,Yukon,Toutes les municipalités urbaines,60,0.0
2022,Territoires du Nord-Ouest,Toutes les municipalités urbaines,61,0.0
2022,Nunavut,Toutes les municipalités urbaines,62,
2022,Canada,Toutes les municipalités rurales,,4.8
2022,Terre-Neuve-et-Labrador,Toutes les municipalités rurales,10,11.6
2022,Île-du-Prince-Édouard,Toutes les municipalités rurales,11,0.0
2022,Nouvelle-Écosse,Toutes les municipalités rurales,12,0.0
2022,Nouveau-Brunswick,Toutes les municipalités rurales,13,9.1
2022,Québec,Toutes les municipalités rurales,24,3.2
2022,Ontario,Toutes les municipalités rurales,35,3.9
2022,Manitoba,Toutes les municipalités rurales,46,8.8
2022,Saskatchewan,Toutes les municipalités rurales,47,4.3
2022,Alberta,Toutes les municipalités rurales,48,2.4
2022,Colombie-Britannique,Toutes les municipalités rurales,59,3.9
2022,Yukon,Toutes les municipalités rurales,60,0.0
2022,Territoires du Nord-Ouest,Toutes les municipalités rurales,61,
2022,Nunavut,Toutes les municipalités rurales,62,
