Year,Géographie,Groupe d'âge et type de famille,Statistiques,GeoCode,Value
1999,Canada,Personnes hors famille économique,Personnes en situation de résilience des actifs pour au moins 3 mois,,56.9
1999,Canada,Personnes hors famille économique,Personnes en situation de résilience des actifs pour au moins 6 mois,,48.6
1999,Terre-Neuve-et-Labrador,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 1 mois,10,56.8
1999,Terre-Neuve-et-Labrador,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 3 mois,10,42.7
1999,Terre-Neuve-et-Labrador,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 6 mois,10,33.5
1999,Terre-Neuve-et-Labrador,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 1 mois,10,50.0
1999,Terre-Neuve-et-Labrador,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 3 mois,10,38.3
1999,Terre-Neuve-et-Labrador,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 6 mois,10,27.7
1999,Terre-Neuve-et-Labrador,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 1 mois,10,58.1
1999,Terre-Neuve-et-Labrador,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 3 mois,10,43.0
1999,Terre-Neuve-et-Labrador,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 6 mois,10,34.5
1999,Terre-Neuve-et-Labrador,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 1 mois,10,63.4
1999,Terre-Neuve-et-Labrador,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 3 mois,10,50.6
1999,Terre-Neuve-et-Labrador,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 6 mois,10,40.0
1999,Terre-Neuve-et-Labrador,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 1 mois,10,57.4
1999,Terre-Neuve-et-Labrador,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 3 mois,10,44.4
1999,Terre-Neuve-et-Labrador,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 6 mois,10,34.6
1999,Terre-Neuve-et-Labrador,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 1 mois,10,63.1
1999,Terre-Neuve-et-Labrador,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 3 mois,10,55.5
1999,Terre-Neuve-et-Labrador,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 6 mois,10,44.7
1999,Terre-Neuve-et-Labrador,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 1 mois,10,55.6
1999,Terre-Neuve-et-Labrador,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 3 mois,10,43.5
1999,Terre-Neuve-et-Labrador,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 6 mois,10,30.6
1999,Terre-Neuve-et-Labrador,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 1 mois,10,26.1
1999,Terre-Neuve-et-Labrador,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 3 mois,10,20.7
1999,Terre-Neuve-et-Labrador,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 6 mois,10,17.2
1999,Terre-Neuve-et-Labrador,Personnes dans un autre type de famille économique,Personnes en situation de résilience des actifs pour au moins 1 mois,10,64.3
1999,Terre-Neuve-et-Labrador,Personnes dans un autre type de famille économique,Personnes en situation de résilience des actifs pour au moins 3 mois,10,43.7
1999,Terre-Neuve-et-Labrador,Personnes dans un autre type de famille économique,Personnes en situation de résilience des actifs pour au moins 6 mois,10,39.1
1999,Terre-Neuve-et-Labrador,Personnes hors famille économique,Personnes en situation de résilience des actifs pour au moins 1 mois,10,49.2
1999,Terre-Neuve-et-Labrador,Personnes hors famille économique,Personnes en situation de résilience des actifs pour au moins 3 mois,10,22.6
1999,Terre-Neuve-et-Labrador,Personnes hors famille économique,Personnes en situation de résilience des actifs pour au moins 6 mois,10,20.0
1999,Île-du-Prince-Édouard,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 1 mois,11,62.4
1999,Île-du-Prince-Édouard,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 3 mois,11,53.4
1999,Île-du-Prince-Édouard,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 6 mois,11,42.4
1999,Île-du-Prince-Édouard,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 1 mois,11,52.9
1999,Île-du-Prince-Édouard,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 3 mois,11,44.7
1999,Île-du-Prince-Édouard,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 6 mois,11,32.3
1999,Île-du-Prince-Édouard,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 1 mois,11,63.7
1999,Île-du-Prince-Édouard,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 3 mois,11,54.0
1999,Île-du-Prince-Édouard,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 6 mois,11,43.3
1999,Île-du-Prince-Édouard,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 1 mois,11,75.3
1999,Île-du-Prince-Édouard,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 3 mois,11,67.9
1999,Île-du-Prince-Édouard,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 6 mois,11,58.5
1999,Île-du-Prince-Édouard,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 1 mois,11,64.3
1999,Île-du-Prince-Édouard,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 3 mois,11,54.9
1999,Île-du-Prince-Édouard,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 6 mois,11,43.6
1999,Île-du-Prince-Édouard,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 1 mois,11,77.7
1999,Île-du-Prince-Édouard,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 3 mois,11,64.9
1999,Île-du-Prince-Édouard,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 6 mois,11,53.4
1999,Île-du-Prince-Édouard,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 1 mois,11,62.0
1999,Île-du-Prince-Édouard,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 3 mois,11,53.7
1999,Île-du-Prince-Édouard,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 6 mois,11,39.9
1999,Île-du-Prince-Édouard,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 1 mois,11,19.8
1999,Île-du-Prince-Édouard,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 3 mois,11,15.1
1999,Île-du-Prince-Édouard,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 6 mois,11,14.1
1999,Île-du-Prince-Édouard,Personnes dans un autre type de famille économique,Personnes en situation de résilience des actifs pour au moins 1 mois,11,73.5
1999,Île-du-Prince-Édouard,Personnes dans un autre type de famille économique,Personnes en situation de résilience des actifs pour au moins 3 mois,11,63.5
1999,Île-du-Prince-Édouard,Personnes dans un autre type de famille économique,Personnes en situation de résilience des actifs pour au moins 6 mois,11,54.8
1999,Île-du-Prince-Édouard,Personnes hors famille économique,Personnes en situation de résilience des actifs pour au moins 1 mois,11,47.7
1999,Île-du-Prince-Édouard,Personnes hors famille économique,Personnes en situation de résilience des actifs pour au moins 3 mois,11,41.9
1999,Île-du-Prince-Édouard,Personnes hors famille économique,Personnes en situation de résilience des actifs pour au moins 6 mois,11,33.6
1999,Nouvelle-Écosse,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 1 mois,12,66.6
1999,Nouvelle-Écosse,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 3 mois,12,57.0
1999,Nouvelle-Écosse,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 6 mois,12,47.8
1999,Nouvelle-Écosse,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 1 mois,12,59.5
1999,Nouvelle-Écosse,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 3 mois,12,49.6
1999,Nouvelle-Écosse,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 6 mois,12,40.2
1999,Nouvelle-Écosse,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 1 mois,12,67.9
1999,Nouvelle-Écosse,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 3 mois,12,58.5
1999,Nouvelle-Écosse,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 6 mois,12,49.1
1999,Nouvelle-Écosse,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 1 mois,12,72.8
1999,Nouvelle-Écosse,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 3 mois,12,62.3
1999,Nouvelle-Écosse,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 6 mois,12,54.8
1999,Nouvelle-Écosse,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 1 mois,12,66.9
1999,Nouvelle-Écosse,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 3 mois,12,57.9
1999,Nouvelle-Écosse,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 6 mois,12,48.5
1999,Nouvelle-Écosse,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 1 mois,12,72.2
1999,Nouvelle-Écosse,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 3 mois,12,65.9
1999,Nouvelle-Écosse,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 6 mois,12,56.2
1999,Nouvelle-Écosse,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 1 mois,12,69.3
1999,Nouvelle-Écosse,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 3 mois,12,59.0
1999,Nouvelle-Écosse,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 6 mois,12,47.2
1999,Nouvelle-Écosse,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 1 mois,12,28.7
1999,Nouvelle-Écosse,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 3 mois,12,28.1
1999,Nouvelle-Écosse,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 6 mois,12,25.2
1999,Nouvelle-Écosse,Personnes dans un autre type de famille économique,Personnes en situation de résilience des actifs pour au moins 1 mois,12,68.5
1999,Nouvelle-Écosse,Personnes dans un autre type de famille économique,Personnes en situation de résilience des actifs pour au moins 3 mois,12,56.2
1999,Nouvelle-Écosse,Personnes dans un autre type de famille économique,Personnes en situation de résilience des actifs pour au moins 6 mois,12,50.3
1999,Nouvelle-Écosse,Personnes hors famille économique,Personnes en situation de résilience des actifs pour au moins 1 mois,12,63.9
1999,Nouvelle-Écosse,Personnes hors famille économique,Personnes en situation de résilience des actifs pour au moins 3 mois,12,50.4
1999,Nouvelle-Écosse,Personnes hors famille économique,Personnes en situation de résilience des actifs pour au moins 6 mois,12,42.3
1999,Nouveau-Brunswick,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 1 mois,13,61.8
1999,Nouveau-Brunswick,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 3 mois,13,51.3
1999,Nouveau-Brunswick,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 6 mois,13,41.7
1999,Nouveau-Brunswick,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 1 mois,13,51.3
1999,Nouveau-Brunswick,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 3 mois,13,42.5
1999,Nouveau-Brunswick,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 6 mois,13,33.1
1999,Nouveau-Brunswick,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 1 mois,13,64.0
1999,Nouveau-Brunswick,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 3 mois,13,52.3
1999,Nouveau-Brunswick,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 6 mois,13,43.0
1999,Nouveau-Brunswick,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 1 mois,13,69.4
1999,Nouveau-Brunswick,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 3 mois,13,62.3
1999,Nouveau-Brunswick,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 6 mois,13,50.6
1999,Nouveau-Brunswick,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 1 mois,13,61.2
1999,Nouveau-Brunswick,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 3 mois,13,51.7
1999,Nouveau-Brunswick,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 6 mois,13,42.0
1999,Nouveau-Brunswick,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 1 mois,13,70.2
1999,Nouveau-Brunswick,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 3 mois,13,64.1
1999,Nouveau-Brunswick,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 6 mois,13,54.7
1999,Nouveau-Brunswick,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 1 mois,13,58.6
1999,Nouveau-Brunswick,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 3 mois,13,48.7
1999,Nouveau-Brunswick,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 6 mois,13,36.6
1999,Nouveau-Brunswick,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 1 mois,13,23.6
1999,Nouveau-Brunswick,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 3 mois,13,16.7
1999,Nouveau-Brunswick,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 6 mois,13,14.0
1999,Nouveau-Brunswick,Personnes dans un autre type de famille économique,Personnes en situation de résilience des actifs pour au moins 1 mois,13,70.1
1999,Nouveau-Brunswick,Personnes dans un autre type de famille économique,Personnes en situation de résilience des actifs pour au moins 3 mois,13,57.5
1999,Nouveau-Brunswick,Personnes dans un autre type de famille économique,Personnes en situation de résilience des actifs pour au moins 6 mois,13,49.0
1999,Nouveau-Brunswick,Personnes hors famille économique,Personnes en situation de résilience des actifs pour au moins 1 mois,13,66.3
1999,Nouveau-Brunswick,Personnes hors famille économique,Personnes en situation de résilience des actifs pour au moins 3 mois,13,47.9
1999,Nouveau-Brunswick,Personnes hors famille économique,Personnes en situation de résilience des actifs pour au moins 6 mois,13,39.8
1999,Québec,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 1 mois,24,72.8
1999,Québec,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 3 mois,24,60.8
1999,Québec,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 6 mois,24,50.4
1999,Québec,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 1 mois,24,66.7
1999,Québec,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 3 mois,24,51.0
1999,Québec,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 6 mois,24,40.3
1999,Québec,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 1 mois,24,73.7
1999,Québec,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 3 mois,24,62.0
1999,Québec,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 6 mois,24,51.3
1999,Québec,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 1 mois,24,79.5
1999,Québec,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 3 mois,24,72.2
1999,Québec,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 6 mois,24,64.3
1999,Québec,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 1 mois,24,74.3
1999,Québec,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 3 mois,24,62.1
1999,Québec,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 6 mois,24,51.8
1999,Québec,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 1 mois,24,79.4
1999,Québec,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 3 mois,24,72.1
1999,Québec,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 6 mois,24,63.8
1999,Québec,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 1 mois,24,73.9
1999,Québec,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 3 mois,24,57.1
1999,Québec,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 6 mois,24,45.2
1999,Québec,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 1 mois,24,41.7
1999,Québec,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 3 mois,24,28.7
1999,Québec,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 6 mois,24,23.2
1999,Québec,Personnes dans un autre type de famille économique,Personnes en situation de résilience des actifs pour au moins 1 mois,24,81.3
1999,Québec,Personnes dans un autre type de famille économique,Personnes en situation de résilience des actifs pour au moins 3 mois,24,74.8
1999,Québec,Personnes dans un autre type de famille économique,Personnes en situation de résilience des actifs pour au moins 6 mois,24,64.2
1999,Québec,Personnes hors famille économique,Personnes en situation de résilience des actifs pour au moins 1 mois,24,64.5
1999,Québec,Personnes hors famille économique,Personnes en situation de résilience des actifs pour au moins 3 mois,24,52.8
1999,Québec,Personnes hors famille économique,Personnes en situation de résilience des actifs pour au moins 6 mois,24,42.3
1999,Ontario,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 1 mois,35,77.1
1999,Ontario,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 3 mois,35,66.3
1999,Ontario,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 6 mois,35,58.2
1999,Ontario,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 1 mois,35,70.1
1999,Ontario,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 3 mois,35,59.0
1999,Ontario,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 6 mois,35,48.7
1999,Ontario,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 1 mois,35,78.0
1999,Ontario,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 3 mois,35,66.7
1999,Ontario,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 6 mois,35,59.0
1999,Ontario,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 1 mois,35,86.2
1999,Ontario,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 3 mois,35,78.8
1999,Ontario,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 6 mois,35,73.0
1999,Ontario,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 1 mois,35,77.6
1999,Ontario,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 3 mois,35,67.1
1999,Ontario,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 6 mois,35,58.7
1999,Ontario,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 1 mois,35,87.0
1999,Ontario,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 3 mois,35,79.6
1999,Ontario,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 6 mois,35,74.4
1999,Ontario,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 1 mois,35,77.0
1999,Ontario,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 3 mois,35,64.4
1999,Ontario,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 6 mois,35,53.3
1999,Ontario,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 1 mois,35,39.8
1999,Ontario,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 3 mois,35,30.6
1999,Ontario,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 6 mois,35,25.7
1999,Ontario,Personnes dans un autre type de famille économique,Personnes en situation de résilience des actifs pour au moins 1 mois,35,81.3
1999,Ontario,Personnes dans un autre type de famille économique,Personnes en situation de résilience des actifs pour au moins 3 mois,35,72.2
1999,Ontario,Personnes dans un autre type de famille économique,Personnes en situation de résilience des actifs pour au moins 6 mois,35,65.7
1999,Ontario,Personnes hors famille économique,Personnes en situation de résilience des actifs pour au moins 1 mois,35,73.0
1999,Ontario,Personnes hors famille économique,Personnes en situation de résilience des actifs pour au moins 3 mois,35,60.5
1999,Ontario,Personnes hors famille économique,Personnes en situation de résilience des actifs pour au moins 6 mois,35,54.6
1999,Manitoba,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 1 mois,46,74.1
1999,Manitoba,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 3 mois,46,64.2
1999,Manitoba,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 6 mois,46,56.6
1999,Manitoba,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 1 mois,46,67.2
1999,Manitoba,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 3 mois,46,54.2
1999,Manitoba,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 6 mois,46,47.1
1999,Manitoba,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 1 mois,46,73.4
1999,Manitoba,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 3 mois,46,63.6
1999,Manitoba,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 6 mois,46,55.2
1999,Manitoba,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 1 mois,46,90.1
1999,Manitoba,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 3 mois,46,85.0
1999,Manitoba,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 6 mois,46,80.5
1999,Manitoba,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 1 mois,46,75.1
1999,Manitoba,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 3 mois,46,65.0
1999,Manitoba,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 6 mois,46,57.8
1999,Manitoba,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 1 mois,46,86.0
1999,Manitoba,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 3 mois,46,79.4
1999,Manitoba,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 6 mois,46,72.1
1999,Manitoba,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 1 mois,46,74.1
1999,Manitoba,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 3 mois,46,61.4
1999,Manitoba,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 6 mois,46,53.9
1999,Manitoba,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 1 mois,46,42.7
1999,Manitoba,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 3 mois,46,31.9
1999,Manitoba,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 6 mois,46,28.2
