Year,Âge au décès,Sexe,Principales causes de décès,Value
2015,1 à 14 ans,Les deux sexes,Maladies du coeur,0.3
2015,1 à 14 ans,Les deux sexes,Maladies cérébrovasculaires,0.2
2015,1 à 14 ans,Les deux sexes,Grippe et pneumopathie,0.3
2015,1 à 14 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,1 à 14 ans,Les deux sexes,Maladie chronique et cirrhose du foie,0.0
2015,1 à 14 ans,Les deux sexes,Accidents (blessures involontaires),2.9
2015,1 à 14 ans,Les deux sexes,Lésions auto-infligées,1.8
2015,1 à 14 ans,Hommes,Tumeurs malignes,2.5
2015,1 à 14 ans,Hommes,Diabète sucré,0.1
2015,1 à 14 ans,Hommes,Maladie d'Alzheimer,0.0
2015,1 à 14 ans,Hommes,Maladies du coeur,0.5
2015,1 à 14 ans,Hommes,Maladies cérébrovasculaires,0.3
2015,1 à 14 ans,Hommes,Grippe et pneumopathie,0.4
2015,1 à 14 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,1 à 14 ans,Hommes,Maladie chronique et cirrhose du foie,0.0
2015,1 à 14 ans,Hommes,Accidents (blessures involontaires),3.6
2015,1 à 14 ans,Hommes,Lésions auto-infligées,1.4
2015,1 à 14 ans,Femmes,Tumeurs malignes,2.3
2015,1 à 14 ans,Femmes,Diabète sucré,0.0
2015,1 à 14 ans,Femmes,Maladie d'Alzheimer,0.0
2015,1 à 14 ans,Femmes,Maladies du coeur,0.2
2015,1 à 14 ans,Femmes,Maladies cérébrovasculaires,0.2
2015,1 à 14 ans,Femmes,Grippe et pneumopathie,0.3
2015,1 à 14 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,1 à 14 ans,Femmes,Maladie chronique et cirrhose du foie,0.0
2015,1 à 14 ans,Femmes,Accidents (blessures involontaires),2.2
2015,1 à 14 ans,Femmes,Lésions auto-infligées,2.3
2015,15 à 24 ans,Les deux sexes,Tumeurs malignes,3.3
2015,15 à 24 ans,Les deux sexes,Diabète sucré,0.3
2015,15 à 24 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2015,15 à 24 ans,Les deux sexes,Maladies du coeur,1.0
2015,15 à 24 ans,Les deux sexes,Maladies cérébrovasculaires,0.2
2015,15 à 24 ans,Les deux sexes,Grippe et pneumopathie,0.3
2015,15 à 24 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,15 à 24 ans,Les deux sexes,Maladie chronique et cirrhose du foie,0.2
2015,15 à 24 ans,Les deux sexes,Accidents (blessures involontaires),16.4
2015,15 à 24 ans,Les deux sexes,Lésions auto-infligées,11.7
2015,15 à 24 ans,Hommes,Tumeurs malignes,4.1
2015,15 à 24 ans,Hommes,Diabète sucré,0.3
2015,15 à 24 ans,Hommes,Maladie d'Alzheimer,0.0
2015,15 à 24 ans,Hommes,Maladies du coeur,1.1
2015,15 à 24 ans,Hommes,Maladies cérébrovasculaires,0.1
2015,15 à 24 ans,Hommes,Grippe et pneumopathie,0.5
2015,15 à 24 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,15 à 24 ans,Hommes,Maladie chronique et cirrhose du foie,0.2
2015,15 à 24 ans,Hommes,Accidents (blessures involontaires),23.0
2015,15 à 24 ans,Hommes,Lésions auto-infligées,16.1
2015,15 à 24 ans,Femmes,Tumeurs malignes,2.5
2015,15 à 24 ans,Femmes,Diabète sucré,0.2
2015,15 à 24 ans,Femmes,Maladie d'Alzheimer,0.0
2015,15 à 24 ans,Femmes,Maladies du coeur,0.9
2015,15 à 24 ans,Femmes,Maladies cérébrovasculaires,0.3
2015,15 à 24 ans,Femmes,Grippe et pneumopathie,0.1
2015,15 à 24 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,15 à 24 ans,Femmes,Maladie chronique et cirrhose du foie,0.2
2015,15 à 24 ans,Femmes,Accidents (blessures involontaires),9.4
2015,15 à 24 ans,Femmes,Lésions auto-infligées,7.0
2015,25 à 34 ans,Les deux sexes,Tumeurs malignes,8.3
2015,25 à 34 ans,Les deux sexes,Diabète sucré,1.1
2015,25 à 34 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2015,25 à 34 ans,Les deux sexes,Maladies du coeur,3.0
2015,25 à 34 ans,Les deux sexes,Maladies cérébrovasculaires,0.7
2015,25 à 34 ans,Les deux sexes,Grippe et pneumopathie,0.4
2015,25 à 34 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,25 à 34 ans,Les deux sexes,Maladie chronique et cirrhose du foie,0.8
2015,25 à 34 ans,Les deux sexes,Accidents (blessures involontaires),20.2
2015,25 à 34 ans,Les deux sexes,Lésions auto-infligées,14.1
2015,25 à 34 ans,Hommes,Tumeurs malignes,7.5
2015,25 à 34 ans,Hommes,Diabète sucré,1.5
2015,25 à 34 ans,Hommes,Maladie d'Alzheimer,0.0
2015,25 à 34 ans,Hommes,Maladies du coeur,4.0
2015,25 à 34 ans,Hommes,Maladies cérébrovasculaires,0.8
2015,25 à 34 ans,Hommes,Grippe et pneumopathie,0.4
2015,25 à 34 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.4
2015,25 à 34 ans,Hommes,Maladie chronique et cirrhose du foie,1.2
2015,25 à 34 ans,Hommes,Accidents (blessures involontaires),31.3
2015,25 à 34 ans,Hommes,Lésions auto-infligées,20.5
2015,25 à 34 ans,Femmes,Tumeurs malignes,9.3
2015,25 à 34 ans,Femmes,Diabète sucré,0.7
2015,25 à 34 ans,Femmes,Maladie d'Alzheimer,0.0
2015,25 à 34 ans,Femmes,Maladies du coeur,2.1
2015,25 à 34 ans,Femmes,Maladies cérébrovasculaires,0.7
2015,25 à 34 ans,Femmes,Grippe et pneumopathie,0.4
2015,25 à 34 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,25 à 34 ans,Femmes,Maladie chronique et cirrhose du foie,0.4
2015,25 à 34 ans,Femmes,Accidents (blessures involontaires),8.8
2015,25 à 34 ans,Femmes,Lésions auto-infligées,7.7
2015,35 à 44 ans,Les deux sexes,Tumeurs malignes,23.7
2015,35 à 44 ans,Les deux sexes,Diabète sucré,2.2
2015,35 à 44 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2015,35 à 44 ans,Les deux sexes,Maladies du coeur,9.9
2015,35 à 44 ans,Les deux sexes,Maladies cérébrovasculaires,2.2
2015,35 à 44 ans,Les deux sexes,Grippe et pneumopathie,1.2
2015,35 à 44 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.6
2015,35 à 44 ans,Les deux sexes,Maladie chronique et cirrhose du foie,3.4
2015,35 à 44 ans,Les deux sexes,Accidents (blessures involontaires),20.0
2015,35 à 44 ans,Les deux sexes,Lésions auto-infligées,14.4
2015,35 à 44 ans,Hommes,Tumeurs malignes,19.9
2015,35 à 44 ans,Hommes,Diabète sucré,3.2
2015,35 à 44 ans,Hommes,Maladie d'Alzheimer,0.0
2015,35 à 44 ans,Hommes,Maladies du coeur,14.6
2015,35 à 44 ans,Hommes,Maladies cérébrovasculaires,2.6
2015,35 à 44 ans,Hommes,Grippe et pneumopathie,1.4
2015,35 à 44 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.4
2015,35 à 44 ans,Hommes,Maladie chronique et cirrhose du foie,4.1
2015,35 à 44 ans,Hommes,Accidents (blessures involontaires),30.6
2015,35 à 44 ans,Hommes,Lésions auto-infligées,21.4
2015,35 à 44 ans,Femmes,Tumeurs malignes,27.5
2015,35 à 44 ans,Femmes,Diabète sucré,1.3
2015,35 à 44 ans,Femmes,Maladie d'Alzheimer,0.1
2015,35 à 44 ans,Femmes,Maladies du coeur,5.3
2015,35 à 44 ans,Femmes,Maladies cérébrovasculaires,1.9
2015,35 à 44 ans,Femmes,Grippe et pneumopathie,1.0
2015,35 à 44 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.8
2015,35 à 44 ans,Femmes,Maladie chronique et cirrhose du foie,2.7
2015,35 à 44 ans,Femmes,Accidents (blessures involontaires),9.5
2015,35 à 44 ans,Femmes,Lésions auto-infligées,7.6
2015,45 à 54 ans,Les deux sexes,Tumeurs malignes,86.4
2015,45 à 54 ans,Les deux sexes,Diabète sucré,6.2
2015,45 à 54 ans,Les deux sexes,Maladie d'Alzheimer,0.1
2015,45 à 54 ans,Les deux sexes,Maladies du coeur,36.0
2015,45 à 54 ans,Les deux sexes,Maladies cérébrovasculaires,6.4
2015,45 à 54 ans,Les deux sexes,Grippe et pneumopathie,2.9
2015,45 à 54 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,3.9
2015,45 à 54 ans,Les deux sexes,Maladie chronique et cirrhose du foie,10.1
2015,45 à 54 ans,Les deux sexes,Accidents (blessures involontaires),24.9
2015,45 à 54 ans,Les deux sexes,Lésions auto-infligées,19.1
2015,45 à 54 ans,Hommes,Tumeurs malignes,80.1
2015,45 à 54 ans,Hommes,Diabète sucré,8.3
2015,45 à 54 ans,Hommes,Maladie d'Alzheimer,0.1
2015,45 à 54 ans,Hommes,Maladies du coeur,55.3
2015,45 à 54 ans,Hommes,Maladies cérébrovasculaires,6.8
2015,45 à 54 ans,Hommes,Grippe et pneumopathie,3.1
2015,45 à 54 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,3.9
2015,45 à 54 ans,Hommes,Maladie chronique et cirrhose du foie,13.7
2015,45 à 54 ans,Hommes,Accidents (blessures involontaires),35.2
2015,45 à 54 ans,Hommes,Lésions auto-infligées,28.1
2015,45 à 54 ans,Femmes,Tumeurs malignes,92.8
2015,45 à 54 ans,Femmes,Diabète sucré,4.1
2015,45 à 54 ans,Femmes,Maladie d'Alzheimer,0.0
2015,45 à 54 ans,Femmes,Maladies du coeur,16.7
2015,45 à 54 ans,Femmes,Maladies cérébrovasculaires,6.0
2015,45 à 54 ans,Femmes,Grippe et pneumopathie,2.8
2015,45 à 54 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,3.8
2015,45 à 54 ans,Femmes,Maladie chronique et cirrhose du foie,6.4
2015,45 à 54 ans,Femmes,Accidents (blessures involontaires),14.6
2015,45 à 54 ans,Femmes,Lésions auto-infligées,10.1
2015,55 à 64 ans,Les deux sexes,Tumeurs malignes,272.4
2015,55 à 64 ans,Les deux sexes,Diabète sucré,16.8
2015,55 à 64 ans,Les deux sexes,Maladie d'Alzheimer,1.3
2015,55 à 64 ans,Les deux sexes,Maladies du coeur,101.3
2015,55 à 64 ans,Les deux sexes,Maladies cérébrovasculaires,16.3
2015,55 à 64 ans,Les deux sexes,Grippe et pneumopathie,7.0
2015,55 à 64 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,19.7
2015,55 à 64 ans,Les deux sexes,Maladie chronique et cirrhose du foie,19.5
2015,55 à 64 ans,Les deux sexes,Accidents (blessures involontaires),26.2
2015,55 à 64 ans,Les deux sexes,Lésions auto-infligées,17.6
2015,55 à 64 ans,Hommes,Tumeurs malignes,287.8
2015,55 à 64 ans,Hommes,Diabète sucré,22.3
2015,55 à 64 ans,Hommes,Maladie d'Alzheimer,0.9
2015,55 à 64 ans,Hommes,Maladies du coeur,150.9
2015,55 à 64 ans,Hommes,Maladies cérébrovasculaires,18.4
2015,55 à 64 ans,Hommes,Grippe et pneumopathie,7.7
2015,55 à 64 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,22.3
2015,55 à 64 ans,Hommes,Maladie chronique et cirrhose du foie,27.3
2015,55 à 64 ans,Hommes,Accidents (blessures involontaires),38.6
2015,55 à 64 ans,Hommes,Lésions auto-infligées,27.2
2015,55 à 64 ans,Femmes,Tumeurs malignes,257.3
2015,55 à 64 ans,Femmes,Diabète sucré,11.4
2015,55 à 64 ans,Femmes,Maladie d'Alzheimer,1.7
2015,55 à 64 ans,Femmes,Maladies du coeur,52.7
2015,55 à 64 ans,Femmes,Maladies cérébrovasculaires,14.2
2015,55 à 64 ans,Femmes,Grippe et pneumopathie,6.4
2015,55 à 64 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,17.2
2015,55 à 64 ans,Femmes,Maladie chronique et cirrhose du foie,11.8
2015,55 à 64 ans,Femmes,Accidents (blessures involontaires),14.0
2015,55 à 64 ans,Femmes,Lésions auto-infligées,8.1
2015,65 à 74 ans,Les deux sexes,Tumeurs malignes,627.6
2015,65 à 74 ans,Les deux sexes,Diabète sucré,47.7
2015,65 à 74 ans,Les deux sexes,Maladie d'Alzheimer,11.6
2015,65 à 74 ans,Les deux sexes,Maladies du coeur,247.1
2015,65 à 74 ans,Les deux sexes,Maladies cérébrovasculaires,53.3
2015,65 à 74 ans,Les deux sexes,Grippe et pneumopathie,21.8
2015,65 à 74 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,79.2
2015,65 à 74 ans,Les deux sexes,Maladie chronique et cirrhose du foie,26.6
2015,65 à 74 ans,Les deux sexes,Accidents (blessures involontaires),34.2
2015,65 à 74 ans,Les deux sexes,Lésions auto-infligées,11.8
2015,65 à 74 ans,Hommes,Tumeurs malignes,717.3
2015,65 à 74 ans,Hommes,Diabète sucré,64.2
2015,65 à 74 ans,Hommes,Maladie d'Alzheimer,11.9
2015,65 à 74 ans,Hommes,Maladies du coeur,345.4
2015,65 à 74 ans,Hommes,Maladies cérébrovasculaires,60.1
2015,65 à 74 ans,Hommes,Grippe et pneumopathie,26.3
2015,65 à 74 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,85.5
2015,65 à 74 ans,Hommes,Maladie chronique et cirrhose du foie,37.6
2015,65 à 74 ans,Hommes,Accidents (blessures involontaires),44.6
2015,65 à 74 ans,Hommes,Lésions auto-infligées,19.0
2015,65 à 74 ans,Femmes,Tumeurs malignes,543.7
2015,65 à 74 ans,Femmes,Diabète sucré,32.2
2015,65 à 74 ans,Femmes,Maladie d'Alzheimer,11.3
2015,65 à 74 ans,Femmes,Maladies du coeur,155.0
2015,65 à 74 ans,Femmes,Maladies cérébrovasculaires,47.0
2015,65 à 74 ans,Femmes,Grippe et pneumopathie,17.5
2015,65 à 74 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,73.4
2015,65 à 74 ans,Femmes,Maladie chronique et cirrhose du foie,16.4
2015,65 à 74 ans,Femmes,Accidents (blessures involontaires),24.4
2015,65 à 74 ans,Femmes,Lésions auto-infligées,5.0
2015,75 à 84 ans,Les deux sexes,Tumeurs malignes,1275.0
2015,75 à 84 ans,Les deux sexes,Diabète sucré,121.1
2015,75 à 84 ans,Les deux sexes,Maladie d'Alzheimer,100.4
2015,75 à 84 ans,Les deux sexes,Maladies du coeur,763.5
2015,75 à 84 ans,Les deux sexes,Maladies cérébrovasculaires,230.3
2015,75 à 84 ans,Les deux sexes,Grippe et pneumopathie,102.1
2015,75 à 84 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,244.9
2015,75 à 84 ans,Les deux sexes,Maladie chronique et cirrhose du foie,26.2
2015,75 à 84 ans,Les deux sexes,Accidents (blessures involontaires),113.2
2015,75 à 84 ans,Les deux sexes,Lésions auto-infligées,13.3
2015,75 à 84 ans,Hommes,Tumeurs malignes,1562.7
2015,75 à 84 ans,Hommes,Diabète sucré,149.2
2015,75 à 84 ans,Hommes,Maladie d'Alzheimer,92.0
2015,75 à 84 ans,Hommes,Maladies du coeur,973.5
2015,75 à 84 ans,Hommes,Maladies cérébrovasculaires,246.9
2015,75 à 84 ans,Hommes,Grippe et pneumopathie,120.8
2015,75 à 84 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,277.5
2015,75 à 84 ans,Hommes,Maladie chronique et cirrhose du foie,36.1
2015,75 à 84 ans,Hommes,Accidents (blessures involontaires),138.7
2015,75 à 84 ans,Hommes,Lésions auto-infligées,23.0
2015,75 à 84 ans,Femmes,Tumeurs malignes,1041.3
2015,75 à 84 ans,Femmes,Diabète sucré,98.2
2015,75 à 84 ans,Femmes,Maladie d'Alzheimer,107.2
2015,75 à 84 ans,Femmes,Maladies du coeur,593.0
2015,75 à 84 ans,Femmes,Maladies cérébrovasculaires,216.9
2015,75 à 84 ans,Femmes,Grippe et pneumopathie,86.9
2015,75 à 84 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,218.5
2015,75 à 84 ans,Femmes,Maladie chronique et cirrhose du foie,18.1
2015,75 à 84 ans,Femmes,Accidents (blessures involontaires),92.4
2015,75 à 84 ans,Femmes,Lésions auto-infligées,5.5
2015,85 ans et plus,Les deux sexes,Tumeurs malignes,2039.4
2015,85 ans et plus,Les deux sexes,Diabète sucré,300.5
2015,85 ans et plus,Les deux sexes,Maladie d'Alzheimer,594.4
2015,85 ans et plus,Les deux sexes,Maladies du coeur,3090.8
2015,85 ans et plus,Les deux sexes,Maladies cérébrovasculaires,919.2
2015,85 ans et plus,Les deux sexes,Grippe et pneumopathie,613.9
2015,85 ans et plus,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,616.0
2015,85 ans et plus,Les deux sexes,Maladie chronique et cirrhose du foie,25.3
2015,85 ans et plus,Les deux sexes,Accidents (blessures involontaires),489.2
2015,85 ans et plus,Les deux sexes,Lésions auto-infligées,11.3
2015,85 ans et plus,Hommes,Tumeurs malignes,2847.1
2015,85 ans et plus,Hommes,Diabète sucré,361.4
2015,85 ans et plus,Hommes,Maladie d'Alzheimer,474.6
2015,85 ans et plus,Hommes,Maladies du coeur,3473.6
2015,85 ans et plus,Hommes,Maladies cérébrovasculaires,870.1
2015,85 ans et plus,Hommes,Grippe et pneumopathie,684.1
2015,85 ans et plus,Hommes,Maladies chroniques des voies respiratoires inférieures,819.9
2015,85 ans et plus,Hommes,Maladie chronique et cirrhose du foie,36.0
2015,85 ans et plus,Hommes,Accidents (blessures involontaires),520.0
2015,85 ans et plus,Hommes,Lésions auto-infligées,27.0
2015,85 ans et plus,Femmes,Tumeurs malignes,1616.7
2015,85 ans et plus,Femmes,Diabète sucré,268.6
2015,85 ans et plus,Femmes,Maladie d'Alzheimer,657.1
2015,85 ans et plus,Femmes,Maladies du coeur,2890.5
2015,85 ans et plus,Femmes,Maladies cérébrovasculaires,944.8
2015,85 ans et plus,Femmes,Grippe et pneumopathie,577.2
2015,85 ans et plus,Femmes,Maladies chroniques des voies respiratoires inférieures,509.2
2015,85 ans et plus,Femmes,Maladie chronique et cirrhose du foie,19.7
2015,85 ans et plus,Femmes,Accidents (blessures involontaires),473.1
2015,85 ans et plus,Femmes,Lésions auto-infligées,3.1
2016,Tous les âges,Les deux sexes,Tumeurs malignes,219.2
2016,Tous les âges,Les deux sexes,Diabète sucré,19.0
2016,Tous les âges,Les deux sexes,Maladie d'Alzheimer,18.1
2016,Tous les âges,Les deux sexes,Maladies du coeur,143.6
2016,Tous les âges,Les deux sexes,Maladies cérébrovasculaires,37.6
2016,Tous les âges,Les deux sexes,Grippe et pneumopathie,17.3
2016,Tous les âges,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,34.1
2016,Tous les âges,Les deux sexes,Maladie chronique et cirrhose du foie,9.4
2016,Tous les âges,Les deux sexes,Accidents (blessures involontaires),37.6
2016,Tous les âges,Les deux sexes,Lésions auto-infligées,12.3
2016,Tous les âges,Hommes,Tumeurs malignes,231.6
2016,Tous les âges,Hommes,Diabète sucré,20.7
2016,Tous les âges,Hommes,Maladie d'Alzheimer,11.6
2016,Tous les âges,Hommes,Maladies du coeur,155.3
2016,Tous les âges,Hommes,Maladies cérébrovasculaires,31.8
2016,Tous les âges,Hommes,Grippe et pneumopathie,16.6
2016,Tous les âges,Hommes,Maladies chroniques des voies respiratoires inférieures,34.5
2016,Tous les âges,Hommes,Maladie chronique et cirrhose du foie,12.3
2016,Tous les âges,Hommes,Accidents (blessures involontaires),45.5
2016,Tous les âges,Hommes,Lésions auto-infligées,18.3
2016,Tous les âges,Femmes,Tumeurs malignes,206.9
2016,Tous les âges,Femmes,Diabète sucré,17.4
2016,Tous les âges,Femmes,Maladie d'Alzheimer,24.5
2016,Tous les âges,Femmes,Maladies du coeur,132.0
2016,Tous les âges,Femmes,Maladies cérébrovasculaires,43.4
2016,Tous les âges,Femmes,Grippe et pneumopathie,18.1
2016,Tous les âges,Femmes,Maladies chroniques des voies respiratoires inférieures,33.7
2016,Tous les âges,Femmes,Maladie chronique et cirrhose du foie,6.6
2016,Tous les âges,Femmes,Accidents (blessures involontaires),29.9
2016,Tous les âges,Femmes,Lésions auto-infligées,6.4
2016,1 à 14 ans,Les deux sexes,Tumeurs malignes,2.4
2016,1 à 14 ans,Les deux sexes,Diabète sucré,0.1
2016,1 à 14 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2016,1 à 14 ans,Les deux sexes,Maladies du coeur,0.4
2016,1 à 14 ans,Les deux sexes,Maladies cérébrovasculaires,0.1
2016,1 à 14 ans,Les deux sexes,Grippe et pneumopathie,0.5
2016,1 à 14 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2016,1 à 14 ans,Les deux sexes,Maladie chronique et cirrhose du foie,0.0
2016,1 à 14 ans,Les deux sexes,Accidents (blessures involontaires),2.8
2016,1 à 14 ans,Les deux sexes,Lésions auto-infligées,1.3
2016,1 à 14 ans,Hommes,Tumeurs malignes,2.5
2016,1 à 14 ans,Hommes,Diabète sucré,0.1
2016,1 à 14 ans,Hommes,Maladie d'Alzheimer,0.0
2016,1 à 14 ans,Hommes,Maladies du coeur,0.4
2016,1 à 14 ans,Hommes,Maladies cérébrovasculaires,0.2
2016,1 à 14 ans,Hommes,Grippe et pneumopathie,0.4
2016,1 à 14 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.1
2016,1 à 14 ans,Hommes,Maladie chronique et cirrhose du foie,0.0
2016,1 à 14 ans,Hommes,Accidents (blessures involontaires),3.4
2016,1 à 14 ans,Hommes,Lésions auto-infligées,1.7
2016,1 à 14 ans,Femmes,Tumeurs malignes,2.2
2016,1 à 14 ans,Femmes,Diabète sucré,0.1
2016,1 à 14 ans,Femmes,Maladie d'Alzheimer,0.0
2016,1 à 14 ans,Femmes,Maladies du coeur,0.4
2016,1 à 14 ans,Femmes,Maladies cérébrovasculaires,0.1
2016,1 à 14 ans,Femmes,Grippe et pneumopathie,0.6
2016,1 à 14 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2016,1 à 14 ans,Femmes,Maladie chronique et cirrhose du foie,0.0
2016,1 à 14 ans,Femmes,Accidents (blessures involontaires),2.2
2016,1 à 14 ans,Femmes,Lésions auto-infligées,1.8
2016,15 à 24 ans,Les deux sexes,Tumeurs malignes,3.0
2016,15 à 24 ans,Les deux sexes,Diabète sucré,0.2
2016,15 à 24 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2016,15 à 24 ans,Les deux sexes,Maladies du coeur,1.0
2016,15 à 24 ans,Les deux sexes,Maladies cérébrovasculaires,0.2
2016,15 à 24 ans,Les deux sexes,Grippe et pneumopathie,0.3
2016,15 à 24 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2016,15 à 24 ans,Les deux sexes,Maladie chronique et cirrhose du foie,0.0
2016,15 à 24 ans,Les deux sexes,Accidents (blessures involontaires),18.1
2016,15 à 24 ans,Les deux sexes,Lésions auto-infligées,11.8
2016,15 à 24 ans,Hommes,Tumeurs malignes,3.8
2016,15 à 24 ans,Hommes,Diabète sucré,0.3
2016,15 à 24 ans,Hommes,Maladie d'Alzheimer,0.0
2016,15 à 24 ans,Hommes,Maladies du coeur,1.1
2016,15 à 24 ans,Hommes,Maladies cérébrovasculaires,0.2
2016,15 à 24 ans,Hommes,Grippe et pneumopathie,0.4
2016,15 à 24 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.1
2016,15 à 24 ans,Hommes,Maladie chronique et cirrhose du foie,0.0
2016,15 à 24 ans,Hommes,Accidents (blessures involontaires),25.2
2016,15 à 24 ans,Hommes,Lésions auto-infligées,16.3
2016,15 à 24 ans,Femmes,Tumeurs malignes,2.1
2016,15 à 24 ans,Femmes,Diabète sucré,0.2
2016,15 à 24 ans,Femmes,Maladie d'Alzheimer,0.0
2016,15 à 24 ans,Femmes,Maladies du coeur,0.9
2016,15 à 24 ans,Femmes,Maladies cérébrovasculaires,0.1
2016,15 à 24 ans,Femmes,Grippe et pneumopathie,0.3
2016,15 à 24 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.1
2016,15 à 24 ans,Femmes,Maladie chronique et cirrhose du foie,0.1
2016,15 à 24 ans,Femmes,Accidents (blessures involontaires),10.5
2016,15 à 24 ans,Femmes,Lésions auto-infligées,6.9
2016,25 à 34 ans,Les deux sexes,Tumeurs malignes,7.0
2016,25 à 34 ans,Les deux sexes,Diabète sucré,0.8
2016,25 à 34 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2016,25 à 34 ans,Les deux sexes,Maladies du coeur,3.5
2016,25 à 34 ans,Les deux sexes,Maladies cérébrovasculaires,0.8
2016,25 à 34 ans,Les deux sexes,Grippe et pneumopathie,0.6
2016,25 à 34 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.3
2016,25 à 34 ans,Les deux sexes,Maladie chronique et cirrhose du foie,0.8
2016,25 à 34 ans,Les deux sexes,Accidents (blessures involontaires),28.1
2016,25 à 34 ans,Les deux sexes,Lésions auto-infligées,13.4
2016,25 à 34 ans,Hommes,Tumeurs malignes,6.4
2016,25 à 34 ans,Hommes,Diabète sucré,1.1
2016,25 à 34 ans,Hommes,Maladie d'Alzheimer,0.0
2016,25 à 34 ans,Hommes,Maladies du coeur,4.7
