Year,Geography,Age group,Sex,Economic family type,GeoCode,Value
2020,Alberta,18 to 64 years,Male,Persons in economic families,48,3.1
2020,Alberta,18 to 64 years,Female,Persons in economic families,48,3.6
2020,Alberta,Total,Both sexes,Persons not in an economic family,48,19.1
2020,Alberta,Total,Male,Persons not in an economic family,48,18.2
2020,Alberta,Total,Female,Persons not in an economic family,48,20.2
2020,Alberta,65 years and over,Both sexes,Seniors not in an economic family,48,8.3
2020,Alberta,65 years and over,Female,Seniors not in an economic family,48,9.3
2020,Alberta,,Both sexes,Non-seniors not in an economic family,48,22.8
2020,Alberta,,Male,Non-seniors not in an economic family,48,20.7
2020,Alberta,,Female,Non-seniors not in an economic family,48,26.1
2021,Alberta,Total,Both sexes,Total,48,7.8
2021,Alberta,Under 18 years,Both sexes,Total,48,7.5
2021,Alberta,18 to 64 years,Both sexes,Total,48,8.3
2021,Alberta,65 years and over,Both sexes,Total,48,5.9
2021,Alberta,Total,Male,Total,48,7.5
2021,Alberta,Under 18 years,Male,Total,48,6.9
2021,Alberta,18 to 64 years,Male,Total,48,8.1
2021,Alberta,65 years and over,Male,Total,48,5.5
2021,Alberta,Total,Female,Total,48,8.1
2021,Alberta,Under 18 years,Female,Total,48,8.1
2021,Alberta,18 to 64 years,Female,Total,48,8.6
2021,Alberta,65 years and over,Female,Total,48,6.3
2021,Alberta,Total,Both sexes,Persons in economic families,48,4.9
2021,Alberta,Total,Male,Persons in economic families,48,4.4
2021,Alberta,Total,Female,Persons in economic families,48,5.4
2021,Alberta,65 years and over,Both sexes,Seniors in economic families,48,2.4
2021,Alberta,65 years and over,Male,Seniors in economic families,48,2.6
2021,Alberta,Under 18 years,Both sexes,Persons in economic families,48,7.4
2021,Alberta,Under 18 years,Both sexes,Persons in couple families with children,48,5.1
2021,Alberta,Under 18 years,Both sexes,Persons in female lone-parent families,48,36.2
2021,Alberta,18 to 64 years,Both sexes,Persons in economic families,48,4.4
2021,Alberta,18 to 64 years,Male,Persons in economic families,48,3.7
2021,Alberta,18 to 64 years,Female,Persons in economic families,48,5.0
2021,Alberta,Total,Both sexes,Persons not in an economic family,48,25.3
2021,Alberta,Total,Male,Persons not in an economic family,48,25.6
2021,Alberta,Total,Female,Persons not in an economic family,48,24.9
2021,Alberta,65 years and over,Both sexes,Seniors not in an economic family,48,17.7
2021,Alberta,65 years and over,Male,Seniors not in an economic family,48,20.9
2021,Alberta,65 years and over,Female,Seniors not in an economic family,48,16.1
2021,Alberta,,Both sexes,Non-seniors not in an economic family,48,27.5
2021,Alberta,,Male,Non-seniors not in an economic family,48,26.4
2021,Alberta,,Female,Non-seniors not in an economic family,48,29.0
2022,Alberta,Total,Both sexes,Total,48,9.7
2022,Alberta,Under 18 years,Both sexes,Total,48,11.2
2022,Alberta,18 to 64 years,Both sexes,Total,48,10.2
2022,Alberta,65 years and over,Both sexes,Total,48,5.6
2022,Alberta,Total,Male,Total,48,9.3
2022,Alberta,Under 18 years,Male,Total,48,10.1
2022,Alberta,18 to 64 years,Male,Total,48,9.8
2022,Alberta,65 years and over,Male,Total,48,5.3
2022,Alberta,Total,Female,Total,48,10.2
2022,Alberta,Under 18 years,Female,Total,48,12.4
2022,Alberta,18 to 64 years,Female,Total,48,10.5
2022,Alberta,65 years and over,Female,Total,48,5.9
2022,Alberta,Total,Both sexes,Persons in economic families,48,7.1
2022,Alberta,Total,Male,Persons in economic families,48,6.5
2022,Alberta,Total,Female,Persons in economic families,48,7.8
2022,Alberta,65 years and over,Both sexes,Seniors in economic families,48,3.0
2022,Alberta,65 years and over,Male,Seniors in economic families,48,3.2
2022,Alberta,65 years and over,Female,Seniors in economic families,48,2.9
2022,Alberta,Under 18 years,Both sexes,Persons in economic families,48,11.1
2022,Alberta,Under 18 years,Both sexes,Persons in couple families with children,48,8.1
2022,Alberta,Under 18 years,Both sexes,Persons in female lone-parent families,48,38.2
2022,Alberta,18 to 64 years,Both sexes,Persons in economic families,48,6.3
2022,Alberta,18 to 64 years,Male,Persons in economic families,48,5.6
2022,Alberta,18 to 64 years,Female,Persons in economic families,48,7.0
2022,Alberta,Total,Both sexes,Persons not in an economic family,48,25.6
2022,Alberta,Total,Male,Persons not in an economic family,48,25.1
2022,Alberta,Total,Female,Persons not in an economic family,48,26.2
2022,Alberta,65 years and over,Both sexes,Seniors not in an economic family,48,16.6
2022,Alberta,65 years and over,Male,Seniors not in an economic family,48,18.9
2022,Alberta,65 years and over,Female,Seniors not in an economic family,48,15.4
2022,Alberta,,Both sexes,Non-seniors not in an economic family,48,27.9
2022,Alberta,,Male,Non-seniors not in an economic family,48,26.0
2022,Alberta,,Female,Non-seniors not in an economic family,48,30.5
2023,Alberta,Total,Both sexes,Total,48,8.9
2023,Alberta,Under 18 years,Both sexes,Total,48,10.3
2023,Alberta,18 to 64 years,Both sexes,Total,48,9.5
2023,Alberta,65 years and over,Both sexes,Total,48,4.2
2023,Alberta,Total,Male,Total,48,8.7
2023,Alberta,Under 18 years,Male,Total,48,11.2
2023,Alberta,18 to 64 years,Male,Total,48,8.8
2023,Alberta,65 years and over,Male,Total,48,3.9
2023,Alberta,Total,Female,Total,48,9.1
2023,Alberta,Under 18 years,Female,Total,48,9.4
2023,Alberta,18 to 64 years,Female,Total,48,10.1
2023,Alberta,65 years and over,Female,Total,48,4.5
2023,Alberta,Total,Both sexes,Persons in economic families,48,6.3
2023,Alberta,Total,Male,Persons in economic families,48,6.2
2023,Alberta,Total,Female,Persons in economic families,48,6.4
2023,Alberta,65 years and over,Both sexes,Seniors in economic families,48,1.8
2023,Alberta,65 years and over,Male,Seniors in economic families,48,1.7
2023,Alberta,65 years and over,Female,Seniors in economic families,48,1.9
2023,Alberta,Under 18 years,Both sexes,Persons in economic families,48,10.2
2023,Alberta,Under 18 years,Both sexes,Persons in couple families with children,48,7.7
2023,Alberta,Under 18 years,Both sexes,Persons in female lone-parent families,48,33.6
2023,Alberta,Under 18 years,Both sexes,Persons in all other economic families,48,9.8
2023,Alberta,18 to 64 years,Both sexes,Persons in economic families,48,5.7
2023,Alberta,18 to 64 years,Male,Persons in economic families,48,5.1
2023,Alberta,18 to 64 years,Female,Persons in economic families,48,6.3
2023,Alberta,Total,Both sexes,Persons not in an economic family,48,24.3
2023,Alberta,Total,Male,Persons not in an economic family,48,22.5
2023,Alberta,Total,Female,Persons not in an economic family,48,26.3
2023,Alberta,65 years and over,Both sexes,Seniors not in an economic family,48,14.6
2023,Alberta,65 years and over,Male,Seniors not in an economic family,48,18.6
2023,Alberta,65 years and over,Female,Seniors not in an economic family,48,12.6
2023,Alberta,,Both sexes,Non-seniors not in an economic family,48,26.7
2023,Alberta,,Male,Non-seniors not in an economic family,48,23.1
2023,Alberta,,Female,Non-seniors not in an economic family,48,31.8
2015,Atlantic provinces,Total,Both sexes,Total,,15.7
2015,Atlantic provinces,Under 18 years,Both sexes,Total,,19.0
2015,Atlantic provinces,18 to 64 years,Both sexes,Total,,16.3
2015,Atlantic provinces,65 years and over,Both sexes,Total,,10.5
2015,Atlantic provinces,Total,Male,Total,,15.0
2015,Atlantic provinces,Under 18 years,Male,Total,,18.7
2015,Atlantic provinces,18 to 64 years,Male,Total,,15.8
2015,Atlantic provinces,65 years and over,Male,Total,,8.2
2015,Atlantic provinces,Total,Female,Total,,16.3
2015,Atlantic provinces,Under 18 years,Female,Total,,19.3
2015,Atlantic provinces,18 to 64 years,Female,Total,,16.7
2015,Atlantic provinces,65 years and over,Female,Total,,12.4
2015,Atlantic provinces,Total,Both sexes,Persons in economic families,,11.3
2015,Atlantic provinces,Total,Male,Persons in economic families,,10.7
2015,Atlantic provinces,Total,Female,Persons in economic families,,11.9
2015,Atlantic provinces,65 years and over,Both sexes,Seniors in economic families,,4.7
2015,Atlantic provinces,65 years and over,Male,Seniors in economic families,,4.5
2015,Atlantic provinces,65 years and over,Female,Seniors in economic families,,4.9
2015,Atlantic provinces,Under 18 years,Both sexes,Persons in economic families,,18.9
2015,Atlantic provinces,Under 18 years,Both sexes,Persons in couple families with children,,12.7
2015,Atlantic provinces,Under 18 years,Both sexes,Persons in female lone-parent families,,50.5
2015,Atlantic provinces,Under 18 years,Both sexes,Persons in all other economic families,,19.5
2015,Atlantic provinces,18 to 64 years,Both sexes,Persons in economic families,,10.5
2015,Atlantic provinces,18 to 64 years,Male,Persons in economic families,,9.5
2015,Atlantic provinces,18 to 64 years,Female,Persons in economic families,,11.4
2015,Atlantic provinces,Total,Both sexes,Persons not in an economic family,,38.3
2015,Atlantic provinces,Total,Male,Persons not in an economic family,,38.6
2015,Atlantic provinces,Total,Female,Persons not in an economic family,,38.0
2015,Atlantic provinces,65 years and over,Both sexes,Seniors not in an economic family,,26.5
2015,Atlantic provinces,65 years and over,Male,Seniors not in an economic family,,24.9
2015,Atlantic provinces,65 years and over,Female,Seniors not in an economic family,,27.2
2015,Atlantic provinces,,Both sexes,Non-seniors not in an economic family,,43.5
2015,Atlantic provinces,,Male,Non-seniors not in an economic family,,42.2
2015,Atlantic provinces,,Female,Non-seniors not in an economic family,,45.0
2016,Atlantic provinces,Total,Both sexes,Total,,14.5
2016,Atlantic provinces,Under 18 years,Both sexes,Total,,17.2
2016,Atlantic provinces,18 to 64 years,Both sexes,Total,,15.6
2016,Atlantic provinces,65 years and over,Both sexes,Total,,8.6
2016,Atlantic provinces,Total,Male,Total,,14.0
2016,Atlantic provinces,Under 18 years,Male,Total,,17.9
2016,Atlantic provinces,18 to 64 years,Male,Total,,14.7
2016,Atlantic provinces,65 years and over,Male,Total,,7.4
2016,Atlantic provinces,Total,Female,Total,,15.0
2016,Atlantic provinces,Under 18 years,Female,Total,,16.4
2016,Atlantic provinces,18 to 64 years,Female,Total,,16.3
2016,Atlantic provinces,65 years and over,Female,Total,,9.7
2016,Atlantic provinces,Total,Both sexes,Persons in economic families,,10.5
2016,Atlantic provinces,Total,Male,Persons in economic families,,9.7
2016,Atlantic provinces,Total,Female,Persons in economic families,,11.3
2016,Atlantic provinces,65 years and over,Both sexes,Seniors in economic families,,4.0
2016,Atlantic provinces,65 years and over,Male,Seniors in economic families,,4.4
2016,Atlantic provinces,65 years and over,Female,Seniors in economic families,,3.6
2016,Atlantic provinces,Under 18 years,Both sexes,Persons in economic families,,17.1
2016,Atlantic provinces,Under 18 years,Both sexes,Persons in couple families with children,,8.5
2016,Atlantic provinces,Under 18 years,Both sexes,Persons in female lone-parent families,,48.3
2016,Atlantic provinces,Under 18 years,Both sexes,Persons in all other economic families,,19.2
2016,Atlantic provinces,18 to 64 years,Both sexes,Persons in economic families,,10.1
2016,Atlantic provinces,18 to 64 years,Male,Persons in economic families,,8.3
2016,Atlantic provinces,18 to 64 years,Female,Persons in economic families,,11.7
2016,Atlantic provinces,Total,Both sexes,Persons not in an economic family,,34.7
2016,Atlantic provinces,Total,Male,Persons not in an economic family,,36.5
2016,Atlantic provinces,Total,Female,Persons not in an economic family,,33.1
2016,Atlantic provinces,65 years and over,Both sexes,Seniors not in an economic family,,22.1
2016,Atlantic provinces,65 years and over,Male,Seniors not in an economic family,,21.2
2016,Atlantic provinces,65 years and over,Female,Seniors not in an economic family,,22.5
2016,Atlantic provinces,,Both sexes,Non-seniors not in an economic family,,40.1
2016,Atlantic provinces,,Male,Non-seniors not in an economic family,,40.6
2016,Atlantic provinces,,Female,Non-seniors not in an economic family,,39.6
2017,Atlantic provinces,Total,Both sexes,Total,,13.5
2017,Atlantic provinces,Under 18 years,Both sexes,Total,,16.5
2017,Atlantic provinces,18 to 64 years,Both sexes,Total,,14.7
2017,Atlantic provinces,65 years and over,Both sexes,Total,,7.0
2017,Atlantic provinces,Total,Male,Total,,12.3
2017,Atlantic provinces,Under 18 years,Male,Total,,15.6
2017,Atlantic provinces,18 to 64 years,Male,Total,,13.4
2017,Atlantic provinces,65 years and over,Male,Total,,5.6
2017,Atlantic provinces,Total,Female,Total,,14.6
2017,Atlantic provinces,Under 18 years,Female,Total,,17.5
2017,Atlantic provinces,18 to 64 years,Female,Total,,16.0
2017,Atlantic provinces,65 years and over,Female,Total,,8.3
2017,Atlantic provinces,Total,Both sexes,Persons in economic families,,9.6
2017,Atlantic provinces,Total,Male,Persons in economic families,,8.6
2017,Atlantic provinces,Total,Female,Persons in economic families,,10.5
2017,Atlantic provinces,65 years and over,Both sexes,Seniors in economic families,,3.1
2017,Atlantic provinces,65 years and over,Male,Seniors in economic families,,3.0
2017,Atlantic provinces,65 years and over,Female,Seniors in economic families,,3.2
2017,Atlantic provinces,Under 18 years,Both sexes,Persons in economic families,,16.0
2017,Atlantic provinces,Under 18 years,Both sexes,Persons in couple families with children,,9.8
2017,Atlantic provinces,Under 18 years,Both sexes,Persons in female lone-parent families,,44.1
2017,Atlantic provinces,Under 18 years,Both sexes,Persons in all other economic families,,13.7
2017,Atlantic provinces,18 to 64 years,Both sexes,Persons in economic families,,9.2
2017,Atlantic provinces,18 to 64 years,Male,Persons in economic families,,7.8
2017,Atlantic provinces,18 to 64 years,Female,Persons in economic families,,10.4
2017,Atlantic provinces,Total,Both sexes,Persons not in an economic family,,32.9
2017,Atlantic provinces,Total,Male,Persons not in an economic family,,31.5
2017,Atlantic provinces,Total,Female,Persons not in an economic family,,34.2
2017,Atlantic provinces,65 years and over,Both sexes,Seniors not in an economic family,,17.3
2017,Atlantic provinces,65 years and over,Male,Seniors not in an economic family,,16.6
2017,Atlantic provinces,65 years and over,Female,Seniors not in an economic family,,17.7
2017,Atlantic provinces,,Both sexes,Non-seniors not in an economic family,,40.5
2017,Atlantic provinces,,Male,Non-seniors not in an economic family,,35.9
2017,Atlantic provinces,,Female,Non-seniors not in an economic family,,46.1
2018,Atlantic provinces,Total,Both sexes,Total,,12.3
2018,Atlantic provinces,Under 18 years,Both sexes,Total,,13.4
2018,Atlantic provinces,18 to 64 years,Both sexes,Total,,13.7
2018,Atlantic provinces,65 years and over,Both sexes,Total,,7.0
2018,Atlantic provinces,Total,Male,Total,,12.1
2018,Atlantic provinces,Under 18 years,Male,Total,,13.9
2018,Atlantic provinces,18 to 64 years,Male,Total,,13.8
2018,Atlantic provinces,65 years and over,Male,Total,,5.2
2018,Atlantic provinces,Total,Female,Total,,12.5
2018,Atlantic provinces,Under 18 years,Female,Total,,12.9
2018,Atlantic provinces,18 to 64 years,Female,Total,,13.7
2018,Atlantic provinces,65 years and over,Female,Total,,8.7
2018,Atlantic provinces,Total,Both sexes,Persons in economic families,,8.3
2018,Atlantic provinces,Total,Male,Persons in economic families,,7.9
2018,Atlantic provinces,Total,Female,Persons in economic families,,8.6
2018,Atlantic provinces,65 years and over,Both sexes,Seniors in economic families,,2.6
2018,Atlantic provinces,65 years and over,Male,Seniors in economic families,,1.8
2018,Atlantic provinces,65 years and over,Female,Seniors in economic families,,3.3
2018,Atlantic provinces,Under 18 years,Both sexes,Persons in economic families,,13.2
2018,Atlantic provinces,Under 18 years,Both sexes,Persons in couple families with children,,7.6
2018,Atlantic provinces,Under 18 years,Both sexes,Persons in female lone-parent families,,37.2
2018,Atlantic provinces,Under 18 years,Both sexes,Persons in all other economic families,,19.8
2018,Atlantic provinces,18 to 64 years,Both sexes,Persons in economic families,,8.2
2018,Atlantic provinces,18 to 64 years,Male,Persons in economic families,,7.6
2018,Atlantic provinces,18 to 64 years,Female,Persons in economic families,,8.7
2018,Atlantic provinces,Total,Both sexes,Persons not in an economic family,,31.8
2018,Atlantic provinces,Total,Male,Persons not in an economic family,,32.9
2018,Atlantic provinces,Total,Female,Persons not in an economic family,,30.8
2018,Atlantic provinces,65 years and over,Both sexes,Seniors not in an economic family,,18.3
2018,Atlantic provinces,65 years and over,Male,Seniors not in an economic family,,17.4
2018,Atlantic provinces,65 years and over,Female,Seniors not in an economic family,,18.7
2018,Atlantic provinces,,Both sexes,Non-seniors not in an economic family,,38.8
2018,Atlantic provinces,,Male,Non-seniors not in an economic family,,37.9
2018,Atlantic provinces,,Female,Non-seniors not in an economic family,,39.9
2019,Atlantic provinces,Total,Both sexes,Total,,11.2
2019,Atlantic provinces,Under 18 years,Both sexes,Total,,12.6
2019,Atlantic provinces,18 to 64 years,Both sexes,Total,,12.2
2019,Atlantic provinces,65 years and over,Both sexes,Total,,6.9
2019,Atlantic provinces,Total,Male,Total,,9.9
2019,Atlantic provinces,Under 18 years,Male,Total,,11.9
2019,Atlantic provinces,18 to 64 years,Male,Total,,10.9
2019,Atlantic provinces,65 years and over,Male,Total,,4.8
2019,Atlantic provinces,Total,Female,Total,,12.4
2019,Atlantic provinces,Under 18 years,Female,Total,,13.2
2019,Atlantic provinces,18 to 64 years,Female,Total,,13.5
2019,Atlantic provinces,65 years and over,Female,Total,,8.8
2019,Atlantic provinces,Total,Both sexes,Persons in economic families,,7.6
2019,Atlantic provinces,Total,Male,Persons in economic families,,7.0
2019,Atlantic provinces,Total,Female,Persons in economic families,,8.3
2019,Atlantic provinces,65 years and over,Both sexes,Seniors in economic families,,3.1
2019,Atlantic provinces,65 years and over,Male,Seniors in economic families,,3.0
2019,Atlantic provinces,65 years and over,Female,Seniors in economic families,,3.3
2019,Atlantic provinces,Under 18 years,Both sexes,Persons in economic families,,12.0
2019,Atlantic provinces,Under 18 years,Both sexes,Persons in couple families with children,,8.5
2019,Atlantic provinces,Under 18 years,Both sexes,Persons in female lone-parent families,,31.2
2019,Atlantic provinces,Under 18 years,Both sexes,Persons in all other economic families,,12.0
2019,Atlantic provinces,18 to 64 years,Both sexes,Persons in economic families,,7.4
2019,Atlantic provinces,18 to 64 years,Male,Persons in economic families,,6.5
2019,Atlantic provinces,18 to 64 years,Female,Persons in economic families,,8.3
2019,Atlantic provinces,Total,Both sexes,Persons not in an economic family,,28.2
