Year,Geography,Index,GeoCode,Value
2016,Canada,Youth crime severity index,,59.89
2016,Canada,Youth violent crime severity index,,70.93
2016,Newfoundland and Labrador,Crime severity index,10,69.55
2016,Newfoundland and Labrador,Violent crime severity index,10,73.58
2016,Newfoundland and Labrador,Youth crime severity index,10,60.66
2016,Newfoundland and Labrador,Youth violent crime severity index,10,52.31
2016,Prince Edward Island,Crime severity index,11,49.33
2016,Prince Edward Island,Violent crime severity index,11,36.85
2016,Prince Edward Island,Youth crime severity index,11,31.4
2016,Prince Edward Island,Youth violent crime severity index,11,27.16
2016,Nova Scotia,Crime severity index,12,62.32
2016,Nova Scotia,Violent crime severity index,12,71.11
2016,Nova Scotia,Youth crime severity index,12,80.77
2016,Nova Scotia,Youth violent crime severity index,12,89.0
2016,New Brunswick,Crime severity index,13,61.56
2016,New Brunswick,Violent crime severity index,13,65.89
2016,New Brunswick,Youth crime severity index,13,58.1
2016,New Brunswick,Youth violent crime severity index,13,54.72
2016,Quebec,Crime severity index,24,56.62
2016,Quebec,Violent crime severity index,24,67.85
2016,Quebec,Youth crime severity index,24,57.75
2016,Quebec,Youth violent crime severity index,24,77.76
2016,Ontario,Crime severity index,35,53.29
2016,Ontario,Violent crime severity index,35,64.6
2016,Ontario,Youth crime severity index,35,51.06
2016,Ontario,Youth violent crime severity index,35,66.85
2016,Manitoba,Crime severity index,46,115.38
2016,Manitoba,Violent crime severity index,46,153.38
2016,Manitoba,Youth crime severity index,46,113.24
2016,Manitoba,Youth violent crime severity index,46,126.73
2016,Saskatchewan,Crime severity index,47,151.37
2016,Saskatchewan,Violent crime severity index,47,150.52
2016,Saskatchewan,Youth crime severity index,47,172.77
2016,Saskatchewan,Youth violent crime severity index,47,164.2
2016,Alberta,Crime severity index,48,105.99
2016,Alberta,Violent crime severity index,48,92.89
2016,Alberta,Youth crime severity index,48,56.77
2016,Alberta,Youth violent crime severity index,48,60.89
2016,British Columbia,Crime severity index,59,91.73
2016,British Columbia,Violent crime severity index,59,73.54
2016,British Columbia,Youth crime severity index,59,35.97
2016,British Columbia,Youth violent crime severity index,59,37.02
2016,Yukon,Crime severity index,60,185.89
2016,Yukon,Violent crime severity index,60,236.25
2016,Yukon,Youth crime severity index,60,193.18
2016,Yukon,Youth violent crime severity index,60,196.48
2016,Northwest Territories,Crime severity index,61,297.36
2016,Northwest Territories,Violent crime severity index,61,336.14
2016,Northwest Territories,Youth crime severity index,61,246.93
2016,Northwest Territories,Youth violent crime severity index,61,139.48
2016,Nunavut,Crime severity index,62,294.87
2016,Nunavut,Violent crime severity index,62,433.18
2016,Nunavut,Youth crime severity index,62,292.3
2016,Nunavut,Youth violent crime severity index,62,198.21
2017,Canada,Violent crime severity index,,81.27
2017,Canada,Youth crime severity index,,62.68
2017,Canada,Youth violent crime severity index,,80.51
2017,Newfoundland and Labrador,Crime severity index,10,63.52
2017,Newfoundland and Labrador,Violent crime severity index,10,70.54
2017,Newfoundland and Labrador,Youth crime severity index,10,65.67
2017,Newfoundland and Labrador,Youth violent crime severity index,10,58.36
2017,Prince Edward Island,Crime severity index,11,45.89
2017,Prince Edward Island,Violent crime severity index,11,40.22
2017,Prince Edward Island,Youth crime severity index,11,29.24
2017,Prince Edward Island,Youth violent crime severity index,11,30.75
2017,Nova Scotia,Crime severity index,12,66.28
2017,Nova Scotia,Violent crime severity index,12,78.83
2017,Nova Scotia,Youth crime severity index,12,69.18
2017,Nova Scotia,Youth violent crime severity index,12,82.4
2017,New Brunswick,Crime severity index,13,68.76
2017,New Brunswick,Violent crime severity index,13,69.75
2017,New Brunswick,Youth crime severity index,13,51.85
2017,New Brunswick,Youth violent crime severity index,13,51.71
2017,Quebec,Crime severity index,24,57.8
2017,Quebec,Violent crime severity index,24,72.75
2017,Quebec,Youth crime severity index,24,58.5
2017,Quebec,Youth violent crime severity index,24,77.92
2017,Ontario,Crime severity index,35,56.35
2017,Ontario,Violent crime severity index,35,69.83
2017,Ontario,Youth crime severity index,35,57.34
2017,Ontario,Youth violent crime severity index,35,83.21
2017,Manitoba,Crime severity index,46,119.03
2017,Manitoba,Violent crime severity index,46,160.79
2017,Manitoba,Youth crime severity index,46,131.23
2017,Manitoba,Youth violent crime severity index,46,178.98
2017,Saskatchewan,Crime severity index,47,143.17
2017,Saskatchewan,Violent crime severity index,47,145.6
2017,Saskatchewan,Youth crime severity index,47,161.49
2017,Saskatchewan,Youth violent crime severity index,47,158.71
2017,Alberta,Crime severity index,48,112.06
2017,Alberta,Violent crime severity index,48,98.56
2017,Alberta,Youth crime severity index,48,56.2
2017,Alberta,Youth violent crime severity index,48,63.64
2017,British Columbia,Crime severity index,59,87.14
2017,British Columbia,Violent crime severity index,59,74.5
2017,British Columbia,Youth crime severity index,59,37.35
2017,British Columbia,Youth violent crime severity index,59,41.79
2017,Yukon,Crime severity index,60,183.93
2017,Yukon,Violent crime severity index,60,251.9
2017,Yukon,Youth crime severity index,60,172.79
2017,Yukon,Youth violent crime severity index,60,139.4
2017,Northwest Territories,Crime severity index,61,309.48
2017,Northwest Territories,Violent crime severity index,61,373.23
2017,Northwest Territories,Youth crime severity index,61,258.35
2017,Northwest Territories,Youth violent crime severity index,61,217.84
2017,Nunavut,Crime severity index,62,300.53
2017,Nunavut,Violent crime severity index,62,474.61
2017,Nunavut,Youth crime severity index,62,298.55
2017,Nunavut,Youth violent crime severity index,62,279.83
2018,Canada,Violent crime severity index,,83.55
2018,Canada,Youth crime severity index,,56.58
2018,Canada,Youth violent crime severity index,,77.04
2018,Newfoundland and Labrador,Crime severity index,10,64.85
2018,Newfoundland and Labrador,Violent crime severity index,10,71.74
2018,Newfoundland and Labrador,Youth crime severity index,10,55.64
2018,Newfoundland and Labrador,Youth violent crime severity index,10,57.78
2018,Prince Edward Island,Crime severity index,11,54.24
2018,Prince Edward Island,Violent crime severity index,11,49.05
2018,Prince Edward Island,Youth crime severity index,11,30.2
2018,Prince Edward Island,Youth violent crime severity index,11,34.87
2018,Nova Scotia,Crime severity index,12,65.58
2018,Nova Scotia,Violent crime severity index,12,79.05
2018,Nova Scotia,Youth crime severity index,12,58.63
2018,Nova Scotia,Youth violent crime severity index,12,73.68
2018,New Brunswick,Crime severity index,13,73.0
2018,New Brunswick,Violent crime severity index,13,76.87
2018,New Brunswick,Youth crime severity index,13,48.39
2018,New Brunswick,Youth violent crime severity index,13,53.56
2018,Quebec,Crime severity index,24,56.53
2018,Quebec,Violent crime severity index,24,71.67
2018,Quebec,Youth crime severity index,24,58.29
2018,Quebec,Youth violent crime severity index,24,81.41
2018,Ontario,Crime severity index,35,60.4
2018,Ontario,Violent crime severity index,35,74.51
2018,Ontario,Youth crime severity index,35,51.03
2018,Ontario,Youth violent crime severity index,35,77.42
2018,Manitoba,Crime severity index,46,126.15
2018,Manitoba,Violent crime severity index,46,170.49
2018,Manitoba,Youth crime severity index,46,108.88
2018,Manitoba,Youth violent crime severity index,46,144.24
2018,Saskatchewan,Crime severity index,47,140.74
2018,Saskatchewan,Violent crime severity index,47,141.3
2018,Saskatchewan,Youth crime severity index,47,117.1
2018,Saskatchewan,Youth violent crime severity index,47,125.6
2018,Alberta,Crime severity index,48,113.65
2018,Alberta,Violent crime severity index,48,99.5
2018,Alberta,Youth crime severity index,48,56.98
2018,Alberta,Youth violent crime severity index,48,76.17
2018,British Columbia,Crime severity index,59,88.84
2018,British Columbia,Violent crime severity index,59,75.17
2018,British Columbia,Youth crime severity index,59,33.89
2018,British Columbia,Youth violent crime severity index,59,38.61
2018,Yukon,Crime severity index,60,172.12
2018,Yukon,Violent crime severity index,60,214.42
2018,Yukon,Youth crime severity index,60,150.88
2018,Yukon,Youth violent crime severity index,60,123.43
2018,Northwest Territories,Crime severity index,61,325.31
2018,Northwest Territories,Violent crime severity index,61,426.29
2018,Northwest Territories,Youth crime severity index,61,214.2
2018,Northwest Territories,Youth violent crime severity index,61,170.84
2018,Nunavut,Crime severity index,62,325.47
2018,Nunavut,Violent crime severity index,62,562.55
2018,Nunavut,Youth crime severity index,62,210.13
2018,Nunavut,Youth violent crime severity index,62,179.26
2019,Canada,Violent crime severity index,,90.28
2019,Canada,Youth crime severity index,,55.1
2019,Canada,Youth violent crime severity index,,79.82
2019,Newfoundland and Labrador,Crime severity index,10,71.91
2019,Newfoundland and Labrador,Violent crime severity index,10,79.79
2019,Newfoundland and Labrador,Youth crime severity index,10,46.49
2019,Newfoundland and Labrador,Youth violent crime severity index,10,49.01
2019,Prince Edward Island,Crime severity index,11,64.27
2019,Prince Edward Island,Violent crime severity index,11,64.62
2019,Prince Edward Island,Youth crime severity index,11,31.27
2019,Prince Edward Island,Youth violent crime severity index,11,32.33
2019,Nova Scotia,Crime severity index,12,66.41
2019,Nova Scotia,Violent crime severity index,12,82.72
2019,Nova Scotia,Youth crime severity index,12,51.47
2019,Nova Scotia,Youth violent crime severity index,12,59.76
2019,New Brunswick,Crime severity index,13,80.24
2019,New Brunswick,Violent crime severity index,13,87.36
2019,New Brunswick,Youth crime severity index,13,48.15
2019,New Brunswick,Youth violent crime severity index,13,65.17
2019,Quebec,Crime severity index,24,55.78
2019,Quebec,Violent crime severity index,24,75.11
2019,Quebec,Youth crime severity index,24,58.74
2019,Quebec,Youth violent crime severity index,24,89.21
2019,Ontario,Crime severity index,35,60.99
2019,Ontario,Violent crime severity index,35,75.41
2019,Ontario,Youth crime severity index,35,48.3
2019,Ontario,Youth violent crime severity index,35,75.78
2019,Manitoba,Crime severity index,46,139.65
2019,Manitoba,Violent crime severity index,46,189.75
2019,Manitoba,Youth crime severity index,46,105.49
2019,Manitoba,Youth violent crime severity index,46,157.75
2019,Saskatchewan,Crime severity index,47,149.62
2019,Saskatchewan,Violent crime severity index,47,173.63
2019,Saskatchewan,Youth crime severity index,47,111.81
2019,Saskatchewan,Youth violent crime severity index,47,135.32
2019,Alberta,Crime severity index,48,120.14
2019,Alberta,Violent crime severity index,48,108.18
2019,Alberta,Youth crime severity index,48,53.14
2019,Alberta,Youth violent crime severity index,48,72.18
2019,British Columbia,Crime severity index,59,104.28
2019,British Columbia,Violent crime severity index,59,91.74
2019,British Columbia,Youth crime severity index,59,38.82
2019,British Columbia,Youth violent crime severity index,59,50.47
2019,Yukon,Crime severity index,60,212.69
2019,Yukon,Violent crime severity index,60,231.93
2019,Yukon,Youth crime severity index,60,103.79
2019,Yukon,Youth violent crime severity index,60,88.92
2019,Northwest Territories,Crime severity index,61,389.0
2019,Northwest Territories,Violent crime severity index,61,484.64
2019,Northwest Territories,Youth crime severity index,61,203.47
2019,Northwest Territories,Youth violent crime severity index,61,198.64
2019,Nunavut,Crime severity index,62,371.82
2019,Nunavut,Violent crime severity index,62,640.76
2019,Nunavut,Youth crime severity index,62,227.9
2019,Nunavut,Youth violent crime severity index,62,244.82
2020,Canada,Violent crime severity index,,87.97
2020,Canada,Youth crime severity index,,42.99
2020,Canada,Youth violent crime severity index,,66.88
2020,Newfoundland and Labrador,Crime severity index,10,69.56
2020,Newfoundland and Labrador,Violent crime severity index,10,81.78
2020,Newfoundland and Labrador,Youth crime severity index,10,36.93
2020,Newfoundland and Labrador,Youth violent crime severity index,10,50.66
2020,Prince Edward Island,Crime severity index,11,57.24
2020,Prince Edward Island,Violent crime severity index,11,56.39
2020,Prince Edward Island,Youth crime severity index,11,19.1
2020,Prince Edward Island,Youth violent crime severity index,11,22.65
2020,Nova Scotia,Crime severity index,12,72.15
2020,Nova Scotia,Violent crime severity index,12,100.2
2020,Nova Scotia,Youth crime severity index,12,34.93
2020,Nova Scotia,Youth violent crime severity index,12,48.46
2020,New Brunswick,Crime severity index,13,83.35
2020,New Brunswick,Violent crime severity index,13,84.37
2020,New Brunswick,Youth crime severity index,13,38.22
2020,New Brunswick,Youth violent crime severity index,13,47.05
2020,Quebec,Crime severity index,24,51.59
2020,Quebec,Violent crime severity index,24,74.34
2020,Quebec,Youth crime severity index,24,48.52
2020,Quebec,Youth violent crime severity index,24,76.55
2020,Ontario,Crime severity index,35,55.47
2020,Ontario,Violent crime severity index,35,69.58
2020,Ontario,Youth crime severity index,35,37.33
2020,Ontario,Youth violent crime severity index,35,62.53
2020,Manitoba,Crime severity index,46,125.84
2020,Manitoba,Violent crime severity index,46,171.0
2020,Manitoba,Youth crime severity index,46,83.34
2020,Manitoba,Youth violent crime severity index,46,128.72
2020,Saskatchewan,Crime severity index,47,142.6
2020,Saskatchewan,Violent crime severity index,47,179.28
2020,Saskatchewan,Youth crime severity index,47,93.36
2020,Saskatchewan,Youth violent crime severity index,47,129.34
2020,Alberta,Crime severity index,48,108.7
2020,Alberta,Violent crime severity index,48,109.72
2020,Alberta,Youth crime severity index,48,38.01
2020,Alberta,Youth violent crime severity index,48,59.26
2020,British Columbia,Crime severity index,59,97.35
2020,British Columbia,Violent crime severity index,59,91.22
2020,British Columbia,Youth crime severity index,59,29.39
2020,British Columbia,Youth violent crime severity index,59,40.3
2020,Yukon,Crime severity index,60,214.71
2020,Yukon,Violent crime severity index,60,255.26
2020,Yukon,Youth crime severity index,60,115.4
2020,Yukon,Youth violent crime severity index,60,129.95
2020,Northwest Territories,Crime severity index,61,414.06
2020,Northwest Territories,Violent crime severity index,61,517.3
2020,Northwest Territories,Youth crime severity index,61,141.95
2020,Northwest Territories,Youth violent crime severity index,61,152.09
2020,Nunavut,Crime severity index,62,378.01
2020,Nunavut,Violent crime severity index,62,655.97
2020,Nunavut,Youth crime severity index,62,136.06
2020,Nunavut,Youth violent crime severity index,62,176.87
2021,Canada,Violent crime severity index,,92.5
2021,Canada,Youth crime severity index,,40.96
2021,Canada,Youth violent crime severity index,,64.2
2021,Newfoundland and Labrador,Crime severity index,10,75.5
2021,Newfoundland and Labrador,Violent crime severity index,10,97.31
2021,Newfoundland and Labrador,Youth crime severity index,10,31.77
2021,Newfoundland and Labrador,Youth violent crime severity index,10,40.92
2021,Prince Edward Island,Crime severity index,11,56.95
2021,Prince Edward Island,Violent crime severity index,11,60.03
2021,Prince Edward Island,Youth crime severity index,11,22.61
2021,Prince Edward Island,Youth violent crime severity index,11,29.67
2021,Nova Scotia,Crime severity index,12,71.6
2021,Nova Scotia,Violent crime severity index,12,94.66
2021,Nova Scotia,Youth crime severity index,12,39.43
2021,Nova Scotia,Youth violent crime severity index,12,52.58
2021,New Brunswick,Crime severity index,13,88.48
2021,New Brunswick,Violent crime severity index,13,90.35
2021,New Brunswick,Youth crime severity index,13,31.99
2021,New Brunswick,Youth violent crime severity index,13,43.29
2021,Quebec,Crime severity index,24,54.3
2021,Quebec,Violent crime severity index,24,82.95
2021,Quebec,Youth crime severity index,24,54.3
2021,Quebec,Youth violent crime severity index,24,89.29
2021,Ontario,Crime severity index,35,56.21
2021,Ontario,Violent crime severity index,35,72.15
2021,Ontario,Youth crime severity index,35,31.87
2021,Ontario,Youth violent crime severity index,35,51.98
2021,Manitoba,Crime severity index,46,126.92
2021,Manitoba,Violent crime severity index,46,182.46
2021,Manitoba,Youth crime severity index,46,72.42
2021,Manitoba,Youth violent crime severity index,46,114.9
2021,Saskatchewan,Crime severity index,47,146.76
2021,Saskatchewan,Violent crime severity index,47,185.93
2021,Saskatchewan,Youth crime severity index,47,88.96
2021,Saskatchewan,Youth violent crime severity index,47,126.37
2021,Alberta,Crime severity index,48,101.36
2021,Alberta,Violent crime severity index,48,112.41
2021,Alberta,Youth crime severity index,48,36.59
2021,Alberta,Youth violent crime severity index,48,56.73
2021,British Columbia,Crime severity index,59,92.86
2021,British Columbia,Violent crime severity index,59,95.16
2021,British Columbia,Youth crime severity index,59,26.92
2021,British Columbia,Youth violent crime severity index,59,38.24
2021,Yukon,Crime severity index,60,213.26
2021,Yukon,Violent crime severity index,60,268.71
2021,Yukon,Youth crime severity index,60,114.61
2021,Yukon,Youth violent crime severity index,60,145.8
2021,Northwest Territories,Crime severity index,61,391.27
2021,Northwest Territories,Violent crime severity index,61,472.73
2021,Northwest Territories,Youth crime severity index,61,109.73
2021,Northwest Territories,Youth violent crime severity index,61,143.49
2021,Nunavut,Crime severity index,62,384.09
2021,Nunavut,Violent crime severity index,62,596.08
2021,Nunavut,Youth crime severity index,62,131.34
2021,Nunavut,Youth violent crime severity index,62,134.46
