Year,Units,Géographie,Type d'infractions reliée à la cybercriminalité,Infraction reliée à la cybercriminalité,Value
2015,Taux par 100 000 personnes,Nouveau-Brunswick,,,73.6
2016,Taux par 100 000 personnes,Nouveau-Brunswick,,,83.8
2017,Taux par 100 000 personnes,Nouveau-Brunswick,,,116.1
2018,Taux par 100 000 personnes,Nouveau-Brunswick,,,133.6
2019,Taux par 100 000 personnes,Nouveau-Brunswick,,,150.2
2020,Taux par 100 000 personnes,Nouveau-Brunswick,,,189.8
2021,Taux par 100 000 personnes,Nouveau-Brunswick,,,195.8
2022,Taux par 100 000 personnes,Nouveau-Brunswick,,,196.9
2015,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,,,36.0
2016,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,,,40.9
2017,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,,,53.2
2018,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,,,79.9
2019,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,,,119.0
2020,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,,,145.7
2021,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,,,141.9
2022,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,,,167.4
2015,Taux par 100 000 personnes,Territoires du Nord-Ouest,,,88.5
2016,Taux par 100 000 personnes,Territoires du Nord-Ouest,,,69.7
2017,Taux par 100 000 personnes,Territoires du Nord-Ouest,,,75.7
2018,Taux par 100 000 personnes,Territoires du Nord-Ouest,,,124.5
2019,Taux par 100 000 personnes,Territoires du Nord-Ouest,,,130.9
2020,Taux par 100 000 personnes,Territoires du Nord-Ouest,,,198.5
2021,Taux par 100 000 personnes,Territoires du Nord-Ouest,,,223.7
2022,Taux par 100 000 personnes,Territoires du Nord-Ouest,,,144.7
2015,Taux par 100 000 personnes,Nouvelle-Écosse,,,146.0
2016,Taux par 100 000 personnes,Nouvelle-Écosse,,,137.3
2017,Taux par 100 000 personnes,Nouvelle-Écosse,,,177.7
2018,Taux par 100 000 personnes,Nouvelle-Écosse,,,236.1
2019,Taux par 100 000 personnes,Nouvelle-Écosse,,,296.6
2020,Taux par 100 000 personnes,Nouvelle-Écosse,,,303.4
2021,Taux par 100 000 personnes,Nouvelle-Écosse,,,295.6
2022,Taux par 100 000 personnes,Nouvelle-Écosse,,,308.1
2015,Taux par 100 000 personnes,Nunavut,,,16.3
2016,Taux par 100 000 personnes,Nunavut,,,45.8
2017,Taux par 100 000 personnes,Nunavut,,,53.3
2018,Taux par 100 000 personnes,Nunavut,,,52.4
2019,Taux par 100 000 personnes,Nunavut,,,77.7
2020,Taux par 100 000 personnes,Nunavut,,,140.5
2021,Taux par 100 000 personnes,Nunavut,,,148.6
2022,Taux par 100 000 personnes,Nunavut,,,153.0
2015,Taux par 100 000 personnes,Ontario,,,56.2
2016,Taux par 100 000 personnes,Ontario,,,70.0
2017,Taux par 100 000 personnes,Ontario,,,80.7
2018,Taux par 100 000 personnes,Ontario,,,74.6
2019,Taux par 100 000 personnes,Ontario,,,129.7
2020,Taux par 100 000 personnes,Ontario,,,181.6
2021,Taux par 100 000 personnes,Ontario,,,197.4
2022,Taux par 100 000 personnes,Ontario,,,186.7
2015,Taux par 100 000 personnes,Île-du-Prince-Édouard,,,53.9
2016,Taux par 100 000 personnes,Île-du-Prince-Édouard,,,76.0
2017,Taux par 100 000 personnes,Île-du-Prince-Édouard,,,70.5
2018,Taux par 100 000 personnes,Île-du-Prince-Édouard,,,78.9
2019,Taux par 100 000 personnes,Île-du-Prince-Édouard,,,101.6
2020,Taux par 100 000 personnes,Île-du-Prince-Édouard,,,126.5
2021,Taux par 100 000 personnes,Île-du-Prince-Édouard,,,136.6
2022,Taux par 100 000 personnes,Île-du-Prince-Édouard,,,126.0
2015,Taux par 100 000 personnes,Québec,,,26.3
2016,Taux par 100 000 personnes,Québec,,,37.2
2017,Taux par 100 000 personnes,Québec,,,42.2
2018,Taux par 100 000 personnes,Québec,,,48.0
2019,Taux par 100 000 personnes,Québec,,,57.9
2020,Taux par 100 000 personnes,Québec,,,79.0
2021,Taux par 100 000 personnes,Québec,,,97.3
2022,Taux par 100 000 personnes,Québec,,,93.0
2015,Taux par 100 000 personnes,Saskatchewan,,,61.3
2016,Taux par 100 000 personnes,Saskatchewan,,,76.7
2017,Taux par 100 000 personnes,Saskatchewan,,,78.7
2018,Taux par 100 000 personnes,Saskatchewan,,,107.4
2019,Taux par 100 000 personnes,Saskatchewan,,,92.1
2020,Taux par 100 000 personnes,Saskatchewan,,,126.5
2021,Taux par 100 000 personnes,Saskatchewan,,,161.9
2022,Taux par 100 000 personnes,Saskatchewan,,,159.9
2015,Taux par 100 000 personnes,data.Total Census metropolitan area,,,51.6
2016,Taux par 100 000 personnes,data.Total Census metropolitan area,,,71.2
2017,Taux par 100 000 personnes,data.Total Census metropolitan area,,,81.0
2018,Taux par 100 000 personnes,data.Total Census metropolitan area,,,92.6
2019,Taux par 100 000 personnes,data.Total Census metropolitan area,,,136.7
2020,Taux par 100 000 personnes,data.Total Census metropolitan area,,,186.3
2021,Taux par 100 000 personnes,data.Total Census metropolitan area,,,201.9
2022,Taux par 100 000 personnes,data.Total Census metropolitan area,,,202.8
2015,Taux par 100 000 personnes,data.Total Non-Census metropolitan area,,,66.3
2016,Taux par 100 000 personnes,data.Total Non-Census metropolitan area,,,80.6
2017,Taux par 100 000 personnes,data.Total Non-Census metropolitan area,,,83.6
2018,Taux par 100 000 personnes,data.Total Non-Census metropolitan area,,,90.1
2019,Taux par 100 000 personnes,data.Total Non-Census metropolitan area,,,110.3
2020,Taux par 100 000 personnes,data.Total Non-Census metropolitan area,,,135.0
2021,Taux par 100 000 personnes,data.Total Non-Census metropolitan area,,,153.0
2022,Taux par 100 000 personnes,data.Total Non-Census metropolitan area,,,160.0
2015,Taux par 100 000 personnes,Yukon,,,96.2
2016,Taux par 100 000 personnes,Yukon,,,88.0
2017,Taux par 100 000 personnes,Yukon,,,101.0
2018,Taux par 100 000 personnes,Yukon,,,120.9
2019,Taux par 100 000 personnes,Yukon,,,152.3
2020,Taux par 100 000 personnes,Yukon,,,191.9
2021,Taux par 100 000 personnes,Yukon,,,215.3
2022,Taux par 100 000 personnes,Yukon,,,186.5
2015,Nombre,,,,17887.0
2016,Nombre,,,,23996.0
2017,Nombre,,,,27829.0
2018,Nombre,,,,33893.0
2019,Nombre,,,,48318.0
2020,Nombre,,,,65141.0
2021,Nombre,,,,71727.0
2022,Nombre,,,,74073.0
2015,Taux par 100 000 personnes,,,,55.6
2016,Taux par 100 000 personnes,,,,73.7
2017,Taux par 100 000 personnes,,,,81.7
2018,Taux par 100 000 personnes,,,,91.9
2019,Taux par 100 000 personnes,,,,129.3
2020,Taux par 100 000 personnes,,,,172.0
2021,Taux par 100 000 personnes,,,,188.2
2022,Taux par 100 000 personnes,,,,191.0
