Year,Géographie,Industrie,Taille de l'entreprise,Innovations offrant des avantages pour l'environnement,GeoCode,Value
2017/2019,Canada,"Total, toutes les industries sondées",Petites entreprises (20 à 99 employés),Amélioration de l'efficacité environnementale par la réduction de la consommation d'énergie par unité de production,,22.3
2017/2019,Canada,"Total, toutes les industries sondées",Petites entreprises (20 à 99 employés),Amélioration de l'efficacité environnementale par le remplacement de matériaux par des matériaux moins polluants sur le plan des émissions de gaz à effet de serre,,15.0
2017/2019,Canada,"Total, toutes les industries sondées",Petites entreprises (20 à 99 employés),"Réduction de la consommation de ressources (eau, déchets ou matériaux) au moyen du recyclage",,32.5
2017/2019,Canada,"Total, toutes les industries sondées",Petites entreprises (20 à 99 employés),"Carburants renouvelables (éthanol, biodiesel, biogaz, biocharbon, hydrogène)",,4.7
2017/2019,Canada,"Total, toutes les industries sondées",Petites entreprises (20 à 99 employés),Innovations présentant des avantages environnementaux découlant de l'augmentation des activités de protection de l'environnement,,22.0
2017/2019,Canada,"Total, toutes les industries sondées",Petites entreprises (20 à 99 employés),"Réduction de la pollution atmosphérique, de l'eau, du sol ou de la pollution par le bruit",,17.2
2017/2019,Canada,"Total, toutes les industries sondées",Petites entreprises (20 à 99 employés),Réduction des émissions de gaz à effet de serre,,14.6
2017/2019,Canada,"Total, toutes les industries sondées",Petites entreprises (20 à 99 employés),Innovations présentant des avantages environnementaux découlant de l'utilisateur final ou du consommateur,,35.5
2017/2019,Canada,"Total, toutes les industries sondées",Petites entreprises (20 à 99 employés),Réduction de la consommation d'énergie ou augmentation de l'efficacité énergétique de l'utilisateur final ou du consommateur,,19.6
2017/2019,Canada,"Total, toutes les industries sondées",Petites entreprises (20 à 99 employés),Réduction de l'utilisation de matériaux ou augmentation du recyclage de l'utilisateur final ou du consommateur,,26.1
2017/2019,Canada,"Total, toutes les industries sondées",Petites entreprises (20 à 99 employés),"Réduction de la pollution atmosphérique, de l'eau, du sol ou de la pollution par le bruit de l'utilisateur final ou du consommateur",,13.8
2017/2019,Canada,"Total, toutes les industries sondées",Petites entreprises (20 à 99 employés),Réduction des émissions de gaz à effet de serre de l'utilisateur final ou du consommateur,,9.8
2017/2019,Canada,"Total, toutes les industries sondées",Petites entreprises (20 à 99 employés),Innovations soutenant d'autres avantages environnementaux,,8.5
2017/2019,Canada,"Total, toutes les industries sondées",Entreprises moyennes (100 à 249 employés),Innovations offrant des avantages quelconques pour l'environnement,,58.5
2017/2019,Canada,"Total, toutes les industries sondées",Entreprises moyennes (100 à 249 employés),Innovations présentant des avantages environnementaux découlant de la production fondée sur une utilisation efficace des ressources,,50.6
2017/2019,Canada,"Total, toutes les industries sondées",Entreprises moyennes (100 à 249 employés),Amélioration de l'efficacité environnementale par la réduction de l'utilisation de matériaux par unité de production,,26.8
2017/2019,Canada,"Total, toutes les industries sondées",Entreprises moyennes (100 à 249 employés),Amélioration de l'efficacité environnementale par la réduction de la consommation d'énergie par unité de production,,27.8
2017/2019,Canada,"Total, toutes les industries sondées",Entreprises moyennes (100 à 249 employés),Amélioration de l'efficacité environnementale par le remplacement de matériaux par des matériaux moins polluants sur le plan des émissions de gaz à effet de serre,,16.3
2017/2019,Canada,"Total, toutes les industries sondées",Entreprises moyennes (100 à 249 employés),"Réduction de la consommation de ressources (eau, déchets ou matériaux) au moyen du recyclage",,33.7
2017/2019,Canada,"Total, toutes les industries sondées",Entreprises moyennes (100 à 249 employés),"Carburants renouvelables (éthanol, biodiesel, biogaz, biocharbon, hydrogène)",,4.1
2017/2019,Canada,"Total, toutes les industries sondées",Entreprises moyennes (100 à 249 employés),Innovations présentant des avantages environnementaux découlant de l'augmentation des activités de protection de l'environnement,,25.6
2017/2019,Canada,"Total, toutes les industries sondées",Entreprises moyennes (100 à 249 employés),"Réduction de la pollution atmosphérique, de l'eau, du sol ou de la pollution par le bruit",,19.6
2017/2019,Canada,"Total, toutes les industries sondées",Entreprises moyennes (100 à 249 employés),Réduction des émissions de gaz à effet de serre,,18.0
2017/2019,Canada,"Total, toutes les industries sondées",Entreprises moyennes (100 à 249 employés),Innovations présentant des avantages environnementaux découlant de l'utilisateur final ou du consommateur,,37.2
2017/2019,Canada,"Total, toutes les industries sondées",Entreprises moyennes (100 à 249 employés),Réduction de la consommation d'énergie ou augmentation de l'efficacité énergétique de l'utilisateur final ou du consommateur,,21.9
2017/2019,Canada,"Total, toutes les industries sondées",Entreprises moyennes (100 à 249 employés),Réduction de l'utilisation de matériaux ou augmentation du recyclage de l'utilisateur final ou du consommateur,,25.7
2017/2019,Canada,"Total, toutes les industries sondées",Entreprises moyennes (100 à 249 employés),"Réduction de la pollution atmosphérique, de l'eau, du sol ou de la pollution par le bruit de l'utilisateur final ou du consommateur",,12.8
2017/2019,Canada,"Total, toutes les industries sondées",Entreprises moyennes (100 à 249 employés),Réduction des émissions de gaz à effet de serre de l'utilisateur final ou du consommateur,,12.0
2017/2019,Canada,"Total, toutes les industries sondées",Entreprises moyennes (100 à 249 employés),Innovations soutenant d'autres avantages environnementaux,,9.1
2017/2019,Canada,"Total, toutes les industries sondées",Grandes entreprises (250 employés et plus),Innovations offrant des avantages quelconques pour l'environnement,,60.8
2017/2019,Canada,"Total, toutes les industries sondées",Grandes entreprises (250 employés et plus),Innovations présentant des avantages environnementaux découlant de la production fondée sur une utilisation efficace des ressources,,53.8
2017/2019,Canada,"Total, toutes les industries sondées",Grandes entreprises (250 employés et plus),Amélioration de l'efficacité environnementale par la réduction de l'utilisation de matériaux par unité de production,,32.1
2017/2019,Canada,"Total, toutes les industries sondées",Grandes entreprises (250 employés et plus),Amélioration de l'efficacité environnementale par la réduction de la consommation d'énergie par unité de production,,33.2
2017/2019,Canada,"Total, toutes les industries sondées",Grandes entreprises (250 employés et plus),Amélioration de l'efficacité environnementale par le remplacement de matériaux par des matériaux moins polluants sur le plan des émissions de gaz à effet de serre,,20.2
2017/2019,Canada,"Total, toutes les industries sondées",Grandes entreprises (250 employés et plus),"Réduction de la consommation de ressources (eau, déchets ou matériaux) au moyen du recyclage",,35.1
2017/2019,Canada,"Total, toutes les industries sondées",Grandes entreprises (250 employés et plus),"Carburants renouvelables (éthanol, biodiesel, biogaz, biocharbon, hydrogène)",,7.8
2017/2019,Canada,"Total, toutes les industries sondées",Grandes entreprises (250 employés et plus),Innovations présentant des avantages environnementaux découlant de l'augmentation des activités de protection de l'environnement,,32.2
2017/2019,Canada,"Total, toutes les industries sondées",Grandes entreprises (250 employés et plus),"Réduction de la pollution atmosphérique, de l'eau, du sol ou de la pollution par le bruit",,26.5
2017/2019,Canada,"Total, toutes les industries sondées",Grandes entreprises (250 employés et plus),Réduction des émissions de gaz à effet de serre,,24.1
2017/2019,Canada,"Total, toutes les industries sondées",Grandes entreprises (250 employés et plus),Innovations présentant des avantages environnementaux découlant de l'utilisateur final ou du consommateur,,36.9
2017/2019,Canada,"Total, toutes les industries sondées",Grandes entreprises (250 employés et plus),Réduction de la consommation d'énergie ou augmentation de l'efficacité énergétique de l'utilisateur final ou du consommateur,,23.3
2017/2019,Canada,"Total, toutes les industries sondées",Grandes entreprises (250 employés et plus),Réduction de l'utilisation de matériaux ou augmentation du recyclage de l'utilisateur final ou du consommateur,,26.2
2017/2019,Canada,"Total, toutes les industries sondées",Grandes entreprises (250 employés et plus),"Réduction de la pollution atmosphérique, de l'eau, du sol ou de la pollution par le bruit de l'utilisateur final ou du consommateur",,16.1
2017/2019,Canada,"Total, toutes les industries sondées",Grandes entreprises (250 employés et plus),Réduction des émissions de gaz à effet de serre de l'utilisateur final ou du consommateur,,14.6
2017/2019,Canada,"Total, toutes les industries sondées",Grandes entreprises (250 employés et plus),Innovations soutenant d'autres avantages environnementaux,,12.0
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse","Total, toutes les entreprises",Innovations offrant des avantages quelconques pour l'environnement,,69.1
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse","Total, toutes les entreprises",Innovations présentant des avantages environnementaux découlant de la production fondée sur une utilisation efficace des ressources,,58.2
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse","Total, toutes les entreprises",Amélioration de l'efficacité environnementale par la réduction de l'utilisation de matériaux par unité de production,,34.8
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse","Total, toutes les entreprises",Amélioration de l'efficacité environnementale par la réduction de la consommation d'énergie par unité de production,,43.3
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse","Total, toutes les entreprises",Amélioration de l'efficacité environnementale par le remplacement de matériaux par des matériaux moins polluants sur le plan des émissions de gaz à effet de serre,,30.0
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse","Total, toutes les entreprises","Réduction de la consommation de ressources (eau, déchets ou matériaux) au moyen du recyclage",,37.6
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse","Total, toutes les entreprises","Carburants renouvelables (éthanol, biodiesel, biogaz, biocharbon, hydrogène)",,11.4
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse","Total, toutes les entreprises",Innovations présentant des avantages environnementaux découlant de l'augmentation des activités de protection de l'environnement,,49.9
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse","Total, toutes les entreprises","Réduction de la pollution atmosphérique, de l'eau, du sol ou de la pollution par le bruit",,35.8
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse","Total, toutes les entreprises",Réduction des émissions de gaz à effet de serre,,34.9
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse","Total, toutes les entreprises",Innovations présentant des avantages environnementaux découlant de l'utilisateur final ou du consommateur,,37.7
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse","Total, toutes les entreprises",Réduction de la consommation d'énergie ou augmentation de l'efficacité énergétique de l'utilisateur final ou du consommateur,,14.6
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse","Total, toutes les entreprises",Réduction de l'utilisation de matériaux ou augmentation du recyclage de l'utilisateur final ou du consommateur,,24.3
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse","Total, toutes les entreprises","Réduction de la pollution atmosphérique, de l'eau, du sol ou de la pollution par le bruit de l'utilisateur final ou du consommateur",,22.1
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse","Total, toutes les entreprises",Réduction des émissions de gaz à effet de serre de l'utilisateur final ou du consommateur,,15.5
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse","Total, toutes les entreprises",Innovations soutenant d'autres avantages environnementaux,,15.2
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Petites entreprises (20 à 99 employés),Innovations offrant des avantages quelconques pour l'environnement,,69.5
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Petites entreprises (20 à 99 employés),Innovations présentant des avantages environnementaux découlant de la production fondée sur une utilisation efficace des ressources,,57.8
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Petites entreprises (20 à 99 employés),Amélioration de l'efficacité environnementale par la réduction de l'utilisation de matériaux par unité de production,,35.2
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Petites entreprises (20 à 99 employés),Amélioration de l'efficacité environnementale par la réduction de la consommation d'énergie par unité de production,,43.4
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Petites entreprises (20 à 99 employés),Amélioration de l'efficacité environnementale par le remplacement de matériaux par des matériaux moins polluants sur le plan des émissions de gaz à effet de serre,,30.6
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Petites entreprises (20 à 99 employés),"Réduction de la consommation de ressources (eau, déchets ou matériaux) au moyen du recyclage",,36.9
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Petites entreprises (20 à 99 employés),"Carburants renouvelables (éthanol, biodiesel, biogaz, biocharbon, hydrogène)",,12.5
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Petites entreprises (20 à 99 employés),Innovations présentant des avantages environnementaux découlant de l'augmentation des activités de protection de l'environnement,,50.6
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Petites entreprises (20 à 99 employés),"Réduction de la pollution atmosphérique, de l'eau, du sol ou de la pollution par le bruit",,35.5
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Petites entreprises (20 à 99 employés),Réduction des émissions de gaz à effet de serre,,35.9
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Petites entreprises (20 à 99 employés),Innovations présentant des avantages environnementaux découlant de l'utilisateur final ou du consommateur,,37.4
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Petites entreprises (20 à 99 employés),Réduction de la consommation d'énergie ou augmentation de l'efficacité énergétique de l'utilisateur final ou du consommateur,,13.5
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Petites entreprises (20 à 99 employés),Réduction de l'utilisation de matériaux ou augmentation du recyclage de l'utilisateur final ou du consommateur,,23.4
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Petites entreprises (20 à 99 employés),"Réduction de la pollution atmosphérique, de l'eau, du sol ou de la pollution par le bruit de l'utilisateur final ou du consommateur",,22.7
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Petites entreprises (20 à 99 employés),Réduction des émissions de gaz à effet de serre de l'utilisateur final ou du consommateur,,15.5
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Petites entreprises (20 à 99 employés),Innovations soutenant d'autres avantages environnementaux,,15.2
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Entreprises moyennes (100 à 249 employés),Innovations offrant des avantages quelconques pour l'environnement,,63.7
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Entreprises moyennes (100 à 249 employés),Innovations présentant des avantages environnementaux découlant de la production fondée sur une utilisation efficace des ressources,,58.3
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Entreprises moyennes (100 à 249 employés),Amélioration de l'efficacité environnementale par la réduction de l'utilisation de matériaux par unité de production,,29.5
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Entreprises moyennes (100 à 249 employés),Amélioration de l'efficacité environnementale par la réduction de la consommation d'énergie par unité de production,,38.9
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Entreprises moyennes (100 à 249 employés),Amélioration de l'efficacité environnementale par le remplacement de matériaux par des matériaux moins polluants sur le plan des émissions de gaz à effet de serre,,25.9
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Entreprises moyennes (100 à 249 employés),"Réduction de la consommation de ressources (eau, déchets ou matériaux) au moyen du recyclage",,41.2
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Entreprises moyennes (100 à 249 employés),"Carburants renouvelables (éthanol, biodiesel, biogaz, biocharbon, hydrogène)",,3.7
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Entreprises moyennes (100 à 249 employés),Innovations présentant des avantages environnementaux découlant de l'augmentation des activités de protection de l'environnement,,44.0
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Entreprises moyennes (100 à 249 employés),"Réduction de la pollution atmosphérique, de l'eau, du sol ou de la pollution par le bruit",,36.6
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Entreprises moyennes (100 à 249 employés),Réduction des émissions de gaz à effet de serre,,28.5
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Entreprises moyennes (100 à 249 employés),Innovations présentant des avantages environnementaux découlant de l'utilisateur final ou du consommateur,,38.4
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Entreprises moyennes (100 à 249 employés),Réduction de la consommation d'énergie ou augmentation de l'efficacité énergétique de l'utilisateur final ou du consommateur,,22.1
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Entreprises moyennes (100 à 249 employés),Réduction de l'utilisation de matériaux ou augmentation du recyclage de l'utilisateur final ou du consommateur,,29.7
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Entreprises moyennes (100 à 249 employés),"Réduction de la pollution atmosphérique, de l'eau, du sol ou de la pollution par le bruit de l'utilisateur final ou du consommateur",,18.0
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Entreprises moyennes (100 à 249 employés),Réduction des émissions de gaz à effet de serre de l'utilisateur final ou du consommateur,,15.8
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Entreprises moyennes (100 à 249 employés),Innovations soutenant d'autres avantages environnementaux,,17.2
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Grandes entreprises (250 employés et plus),Innovations offrant des avantages quelconques pour l'environnement,,77.2
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Grandes entreprises (250 employés et plus),Innovations présentant des avantages environnementaux découlant de la production fondée sur une utilisation efficace des ressources,,77.2
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Grandes entreprises (250 employés et plus),Amélioration de l'efficacité environnementale par la réduction de l'utilisation de matériaux par unité de production,,49.5
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Grandes entreprises (250 employés et plus),Amélioration de l'efficacité environnementale par la réduction de la consommation d'énergie par unité de production,,61.6
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Grandes entreprises (250 employés et plus),Amélioration de l'efficacité environnementale par le remplacement de matériaux par des matériaux moins polluants sur le plan des émissions de gaz à effet de serre,,22.9
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Grandes entreprises (250 employés et plus),"Réduction de la consommation de ressources (eau, déchets ou matériaux) au moyen du recyclage",,48.6
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Grandes entreprises (250 employés et plus),"Carburants renouvelables (éthanol, biodiesel, biogaz, biocharbon, hydrogène)",,3.2
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Grandes entreprises (250 employés et plus),Innovations présentant des avantages environnementaux découlant de l'augmentation des activités de protection de l'environnement,,48.6
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Grandes entreprises (250 employés et plus),"Réduction de la pollution atmosphérique, de l'eau, du sol ou de la pollution par le bruit",,44.1
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Grandes entreprises (250 employés et plus),Réduction des émissions de gaz à effet de serre,,24.1
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Grandes entreprises (250 employés et plus),Innovations présentant des avantages environnementaux découlant de l'utilisateur final ou du consommateur,,45.3
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Grandes entreprises (250 employés et plus),Réduction de la consommation d'énergie ou augmentation de l'efficacité énergétique de l'utilisateur final ou du consommateur,,24.5
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Grandes entreprises (250 employés et plus),Réduction de l'utilisation de matériaux ou augmentation du recyclage de l'utilisateur final ou du consommateur,,33.0
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Grandes entreprises (250 employés et plus),"Réduction de la pollution atmosphérique, de l'eau, du sol ou de la pollution par le bruit de l'utilisateur final ou du consommateur",,16.7
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Grandes entreprises (250 employés et plus),Réduction des émissions de gaz à effet de serre de l'utilisateur final ou du consommateur,,12.2
2017/2019,Canada,"Agriculture, foresterie, pêche et chasse",Grandes entreprises (250 employés et plus),Innovations soutenant d'autres avantages environnementaux,,4.5
2017/2019,Canada,Extraction minière et de pétrole et de gaz,"Total, toutes les entreprises",Innovations offrant des avantages quelconques pour l'environnement,,65.4
2017/2019,Canada,Extraction minière et de pétrole et de gaz,"Total, toutes les entreprises",Innovations présentant des avantages environnementaux découlant de la production fondée sur une utilisation efficace des ressources,,57.0
2017/2019,Canada,Extraction minière et de pétrole et de gaz,"Total, toutes les entreprises",Amélioration de l'efficacité environnementale par la réduction de l'utilisation de matériaux par unité de production,,33.9
2017/2019,Canada,Extraction minière et de pétrole et de gaz,"Total, toutes les entreprises",Amélioration de l'efficacité environnementale par la réduction de la consommation d'énergie par unité de production,,37.6
2017/2019,Canada,Extraction minière et de pétrole et de gaz,"Total, toutes les entreprises",Amélioration de l'efficacité environnementale par le remplacement de matériaux par des matériaux moins polluants sur le plan des émissions de gaz à effet de serre,,17.6
2017/2019,Canada,Extraction minière et de pétrole et de gaz,"Total, toutes les entreprises","Réduction de la consommation de ressources (eau, déchets ou matériaux) au moyen du recyclage",,36.2
2017/2019,Canada,Extraction minière et de pétrole et de gaz,"Total, toutes les entreprises","Carburants renouvelables (éthanol, biodiesel, biogaz, biocharbon, hydrogène)",,8.0
2017/2019,Canada,Extraction minière et de pétrole et de gaz,"Total, toutes les entreprises",Innovations présentant des avantages environnementaux découlant de l'augmentation des activités de protection de l'environnement,,44.6
2017/2019,Canada,Extraction minière et de pétrole et de gaz,"Total, toutes les entreprises","Réduction de la pollution atmosphérique, de l'eau, du sol ou de la pollution par le bruit",,37.8
2017/2019,Canada,Extraction minière et de pétrole et de gaz,"Total, toutes les entreprises",Réduction des émissions de gaz à effet de serre,,31.1
2017/2019,Canada,Extraction minière et de pétrole et de gaz,"Total, toutes les entreprises",Innovations présentant des avantages environnementaux découlant de l'utilisateur final ou du consommateur,,34.9
2017/2019,Canada,Extraction minière et de pétrole et de gaz,"Total, toutes les entreprises",Réduction de la consommation d'énergie ou augmentation de l'efficacité énergétique de l'utilisateur final ou du consommateur,,19.7
2017/2019,Canada,Extraction minière et de pétrole et de gaz,"Total, toutes les entreprises",Réduction de l'utilisation de matériaux ou augmentation du recyclage de l'utilisateur final ou du consommateur,,23.2
2017/2019,Canada,Extraction minière et de pétrole et de gaz,"Total, toutes les entreprises","Réduction de la pollution atmosphérique, de l'eau, du sol ou de la pollution par le bruit de l'utilisateur final ou du consommateur",,24.4
2017/2019,Canada,Extraction minière et de pétrole et de gaz,"Total, toutes les entreprises",Réduction des émissions de gaz à effet de serre de l'utilisateur final ou du consommateur,,11.9
2017/2019,Canada,Extraction minière et de pétrole et de gaz,"Total, toutes les entreprises",Innovations soutenant d'autres avantages environnementaux,,13.2
2017/2019,Canada,Extraction minière et de pétrole et de gaz,Petites entreprises (20 à 99 employés),Innovations offrant des avantages quelconques pour l'environnement,,64.0
2017/2019,Canada,Extraction minière et de pétrole et de gaz,Petites entreprises (20 à 99 employés),Innovations présentant des avantages environnementaux découlant de la production fondée sur une utilisation efficace des ressources,,55.6
2017/2019,Canada,Extraction minière et de pétrole et de gaz,Petites entreprises (20 à 99 employés),Amélioration de l'efficacité environnementale par la réduction de l'utilisation de matériaux par unité de production,,32.7
2017/2019,Canada,Extraction minière et de pétrole et de gaz,Petites entreprises (20 à 99 employés),Amélioration de l'efficacité environnementale par la réduction de la consommation d'énergie par unité de production,,36.5
2017/2019,Canada,Extraction minière et de pétrole et de gaz,Petites entreprises (20 à 99 employés),Amélioration de l'efficacité environnementale par le remplacement de matériaux par des matériaux moins polluants sur le plan des émissions de gaz à effet de serre,,13.5
2017/2019,Canada,Extraction minière et de pétrole et de gaz,Petites entreprises (20 à 99 employés),"Réduction de la consommation de ressources (eau, déchets ou matériaux) au moyen du recyclage",,34.1
2017/2019,Canada,Extraction minière et de pétrole et de gaz,Petites entreprises (20 à 99 employés),"Carburants renouvelables (éthanol, biodiesel, biogaz, biocharbon, hydrogène)",,6.1
2017/2019,Canada,Extraction minière et de pétrole et de gaz,Petites entreprises (20 à 99 employés),Innovations présentant des avantages environnementaux découlant de l'augmentation des activités de protection de l'environnement,,41.5
2017/2019,Canada,Extraction minière et de pétrole et de gaz,Petites entreprises (20 à 99 employés),"Réduction de la pollution atmosphérique, de l'eau, du sol ou de la pollution par le bruit",,35.3
2017/2019,Canada,Extraction minière et de pétrole et de gaz,Petites entreprises (20 à 99 employés),Réduction des émissions de gaz à effet de serre,,27.5
2017/2019,Canada,Extraction minière et de pétrole et de gaz,Petites entreprises (20 à 99 employés),Innovations présentant des avantages environnementaux découlant de l'utilisateur final ou du consommateur,,34.7
2017/2019,Canada,Extraction minière et de pétrole et de gaz,Petites entreprises (20 à 99 employés),Réduction de la consommation d'énergie ou augmentation de l'efficacité énergétique de l'utilisateur final ou du consommateur,,18.9
2017/2019,Canada,Extraction minière et de pétrole et de gaz,Petites entreprises (20 à 99 employés),Réduction de l'utilisation de matériaux ou augmentation du recyclage de l'utilisateur final ou du consommateur,,23.6
2017/2019,Canada,Extraction minière et de pétrole et de gaz,Petites entreprises (20 à 99 employés),"Réduction de la pollution atmosphérique, de l'eau, du sol ou de la pollution par le bruit de l'utilisateur final ou du consommateur",,25.6
2017/2019,Canada,Extraction minière et de pétrole et de gaz,Petites entreprises (20 à 99 employés),Réduction des émissions de gaz à effet de serre de l'utilisateur final ou du consommateur,,10.0
2017/2019,Canada,Extraction minière et de pétrole et de gaz,Petites entreprises (20 à 99 employés),Innovations soutenant d'autres avantages environnementaux,,11.2
2017/2019,Canada,Extraction minière et de pétrole et de gaz,Entreprises moyennes (100 à 249 employés),Innovations offrant des avantages quelconques pour l'environnement,,69.4
