Year,Géographie,Âge au décès,Sexe,Principales causes de décès,Value
2018,Canada,Tous les âges,Hommes,Lésions auto-infligées,15.7
2019,Canada,Tous les âges,Hommes,Lésions auto-infligées,16.4
2015,Canada,Tous les âges,Femmes,Tumeurs malignes,202.8
2016,Canada,Tous les âges,Femmes,Tumeurs malignes,205.9
2017,Canada,Tous les âges,Femmes,Tumeurs malignes,203.9
2018,Canada,Tous les âges,Femmes,Tumeurs malignes,200.9
2019,Canada,Tous les âges,Femmes,Tumeurs malignes,197.4
2015,Canada,Tous les âges,Femmes,Diabète sucré,17.8
2016,Canada,Tous les âges,Femmes,Diabète sucré,17.2
2017,Canada,Tous les âges,Femmes,Diabète sucré,16.2
2018,Canada,Tous les âges,Femmes,Diabète sucré,16.4
2019,Canada,Tous les âges,Femmes,Diabète sucré,16.0
2015,Canada,Tous les âges,Femmes,Maladie d'Alzheimer,24.7
2016,Canada,Tous les âges,Femmes,Maladie d'Alzheimer,24.3
2017,Canada,Tous les âges,Femmes,Maladie d'Alzheimer,24.5
2018,Canada,Tous les âges,Femmes,Maladie d'Alzheimer,23.2
2019,Canada,Tous les âges,Femmes,Maladie d'Alzheimer,22.1
2015,Canada,Tous les âges,Femmes,Maladies du coeur,134.2
2016,Canada,Tous les âges,Femmes,Maladies du coeur,130.8
2017,Canada,Tous les âges,Femmes,Maladies du coeur,132.1
2018,Canada,Tous les âges,Femmes,Maladies du coeur,131.4
2019,Canada,Tous les âges,Femmes,Maladies du coeur,128.3
2015,Canada,Tous les âges,Femmes,Maladies cérébrovasculaires,44.5
2016,Canada,Tous les âges,Femmes,Maladies cérébrovasculaires,43.1
2017,Canada,Tous les âges,Femmes,Maladies cérébrovasculaires,42.6
2018,Canada,Tous les âges,Femmes,Maladies cérébrovasculaires,41.5
2019,Canada,Tous les âges,Femmes,Maladies cérébrovasculaires,40.8
2015,Canada,Tous les âges,Femmes,Grippe et pneumopathie,23.3
2016,Canada,Tous les âges,Femmes,Grippe et pneumopathie,17.9
2017,Canada,Tous les âges,Femmes,Grippe et pneumopathie,22.1
2018,Canada,Tous les âges,Femmes,Grippe et pneumopathie,24.5
2019,Canada,Tous les âges,Femmes,Grippe et pneumopathie,19.2
2015,Canada,Tous les âges,Femmes,Maladies chroniques des voies respiratoires inférieures,35.1
2016,Canada,Tous les âges,Femmes,Maladies chroniques des voies respiratoires inférieures,33.5
2017,Canada,Tous les âges,Femmes,Maladies chroniques des voies respiratoires inférieures,35.5
2018,Canada,Tous les âges,Femmes,Maladies chroniques des voies respiratoires inférieures,35.2
2019,Canada,Tous les âges,Femmes,Maladies chroniques des voies respiratoires inférieures,34.3
2015,Canada,Tous les âges,Femmes,Maladie chronique et cirrhose du foie,6.0
2016,Canada,Tous les âges,Femmes,Maladie chronique et cirrhose du foie,6.5
2017,Canada,Tous les âges,Femmes,Maladie chronique et cirrhose du foie,6.7
2018,Canada,Tous les âges,Femmes,Maladie chronique et cirrhose du foie,7.0
2019,Canada,Tous les âges,Femmes,Maladie chronique et cirrhose du foie,6.9
2015,Canada,Tous les âges,Femmes,Accidents (blessures involontaires),27.4
2016,Canada,Tous les âges,Femmes,Accidents (blessures involontaires),28.1
2017,Canada,Tous les âges,Femmes,Accidents (blessures involontaires),29.3
2018,Canada,Tous les âges,Femmes,Accidents (blessures involontaires),29.9
2019,Canada,Tous les âges,Femmes,Accidents (blessures involontaires),31.3
2015,Canada,Tous les âges,Femmes,Lésions auto-infligées,6.3
2016,Canada,Tous les âges,Femmes,Lésions auto-infligées,5.7
2017,Canada,Tous les âges,Femmes,Lésions auto-infligées,5.7
2018,Canada,Tous les âges,Femmes,Lésions auto-infligées,5.0
2019,Canada,Tous les âges,Femmes,Lésions auto-infligées,5.0
2015,Canada,1 à 14 ans,Les deux sexes,Tumeurs malignes,2.4
2016,Canada,1 à 14 ans,Les deux sexes,Tumeurs malignes,2.4
2017,Canada,1 à 14 ans,Les deux sexes,Tumeurs malignes,1.9
2018,Canada,1 à 14 ans,Les deux sexes,Tumeurs malignes,2.1
2019,Canada,1 à 14 ans,Les deux sexes,Tumeurs malignes,2.0
2015,Canada,1 à 14 ans,Les deux sexes,Diabète sucré,0.0
2016,Canada,1 à 14 ans,Les deux sexes,Diabète sucré,0.0
2017,Canada,1 à 14 ans,Les deux sexes,Diabète sucré,0.0
2018,Canada,1 à 14 ans,Les deux sexes,Diabète sucré,0.0
2019,Canada,1 à 14 ans,Les deux sexes,Diabète sucré,0.0
2015,Canada,1 à 14 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2016,Canada,1 à 14 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2017,Canada,1 à 14 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2018,Canada,1 à 14 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2019,Canada,1 à 14 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2015,Canada,1 à 14 ans,Les deux sexes,Maladies du coeur,0.3
2016,Canada,1 à 14 ans,Les deux sexes,Maladies du coeur,0.4
2017,Canada,1 à 14 ans,Les deux sexes,Maladies du coeur,0.3
2018,Canada,1 à 14 ans,Les deux sexes,Maladies du coeur,0.2
2019,Canada,1 à 14 ans,Les deux sexes,Maladies du coeur,0.3
2015,Canada,1 à 14 ans,Les deux sexes,Maladies cérébrovasculaires,0.2
2016,Canada,1 à 14 ans,Les deux sexes,Maladies cérébrovasculaires,0.1
2017,Canada,1 à 14 ans,Les deux sexes,Maladies cérébrovasculaires,0.1
2018,Canada,1 à 14 ans,Les deux sexes,Maladies cérébrovasculaires,0.1
2019,Canada,1 à 14 ans,Les deux sexes,Maladies cérébrovasculaires,0.2
2015,Canada,1 à 14 ans,Les deux sexes,Grippe et pneumopathie,0.3
2016,Canada,1 à 14 ans,Les deux sexes,Grippe et pneumopathie,0.4
2017,Canada,1 à 14 ans,Les deux sexes,Grippe et pneumopathie,0.3
2018,Canada,1 à 14 ans,Les deux sexes,Grippe et pneumopathie,0.4
2019,Canada,1 à 14 ans,Les deux sexes,Grippe et pneumopathie,0.3
2015,Canada,1 à 14 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2016,Canada,1 à 14 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2017,Canada,1 à 14 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2018,Canada,1 à 14 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2019,Canada,1 à 14 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,Canada,1 à 14 ans,Les deux sexes,Maladie chronique et cirrhose du foie,0.0
2016,Canada,1 à 14 ans,Les deux sexes,Maladie chronique et cirrhose du foie,0.0
2017,Canada,1 à 14 ans,Les deux sexes,Maladie chronique et cirrhose du foie,0.0
2018,Canada,1 à 14 ans,Les deux sexes,Maladie chronique et cirrhose du foie,0.0
2019,Canada,1 à 14 ans,Les deux sexes,Maladie chronique et cirrhose du foie,0.0
2015,Canada,1 à 14 ans,Les deux sexes,Accidents (blessures involontaires),2.9
2016,Canada,1 à 14 ans,Les deux sexes,Accidents (blessures involontaires),2.7
2017,Canada,1 à 14 ans,Les deux sexes,Accidents (blessures involontaires),2.7
2018,Canada,1 à 14 ans,Les deux sexes,Accidents (blessures involontaires),2.2
2019,Canada,1 à 14 ans,Les deux sexes,Accidents (blessures involontaires),2.0
2015,Canada,1 à 14 ans,Les deux sexes,Lésions auto-infligées,0.7
2016,Canada,1 à 14 ans,Les deux sexes,Lésions auto-infligées,0.9
2017,Canada,1 à 14 ans,Les deux sexes,Lésions auto-infligées,0.7
2018,Canada,1 à 14 ans,Les deux sexes,Lésions auto-infligées,0.8
2019,Canada,1 à 14 ans,Les deux sexes,Lésions auto-infligées,0.6
2015,Canada,1 à 14 ans,Hommes,Tumeurs malignes,2.5
2016,Canada,1 à 14 ans,Hommes,Tumeurs malignes,2.5
2017,Canada,1 à 14 ans,Hommes,Tumeurs malignes,2.4
2018,Canada,1 à 14 ans,Hommes,Tumeurs malignes,2.4
2019,Canada,1 à 14 ans,Hommes,Tumeurs malignes,2.5
2015,Canada,1 à 14 ans,Hommes,Diabète sucré,0.0
2016,Canada,1 à 14 ans,Hommes,Diabète sucré,0.0
2017,Canada,1 à 14 ans,Hommes,Diabète sucré,0.0
2018,Canada,1 à 14 ans,Hommes,Diabète sucré,0.0
2019,Canada,1 à 14 ans,Hommes,Diabète sucré,0.0
2015,Canada,1 à 14 ans,Hommes,Maladie d'Alzheimer,0.0
2016,Canada,1 à 14 ans,Hommes,Maladie d'Alzheimer,0.0
2017,Canada,1 à 14 ans,Hommes,Maladie d'Alzheimer,0.0
2018,Canada,1 à 14 ans,Hommes,Maladie d'Alzheimer,0.0
2019,Canada,1 à 14 ans,Hommes,Maladie d'Alzheimer,0.0
2015,Canada,1 à 14 ans,Hommes,Maladies du coeur,0.3
2016,Canada,1 à 14 ans,Hommes,Maladies du coeur,0.4
2017,Canada,1 à 14 ans,Hommes,Maladies du coeur,0.4
2018,Canada,1 à 14 ans,Hommes,Maladies du coeur,0.1
2019,Canada,1 à 14 ans,Hommes,Maladies du coeur,0.2
2015,Canada,1 à 14 ans,Hommes,Maladies cérébrovasculaires,0.2
2016,Canada,1 à 14 ans,Hommes,Maladies cérébrovasculaires,0.1
2017,Canada,1 à 14 ans,Hommes,Maladies cérébrovasculaires,0.2
2018,Canada,1 à 14 ans,Hommes,Maladies cérébrovasculaires,0.2
2019,Canada,1 à 14 ans,Hommes,Maladies cérébrovasculaires,0.3
2015,Canada,1 à 14 ans,Hommes,Grippe et pneumopathie,0.4
2016,Canada,1 à 14 ans,Hommes,Grippe et pneumopathie,0.3
2017,Canada,1 à 14 ans,Hommes,Grippe et pneumopathie,0.4
2018,Canada,1 à 14 ans,Hommes,Grippe et pneumopathie,0.4
2019,Canada,1 à 14 ans,Hommes,Grippe et pneumopathie,0.3
2015,Canada,1 à 14 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.1
2016,Canada,1 à 14 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.1
2017,Canada,1 à 14 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.0
2018,Canada,1 à 14 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.2
2019,Canada,1 à 14 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,Canada,1 à 14 ans,Hommes,Maladie chronique et cirrhose du foie,0.0
2016,Canada,1 à 14 ans,Hommes,Maladie chronique et cirrhose du foie,0.0
2017,Canada,1 à 14 ans,Hommes,Maladie chronique et cirrhose du foie,0.0
2018,Canada,1 à 14 ans,Hommes,Maladie chronique et cirrhose du foie,0.0
2019,Canada,1 à 14 ans,Hommes,Maladie chronique et cirrhose du foie,0.0
2015,Canada,1 à 14 ans,Hommes,Accidents (blessures involontaires),3.5
2016,Canada,1 à 14 ans,Hommes,Accidents (blessures involontaires),3.2
2017,Canada,1 à 14 ans,Hommes,Accidents (blessures involontaires),3.3
2018,Canada,1 à 14 ans,Hommes,Accidents (blessures involontaires),2.5
2019,Canada,1 à 14 ans,Hommes,Accidents (blessures involontaires),2.3
2015,Canada,1 à 14 ans,Hommes,Lésions auto-infligées,0.5
2016,Canada,1 à 14 ans,Hommes,Lésions auto-infligées,0.6
2017,Canada,1 à 14 ans,Hommes,Lésions auto-infligées,0.4
2018,Canada,1 à 14 ans,Hommes,Lésions auto-infligées,0.8
2019,Canada,1 à 14 ans,Hommes,Lésions auto-infligées,0.5
2015,Canada,1 à 14 ans,Femmes,Tumeurs malignes,2.4
2016,Canada,1 à 14 ans,Femmes,Tumeurs malignes,2.3
2017,Canada,1 à 14 ans,Femmes,Tumeurs malignes,1.4
2018,Canada,1 à 14 ans,Femmes,Tumeurs malignes,1.7
2019,Canada,1 à 14 ans,Femmes,Tumeurs malignes,1.5
2015,Canada,1 à 14 ans,Femmes,Diabète sucré,0.0
2016,Canada,1 à 14 ans,Femmes,Diabète sucré,0.0
2017,Canada,1 à 14 ans,Femmes,Diabète sucré,0.0
2018,Canada,1 à 14 ans,Femmes,Diabète sucré,0.0
2019,Canada,1 à 14 ans,Femmes,Diabète sucré,0.0
2015,Canada,1 à 14 ans,Femmes,Maladie d'Alzheimer,0.0
2016,Canada,1 à 14 ans,Femmes,Maladie d'Alzheimer,0.0
2017,Canada,1 à 14 ans,Femmes,Maladie d'Alzheimer,0.0
2018,Canada,1 à 14 ans,Femmes,Maladie d'Alzheimer,0.0
2019,Canada,1 à 14 ans,Femmes,Maladie d'Alzheimer,0.0
2015,Canada,1 à 14 ans,Femmes,Maladies du coeur,0.2
2016,Canada,1 à 14 ans,Femmes,Maladies du coeur,0.4
2017,Canada,1 à 14 ans,Femmes,Maladies du coeur,0.3
2018,Canada,1 à 14 ans,Femmes,Maladies du coeur,0.3
2019,Canada,1 à 14 ans,Femmes,Maladies du coeur,0.4
2015,Canada,1 à 14 ans,Femmes,Maladies cérébrovasculaires,0.2
2016,Canada,1 à 14 ans,Femmes,Maladies cérébrovasculaires,0.1
2017,Canada,1 à 14 ans,Femmes,Maladies cérébrovasculaires,0.0
2018,Canada,1 à 14 ans,Femmes,Maladies cérébrovasculaires,0.0
2019,Canada,1 à 14 ans,Femmes,Maladies cérébrovasculaires,0.1
2015,Canada,1 à 14 ans,Femmes,Grippe et pneumopathie,0.3
2016,Canada,1 à 14 ans,Femmes,Grippe et pneumopathie,0.5
2017,Canada,1 à 14 ans,Femmes,Grippe et pneumopathie,0.3
2018,Canada,1 à 14 ans,Femmes,Grippe et pneumopathie,0.4
2019,Canada,1 à 14 ans,Femmes,Grippe et pneumopathie,0.3
2015,Canada,1 à 14 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2016,Canada,1 à 14 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.0
2017,Canada,1 à 14 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.1
2018,Canada,1 à 14 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.0
2019,Canada,1 à 14 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.0
2015,Canada,1 à 14 ans,Femmes,Maladie chronique et cirrhose du foie,0.0
2016,Canada,1 à 14 ans,Femmes,Maladie chronique et cirrhose du foie,0.0
2017,Canada,1 à 14 ans,Femmes,Maladie chronique et cirrhose du foie,0.0
2018,Canada,1 à 14 ans,Femmes,Maladie chronique et cirrhose du foie,0.0
2019,Canada,1 à 14 ans,Femmes,Maladie chronique et cirrhose du foie,0.0
2015,Canada,1 à 14 ans,Femmes,Accidents (blessures involontaires),2.3
2016,Canada,1 à 14 ans,Femmes,Accidents (blessures involontaires),2.2
2017,Canada,1 à 14 ans,Femmes,Accidents (blessures involontaires),2.0
2018,Canada,1 à 14 ans,Femmes,Accidents (blessures involontaires),1.9
2019,Canada,1 à 14 ans,Femmes,Accidents (blessures involontaires),1.7
2015,Canada,1 à 14 ans,Femmes,Lésions auto-infligées,0.8
2016,Canada,1 à 14 ans,Femmes,Lésions auto-infligées,1.2
2017,Canada,1 à 14 ans,Femmes,Lésions auto-infligées,0.9
2018,Canada,1 à 14 ans,Femmes,Lésions auto-infligées,0.9
2019,Canada,1 à 14 ans,Femmes,Lésions auto-infligées,0.6
2015,Canada,15 à 24 ans,Les deux sexes,Tumeurs malignes,3.3
2016,Canada,15 à 24 ans,Les deux sexes,Tumeurs malignes,3.0
2017,Canada,15 à 24 ans,Les deux sexes,Tumeurs malignes,3.2
2018,Canada,15 à 24 ans,Les deux sexes,Tumeurs malignes,2.7
2019,Canada,15 à 24 ans,Les deux sexes,Tumeurs malignes,3.2
2015,Canada,15 à 24 ans,Les deux sexes,Diabète sucré,0.2
2016,Canada,15 à 24 ans,Les deux sexes,Diabète sucré,0.2
2017,Canada,15 à 24 ans,Les deux sexes,Diabète sucré,0.3
2018,Canada,15 à 24 ans,Les deux sexes,Diabète sucré,0.3
2019,Canada,15 à 24 ans,Les deux sexes,Diabète sucré,0.2
2015,Canada,15 à 24 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2016,Canada,15 à 24 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2017,Canada,15 à 24 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2018,Canada,15 à 24 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2019,Canada,15 à 24 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2015,Canada,15 à 24 ans,Les deux sexes,Maladies du coeur,0.9
2016,Canada,15 à 24 ans,Les deux sexes,Maladies du coeur,0.9
2017,Canada,15 à 24 ans,Les deux sexes,Maladies du coeur,1.0
2018,Canada,15 à 24 ans,Les deux sexes,Maladies du coeur,0.8
2019,Canada,15 à 24 ans,Les deux sexes,Maladies du coeur,1.0
2015,Canada,15 à 24 ans,Les deux sexes,Maladies cérébrovasculaires,0.2
2016,Canada,15 à 24 ans,Les deux sexes,Maladies cérébrovasculaires,0.2
2017,Canada,15 à 24 ans,Les deux sexes,Maladies cérébrovasculaires,0.3
2018,Canada,15 à 24 ans,Les deux sexes,Maladies cérébrovasculaires,0.3
2019,Canada,15 à 24 ans,Les deux sexes,Maladies cérébrovasculaires,0.2
2015,Canada,15 à 24 ans,Les deux sexes,Grippe et pneumopathie,0.3
2016,Canada,15 à 24 ans,Les deux sexes,Grippe et pneumopathie,0.3
2017,Canada,15 à 24 ans,Les deux sexes,Grippe et pneumopathie,0.2
2018,Canada,15 à 24 ans,Les deux sexes,Grippe et pneumopathie,0.3
2019,Canada,15 à 24 ans,Les deux sexes,Grippe et pneumopathie,0.2
2015,Canada,15 à 24 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2016,Canada,15 à 24 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2017,Canada,15 à 24 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.2
2018,Canada,15 à 24 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2019,Canada,15 à 24 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,Canada,15 à 24 ans,Les deux sexes,Maladie chronique et cirrhose du foie,0.1
2016,Canada,15 à 24 ans,Les deux sexes,Maladie chronique et cirrhose du foie,0.0
2017,Canada,15 à 24 ans,Les deux sexes,Maladie chronique et cirrhose du foie,0.1
2018,Canada,15 à 24 ans,Les deux sexes,Maladie chronique et cirrhose du foie,0.1
2019,Canada,15 à 24 ans,Les deux sexes,Maladie chronique et cirrhose du foie,0.0
2015,Canada,15 à 24 ans,Les deux sexes,Accidents (blessures involontaires),15.5
2016,Canada,15 à 24 ans,Les deux sexes,Accidents (blessures involontaires),15.9
2017,Canada,15 à 24 ans,Les deux sexes,Accidents (blessures involontaires),17.8
2018,Canada,15 à 24 ans,Les deux sexes,Accidents (blessures involontaires),14.5
2019,Canada,15 à 24 ans,Les deux sexes,Accidents (blessures involontaires),13.7
2015,Canada,15 à 24 ans,Les deux sexes,Lésions auto-infligées,11.4
2016,Canada,15 à 24 ans,Les deux sexes,Lésions auto-infligées,10.7
2017,Canada,15 à 24 ans,Les deux sexes,Lésions auto-infligées,12.1
2018,Canada,15 à 24 ans,Les deux sexes,Lésions auto-infligées,11.9
2019,Canada,15 à 24 ans,Les deux sexes,Lésions auto-infligées,11.0
2015,Canada,15 à 24 ans,Hommes,Tumeurs malignes,4.1
2016,Canada,15 à 24 ans,Hommes,Tumeurs malignes,3.8
2017,Canada,15 à 24 ans,Hommes,Tumeurs malignes,3.9
2018,Canada,15 à 24 ans,Hommes,Tumeurs malignes,3.1
2019,Canada,15 à 24 ans,Hommes,Tumeurs malignes,3.6
2015,Canada,15 à 24 ans,Hommes,Diabète sucré,0.3
2016,Canada,15 à 24 ans,Hommes,Diabète sucré,0.3
2017,Canada,15 à 24 ans,Hommes,Diabète sucré,0.3
2018,Canada,15 à 24 ans,Hommes,Diabète sucré,0.2
2019,Canada,15 à 24 ans,Hommes,Diabète sucré,0.3
2015,Canada,15 à 24 ans,Hommes,Maladie d'Alzheimer,0.0
2016,Canada,15 à 24 ans,Hommes,Maladie d'Alzheimer,0.0
2017,Canada,15 à 24 ans,Hommes,Maladie d'Alzheimer,0.0
2018,Canada,15 à 24 ans,Hommes,Maladie d'Alzheimer,0.0
2019,Canada,15 à 24 ans,Hommes,Maladie d'Alzheimer,0.0
