Year,data.Geography,data.Population centres,GeoCode,Value
2019,data.Ontario,data.Total population centre,35,99.8
2020,data.Ontario,data.Total population centre,35,99.8
2021,data.Ontario,data.Total population centre,35,99.8
2022,data.Ontario,data.Total population centre,35,99.8
2016,data.Prince Edward Island,data.Total population centre,11,100.0
2017,data.Prince Edward Island,data.Total population centre,11,100.0
2018,data.Prince Edward Island,data.Total population centre,11,100.0
2019,data.Prince Edward Island,data.Total population centre,11,100.0
2020,data.Prince Edward Island,data.Total population centre,11,100.0
2021,data.Prince Edward Island,data.Total population centre,11,100.0
2022,data.Prince Edward Island,data.Total population centre,11,100.0
2016,data.Quebec,data.Total population centre,24,98.9
2017,data.Quebec,data.Total population centre,24,99.4
2018,data.Quebec,data.Total population centre,24,99.4
2019,data.Quebec,data.Total population centre,24,99.5
2020,data.Quebec,data.Total population centre,24,99.5
2021,data.Quebec,data.Total population centre,24,99.4
2022,data.Quebec,data.Total population centre,24,99.4
2016,data.Saskatchewan,data.Total population centre,47,86.2
2017,data.Saskatchewan,data.Total population centre,47,99.6
2018,data.Saskatchewan,data.Total population centre,47,99.6
2019,data.Saskatchewan,data.Total population centre,47,99.8
2020,data.Saskatchewan,data.Total population centre,47,99.8
2021,data.Saskatchewan,data.Total population centre,47,99.8
2022,data.Saskatchewan,data.Total population centre,47,99.8
2016,data.Yukon,data.Total population centre,60,93.7
2017,data.Yukon,data.Total population centre,60,94.1
2018,data.Yukon,data.Total population centre,60,95.5
2019,data.Yukon,data.Total population centre,60,94.8
2020,data.Yukon,data.Total population centre,60,95.2
2021,data.Yukon,data.Total population centre,60,95.0
2022,data.Yukon,data.Total population centre,60,95.6
2016,data.Alberta,data.First Nations reserves Rural areas,48,91.4
2017,data.Alberta,data.First Nations reserves Rural areas,48,90.1
2018,data.Alberta,data.First Nations reserves Rural areas,48,90.0
2019,data.Alberta,data.First Nations reserves Rural areas,48,92.5
2020,data.Alberta,data.First Nations reserves Rural areas,48,94.9
2021,data.Alberta,data.First Nations reserves Rural areas,48,91.5
2022,data.Alberta,data.First Nations reserves Rural areas,48,97.1
2016,data.British Columbia,data.First Nations reserves Rural areas,59,72.1
2017,data.British Columbia,data.First Nations reserves Rural areas,59,75.0
2018,data.British Columbia,data.First Nations reserves Rural areas,59,74.9
2019,data.British Columbia,data.First Nations reserves Rural areas,59,79.6
2020,data.British Columbia,data.First Nations reserves Rural areas,59,78.6
2021,data.British Columbia,data.First Nations reserves Rural areas,59,79.0
2022,data.British Columbia,data.First Nations reserves Rural areas,59,80.5
2016,data.Canada,data.First Nations reserves Rural areas,,57.6
2017,data.Canada,data.First Nations reserves Rural areas,,68.9
2018,data.Canada,data.First Nations reserves Rural areas,,72.7
2019,data.Canada,data.First Nations reserves Rural areas,,78.0
2020,data.Canada,data.First Nations reserves Rural areas,,83.5
2021,data.Canada,data.First Nations reserves Rural areas,,83.5
2022,data.Canada,data.First Nations reserves Rural areas,,86.6
2016,data.Manitoba,data.First Nations reserves Rural areas,46,19.8
2017,data.Manitoba,data.First Nations reserves Rural areas,46,20.6
2018,data.Manitoba,data.First Nations reserves Rural areas,46,34.9
2019,data.Manitoba,data.First Nations reserves Rural areas,46,53.5
2020,data.Manitoba,data.First Nations reserves Rural areas,46,76.8
2021,data.Manitoba,data.First Nations reserves Rural areas,46,78.9
2022,data.Manitoba,data.First Nations reserves Rural areas,46,86.5
2016,data.New Brunswick,data.First Nations reserves Rural areas,13,99.7
2017,data.New Brunswick,data.First Nations reserves Rural areas,13,99.7
2018,data.New Brunswick,data.First Nations reserves Rural areas,13,99.5
2019,data.New Brunswick,data.First Nations reserves Rural areas,13,99.9
2020,data.New Brunswick,data.First Nations reserves Rural areas,13,99.9
2021,data.New Brunswick,data.First Nations reserves Rural areas,13,99.6
2022,data.New Brunswick,data.First Nations reserves Rural areas,13,99.7
2016,data.Newfoundland and Labrador,data.First Nations reserves Rural areas,10,67.9
2017,data.Newfoundland and Labrador,data.First Nations reserves Rural areas,10,67.9
2018,data.Newfoundland and Labrador,data.First Nations reserves Rural areas,10,67.9
2019,data.Newfoundland and Labrador,data.First Nations reserves Rural areas,10,67.9
2020,data.Newfoundland and Labrador,data.First Nations reserves Rural areas,10,67.9
2021,data.Newfoundland and Labrador,data.First Nations reserves Rural areas,10,67.7
2022,data.Newfoundland and Labrador,data.First Nations reserves Rural areas,10,56.9
2016,data.Northwest Territories,data.First Nations reserves Rural areas,61,100.0
2017,data.Northwest Territories,data.First Nations reserves Rural areas,61,100.0
2018,data.Northwest Territories,data.First Nations reserves Rural areas,61,100.0
2019,data.Northwest Territories,data.First Nations reserves Rural areas,61,100.0
2020,data.Northwest Territories,data.First Nations reserves Rural areas,61,100.0
2021,data.Northwest Territories,data.First Nations reserves Rural areas,61,100.0
2022,data.Northwest Territories,data.First Nations reserves Rural areas,61,98.1
2016,data.Nova Scotia,data.First Nations reserves Rural areas,12,99.8
2017,data.Nova Scotia,data.First Nations reserves Rural areas,12,99.6
2018,data.Nova Scotia,data.First Nations reserves Rural areas,12,100.0
2019,data.Nova Scotia,data.First Nations reserves Rural areas,12,99.9
2020,data.Nova Scotia,data.First Nations reserves Rural areas,12,99.8
2021,data.Nova Scotia,data.First Nations reserves Rural areas,12,99.5
2022,data.Nova Scotia,data.First Nations reserves Rural areas,12,99.5
2016,data.Ontario,data.First Nations reserves Rural areas,35,59.5
2017,data.Ontario,data.First Nations reserves Rural areas,35,62.1
2018,data.Ontario,data.First Nations reserves Rural areas,35,66.3
2019,data.Ontario,data.First Nations reserves Rural areas,35,66.5
2020,data.Ontario,data.First Nations reserves Rural areas,35,67.5
2021,data.Ontario,data.First Nations reserves Rural areas,35,66.1
2022,data.Ontario,data.First Nations reserves Rural areas,35,71.1
2016,data.Prince Edward Island,data.First Nations reserves Rural areas,11,100.0
2017,data.Prince Edward Island,data.First Nations reserves Rural areas,11,100.0
2018,data.Prince Edward Island,data.First Nations reserves Rural areas,11,100.0
2019,data.Prince Edward Island,data.First Nations reserves Rural areas,11,100.0
2020,data.Prince Edward Island,data.First Nations reserves Rural areas,11,100.0
2021,data.Prince Edward Island,data.First Nations reserves Rural areas,11,100.0
2022,data.Prince Edward Island,data.First Nations reserves Rural areas,11,100.0
2016,data.Quebec,data.First Nations reserves Rural areas,24,64.8
2017,data.Quebec,data.First Nations reserves Rural areas,24,77.9
2018,data.Quebec,data.First Nations reserves Rural areas,24,77.9
2019,data.Quebec,data.First Nations reserves Rural areas,24,79.0
2020,data.Quebec,data.First Nations reserves Rural areas,24,83.6
2021,data.Quebec,data.First Nations reserves Rural areas,24,88.6
2022,data.Quebec,data.First Nations reserves Rural areas,24,78.6
2016,data.Saskatchewan,data.First Nations reserves Rural areas,47,36.9
2017,data.Saskatchewan,data.First Nations reserves Rural areas,47,95.2
2018,data.Saskatchewan,data.First Nations reserves Rural areas,47,96.1
2019,data.Saskatchewan,data.First Nations reserves Rural areas,47,98.1
2020,data.Saskatchewan,data.First Nations reserves Rural areas,47,98.1
2021,data.Saskatchewan,data.First Nations reserves Rural areas,47,97.8
2022,data.Saskatchewan,data.First Nations reserves Rural areas,47,98.5
2016,data.Yukon,data.First Nations reserves Rural areas,60,90.4
2017,data.Yukon,data.First Nations reserves Rural areas,60,90.4
2018,data.Yukon,data.First Nations reserves Rural areas,60,90.4
2019,data.Yukon,data.First Nations reserves Rural areas,60,90.4
2020,data.Yukon,data.First Nations reserves Rural areas,60,90.4
2021,data.Yukon,data.First Nations reserves Rural areas,60,100.0
2016,data.Alberta,data.First Nations reserves,48,91.4
2017,data.Alberta,data.First Nations reserves,48,90.1
2018,data.Alberta,data.First Nations reserves,48,90.0
2019,data.Alberta,data.First Nations reserves,48,92.5
2020,data.Alberta,data.First Nations reserves,48,94.9
2021,data.Alberta,data.First Nations reserves,48,91.5
2022,data.Alberta,data.First Nations reserves,48,97.1
2016,data.British Columbia,data.First Nations reserves,59,84.1
2017,data.British Columbia,data.First Nations reserves,59,85.8
2018,data.British Columbia,data.First Nations reserves,59,85.8
2019,data.British Columbia,data.First Nations reserves,59,88.4
2020,data.British Columbia,data.First Nations reserves,59,87.8
2021,data.British Columbia,data.First Nations reserves,59,88.1
2022,data.British Columbia,data.First Nations reserves,59,89.8
2016,data.Canada,data.First Nations reserves,,62.1
2017,data.Canada,data.First Nations reserves,,72.8
2018,data.Canada,data.First Nations reserves,,75.8
2019,data.Canada,data.First Nations reserves,,80.6
2020,data.Canada,data.First Nations reserves,,85.2
2021,data.Canada,data.First Nations reserves,,85.1
2022,data.Canada,data.First Nations reserves,,88.3
2016,data.Manitoba,data.First Nations reserves,46,18.8
2017,data.Manitoba,data.First Nations reserves,46,19.5
2018,data.Manitoba,data.First Nations reserves,46,32.9
2019,data.Manitoba,data.First Nations reserves,46,53.2
2020,data.Manitoba,data.First Nations reserves,46,76.6
2021,data.Manitoba,data.First Nations reserves,46,78.6
2022,data.Manitoba,data.First Nations reserves,46,88.7
2016,data.New Brunswick,data.First Nations reserves,13,99.7
2017,data.New Brunswick,data.First Nations reserves,13,99.8
2018,data.New Brunswick,data.First Nations reserves,13,99.6
2019,data.New Brunswick,data.First Nations reserves,13,99.9
2020,data.New Brunswick,data.First Nations reserves,13,99.9
2021,data.New Brunswick,data.First Nations reserves,13,99.7
2022,data.New Brunswick,data.First Nations reserves,13,99.8
2016,data.Newfoundland and Labrador,data.First Nations reserves,10,67.9
2017,data.Newfoundland and Labrador,data.First Nations reserves,10,67.9
2018,data.Newfoundland and Labrador,data.First Nations reserves,10,67.9
2019,data.Newfoundland and Labrador,data.First Nations reserves,10,67.9
2020,data.Newfoundland and Labrador,data.First Nations reserves,10,67.9
2021,data.Newfoundland and Labrador,data.First Nations reserves,10,67.7
2022,data.Newfoundland and Labrador,data.First Nations reserves,10,71.8
2016,data.Northwest Territories,data.First Nations reserves,61,100.0
2017,data.Northwest Territories,data.First Nations reserves,61,100.0
2018,data.Northwest Territories,data.First Nations reserves,61,100.0
2019,data.Northwest Territories,data.First Nations reserves,61,100.0
2020,data.Northwest Territories,data.First Nations reserves,61,100.0
2021,data.Northwest Territories,data.First Nations reserves,61,100.0
2022,data.Northwest Territories,data.First Nations reserves,61,98.1
2016,data.Nova Scotia,data.First Nations reserves,12,99.9
2017,data.Nova Scotia,data.First Nations reserves,12,99.8
2018,data.Nova Scotia,data.First Nations reserves,12,100.0
2019,data.Nova Scotia,data.First Nations reserves,12,99.9
2020,data.Nova Scotia,data.First Nations reserves,12,99.9
2021,data.Nova Scotia,data.First Nations reserves,12,99.7
2022,data.Nova Scotia,data.First Nations reserves,12,99.7
2016,data.Ontario,data.First Nations reserves,35,59.8
2017,data.Ontario,data.First Nations reserves,35,62.3
2018,data.Ontario,data.First Nations reserves,35,66.2
2019,data.Ontario,data.First Nations reserves,35,66.3
2020,data.Ontario,data.First Nations reserves,35,67.3
2021,data.Ontario,data.First Nations reserves,35,66.1
2022,data.Ontario,data.First Nations reserves,35,67.0
2016,data.Prince Edward Island,data.First Nations reserves,11,100.0
2017,data.Prince Edward Island,data.First Nations reserves,11,100.0
2018,data.Prince Edward Island,data.First Nations reserves,11,100.0
2019,data.Prince Edward Island,data.First Nations reserves,11,100.0
2020,data.Prince Edward Island,data.First Nations reserves,11,100.0
2021,data.Prince Edward Island,data.First Nations reserves,11,100.0
2022,data.Prince Edward Island,data.First Nations reserves,11,100.0
2016,data.Quebec,data.First Nations reserves,24,68.8
2017,data.Quebec,data.First Nations reserves,24,80.0
2018,data.Quebec,data.First Nations reserves,24,80.0
2019,data.Quebec,data.First Nations reserves,24,80.5
2020,data.Quebec,data.First Nations reserves,24,82.7
2021,data.Quebec,data.First Nations reserves,24,85.2
2022,data.Quebec,data.First Nations reserves,24,84.0
2016,data.Saskatchewan,data.First Nations reserves,47,36.3
2017,data.Saskatchewan,data.First Nations reserves,47,95.8
2018,data.Saskatchewan,data.First Nations reserves,47,96.5
2019,data.Saskatchewan,data.First Nations reserves,47,98.3
2020,data.Saskatchewan,data.First Nations reserves,47,98.3
2021,data.Saskatchewan,data.First Nations reserves,47,98.0
2022,data.Saskatchewan,data.First Nations reserves,47,98.7
2016,data.Yukon,data.First Nations reserves,60,90.4
2017,data.Yukon,data.First Nations reserves,60,90.4
2018,data.Yukon,data.First Nations reserves,60,90.4
2019,data.Yukon,data.First Nations reserves,60,90.4
2020,data.Yukon,data.First Nations reserves,60,90.4
2021,data.Yukon,data.First Nations reserves,60,100.0
2016,data.British Columbia,data.First Nations reserves Urban centres,59,100.0
2017,data.British Columbia,data.First Nations reserves Urban centres,59,100.0
2018,data.British Columbia,data.First Nations reserves Urban centres,59,100.0
2019,data.British Columbia,data.First Nations reserves Urban centres,59,100.0
2020,data.British Columbia,data.First Nations reserves Urban centres,59,100.0
2021,data.British Columbia,data.First Nations reserves Urban centres,59,100.0
2022,data.British Columbia,data.First Nations reserves Urban centres,59,100.0
2016,data.Canada,data.First Nations reserves Urban centres,,79.8
2017,data.Canada,data.First Nations reserves Urban centres,,87.9
2018,data.Canada,data.First Nations reserves Urban centres,,87.9
2019,data.Canada,data.First Nations reserves Urban centres,,90.2
2020,data.Canada,data.First Nations reserves Urban centres,,91.5
2021,data.Canada,data.First Nations reserves Urban centres,,91.5
2022,data.Canada,data.First Nations reserves Urban centres,,93.0
2016,data.Manitoba,data.First Nations reserves Urban centres,46,3.6
2017,data.Manitoba,data.First Nations reserves Urban centres,46,3.6
2018,data.Manitoba,data.First Nations reserves Urban centres,46,3.6
2019,data.Manitoba,data.First Nations reserves Urban centres,46,48.1
2020,data.Manitoba,data.First Nations reserves Urban centres,46,73.4
2021,data.Manitoba,data.First Nations reserves Urban centres,46,73.4
2022,data.Manitoba,data.First Nations reserves Urban centres,46,100.0
2016,data.New Brunswick,data.First Nations reserves Urban centres,13,100.0
2017,data.New Brunswick,data.First Nations reserves Urban centres,13,100.0
2018,data.New Brunswick,data.First Nations reserves Urban centres,13,100.0
2019,data.New Brunswick,data.First Nations reserves Urban centres,13,100.0
2020,data.New Brunswick,data.First Nations reserves Urban centres,13,100.0
2021,data.New Brunswick,data.First Nations reserves Urban centres,13,100.0
2022,data.New Brunswick,data.First Nations reserves Urban centres,13,100.0
2016,data.Nova Scotia,data.First Nations reserves Urban centres,12,100.0
2017,data.Nova Scotia,data.First Nations reserves Urban centres,12,100.0
2018,data.Nova Scotia,data.First Nations reserves Urban centres,12,100.0
2019,data.Nova Scotia,data.First Nations reserves Urban centres,12,100.0
2020,data.Nova Scotia,data.First Nations reserves Urban centres,12,100.0
2021,data.Nova Scotia,data.First Nations reserves Urban centres,12,100.0
2022,data.Nova Scotia,data.First Nations reserves Urban centres,12,100.0
2016,data.Ontario,data.First Nations reserves Urban centres,35,64.5
2017,data.Ontario,data.First Nations reserves Urban centres,35,64.5
2018,data.Ontario,data.First Nations reserves Urban centres,35,64.5
2019,data.Ontario,data.First Nations reserves Urban centres,35,64.5
2020,data.Ontario,data.First Nations reserves Urban centres,35,64.5
2021,data.Ontario,data.First Nations reserves Urban centres,35,64.5
2022,data.Ontario,data.First Nations reserves Urban centres,35,38.7
2016,data.Quebec,data.First Nations reserves Urban centres,24,72.6
2017,data.Quebec,data.First Nations reserves Urban centres,24,81.9
2018,data.Quebec,data.First Nations reserves Urban centres,24,81.9
2019,data.Quebec,data.First Nations reserves Urban centres,24,81.9
2020,data.Quebec,data.First Nations reserves Urban centres,24,81.9
2021,data.Quebec,data.First Nations reserves Urban centres,24,81.9
2022,data.Quebec,data.First Nations reserves Urban centres,24,87.9
2016,data.Saskatchewan,data.First Nations reserves Urban centres,47,31.7
2017,data.Saskatchewan,data.First Nations reserves Urban centres,47,100.0
2018,data.Saskatchewan,data.First Nations reserves Urban centres,47,100.0
2019,data.Saskatchewan,data.First Nations reserves Urban centres,47,100.0
2020,data.Saskatchewan,data.First Nations reserves Urban centres,47,100.0
2021,data.Saskatchewan,data.First Nations reserves Urban centres,47,100.0
2022,data.Saskatchewan,data.First Nations reserves Urban centres,47,100.0
2018,data.Alberta,data.Major roads and highways,48,95.3
2019,data.Alberta,data.Major roads and highways,48,96.0
2020,data.Alberta,data.Major roads and highways,48,95.2
2021,data.Alberta,data.Major roads and highways,48,94.7
2022,data.Alberta,data.Major roads and highways,48,94.5
2018,data.British Columbia,data.Major roads and highways,59,68.9
2019,data.British Columbia,data.Major roads and highways,59,71.8
2020,data.British Columbia,data.Major roads and highways,59,67.8
2021,data.British Columbia,data.Major roads and highways,59,67.1
2022,data.British Columbia,data.Major roads and highways,59,66.4
2018,data.Canada,data.Major roads and highways,,87.2
2019,data.Canada,data.Major roads and highways,,88.8
2020,data.Canada,data.Major roads and highways,,88.5
2021,data.Canada,data.Major roads and highways,,87.2
2022,data.Canada,data.Major roads and highways,,87.7
2018,data.Manitoba,data.Major roads and highways,46,83.3
2019,data.Manitoba,data.Major roads and highways,46,93.2
2020,data.Manitoba,data.Major roads and highways,46,96.3
2021,data.Manitoba,data.Major roads and highways,46,96.2
2022,data.Manitoba,data.Major roads and highways,46,96.5
2018,data.New Brunswick,data.Major roads and highways,13,99.4
2019,data.New Brunswick,data.Major roads and highways,13,99.4
2020,data.New Brunswick,data.Major roads and highways,13,99.4
2021,data.New Brunswick,data.Major roads and highways,13,99.1
2022,data.New Brunswick,data.Major roads and highways,13,99.1
2018,data.Newfoundland and Labrador,data.Major roads and highways,10,64.7
2019,data.Newfoundland and Labrador,data.Major roads and highways,10,66.5
2020,data.Newfoundland and Labrador,data.Major roads and highways,10,66.6
2021,data.Newfoundland and Labrador,data.Major roads and highways,10,55.8
2022,data.Newfoundland and Labrador,data.Major roads and highways,10,57.2
2018,data.Northwest Territories,data.Major roads and highways,61,30.4
2019,data.Northwest Territories,data.Major roads and highways,61,31.7
2020,data.Northwest Territories,data.Major roads and highways,61,30.1
2021,data.Northwest Territories,data.Major roads and highways,61,24.7
2022,data.Northwest Territories,data.Major roads and highways,61,26.8
2018,data.Nova Scotia,data.Major roads and highways,12,98.1
2019,data.Nova Scotia,data.Major roads and highways,12,98.3
2020,data.Nova Scotia,data.Major roads and highways,12,98.4
2021,data.Nova Scotia,data.Major roads and highways,12,96.6
2022,data.Nova Scotia,data.Major roads and highways,12,96.8
2018,data.Ontario,data.Major roads and highways,35,92.7
2019,data.Ontario,data.Major roads and highways,35,93.4
2020,data.Ontario,data.Major roads and highways,35,94.0
2021,data.Ontario,data.Major roads and highways,35,92.6
2022,data.Ontario,data.Major roads and highways,35,94.6
2018,data.Prince Edward Island,data.Major roads and highways,11,100.0
2019,data.Prince Edward Island,data.Major roads and highways,11,100.0
2020,data.Prince Edward Island,data.Major roads and highways,11,100.0
2021,data.Prince Edward Island,data.Major roads and highways,11,100.0
2022,data.Prince Edward Island,data.Major roads and highways,11,100.0
2018,data.Quebec,data.Major roads and highways,24,88.6
2019,data.Quebec,data.Major roads and highways,24,89.3
2020,data.Quebec,data.Major roads and highways,24,89.0
2021,data.Quebec,data.Major roads and highways,24,87.5
2022,data.Quebec,data.Major roads and highways,24,87.8
2018,data.Saskatchewan,data.Major roads and highways,47,98.4
2019,data.Saskatchewan,data.Major roads and highways,47,98.8
2020,data.Saskatchewan,data.Major roads and highways,47,98.8
2021,data.Saskatchewan,data.Major roads and highways,47,98.2
2022,data.Saskatchewan,data.Major roads and highways,47,98.5
2018,data.Yukon,data.Major roads and highways,60,34.7
2019,data.Yukon,data.Major roads and highways,60,34.9
2020,data.Yukon,data.Major roads and highways,60,35.0
2021,data.Yukon,data.Major roads and highways,60,34.8
2022,data.Yukon,data.Major roads and highways,60,34.9
2016,data.Alberta,data.Rural communities,48,98.8
2017,data.Alberta,data.Rural communities,48,98.6
2018,data.Alberta,data.Rural communities,48,98.7
2019,data.Alberta,data.Rural communities,48,98.9
2020,data.Alberta,data.Rural communities,48,99.0
2021,data.Alberta,data.Rural communities,48,98.7
2022,data.Alberta,data.Rural communities,48,99.2
2016,data.British Columbia,data.Rural communities,59,92.7
2017,data.British Columbia,data.Rural communities,59,92.9
2018,data.British Columbia,data.Rural communities,59,93.1
2019,data.British Columbia,data.Rural communities,59,94.4
2020,data.British Columbia,data.Rural communities,59,93.7
2021,data.British Columbia,data.Rural communities,59,94.0
2022,data.British Columbia,data.Rural communities,59,93.1
2015,data.Canada,data.Rural communities,,88.9
2016,data.Canada,data.Rural communities,,93.3
2017,data.Canada,data.Rural communities,,95.9
2018,data.Canada,data.Rural communities,,96.5
2019,data.Canada,data.Rural communities,,97.4
2020,data.Canada,data.Rural communities,,97.7
2021,data.Canada,data.Rural communities,,97.1
2022,data.Canada,data.Rural communities,,97.3
2016,data.Manitoba,data.Rural communities,46,76.1
2017,data.Manitoba,data.Rural communities,46,77.1
2018,data.Manitoba,data.Rural communities,46,83.2
2019,data.Manitoba,data.Rural communities,46,89.1
2020,data.Manitoba,data.Rural communities,46,93.3
2021,data.Manitoba,data.Rural communities,46,94.1
2022,data.Manitoba,data.Rural communities,46,96.0
2016,data.New Brunswick,data.Rural communities,13,97.9
2017,data.New Brunswick,data.Rural communities,13,98.3
2018,data.New Brunswick,data.Rural communities,13,98.5
2019,data.New Brunswick,data.Rural communities,13,99.0
2020,data.New Brunswick,data.Rural communities,13,99.1
2021,data.New Brunswick,data.Rural communities,13,97.8
2022,data.New Brunswick,data.Rural communities,13,98.0
2016,data.Newfoundland and Labrador,data.Rural communities,10,86.9
2017,data.Newfoundland and Labrador,data.Rural communities,10,87.8
2018,data.Newfoundland and Labrador,data.Rural communities,10,88.1
2019,data.Newfoundland and Labrador,data.Rural communities,10,89.9
2020,data.Newfoundland and Labrador,data.Rural communities,10,90.3
2021,data.Newfoundland and Labrador,data.Rural communities,10,83.3
2022,data.Newfoundland and Labrador,data.Rural communities,10,84.0
2016,data.Northwest Territories,data.Rural communities,61,83.9
2017,data.Northwest Territories,data.Rural communities,61,83.8
2018,data.Northwest Territories,data.Rural communities,61,84.4
2019,data.Northwest Territories,data.Rural communities,61,84.4
2020,data.Northwest Territories,data.Rural communities,61,84.4
2021,data.Northwest Territories,data.Rural communities,61,84.2
2022,data.Northwest Territories,data.Rural communities,61,82.4
2016,data.Nova Scotia,data.Rural communities,12,98.8
2017,data.Nova Scotia,data.Rural communities,12,98.9
2018,data.Nova Scotia,data.Rural communities,12,98.8
2019,data.Nova Scotia,data.Rural communities,12,99.1
2020,data.Nova Scotia,data.Rural communities,12,99.2
2021,data.Nova Scotia,data.Rural communities,12,97.8
2022,data.Nova Scotia,data.Rural communities,12,97.8
2016,data.Nunavut,data.Rural communities,62,0.0
2017,data.Nunavut,data.Rural communities,62,0.0
2018,data.Nunavut,data.Rural communities,62,40.2
2019,data.Nunavut,data.Rural communities,62,99.6
2020,data.Nunavut,data.Rural communities,62,99.6
2021,data.Nunavut,data.Rural communities,62,99.6
2022,data.Nunavut,data.Rural communities,62,82.4
2016,data.Ontario,data.Rural communities,35,98.2
2017,data.Ontario,data.Rural communities,35,98.4
2018,data.Ontario,data.Rural communities,35,98.6
2019,data.Ontario,data.Rural communities,35,98.8
2020,data.Ontario,data.Rural communities,35,98.9
2021,data.Ontario,data.Rural communities,35,98.6
2022,data.Ontario,data.Rural communities,35,98.9
2016,data.Prince Edward Island,data.Rural communities,11,100.0
2017,data.Prince Edward Island,data.Rural communities,11,100.0
2018,data.Prince Edward Island,data.Rural communities,11,100.0
2019,data.Prince Edward Island,data.Rural communities,11,100.0
2020,data.Prince Edward Island,data.Rural communities,11,100.0
2021,data.Prince Edward Island,data.Rural communities,11,100.0
2022,data.Prince Edward Island,data.Rural communities,11,100.0
2016,data.Quebec,data.Rural communities,24,95.3
2017,data.Quebec,data.Rural communities,24,97.5
2018,data.Quebec,data.Rural communities,24,97.6
2019,data.Quebec,data.Rural communities,24,98.1
2020,data.Quebec,data.Rural communities,24,98.2
2021,data.Quebec,data.Rural communities,24,97.7
2022,data.Quebec,data.Rural communities,24,97.4
2016,data.Saskatchewan,data.Rural communities,47,64.2
2017,data.Saskatchewan,data.Rural communities,47,98.7
2018,data.Saskatchewan,data.Rural communities,47,98.9
2019,data.Saskatchewan,data.Rural communities,47,99.4
2020,data.Saskatchewan,data.Rural communities,47,99.4
2021,data.Saskatchewan,data.Rural communities,47,99.3
2022,data.Saskatchewan,data.Rural communities,47,99.4
2016,data.Yukon,data.Rural communities,60,84.0
2017,data.Yukon,data.Rural communities,60,85.0
2018,data.Yukon,data.Rural communities,60,88.5
2019,data.Yukon,data.Rural communities,60,86.8
