Year,Géographie,Mesures,Sexe,Groupe d'âge,Value
2009,Canada,Embonpoint,Femmes,5 à 79 ans,27.6
2011,Canada,Embonpoint,Femmes,5 à 79 ans,27.2
2013,Canada,Embonpoint,Femmes,5 à 79 ans,26.5
2015,Canada,Embonpoint,Femmes,5 à 79 ans,29.8
2017,Canada,Embonpoint,Femmes,5 à 79 ans,27.3
2019,Canada,Embonpoint,Femmes,5 à 79 ans,29.1
2009,Canada,Embonpoint,Femmes,5 à 17 ans,17.6
2011,Canada,Embonpoint,Femmes,5 à 17 ans,20.1
2013,Canada,Embonpoint,Femmes,5 à 17 ans,18.5
2015,Canada,Embonpoint,Femmes,5 à 17 ans,16.9
2017,Canada,Embonpoint,Femmes,5 à 17 ans,21.0
2019,Canada,Embonpoint,Femmes,5 à 17 ans,17.0
2009,Canada,Embonpoint,Femmes,5 à 11 ans,20.6
2011,Canada,Embonpoint,Femmes,5 à 11 ans,19.3
2013,Canada,Embonpoint,Femmes,5 à 11 ans,19.4
2015,Canada,Embonpoint,Femmes,5 à 11 ans,15.0
2017,Canada,Embonpoint,Femmes,5 à 11 ans,21.3
2019,Canada,Embonpoint,Femmes,5 à 11 ans,14.9
2009,Canada,Embonpoint,Femmes,12 à 17 ans,14.9
2011,Canada,Embonpoint,Femmes,12 à 17 ans,20.9
2013,Canada,Embonpoint,Femmes,12 à 17 ans,17.6
2015,Canada,Embonpoint,Femmes,12 à 17 ans,18.9
2017,Canada,Embonpoint,Femmes,12 à 17 ans,20.6
2019,Canada,Embonpoint,Femmes,12 à 17 ans,19.3
2009,Canada,Embonpoint,Femmes,18 à 79 ans,29.5
2011,Canada,Embonpoint,Femmes,18 à 79 ans,28.6
2013,Canada,Embonpoint,Femmes,18 à 79 ans,28.0
2015,Canada,Embonpoint,Femmes,18 à 79 ans,32.2
2017,Canada,Embonpoint,Femmes,18 à 79 ans,28.5
2019,Canada,Embonpoint,Femmes,18 à 79 ans,31.4
2009,Canada,Embonpoint,Femmes,18 à 39 ans,22.9
2011,Canada,Embonpoint,Femmes,18 à 39 ans,22.9
2013,Canada,Embonpoint,Femmes,18 à 39 ans,23.8
2015,Canada,Embonpoint,Femmes,18 à 39 ans,27.6
2017,Canada,Embonpoint,Femmes,18 à 39 ans,21.2
2019,Canada,Embonpoint,Femmes,18 à 39 ans,25.5
2009,Canada,Embonpoint,Femmes,40 à 59 ans,31.1
2011,Canada,Embonpoint,Femmes,40 à 59 ans,30.2
2013,Canada,Embonpoint,Femmes,40 à 59 ans,23.0
2015,Canada,Embonpoint,Femmes,40 à 59 ans,35.2
2017,Canada,Embonpoint,Femmes,40 à 59 ans,28.8
2019,Canada,Embonpoint,Femmes,40 à 59 ans,36.3
2009,Canada,Embonpoint,Femmes,60 à 79 ans,38.4
2011,Canada,Embonpoint,Femmes,60 à 79 ans,35.4
2013,Canada,Embonpoint,Femmes,60 à 79 ans,43.0
2015,Canada,Embonpoint,Femmes,60 à 79 ans,34.6
2017,Canada,Embonpoint,Femmes,60 à 79 ans,38.2
2019,Canada,Embonpoint,Femmes,60 à 79 ans,32.7
2009,Canada,Obèse,Les deux sexes,5 à 79 ans,22.4
2011,Canada,Obèse,Les deux sexes,5 à 79 ans,23.8
2013,Canada,Obèse,Les deux sexes,5 à 79 ans,24.2
2015,Canada,Obèse,Les deux sexes,5 à 79 ans,25.7
2017,Canada,Obèse,Les deux sexes,5 à 79 ans,24.4
2019,Canada,Obèse,Les deux sexes,5 à 79 ans,22.1
2009,Canada,Obèse,Les deux sexes,5 à 17 ans,14.3
2011,Canada,Obèse,Les deux sexes,5 à 17 ans,11.7
2013,Canada,Obèse,Les deux sexes,5 à 17 ans,12.6
2015,Canada,Obèse,Les deux sexes,5 à 17 ans,13.0
2017,Canada,Obèse,Les deux sexes,5 à 17 ans,10.6
2019,Canada,Obèse,Les deux sexes,5 à 17 ans,10.1
2009,Canada,Obèse,Les deux sexes,5 à 11 ans,13.1
2011,Canada,Obèse,Les deux sexes,5 à 11 ans,13.2
2013,Canada,Obèse,Les deux sexes,5 à 11 ans,8.9
2015,Canada,Obèse,Les deux sexes,5 à 11 ans,12.4
2017,Canada,Obèse,Les deux sexes,5 à 11 ans,9.6
2019,Canada,Obèse,Les deux sexes,5 à 11 ans,9.1
2009,Canada,Obèse,Les deux sexes,12 à 17 ans,15.3
2011,Canada,Obèse,Les deux sexes,12 à 17 ans,10.2
2013,Canada,Obèse,Les deux sexes,12 à 17 ans,16.5
2015,Canada,Obèse,Les deux sexes,12 à 17 ans,13.8
2017,Canada,Obèse,Les deux sexes,12 à 17 ans,11.8
2019,Canada,Obèse,Les deux sexes,12 à 17 ans,11.2
2009,Canada,Obèse,Les deux sexes,18 à 79 ans,23.9
2011,Canada,Obèse,Les deux sexes,18 à 79 ans,26.2
2013,Canada,Obèse,Les deux sexes,18 à 79 ans,26.4
2015,Canada,Obèse,Les deux sexes,18 à 79 ans,28.1
2017,Canada,Obèse,Les deux sexes,18 à 79 ans,26.9
2019,Canada,Obèse,Les deux sexes,18 à 79 ans,24.3
2009,Canada,Obèse,Les deux sexes,18 à 39 ans,19.1
2011,Canada,Obèse,Les deux sexes,18 à 39 ans,18.7
2013,Canada,Obèse,Les deux sexes,18 à 39 ans,21.5
2015,Canada,Obèse,Les deux sexes,18 à 39 ans,24.2
2017,Canada,Obèse,Les deux sexes,18 à 39 ans,19.8
2019,Canada,Obèse,Les deux sexes,18 à 39 ans,19.8
2009,Canada,Obèse,Les deux sexes,40 à 59 ans,25.4
2011,Canada,Obèse,Les deux sexes,40 à 59 ans,29.6
2013,Canada,Obèse,Les deux sexes,40 à 59 ans,30.1
2015,Canada,Obèse,Les deux sexes,40 à 59 ans,29.0
2017,Canada,Obèse,Les deux sexes,40 à 59 ans,30.5
2019,Canada,Obèse,Les deux sexes,40 à 59 ans,25.5
2009,Canada,Obèse,Les deux sexes,60 à 79 ans,30.5
2011,Canada,Obèse,Les deux sexes,60 à 79 ans,33.7
2013,Canada,Obèse,Les deux sexes,60 à 79 ans,28.6
2015,Canada,Obèse,Les deux sexes,60 à 79 ans,33.2
2017,Canada,Obèse,Les deux sexes,60 à 79 ans,32.6
2019,Canada,Obèse,Les deux sexes,60 à 79 ans,29.3
2009,Canada,Obèse,Hommes,5 à 79 ans,23.0
2011,Canada,Obèse,Hommes,5 à 79 ans,25.2
2013,Canada,Obèse,Hommes,5 à 79 ans,24.6
2015,Canada,Obèse,Hommes,5 à 79 ans,26.2
2017,Canada,Obèse,Hommes,5 à 79 ans,24.6
2019,Canada,Obèse,Hommes,5 à 79 ans,24.5
2009,Canada,Obèse,Hommes,5 à 17 ans,17.0
2011,Canada,Obèse,Hommes,5 à 17 ans,15.1
2013,Canada,Obèse,Hommes,5 à 17 ans,14.6
2015,Canada,Obèse,Hommes,5 à 17 ans,14.6
2017,Canada,Obèse,Hommes,5 à 17 ans,12.0
2019,Canada,Obèse,Hommes,5 à 17 ans,13.1
2009,Canada,Obèse,Hommes,5 à 11 ans,16.9
2011,Canada,Obèse,Hommes,5 à 11 ans,19.6
2013,Canada,Obèse,Hommes,5 à 11 ans,8.4
2015,Canada,Obèse,Hommes,5 à 11 ans,13.9
2017,Canada,Obèse,Hommes,5 à 11 ans,11.5
2019,Canada,Obèse,Hommes,5 à 11 ans,11.1
2009,Canada,Obèse,Hommes,12 à 17 ans,17.0
2011,Canada,Obèse,Hommes,12 à 17 ans,10.7
2013,Canada,Obèse,Hommes,12 à 17 ans,21.0
2015,Canada,Obèse,Hommes,12 à 17 ans,15.3
2017,Canada,Obèse,Hommes,12 à 17 ans,12.6
2019,Canada,Obèse,Hommes,12 à 17 ans,15.4
2009,Canada,Obèse,Hommes,18 à 79 ans,24.2
2011,Canada,Obèse,Hommes,18 à 79 ans,27.3
2013,Canada,Obèse,Hommes,18 à 79 ans,26.5
2015,Canada,Obèse,Hommes,18 à 79 ans,28.5
2017,Canada,Obèse,Hommes,18 à 79 ans,26.9
2019,Canada,Obèse,Hommes,18 à 79 ans,26.7
2009,Canada,Obèse,Hommes,18 à 39 ans,18.4
2011,Canada,Obèse,Hommes,18 à 39 ans,19.2
2013,Canada,Obèse,Hommes,18 à 39 ans,19.6
2015,Canada,Obèse,Hommes,18 à 39 ans,24.7
2017,Canada,Obèse,Hommes,18 à 39 ans,20.8
2019,Canada,Obèse,Hommes,18 à 39 ans,23.5
2009,Canada,Obèse,Hommes,40 à 59 ans,26.9
2011,Canada,Obèse,Hommes,40 à 59 ans,31.1
2013,Canada,Obèse,Hommes,40 à 59 ans,31.4
2015,Canada,Obèse,Hommes,40 à 59 ans,29.4
2017,Canada,Obèse,Hommes,40 à 59 ans,29.5
2019,Canada,Obèse,Hommes,40 à 59 ans,29.2
2009,Canada,Obèse,Hommes,60 à 79 ans,30.6
2011,Canada,Obèse,Hommes,60 à 79 ans,35.6
2013,Canada,Obèse,Hommes,60 à 79 ans,30.5
2015,Canada,Obèse,Hommes,60 à 79 ans,33.4
2017,Canada,Obèse,Hommes,60 à 79 ans,33.0
2019,Canada,Obèse,Hommes,60 à 79 ans,28.1
2009,Canada,Obèse,Femmes,5 à 79 ans,21.7
2011,Canada,Obèse,Femmes,5 à 79 ans,22.5
2013,Canada,Obèse,Femmes,5 à 79 ans,23.8
2015,Canada,Obèse,Femmes,5 à 79 ans,25.3
2017,Canada,Obèse,Femmes,5 à 79 ans,24.2
2019,Canada,Obèse,Femmes,5 à 79 ans,19.6
2009,Canada,Obèse,Femmes,5 à 17 ans,11.3
2011,Canada,Obèse,Femmes,5 à 17 ans,8.0
2013,Canada,Obèse,Femmes,5 à 17 ans,10.5
2015,Canada,Obèse,Femmes,5 à 17 ans,11.4
2017,Canada,Obèse,Femmes,5 à 17 ans,9.1
2019,Canada,Obèse,Femmes,5 à 17 ans,7.0
2009,Canada,Obèse,Femmes,5 à 11 ans,9.1
2011,Canada,Obèse,Femmes,5 à 11 ans,6.3
2013,Canada,Obèse,Femmes,5 à 11 ans,9.4
2015,Canada,Obèse,Femmes,5 à 11 ans,10.6
2017,Canada,Obèse,Femmes,5 à 11 ans,7.6
2019,Canada,Obèse,Femmes,5 à 11 ans,7.0
2009,Canada,Obèse,Femmes,12 à 17 ans,13.3
2011,Canada,Obèse,Femmes,12 à 17 ans,9.6
2013,Canada,Obèse,Femmes,12 à 17 ans,11.7
2015,Canada,Obèse,Femmes,12 à 17 ans,12.1
2017,Canada,Obèse,Femmes,12 à 17 ans,10.9
2019,Canada,Obèse,Femmes,12 à 17 ans,7.0
2009,Canada,Obèse,Femmes,18 à 79 ans,23.6
2011,Canada,Obèse,Femmes,18 à 79 ans,25.2
2013,Canada,Obèse,Femmes,18 à 79 ans,26.3
2015,Canada,Obèse,Femmes,18 à 79 ans,27.8
2017,Canada,Obèse,Femmes,18 à 79 ans,27.0
2019,Canada,Obèse,Femmes,18 à 79 ans,22.0
2009,Canada,Obèse,Femmes,18 à 39 ans,19.7
2011,Canada,Obèse,Femmes,18 à 39 ans,18.2
2013,Canada,Obèse,Femmes,18 à 39 ans,23.4
2015,Canada,Obèse,Femmes,18 à 39 ans,23.7
2017,Canada,Obèse,Femmes,18 à 39 ans,18.7
2019,Canada,Obèse,Femmes,18 à 39 ans,15.8
2009,Canada,Obèse,Femmes,40 à 59 ans,23.9
2011,Canada,Obèse,Femmes,40 à 59 ans,28.0
2013,Canada,Obèse,Femmes,40 à 59 ans,28.8
2015,Canada,Obèse,Femmes,40 à 59 ans,28.6
2017,Canada,Obèse,Femmes,40 à 59 ans,31.4
2019,Canada,Obèse,Femmes,40 à 59 ans,21.8
2009,Canada,Obèse,Femmes,60 à 79 ans,30.3
2011,Canada,Obèse,Femmes,60 à 79 ans,32.0
2013,Canada,Obèse,Femmes,60 à 79 ans,26.8
2015,Canada,Obèse,Femmes,60 à 79 ans,32.9
2017,Canada,Obèse,Femmes,60 à 79 ans,32.3
2019,Canada,Obèse,Femmes,60 à 79 ans,30.4
