Year,Geography,Core public infrastructure assets,Type of municipality by population size,GeoCode,Value
2016,Canada,Solid waste assets,"Urban municipalities, population greater than 30,000",11124,23.23
2016,Canada,Solid waste assets,All rural municipalities,11124,13.67
2016,Canada,Solid waste assets,"Rural municipalities, population less than 5000",11124,16.1
2016,Canada,Solid waste assets,"Rural municipalities, population greater than 5000",11124,6.92
2016,Canada,Roads,All municipalities,11124,40.06
2016,Canada,Roads,All urban municipalities,11124,38.62
2016,Canada,Roads,"Urban municipalities, population less than 5000",11124,36.03
2016,Canada,Roads,"Urban municipalities, population greater than 5000 to 30,000",11124,39.62
2016,Canada,Roads,"Urban municipalities, population greater than 30,000",11124,41.61
2016,Canada,Roads,All rural municipalities,11124,40.86
2016,Canada,Roads,"Rural municipalities, population less than 5000",11124,40.98
2016,Canada,Roads,"Rural municipalities, population greater than 5000",11124,40.48
2016,Canada,Bridges and tunnels,All municipalities,11124,28.45
2016,Canada,Bridges and tunnels,All urban municipalities,11124,32.22
2016,Canada,Bridges and tunnels,"Urban municipalities, population less than 5000",11124,30.28
2016,Canada,Bridges and tunnels,"Urban municipalities, population greater than 5000 to 30,000",11124,26.47
2016,Canada,Bridges and tunnels,"Urban municipalities, population greater than 30,000",11124,41.43
2016,Canada,Bridges and tunnels,All rural municipalities,11124,25.95
2016,Canada,Bridges and tunnels,"Rural municipalities, population less than 5000",11124,26.93
2016,Canada,Bridges and tunnels,"Rural municipalities, population greater than 5000",11124,23.03
2016,Canada,Social and affordable housing,All municipalities,11124,13.7
2016,Canada,Social and affordable housing,All urban municipalities,11124,17.5
2016,Canada,Social and affordable housing,"Urban municipalities, population less than 5000",11124,0.0
2016,Canada,Social and affordable housing,"Urban municipalities, population greater than 5000 to 30,000",11124,20.0
2016,Canada,Social and affordable housing,"Urban municipalities, population greater than 30,000",11124,19.35
2016,Canada,Social and affordable housing,All rural municipalities,11124,9.09
2016,Canada,Social and affordable housing,"Rural municipalities, population less than 5000",11124,13.64
2016,Canada,Social and affordable housing,"Rural municipalities, population greater than 5000",11124,0.0
2016,Canada,"Culture, recreation and sports facilities",All municipalities,11124,22.03
2016,Canada,"Culture, recreation and sports facilities",All urban municipalities,11124,20.63
2016,Canada,"Culture, recreation and sports facilities","Urban municipalities, population less than 5000",11124,16.38
2016,Canada,"Culture, recreation and sports facilities","Urban municipalities, population greater than 5000 to 30,000",11124,19.2
2016,Canada,"Culture, recreation and sports facilities","Urban municipalities, population greater than 30,000",11124,29.73
2016,Canada,"Culture, recreation and sports facilities",All rural municipalities,11124,22.89
2016,Canada,"Culture, recreation and sports facilities","Rural municipalities, population less than 5000",11124,23.68
2016,Canada,"Culture, recreation and sports facilities","Rural municipalities, population greater than 5000",11124,20.25
2016,Newfoundland and Labrador,Public transit assets,All municipalities,10,50.0
2016,Newfoundland and Labrador,Public transit assets,All urban municipalities,10,50.0
2016,Newfoundland and Labrador,Public transit assets,"Urban municipalities, population less than 5000",10,
2016,Newfoundland and Labrador,Public transit assets,"Urban municipalities, population greater than 5000 to 30,000",10,0.0
2016,Newfoundland and Labrador,Public transit assets,"Urban municipalities, population greater than 30,000",10,100.0
2016,Newfoundland and Labrador,Public transit assets,All rural municipalities,10,
2016,Newfoundland and Labrador,Public transit assets,"Rural municipalities, population less than 5000",10,
2016,Newfoundland and Labrador,Public transit assets,"Rural municipalities, population greater than 5000",10,
2016,Newfoundland and Labrador,Potable water assets,All municipalities,10,35.48
2016,Newfoundland and Labrador,Potable water assets,All urban municipalities,10,23.08
2016,Newfoundland and Labrador,Potable water assets,"Urban municipalities, population less than 5000",10,18.75
2016,Newfoundland and Labrador,Potable water assets,"Urban municipalities, population greater than 5000 to 30,000",10,22.22
2016,Newfoundland and Labrador,Potable water assets,"Urban municipalities, population greater than 30,000",10,100.0
2016,Newfoundland and Labrador,Potable water assets,All rural municipalities,10,44.44
2016,Newfoundland and Labrador,Potable water assets,"Rural municipalities, population less than 5000",10,36.67
2016,Newfoundland and Labrador,Potable water assets,"Rural municipalities, population greater than 5000",10,83.33
2016,Newfoundland and Labrador,Stormwater assets,All municipalities,10,71.43
2016,Newfoundland and Labrador,Stormwater assets,All urban municipalities,10,66.67
2016,Newfoundland and Labrador,Stormwater assets,"Urban municipalities, population less than 5000",10,64.29
2016,Newfoundland and Labrador,Stormwater assets,"Urban municipalities, population greater than 5000 to 30,000",10,66.67
2016,Newfoundland and Labrador,Stormwater assets,"Urban municipalities, population greater than 30,000",10,100.0
2016,Newfoundland and Labrador,Stormwater assets,All rural municipalities,10,75.0
2016,Newfoundland and Labrador,Stormwater assets,"Rural municipalities, population less than 5000",10,73.08
2016,Newfoundland and Labrador,Stormwater assets,"Rural municipalities, population greater than 5000",10,83.33
2016,Newfoundland and Labrador,Wastewater assets,All municipalities,10,41.94
2016,Newfoundland and Labrador,Wastewater assets,All urban municipalities,10,33.33
2016,Newfoundland and Labrador,Wastewater assets,"Urban municipalities, population less than 5000",10,35.71
2016,Newfoundland and Labrador,Wastewater assets,"Urban municipalities, population greater than 5000 to 30,000",10,22.22
2016,Newfoundland and Labrador,Wastewater assets,"Urban municipalities, population greater than 30,000",10,100.0
2016,Newfoundland and Labrador,Wastewater assets,All rural municipalities,10,47.37
2016,Newfoundland and Labrador,Wastewater assets,"Rural municipalities, population less than 5000",10,43.75
2016,Newfoundland and Labrador,Wastewater assets,"Rural municipalities, population greater than 5000",10,66.67
2016,Newfoundland and Labrador,Solid waste assets,All municipalities,10,18.92
2016,Newfoundland and Labrador,Solid waste assets,All urban municipalities,10,25.0
2016,Newfoundland and Labrador,Solid waste assets,"Urban municipalities, population less than 5000",10,25.0
2016,Newfoundland and Labrador,Solid waste assets,"Urban municipalities, population greater than 5000 to 30,000",10,14.29
2016,Newfoundland and Labrador,Solid waste assets,"Urban municipalities, population greater than 30,000",10,100.0
2016,Newfoundland and Labrador,Solid waste assets,All rural municipalities,10,
2016,Newfoundland and Labrador,Solid waste assets,"Rural municipalities, population less than 5000",10,
2016,Newfoundland and Labrador,Solid waste assets,"Rural municipalities, population greater than 5000",10,0.0
2016,Newfoundland and Labrador,Roads,All municipalities,10,72.6
2016,Newfoundland and Labrador,Roads,All urban municipalities,10,78.12
2016,Newfoundland and Labrador,Roads,"Urban municipalities, population less than 5000",10,81.82
2016,Newfoundland and Labrador,Roads,"Urban municipalities, population greater than 5000 to 30,000",10,66.67
2016,Newfoundland and Labrador,Roads,"Urban municipalities, population greater than 30,000",10,100.0
2016,Newfoundland and Labrador,Roads,All rural municipalities,10,68.29
2016,Newfoundland and Labrador,Roads,"Rural municipalities, population less than 5000",10,68.57
2016,Newfoundland and Labrador,Roads,"Rural municipalities, population greater than 5000",10,66.67
2016,Newfoundland and Labrador,Bridges and tunnels,All municipalities,10,56.25
2016,Newfoundland and Labrador,Bridges and tunnels,All urban municipalities,10,53.33
2016,Newfoundland and Labrador,Bridges and tunnels,"Urban municipalities, population less than 5000",10,62.5
2016,Newfoundland and Labrador,Bridges and tunnels,"Urban municipalities, population greater than 5000 to 30,000",10,33.33
2016,Newfoundland and Labrador,Bridges and tunnels,"Urban municipalities, population greater than 30,000",10,100.0
2016,Newfoundland and Labrador,Bridges and tunnels,All rural municipalities,10,58.82
2016,Newfoundland and Labrador,Bridges and tunnels,"Rural municipalities, population less than 5000",10,57.14
2016,Newfoundland and Labrador,Bridges and tunnels,"Rural municipalities, population greater than 5000",10,66.67
2016,Newfoundland and Labrador,Social and affordable housing,All municipalities,10,0.0
2016,Newfoundland and Labrador,Social and affordable housing,All urban municipalities,10,0.0
2016,Newfoundland and Labrador,Social and affordable housing,"Urban municipalities, population less than 5000",10,
2016,Newfoundland and Labrador,Social and affordable housing,"Urban municipalities, population greater than 5000 to 30,000",10,
2016,Newfoundland and Labrador,Social and affordable housing,"Urban municipalities, population greater than 30,000",10,0.0
2016,Newfoundland and Labrador,Social and affordable housing,All rural municipalities,10,
2016,Newfoundland and Labrador,Social and affordable housing,"Rural municipalities, population less than 5000",10,
2016,Newfoundland and Labrador,Social and affordable housing,"Rural municipalities, population greater than 5000",10,
2016,Newfoundland and Labrador,"Culture, recreation and sports facilities",All municipalities,10,30.43
2016,Newfoundland and Labrador,"Culture, recreation and sports facilities",All urban municipalities,10,23.33
2016,Newfoundland and Labrador,"Culture, recreation and sports facilities","Urban municipalities, population less than 5000",10,10.0
2016,Newfoundland and Labrador,"Culture, recreation and sports facilities","Urban municipalities, population greater than 5000 to 30,000",10,44.44
2016,Newfoundland and Labrador,"Culture, recreation and sports facilities","Urban municipalities, population greater than 30,000",10,100.0
2016,Newfoundland and Labrador,"Culture, recreation and sports facilities",All rural municipalities,10,35.9
2016,Newfoundland and Labrador,"Culture, recreation and sports facilities","Rural municipalities, population less than 5000",10,33.33
2016,Newfoundland and Labrador,"Culture, recreation and sports facilities","Rural municipalities, population greater than 5000",10,50.0
2016,Prince Edward Island,Public transit assets,All municipalities,11,0.0
2016,Prince Edward Island,Public transit assets,All urban municipalities,11,0.0
2016,Prince Edward Island,Public transit assets,"Urban municipalities, population less than 5000",11,
2016,Prince Edward Island,Public transit assets,"Urban municipalities, population greater than 5000 to 30,000",11,0.0
2016,Prince Edward Island,Public transit assets,"Urban municipalities, population greater than 30,000",11,0.0
2016,Prince Edward Island,Public transit assets,All rural municipalities,11,
2016,Prince Edward Island,Public transit assets,"Rural municipalities, population less than 5000",11,
2016,Prince Edward Island,Public transit assets,"Rural municipalities, population greater than 5000",11,
2016,Prince Edward Island,Potable water assets,All municipalities,11,28.57
2016,Prince Edward Island,Potable water assets,All urban municipalities,11,50.0
2016,Prince Edward Island,Potable water assets,"Urban municipalities, population less than 5000",11,
2016,Prince Edward Island,Potable water assets,"Urban municipalities, population greater than 5000 to 30,000",11,33.33
2016,Prince Edward Island,Potable water assets,"Urban municipalities, population greater than 30,000",11,100.0
2016,Prince Edward Island,Potable water assets,All rural municipalities,11,0.0
2016,Prince Edward Island,Potable water assets,"Rural municipalities, population less than 5000",11,0.0
2016,Prince Edward Island,Potable water assets,"Rural municipalities, population greater than 5000",11,
2016,Prince Edward Island,Stormwater assets,All municipalities,11,75.0
2016,Prince Edward Island,Stormwater assets,All urban municipalities,11,100.0
2016,Prince Edward Island,Stormwater assets,"Urban municipalities, population less than 5000",11,
2016,Prince Edward Island,Stormwater assets,"Urban municipalities, population greater than 5000 to 30,000",11,100.0
2016,Prince Edward Island,Stormwater assets,"Urban municipalities, population greater than 30,000",11,100.0
2016,Prince Edward Island,Stormwater assets,All rural municipalities,11,50.0
2016,Prince Edward Island,Stormwater assets,"Rural municipalities, population less than 5000",11,50.0
2016,Prince Edward Island,Stormwater assets,"Rural municipalities, population greater than 5000",11,
2016,Prince Edward Island,Wastewater assets,All municipalities,11,44.44
2016,Prince Edward Island,Wastewater assets,All urban municipalities,11,40.0
2016,Prince Edward Island,Wastewater assets,"Urban municipalities, population less than 5000",11,100.0
2016,Prince Edward Island,Wastewater assets,"Urban municipalities, population greater than 5000 to 30,000",11,33.33
2016,Prince Edward Island,Wastewater assets,"Urban municipalities, population greater than 30,000",11,0.0
2016,Prince Edward Island,Wastewater assets,All rural municipalities,11,50.0
2016,Prince Edward Island,Wastewater assets,"Rural municipalities, population less than 5000",11,50.0
2016,Prince Edward Island,Wastewater assets,"Rural municipalities, population greater than 5000",11,
2016,Prince Edward Island,Solid waste assets,All municipalities,11,0.0
2016,Prince Edward Island,Solid waste assets,All urban municipalities,11,0.0
2016,Prince Edward Island,Solid waste assets,"Urban municipalities, population less than 5000",11,
2016,Prince Edward Island,Solid waste assets,"Urban municipalities, population greater than 5000 to 30,000",11,
2016,Prince Edward Island,Solid waste assets,"Urban municipalities, population greater than 30,000",11,0.0
2016,Prince Edward Island,Solid waste assets,All rural municipalities,11,
2016,Prince Edward Island,Solid waste assets,"Rural municipalities, population less than 5000",11,
2016,Prince Edward Island,Solid waste assets,"Rural municipalities, population greater than 5000",11,
2016,Prince Edward Island,Roads,All municipalities,11,40.0
2016,Prince Edward Island,Roads,All urban municipalities,11,50.0
2016,Prince Edward Island,Roads,"Urban municipalities, population less than 5000",11,
2016,Prince Edward Island,Roads,"Urban municipalities, population greater than 5000 to 30,000",11,100.0
2016,Prince Edward Island,Roads,"Urban municipalities, population greater than 30,000",11,0.0
2016,Prince Edward Island,Roads,All rural municipalities,11,33.33
2016,Prince Edward Island,Roads,"Rural municipalities, population less than 5000",11,33.33
2016,Prince Edward Island,Roads,"Rural municipalities, population greater than 5000",11,
2016,Prince Edward Island,Bridges and tunnels,All municipalities,11,0.0
2016,Prince Edward Island,Bridges and tunnels,All urban municipalities,11,0.0
2016,Prince Edward Island,Bridges and tunnels,"Urban municipalities, population less than 5000",11,
2016,Prince Edward Island,Bridges and tunnels,"Urban municipalities, population greater than 5000 to 30,000",11,0.0
2016,Prince Edward Island,Bridges and tunnels,"Urban municipalities, population greater than 30,000",11,0.0
2016,Prince Edward Island,Bridges and tunnels,All rural municipalities,11,
2016,Prince Edward Island,Bridges and tunnels,"Rural municipalities, population less than 5000",11,
2016,Prince Edward Island,Bridges and tunnels,"Rural municipalities, population greater than 5000",11,
2016,Prince Edward Island,Social and affordable housing,All municipalities,11,
2016,Prince Edward Island,Social and affordable housing,All urban municipalities,11,
2016,Prince Edward Island,Social and affordable housing,"Urban municipalities, population less than 5000",11,
2016,Prince Edward Island,Social and affordable housing,"Urban municipalities, population greater than 5000 to 30,000",11,
2016,Prince Edward Island,Social and affordable housing,"Urban municipalities, population greater than 30,000",11,
2016,Prince Edward Island,Social and affordable housing,All rural municipalities,11,
2016,Prince Edward Island,Social and affordable housing,"Rural municipalities, population less than 5000",11,
2016,Prince Edward Island,Social and affordable housing,"Rural municipalities, population greater than 5000",11,
2016,Prince Edward Island,"Culture, recreation and sports facilities",All municipalities,11,33.33
2016,Prince Edward Island,"Culture, recreation and sports facilities",All urban municipalities,11,37.5
2016,Prince Edward Island,"Culture, recreation and sports facilities","Urban municipalities, population less than 5000",11,25.0
2016,Prince Edward Island,"Culture, recreation and sports facilities","Urban municipalities, population greater than 5000 to 30,000",11,33.33
2016,Prince Edward Island,"Culture, recreation and sports facilities","Urban municipalities, population greater than 30,000",11,100.0
2016,Prince Edward Island,"Culture, recreation and sports facilities",All rural municipalities,11,25.0
2016,Prince Edward Island,"Culture, recreation and sports facilities","Rural municipalities, population less than 5000",11,25.0
2016,Prince Edward Island,"Culture, recreation and sports facilities","Rural municipalities, population greater than 5000",11,
2016,Nova Scotia,Public transit assets,All municipalities,12,0.0
2016,Nova Scotia,Public transit assets,All urban municipalities,12,0.0
2016,Nova Scotia,Public transit assets,"Urban municipalities, population less than 5000",12,
2016,Nova Scotia,Public transit assets,"Urban municipalities, population greater than 5000 to 30,000",12,
2016,Nova Scotia,Public transit assets,"Urban municipalities, population greater than 30,000",12,0.0
2016,Nova Scotia,Public transit assets,All rural municipalities,12,0.0
2016,Nova Scotia,Public transit assets,"Rural municipalities, population less than 5000",12,0.0
2016,Nova Scotia,Public transit assets,"Rural municipalities, population greater than 5000",12,0.0
2016,Nova Scotia,Potable water assets,All municipalities,12,56.67
2016,Nova Scotia,Potable water assets,All urban municipalities,12,55.56
2016,Nova Scotia,Potable water assets,"Urban municipalities, population less than 5000",12,33.33
2016,Nova Scotia,Potable water assets,"Urban municipalities, population greater than 5000 to 30,000",12,50.0
2016,Nova Scotia,Potable water assets,"Urban municipalities, population greater than 30,000",12,100.0
2016,Nova Scotia,Potable water assets,All rural municipalities,12,57.14
2016,Nova Scotia,Potable water assets,"Rural municipalities, population less than 5000",12,60.0
2016,Nova Scotia,Potable water assets,"Rural municipalities, population greater than 5000",12,50.0
2016,Nova Scotia,Stormwater assets,All municipalities,12,80.0
2016,Nova Scotia,Stormwater assets,All urban municipalities,12,90.0
2016,Nova Scotia,Stormwater assets,"Urban municipalities, population less than 5000",12,100.0
2016,Nova Scotia,Stormwater assets,"Urban municipalities, population greater than 5000 to 30,000",12,80.0
2016,Nova Scotia,Stormwater assets,"Urban municipalities, population greater than 30,000",12,100.0
2016,Nova Scotia,Stormwater assets,All rural municipalities,12,75.0
2016,Nova Scotia,Stormwater assets,"Rural municipalities, population less than 5000",12,69.23
2016,Nova Scotia,Stormwater assets,"Rural municipalities, population greater than 5000",12,85.71
2016,Nova Scotia,Wastewater assets,All municipalities,12,68.42
2016,Nova Scotia,Wastewater assets,All urban municipalities,12,70.0
2016,Nova Scotia,Wastewater assets,"Urban municipalities, population less than 5000",12,33.33
2016,Nova Scotia,Wastewater assets,"Urban municipalities, population greater than 5000 to 30,000",12,80.0
2016,Nova Scotia,Wastewater assets,"Urban municipalities, population greater than 30,000",12,100.0
2016,Nova Scotia,Wastewater assets,All rural municipalities,12,67.86
2016,Nova Scotia,Wastewater assets,"Rural municipalities, population less than 5000",12,64.71
2016,Nova Scotia,Wastewater assets,"Rural municipalities, population greater than 5000",12,72.73
2016,Nova Scotia,Solid waste assets,All municipalities,12,11.11
2016,Nova Scotia,Solid waste assets,All urban municipalities,12,0.0
2016,Nova Scotia,Solid waste assets,"Urban municipalities, population less than 5000",12,
2016,Nova Scotia,Solid waste assets,"Urban municipalities, population greater than 5000 to 30,000",12,0.0
2016,Nova Scotia,Solid waste assets,"Urban municipalities, population greater than 30,000",12,0.0
2016,Nova Scotia,Solid waste assets,All rural municipalities,12,14.29
2016,Nova Scotia,Solid waste assets,"Rural municipalities, population less than 5000",12,0.0
2016,Nova Scotia,Solid waste assets,"Rural municipalities, population greater than 5000",12,25.0
2016,Nova Scotia,Roads,All municipalities,12,47.22
2016,Nova Scotia,Roads,All urban municipalities,12,30.0
2016,Nova Scotia,Roads,"Urban municipalities, population less than 5000",12,33.33
2016,Nova Scotia,Roads,"Urban municipalities, population greater than 5000 to 30,000",12,20.0
2016,Nova Scotia,Roads,"Urban municipalities, population greater than 30,000",12,50.0
2016,Nova Scotia,Roads,All rural municipalities,12,53.85
2016,Nova Scotia,Roads,"Rural municipalities, population less than 5000",12,62.5
2016,Nova Scotia,Roads,"Rural municipalities, population greater than 5000",12,40.0
2016,Nova Scotia,Bridges and tunnels,All municipalities,12,13.33
2016,Nova Scotia,Bridges and tunnels,All urban municipalities,12,0.0
2016,Nova Scotia,Bridges and tunnels,"Urban municipalities, population less than 5000",12,
2016,Nova Scotia,Bridges and tunnels,"Urban municipalities, population greater than 5000 to 30,000",12,0.0
2016,Nova Scotia,Bridges and tunnels,"Urban municipalities, population greater than 30,000",12,0.0
2016,Nova Scotia,Bridges and tunnels,All rural municipalities,12,18.18
2016,Nova Scotia,Bridges and tunnels,"Rural municipalities, population less than 5000",12,20.0
2016,Nova Scotia,Bridges and tunnels,"Rural municipalities, population greater than 5000",12,16.67
2016,Nova Scotia,Social and affordable housing,All municipalities,12,
2016,Nova Scotia,Social and affordable housing,All urban municipalities,12,
2016,Nova Scotia,Social and affordable housing,"Urban municipalities, population less than 5000",12,
2016,Nova Scotia,Social and affordable housing,"Urban municipalities, population greater than 5000 to 30,000",12,
2016,Nova Scotia,Social and affordable housing,"Urban municipalities, population greater than 30,000",12,
2016,Nova Scotia,Social and affordable housing,All rural municipalities,12,
2016,Nova Scotia,Social and affordable housing,"Rural municipalities, population less than 5000",12,
2016,Nova Scotia,Social and affordable housing,"Rural municipalities, population greater than 5000",12,
2016,Nova Scotia,"Culture, recreation and sports facilities",All municipalities,12,25.0
2016,Nova Scotia,"Culture, recreation and sports facilities",All urban municipalities,12,30.0
2016,Nova Scotia,"Culture, recreation and sports facilities","Urban municipalities, population less than 5000",12,0.0
2016,Nova Scotia,"Culture, recreation and sports facilities","Urban municipalities, population greater than 5000 to 30,000",12,40.0
2016,Nova Scotia,"Culture, recreation and sports facilities","Urban municipalities, population greater than 30,000",12,50.0
2016,Nova Scotia,"Culture, recreation and sports facilities",All rural municipalities,12,23.08
2016,Nova Scotia,"Culture, recreation and sports facilities","Rural municipalities, population less than 5000",12,26.67
2016,Nova Scotia,"Culture, recreation and sports facilities","Rural municipalities, population greater than 5000",12,18.18
2016,New Brunswick,Public transit assets,All municipalities,13,9.09
2016,New Brunswick,Public transit assets,All urban municipalities,13,12.5
2016,New Brunswick,Public transit assets,"Urban municipalities, population less than 5000",13,0.0
2016,New Brunswick,Public transit assets,"Urban municipalities, population greater than 5000 to 30,000",13,25.0
2016,New Brunswick,Public transit assets,"Urban municipalities, population greater than 30,000",13,0.0
2016,New Brunswick,Public transit assets,All rural municipalities,13,0.0
2016,New Brunswick,Public transit assets,"Rural municipalities, population less than 5000",13,0.0
2016,New Brunswick,Public transit assets,"Rural municipalities, population greater than 5000",13,
2016,New Brunswick,Potable water assets,All municipalities,13,43.14
2016,New Brunswick,Potable water assets,All urban municipalities,13,39.13
2016,New Brunswick,Potable water assets,"Urban municipalities, population less than 5000",13,41.67
2016,New Brunswick,Potable water assets,"Urban municipalities, population greater than 5000 to 30,000",13,50.0
2016,New Brunswick,Potable water assets,"Urban municipalities, population greater than 30,000",13,0.0
2016,New Brunswick,Potable water assets,All rural municipalities,13,46.43
2016,New Brunswick,Potable water assets,"Rural municipalities, population less than 5000",13,45.83
2016,New Brunswick,Potable water assets,"Rural municipalities, population greater than 5000",13,20.0
2016,New Brunswick,Stormwater assets,All municipalities,13,59.02
2016,New Brunswick,Stormwater assets,All urban municipalities,13,55.56
2016,New Brunswick,Stormwater assets,"Urban municipalities, population less than 5000",13,50.0
2016,New Brunswick,Stormwater assets,"Urban municipalities, population greater than 5000 to 30,000",13,75.0
2016,New Brunswick,Stormwater assets,"Urban municipalities, population greater than 30,000",13,66.67
2016,New Brunswick,Stormwater assets,All rural municipalities,13,61.76
2016,New Brunswick,Stormwater assets,"Rural municipalities, population less than 5000",13,65.52
2016,New Brunswick,Stormwater assets,"Rural municipalities, population greater than 5000",13,60.0
2016,New Brunswick,Wastewater assets,All municipalities,13,43.55
2016,New Brunswick,Wastewater assets,All urban municipalities,13,46.43
2016,New Brunswick,Wastewater assets,"Urban municipalities, population less than 5000",13,41.18
2016,New Brunswick,Wastewater assets,"Urban municipalities, population greater than 5000 to 30,000",13,75.0
2016,New Brunswick,Wastewater assets,"Urban municipalities, population greater than 30,000",13,0.0
2016,New Brunswick,Wastewater assets,All rural municipalities,13,44.12
2016,New Brunswick,Wastewater assets,"Rural municipalities, population less than 5000",13,50.0
2016,New Brunswick,Wastewater assets,"Rural municipalities, population greater than 5000",13,0.0
2016,New Brunswick,Solid waste assets,All municipalities,13,5.0
2016,New Brunswick,Solid waste assets,All urban municipalities,13,0.0
2016,New Brunswick,Solid waste assets,"Urban municipalities, population less than 5000",13,0.0
2016,New Brunswick,Solid waste assets,"Urban municipalities, population greater than 5000 to 30,000",13,0.0
2016,New Brunswick,Solid waste assets,"Urban municipalities, population greater than 30,000",13,0.0
2016,New Brunswick,Solid waste assets,All rural municipalities,13,7.69
2016,New Brunswick,Solid waste assets,"Rural municipalities, population less than 5000",13,10.0
2016,New Brunswick,Solid waste assets,"Rural municipalities, population greater than 5000",13,0.0
2016,New Brunswick,Roads,All municipalities,13,43.08
2016,New Brunswick,Roads,All urban municipalities,13,46.43
2016,New Brunswick,Roads,"Urban municipalities, population less than 5000",13,41.18
2016,New Brunswick,Roads,"Urban municipalities, population greater than 5000 to 30,000",13,75.0
2016,New Brunswick,Roads,"Urban municipalities, population greater than 30,000",13,0.0
2016,New Brunswick,Roads,All rural municipalities,13,40.54
2016,New Brunswick,Roads,"Rural municipalities, population less than 5000",13,43.75
2016,New Brunswick,Roads,"Rural municipalities, population greater than 5000",13,20.0
2016,New Brunswick,Bridges and tunnels,All municipalities,13,14.29
2016,New Brunswick,Bridges and tunnels,All urban municipalities,13,20.0
2016,New Brunswick,Bridges and tunnels,"Urban municipalities, population less than 5000",13,33.33
2016,New Brunswick,Bridges and tunnels,"Urban municipalities, population greater than 5000 to 30,000",13,0.0
2016,New Brunswick,Bridges and tunnels,"Urban municipalities, population greater than 30,000",13,
2016,New Brunswick,Bridges and tunnels,All rural municipalities,13,0.0
2016,New Brunswick,Bridges and tunnels,"Rural municipalities, population less than 5000",13,0.0
2016,New Brunswick,Bridges and tunnels,"Rural municipalities, population greater than 5000",13,
2016,New Brunswick,Social and affordable housing,All municipalities,13,0.0
2016,New Brunswick,Social and affordable housing,All urban municipalities,13,0.0
2016,New Brunswick,Social and affordable housing,"Urban municipalities, population less than 5000",13,0.0
2016,New Brunswick,Social and affordable housing,"Urban municipalities, population greater than 5000 to 30,000",13,
2016,New Brunswick,Social and affordable housing,"Urban municipalities, population greater than 30,000",13,
2016,New Brunswick,Social and affordable housing,All rural municipalities,13,
2016,New Brunswick,Social and affordable housing,"Rural municipalities, population less than 5000",13,
2016,New Brunswick,Social and affordable housing,"Rural municipalities, population greater than 5000",13,
2016,New Brunswick,"Culture, recreation and sports facilities",All municipalities,13,20.0
2016,New Brunswick,"Culture, recreation and sports facilities",All urban municipalities,13,21.43
2016,New Brunswick,"Culture, recreation and sports facilities","Urban municipalities, population less than 5000",13,23.53
2016,New Brunswick,"Culture, recreation and sports facilities","Urban municipalities, population greater than 5000 to 30,000",13,25.0
