Year,Units,Geography,Fuel type,Demand characteristics,Value
2015,Terajoules,Canada,Natural gas,Total transportation,167166.0
2016,Terajoules,Canada,Natural gas,Total transportation,170861.0
2017,Terajoules,Canada,Natural gas,Total transportation,151132.0
2018,Terajoules,Canada,Natural gas,Total transportation,167409.0
2019,Terajoules,Canada,Natural gas,Total transportation,169080.0
2015,Terajoules,Canada,Natural gas,Agriculture,39125.0
2016,Terajoules,Canada,Natural gas,Agriculture,41293.0
2017,Terajoules,Canada,Natural gas,Agriculture,39621.0
2018,Terajoules,Canada,Natural gas,Agriculture,43077.0
2019,Terajoules,Canada,Natural gas,Agriculture,43438.0
2015,Terajoules,Canada,Natural gas,Residential,676325.0
2016,Terajoules,Canada,Natural gas,Residential,649265.0
2017,Terajoules,Canada,Natural gas,Residential,696843.0
2018,Terajoules,Canada,Natural gas,Residential,734933.0
2019,Terajoules,Canada,Natural gas,Residential,731054.0
2015,Terajoules,Canada,Natural gas,Public administration,23260.0
2016,Terajoules,Canada,Natural gas,Public administration,24475.0
2017,Terajoules,Canada,Natural gas,Public administration,28425.0
2018,Terajoules,Canada,Natural gas,Public administration,29102.0
2019,Terajoules,Canada,Natural gas,Public administration,31167.0
2015,Terajoules,Canada,Natural gas,Commercial and other institutional,483693.0
2016,Terajoules,Canada,Natural gas,Commercial and other institutional,485716.0
2017,Terajoules,Canada,Natural gas,Commercial and other institutional,534707.0
2018,Terajoules,Canada,Natural gas,Commercial and other institutional,557225.0
2019,Terajoules,Canada,Natural gas,Commercial and other institutional,568649.0
2015,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Energy use - final demand,126133.0
2016,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Energy use - final demand,130540.0
2017,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Energy use - final demand,139562.0
2018,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Energy use - final demand,147619.0
2019,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Energy use - final demand,148907.0
2015,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Total industrial,57444.0
2016,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Total industrial,52922.0
2017,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Total industrial,60254.0
2018,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Total industrial,71476.0
2019,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Total industrial,71829.0
2015,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Total transportation,10716.0
2016,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Total transportation,12076.0
2017,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Total transportation,11960.0
2018,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Total transportation,11699.0
2019,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Total transportation,11605.0
2015,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Agriculture,9065.0
2016,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Agriculture,10301.0
2017,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Agriculture,
2018,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Agriculture,9810.0
2019,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Agriculture,10456.0
2015,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Residential,
2016,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Residential,
2017,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Residential,
2018,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Residential,15019.0
2019,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Residential,16258.0
2015,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Public administration,
2016,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Public administration,
2015,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Commercial and other institutional,
2016,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Commercial and other institutional,38208.0
2017,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Commercial and other institutional,36005.0
2018,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Commercial and other institutional,34212.0
2019,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Commercial and other institutional,38306.0
2015,Terajoules,Canada,Hydroelectricity,Energy use - final demand,1496685.577
2016,Terajoules,Canada,Hydroelectricity,Energy use - final demand,1510145.029
2017,Terajoules,Canada,Hydroelectricity,Energy use - final demand,1551668.578
2018,Terajoules,Canada,Hydroelectricity,Energy use - final demand,1575462.146
2019,Terajoules,Canada,Hydroelectricity,Energy use - final demand,1580194.533
2015,Terajoules,Canada,Hydroelectricity,Total industrial,567375.2568
2016,Terajoules,Canada,Hydroelectricity,Total industrial,590262.9629
2017,Terajoules,Canada,Hydroelectricity,Total industrial,592545.69
2018,Terajoules,Canada,Hydroelectricity,Total industrial,595744.651
2019,Terajoules,Canada,Hydroelectricity,Total industrial,602506.7001
2015,Terajoules,Canada,Hydroelectricity,Total transportation,18678.91905
2016,Terajoules,Canada,Hydroelectricity,Total transportation,20997.12379
2017,Terajoules,Canada,Hydroelectricity,Total transportation,22750.07515
2018,Terajoules,Canada,Hydroelectricity,Total transportation,22952.34342
2019,Terajoules,Canada,Hydroelectricity,Total transportation,22047.66442
2015,Terajoules,Canada,Hydroelectricity,Agriculture,29073.99792
2016,Terajoules,Canada,Hydroelectricity,Agriculture,27565.47122
2017,Terajoules,Canada,Hydroelectricity,Agriculture,28303.00901
2018,Terajoules,Canada,Hydroelectricity,Agriculture,29618.61371
2019,Terajoules,Canada,Hydroelectricity,Agriculture,30282.64173
2015,Terajoules,Canada,Hydroelectricity,Residential,489246.664
2016,Terajoules,Canada,Hydroelectricity,Residential,478268.4416
2017,Terajoules,Canada,Hydroelectricity,Residential,485559.9142
2018,Terajoules,Canada,Hydroelectricity,Residential,497318.6597
2019,Terajoules,Canada,Hydroelectricity,Residential,494629.7733
2015,Terajoules,Canada,Hydroelectricity,Public administration,38295.81192
2016,Terajoules,Canada,Hydroelectricity,Public administration,38727.26431
2017,Terajoules,Canada,Hydroelectricity,Public administration,38071.86588
2018,Terajoules,Canada,Hydroelectricity,Public administration,39891.10879
2019,Terajoules,Canada,Hydroelectricity,Public administration,39317.5108
2015,Terajoules,Canada,Hydroelectricity,Commercial and other institutional,354015.7247
2016,Terajoules,Canada,Hydroelectricity,Commercial and other institutional,354322.9659
2017,Terajoules,Canada,Hydroelectricity,Commercial and other institutional,384438.0237
2018,Terajoules,Canada,Hydroelectricity,Commercial and other institutional,389936.7697
2019,Terajoules,Canada,Hydroelectricity,Commercial and other institutional,391410.2422
2015,Terajoules,Canada,Nuclear,Energy use - final demand,379808.4232
2016,Terajoules,Canada,Nuclear,Energy use - final demand,378585.9707
2017,Terajoules,Canada,Nuclear,Energy use - final demand,379487.422
2018,Terajoules,Canada,Nuclear,Energy use - final demand,391776.8537
2019,Terajoules,Canada,Nuclear,Energy use - final demand,401242.4675
2015,Terajoules,Canada,Nuclear,Total industrial,143980.7432
2016,Terajoules,Canada,Nuclear,Total industrial,147976.0371
2017,Terajoules,Canada,Nuclear,Total industrial,144917.31
2018,Terajoules,Canada,Nuclear,Total industrial,148146.349
2019,Terajoules,Canada,Nuclear,Total industrial,152988.2999
2015,Terajoules,Canada,Nuclear,Total transportation,4740.08095
2016,Terajoules,Canada,Nuclear,Total transportation,5263.876209
2017,Terajoules,Canada,Nuclear,Total transportation,5563.924854
2018,Terajoules,Canada,Nuclear,Total transportation,5707.656582
2019,Terajoules,Canada,Nuclear,Total transportation,5598.335579
2015,Terajoules,Canada,Nuclear,Agriculture,7378.002084
2016,Terajoules,Canada,Nuclear,Agriculture,6910.528776
2017,Terajoules,Canada,Nuclear,Agriculture,6921.990993
2018,Terajoules,Canada,Nuclear,Agriculture,7365.386289
2019,Terajoules,Canada,Nuclear,Agriculture,7689.358266
2015,Terajoules,Canada,Nuclear,Residential,124154.336
2016,Terajoules,Canada,Nuclear,Residential,119899.5584
2017,Terajoules,Canada,Nuclear,Residential,118752.0858
2018,Terajoules,Canada,Nuclear,Residential,123670.3403
2019,Terajoules,Canada,Nuclear,Residential,125596.2267
2015,Terajoules,Canada,Nuclear,Public administration,9718.188084
2016,Terajoules,Canada,Nuclear,Public administration,9708.735695
2017,Terajoules,Canada,Nuclear,Public administration,9311.134116
2018,Terajoules,Canada,Nuclear,Public administration,9919.891208
2019,Terajoules,Canada,Nuclear,Public administration,9983.489199
2015,Terajoules,Canada,Nuclear,Commercial and other institutional,89837.27529
2016,Terajoules,Canada,Nuclear,Commercial and other institutional,88827.03409
2017,Terajoules,Canada,Nuclear,Commercial and other institutional,94020.97626
2018,Terajoules,Canada,Nuclear,Commercial and other institutional,96967.2303
2019,Terajoules,Canada,Nuclear,Commercial and other institutional,99386.75784
2015,Terajoules,Canada,Steam,Energy use - final demand,26828.0
2016,Terajoules,Canada,Steam,Energy use - final demand,25351.0
2017,Terajoules,Canada,Steam,Energy use - final demand,27505.0
2018,Terajoules,Canada,Steam,Energy use - final demand,27679.0
2019,Terajoules,Canada,Steam,Energy use - final demand,24576.0
2015,Terajoules,Canada,Steam,Total industrial,24566.0
2016,Terajoules,Canada,Steam,Total industrial,23395.0
2017,Terajoules,Canada,Steam,Total industrial,26060.0
2018,Terajoules,Canada,Steam,Total industrial,26375.0
2019,Terajoules,Canada,Steam,Total industrial,24284.0
2015,Terajoules,Canada,Steam,Agriculture,3.0
2016,Terajoules,Canada,Steam,Agriculture,
2017,Terajoules,Canada,Steam,Agriculture,1.0
2018,Terajoules,Canada,Steam,Agriculture,0.0
2019,Terajoules,Canada,Steam,Agriculture,0.0
2015,Terajoules,Canada,Steam,Residential,0.0
2016,Terajoules,Canada,Steam,Residential,0.0
2017,Terajoules,Canada,Steam,Residential,0.0
2018,Terajoules,Canada,Steam,Residential,0.0
2019,Terajoules,Canada,Steam,Residential,0.0
2015,Terajoules,Canada,Steam,Public administration,0.0
2016,Terajoules,Canada,Steam,Public administration,0.0
2017,Terajoules,Canada,Steam,Public administration,0.0
2018,Terajoules,Canada,Steam,Public administration,0.0
2019,Terajoules,Canada,Steam,Public administration,0.0
2015,Terajoules,Canada,Steam,Commercial and other institutional,2260.0
2016,Terajoules,Canada,Steam,Commercial and other institutional,1954.0
2017,Terajoules,Canada,Steam,Commercial and other institutional,1444.0
2018,Terajoules,Canada,Steam,Commercial and other institutional,1304.0
2019,Terajoules,Canada,Steam,Commercial and other institutional,292.0
2015,Terajoules,Canada,Coke,Energy use - final demand,73871.0
2016,Terajoules,Canada,Coke,Energy use - final demand,81829.0
2017,Terajoules,Canada,Coke,Energy use - final demand,83205.0
2018,Terajoules,Canada,Coke,Energy use - final demand,90661.0
2019,Terajoules,Canada,Coke,Energy use - final demand,84156.0
2015,Terajoules,Canada,Coke,Total industrial,73871.0
2016,Terajoules,Canada,Coke,Total industrial,81829.0
2017,Terajoules,Canada,Coke,Total industrial,
2018,Terajoules,Canada,Coke,Total industrial,90661.0
2019,Terajoules,Canada,Coke,Total industrial,84156.0
2015,Terajoules,Canada,Coke oven gas,Energy use - final demand,21181.0
2016,Terajoules,Canada,Coke oven gas,Energy use - final demand,19994.0
2017,Terajoules,Canada,Coke oven gas,Energy use - final demand,19744.0
2018,Terajoules,Canada,Coke oven gas,Energy use - final demand,23235.0
2019,Terajoules,Canada,Coke oven gas,Energy use - final demand,22119.0
2015,Terajoules,Canada,Coke oven gas,Total industrial,21181.0
2016,Terajoules,Canada,Coke oven gas,Total industrial,19994.0
2017,Terajoules,Canada,Coke oven gas,Total industrial,19744.0
2018,Terajoules,Canada,Coke oven gas,Total industrial,23235.0
2019,Terajoules,Canada,Coke oven gas,Total industrial,22119.0
2015,Terajoules,Canada,Total refined petroleum products,Energy use - final demand,3200543.0
2016,Terajoules,Canada,Total refined petroleum products,Energy use - final demand,3182887.0
2017,Terajoules,Canada,Total refined petroleum products,Energy use - final demand,3292346.0
2018,Terajoules,Canada,Total refined petroleum products,Energy use - final demand,3410601.0
2019,Terajoules,Canada,Total refined petroleum products,Energy use - final demand,3435410.0
2015,Terajoules,Canada,Total refined petroleum products,Total industrial,295720.0
2016,Terajoules,Canada,Total refined petroleum products,Total industrial,296507.0
2017,Terajoules,Canada,Total refined petroleum products,Total industrial,328818.0
2018,Terajoules,Canada,Total refined petroleum products,Total industrial,335328.0
2019,Terajoules,Canada,Total refined petroleum products,Total industrial,344520.0
2015,Terajoules,Canada,Total refined petroleum products,Total transportation,2488883.0
2016,Terajoules,Canada,Total refined petroleum products,Total transportation,2476074.0
2017,Terajoules,Canada,Total refined petroleum products,Total transportation,2531706.0
2018,Terajoules,Canada,Total refined petroleum products,Total transportation,2627385.0
2019,Terajoules,Canada,Total refined petroleum products,Total transportation,2651233.0
2015,Terajoules,Canada,Total refined petroleum products,Agriculture,213018.0
2016,Terajoules,Canada,Total refined petroleum products,Agriculture,214533.0
2017,Terajoules,Canada,Total refined petroleum products,Agriculture,221481.0
2018,Terajoules,Canada,Total refined petroleum products,Agriculture,228148.0
2019,Terajoules,Canada,Total refined petroleum products,Agriculture,216034.0
2015,Terajoules,Canada,Total refined petroleum products,Residential,69779.0
2016,Terajoules,Canada,Total refined petroleum products,Residential,63494.0
2017,Terajoules,Canada,Total refined petroleum products,Residential,57868.0
2018,Terajoules,Canada,Total refined petroleum products,Residential,58671.0
2019,Terajoules,Canada,Total refined petroleum products,Residential,54552.0
2015,Terajoules,Canada,Total refined petroleum products,Public administration,50670.0
2016,Terajoules,Canada,Total refined petroleum products,Public administration,
2017,Terajoules,Canada,Total refined petroleum products,Public administration,54286.0
2018,Terajoules,Canada,Total refined petroleum products,Public administration,55258.0
2019,Terajoules,Canada,Total refined petroleum products,Public administration,54510.0
2015,Terajoules,Canada,Total refined petroleum products,Commercial and other institutional,82474.0
2016,Terajoules,Canada,Total refined petroleum products,Commercial and other institutional,
2017,Terajoules,Canada,Total refined petroleum products,Commercial and other institutional,98188.0
2018,Terajoules,Canada,Total refined petroleum products,Commercial and other institutional,105812.0
2019,Terajoules,Canada,Total refined petroleum products,Commercial and other institutional,114561.0
2015,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Energy use - final demand,125892.0
2016,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Energy use - final demand,126046.0
2017,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Energy use - final demand,125286.0
2018,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Energy use - final demand,127159.0
2019,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Energy use - final demand,127535.0
2015,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,29455.0
2016,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,27647.0
2017,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,27712.0
2018,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,29865.0
2019,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,31245.0
2015,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,52475.0
2016,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,53222.0
2017,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,53746.0
2018,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,53278.0
2019,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,52382.0
2015,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,352.0
2016,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,368.0
2017,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,304.0
2018,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,298.0
2019,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,394.0
2015,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Residential,19717.0
2016,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Residential,20040.0
2017,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Residential,21128.0
2018,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Residential,20820.0
2019,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Residential,20442.0
2015,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Public administration,4789.0
2016,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Public administration,4151.0
2017,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Public administration,4149.0
2018,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Public administration,3617.0
2019,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Public administration,3404.0
2015,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,19105.0
2016,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,20619.0
2017,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,18259.0
2018,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,19282.0
2019,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,19668.0
2015,Terajoules,Newfoundland and Labrador,Total coal,Energy use - final demand,
2016,Terajoules,Newfoundland and Labrador,Total coal,Energy use - final demand,
2017,Terajoules,Newfoundland and Labrador,Total coal,Energy use - final demand,
2018,Terajoules,Newfoundland and Labrador,Total coal,Energy use - final demand,2749.0
2019,Terajoules,Newfoundland and Labrador,Total coal,Energy use - final demand,3687.0
2015,Terajoules,Newfoundland and Labrador,Total coal,Total industrial,
2016,Terajoules,Newfoundland and Labrador,Total coal,Total industrial,
2017,Terajoules,Newfoundland and Labrador,Total coal,Total industrial,
2018,Terajoules,Newfoundland and Labrador,Total coal,Total industrial,2749.0
2019,Terajoules,Newfoundland and Labrador,Total coal,Total industrial,3687.0
2015,Terajoules,Newfoundland and Labrador,Natural gas,Energy use - final demand,0.0
2016,Terajoules,Newfoundland and Labrador,Natural gas,Energy use - final demand,
2017,Terajoules,Newfoundland and Labrador,Natural gas,Energy use - final demand,
2018,Terajoules,Newfoundland and Labrador,Natural gas,Energy use - final demand,304.0
2019,Terajoules,Newfoundland and Labrador,Natural gas,Energy use - final demand,392.0
2015,Terajoules,Newfoundland and Labrador,Natural gas,Total industrial,0.0
2016,Terajoules,Newfoundland and Labrador,Natural gas,Total industrial,
2017,Terajoules,Newfoundland and Labrador,Natural gas,Total industrial,
2018,Terajoules,Newfoundland and Labrador,Natural gas,Total industrial,304.0
2019,Terajoules,Newfoundland and Labrador,Natural gas,Total industrial,392.0
2015,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Energy use - final demand,1723.0
2016,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Energy use - final demand,
2017,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Energy use - final demand,1583.0
2018,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Energy use - final demand,1636.0
2019,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Energy use - final demand,1572.0
2015,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,122.0
2016,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,138.0
2017,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,132.0
2018,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,113.0
2019,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,184.0
2015,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,15.0
2016,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,13.0
2017,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,15.0
2018,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,16.0
2019,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,14.0
2015,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Agriculture,6.0
2016,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Agriculture,6.0
2017,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Agriculture,5.0
2018,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Agriculture,0.0
2019,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Agriculture,0.0
2015,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,429.0
2016,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,375.0
2017,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,390.0
2018,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,408.0
2019,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,372.0
2015,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Public administration,
2016,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Public administration,
2015,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,1151.0
2016,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,1003.0
2017,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,1051.0
2018,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,1099.0
2019,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,1002.0
2015,Terajoules,Newfoundland and Labrador,Hydroelectricity,Energy use - final demand,36640.0
2016,Terajoules,Newfoundland and Labrador,Hydroelectricity,Energy use - final demand,36243.0
2017,Terajoules,Newfoundland and Labrador,Hydroelectricity,Energy use - final demand,37651.0
2018,Terajoules,Newfoundland and Labrador,Hydroelectricity,Energy use - final demand,37648.0
2019,Terajoules,Newfoundland and Labrador,Hydroelectricity,Energy use - final demand,37693.0
2015,Terajoules,Newfoundland and Labrador,Hydroelectricity,Total industrial,11804.0
2016,Terajoules,Newfoundland and Labrador,Hydroelectricity,Total industrial,11756.0
2017,Terajoules,Newfoundland and Labrador,Hydroelectricity,Total industrial,12885.0
2018,Terajoules,Newfoundland and Labrador,Hydroelectricity,Total industrial,13059.0
2019,Terajoules,Newfoundland and Labrador,Hydroelectricity,Total industrial,13140.0
2015,Terajoules,Newfoundland and Labrador,Hydroelectricity,Total transportation,2.0
2016,Terajoules,Newfoundland and Labrador,Hydroelectricity,Total transportation,4.0
2017,Terajoules,Newfoundland and Labrador,Hydroelectricity,Total transportation,4.0
2018,Terajoules,Newfoundland and Labrador,Hydroelectricity,Total transportation,9.0
2019,Terajoules,Newfoundland and Labrador,Hydroelectricity,Total transportation,9.0
2015,Terajoules,Newfoundland and Labrador,Hydroelectricity,Agriculture,108.0
2016,Terajoules,Newfoundland and Labrador,Hydroelectricity,Agriculture,123.0
2017,Terajoules,Newfoundland and Labrador,Hydroelectricity,Agriculture,117.0
2018,Terajoules,Newfoundland and Labrador,Hydroelectricity,Agriculture,122.0
2019,Terajoules,Newfoundland and Labrador,Hydroelectricity,Agriculture,123.0
2015,Terajoules,Newfoundland and Labrador,Hydroelectricity,Residential,15714.0
