Year,Geography,Selected diseases,Age,GeoCode,Value
2021,Canada,Haemophilus influenzae type B (Hib),by 7 years of age,,78.5
2017,Canada,Hepatitis B,by 14 years of age,,83.1
2019,Canada,Hepatitis B,by 14 years of age,,84.5
2021,Canada,Hepatitis B,by 14 years of age,,89.0
2017,Canada,Hepatitis B,by 2 years of age,,74.1
2019,Canada,Hepatitis B,by 2 years of age,,83.6
2021,Canada,Hepatitis B,by 2 years of age,,82.6
2021,Canada,Hepatitis B,by 7 years of age,,78.4
2019,Canada,Human Papillomavirus (HPV),by 14 years of age,,80.2
2021,Canada,Human Papillomavirus (HPV),by 14 years of age,,84.0
2017,Canada,Measles,by 2 years of age,,90.2
2019,Canada,Measles,by 2 years of age,,90.2
2021,Canada,Measles,by 2 years of age,,91.6
2017,Canada,Measles,by 7 years of age,,87.0
2019,Canada,Measles,by 7 years of age,,83.3
2021,Canada,Measles,by 7 years of age,,79.2
2019,Canada,Meningococcal type C,by 17 years of age,,89.3
2021,Canada,Meningococcal type C,by 17 years of age,,89.0
2017,Canada,Meningococcal type C,by 2 years of age,,87.6
2019,Canada,Meningococcal type C,by 2 years of age,,91.1
2021,Canada,Meningococcal type C,by 2 years of age,,90.5
2017,Canada,Mumps,by 2 years of age,,89.9
2019,Canada,Mumps,by 2 years of age,,89.2
2021,Canada,Mumps,by 2 years of age,,91.5
2017,Canada,Mumps,by 7 years of age,,86.4
2019,Canada,Mumps,by 7 years of age,,83.1
2021,Canada,Mumps,by 7 years of age,,79.5
2017,Canada,Pertussis (whooping cough),by 2 years of age,,75.8
2019,Canada,Pertussis (whooping cough),by 2 years of age,,77.5
2021,Canada,Pertussis (whooping cough),by 2 years of age,,77.1
2017,Canada,Pertussis (whooping cough),by 7 years of age,,80.5
2019,Canada,Pertussis (whooping cough),by 7 years of age,,78.1
2021,Canada,Pertussis (whooping cough),by 7 years of age,,71.9
2017,Canada,Pneumococcal,by 2 years of age,,81.4
2019,Canada,Pneumococcal,by 2 years of age,,84.4
2021,Canada,Pneumococcal,by 2 years of age,,85.1
2017,Canada,Polio,by 2 years of age,,90.7
2019,Canada,Polio,by 2 years of age,,91.9
2021,Canada,Polio,by 2 years of age,,91.8
2017,Canada,Polio,by 7 years of age,,92.3
2019,Canada,Polio,by 7 years of age,,89.3
2021,Canada,Polio,by 7 years of age,,87.3
2017,Canada,Rotavirus,by 2 years of age,,78.8
2019,Canada,Rotavirus,by 2 years of age,,84.5
2021,Canada,Rotavirus,by 2 years of age,,85.6
2017,Canada,Rubella,by 2 years of age,,90.0
2019,Canada,Rubella,by 2 years of age,,89.4
2021,Canada,Rubella,by 2 years of age,,91.5
2017,Canada,Rubella,by 7 years of age,,94.5
2019,Canada,Rubella,by 7 years of age,,95.9
2021,Canada,Rubella,by 7 years of age,,94.0
2017,Canada,Tetanus,by 2 years of age,,75.8
2019,Canada,Tetanus,by 2 years of age,,77.5
2021,Canada,Tetanus,by 2 years of age,,77.1
2017,Canada,Tetanus,by 7 years of age,,80.5
2019,Canada,Tetanus,by 7 years of age,,78.1
2021,Canada,Tetanus,by 7 years of age,,71.9
2017,Canada,Varicella,by 2 years of age,,82.9
2019,Canada,Varicella,by 2 years of age,,82.7
2021,Canada,Varicella,by 2 years of age,,87.5
2021,Canada,Varicella,by 7 years of age,,90.7
2017,Manitoba,Diphtheria,by 2 years of age,46,67.5
2021,Manitoba,Diphtheria,by 2 years of age,46,75.5
2017,Manitoba,Haemophilus influenzae type B (Hib),by 2 years of age,46,62.2
2021,Manitoba,Haemophilus influenzae type B (Hib),by 2 years of age,46,75.3
2017,Manitoba,Measles,by 2 years of age,46,86.1
2021,Manitoba,Measles,by 2 years of age,46,87.1
2017,Manitoba,Meningococcal type C,by 2 years of age,46,82.2
2021,Manitoba,Meningococcal type C,by 2 years of age,46,88.8
2017,Manitoba,Mumps,by 2 years of age,46,85.9
2021,Manitoba,Mumps,by 2 years of age,46,86.6
2017,Manitoba,Pertussis (whooping cough),by 2 years of age,46,67.5
2021,Manitoba,Pertussis (whooping cough),by 2 years of age,46,75.5
2017,Manitoba,Pneumococcal,by 2 years of age,46,74.6
2021,Manitoba,Pneumococcal,by 2 years of age,46,81.7
2017,Manitoba,Polio,by 2 years of age,46,85.6
2021,Manitoba,Polio,by 2 years of age,46,87.9
2017,Manitoba,Rotavirus,by 2 years of age,46,68.4
2021,Manitoba,Rotavirus,by 2 years of age,46,82.2
2017,Manitoba,Rubella,by 2 years of age,46,86.2
2021,Manitoba,Rubella,by 2 years of age,46,86.6
2017,Manitoba,Tetanus,by 2 years of age,46,67.5
2021,Manitoba,Tetanus,by 2 years of age,46,75.5
2017,Manitoba,Varicella,by 2 years of age,46,81.6
2021,Manitoba,Varicella,by 2 years of age,46,86.9
2017,New Brunswick,Diphtheria,by 2 years of age,13,75.5
2021,New Brunswick,Diphtheria,by 2 years of age,13,78.1
2017,New Brunswick,Haemophilus influenzae type B (Hib),by 2 years of age,13,74.7
2021,New Brunswick,Haemophilus influenzae type B (Hib),by 2 years of age,13,75.9
2017,New Brunswick,Hepatitis B,by 2 years of age,13,81.0
2021,New Brunswick,Hepatitis B,by 2 years of age,13,79.8
2017,New Brunswick,Measles,by 2 years of age,13,92.0
2021,New Brunswick,Measles,by 2 years of age,13,94.3
2017,New Brunswick,Meningococcal type C,by 2 years of age,13,88.3
2021,New Brunswick,Meningococcal type C,by 2 years of age,13,90.6
2017,New Brunswick,Mumps,by 2 years of age,13,92.0
2021,New Brunswick,Mumps,by 2 years of age,13,94.3
2017,New Brunswick,Pertussis (whooping cough),by 2 years of age,13,75.5
2021,New Brunswick,Pertussis (whooping cough),by 2 years of age,13,78.1
2017,New Brunswick,Pneumococcal,by 2 years of age,13,82.2
2021,New Brunswick,Pneumococcal,by 2 years of age,13,86.7
2017,New Brunswick,Polio,by 2 years of age,13,90.1
2021,New Brunswick,Polio,by 2 years of age,13,89.6
2021,New Brunswick,Rotavirus,by 2 years of age,13,66.6
2017,New Brunswick,Rubella,by 2 years of age,13,92.0
2021,New Brunswick,Rubella,by 2 years of age,13,94.3
2017,New Brunswick,Tetanus,by 2 years of age,13,75.5
2021,New Brunswick,Tetanus,by 2 years of age,13,78.1
2017,New Brunswick,Varicella,by 2 years of age,13,90.9
2021,New Brunswick,Varicella,by 2 years of age,13,91.2
2017,Newfoundland and Labrador,Diphtheria,by 2 years of age,10,88.9
2021,Newfoundland and Labrador,Diphtheria,by 2 years of age,10,80.0
2017,Newfoundland and Labrador,Haemophilus influenzae type B (Hib),by 2 years of age,10,87.7
2021,Newfoundland and Labrador,Haemophilus influenzae type B (Hib),by 2 years of age,10,76.8
2017,Newfoundland and Labrador,Measles,by 2 years of age,10,96.9
2021,Newfoundland and Labrador,Measles,by 2 years of age,10,97.0
2017,Newfoundland and Labrador,Meningococcal type C,by 2 years of age,10,93.2
2021,Newfoundland and Labrador,Meningococcal type C,by 2 years of age,10,93.6
2017,Newfoundland and Labrador,Mumps,by 2 years of age,10,96.9
2021,Newfoundland and Labrador,Mumps,by 2 years of age,10,97.0
2017,Newfoundland and Labrador,Pertussis (whooping cough),by 2 years of age,10,88.9
2021,Newfoundland and Labrador,Pertussis (whooping cough),by 2 years of age,10,80.0
2017,Newfoundland and Labrador,Pneumococcal,by 2 years of age,10,90.2
2021,Newfoundland and Labrador,Pneumococcal,by 2 years of age,10,87.8
2017,Newfoundland and Labrador,Polio,by 2 years of age,10,96.9
2021,Newfoundland and Labrador,Polio,by 2 years of age,10,95.4
2021,Newfoundland and Labrador,Rotavirus,by 2 years of age,10,93.3
2017,Newfoundland and Labrador,Rubella,by 2 years of age,10,96.9
2021,Newfoundland and Labrador,Rubella,by 2 years of age,10,97.0
2017,Newfoundland and Labrador,Tetanus,by 2 years of age,10,88.9
2021,Newfoundland and Labrador,Tetanus,by 2 years of age,10,80.0
2017,Newfoundland and Labrador,Varicella,by 2 years of age,10,95.1
2021,Newfoundland and Labrador,Varicella,by 2 years of age,10,96.4
2017,Northwest Territories,Diphtheria,by 2 years of age,61,76.7
2021,Northwest Territories,Diphtheria,by 2 years of age,61,66.0
2017,Northwest Territories,Haemophilus influenzae type B (Hib),by 2 years of age,61,75.5
2021,Northwest Territories,Haemophilus influenzae type B (Hib),by 2 years of age,61,60.0
2017,Northwest Territories,Hepatitis B,by 2 years of age,61,80.5
2021,Northwest Territories,Hepatitis B,by 2 years of age,61,81.0
2017,Northwest Territories,Measles,by 2 years of age,61,91.8
2021,Northwest Territories,Measles,by 2 years of age,61,90.8
2017,Northwest Territories,Meningococcal type C,by 2 years of age,61,95.2
2021,Northwest Territories,Meningococcal type C,by 2 years of age,61,88.8
2017,Northwest Territories,Mumps,by 2 years of age,61,91.8
2021,Northwest Territories,Mumps,by 2 years of age,61,89.5
2017,Northwest Territories,Pertussis (whooping cough),by 2 years of age,61,76.7
2021,Northwest Territories,Pertussis (whooping cough),by 2 years of age,61,66.0
2017,Northwest Territories,Pneumococcal,by 2 years of age,61,63.8
2021,Northwest Territories,Pneumococcal,by 2 years of age,61,59.9
2017,Northwest Territories,Polio,by 2 years of age,61,91.1
2021,Northwest Territories,Polio,by 2 years of age,61,80.4
2017,Northwest Territories,Rotavirus,by 2 years of age,61,66.3
2021,Northwest Territories,Rotavirus,by 2 years of age,61,75.6
2017,Northwest Territories,Rubella,by 2 years of age,61,91.8
2021,Northwest Territories,Rubella,by 2 years of age,61,88.2
2017,Northwest Territories,Tetanus,by 2 years of age,61,76.7
2021,Northwest Territories,Tetanus,by 2 years of age,61,66.0
2017,Northwest Territories,Varicella,by 2 years of age,61,88.9
2021,Northwest Territories,Varicella,by 2 years of age,61,80.2
2017,Nova Scotia,Diphtheria,by 2 years of age,12,73.8
2021,Nova Scotia,Diphtheria,by 2 years of age,12,70.3
2017,Nova Scotia,Haemophilus influenzae type B (Hib),by 2 years of age,12,68.5
2021,Nova Scotia,Haemophilus influenzae type B (Hib),by 2 years of age,12,66.8
2017,Nova Scotia,Measles,by 2 years of age,12,87.1
2021,Nova Scotia,Measles,by 2 years of age,12,93.6
2017,Nova Scotia,Meningococcal type C,by 2 years of age,12,81.8
2021,Nova Scotia,Meningococcal type C,by 2 years of age,12,89.4
2017,Nova Scotia,Mumps,by 2 years of age,12,86.8
2021,Nova Scotia,Mumps,by 2 years of age,12,93.6
2017,Nova Scotia,Pertussis (whooping cough),by 2 years of age,12,73.8
2021,Nova Scotia,Pertussis (whooping cough),by 2 years of age,12,70.3
2017,Nova Scotia,Pneumococcal,by 2 years of age,12,80.4
2021,Nova Scotia,Pneumococcal,by 2 years of age,12,79.0
2017,Nova Scotia,Polio,by 2 years of age,12,93.5
2021,Nova Scotia,Polio,by 2 years of age,12,87.9
2017,Nova Scotia,Rubella,by 2 years of age,12,86.8
2021,Nova Scotia,Rubella,by 2 years of age,12,93.6
2017,Nova Scotia,Tetanus,by 2 years of age,12,73.8
2021,Nova Scotia,Tetanus,by 2 years of age,12,70.3
2017,Nova Scotia,Varicella,by 2 years of age,12,84.8
2021,Nova Scotia,Varicella,by 2 years of age,12,93.2
2017,Nunavut,Diphtheria,by 2 years of age,62,63.8
2021,Nunavut,Diphtheria,by 2 years of age,62,24.1
2017,Nunavut,Haemophilus influenzae type B (Hib),by 2 years of age,62,57.2
2021,Nunavut,Haemophilus influenzae type B (Hib),by 2 years of age,62,24.1
2017,Nunavut,Hepatitis B,by 2 years of age,62,70.8
2021,Nunavut,Hepatitis B,by 2 years of age,62,32.5
2017,Nunavut,Measles,by 2 years of age,62,88.7
2021,Nunavut,Measles,by 2 years of age,62,34.6
2017,Nunavut,Meningococcal type C,by 2 years of age,62,80.1
2021,Nunavut,Meningococcal type C,by 2 years of age,62,34.5
2017,Nunavut,Mumps,by 2 years of age,62,88.7
2021,Nunavut,Mumps,by 2 years of age,62,34.6
2017,Nunavut,Pertussis (whooping cough),by 2 years of age,62,63.8
2021,Nunavut,Pertussis (whooping cough),by 2 years of age,62,24.1
2017,Nunavut,Pneumococcal,by 2 years of age,62,62.4
2021,Nunavut,Pneumococcal,by 2 years of age,62,21.0
2017,Nunavut,Polio,by 2 years of age,62,82.1
2021,Nunavut,Polio,by 2 years of age,62,33.5
2017,Nunavut,Rubella,by 2 years of age,62,88.7
2021,Nunavut,Rubella,by 2 years of age,62,34.6
2017,Nunavut,Tetanus,by 2 years of age,62,63.8
2021,Nunavut,Tetanus,by 2 years of age,62,24.1
2017,Nunavut,Varicella,by 2 years of age,62,82.1
2021,Nunavut,Varicella,by 2 years of age,62,21.2
2017,Ontario,Diphtheria,by 2 years of age,35,75.7
2021,Ontario,Diphtheria,by 2 years of age,35,76.7
2017,Ontario,Haemophilus influenzae type B (Hib),by 2 years of age,35,72.9
2021,Ontario,Haemophilus influenzae type B (Hib),by 2 years of age,35,73.8
2017,Ontario,Measles,by 2 years of age,35,90.9
2021,Ontario,Measles,by 2 years of age,35,92.0
2017,Ontario,Meningococcal type C,by 2 years of age,35,85.7
2021,Ontario,Meningococcal type C,by 2 years of age,35,90.1
2017,Ontario,Mumps,by 2 years of age,35,90.5
2021,Ontario,Mumps,by 2 years of age,35,91.7
2017,Ontario,Pertussis (whooping cough),by 2 years of age,35,75.7
2021,Ontario,Pertussis (whooping cough),by 2 years of age,35,76.7
2017,Ontario,Pneumococcal,by 2 years of age,35,80.5
2021,Ontario,Pneumococcal,by 2 years of age,35,86.1
2017,Ontario,Polio,by 2 years of age,35,91.0
2021,Ontario,Polio,by 2 years of age,35,94.4
2017,Ontario,Rotavirus,by 2 years of age,35,77.7
2021,Ontario,Rotavirus,by 2 years of age,35,84.7
2017,Ontario,Rubella,by 2 years of age,35,90.5
2021,Ontario,Rubella,by 2 years of age,35,91.7
2017,Ontario,Tetanus,by 2 years of age,35,75.7
2021,Ontario,Tetanus,by 2 years of age,35,76.7
2017,Ontario,Varicella,by 2 years of age,35,84.3
2021,Ontario,Varicella,by 2 years of age,35,85.9
2017,Prince Edward Island,Diphtheria,by 2 years of age,11,81.2
2021,Prince Edward Island,Diphtheria,by 2 years of age,11,95.8
2017,Prince Edward Island,Haemophilus influenzae type B (Hib),by 2 years of age,11,79.8
2021,Prince Edward Island,Haemophilus influenzae type B (Hib),by 2 years of age,11,95.8
2017,Prince Edward Island,Hepatitis B,by 2 years of age,11,86.7
2021,Prince Edward Island,Hepatitis B,by 2 years of age,11,97.7
2017,Prince Edward Island,Measles,by 2 years of age,11,93.2
2021,Prince Edward Island,Measles,by 2 years of age,11,98.0
2017,Prince Edward Island,Meningococcal type C,by 2 years of age,11,92.7
2017,Prince Edward Island,Mumps,by 2 years of age,11,92.6
2021,Prince Edward Island,Mumps,by 2 years of age,11,98.0
2017,Prince Edward Island,Pertussis (whooping cough),by 2 years of age,11,81.2
2021,Prince Edward Island,Pertussis (whooping cough),by 2 years of age,11,95.8
2017,Prince Edward Island,Pneumococcal,by 2 years of age,11,89.5
2021,Prince Edward Island,Pneumococcal,by 2 years of age,11,97.4
2017,Prince Edward Island,Polio,by 2 years of age,11,93.9
2017,Prince Edward Island,Rotavirus,by 2 years of age,11,85.9
2021,Prince Edward Island,Rotavirus,by 2 years of age,11,96.4
2017,Prince Edward Island,Rubella,by 2 years of age,11,92.6
2021,Prince Edward Island,Rubella,by 2 years of age,11,98.0
2017,Prince Edward Island,Tetanus,by 2 years of age,11,81.2
2021,Prince Edward Island,Tetanus,by 2 years of age,11,95.8
2017,Prince Edward Island,Varicella,by 2 years of age,11,92.0
2021,Prince Edward Island,Varicella,by 2 years of age,11,96.7
2017,Quebec,Diphtheria,by 2 years of age,24,73.7
2021,Quebec,Diphtheria,by 2 years of age,24,76.2
2017,Quebec,Haemophilus influenzae type B (Hib),by 2 years of age,24,71.3
2021,Quebec,Haemophilus influenzae type B (Hib),by 2 years of age,24,75.8
2017,Quebec,Hepatitis B,by 2 years of age,24,75.7
2021,Quebec,Hepatitis B,by 2 years of age,24,80.6
2017,Quebec,Measles,by 2 years of age,24,91.0
2021,Quebec,Measles,by 2 years of age,24,93.2
2017,Quebec,Meningococcal type C,by 2 years of age,24,89.9
2021,Quebec,Meningococcal type C,by 2 years of age,24,90.2
2017,Quebec,Mumps,by 2 years of age,24,90.5
2021,Quebec,Mumps,by 2 years of age,24,93.2
2017,Quebec,Pertussis (whooping cough),by 2 years of age,24,73.7
2021,Quebec,Pertussis (whooping cough),by 2 years of age,24,76.2
2017,Quebec,Pneumococcal,by 2 years of age,24,83.3
2021,Quebec,Pneumococcal,by 2 years of age,24,85.3
2017,Quebec,Polio,by 2 years of age,24,90.9
2021,Quebec,Polio,by 2 years of age,24,91.7
2017,Quebec,Rotavirus,by 2 years of age,24,81.0
2021,Quebec,Rotavirus,by 2 years of age,24,86.0
2017,Quebec,Rubella,by 2 years of age,24,90.5
2021,Quebec,Rubella,by 2 years of age,24,93.2
2017,Quebec,Tetanus,by 2 years of age,24,73.7
2021,Quebec,Tetanus,by 2 years of age,24,76.2
2017,Quebec,Varicella,by 2 years of age,24,76.1
2021,Quebec,Varicella,by 2 years of age,24,89.9
2017,Saskatchewan,Diphtheria,by 2 years of age,47,78.6
2021,Saskatchewan,Diphtheria,by 2 years of age,47,80.9
2017,Saskatchewan,Haemophilus influenzae type B (Hib),by 2 years of age,47,75.1
2021,Saskatchewan,Haemophilus influenzae type B (Hib),by 2 years of age,47,80.6
2017,Saskatchewan,Measles,by 2 years of age,47,89.5
2021,Saskatchewan,Measles,by 2 years of age,47,91.4
2017,Saskatchewan,Meningococcal type C,by 2 years of age,47,81.1
2021,Saskatchewan,Meningococcal type C,by 2 years of age,47,89.1
2017,Saskatchewan,Mumps,by 2 years of age,47,89.5
2021,Saskatchewan,Mumps,by 2 years of age,47,91.0
2017,Saskatchewan,Pertussis (whooping cough),by 2 years of age,47,78.6
2021,Saskatchewan,Pertussis (whooping cough),by 2 years of age,47,80.9
2017,Saskatchewan,Pneumococcal,by 2 years of age,47,83.7
2021,Saskatchewan,Pneumococcal,by 2 years of age,47,83.7
2017,Saskatchewan,Polio,by 2 years of age,47,90.0
2021,Saskatchewan,Polio,by 2 years of age,47,91.0
2017,Saskatchewan,Rotavirus,by 2 years of age,47,84.0
2021,Saskatchewan,Rotavirus,by 2 years of age,47,88.2
2017,Saskatchewan,Rubella,by 2 years of age,47,89.5
2021,Saskatchewan,Rubella,by 2 years of age,47,91.0
2017,Saskatchewan,Tetanus,by 2 years of age,47,78.6
2021,Saskatchewan,Tetanus,by 2 years of age,47,80.9
2017,Saskatchewan,Varicella,by 2 years of age,47,84.8
2021,Saskatchewan,Varicella,by 2 years of age,47,80.9
2017,Yukon,Diphtheria,by 2 years of age,60,70.7
2021,Yukon,Diphtheria,by 2 years of age,60,66.6
2017,Yukon,Haemophilus influenzae type B (Hib),by 2 years of age,60,69.3
2021,Yukon,Haemophilus influenzae type B (Hib),by 2 years of age,60,64.0
2017,Yukon,Hepatitis B,by 2 years of age,60,62.8
2021,Yukon,Hepatitis B,by 2 years of age,60,71.3
2017,Yukon,Measles,by 2 years of age,60,91.0
2021,Yukon,Measles,by 2 years of age,60,85.3
2017,Yukon,Meningococcal type C,by 2 years of age,60,93.7
2021,Yukon,Meningococcal type C,by 2 years of age,60,90.0
2017,Yukon,Mumps,by 2 years of age,60,91.0
2021,Yukon,Mumps,by 2 years of age,60,85.3
2017,Yukon,Pertussis (whooping cough),by 2 years of age,60,70.7
2021,Yukon,Pertussis (whooping cough),by 2 years of age,60,66.6
2017,Yukon,Pneumococcal,by 2 years of age,60,83.2
2021,Yukon,Pneumococcal,by 2 years of age,60,73.2
2017,Yukon,Polio,by 2 years of age,60,93.7
2021,Yukon,Polio,by 2 years of age,60,86.3
2017,Yukon,Rotavirus,by 2 years of age,60,76.6
2021,Yukon,Rotavirus,by 2 years of age,60,86.7
2017,Yukon,Rubella,by 2 years of age,60,91.0
2021,Yukon,Rubella,by 2 years of age,60,85.3
2017,Yukon,Tetanus,by 2 years of age,60,70.7
2021,Yukon,Tetanus,by 2 years of age,60,66.6
2017,Yukon,Varicella,by 2 years of age,60,85.5
2021,Yukon,Varicella,by 2 years of age,60,81.8
