Year,Geography,Persons in low income,Value
2016,Canada,Elderly persons in economic families,3.5
2017,Canada,Elderly persons in economic families,3.3
2018,Canada,Elderly persons in economic families,2.7
2019,Canada,Elderly persons in economic families,2.8
2015,Canada,Persons under 18 years in economic families,16.3
2016,Canada,Persons under 18 years in economic families,13.9
2017,Canada,Persons under 18 years in economic families,11.5
2018,Canada,Persons under 18 years in economic families,10.6
2019,Canada,Persons under 18 years in economic families,9.6
2015,Canada,Persons under 18 years in couple families with children,13.4
2016,Canada,Persons under 18 years in couple families with children,10.2
2017,Canada,Persons under 18 years in couple families with children,8.9
2018,Canada,Persons under 18 years in couple families with children,8.0
2019,Canada,Persons under 18 years in couple families with children,7.2
2015,Canada,Persons under 18 years in female lone-parent families,39.4
2016,Canada,Persons under 18 years in female lone-parent families,41.9
2017,Canada,Persons under 18 years in female lone-parent families,33.5
2018,Canada,Persons under 18 years in female lone-parent families,31.7
2019,Canada,Persons under 18 years in female lone-parent families,29.8
2015,Canada,Persons 18 to 64 years in economic families,10.8
2016,Canada,Persons 18 to 64 years in economic families,9.2
2017,Canada,Persons 18 to 64 years in economic families,8.6
2018,Canada,Persons 18 to 64 years in economic families,7.6
2019,Canada,Persons 18 to 64 years in economic families,7.2
2015,Canada,Persons not in an economic family,32.9
2016,Canada,Persons not in an economic family,30.8
2017,Canada,Persons not in an economic family,28.7
2018,Canada,Persons not in an economic family,29.0
2019,Canada,Persons not in an economic family,26.2
2015,Canada,Males not in an economic family,33.2
2016,Canada,Males not in an economic family,31.3
2017,Canada,Males not in an economic family,29.2
2018,Canada,Males not in an economic family,30.8
2019,Canada,Males not in an economic family,26.3
2015,Canada,Females not in an economic family,32.6
2016,Canada,Females not in an economic family,30.3
2017,Canada,Females not in an economic family,28.1
2018,Canada,Females not in an economic family,27.2
2019,Canada,Females not in an economic family,26.1
2015,Canada,Elderly persons not in an economic family,17.0
2016,Canada,Elderly persons not in an economic family,16.4
2017,Canada,Elderly persons not in an economic family,13.0
2018,Canada,Elderly persons not in an economic family,13.4
2019,Canada,Elderly persons not in an economic family,11.7
2015,Canada,Non-elderly persons not in an economic family,38.9
2016,Canada,Non-elderly persons not in an economic family,36.4
2017,Canada,Non-elderly persons not in an economic family,35.3
2018,Canada,Non-elderly persons not in an economic family,35.7
2019,Canada,Non-elderly persons not in an economic family,32.9
2015,Canada,Non-elderly males not in an economic family,36.6
2016,Canada,Non-elderly males not in an economic family,34.2
2017,Canada,Non-elderly males not in an economic family,33.2
2018,Canada,Non-elderly males not in an economic family,34.8
2019,Canada,Non-elderly males not in an economic family,30.7
2015,Canada,Non-elderly females not in an economic family,42.0
2016,Canada,Non-elderly females not in an economic family,39.1
2017,Canada,Non-elderly females not in an economic family,37.9
2018,Canada,Non-elderly females not in an economic family,37.0
2019,Canada,Non-elderly females not in an economic family,35.6
2015,Newfoundland and Labrador,All persons,13.1
2016,Newfoundland and Labrador,All persons,12.4
2017,Newfoundland and Labrador,All persons,11.4
2018,Newfoundland and Labrador,All persons,11.2
2019,Newfoundland and Labrador,All persons,10.7
2015,Newfoundland and Labrador,Persons under 18 years,15.3
2016,Newfoundland and Labrador,Persons under 18 years,13.4
2017,Newfoundland and Labrador,Persons under 18 years,12.0
2018,Newfoundland and Labrador,Persons under 18 years,11.2
2019,Newfoundland and Labrador,Persons under 18 years,14.6
2015,Newfoundland and Labrador,Persons 18 to 64 years,13.8
2016,Newfoundland and Labrador,Persons 18 to 64 years,13.4
2017,Newfoundland and Labrador,Persons 18 to 64 years,12.7
2018,Newfoundland and Labrador,Persons 18 to 64 years,13.6
2019,Newfoundland and Labrador,Persons 18 to 64 years,11.2
2015,Newfoundland and Labrador,Persons 65 years and over,8.6
2016,Newfoundland and Labrador,Persons 65 years and over,8.0
2017,Newfoundland and Labrador,Persons 65 years and over,6.7
2018,Newfoundland and Labrador,Persons 65 years and over,4.1
2019,Newfoundland and Labrador,Persons 65 years and over,6.0
2015,Newfoundland and Labrador,Males,11.6
2016,Newfoundland and Labrador,Males,11.1
2017,Newfoundland and Labrador,Males,9.9
2018,Newfoundland and Labrador,Males,11.6
2019,Newfoundland and Labrador,Males,9.6
2015,Newfoundland and Labrador,"Males, under 18 years",13.9
2016,Newfoundland and Labrador,"Males, under 18 years",13.9
2017,Newfoundland and Labrador,"Males, under 18 years",11.5
2018,Newfoundland and Labrador,"Males, under 18 years",10.3
2019,Newfoundland and Labrador,"Males, under 18 years",14.9
2015,Newfoundland and Labrador,"Males, 18 to 64 years",12.3
2016,Newfoundland and Labrador,"Males, 18 to 64 years",11.5
2017,Newfoundland and Labrador,"Males, 18 to 64 years",10.8
2018,Newfoundland and Labrador,"Males, 18 to 64 years",14.9
2019,Newfoundland and Labrador,"Males, 18 to 64 years",9.9
2015,Newfoundland and Labrador,"Males, 65 years and over",6.6
2016,Newfoundland and Labrador,"Males, 65 years and over",7.2
2017,Newfoundland and Labrador,"Males, 65 years and over",5.1
2018,Newfoundland and Labrador,"Males, 65 years and over",2.4
2019,Newfoundland and Labrador,"Males, 65 years and over",4.4
2015,Newfoundland and Labrador,Females,14.6
2016,Newfoundland and Labrador,Females,13.6
2017,Newfoundland and Labrador,Females,12.9
2018,Newfoundland and Labrador,Females,10.8
2019,Newfoundland and Labrador,Females,11.7
2015,Newfoundland and Labrador,"Females, under 18 years",16.9
2016,Newfoundland and Labrador,"Females, under 18 years",13.0
2017,Newfoundland and Labrador,"Females, under 18 years",12.6
2018,Newfoundland and Labrador,"Females, under 18 years",12.1
2019,Newfoundland and Labrador,"Females, under 18 years",14.4
2015,Newfoundland and Labrador,"Females, 18 to 64 years",15.3
2016,Newfoundland and Labrador,"Females, 18 to 64 years",15.3
2017,Newfoundland and Labrador,"Females, 18 to 64 years",14.5
2018,Newfoundland and Labrador,"Females, 18 to 64 years",12.3
2019,Newfoundland and Labrador,"Females, 18 to 64 years",12.6
2015,Newfoundland and Labrador,"Females, 65 years and over",10.3
2016,Newfoundland and Labrador,"Females, 65 years and over",8.7
2017,Newfoundland and Labrador,"Females, 65 years and over",8.1
2018,Newfoundland and Labrador,"Females, 65 years and over",5.7
2019,Newfoundland and Labrador,"Females, 65 years and over",7.4
2015,Newfoundland and Labrador,Persons in economic families,8.8
2016,Newfoundland and Labrador,Persons in economic families,9.3
2017,Newfoundland and Labrador,Persons in economic families,7.0
2018,Newfoundland and Labrador,Persons in economic families,8.2
2019,Newfoundland and Labrador,Persons in economic families,8.3
2015,Newfoundland and Labrador,Males in economic families,7.7
2016,Newfoundland and Labrador,Males in economic families,8.2
2017,Newfoundland and Labrador,Males in economic families,6.4
2018,Newfoundland and Labrador,Males in economic families,8.0
2019,Newfoundland and Labrador,Males in economic families,7.4
2015,Newfoundland and Labrador,Females in economic families,10.0
2016,Newfoundland and Labrador,Females in economic families,10.4
2017,Newfoundland and Labrador,Females in economic families,7.6
2018,Newfoundland and Labrador,Females in economic families,8.4
2019,Newfoundland and Labrador,Females in economic families,9.1
2015,Newfoundland and Labrador,Elderly persons in economic families,3.7
2016,Newfoundland and Labrador,Elderly persons in economic families,5.3
2017,Newfoundland and Labrador,Elderly persons in economic families,3.7
2018,Newfoundland and Labrador,Elderly persons in economic families,2.4
2019,Newfoundland and Labrador,Elderly persons in economic families,3.8
2015,Newfoundland and Labrador,Persons under 18 years in economic families,15.3
2016,Newfoundland and Labrador,Persons under 18 years in economic families,13.4
2017,Newfoundland and Labrador,Persons under 18 years in economic families,11.1
2018,Newfoundland and Labrador,Persons under 18 years in economic families,11.2
2019,Newfoundland and Labrador,Persons under 18 years in economic families,14.2
2015,Newfoundland and Labrador,Persons under 18 years in couple families with children,8.9
2016,Newfoundland and Labrador,Persons under 18 years in couple families with children,
2017,Newfoundland and Labrador,Persons under 18 years in couple families with children,
2018,Newfoundland and Labrador,Persons under 18 years in couple families with children,
2019,Newfoundland and Labrador,Persons under 18 years in couple families with children,
2015,Newfoundland and Labrador,Persons under 18 years in female lone-parent families,61.4
2016,Newfoundland and Labrador,Persons under 18 years in female lone-parent families,43.3
2017,Newfoundland and Labrador,Persons under 18 years in female lone-parent families,44.3
2018,Newfoundland and Labrador,Persons under 18 years in female lone-parent families,33.3
2019,Newfoundland and Labrador,Persons under 18 years in female lone-parent families,50.1
2015,Newfoundland and Labrador,Persons 18 to 64 years in economic families,8.1
2016,Newfoundland and Labrador,Persons 18 to 64 years in economic families,9.1
2017,Newfoundland and Labrador,Persons 18 to 64 years in economic families,6.7
2018,Newfoundland and Labrador,Persons 18 to 64 years in economic families,9.0
2019,Newfoundland and Labrador,Persons 18 to 64 years in economic families,7.8
2015,Newfoundland and Labrador,Persons not in an economic family,39.7
2016,Newfoundland and Labrador,Persons not in an economic family,31.1
2017,Newfoundland and Labrador,Persons not in an economic family,38.2
2018,Newfoundland and Labrador,Persons not in an economic family,29.4
2019,Newfoundland and Labrador,Persons not in an economic family,25.1
2015,Newfoundland and Labrador,Males not in an economic family,38.9
2016,Newfoundland and Labrador,Males not in an economic family,28.8
2017,Newfoundland and Labrador,Males not in an economic family,33.1
2018,Newfoundland and Labrador,Males not in an economic family,32.1
2019,Newfoundland and Labrador,Males not in an economic family,23.4
2015,Newfoundland and Labrador,Females not in an economic family,40.2
2016,Newfoundland and Labrador,Females not in an economic family,33.4
2017,Newfoundland and Labrador,Females not in an economic family,42.4
2018,Newfoundland and Labrador,Females not in an economic family,26.6
2019,Newfoundland and Labrador,Females not in an economic family,26.6
2015,Newfoundland and Labrador,Elderly persons not in an economic family,24.5
2016,Newfoundland and Labrador,Elderly persons not in an economic family,17.2
2017,Newfoundland and Labrador,Elderly persons not in an economic family,17.6
2018,Newfoundland and Labrador,Elderly persons not in an economic family,9.6
2019,Newfoundland and Labrador,Elderly persons not in an economic family,13.4
2015,Newfoundland and Labrador,Non-elderly persons not in an economic family,46.5
2016,Newfoundland and Labrador,Non-elderly persons not in an economic family,37.3
2017,Newfoundland and Labrador,Non-elderly persons not in an economic family,47.0
2018,Newfoundland and Labrador,Non-elderly persons not in an economic family,39.6
2019,Newfoundland and Labrador,Non-elderly persons not in an economic family,31.3
2015,Newfoundland and Labrador,Non-elderly males not in an economic family,42.7
2016,Newfoundland and Labrador,Non-elderly males not in an economic family,33.7
2017,Newfoundland and Labrador,Non-elderly males not in an economic family,38.1
2018,Newfoundland and Labrador,Non-elderly males not in an economic family,39.9
2019,Newfoundland and Labrador,Non-elderly males not in an economic family,27.4
2015,Newfoundland and Labrador,Non-elderly females not in an economic family,50.8
2016,Newfoundland and Labrador,Non-elderly females not in an economic family,42.0
2017,Newfoundland and Labrador,Non-elderly females not in an economic family,57.1
2018,Newfoundland and Labrador,Non-elderly females not in an economic family,39.1
2019,Newfoundland and Labrador,Non-elderly females not in an economic family,36.2
2015,Prince Edward Island,All persons,14.8
2016,Prince Edward Island,All persons,11.8
2017,Prince Edward Island,All persons,13.3
2018,Prince Edward Island,All persons,11.9
2019,Prince Edward Island,All persons,10.9
2015,Prince Edward Island,Persons under 18 years,15.1
2016,Prince Edward Island,Persons under 18 years,14.9
2017,Prince Edward Island,Persons under 18 years,13.4
2018,Prince Edward Island,Persons under 18 years,9.8
2019,Prince Edward Island,Persons under 18 years,13.7
2015,Prince Edward Island,Persons 18 to 64 years,15.4
2016,Prince Edward Island,Persons 18 to 64 years,11.9
2017,Prince Edward Island,Persons 18 to 64 years,14.3
2018,Prince Edward Island,Persons 18 to 64 years,13.1
2019,Prince Edward Island,Persons 18 to 64 years,11.4
2015,Prince Edward Island,Persons 65 years and over,12.5
2016,Prince Edward Island,Persons 65 years and over,7.9
2017,Prince Edward Island,Persons 65 years and over,10.1
2018,Prince Edward Island,Persons 65 years and over,10.1
2019,Prince Edward Island,Persons 65 years and over,6.4
2015,Prince Edward Island,Males,14.2
2016,Prince Edward Island,Males,9.8
2017,Prince Edward Island,Males,13.3
2018,Prince Edward Island,Males,12.3
2019,Prince Edward Island,Males,10.2
2015,Prince Edward Island,"Males, under 18 years",15.3
2016,Prince Edward Island,"Males, under 18 years",11.9
2017,Prince Edward Island,"Males, under 18 years",15.1
2018,Prince Edward Island,"Males, under 18 years",10.4
2019,Prince Edward Island,"Males, under 18 years",16.8
2015,Prince Edward Island,"Males, 18 to 64 years",15.5
2016,Prince Edward Island,"Males, 18 to 64 years",10.9
2017,Prince Edward Island,"Males, 18 to 64 years",13.4
2018,Prince Edward Island,"Males, 18 to 64 years",14.4
2019,Prince Edward Island,"Males, 18 to 64 years",9.5
2015,Prince Edward Island,"Males, 65 years and over",8.5
2016,Prince Edward Island,"Males, 65 years and over",
2017,Prince Edward Island,"Males, 65 years and over",10.8
2018,Prince Edward Island,"Males, 65 years and over",7.3
2019,Prince Edward Island,"Males, 65 years and over",
2015,Prince Edward Island,Females,15.4
2016,Prince Edward Island,Females,13.6
2017,Prince Edward Island,Females,13.3
2018,Prince Edward Island,Females,11.5
2019,Prince Edward Island,Females,11.5
2015,Prince Edward Island,"Females, under 18 years",15.0
2016,Prince Edward Island,"Females, under 18 years",18.2
2017,Prince Edward Island,"Females, under 18 years",11.3
2018,Prince Edward Island,"Females, under 18 years",
2019,Prince Edward Island,"Females, under 18 years",
2015,Prince Edward Island,"Females, 18 to 64 years",15.4
2016,Prince Edward Island,"Females, 18 to 64 years",12.9
2017,Prince Edward Island,"Females, 18 to 64 years",15.1
2018,Prince Edward Island,"Females, 18 to 64 years",11.9
2019,Prince Edward Island,"Females, 18 to 64 years",13.3
2015,Prince Edward Island,"Females, 65 years and over",16.1
2016,Prince Edward Island,"Females, 65 years and over",11.7
2017,Prince Edward Island,"Females, 65 years and over",9.4
2018,Prince Edward Island,"Females, 65 years and over",12.6
2019,Prince Edward Island,"Females, 65 years and over",7.3
2015,Prince Edward Island,Persons in economic families,10.9
2016,Prince Edward Island,Persons in economic families,8.6
2017,Prince Edward Island,Persons in economic families,9.3
2018,Prince Edward Island,Persons in economic families,7.6
2019,Prince Edward Island,Persons in economic families,7.6
2015,Prince Edward Island,Males in economic families,11.0
2016,Prince Edward Island,Males in economic families,7.1
2017,Prince Edward Island,Males in economic families,9.2
2018,Prince Edward Island,Males in economic families,7.9
2019,Prince Edward Island,Males in economic families,7.4
2015,Prince Edward Island,Females in economic families,10.8
2016,Prince Edward Island,Females in economic families,10.0
2017,Prince Edward Island,Females in economic families,9.4
2018,Prince Edward Island,Females in economic families,7.3
2019,Prince Edward Island,Females in economic families,7.8
2015,Prince Edward Island,Elderly persons in economic families,7.9
2016,Prince Edward Island,Elderly persons in economic families,
2017,Prince Edward Island,Elderly persons in economic families,
2018,Prince Edward Island,Elderly persons in economic families,
2019,Prince Edward Island,Elderly persons in economic families,
2015,Prince Edward Island,Persons under 18 years in economic families,15.1
2016,Prince Edward Island,Persons under 18 years in economic families,14.9
2017,Prince Edward Island,Persons under 18 years in economic families,13.4
2018,Prince Edward Island,Persons under 18 years in economic families,9.8
2019,Prince Edward Island,Persons under 18 years in economic families,13.7
2015,Prince Edward Island,Persons under 18 years in couple families with children,13.0
2016,Prince Edward Island,Persons under 18 years in couple families with children,
2017,Prince Edward Island,Persons under 18 years in couple families with children,6.9
2018,Prince Edward Island,Persons under 18 years in couple families with children,
2019,Prince Edward Island,Persons under 18 years in couple families with children,
2015,Prince Edward Island,Persons under 18 years in female lone-parent families,
2016,Prince Edward Island,Persons under 18 years in female lone-parent families,58.0
2017,Prince Edward Island,Persons under 18 years in female lone-parent families,54.7
2018,Prince Edward Island,Persons under 18 years in female lone-parent families,
2019,Prince Edward Island,Persons under 18 years in female lone-parent families,52.1
2015,Prince Edward Island,Persons 18 to 64 years in economic families,10.1
2016,Prince Edward Island,Persons 18 to 64 years in economic families,7.6
2017,Prince Edward Island,Persons 18 to 64 years in economic families,9.2
2018,Prince Edward Island,Persons 18 to 64 years in economic families,8.0
2019,Prince Edward Island,Persons 18 to 64 years in economic families,6.3
2015,Prince Edward Island,Persons not in an economic family,37.9
2016,Prince Edward Island,Persons not in an economic family,30.3
2017,Prince Edward Island,Persons not in an economic family,36.5
2018,Prince Edward Island,Persons not in an economic family,36.8
2019,Prince Edward Island,Persons not in an economic family,29.5
2015,Prince Edward Island,Males not in an economic family,34.8
2016,Prince Edward Island,Males not in an economic family,26.9
2017,Prince Edward Island,Males not in an economic family,39.9
2018,Prince Edward Island,Males not in an economic family,38.3
2019,Prince Edward Island,Males not in an economic family,28.9
2015,Prince Edward Island,Females not in an economic family,40.5
2016,Prince Edward Island,Females not in an economic family,33.1
2017,Prince Edward Island,Females not in an economic family,33.7
2018,Prince Edward Island,Females not in an economic family,35.4
2019,Prince Edward Island,Females not in an economic family,29.9
2015,Prince Edward Island,Elderly persons not in an economic family,26.7
2016,Prince Edward Island,Elderly persons not in an economic family,22.7
2017,Prince Edward Island,Elderly persons not in an economic family,26.9
2018,Prince Edward Island,Elderly persons not in an economic family,29.6
2019,Prince Edward Island,Elderly persons not in an economic family,12.8
2015,Prince Edward Island,Non-elderly persons not in an economic family,42.9
2016,Prince Edward Island,Non-elderly persons not in an economic family,33.6
2017,Prince Edward Island,Non-elderly persons not in an economic family,41.2
2018,Prince Edward Island,Non-elderly persons not in an economic family,40.5
2019,Prince Edward Island,Non-elderly persons not in an economic family,36.5
2015,Prince Edward Island,Non-elderly males not in an economic family,38.5
2016,Prince Edward Island,Non-elderly males not in an economic family,31.5
2017,Prince Edward Island,Non-elderly males not in an economic family,37.9
2018,Prince Edward Island,Non-elderly males not in an economic family,42.2
2019,Prince Edward Island,Non-elderly males not in an economic family,33.6
2015,Prince Edward Island,Non-elderly females not in an economic family,47.6
2016,Prince Edward Island,Non-elderly females not in an economic family,35.8
2017,Prince Edward Island,Non-elderly females not in an economic family,44.8
2018,Prince Edward Island,Non-elderly females not in an economic family,38.3
2019,Prince Edward Island,Non-elderly females not in an economic family,39.4
2015,Nova Scotia,All persons,17.0
2016,Nova Scotia,All persons,16.2
2017,Nova Scotia,All persons,15.0
2018,Nova Scotia,All persons,13.3
2019,Nova Scotia,All persons,12.1
2015,Nova Scotia,Persons under 18 years,20.7
2016,Nova Scotia,Persons under 18 years,19.1
2017,Nova Scotia,Persons under 18 years,19.4
2018,Nova Scotia,Persons under 18 years,14.8
2019,Nova Scotia,Persons under 18 years,11.7
2015,Nova Scotia,Persons 18 to 64 years,18.0
2016,Nova Scotia,Persons 18 to 64 years,18.0
2017,Nova Scotia,Persons 18 to 64 years,16.3
2018,Nova Scotia,Persons 18 to 64 years,14.6
2019,Nova Scotia,Persons 18 to 64 years,13.7
2015,Nova Scotia,Persons 65 years and over,10.5
2016,Nova Scotia,Persons 65 years and over,7.9
2017,Nova Scotia,Persons 65 years and over,6.9
2018,Nova Scotia,Persons 65 years and over,8.1
2019,Nova Scotia,Persons 65 years and over,7.8
2015,Nova Scotia,Males,16.5
2016,Nova Scotia,Males,17.0
2017,Nova Scotia,Males,13.5
2018,Nova Scotia,Males,13.0
2019,Nova Scotia,Males,10.9
2015,Nova Scotia,"Males, under 18 years",19.3
2016,Nova Scotia,"Males, under 18 years",20.4
2017,Nova Scotia,"Males, under 18 years",17.4
2018,Nova Scotia,"Males, under 18 years",16.2
2019,Nova Scotia,"Males, under 18 years",11.8
2015,Nova Scotia,"Males, 18 to 64 years",18.0
2016,Nova Scotia,"Males, 18 to 64 years",18.7
2017,Nova Scotia,"Males, 18 to 64 years",15.0
2018,Nova Scotia,"Males, 18 to 64 years",14.4
2019,Nova Scotia,"Males, 18 to 64 years",12.2
2015,Nova Scotia,"Males, 65 years and over",8.1
2016,Nova Scotia,"Males, 65 years and over",8.0
2017,Nova Scotia,"Males, 65 years and over",5.0
2018,Nova Scotia,"Males, 65 years and over",5.7
2019,Nova Scotia,"Males, 65 years and over",5.7
2015,Nova Scotia,Females,17.5
2016,Nova Scotia,Females,15.4
2017,Nova Scotia,Females,16.3
2018,Nova Scotia,Females,13.6
2019,Nova Scotia,Females,13.3
2015,Nova Scotia,"Females, under 18 years",22.3
2016,Nova Scotia,"Females, under 18 years",17.6
2017,Nova Scotia,"Females, under 18 years",21.6
2018,Nova Scotia,"Females, under 18 years",13.3
2019,Nova Scotia,"Females, under 18 years",11.6
2015,Nova Scotia,"Females, 18 to 64 years",18.0
2016,Nova Scotia,"Females, 18 to 64 years",17.3
2017,Nova Scotia,"Females, 18 to 64 years",17.5
2018,Nova Scotia,"Females, 18 to 64 years",14.8
2019,Nova Scotia,"Females, 18 to 64 years",15.1
2015,Nova Scotia,"Females, 65 years and over",12.4
2016,Nova Scotia,"Females, 65 years and over",7.8
2017,Nova Scotia,"Females, 65 years and over",8.6
2018,Nova Scotia,"Females, 65 years and over",10.2
2019,Nova Scotia,"Females, 65 years and over",9.7
2015,Nova Scotia,Persons in economic families,12.1
2016,Nova Scotia,Persons in economic families,11.9
2017,Nova Scotia,Persons in economic families,11.0
2018,Nova Scotia,Persons in economic families,8.9
2019,Nova Scotia,Persons in economic families,8.1
2015,Nova Scotia,Males in economic families,11.5
2016,Nova Scotia,Males in economic families,11.9
2017,Nova Scotia,Males in economic families,9.8
2018,Nova Scotia,Males in economic families,8.8
2019,Nova Scotia,Males in economic families,8.0
2015,Nova Scotia,Females in economic families,12.8
2016,Nova Scotia,Females in economic families,12.0
2017,Nova Scotia,Females in economic families,12.1
2018,Nova Scotia,Females in economic families,9.0
2019,Nova Scotia,Females in economic families,8.1
2015,Nova Scotia,Elderly persons in economic families,3.6
2016,Nova Scotia,Elderly persons in economic families,3.4
2017,Nova Scotia,Elderly persons in economic families,2.4
2018,Nova Scotia,Elderly persons in economic families,2.8
2019,Nova Scotia,Elderly persons in economic families,4.1
2015,Nova Scotia,Persons under 18 years in economic families,20.5
2016,Nova Scotia,Persons under 18 years in economic families,18.8
2017,Nova Scotia,Persons under 18 years in economic families,19.1
2018,Nova Scotia,Persons under 18 years in economic families,14.7
2019,Nova Scotia,Persons under 18 years in economic families,11.6
2015,Nova Scotia,Persons under 18 years in couple families with children,14.1
2016,Nova Scotia,Persons under 18 years in couple families with children,8.2
2017,Nova Scotia,Persons under 18 years in couple families with children,15.8
2018,Nova Scotia,Persons under 18 years in couple families with children,10.3
2019,Nova Scotia,Persons under 18 years in couple families with children,11.2
2015,Nova Scotia,Persons under 18 years in female lone-parent families,50.1
2016,Nova Scotia,Persons under 18 years in female lone-parent families,59.1
2017,Nova Scotia,Persons under 18 years in female lone-parent families,35.6
2018,Nova Scotia,Persons under 18 years in female lone-parent families,35.7
2019,Nova Scotia,Persons under 18 years in female lone-parent families,
2015,Nova Scotia,Persons 18 to 64 years in economic families,11.6
2016,Nova Scotia,Persons 18 to 64 years in economic families,12.0
2017,Nova Scotia,Persons 18 to 64 years in economic families,10.6
2018,Nova Scotia,Persons 18 to 64 years in economic families,8.7
2019,Nova Scotia,Persons 18 to 64 years in economic families,8.0
2015,Nova Scotia,Persons not in an economic family,39.6
2016,Nova Scotia,Persons not in an economic family,35.8
2017,Nova Scotia,Persons not in an economic family,33.2
2018,Nova Scotia,Persons not in an economic family,33.5
2019,Nova Scotia,Persons not in an economic family,30.6
2015,Nova Scotia,Males not in an economic family,40.7
2016,Nova Scotia,Males not in an economic family,42.9
2017,Nova Scotia,Males not in an economic family,31.3
2018,Nova Scotia,Males not in an economic family,32.9
2019,Nova Scotia,Males not in an economic family,25.3
2015,Nova Scotia,Females not in an economic family,38.6
2016,Nova Scotia,Females not in an economic family,29.9
2017,Nova Scotia,Females not in an economic family,35.0
2018,Nova Scotia,Females not in an economic family,34.0
2019,Nova Scotia,Females not in an economic family,35.0
2015,Nova Scotia,Elderly persons not in an economic family,28.1
2016,Nova Scotia,Elderly persons not in an economic family,21.6
2017,Nova Scotia,Elderly persons not in an economic family,18.2
2018,Nova Scotia,Elderly persons not in an economic family,21.9
2019,Nova Scotia,Elderly persons not in an economic family,17.0
2015,Nova Scotia,Non-elderly persons not in an economic family,44.5
2016,Nova Scotia,Non-elderly persons not in an economic family,41.0
2017,Nova Scotia,Non-elderly persons not in an economic family,40.2
2018,Nova Scotia,Non-elderly persons not in an economic family,38.8
2019,Nova Scotia,Non-elderly persons not in an economic family,37.3
2015,Nova Scotia,Non-elderly males not in an economic family,44.0
2016,Nova Scotia,Non-elderly males not in an economic family,45.6
2017,Nova Scotia,Non-elderly males not in an economic family,35.1
2018,Nova Scotia,Non-elderly males not in an economic family,36.7
2019,Nova Scotia,Non-elderly males not in an economic family,29.6
2015,Nova Scotia,Non-elderly females not in an economic family,45.0
2016,Nova Scotia,Non-elderly females not in an economic family,36.2
2017,Nova Scotia,Non-elderly females not in an economic family,46.5
2018,Nova Scotia,Non-elderly females not in an economic family,41.3
2019,Nova Scotia,Non-elderly females not in an economic family,45.2
2015,New Brunswick,All persons,16.1
2016,New Brunswick,All persons,13.6
2017,New Brunswick,All persons,12.1
2018,New Brunswick,All persons,10.0
