Year,Units,Geography,Type of event,GeoCode,Value
2018,"Rate per 100,000 population",Nunavut,Apparent opioid toxicity deaths,62,
2018,Number,Nunavut,Apparent opioid toxicity deaths,62,
2019,"Rate per 100,000 population",Nunavut,Apparent opioid toxicity deaths,62,
2019,Number,Nunavut,Apparent opioid toxicity deaths,62,
2020,"Rate per 100,000 population",Nunavut,Apparent opioid toxicity deaths,62,
2020,Number,Nunavut,Apparent opioid toxicity deaths,62,
2021,"Rate per 100,000 population",Nunavut,Apparent opioid toxicity deaths,62,
2021,Number,Nunavut,Apparent opioid toxicity deaths,62,
2016,"Rate per 100,000 population",Canada,Opioid-related poisoning hospitalizations,,16.8
2016,Number,Canada,Opioid-related poisoning hospitalizations,,4687.0
2017,"Rate per 100,000 population",Canada,Opioid-related poisoning hospitalizations,,18.4
2017,Number,Canada,Opioid-related poisoning hospitalizations,,5203.0
2018,"Rate per 100,000 population",Canada,Opioid-related poisoning hospitalizations,,17.6
2018,Number,Canada,Opioid-related poisoning hospitalizations,,5052.0
2019,"Rate per 100,000 population",Canada,Opioid-related poisoning hospitalizations,,15.5
2019,Number,Canada,Opioid-related poisoning hospitalizations,,4514.0
2020,"Rate per 100,000 population",Canada,Opioid-related poisoning hospitalizations,,17.8
2020,Number,Canada,Opioid-related poisoning hospitalizations,,5240.0
2021,"Rate per 100,000 population",Canada,Opioid-related poisoning hospitalizations,,21.2
2021,Number,Canada,Opioid-related poisoning hospitalizations,,6273.0
2016,"Rate per 100,000 population",British Columbia,Opioid-related poisoning hospitalizations,59,23.8
2016,Number,British Columbia,Opioid-related poisoning hospitalizations,59,1156.0
2017,"Rate per 100,000 population",British Columbia,Opioid-related poisoning hospitalizations,59,28.5
2017,Number,British Columbia,Opioid-related poisoning hospitalizations,59,1407.0
2018,"Rate per 100,000 population",British Columbia,Opioid-related poisoning hospitalizations,59,28.3
2018,Number,British Columbia,Opioid-related poisoning hospitalizations,59,1418.0
2019,"Rate per 100,000 population",British Columbia,Opioid-related poisoning hospitalizations,59,23.5
2019,Number,British Columbia,Opioid-related poisoning hospitalizations,59,1196.0
2020,"Rate per 100,000 population",British Columbia,Opioid-related poisoning hospitalizations,59,30.7
2020,Number,British Columbia,Opioid-related poisoning hospitalizations,59,1586.0
2021,"Rate per 100,000 population",British Columbia,Opioid-related poisoning hospitalizations,59,37.6
2021,Number,British Columbia,Opioid-related poisoning hospitalizations,59,1955.0
2016,"Rate per 100,000 population",Alberta,Opioid-related poisoning hospitalizations,48,22.2
2016,Number,Alberta,Opioid-related poisoning hospitalizations,48,930.0
2017,"Rate per 100,000 population",Alberta,Opioid-related poisoning hospitalizations,48,22.3
2017,Number,Alberta,Opioid-related poisoning hospitalizations,48,947.0
2018,"Rate per 100,000 population",Alberta,Opioid-related poisoning hospitalizations,48,21.5
2018,Number,Alberta,Opioid-related poisoning hospitalizations,48,922.0
2019,"Rate per 100,000 population",Alberta,Opioid-related poisoning hospitalizations,48,16.3
2019,Number,Alberta,Opioid-related poisoning hospitalizations,48,709.0
2020,"Rate per 100,000 population",Alberta,Opioid-related poisoning hospitalizations,48,20.1
2020,Number,Alberta,Opioid-related poisoning hospitalizations,48,890.0
2021,"Rate per 100,000 population",Alberta,Opioid-related poisoning hospitalizations,48,25.7
2021,Number,Alberta,Opioid-related poisoning hospitalizations,48,1144.0
2016,"Rate per 100,000 population",Saskatchewan,Opioid-related poisoning hospitalizations,47,23.2
2016,Number,Saskatchewan,Opioid-related poisoning hospitalizations,47,264.0
2017,"Rate per 100,000 population",Saskatchewan,Opioid-related poisoning hospitalizations,47,21.2
2017,Number,Saskatchewan,Opioid-related poisoning hospitalizations,47,244.0
2018,"Rate per 100,000 population",Saskatchewan,Opioid-related poisoning hospitalizations,47,19.7
2018,Number,Saskatchewan,Opioid-related poisoning hospitalizations,47,229.0
2019,"Rate per 100,000 population",Saskatchewan,Opioid-related poisoning hospitalizations,47,22.5
2019,Number,Saskatchewan,Opioid-related poisoning hospitalizations,47,264.0
2020,"Rate per 100,000 population",Saskatchewan,Opioid-related poisoning hospitalizations,47,26.7
2020,Number,Saskatchewan,Opioid-related poisoning hospitalizations,47,315.0
2021,"Rate per 100,000 population",Saskatchewan,Opioid-related poisoning hospitalizations,47,27.2
2021,Number,Saskatchewan,Opioid-related poisoning hospitalizations,47,321.0
2016,"Rate per 100,000 population",Manitoba,Opioid-related poisoning hospitalizations,46,9.4
2016,Number,Manitoba,Opioid-related poisoning hospitalizations,46,123.0
2017,"Rate per 100,000 population",Manitoba,Opioid-related poisoning hospitalizations,46,12.1
2017,Number,Manitoba,Opioid-related poisoning hospitalizations,46,161.0
2018,"Rate per 100,000 population",Manitoba,Opioid-related poisoning hospitalizations,46,8.0
2018,Number,Manitoba,Opioid-related poisoning hospitalizations,46,108.0
2019,"Rate per 100,000 population",Manitoba,Opioid-related poisoning hospitalizations,46,6.1
2019,Number,Manitoba,Opioid-related poisoning hospitalizations,46,84.0
2020,"Rate per 100,000 population",Manitoba,Opioid-related poisoning hospitalizations,46,9.1
2020,Number,Manitoba,Opioid-related poisoning hospitalizations,46,126.0
2021,"Rate per 100,000 population",Manitoba,Opioid-related poisoning hospitalizations,46,8.8
2021,Number,Manitoba,Opioid-related poisoning hospitalizations,46,122.0
2016,"Rate per 100,000 population",Ontario,Opioid-related poisoning hospitalizations,35,13.5
2016,Number,Ontario,Opioid-related poisoning hospitalizations,35,1875.0
2017,"Rate per 100,000 population",Ontario,Opioid-related poisoning hospitalizations,35,15.1
2017,Number,Ontario,Opioid-related poisoning hospitalizations,35,2124.0
2018,"Rate per 100,000 population",Ontario,Opioid-related poisoning hospitalizations,35,14.6
2018,Number,Ontario,Opioid-related poisoning hospitalizations,35,2095.0
2019,"Rate per 100,000 population",Ontario,Opioid-related poisoning hospitalizations,35,13.6
2019,Number,Ontario,Opioid-related poisoning hospitalizations,35,1981.0
2020,"Rate per 100,000 population",Ontario,Opioid-related poisoning hospitalizations,35,13.9
2020,Number,Ontario,Opioid-related poisoning hospitalizations,35,2044.0
2021,"Rate per 100,000 population",Ontario,Opioid-related poisoning hospitalizations,35,16.5
2021,Number,Ontario,Opioid-related poisoning hospitalizations,35,2446.0
2016,"Rate per 100,000 population",Quebec,Opioid-related poisoning hospitalizations,24,
2016,Number,Quebec,Opioid-related poisoning hospitalizations,24,
2017,"Rate per 100,000 population",Quebec,Opioid-related poisoning hospitalizations,24,
2017,Number,Quebec,Opioid-related poisoning hospitalizations,24,
2018,"Rate per 100,000 population",Quebec,Opioid-related poisoning hospitalizations,24,
2018,Number,Quebec,Opioid-related poisoning hospitalizations,24,
2019,"Rate per 100,000 population",Quebec,Opioid-related poisoning hospitalizations,24,
2019,Number,Quebec,Opioid-related poisoning hospitalizations,24,
2020,"Rate per 100,000 population",Quebec,Opioid-related poisoning hospitalizations,24,
2020,Number,Quebec,Opioid-related poisoning hospitalizations,24,
2021,"Rate per 100,000 population",Quebec,Opioid-related poisoning hospitalizations,24,
2021,Number,Quebec,Opioid-related poisoning hospitalizations,24,
2016,"Rate per 100,000 population",New Brunswick,Opioid-related poisoning hospitalizations,13,16.9
2016,Number,New Brunswick,Opioid-related poisoning hospitalizations,13,129.0
2017,"Rate per 100,000 population",New Brunswick,Opioid-related poisoning hospitalizations,13,13.2
2017,Number,New Brunswick,Opioid-related poisoning hospitalizations,13,101.0
2018,"Rate per 100,000 population",New Brunswick,Opioid-related poisoning hospitalizations,13,11.3
2018,Number,New Brunswick,Opioid-related poisoning hospitalizations,13,87.0
2019,"Rate per 100,000 population",New Brunswick,Opioid-related poisoning hospitalizations,13,13.4
2019,Number,New Brunswick,Opioid-related poisoning hospitalizations,13,104.0
2020,"Rate per 100,000 population",New Brunswick,Opioid-related poisoning hospitalizations,13,13.4
2020,Number,New Brunswick,Opioid-related poisoning hospitalizations,13,105.0
2021,"Rate per 100,000 population",New Brunswick,Opioid-related poisoning hospitalizations,13,12.4
2021,Number,New Brunswick,Opioid-related poisoning hospitalizations,13,98.0
2016,"Rate per 100,000 population",Nova Scotia,Opioid-related poisoning hospitalizations,12,10.7
2016,Number,Nova Scotia,Opioid-related poisoning hospitalizations,12,101.0
2017,"Rate per 100,000 population",Nova Scotia,Opioid-related poisoning hospitalizations,12,8.7
2017,Number,Nova Scotia,Opioid-related poisoning hospitalizations,12,83.0
2018,"Rate per 100,000 population",Nova Scotia,Opioid-related poisoning hospitalizations,12,8.3
2018,Number,Nova Scotia,Opioid-related poisoning hospitalizations,12,80.0
2019,"Rate per 100,000 population",Nova Scotia,Opioid-related poisoning hospitalizations,12,8.1
2019,Number,Nova Scotia,Opioid-related poisoning hospitalizations,12,79.0
2020,"Rate per 100,000 population",Nova Scotia,Opioid-related poisoning hospitalizations,12,7.3
2020,Number,Nova Scotia,Opioid-related poisoning hospitalizations,12,72.0
2021,"Rate per 100,000 population",Nova Scotia,Opioid-related poisoning hospitalizations,12,7.2
2021,Number,Nova Scotia,Opioid-related poisoning hospitalizations,12,71.0
2016,"Rate per 100,000 population",Prince Edward Island,Opioid-related poisoning hospitalizations,11,15.0
2016,Number,Prince Edward Island,Opioid-related poisoning hospitalizations,11,22.0
2017,"Rate per 100,000 population",Prince Edward Island,Opioid-related poisoning hospitalizations,11,10.6
2017,Number,Prince Edward Island,Opioid-related poisoning hospitalizations,11,16.0
2018,"Rate per 100,000 population",Prince Edward Island,Opioid-related poisoning hospitalizations,11,13.0
2018,Number,Prince Edward Island,Opioid-related poisoning hospitalizations,11,20.0
2019,"Rate per 100,000 population",Prince Edward Island,Opioid-related poisoning hospitalizations,11,15.2
2019,Number,Prince Edward Island,Opioid-related poisoning hospitalizations,11,24.0
2020,"Rate per 100,000 population",Prince Edward Island,Opioid-related poisoning hospitalizations,11,10.5
2020,Number,Prince Edward Island,Opioid-related poisoning hospitalizations,11,17.0
2021,"Rate per 100,000 population",Prince Edward Island,Opioid-related poisoning hospitalizations,11,10.3
2021,Number,Prince Edward Island,Opioid-related poisoning hospitalizations,11,17.0
2016,"Rate per 100,000 population",Newfoundland and Labrador,Opioid-related poisoning hospitalizations,10,10.6
2016,Number,Newfoundland and Labrador,Opioid-related poisoning hospitalizations,10,56.0
2017,"Rate per 100,000 population",Newfoundland and Labrador,Opioid-related poisoning hospitalizations,10,17.0
2017,Number,Newfoundland and Labrador,Opioid-related poisoning hospitalizations,10,90.0
2018,"Rate per 100,000 population",Newfoundland and Labrador,Opioid-related poisoning hospitalizations,10,12.7
2018,Number,Newfoundland and Labrador,Opioid-related poisoning hospitalizations,10,67.0
2019,"Rate per 100,000 population",Newfoundland and Labrador,Opioid-related poisoning hospitalizations,10,9.9
2019,Number,Newfoundland and Labrador,Opioid-related poisoning hospitalizations,10,52.0
2020,"Rate per 100,000 population",Newfoundland and Labrador,Opioid-related poisoning hospitalizations,10,12.3
2020,Number,Newfoundland and Labrador,Opioid-related poisoning hospitalizations,10,64.0
2021,"Rate per 100,000 population",Newfoundland and Labrador,Opioid-related poisoning hospitalizations,10,13.1
2021,Number,Newfoundland and Labrador,Opioid-related poisoning hospitalizations,10,68.0
2016,"Rate per 100,000 population",Territories,Opioid-related poisoning hospitalizations,,25.8
2016,Number,Territories,Opioid-related poisoning hospitalizations,,31.0
2017,"Rate per 100,000 population",Territories,Opioid-related poisoning hospitalizations,,24.6
2017,Number,Territories,Opioid-related poisoning hospitalizations,,30.0
2018,"Rate per 100,000 population",Territories,Opioid-related poisoning hospitalizations,,21.0
2018,Number,Territories,Opioid-related poisoning hospitalizations,,26.0
2019,"Rate per 100,000 population",Territories,Opioid-related poisoning hospitalizations,,16.8
2019,Number,Territories,Opioid-related poisoning hospitalizations,,21.0
2020,"Rate per 100,000 population",Territories,Opioid-related poisoning hospitalizations,,16.6
2020,Number,Territories,Opioid-related poisoning hospitalizations,,21.0
2021,"Rate per 100,000 population",Territories,Opioid-related poisoning hospitalizations,,24.1
2021,Number,Territories,Opioid-related poisoning hospitalizations,,31.0
2017,Number,British Columbia,EMS responses to suspected opioid-related overdoses,59,12961.0
2018,Number,British Columbia,EMS responses to suspected opioid-related overdoses,59,13365.0
2019,Number,British Columbia,EMS responses to suspected opioid-related overdoses,59,13486.0
2020,Number,British Columbia,EMS responses to suspected opioid-related overdoses,59,17011.0
2021,Number,British Columbia,EMS responses to suspected opioid-related overdoses,59,24158.0
2017,Number,Alberta,EMS responses to suspected opioid-related overdoses,48,2643.0
2018,Number,Alberta,EMS responses to suspected opioid-related overdoses,48,4206.0
2019,Number,Alberta,EMS responses to suspected opioid-related overdoses,48,3536.0
2020,Number,Alberta,EMS responses to suspected opioid-related overdoses,48,5188.0
2021,Number,Alberta,EMS responses to suspected opioid-related overdoses,48,8215.0
2018,Number,Saskatchewan,EMS responses to suspected opioid-related overdoses,47,196.0
2019,Number,Saskatchewan,EMS responses to suspected opioid-related overdoses,47,321.0
2020,Number,Saskatchewan,EMS responses to suspected opioid-related overdoses,47,640.0
2021,Number,Saskatchewan,EMS responses to suspected opioid-related overdoses,47,1015.0
2017,Number,Winnipeg Manitoba,EMS responses to suspected opioid-related overdoses,,1520.0
2018,Number,Winnipeg Manitoba,EMS responses to suspected opioid-related overdoses,,1095.0
2019,Number,Winnipeg Manitoba,EMS responses to suspected opioid-related overdoses,,1403.0
2020,Number,Winnipeg Manitoba,EMS responses to suspected opioid-related overdoses,,2684.0
2021,Number,Winnipeg Manitoba,EMS responses to suspected opioid-related overdoses,,2732.0
2017,Number,Northern and Rural Manitoba,EMS responses to suspected opioid-related overdoses,,32.0
2018,Number,Northern and Rural Manitoba,EMS responses to suspected opioid-related overdoses,,21.0
2019,Number,Northern and Rural Manitoba,EMS responses to suspected opioid-related overdoses,,21.0
2020,Number,Northern and Rural Manitoba,EMS responses to suspected opioid-related overdoses,,53.0
2021,Number,Northern and Rural Manitoba,EMS responses to suspected opioid-related overdoses,,63.0
2018,Number,Ontario,EMS responses to suspected opioid-related overdoses,35,1804.0
2019,Number,Ontario,EMS responses to suspected opioid-related overdoses,35,2629.0
2020,Number,Ontario,EMS responses to suspected opioid-related overdoses,35,3809.0
2021,Number,Ontario,EMS responses to suspected opioid-related overdoses,35,5008.0
2017,Number,New Brunswick,EMS responses to suspected opioid-related overdoses,13,152.0
2018,Number,New Brunswick,EMS responses to suspected opioid-related overdoses,13,110.0
2019,Number,New Brunswick,EMS responses to suspected opioid-related overdoses,13,127.0
2020,Number,New Brunswick,EMS responses to suspected opioid-related overdoses,13,125.0
2021,Number,New Brunswick,EMS responses to suspected opioid-related overdoses,13,175.0
2018,Number,Nova Scotia,EMS responses to suspected opioid-related overdoses,12,111.0
2019,Number,Nova Scotia,EMS responses to suspected opioid-related overdoses,12,188.0
2020,Number,Nova Scotia,EMS responses to suspected opioid-related overdoses,12,182.0
2021,Number,Nova Scotia,EMS responses to suspected opioid-related overdoses,12,220.0
2017,Number,Newfoundland and Labrador,EMS responses to suspected opioid-related overdoses,10,46.0
2018,Number,Newfoundland and Labrador,EMS responses to suspected opioid-related overdoses,10,
2017,Number,Whitehorse Yukon,EMS responses to suspected opioid-related overdoses,,59.0
2018,Number,Whitehorse Yukon,EMS responses to suspected opioid-related overdoses,,78.0
2019,Number,Whitehorse Yukon,EMS responses to suspected opioid-related overdoses,,48.0
2020,Number,Whitehorse Yukon,EMS responses to suspected opioid-related overdoses,,104.0
2021,Number,Whitehorse Yukon,EMS responses to suspected opioid-related overdoses,,133.0
2017,Number,Yellowknife Northwest Territories,EMS responses to suspected opioid-related overdoses,,
2018,Number,Yellowknife Northwest Territories,EMS responses to suspected opioid-related overdoses,,
