Year,Geography,Age group,Gender,GeoCode,Value
2015,Nova Scotia,18 to 24 years,Women+,12,13.0
2015,Nova Scotia,20 to 24 years,Total - Gender,12,14.0
2015,Nova Scotia,20 to 24 years,Men+,12,14.0
2015,Nova Scotia,20 to 24 years,Women+,12,13.0
2015,Nova Scotia,25 to 29 years,Total - Gender,12,17.0
2015,Nova Scotia,25 to 29 years,Men+,12,17.0
2015,Nova Scotia,25 to 29 years,Women+,12,17.0
2015,New Brunswick,"Total, 15 to 29 years",Total - Gender,13,16.0
2015,New Brunswick,"Total, 15 to 29 years",Men+,13,18.0
2015,New Brunswick,"Total, 15 to 29 years",Women+,13,13.0
2015,New Brunswick,15 to 19 years,Total - Gender,13,8.0
2015,New Brunswick,15 to 19 years,Men+,13,10.0
2015,New Brunswick,15 to 19 years,Women+,13,6.0
2015,New Brunswick,15 to 24 years,Total - Gender,13,14.0
2015,New Brunswick,15 to 24 years,Men+,13,17.0
2015,New Brunswick,15 to 24 years,Women+,13,10.0
2015,New Brunswick,18 to 24 years,Total - Gender,13,18.0
2015,New Brunswick,18 to 24 years,Men+,13,23.0
2015,New Brunswick,18 to 24 years,Women+,13,13.0
2015,New Brunswick,20 to 24 years,Total - Gender,13,19.0
2015,New Brunswick,20 to 24 years,Men+,13,24.0
2015,New Brunswick,20 to 24 years,Women+,13,14.0
2015,New Brunswick,25 to 29 years,Total - Gender,13,19.0
2015,New Brunswick,25 to 29 years,Men+,13,20.0
2015,New Brunswick,25 to 29 years,Women+,13,19.0
2015,Quebec,"Total, 15 to 29 years",Total - Gender,24,13.0
2015,Quebec,"Total, 15 to 29 years",Men+,24,15.0
2015,Quebec,"Total, 15 to 29 years",Women+,24,11.0
2015,Quebec,15 to 19 years,Total - Gender,24,7.0
2015,Quebec,15 to 19 years,Men+,24,9.0
2015,Quebec,15 to 19 years,Women+,24,5.0
2015,Quebec,15 to 24 years,Total - Gender,24,11.0
2015,Quebec,15 to 24 years,Men+,24,13.0
2015,Quebec,15 to 24 years,Women+,24,9.0
2015,Quebec,18 to 24 years,Total - Gender,24,13.0
2015,Quebec,18 to 24 years,Men+,24,16.0
2015,Quebec,18 to 24 years,Women+,24,11.0
2015,Quebec,20 to 24 years,Total - Gender,24,14.0
2015,Quebec,20 to 24 years,Men+,24,17.0
2015,Quebec,20 to 24 years,Women+,24,11.0
2015,Quebec,25 to 29 years,Total - Gender,24,17.0
2015,Quebec,25 to 29 years,Men+,24,18.0
2015,Quebec,25 to 29 years,Women+,24,16.0
2015,Ontario,"Total, 15 to 29 years",Total - Gender,35,13.0
2015,Ontario,"Total, 15 to 29 years",Men+,35,13.0
2015,Ontario,"Total, 15 to 29 years",Women+,35,12.0
2015,Ontario,15 to 19 years,Total - Gender,35,6.0
2015,Ontario,15 to 19 years,Men+,35,6.0
2015,Ontario,15 to 19 years,Women+,35,5.0
2015,Ontario,15 to 24 years,Total - Gender,35,10.0
2015,Ontario,15 to 24 years,Men+,35,11.0
2015,Ontario,15 to 24 years,Women+,35,9.0
2015,Ontario,18 to 24 years,Total - Gender,35,12.0
2015,Ontario,18 to 24 years,Men+,35,14.0
2015,Ontario,18 to 24 years,Women+,35,10.0
2015,Ontario,20 to 24 years,Total - Gender,35,14.0
2015,Ontario,20 to 24 years,Men+,35,16.0
2015,Ontario,20 to 24 years,Women+,35,11.0
2015,Ontario,25 to 29 years,Total - Gender,35,17.0
2015,Ontario,25 to 29 years,Men+,35,17.0
2015,Ontario,25 to 29 years,Women+,35,18.0
2015,Manitoba,"Total, 15 to 29 years",Total - Gender,46,12.0
2015,Manitoba,"Total, 15 to 29 years",Men+,46,10.0
2015,Manitoba,"Total, 15 to 29 years",Women+,46,14.0
2015,Manitoba,15 to 19 years,Total - Gender,46,6.0
2015,Manitoba,15 to 19 years,Men+,46,6.0
2015,Manitoba,15 to 19 years,Women+,46,6.0
2015,Manitoba,15 to 24 years,Total - Gender,46,10.0
2015,Manitoba,15 to 24 years,Men+,46,9.0
2015,Manitoba,15 to 24 years,Women+,46,12.0
2015,Manitoba,18 to 24 years,Total - Gender,46,14.0
2015,Manitoba,18 to 24 years,Men+,46,12.0
2015,Manitoba,18 to 24 years,Women+,46,15.0
2015,Manitoba,20 to 24 years,Total - Gender,46,14.0
2015,Manitoba,20 to 24 years,Men+,46,12.0
2015,Manitoba,20 to 24 years,Women+,46,17.0
2015,Manitoba,25 to 29 years,Total - Gender,46,14.0
2015,Manitoba,25 to 29 years,Men+,46,10.0
2015,Manitoba,25 to 29 years,Women+,46,18.0
2015,Saskatchewan,"Total, 15 to 29 years",Total - Gender,47,13.0
2015,Saskatchewan,"Total, 15 to 29 years",Men+,47,11.0
2015,Saskatchewan,"Total, 15 to 29 years",Women+,47,15.0
2015,Saskatchewan,15 to 19 years,Total - Gender,47,6.0
2015,Saskatchewan,15 to 19 years,Men+,47,5.0
2015,Saskatchewan,15 to 19 years,Women+,47,7.0
2015,Saskatchewan,15 to 24 years,Total - Gender,47,11.0
2015,Saskatchewan,15 to 24 years,Men+,47,10.0
2015,Saskatchewan,15 to 24 years,Women+,47,13.0
2015,Saskatchewan,18 to 24 years,Total - Gender,47,14.0
2015,Saskatchewan,18 to 24 years,Men+,47,13.0
2015,Saskatchewan,18 to 24 years,Women+,47,15.0
2015,Saskatchewan,20 to 24 years,Total - Gender,47,16.0
2015,Saskatchewan,20 to 24 years,Men+,47,14.0
2015,Saskatchewan,20 to 24 years,Women+,47,17.0
2015,Saskatchewan,25 to 29 years,Total - Gender,47,16.0
2015,Saskatchewan,25 to 29 years,Men+,47,12.0
2015,Saskatchewan,25 to 29 years,Women+,47,20.0
2015,Alberta,"Total, 15 to 29 years",Total - Gender,48,11.0
2015,Alberta,"Total, 15 to 29 years",Men+,48,9.0
2015,Alberta,"Total, 15 to 29 years",Women+,48,14.0
2015,Alberta,15 to 19 years,Total - Gender,48,6.0
2015,Alberta,15 to 19 years,Men+,48,5.0
2015,Alberta,15 to 19 years,Women+,48,6.0
2015,Alberta,15 to 24 years,Total - Gender,48,9.0
2015,Alberta,15 to 24 years,Men+,48,8.0
2015,Alberta,15 to 24 years,Women+,48,11.0
2015,Alberta,18 to 24 years,Total - Gender,48,12.0
2015,Alberta,18 to 24 years,Men+,48,10.0
2015,Alberta,18 to 24 years,Women+,48,13.0
2015,Alberta,20 to 24 years,Total - Gender,48,13.0
2015,Alberta,20 to 24 years,Men+,48,11.0
2015,Alberta,20 to 24 years,Women+,48,15.0
2015,Alberta,25 to 29 years,Total - Gender,48,15.0
2015,Alberta,25 to 29 years,Men+,48,11.0
2015,Alberta,25 to 29 years,Women+,48,19.0
2015,British Columbia,"Total, 15 to 29 years",Total - Gender,59,13.0
2015,British Columbia,"Total, 15 to 29 years",Men+,59,12.0
2015,British Columbia,"Total, 15 to 29 years",Women+,59,14.0
2015,British Columbia,15 to 19 years,Total - Gender,59,9.0
2015,British Columbia,15 to 19 years,Men+,59,8.0
2015,British Columbia,15 to 19 years,Women+,59,9.0
2015,British Columbia,15 to 24 years,Total - Gender,59,11.0
2015,British Columbia,15 to 24 years,Men+,59,11.0
2015,British Columbia,15 to 24 years,Women+,59,11.0
2015,British Columbia,18 to 24 years,Total - Gender,59,13.0
2015,British Columbia,18 to 24 years,Men+,59,13.0
2015,British Columbia,18 to 24 years,Women+,59,13.0
2015,British Columbia,20 to 24 years,Total - Gender,59,13.0
2015,British Columbia,20 to 24 years,Men+,59,14.0
2015,British Columbia,20 to 24 years,Women+,59,13.0
2015,British Columbia,25 to 29 years,Total - Gender,59,17.0
2015,British Columbia,25 to 29 years,Men+,59,15.0
2015,British Columbia,25 to 29 years,Women+,59,20.0
2015,Yukon,"Total, 15 to 29 years",Total - Gender,60,11.0
2015,Yukon,"Total, 15 to 29 years",Men+,60,10.0
2015,Yukon,"Total, 15 to 29 years",Women+,60,12.0
2015,Yukon,15 to 19 years,Total - Gender,60,
2015,Yukon,15 to 19 years,Men+,60,
2015,Yukon,15 to 19 years,Women+,60,
2015,Yukon,15 to 24 years,Total - Gender,60,11.0
2015,Yukon,15 to 24 years,Men+,60,12.0
2015,Yukon,15 to 24 years,Women+,60,
2015,Yukon,18 to 24 years,Total - Gender,60,14.0
2015,Yukon,18 to 24 years,Men+,60,14.0
2015,Yukon,18 to 24 years,Women+,60,
2015,Yukon,20 to 24 years,Total - Gender,60,14.0
2015,Yukon,20 to 24 years,Men+,60,
2015,Yukon,20 to 24 years,Women+,60,
2015,Yukon,25 to 29 years,Total - Gender,60,11.0
2015,Yukon,25 to 29 years,Men+,60,
2015,Yukon,25 to 29 years,Women+,60,
2015,Northwest Territories,"Total, 15 to 29 years",Total - Gender,61,19.0
2015,Northwest Territories,"Total, 15 to 29 years",Men+,61,22.0
2015,Northwest Territories,"Total, 15 to 29 years",Women+,61,16.0
2015,Northwest Territories,15 to 19 years,Total - Gender,61,13.0
2015,Northwest Territories,15 to 19 years,Men+,61,18.0
2015,Northwest Territories,15 to 19 years,Women+,61,
2015,Northwest Territories,15 to 24 years,Total - Gender,61,17.0
2015,Northwest Territories,15 to 24 years,Men+,61,22.0
2015,Northwest Territories,15 to 24 years,Women+,61,12.0
2015,Northwest Territories,18 to 24 years,Total - Gender,61,22.0
2015,Northwest Territories,18 to 24 years,Men+,61,28.0
2015,Northwest Territories,18 to 24 years,Women+,61,15.0
2015,Northwest Territories,20 to 24 years,Total - Gender,61,21.0
2015,Northwest Territories,20 to 24 years,Men+,61,26.0
2015,Northwest Territories,20 to 24 years,Women+,61,16.0
2015,Northwest Territories,25 to 29 years,Total - Gender,61,22.0
2015,Northwest Territories,25 to 29 years,Men+,61,21.0
2015,Northwest Territories,25 to 29 years,Women+,61,22.0
2015,Nunavut,"Total, 15 to 29 years",Total - Gender,62,41.0
2015,Nunavut,"Total, 15 to 29 years",Men+,62,45.0
2015,Nunavut,"Total, 15 to 29 years",Women+,62,36.0
2015,Nunavut,15 to 19 years,Total - Gender,62,29.0
2015,Nunavut,15 to 19 years,Men+,62,
2015,Nunavut,15 to 19 years,Women+,62,25.0
2015,Nunavut,15 to 24 years,Total - Gender,62,38.0
2015,Nunavut,15 to 24 years,Men+,62,43.0
2015,Nunavut,15 to 24 years,Women+,62,33.0
2015,Nunavut,18 to 24 years,Total - Gender,62,48.0
2015,Nunavut,18 to 24 years,Men+,62,53.0
2015,Nunavut,18 to 24 years,Women+,62,43.0
2015,Nunavut,20 to 24 years,Total - Gender,62,50.0
2015,Nunavut,20 to 24 years,Men+,62,54.0
2015,Nunavut,20 to 24 years,Women+,62,45.0
2015,Nunavut,25 to 29 years,Total - Gender,62,46.0
2015,Nunavut,25 to 29 years,Men+,62,47.0
2015,Nunavut,25 to 29 years,Women+,62,45.0
2016,Canada,"Total, 15 to 29 years",Men+,,13.0
2016,Canada,"Total, 15 to 29 years",Women+,,12.0
2016,Canada,15 to 19 years,Total - Gender,,6.0
2016,Canada,15 to 19 years,Men+,,7.0
2016,Canada,15 to 19 years,Women+,,5.0
2016,Canada,15 to 24 years,Total - Gender,,11.0
2016,Canada,15 to 24 years,Men+,,12.0
2016,Canada,15 to 24 years,Women+,,9.0
2016,Canada,18 to 24 years,Total - Gender,,13.0
2016,Canada,18 to 24 years,Men+,,15.0
2016,Canada,18 to 24 years,Women+,,11.0
2016,Canada,20 to 24 years,Total - Gender,,14.0
2016,Canada,20 to 24 years,Men+,,16.0
2016,Canada,20 to 24 years,Women+,,12.0
2016,Canada,25 to 29 years,Total - Gender,,17.0
2016,Canada,25 to 29 years,Men+,,16.0
2016,Canada,25 to 29 years,Women+,,17.0
2016,Newfoundland and Labrador,"Total, 15 to 29 years",Total - Gender,10,18.0
2016,Newfoundland and Labrador,"Total, 15 to 29 years",Men+,10,21.0
2016,Newfoundland and Labrador,"Total, 15 to 29 years",Women+,10,14.0
2016,Newfoundland and Labrador,15 to 19 years,Total - Gender,10,6.0
2016,Newfoundland and Labrador,15 to 19 years,Men+,10,7.0
2016,Newfoundland and Labrador,15 to 19 years,Women+,10,
2016,Newfoundland and Labrador,15 to 24 years,Total - Gender,10,14.0
2016,Newfoundland and Labrador,15 to 24 years,Men+,10,18.0
2016,Newfoundland and Labrador,15 to 24 years,Women+,10,10.0
2016,Newfoundland and Labrador,18 to 24 years,Total - Gender,10,20.0
2016,Newfoundland and Labrador,18 to 24 years,Men+,10,26.0
2016,Newfoundland and Labrador,18 to 24 years,Women+,10,14.0
2016,Newfoundland and Labrador,20 to 24 years,Total - Gender,10,23.0
2016,Newfoundland and Labrador,20 to 24 years,Men+,10,29.0
2016,Newfoundland and Labrador,20 to 24 years,Women+,10,16.0
2016,Newfoundland and Labrador,25 to 29 years,Total - Gender,10,24.0
2016,Newfoundland and Labrador,25 to 29 years,Men+,10,28.0
2016,Newfoundland and Labrador,25 to 29 years,Women+,10,21.0
2016,Prince Edward Island,"Total, 15 to 29 years",Total - Gender,11,14.0
2016,Prince Edward Island,"Total, 15 to 29 years",Men+,11,18.0
2016,Prince Edward Island,"Total, 15 to 29 years",Women+,11,11.0
2016,Prince Edward Island,15 to 19 years,Total - Gender,11,6.0
2016,Prince Edward Island,15 to 19 years,Men+,11,9.0
2016,Prince Edward Island,15 to 19 years,Women+,11,
2016,Prince Edward Island,15 to 24 years,Total - Gender,11,13.0
2016,Prince Edward Island,15 to 24 years,Men+,11,16.0
2016,Prince Edward Island,15 to 24 years,Women+,11,9.0
2016,Prince Edward Island,18 to 24 years,Total - Gender,11,17.0
2016,Prince Edward Island,18 to 24 years,Men+,11,21.0
2016,Prince Edward Island,18 to 24 years,Women+,11,13.0
2016,Prince Edward Island,20 to 24 years,Total - Gender,11,19.0
2016,Prince Edward Island,20 to 24 years,Men+,11,23.0
2016,Prince Edward Island,20 to 24 years,Women+,11,16.0
2016,Prince Edward Island,25 to 29 years,Total - Gender,11,18.0
2016,Prince Edward Island,25 to 29 years,Men+,11,21.0
2016,Prince Edward Island,25 to 29 years,Women+,11,15.0
2016,Nova Scotia,"Total, 15 to 29 years",Total - Gender,12,14.0
2016,Nova Scotia,"Total, 15 to 29 years",Men+,12,16.0
2016,Nova Scotia,"Total, 15 to 29 years",Women+,12,11.0
2016,Nova Scotia,15 to 19 years,Total - Gender,12,8.0
2016,Nova Scotia,15 to 19 years,Men+,12,9.0
2016,Nova Scotia,15 to 19 years,Women+,12,7.0
2016,Nova Scotia,15 to 24 years,Total - Gender,12,11.0
2016,Nova Scotia,15 to 24 years,Men+,12,13.0
2016,Nova Scotia,15 to 24 years,Women+,12,10.0
2016,Nova Scotia,18 to 24 years,Total - Gender,12,13.0
2016,Nova Scotia,18 to 24 years,Men+,12,15.0
2016,Nova Scotia,18 to 24 years,Women+,12,12.0
2016,Nova Scotia,20 to 24 years,Total - Gender,12,14.0
2016,Nova Scotia,20 to 24 years,Men+,12,16.0
2016,Nova Scotia,20 to 24 years,Women+,12,12.0
2016,Nova Scotia,25 to 29 years,Total - Gender,12,18.0
2016,Nova Scotia,25 to 29 years,Men+,12,22.0
2016,Nova Scotia,25 to 29 years,Women+,12,14.0
2016,New Brunswick,"Total, 15 to 29 years",Total - Gender,13,16.0
2016,New Brunswick,"Total, 15 to 29 years",Men+,13,17.0
2016,New Brunswick,"Total, 15 to 29 years",Women+,13,16.0
2016,New Brunswick,15 to 19 years,Total - Gender,13,7.0
2016,New Brunswick,15 to 19 years,Men+,13,8.0
2016,New Brunswick,15 to 19 years,Women+,13,6.0
2016,New Brunswick,15 to 24 years,Total - Gender,13,15.0
2016,New Brunswick,15 to 24 years,Men+,13,16.0
2016,New Brunswick,15 to 24 years,Women+,13,14.0
2016,New Brunswick,18 to 24 years,Total - Gender,13,20.0
2016,New Brunswick,18 to 24 years,Men+,13,22.0
2016,New Brunswick,18 to 24 years,Women+,13,19.0
2016,New Brunswick,20 to 24 years,Total - Gender,13,23.0
2016,New Brunswick,20 to 24 years,Men+,13,24.0
2016,New Brunswick,20 to 24 years,Women+,13,22.0
2016,New Brunswick,25 to 29 years,Total - Gender,13,19.0
2016,New Brunswick,25 to 29 years,Men+,13,19.0
2016,New Brunswick,25 to 29 years,Women+,13,18.0
2016,Quebec,"Total, 15 to 29 years",Total - Gender,24,13.0
2016,Quebec,"Total, 15 to 29 years",Men+,24,15.0
2016,Quebec,"Total, 15 to 29 years",Women+,24,11.0
2016,Quebec,15 to 19 years,Total - Gender,24,7.0
2016,Quebec,15 to 19 years,Men+,24,8.0
2016,Quebec,15 to 19 years,Women+,24,6.0
2016,Quebec,15 to 24 years,Total - Gender,24,11.0
2016,Quebec,15 to 24 years,Men+,24,14.0
2016,Quebec,15 to 24 years,Women+,24,8.0
2016,Quebec,18 to 24 years,Total - Gender,24,13.0
2016,Quebec,18 to 24 years,Men+,24,17.0
2016,Quebec,18 to 24 years,Women+,24,9.0
2016,Quebec,20 to 24 years,Total - Gender,24,14.0
2016,Quebec,20 to 24 years,Men+,24,19.0
2016,Quebec,20 to 24 years,Women+,24,9.0
2016,Quebec,25 to 29 years,Total - Gender,24,17.0
2016,Quebec,25 to 29 years,Men+,24,17.0
2016,Quebec,25 to 29 years,Women+,24,17.0
2016,Ontario,"Total, 15 to 29 years",Total - Gender,35,12.0
2016,Ontario,"Total, 15 to 29 years",Men+,35,13.0
2016,Ontario,"Total, 15 to 29 years",Women+,35,11.0
2016,Ontario,15 to 19 years,Total - Gender,35,5.0
2016,Ontario,15 to 19 years,Men+,35,6.0
2016,Ontario,15 to 19 years,Women+,35,4.0
2016,Ontario,15 to 24 years,Total - Gender,35,10.0
2016,Ontario,15 to 24 years,Men+,35,11.0
2016,Ontario,15 to 24 years,Women+,35,9.0
2016,Ontario,18 to 24 years,Total - Gender,35,13.0
2016,Ontario,18 to 24 years,Men+,35,14.0
2016,Ontario,18 to 24 years,Women+,35,11.0
2016,Ontario,20 to 24 years,Total - Gender,35,14.0
2016,Ontario,20 to 24 years,Men+,35,15.0
2016,Ontario,20 to 24 years,Women+,35,13.0
2016,Ontario,25 to 29 years,Total - Gender,35,16.0
2016,Ontario,25 to 29 years,Men+,35,16.0
2016,Ontario,25 to 29 years,Women+,35,16.0
2016,Manitoba,"Total, 15 to 29 years",Total - Gender,46,13.0
2016,Manitoba,"Total, 15 to 29 years",Men+,46,13.0
2016,Manitoba,"Total, 15 to 29 years",Women+,46,14.0
2016,Manitoba,15 to 19 years,Total - Gender,46,7.0
2016,Manitoba,15 to 19 years,Men+,46,7.0
2016,Manitoba,15 to 19 years,Women+,46,6.0
2016,Manitoba,15 to 24 years,Total - Gender,46,11.0
2016,Manitoba,15 to 24 years,Men+,46,11.0
2016,Manitoba,15 to 24 years,Women+,46,11.0
2016,Manitoba,18 to 24 years,Total - Gender,46,15.0
2016,Manitoba,18 to 24 years,Men+,46,15.0
2016,Manitoba,18 to 24 years,Women+,46,14.0
2016,Manitoba,20 to 24 years,Total - Gender,46,16.0
2016,Manitoba,20 to 24 years,Men+,46,15.0
2016,Manitoba,20 to 24 years,Women+,46,16.0
2016,Manitoba,25 to 29 years,Total - Gender,46,16.0
2016,Manitoba,25 to 29 years,Men+,46,15.0
2016,Manitoba,25 to 29 years,Women+,46,17.0
2016,Saskatchewan,"Total, 15 to 29 years",Total - Gender,47,13.0
2016,Saskatchewan,"Total, 15 to 29 years",Men+,47,13.0
2016,Saskatchewan,"Total, 15 to 29 years",Women+,47,13.0
2016,Saskatchewan,15 to 19 years,Total - Gender,47,9.0
2016,Saskatchewan,15 to 19 years,Men+,47,10.0
2016,Saskatchewan,15 to 19 years,Women+,47,7.0
2016,Saskatchewan,15 to 24 years,Total - Gender,47,12.0
2016,Saskatchewan,15 to 24 years,Men+,47,13.0
2016,Saskatchewan,15 to 24 years,Women+,47,10.0
2016,Saskatchewan,18 to 24 years,Total - Gender,47,15.0
2016,Saskatchewan,18 to 24 years,Men+,47,16.0
2016,Saskatchewan,18 to 24 years,Women+,47,13.0
2016,Saskatchewan,20 to 24 years,Total - Gender,47,14.0
2016,Saskatchewan,20 to 24 years,Men+,47,16.0
2016,Saskatchewan,20 to 24 years,Women+,47,12.0
2016,Saskatchewan,25 to 29 years,Total - Gender,47,15.0
2016,Saskatchewan,25 to 29 years,Men+,47,12.0
2016,Saskatchewan,25 to 29 years,Women+,47,18.0
2016,Alberta,"Total, 15 to 29 years",Total - Gender,48,13.0
2016,Alberta,"Total, 15 to 29 years",Men+,48,13.0
2016,Alberta,"Total, 15 to 29 years",Women+,48,14.0
2016,Alberta,15 to 19 years,Total - Gender,48,6.0
2016,Alberta,15 to 19 years,Men+,48,7.0
2016,Alberta,15 to 19 years,Women+,48,4.0
2016,Alberta,15 to 24 years,Total - Gender,48,11.0
2016,Alberta,15 to 24 years,Men+,48,12.0
2016,Alberta,15 to 24 years,Women+,48,9.0
2016,Alberta,18 to 24 years,Total - Gender,48,14.0
2016,Alberta,18 to 24 years,Men+,48,16.0
2016,Alberta,18 to 24 years,Women+,48,13.0
2016,Alberta,20 to 24 years,Total - Gender,48,15.0
2016,Alberta,20 to 24 years,Men+,48,16.0
2016,Alberta,20 to 24 years,Women+,48,14.0
2016,Alberta,25 to 29 years,Total - Gender,48,17.0
2016,Alberta,25 to 29 years,Men+,48,13.0
2016,Alberta,25 to 29 years,Women+,48,21.0
2016,British Columbia,"Total, 15 to 29 years",Total - Gender,59,12.0
2016,British Columbia,"Total, 15 to 29 years",Men+,59,13.0
2016,British Columbia,"Total, 15 to 29 years",Women+,59,11.0
2016,British Columbia,15 to 19 years,Total - Gender,59,7.0
2016,British Columbia,15 to 19 years,Men+,59,8.0
2016,British Columbia,15 to 19 years,Women+,59,6.0
2016,British Columbia,15 to 24 years,Total - Gender,59,10.0
2016,British Columbia,15 to 24 years,Men+,59,11.0
2016,British Columbia,15 to 24 years,Women+,59,8.0
2016,British Columbia,18 to 24 years,Total - Gender,59,12.0
2016,British Columbia,18 to 24 years,Men+,59,14.0
2016,British Columbia,18 to 24 years,Women+,59,10.0
2016,British Columbia,20 to 24 years,Total - Gender,59,12.0
2016,British Columbia,20 to 24 years,Men+,59,14.0
2016,British Columbia,20 to 24 years,Women+,59,11.0
2016,British Columbia,25 to 29 years,Total - Gender,59,16.0
2016,British Columbia,25 to 29 years,Men+,59,15.0
2016,British Columbia,25 to 29 years,Women+,59,17.0
2016,Yukon,"Total, 15 to 29 years",Total - Gender,60,15.0
2016,Yukon,"Total, 15 to 29 years",Men+,60,15.0
2016,Yukon,"Total, 15 to 29 years",Women+,60,15.0
2016,Yukon,15 to 19 years,Total - Gender,60,
2016,Yukon,15 to 19 years,Men+,60,
2016,Yukon,15 to 19 years,Women+,60,
2016,Yukon,15 to 24 years,Total - Gender,60,13.0
2016,Yukon,15 to 24 years,Men+,60,14.0
2016,Yukon,15 to 24 years,Women+,60,12.0
2016,Yukon,18 to 24 years,Total - Gender,60,18.0
2016,Yukon,18 to 24 years,Men+,60,20.0
2016,Yukon,18 to 24 years,Women+,60,16.0
2016,Yukon,20 to 24 years,Total - Gender,60,20.0
2016,Yukon,20 to 24 years,Men+,60,20.0
2016,Yukon,20 to 24 years,Women+,60,
2016,Yukon,25 to 29 years,Total - Gender,60,18.0
2016,Yukon,25 to 29 years,Men+,60,17.0
2016,Yukon,25 to 29 years,Women+,60,19.0
2016,Northwest Territories,"Total, 15 to 29 years",Total - Gender,61,20.0
2016,Northwest Territories,"Total, 15 to 29 years",Men+,61,22.0
2016,Northwest Territories,"Total, 15 to 29 years",Women+,61,18.0
2016,Northwest Territories,15 to 19 years,Total - Gender,61,11.0
2016,Northwest Territories,15 to 19 years,Men+,61,
