Year,Units,Geography,Offences,Age of accused,Sex of accused,Value
2017/2018,Adult criminal courts,Canada,Total offences,35 to 44 years,Females,132.0
2018/2019,Adult criminal courts,Canada,Total offences,35 to 44 years,Females,133.0
2014/2015,Adult criminal courts,Canada,Total offences,35 to 44 years,Sex unknown,149.0
2015/2016,Adult criminal courts,Canada,Total offences,35 to 44 years,Sex unknown,155.0
2016/2017,Adult criminal courts,Canada,Total offences,35 to 44 years,Sex unknown,142.0
2017/2018,Adult criminal courts,Canada,Total offences,35 to 44 years,Sex unknown,131.0
2018/2019,Adult criminal courts,Canada,Total offences,35 to 44 years,Sex unknown,134.0
2014/2015,Adult criminal courts,Canada,Total offences,45 to 54 years,"Total, sex of accused",120.0
2015/2016,Adult criminal courts,Canada,Total offences,45 to 54 years,"Total, sex of accused",123.0
2016/2017,Adult criminal courts,Canada,Total offences,45 to 54 years,"Total, sex of accused",137.0
2017/2018,Adult criminal courts,Canada,Total offences,45 to 54 years,"Total, sex of accused",139.0
2018/2019,Adult criminal courts,Canada,Total offences,45 to 54 years,"Total, sex of accused",138.0
2014/2015,Adult criminal courts,Canada,Total offences,45 to 54 years,Males,121.0
2015/2016,Adult criminal courts,Canada,Total offences,45 to 54 years,Males,123.0
2016/2017,Adult criminal courts,Canada,Total offences,45 to 54 years,Males,139.0
2017/2018,Adult criminal courts,Canada,Total offences,45 to 54 years,Males,141.0
2018/2019,Adult criminal courts,Canada,Total offences,45 to 54 years,Males,140.0
2014/2015,Adult criminal courts,Canada,Total offences,45 to 54 years,Females,107.0
2015/2016,Adult criminal courts,Canada,Total offences,45 to 54 years,Females,118.0
2016/2017,Adult criminal courts,Canada,Total offences,45 to 54 years,Females,125.0
2017/2018,Adult criminal courts,Canada,Total offences,45 to 54 years,Females,129.0
2018/2019,Adult criminal courts,Canada,Total offences,45 to 54 years,Females,132.0
2014/2015,Adult criminal courts,Canada,Total offences,45 to 54 years,Sex unknown,147.0
2015/2016,Adult criminal courts,Canada,Total offences,45 to 54 years,Sex unknown,148.0
2016/2017,Adult criminal courts,Canada,Total offences,45 to 54 years,Sex unknown,160.0
2017/2018,Adult criminal courts,Canada,Total offences,45 to 54 years,Sex unknown,135.0
2018/2019,Adult criminal courts,Canada,Total offences,45 to 54 years,Sex unknown,140.0
2014/2015,Adult criminal courts,Canada,Total offences,55 years and over,"Total, sex of accused",107.0
2015/2016,Adult criminal courts,Canada,Total offences,55 years and over,"Total, sex of accused",113.0
2016/2017,Adult criminal courts,Canada,Total offences,55 years and over,"Total, sex of accused",120.0
2017/2018,Adult criminal courts,Canada,Total offences,55 years and over,"Total, sex of accused",120.0
2018/2019,Adult criminal courts,Canada,Total offences,55 years and over,"Total, sex of accused",120.0
2014/2015,Adult criminal courts,Canada,Total offences,55 years and over,Males,111.0
2015/2016,Adult criminal courts,Canada,Total offences,55 years and over,Males,116.0
2016/2017,Adult criminal courts,Canada,Total offences,55 years and over,Males,124.0
2017/2018,Adult criminal courts,Canada,Total offences,55 years and over,Males,121.0
2018/2019,Adult criminal courts,Canada,Total offences,55 years and over,Males,122.0
2014/2015,Adult criminal courts,Canada,Total offences,55 years and over,Females,91.0
2015/2016,Adult criminal courts,Canada,Total offences,55 years and over,Females,85.0
2016/2017,Adult criminal courts,Canada,Total offences,55 years and over,Females,96.0
2017/2018,Adult criminal courts,Canada,Total offences,55 years and over,Females,99.0
2018/2019,Adult criminal courts,Canada,Total offences,55 years and over,Females,101.0
2014/2015,Adult criminal courts,Canada,Total offences,55 years and over,Sex unknown,138.0
2015/2016,Adult criminal courts,Canada,Total offences,55 years and over,Sex unknown,157.0
2016/2017,Adult criminal courts,Canada,Total offences,55 years and over,Sex unknown,162.0
2017/2018,Adult criminal courts,Canada,Total offences,55 years and over,Sex unknown,134.0
2018/2019,Adult criminal courts,Canada,Total offences,55 years and over,Sex unknown,124.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused","Total, sex of accused",122.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused","Total, sex of accused",125.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused","Total, sex of accused",134.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused","Total, sex of accused",136.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused","Total, sex of accused",138.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Males,124.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Males,126.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Males,136.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Males,140.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Males,141.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Females,108.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Females,113.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Females,122.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Females,126.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Females,129.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Company,171.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Company,98.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Company,196.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Company,121.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Company,129.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Sex unknown,149.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Sex unknown,148.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Sex unknown,150.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Sex unknown,139.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Sex unknown,136.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,"Total, sex of accused",129.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,"Total, sex of accused",132.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,"Total, sex of accused",143.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,"Total, sex of accused",148.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,"Total, sex of accused",151.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Males,132.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Males,134.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Males,148.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Males,153.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Males,156.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Females,113.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Females,113.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Females,127.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Females,132.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Females,134.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Sex unknown,155.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Sex unknown,150.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Sex unknown,159.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Sex unknown,151.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Sex unknown,150.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,"Total, sex of accused",120.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,"Total, sex of accused",122.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,"Total, sex of accused",131.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,"Total, sex of accused",133.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,"Total, sex of accused",135.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Males,120.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Males,123.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Males,132.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Males,134.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Males,137.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Females,109.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Females,114.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Females,125.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Females,127.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Females,133.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Sex unknown,145.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Sex unknown,145.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Sex unknown,145.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Sex unknown,133.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Sex unknown,134.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,"Total, sex of accused",122.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,"Total, sex of accused",124.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,"Total, sex of accused",132.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,"Total, sex of accused",134.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,"Total, sex of accused",134.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Males,122.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Males,123.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Males,134.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Males,135.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Males,135.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Females,113.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Females,116.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Females,125.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Females,127.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Females,130.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Sex unknown,151.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Sex unknown,152.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Sex unknown,139.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Sex unknown,131.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Sex unknown,134.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,"Total, sex of accused",120.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,"Total, sex of accused",123.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,"Total, sex of accused",135.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,"Total, sex of accused",140.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,"Total, sex of accused",140.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Males,123.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Males,124.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Males,139.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Males,143.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Males,141.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Females,105.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Females,113.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Females,120.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Females,127.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Females,129.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Sex unknown,149.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Sex unknown,147.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Sex unknown,156.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Sex unknown,135.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Sex unknown,141.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,55 years and over,"Total, sex of accused",113.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,55 years and over,"Total, sex of accused",114.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,55 years and over,"Total, sex of accused",124.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,55 years and over,"Total, sex of accused",126.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,55 years and over,"Total, sex of accused",126.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Males,117.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Males,120.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Males,128.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Males,131.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Males,131.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Females,86.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Females,83.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Females,93.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Females,99.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Females,102.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Sex unknown,148.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Sex unknown,159.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Sex unknown,162.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Sex unknown,143.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Sex unknown,127.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused","Total, sex of accused",174.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused","Total, sex of accused",173.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused","Total, sex of accused",183.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused","Total, sex of accused",183.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused","Total, sex of accused",178.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Males,178.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Males,177.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Males,189.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Males,190.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Males,184.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Females,143.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Females,145.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Females,155.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Females,154.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Females,155.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Company,247.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Company,97.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Company,419.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Company,479.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Company,162.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Sex unknown,199.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Sex unknown,198.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Sex unknown,190.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Sex unknown,180.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Sex unknown,175.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,"Total, sex of accused",194.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,"Total, sex of accused",192.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,"Total, sex of accused",206.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,"Total, sex of accused",206.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,"Total, sex of accused",203.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Males,203.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Males,200.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Males,218.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Males,217.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Males,216.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Females,157.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Females,154.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Females,167.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Females,172.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Females,163.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Sex unknown,220.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Sex unknown,221.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Sex unknown,204.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Sex unknown,199.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Sex unknown,194.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,"Total, sex of accused",171.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,"Total, sex of accused",172.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,"Total, sex of accused",179.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,"Total, sex of accused",181.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,"Total, sex of accused",178.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Males,176.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Males,176.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Males,184.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Males,189.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Males,185.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Females,142.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Females,148.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Females,155.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Females,154.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Females,157.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Sex unknown,197.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Sex unknown,198.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Sex unknown,180.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Sex unknown,175.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Sex unknown,172.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,"Total, sex of accused",169.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,"Total, sex of accused",169.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,"Total, sex of accused",176.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,"Total, sex of accused",177.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,"Total, sex of accused",170.0
