Year,Geography,Population,Gender,Age group,GeoCode,Value
2015,Newfoundland and Labrador,Total population,Total - Gender,25 to 44 years,10,10.6
2015,Newfoundland and Labrador,Total population,Total - Gender,45 to 64 years,10,14.2
2015,Newfoundland and Labrador,Total population,Total - Gender,45 years and over,10,14.2
2015,Newfoundland and Labrador,Total population,Total - Gender,25 to 54 years,10,11.3
2015,Newfoundland and Labrador,Total population,Total - Gender,55 years and over,10,16.3
2015,Newfoundland and Labrador,Total population,Total - Gender,15 to 64 years,10,13.1
2015,Newfoundland and Labrador,Total population,Total - Gender,15 to 19 years,10,19.0
2015,Newfoundland and Labrador,Total population,Total - Gender,20 to 24 years,10,14.6
2015,Newfoundland and Labrador,Total population,Total - Gender,25 to 29 years,10,11.0
2015,Newfoundland and Labrador,Total population,Total - Gender,30 to 34 years,10,10.6
2015,Newfoundland and Labrador,Total population,Total - Gender,35 to 39 years,10,9.9
2015,Newfoundland and Labrador,Total population,Total - Gender,40 to 44 years,10,11.0
2015,Newfoundland and Labrador,Total population,Total - Gender,45 to 49 years,10,11.2
2015,Newfoundland and Labrador,Total population,Total - Gender,50 to 54 years,10,13.2
2015,Newfoundland and Labrador,Total population,Total - Gender,55 to 59 years,10,14.8
2015,Newfoundland and Labrador,Total population,Total - Gender,60 to 64 years,10,19.2
2015,Newfoundland and Labrador,Total population,Total - Gender,65 years and over,10,14.6
2015,Newfoundland and Labrador,Total population,Total - Gender,65 to 69 years,10,17.1
2015,Newfoundland and Labrador,Total population,Total - Gender,70 years and over,10,
2015,Newfoundland and Labrador,Total population,Men+,15 years and over,10,15.5
2015,Newfoundland and Labrador,Total population,Men+,15 to 24 years,10,20.5
2015,Newfoundland and Labrador,Total population,Men+,25 years and over,10,14.7
2015,Newfoundland and Labrador,Total population,Men+,25 to 44 years,10,12.0
2015,Newfoundland and Labrador,Total population,Men+,45 to 64 years,10,16.7
2015,Newfoundland and Labrador,Total population,Men+,45 years and over,10,16.9
2015,Newfoundland and Labrador,Total population,Men+,25 to 54 years,10,13.3
2015,Newfoundland and Labrador,Total population,Men+,55 years and over,10,18.8
2015,Newfoundland and Labrador,Total population,Men+,15 to 64 years,10,15.4
2015,Newfoundland and Labrador,Total population,Men+,15 to 19 years,10,23.9
2015,Newfoundland and Labrador,Total population,Men+,20 to 24 years,10,18.7
2015,Newfoundland and Labrador,Total population,Men+,25 to 29 years,10,11.9
2015,Newfoundland and Labrador,Total population,Men+,30 to 34 years,10,12.2
2015,Newfoundland and Labrador,Total population,Men+,35 to 39 years,10,11.6
2015,Newfoundland and Labrador,Total population,Men+,40 to 44 years,10,12.9
2015,Newfoundland and Labrador,Total population,Men+,45 to 49 years,10,14.0
2015,Newfoundland and Labrador,Total population,Men+,50 to 54 years,10,16.0
2015,Newfoundland and Labrador,Total population,Men+,55 to 59 years,10,17.1
2015,Newfoundland and Labrador,Total population,Men+,60 to 64 years,10,21.2
2015,Newfoundland and Labrador,Total population,Men+,65 years and over,10,
2015,Newfoundland and Labrador,Total population,Men+,65 to 69 years,10,
2015,Newfoundland and Labrador,Total population,Men+,70 years and over,10,
2015,Newfoundland and Labrador,Total population,Women+,15 years and over,10,10.4
2015,Newfoundland and Labrador,Total population,Women+,15 to 24 years,10,12.0
2015,Newfoundland and Labrador,Total population,Women+,25 years and over,10,10.1
2015,Newfoundland and Labrador,Total population,Women+,25 to 44 years,10,9.2
2015,Newfoundland and Labrador,Total population,Women+,45 to 64 years,10,11.1
2015,Newfoundland and Labrador,Total population,Women+,45 years and over,10,11.0
2015,Newfoundland and Labrador,Total population,Women+,25 to 54 years,10,9.2
2015,Newfoundland and Labrador,Total population,Women+,55 years and over,10,12.9
2015,Newfoundland and Labrador,Total population,Women+,15 to 64 years,10,10.4
2015,Newfoundland and Labrador,Total population,Women+,15 to 19 years,10,14.7
2015,Newfoundland and Labrador,Total population,Women+,20 to 24 years,10,10.3
2015,Newfoundland and Labrador,Total population,Women+,25 to 29 years,10,9.9
2015,Newfoundland and Labrador,Total population,Women+,30 to 34 years,10,8.8
2015,Newfoundland and Labrador,Total population,Women+,35 to 39 years,10,8.8
2015,Newfoundland and Labrador,Total population,Women+,40 to 44 years,10,9.8
2015,Newfoundland and Labrador,Total population,Women+,45 to 49 years,10,8.1
2015,Newfoundland and Labrador,Total population,Women+,50 to 54 years,10,10.3
2015,Newfoundland and Labrador,Total population,Women+,55 to 59 years,10,11.9
2015,Newfoundland and Labrador,Total population,Women+,60 to 64 years,10,16.7
2015,Newfoundland and Labrador,Total population,Women+,65 years and over,10,
2015,Newfoundland and Labrador,Total population,Women+,65 to 69 years,10,
2015,Newfoundland and Labrador,Total population,Women+,70 years and over,10,
2015,Prince Edward Island,Total population,Total - Gender,15 years and over,11,10.7
2015,Prince Edward Island,Total population,Total - Gender,15 to 24 years,11,15.3
2015,Prince Edward Island,Total population,Total - Gender,25 years and over,11,9.9
2015,Prince Edward Island,Total population,Total - Gender,25 to 44 years,11,9.9
2015,Prince Edward Island,Total population,Total - Gender,45 to 64 years,11,9.6
2015,Prince Edward Island,Total population,Total - Gender,45 years and over,11,9.8
2015,Prince Edward Island,Total population,Total - Gender,25 to 54 years,11,9.1
2015,Prince Edward Island,Total population,Total - Gender,55 years and over,11,11.9
2015,Prince Edward Island,Total population,Total - Gender,15 to 64 years,11,10.7
2015,Prince Edward Island,Total population,Total - Gender,15 to 19 years,11,19.6
2015,Prince Edward Island,Total population,Total - Gender,20 to 24 years,11,12.3
2015,Prince Edward Island,Total population,Total - Gender,25 to 29 years,11,11.1
2015,Prince Edward Island,Total population,Total - Gender,30 to 34 years,11,9.7
2015,Prince Edward Island,Total population,Total - Gender,35 to 39 years,11,9.6
2015,Prince Edward Island,Total population,Total - Gender,40 to 44 years,11,8.1
2015,Prince Edward Island,Total population,Total - Gender,45 to 49 years,11,8.1
2015,Prince Edward Island,Total population,Total - Gender,50 to 54 years,11,8.3
2015,Prince Edward Island,Total population,Total - Gender,55 to 59 years,11,10.1
2015,Prince Edward Island,Total population,Total - Gender,60 to 64 years,11,13.6
2015,Prince Edward Island,Total population,Total - Gender,65 years and over,11,10.6
2015,Prince Edward Island,Total population,Total - Gender,65 to 69 years,11,12.9
2015,Prince Edward Island,Total population,Total - Gender,70 years and over,11,
2015,Prince Edward Island,Total population,Men+,15 years and over,11,12.0
2015,Prince Edward Island,Total population,Men+,15 to 24 years,11,20.3
2015,Prince Edward Island,Total population,Men+,25 years and over,11,10.5
2015,Prince Edward Island,Total population,Men+,25 to 44 years,11,11.3
2015,Prince Edward Island,Total population,Men+,45 to 64 years,11,9.9
2015,Prince Edward Island,Total population,Men+,45 years and over,11,9.9
2015,Prince Edward Island,Total population,Men+,25 to 54 years,11,10.1
2015,Prince Edward Island,Total population,Men+,55 years and over,11,11.3
2015,Prince Edward Island,Total population,Men+,15 to 64 years,11,12.1
2015,Prince Edward Island,Total population,Men+,15 to 19 years,11,23.1
2015,Prince Edward Island,Total population,Men+,20 to 24 years,11,17.9
2015,Prince Edward Island,Total population,Men+,25 to 29 years,11,10.8
2015,Prince Edward Island,Total population,Men+,30 to 34 years,11,10.8
2015,Prince Edward Island,Total population,Men+,35 to 39 years,11,13.9
2015,Prince Edward Island,Total population,Men+,40 to 44 years,11,9.8
2015,Prince Edward Island,Total population,Men+,45 to 49 years,11,9.1
2015,Prince Edward Island,Total population,Men+,50 to 54 years,11,7.7
2015,Prince Edward Island,Total population,Men+,55 to 59 years,11,9.1
2015,Prince Edward Island,Total population,Men+,60 to 64 years,11,15.6
2015,Prince Edward Island,Total population,Men+,65 years and over,11,
2015,Prince Edward Island,Total population,Men+,65 to 69 years,11,
2015,Prince Edward Island,Total population,Men+,70 years and over,11,
2015,Prince Edward Island,Total population,Women+,15 years and over,11,9.3
2015,Prince Edward Island,Total population,Women+,15 to 24 years,11,10.0
2015,Prince Edward Island,Total population,Women+,25 years and over,11,9.2
2015,Prince Edward Island,Total population,Women+,25 to 44 years,11,8.6
2015,Prince Edward Island,Total population,Women+,45 to 64 years,11,9.5
2015,Prince Edward Island,Total population,Women+,45 years and over,11,9.7
2015,Prince Edward Island,Total population,Women+,25 to 54 years,11,8.5
2015,Prince Edward Island,Total population,Women+,55 years and over,11,11.2
2015,Prince Edward Island,Total population,Women+,15 to 64 years,11,9.2
2015,Prince Edward Island,Total population,Women+,15 to 19 years,11,16.0
2015,Prince Edward Island,Total population,Women+,20 to 24 years,11,5.7
2015,Prince Edward Island,Total population,Women+,25 to 29 years,11,11.4
2015,Prince Edward Island,Total population,Women+,30 to 34 years,11,8.6
2015,Prince Edward Island,Total population,Women+,35 to 39 years,11,5.6
2015,Prince Edward Island,Total population,Women+,40 to 44 years,11,6.7
2015,Prince Edward Island,Total population,Women+,45 to 49 years,11,7.3
2015,Prince Edward Island,Total population,Women+,50 to 54 years,11,8.9
2015,Prince Edward Island,Total population,Women+,55 to 59 years,11,10.9
2015,Prince Edward Island,Total population,Women+,60 to 64 years,11,11.5
2015,Prince Edward Island,Total population,Women+,65 years and over,11,
2015,Prince Edward Island,Total population,Women+,65 to 69 years,11,
2015,Prince Edward Island,Total population,Women+,70 years and over,11,
2015,Nova Scotia,Total population,Total - Gender,15 years and over,12,8.9
2015,Nova Scotia,Total population,Total - Gender,15 to 24 years,12,15.2
2015,Nova Scotia,Total population,Total - Gender,25 years and over,12,7.7
2015,Nova Scotia,Total population,Total - Gender,25 to 44 years,12,7.3
2015,Nova Scotia,Total population,Total - Gender,45 to 64 years,12,8.3
2015,Nova Scotia,Total population,Total - Gender,45 years and over,12,8.2
2015,Nova Scotia,Total population,Total - Gender,25 to 54 years,12,7.5
2015,Nova Scotia,Total population,Total - Gender,55 years and over,12,8.6
2015,Nova Scotia,Total population,Total - Gender,15 to 64 years,12,9.0
2015,Nova Scotia,Total population,Total - Gender,15 to 19 years,12,20.5
2015,Nova Scotia,Total population,Total - Gender,20 to 24 years,12,12.1
2015,Nova Scotia,Total population,Total - Gender,25 to 29 years,12,8.8
2015,Nova Scotia,Total population,Total - Gender,30 to 34 years,12,6.6
2015,Nova Scotia,Total population,Total - Gender,35 to 39 years,12,7.6
2015,Nova Scotia,Total population,Total - Gender,40 to 44 years,12,5.9
2015,Nova Scotia,Total population,Total - Gender,45 to 49 years,12,7.5
2015,Nova Scotia,Total population,Total - Gender,50 to 54 years,12,8.0
2015,Nova Scotia,Total population,Total - Gender,55 to 59 years,12,8.4
2015,Nova Scotia,Total population,Total - Gender,60 to 64 years,12,10.2
2015,Nova Scotia,Total population,Total - Gender,65 years and over,12,6.4
2015,Nova Scotia,Total population,Total - Gender,65 to 69 years,12,8.5
2015,Nova Scotia,Total population,Total - Gender,70 years and over,12,
2015,Nova Scotia,Total population,Men+,15 years and over,12,10.4
2015,Nova Scotia,Total population,Men+,15 to 24 years,12,18.0
2015,Nova Scotia,Total population,Men+,25 years and over,12,9.1
2015,Nova Scotia,Total population,Men+,25 to 44 years,12,8.7
2015,Nova Scotia,Total population,Men+,45 to 64 years,12,9.6
2015,Nova Scotia,Total population,Men+,45 years and over,12,9.4
2015,Nova Scotia,Total population,Men+,25 to 54 years,12,8.7
2015,Nova Scotia,Total population,Men+,55 years and over,12,10.2
2015,Nova Scotia,Total population,Men+,15 to 64 years,12,10.6
2015,Nova Scotia,Total population,Men+,15 to 19 years,12,25.9
2015,Nova Scotia,Total population,Men+,20 to 24 years,12,13.6
2015,Nova Scotia,Total population,Men+,25 to 29 years,12,12.0
2015,Nova Scotia,Total population,Men+,30 to 34 years,12,8.9
2015,Nova Scotia,Total population,Men+,35 to 39 years,12,8.1
2015,Nova Scotia,Total population,Men+,40 to 44 years,12,5.8
2015,Nova Scotia,Total population,Men+,45 to 49 years,12,8.8
2015,Nova Scotia,Total population,Men+,50 to 54 years,12,8.6
2015,Nova Scotia,Total population,Men+,55 to 59 years,12,10.4
2015,Nova Scotia,Total population,Men+,60 to 64 years,12,11.5
2015,Nova Scotia,Total population,Men+,65 years and over,12,
2015,Nova Scotia,Total population,Men+,65 to 69 years,12,
2015,Nova Scotia,Total population,Men+,70 years and over,12,
2015,Nova Scotia,Total population,Women+,15 years and over,12,7.3
2015,Nova Scotia,Total population,Women+,15 to 24 years,12,12.4
2015,Nova Scotia,Total population,Women+,25 years and over,12,6.3
2015,Nova Scotia,Total population,Women+,25 to 44 years,12,5.7
2015,Nova Scotia,Total population,Women+,45 to 64 years,12,7.0
2015,Nova Scotia,Total population,Women+,45 years and over,12,6.9
2015,Nova Scotia,Total population,Women+,25 to 54 years,12,6.2
2015,Nova Scotia,Total population,Women+,55 years and over,12,6.7
2015,Nova Scotia,Total population,Women+,15 to 64 years,12,7.4
2015,Nova Scotia,Total population,Women+,15 to 19 years,12,15.3
2015,Nova Scotia,Total population,Women+,20 to 24 years,12,10.5
2015,Nova Scotia,Total population,Women+,25 to 29 years,12,5.3
2015,Nova Scotia,Total population,Women+,30 to 34 years,12,4.4
2015,Nova Scotia,Total population,Women+,35 to 39 years,12,7.1
2015,Nova Scotia,Total population,Women+,40 to 44 years,12,6.0
2015,Nova Scotia,Total population,Women+,45 to 49 years,12,6.3
2015,Nova Scotia,Total population,Women+,50 to 54 years,12,7.4
2015,Nova Scotia,Total population,Women+,55 to 59 years,12,6.3
2015,Nova Scotia,Total population,Women+,60 to 64 years,12,8.7
2015,Nova Scotia,Total population,Women+,65 years and over,12,
2015,Nova Scotia,Total population,Women+,65 to 69 years,12,
2015,Nova Scotia,Total population,Women+,70 years and over,12,
2015,New Brunswick,Total population,Total - Gender,15 years and over,13,10.1
2015,New Brunswick,Total population,Total - Gender,15 to 24 years,13,17.1
2015,New Brunswick,Total population,Total - Gender,25 years and over,13,8.9
2015,New Brunswick,Total population,Total - Gender,25 to 44 years,13,8.2
2015,New Brunswick,Total population,Total - Gender,45 to 64 years,13,9.7
2015,New Brunswick,Total population,Total - Gender,45 years and over,13,9.5
2015,New Brunswick,Total population,Total - Gender,25 to 54 years,13,8.4
2015,New Brunswick,Total population,Total - Gender,55 years and over,13,10.4
2015,New Brunswick,Total population,Total - Gender,15 to 64 years,13,10.2
2015,New Brunswick,Total population,Total - Gender,15 to 19 years,13,18.4
2015,New Brunswick,Total population,Total - Gender,20 to 24 years,13,15.9
2015,New Brunswick,Total population,Total - Gender,25 to 29 years,13,10.5
2015,New Brunswick,Total population,Total - Gender,30 to 34 years,13,8.7
2015,New Brunswick,Total population,Total - Gender,35 to 39 years,13,7.0
2015,New Brunswick,Total population,Total - Gender,40 to 44 years,13,6.9
2015,New Brunswick,Total population,Total - Gender,45 to 49 years,13,8.0
2015,New Brunswick,Total population,Total - Gender,50 to 54 years,13,9.5
2015,New Brunswick,Total population,Total - Gender,55 to 59 years,13,10.0
2015,New Brunswick,Total population,Total - Gender,60 to 64 years,13,12.9
2015,New Brunswick,Total population,Total - Gender,65 years and over,13,7.2
2015,New Brunswick,Total population,Total - Gender,65 to 69 years,13,9.7
2015,New Brunswick,Total population,Total - Gender,70 years and over,13,
2015,New Brunswick,Total population,Men+,15 years and over,13,12.6
2015,New Brunswick,Total population,Men+,15 to 24 years,13,21.8
2015,New Brunswick,Total population,Men+,25 years and over,13,11.1
2015,New Brunswick,Total population,Men+,25 to 44 years,13,10.2
2015,New Brunswick,Total population,Men+,45 to 64 years,13,12.1
2015,New Brunswick,Total population,Men+,45 years and over,13,11.8
2015,New Brunswick,Total population,Men+,25 to 54 years,13,10.5
2015,New Brunswick,Total population,Men+,55 years and over,13,12.7
2015,New Brunswick,Total population,Men+,15 to 64 years,13,12.7
2015,New Brunswick,Total population,Men+,15 to 19 years,13,22.6
2015,New Brunswick,Total population,Men+,20 to 24 years,13,21.3
2015,New Brunswick,Total population,Men+,25 to 29 years,13,14.0
2015,New Brunswick,Total population,Men+,30 to 34 years,13,10.7
2015,New Brunswick,Total population,Men+,35 to 39 years,13,9.0
2015,New Brunswick,Total population,Men+,40 to 44 years,13,7.7
2015,New Brunswick,Total population,Men+,45 to 49 years,13,9.4
2015,New Brunswick,Total population,Men+,50 to 54 years,13,12.1
2015,New Brunswick,Total population,Men+,55 to 59 years,13,12.1
2015,New Brunswick,Total population,Men+,60 to 64 years,13,15.6
2015,New Brunswick,Total population,Men+,65 years and over,13,
2015,New Brunswick,Total population,Men+,65 to 69 years,13,
2015,New Brunswick,Total population,Men+,70 years and over,13,
2015,New Brunswick,Total population,Women+,15 years and over,13,7.3
2015,New Brunswick,Total population,Women+,15 to 24 years,13,11.8
2015,New Brunswick,Total population,Women+,25 years and over,13,6.6
2015,New Brunswick,Total population,Women+,25 to 44 years,13,6.1
2015,New Brunswick,Total population,Women+,45 to 64 years,13,7.3
2015,New Brunswick,Total population,Women+,45 years and over,13,7.0
2015,New Brunswick,Total population,Women+,25 to 54 years,13,6.3
2015,New Brunswick,Total population,Women+,55 years and over,13,7.5
2015,New Brunswick,Total population,Women+,15 to 64 years,13,7.5
2015,New Brunswick,Total population,Women+,15 to 19 years,13,14.2
2015,New Brunswick,Total population,Women+,20 to 24 years,13,10.3
2015,New Brunswick,Total population,Women+,25 to 29 years,13,6.9
2015,New Brunswick,Total population,Women+,30 to 34 years,13,6.6
2015,New Brunswick,Total population,Women+,35 to 39 years,13,4.9
2015,New Brunswick,Total population,Women+,40 to 44 years,13,6.1
2015,New Brunswick,Total population,Women+,45 to 49 years,13,6.7
2015,New Brunswick,Total population,Women+,50 to 54 years,13,6.5
2015,New Brunswick,Total population,Women+,55 to 59 years,13,7.1
2015,New Brunswick,Total population,Women+,60 to 64 years,13,9.7
2015,New Brunswick,Total population,Women+,65 years and over,13,
2015,New Brunswick,Total population,Women+,65 to 69 years,13,
2015,New Brunswick,Total population,Women+,70 years and over,13,
2015,Quebec,Total population,Total - Gender,15 years and over,24,7.7
2015,Quebec,Total population,Total - Gender,15 to 24 years,24,12.2
2015,Quebec,Total population,Total - Gender,25 years and over,24,6.9
2015,Quebec,Total population,Total - Gender,25 to 44 years,24,7.2
2015,Quebec,Total population,Total - Gender,45 to 64 years,24,6.7
2015,Quebec,Total population,Total - Gender,45 years and over,24,6.6
2015,Quebec,Total population,Total - Gender,25 to 54 years,24,6.7
2015,Quebec,Total population,Total - Gender,55 years and over,24,7.6
2015,Quebec,Total population,Total - Gender,15 to 64 years,24,7.7
2015,Quebec,Total population,Total - Gender,15 to 19 years,24,17.6
2015,Quebec,Total population,Total - Gender,20 to 24 years,24,9.1
2015,Quebec,Total population,Total - Gender,25 to 29 years,24,8.6
2015,Quebec,Total population,Total - Gender,30 to 34 years,24,6.9
2015,Quebec,Total population,Total - Gender,35 to 39 years,24,6.4
2015,Quebec,Total population,Total - Gender,40 to 44 years,24,7.0
2015,Quebec,Total population,Total - Gender,45 to 49 years,24,5.6
2015,Quebec,Total population,Total - Gender,50 to 54 years,24,6.1
2015,Quebec,Total population,Total - Gender,55 to 59 years,24,7.6
2015,Quebec,Total population,Total - Gender,60 to 64 years,24,8.1
2015,Quebec,Total population,Total - Gender,65 years and over,24,6.5
2015,Quebec,Total population,Total - Gender,65 to 69 years,24,7.2
2015,Quebec,Total population,Total - Gender,70 years and over,24,4.9
2015,Quebec,Total population,Men+,15 years and over,24,8.5
2015,Quebec,Total population,Men+,15 to 24 years,24,14.6
2015,Quebec,Total population,Men+,25 years and over,24,7.5
2015,Quebec,Total population,Men+,25 to 44 years,24,7.5
2015,Quebec,Total population,Men+,45 to 64 years,24,7.5
2015,Quebec,Total population,Men+,45 years and over,24,7.5
2015,Quebec,Total population,Men+,25 to 54 years,24,7.3
2015,Quebec,Total population,Men+,55 years and over,24,8.1
2015,Quebec,Total population,Men+,15 to 64 years,24,8.6
2015,Quebec,Total population,Men+,15 to 19 years,24,19.9
2015,Quebec,Total population,Men+,20 to 24 years,24,11.5
2015,Quebec,Total population,Men+,25 to 29 years,24,8.7
2015,Quebec,Total population,Men+,30 to 34 years,24,7.4
2015,Quebec,Total population,Men+,35 to 39 years,24,6.8
2015,Quebec,Total population,Men+,40 to 44 years,24,7.4
2015,Quebec,Total population,Men+,45 to 49 years,24,6.3
2015,Quebec,Total population,Men+,50 to 54 years,24,7.3
2015,Quebec,Total population,Men+,55 to 59 years,24,7.8
2015,Quebec,Total population,Men+,60 to 64 years,24,9.4
2015,Quebec,Total population,Men+,65 years and over,24,6.7
2015,Quebec,Total population,Men+,65 to 69 years,24,7.7
2015,Quebec,Total population,Men+,70 years and over,24,
2015,Quebec,Total population,Women+,15 years and over,24,6.8
2015,Quebec,Total population,Women+,15 to 24 years,24,9.9
2015,Quebec,Total population,Women+,25 years and over,24,6.2
2015,Quebec,Total population,Women+,25 to 44 years,24,6.8
2015,Quebec,Total population,Women+,45 to 64 years,24,5.7
2015,Quebec,Total population,Women+,45 years and over,24,5.7
2015,Quebec,Total population,Women+,25 to 54 years,24,6.1
2015,Quebec,Total population,Women+,55 years and over,24,6.8
2015,Quebec,Total population,Women+,15 to 64 years,24,6.8
2015,Quebec,Total population,Women+,15 to 19 years,24,15.3
2015,Quebec,Total population,Women+,20 to 24 years,24,6.7
2015,Quebec,Total population,Women+,25 to 29 years,24,8.5
2015,Quebec,Total population,Women+,30 to 34 years,24,6.5
2015,Quebec,Total population,Women+,35 to 39 years,24,6.0
2015,Quebec,Total population,Women+,40 to 44 years,24,6.5
2015,Quebec,Total population,Women+,45 to 49 years,24,4.9
2015,Quebec,Total population,Women+,50 to 54 years,24,4.8
2015,Quebec,Total population,Women+,55 to 59 years,24,7.4
2015,Quebec,Total population,Women+,60 to 64 years,24,6.1
2015,Quebec,Total population,Women+,65 years and over,24,6.0
2015,Quebec,Total population,Women+,65 to 69 years,24,6.5
2015,Quebec,Total population,Women+,70 years and over,24,
2015,Ontario,Total population,Total - Gender,15 years and over,35,6.8
2015,Ontario,Total population,Total - Gender,15 to 24 years,35,14.4
2015,Ontario,Total population,Total - Gender,25 years and over,35,5.5
2015,Ontario,Total population,Total - Gender,25 to 44 years,35,6.1
2015,Ontario,Total population,Total - Gender,45 to 64 years,35,5.1
2015,Ontario,Total population,Total - Gender,45 years and over,35,4.9
2015,Ontario,Total population,Total - Gender,25 to 54 years,35,5.6
2015,Ontario,Total population,Total - Gender,55 years and over,35,5.0
2015,Ontario,Total population,Total - Gender,15 to 64 years,35,7.0
2015,Ontario,Total population,Total - Gender,15 to 19 years,35,19.6
2015,Ontario,Total population,Total - Gender,20 to 24 years,35,11.5
2015,Ontario,Total population,Total - Gender,25 to 29 years,35,7.9
2015,Ontario,Total population,Total - Gender,30 to 34 years,35,5.9
2015,Ontario,Total population,Total - Gender,35 to 39 years,35,5.6
2015,Ontario,Total population,Total - Gender,40 to 44 years,35,5.0
2015,Ontario,Total population,Total - Gender,45 to 49 years,35,4.5
2015,Ontario,Total population,Total - Gender,50 to 54 years,35,5.1
2015,Ontario,Total population,Total - Gender,55 to 59 years,35,5.2
2015,Ontario,Total population,Total - Gender,60 to 64 years,35,5.6
2015,Ontario,Total population,Total - Gender,65 years and over,35,3.7
2015,Ontario,Total population,Total - Gender,65 to 69 years,35,4.7
2015,Ontario,Total population,Total - Gender,70 years and over,35,1.7
2015,Ontario,Total population,Men+,15 years and over,35,7.1
2015,Ontario,Total population,Men+,15 to 24 years,35,16.1
2015,Ontario,Total population,Men+,25 years and over,35,5.6
2015,Ontario,Total population,Men+,25 to 44 years,35,6.3
2015,Ontario,Total population,Men+,45 to 64 years,35,5.1
2015,Ontario,Total population,Men+,45 years and over,35,4.9
2015,Ontario,Total population,Men+,25 to 54 years,35,5.8
2015,Ontario,Total population,Men+,55 years and over,35,4.9
