Year,Geography,Violations,GeoCode,Value
2015,Ontario,"Assault, level 2, weapon or bodily harm",35,89.76
2015,Ontario,"Assault, level 1",35,324.98
2015,Ontario,Total robbery,35,55.77
2015,Ontario,Uttering threats,35,109.27
2015,Ontario,Total other violent violations,35,11.14
2015,Manitoba,Total violent Criminal Code violations,46,1820.96
2015,Manitoba,Homicide,46,3.64
2015,Manitoba,Total other violations causing death,46,0.39
2015,Manitoba,Attempted murder,46,2.4
2015,Manitoba,"Sexual assault, level 3, aggravated",46,0.62
2015,Manitoba,"Sexual assault, level 2, weapon or bodily harm",46,2.4
2015,Manitoba,"Sexual assault, level 1",46,102.15
2015,Manitoba,Total sexual violations against children,46,20.43
2015,Manitoba,"Assault, level 3, aggravated",46,30.57
2015,Manitoba,"Assault, level 2, weapon or bodily harm",46,314.42
2015,Manitoba,"Assault, level 1",46,793.98
2015,Manitoba,Total robbery,46,129.08
2015,Manitoba,Uttering threats,46,248.56
2015,Manitoba,Total other violent violations,46,11.92
2015,Saskatchewan,Total violent Criminal Code violations,47,2054.74
2015,Saskatchewan,Homicide,47,3.93
2015,Saskatchewan,Total other violations causing death,47,0.54
2015,Saskatchewan,Attempted murder,47,2.5
2015,Saskatchewan,"Sexual assault, level 3, aggravated",47,0.62
2015,Saskatchewan,"Sexual assault, level 2, weapon or bodily harm",47,1.43
2015,Saskatchewan,"Sexual assault, level 1",47,97.06
2015,Saskatchewan,Total sexual violations against children,47,29.62
2015,Saskatchewan,"Assault, level 3, aggravated",47,32.56
2015,Saskatchewan,"Assault, level 2, weapon or bodily harm",47,344.79
2015,Saskatchewan,"Assault, level 1",47,939.28
2015,Saskatchewan,Total robbery,47,87.6
2015,Saskatchewan,Uttering threats,47,272.35
2015,Saskatchewan,Total other violent violations,47,16.77
2015,Alberta,Total violent Criminal Code violations,48,1316.33
2015,Alberta,Homicide,48,3.21
2015,Alberta,Total other violations causing death,48,0.12
2015,Alberta,Attempted murder,48,1.64
2015,Alberta,"Sexual assault, level 3, aggravated",48,0.17
2015,Alberta,"Sexual assault, level 2, weapon or bodily harm",48,1.09
2015,Alberta,"Sexual assault, level 1",48,67.54
2015,Alberta,Total sexual violations against children,48,14.6
2015,Alberta,"Assault, level 3, aggravated",48,16.7
2015,Alberta,"Assault, level 2, weapon or bodily harm",48,180.12
2015,Alberta,"Assault, level 1",48,558.26
2015,Alberta,Total robbery,48,82.74
2015,Alberta,Uttering threats,48,194.14
2015,Alberta,Total other violent violations,48,11.34
2015,British Columbia,Total violent Criminal Code violations,59,1191.76
2015,British Columbia,Homicide,59,2.03
2015,British Columbia,Total other violations causing death,59,0.38
2015,British Columbia,Attempted murder,59,2.7
2015,British Columbia,"Sexual assault, level 3, aggravated",59,0.4
2015,British Columbia,"Sexual assault, level 2, weapon or bodily harm",59,0.84
2015,British Columbia,"Sexual assault, level 1",59,46.69
2015,British Columbia,Total sexual violations against children,59,13.71
2015,British Columbia,"Assault, level 3, aggravated",59,6.93
2015,British Columbia,"Assault, level 2, weapon or bodily harm",59,144.54
2015,British Columbia,"Assault, level 1",59,466.75
2015,British Columbia,Total robbery,59,76.31
2015,British Columbia,Uttering threats,59,215.27
2015,British Columbia,Total other violent violations,59,10.15
2015,Yukon,Total violent Criminal Code violations,60,4083.31
2015,Yukon,Homicide,60,2.65
2015,Yukon,Total other violations causing death,60,0.0
2015,Yukon,Attempted murder,60,10.61
2015,Yukon,"Sexual assault, level 3, aggravated",60,0.0
2015,Yukon,"Sexual assault, level 2, weapon or bodily harm",60,2.65
2015,Yukon,"Sexual assault, level 1",60,204.3
2015,Yukon,Total sexual violations against children,60,68.98
2015,Yukon,"Assault, level 3, aggravated",60,58.37
2015,Yukon,"Assault, level 2, weapon or bodily harm",60,419.21
2015,Yukon,"Assault, level 1",60,2098.7
2015,Yukon,Total robbery,60,58.37
2015,Yukon,Uttering threats,60,697.8
2015,Yukon,Total other violent violations,60,21.23
2015,Northwest Territories,Total violent Criminal Code violations,61,7685.87
2015,Northwest Territories,Homicide,61,11.3
2015,Northwest Territories,Total other violations causing death,61,0.0
2015,Northwest Territories,Attempted murder,61,6.78
2015,Northwest Territories,"Sexual assault, level 3, aggravated",61,2.26
2015,Northwest Territories,"Sexual assault, level 2, weapon or bodily harm",61,13.56
2015,Northwest Territories,"Sexual assault, level 1",61,363.95
2015,Northwest Territories,Total sexual violations against children,61,90.42
2015,Northwest Territories,"Assault, level 3, aggravated",61,72.34
2015,Northwest Territories,"Assault, level 2, weapon or bodily harm",61,849.97
2015,Northwest Territories,"Assault, level 1",61,4265.66
2015,Northwest Territories,Total robbery,61,61.03
2015,Northwest Territories,Uttering threats,61,1118.97
2015,Northwest Territories,Total other violent violations,61,36.17
2015,Nunavut,Total violent Criminal Code violations,62,8054.7
2015,Nunavut,Homicide,62,5.48
2015,Nunavut,Total other violations causing death,62,0.0
2015,Nunavut,Attempted murder,62,2.74
2015,Nunavut,"Sexual assault, level 3, aggravated",62,2.74
2015,Nunavut,"Sexual assault, level 2, weapon or bodily harm",62,5.48
2015,Nunavut,"Sexual assault, level 1",62,441.24
2015,Nunavut,Total sexual violations against children,62,134.29
2015,Nunavut,"Assault, level 3, aggravated",62,65.78
2015,Nunavut,"Assault, level 2, weapon or bodily harm",62,951.0
2015,Nunavut,"Assault, level 1",62,4138.35
2015,Nunavut,Total robbery,62,52.07
2015,Nunavut,Uttering threats,62,1189.43
2015,Nunavut,Total other violent violations,62,74.0
2016,Canada,Homicide,,1.69
2016,Canada,Total other violations causing death,,0.3
2016,Canada,Attempted murder,,2.18
2016,Canada,"Sexual assault, level 3, aggravated",,0.31
2016,Canada,"Sexual assault, level 2, weapon or bodily harm",,1.09
2016,Canada,"Sexual assault, level 1",,58.35
2016,Canada,Total sexual violations against children,,20.31
2016,Canada,"Assault, level 3, aggravated",,9.6
2016,Canada,"Assault, level 2, weapon or bodily harm",,138.31
2016,Canada,"Assault, level 1",,441.95
2016,Canada,Total robbery,,60.81
2016,Canada,Uttering threats,,168.67
2016,Canada,Total other violent violations,,14.56
2016,Newfoundland and Labrador,Total violent Criminal Code violations,10,1326.89
2016,Newfoundland and Labrador,Homicide,10,1.32
2016,Newfoundland and Labrador,Total other violations causing death,10,0.38
2016,Newfoundland and Labrador,Attempted murder,10,1.51
2016,Newfoundland and Labrador,"Sexual assault, level 3, aggravated",10,0.0
2016,Newfoundland and Labrador,"Sexual assault, level 2, weapon or bodily harm",10,0.76
2016,Newfoundland and Labrador,"Sexual assault, level 1",10,56.84
2016,Newfoundland and Labrador,Total sexual violations against children,10,24.17
2016,Newfoundland and Labrador,"Assault, level 3, aggravated",10,9.25
2016,Newfoundland and Labrador,"Assault, level 2, weapon or bodily harm",10,106.12
2016,Newfoundland and Labrador,"Assault, level 1",10,577.62
2016,Newfoundland and Labrador,Total robbery,10,42.11
2016,Newfoundland and Labrador,Uttering threats,10,329.5
2016,Newfoundland and Labrador,Total other violent violations,10,8.31
2016,Prince Edward Island,Total violent Criminal Code violations,11,800.59
2016,Prince Edward Island,Homicide,11,0.0
2016,Prince Edward Island,Total other violations causing death,11,0.0
2016,Prince Edward Island,Attempted murder,11,0.0
2016,Prince Edward Island,"Sexual assault, level 3, aggravated",11,0.0
2016,Prince Edward Island,"Sexual assault, level 2, weapon or bodily harm",11,0.68
2016,Prince Edward Island,"Sexual assault, level 1",11,48.34
2016,Prince Edward Island,Total sexual violations against children,11,23.15
2016,Prince Edward Island,"Assault, level 3, aggravated",11,4.08
2016,Prince Edward Island,"Assault, level 2, weapon or bodily harm",11,66.04
2016,Prince Edward Island,"Assault, level 1",11,335.62
2016,Prince Edward Island,Total robbery,11,12.25
2016,Prince Edward Island,Uttering threats,11,153.86
2016,Prince Edward Island,Total other violent violations,11,4.08
2016,Nova Scotia,Total violent Criminal Code violations,12,1164.07
2016,Nova Scotia,Homicide,12,1.38
2016,Nova Scotia,Total other violations causing death,12,0.32
2016,Nova Scotia,Attempted murder,12,2.97
2016,Nova Scotia,"Sexual assault, level 3, aggravated",12,0.42
2016,Nova Scotia,"Sexual assault, level 2, weapon or bodily harm",12,0.74
2016,Nova Scotia,"Sexual assault, level 1",12,66.07
2016,Nova Scotia,Total sexual violations against children,12,23.22
2016,Nova Scotia,"Assault, level 3, aggravated",12,9.12
2016,Nova Scotia,"Assault, level 2, weapon or bodily harm",12,111.35
2016,Nova Scotia,"Assault, level 1",12,446.14
2016,Nova Scotia,Total robbery,12,28.74
2016,Nova Scotia,Uttering threats,12,244.22
2016,Nova Scotia,Total other violent violations,12,15.8
2016,New Brunswick,Total violent Criminal Code violations,13,1188.23
2016,New Brunswick,Homicide,13,1.44
2016,New Brunswick,Total other violations causing death,13,0.39
2016,New Brunswick,Attempted murder,13,0.92
2016,New Brunswick,"Sexual assault, level 3, aggravated",13,0.13
2016,New Brunswick,"Sexual assault, level 2, weapon or bodily harm",13,0.92
2016,New Brunswick,"Sexual assault, level 1",13,56.07
2016,New Brunswick,Total sexual violations against children,13,23.97
2016,New Brunswick,"Assault, level 3, aggravated",13,6.94
2016,New Brunswick,"Assault, level 2, weapon or bodily harm",13,121.44
2016,New Brunswick,"Assault, level 1",13,496.91
2016,New Brunswick,Total robbery,13,30.26
2016,New Brunswick,Uttering threats,13,256.51
2016,New Brunswick,Total other violent violations,13,12.18
2016,Quebec,Total violent Criminal Code violations,24,1013.7
2016,Quebec,Homicide,24,0.81
2016,Quebec,Total other violations causing death,24,0.3
2016,Quebec,Attempted murder,24,2.3
2016,Quebec,"Sexual assault, level 3, aggravated",24,0.22
2016,Quebec,"Sexual assault, level 2, weapon or bodily harm",24,1.11
2016,Quebec,"Sexual assault, level 1",24,52.7
2016,Quebec,Total sexual violations against children,24,24.97
2016,Quebec,"Assault, level 3, aggravated",24,3.57
2016,Quebec,"Assault, level 2, weapon or bodily harm",24,122.78
2016,Quebec,"Assault, level 1",24,399.15
2016,Quebec,Total robbery,24,45.46
2016,Quebec,Uttering threats,24,185.51
2016,Quebec,Total other violent violations,24,24.61
2016,Ontario,Total violent Criminal Code violations,35,805.83
2016,Ontario,Homicide,35,1.48
2016,Ontario,Total other violations causing death,35,0.26
2016,Ontario,Attempted murder,35,1.88
2016,Ontario,"Sexual assault, level 3, aggravated",35,0.25
2016,Ontario,"Sexual assault, level 2, weapon or bodily harm",35,1.04
2016,Ontario,"Sexual assault, level 1",35,53.57
2016,Ontario,Total sexual violations against children,35,14.61
2016,Ontario,"Assault, level 3, aggravated",35,7.71
2016,Ontario,"Assault, level 2, weapon or bodily harm",35,96.16
2016,Ontario,"Assault, level 1",35,327.9
2016,Ontario,Total robbery,35,59.63
2016,Ontario,Uttering threats,35,105.81
2016,Ontario,Total other violent violations,35,11.27
2016,Manitoba,Total violent Criminal Code violations,46,1949.18
2016,Manitoba,Homicide,46,3.2
2016,Manitoba,Total other violations causing death,46,0.38
2016,Manitoba,Attempted murder,46,3.27
2016,Manitoba,"Sexual assault, level 3, aggravated",46,0.53
2016,Manitoba,"Sexual assault, level 2, weapon or bodily harm",46,2.28
2016,Manitoba,"Sexual assault, level 1",46,105.62
2016,Manitoba,Total sexual violations against children,46,37.9
2016,Manitoba,"Assault, level 3, aggravated",46,35.16
2016,Manitoba,"Assault, level 2, weapon or bodily harm",46,347.3
2016,Manitoba,"Assault, level 1",46,834.08
2016,Manitoba,Total robbery,46,156.91
2016,Manitoba,Uttering threats,46,248.15
2016,Manitoba,Total other violent violations,46,11.87
2016,Saskatchewan,Total violent Criminal Code violations,47,2061.3
2016,Saskatchewan,Homicide,47,4.76
2016,Saskatchewan,Total other violations causing death,47,0.62
2016,Saskatchewan,Attempted murder,47,5.72
2016,Saskatchewan,"Sexual assault, level 3, aggravated",47,1.5
2016,Saskatchewan,"Sexual assault, level 2, weapon or bodily harm",47,1.5
2016,Saskatchewan,"Sexual assault, level 1",47,101.63
2016,Saskatchewan,Total sexual violations against children,47,33.82
2016,Saskatchewan,"Assault, level 3, aggravated",47,36.46
2016,Saskatchewan,"Assault, level 2, weapon or bodily harm",47,340.73
2016,Saskatchewan,"Assault, level 1",47,933.16
2016,Saskatchewan,Total robbery,47,88.86
2016,Saskatchewan,Uttering threats,47,270.19
2016,Saskatchewan,Total other violent violations,47,16.03
2016,Alberta,Total violent Criminal Code violations,48,1282.06
2016,Alberta,Homicide,48,2.76
2016,Alberta,Total other violations causing death,48,0.19
2016,Alberta,Attempted murder,48,1.31
2016,Alberta,"Sexual assault, level 3, aggravated",48,0.24
2016,Alberta,"Sexual assault, level 2, weapon or bodily harm",48,1.22
2016,Alberta,"Sexual assault, level 1",48,64.47
2016,Alberta,Total sexual violations against children,48,19.55
2016,Alberta,"Assault, level 3, aggravated",48,15.18
2016,Alberta,"Assault, level 2, weapon or bodily harm",48,182.94
2016,Alberta,"Assault, level 1",48,545.76
2016,Alberta,Total robbery,48,73.82
2016,Alberta,Uttering threats,48,183.72
2016,Alberta,Total other violent violations,48,12.3
2016,British Columbia,Total violent Criminal Code violations,59,1115.88
2016,British Columbia,Homicide,59,1.81
2016,British Columbia,Total other violations causing death,59,0.39
2016,British Columbia,Attempted murder,59,2.45
2016,British Columbia,"Sexual assault, level 3, aggravated",59,0.39
2016,British Columbia,"Sexual assault, level 2, weapon or bodily harm",59,0.72
2016,British Columbia,"Sexual assault, level 1",59,46.45
2016,British Columbia,Total sexual violations against children,59,16.95
2016,British Columbia,"Assault, level 3, aggravated",59,6.66
2016,British Columbia,"Assault, level 2, weapon or bodily harm",59,139.84
2016,British Columbia,"Assault, level 1",59,431.06
2016,British Columbia,Total robbery,59,61.05
2016,British Columbia,Uttering threats,59,195.36
2016,British Columbia,Total other violent violations,59,9.87
2016,Yukon,Total violent Criminal Code violations,60,4013.07
2016,Yukon,Homicide,60,10.38
2016,Yukon,Total other violations causing death,60,0.0
2016,Yukon,Attempted murder,60,5.19
2016,Yukon,"Sexual assault, level 3, aggravated",60,2.59
2016,Yukon,"Sexual assault, level 2, weapon or bodily harm",60,0.0
2016,Yukon,"Sexual assault, level 1",60,210.12
2016,Yukon,Total sexual violations against children,60,54.48
2016,Yukon,"Assault, level 3, aggravated",60,38.91
2016,Yukon,"Assault, level 2, weapon or bodily harm",60,456.56
2016,Yukon,"Assault, level 1",60,2049.34
2016,Yukon,Total robbery,60,62.26
2016,Yukon,Uttering threats,60,658.9
2016,Yukon,Total other violent violations,60,28.54
2016,Northwest Territories,Total violent Criminal Code violations,61,7809.7
2016,Northwest Territories,Homicide,61,6.72
2016,Northwest Territories,Total other violations causing death,61,0.0
2016,Northwest Territories,Attempted murder,61,0.0
2016,Northwest Territories,"Sexual assault, level 3, aggravated",61,2.24
2016,Northwest Territories,"Sexual assault, level 2, weapon or bodily harm",61,15.69
2016,Northwest Territories,"Sexual assault, level 1",61,293.56
2016,Northwest Territories,Total sexual violations against children,61,85.16
2016,Northwest Territories,"Assault, level 3, aggravated",61,49.3
2016,Northwest Territories,"Assault, level 2, weapon or bodily harm",61,891.9
2016,Northwest Territories,"Assault, level 1",61,4356.4
2016,Northwest Territories,Total robbery,61,69.47
2016,Northwest Territories,Uttering threats,61,1219.07
2016,Northwest Territories,Total other violent violations,61,44.82
2016,Nunavut,Total violent Criminal Code violations,62,8191.14
2016,Nunavut,Homicide,62,2.7
2016,Nunavut,Total other violations causing death,62,0.0
2016,Nunavut,Attempted murder,62,24.34
2016,Nunavut,"Sexual assault, level 3, aggravated",62,0.0
2016,Nunavut,"Sexual assault, level 2, weapon or bodily harm",62,0.0
2016,Nunavut,"Sexual assault, level 1",62,440.79
2016,Nunavut,Total sexual violations against children,62,278.54
2016,Nunavut,"Assault, level 3, aggravated",62,91.94
2016,Nunavut,"Assault, level 2, weapon or bodily harm",62,1046.54
2016,Nunavut,"Assault, level 1",62,4234.84
2016,Nunavut,Total robbery,62,27.04
2016,Nunavut,Uttering threats,62,1092.51
2016,Nunavut,Total other violent violations,62,37.86
2017,Canada,Homicide,,1.82
2017,Canada,Total other violations causing death,,0.27
2017,Canada,Attempted murder,,2.25
2017,Canada,"Sexual assault, level 3, aggravated",,0.44
2017,Canada,"Sexual assault, level 2, weapon or bodily harm",,1.16
2017,Canada,"Sexual assault, level 1",,66.1
2017,Canada,Total sexual violations against children,,22.65
2017,Canada,"Assault, level 3, aggravated",,9.81
2017,Canada,"Assault, level 2, weapon or bodily harm",,142.67
2017,Canada,"Assault, level 1",,446.79
2017,Canada,Total robbery,,62.47
2017,Canada,Uttering threats,,173.19
2017,Canada,Total other violent violations,,17.31
2017,Newfoundland and Labrador,Total violent Criminal Code violations,10,1315.55
2017,Newfoundland and Labrador,Homicide,10,0.76
2017,Newfoundland and Labrador,Total other violations causing death,10,0.19
2017,Newfoundland and Labrador,Attempted murder,10,0.94
2017,Newfoundland and Labrador,"Sexual assault, level 3, aggravated",10,0.19
2017,Newfoundland and Labrador,"Sexual assault, level 2, weapon or bodily harm",10,0.38
2017,Newfoundland and Labrador,"Sexual assault, level 1",10,61.35
2017,Newfoundland and Labrador,Total sexual violations against children,10,25.86
2017,Newfoundland and Labrador,"Assault, level 3, aggravated",10,8.87
2017,Newfoundland and Labrador,"Assault, level 2, weapon or bodily harm",10,114.4
2017,Newfoundland and Labrador,"Assault, level 1",10,565.94
2017,Newfoundland and Labrador,Total robbery,10,34.92
2017,Newfoundland and Labrador,Uttering threats,10,313.17
2017,Newfoundland and Labrador,Total other violent violations,10,13.4
2017,Prince Edward Island,Total violent Criminal Code violations,11,922.93
2017,Prince Edward Island,Homicide,11,1.34
2017,Prince Edward Island,Total other violations causing death,11,0.0
2017,Prince Edward Island,Attempted murder,11,1.34
2017,Prince Edward Island,"Sexual assault, level 3, aggravated",11,0.0
2017,Prince Edward Island,"Sexual assault, level 2, weapon or bodily harm",11,0.0
2017,Prince Edward Island,"Sexual assault, level 1",11,46.08
2017,Prince Edward Island,Total sexual violations against children,11,18.7
2017,Prince Edward Island,"Assault, level 3, aggravated",11,4.67
2017,Prince Edward Island,"Assault, level 2, weapon or bodily harm",11,80.14
2017,Prince Edward Island,"Assault, level 1",11,385.33
2017,Prince Edward Island,Total robbery,11,12.02
2017,Prince Edward Island,Uttering threats,11,180.31
2017,Prince Edward Island,Total other violent violations,11,4.67
2017,Nova Scotia,Total violent Criminal Code violations,12,1259.03
2017,Nova Scotia,Homicide,12,2.21
2017,Nova Scotia,Total other violations causing death,12,0.21
2017,Nova Scotia,Attempted murder,12,2.84
2017,Nova Scotia,"Sexual assault, level 3, aggravated",12,0.42
2017,Nova Scotia,"Sexual assault, level 2, weapon or bodily harm",12,0.95
2017,Nova Scotia,"Sexual assault, level 1",12,77.93
2017,Nova Scotia,Total sexual violations against children,12,26.68
2017,Nova Scotia,"Assault, level 3, aggravated",12,8.93
2017,Nova Scotia,"Assault, level 2, weapon or bodily harm",12,113.64
2017,Nova Scotia,"Assault, level 1",12,481.75
2017,Nova Scotia,Total robbery,12,32.45
2017,Nova Scotia,Uttering threats,12,255.31
2017,Nova Scotia,Total other violent violations,12,16.17
2017,New Brunswick,Total violent Criminal Code violations,13,1264.78
2017,New Brunswick,Homicide,13,1.3
2017,New Brunswick,Total other violations causing death,13,0.0
2017,New Brunswick,Attempted murder,13,0.78
2017,New Brunswick,"Sexual assault, level 3, aggravated",13,0.0
2017,New Brunswick,"Sexual assault, level 2, weapon or bodily harm",13,0.39
2017,New Brunswick,"Sexual assault, level 1",13,67.04
2017,New Brunswick,Total sexual violations against children,13,23.22
2017,New Brunswick,"Assault, level 3, aggravated",13,5.74
2017,New Brunswick,"Assault, level 2, weapon or bodily harm",13,123.78
2017,New Brunswick,"Assault, level 1",13,521.98
2017,New Brunswick,Total robbery,13,27.52
2017,New Brunswick,Uttering threats,13,274.03
2017,New Brunswick,Total other violent violations,13,16.04
2017,Quebec,Total violent Criminal Code violations,24,1064.74
2017,Quebec,Homicide,24,1.12
2017,Quebec,Total other violations causing death,24,0.35
2017,Quebec,Attempted murder,24,2.79
2017,Quebec,"Sexual assault, level 3, aggravated",24,0.41
2017,Quebec,"Sexual assault, level 2, weapon or bodily harm",24,1.21
2017,Quebec,"Sexual assault, level 1",24,62.07
2017,Quebec,Total sexual violations against children,24,30.38
2017,Quebec,"Assault, level 3, aggravated",24,3.67
2017,Quebec,"Assault, level 2, weapon or bodily harm",24,122.43
2017,Quebec,"Assault, level 1",24,403.99
2017,Quebec,Total robbery,24,44.0
2017,Quebec,Uttering threats,24,203.62
2017,Quebec,Total other violent violations,24,28.0
2017,Ontario,Total violent Criminal Code violations,35,853.56
2017,Ontario,Homicide,35,1.4
2017,Ontario,Total other violations causing death,35,0.21
2017,Ontario,Attempted murder,35,2.04
2017,Ontario,"Sexual assault, level 3, aggravated",35,0.4
2017,Ontario,"Sexual assault, level 2, weapon or bodily harm",35,1.07
2017,Ontario,"Sexual assault, level 1",35,62.38
2017,Ontario,Total sexual violations against children,35,14.99
2017,Ontario,"Assault, level 3, aggravated",35,7.66
2017,Ontario,"Assault, level 2, weapon or bodily harm",35,101.39
2017,Ontario,"Assault, level 1",35,337.31
2017,Ontario,Total robbery,35,65.82
2017,Ontario,Uttering threats,35,113.75
2017,Ontario,Total other violent violations,35,14.6
2017,Manitoba,Total violent Criminal Code violations,46,1987.21
2017,Manitoba,Homicide,46,3.52
2017,Manitoba,Total other violations causing death,46,0.45
2017,Manitoba,Attempted murder,46,3.07
2017,Manitoba,"Sexual assault, level 3, aggravated",46,1.05
2017,Manitoba,"Sexual assault, level 2, weapon or bodily harm",46,1.95
2017,Manitoba,"Sexual assault, level 1",46,103.77
2017,Manitoba,Total sexual violations against children,46,39.41
2017,Manitoba,"Assault, level 3, aggravated",46,36.19
2017,Manitoba,"Assault, level 2, weapon or bodily harm",46,360.6
2017,Manitoba,"Assault, level 1",46,840.84
2017,Manitoba,Total robbery,46,176.81
2017,Manitoba,Uttering threats,46,244.84
2017,Manitoba,Total other violent violations,46,13.49
2017,Saskatchewan,Total violent Criminal Code violations,47,2096.72
2017,Saskatchewan,Homicide,47,3.31
2017,Saskatchewan,Total other violations causing death,47,0.52
2017,Saskatchewan,Attempted murder,47,3.66
2017,Saskatchewan,"Sexual assault, level 3, aggravated",47,0.61
2017,Saskatchewan,"Sexual assault, level 2, weapon or bodily harm",47,1.83
2017,Saskatchewan,"Sexual assault, level 1",47,98.67
2017,Saskatchewan,Total sexual violations against children,47,39.48
2017,Saskatchewan,"Assault, level 3, aggravated",47,34.08
