Year,Geography,GeoCode,Economic family type,Household food security status,Value
2018,Canada,,data.Persons in non-elderly families,"Food insecure, moderate",8.8
2019,Canada,,data.Persons in non-elderly families,"Food insecure, moderate",8.0
2020,Canada,,data.Persons in non-elderly families,"Food insecure, moderate",8.0
2018,Canada,,data.Persons in non-elderly families,"Food insecure, severe",3.2
2019,Canada,,data.Persons in non-elderly families,"Food insecure, severe",2.9
2020,Canada,,data.Persons in non-elderly families,"Food insecure, severe",3.5
2018,Canada,,data.Persons in couples,Food secure,88.5
2019,Canada,,data.Persons in couples,Food secure,89.1
2020,Canada,,data.Persons in couples,Food secure,89.2
2018,Canada,,data.Persons in couples,"Food insecure, marginal",3.9
2019,Canada,,data.Persons in couples,"Food insecure, marginal",3.8
2020,Canada,,data.Persons in couples,"Food insecure, marginal",3.2
2018,Canada,,data.Persons in couples,"Food insecure, moderate or severe",7.6
2019,Canada,,data.Persons in couples,"Food insecure, moderate or severe",7.1
2020,Canada,,data.Persons in couples,"Food insecure, moderate or severe",7.6
2018,Canada,,data.Persons in couples,"Food insecure, moderate",4.7
2019,Canada,,data.Persons in couples,"Food insecure, moderate",5.0
2020,Canada,,data.Persons in couples,"Food insecure, moderate",4.6
2018,Canada,,data.Persons in couples,"Food insecure, severe",2.9
2019,Canada,,data.Persons in couples,"Food insecure, severe",2.1
2020,Canada,,data.Persons in couples,"Food insecure, severe",3.0
2018,Canada,,data.Persons in couple families with children,Food secure,82.1
2019,Canada,,data.Persons in couple families with children,Food secure,83.6
2020,Canada,,data.Persons in couple families with children,Food secure,83.6
2018,Canada,,data.Persons in couple families with children,"Food insecure, marginal",6.6
2019,Canada,,data.Persons in couple families with children,"Food insecure, marginal",6.4
2020,Canada,,data.Persons in couple families with children,"Food insecure, marginal",5.8
2018,Canada,,data.Persons in couple families with children,"Food insecure, moderate or severe",11.2
2019,Canada,,data.Persons in couple families with children,"Food insecure, moderate or severe",10.0
2020,Canada,,data.Persons in couple families with children,"Food insecure, moderate or severe",10.6
2018,Canada,,data.Persons in couple families with children,"Food insecure, moderate",8.9
2019,Canada,,data.Persons in couple families with children,"Food insecure, moderate",8.0
2020,Canada,,data.Persons in couple families with children,"Food insecure, moderate",8.1
2018,Canada,,data.Persons in couple families with children,"Food insecure, severe",2.3
2019,Canada,,data.Persons in couple families with children,"Food insecure, severe",2.0
2020,Canada,,data.Persons in couple families with children,"Food insecure, severe",2.5
2018,Canada,,data.Persons in couple families with other relatives,Food secure,89.1
2019,Canada,,data.Persons in couple families with other relatives,Food secure,88.4
2020,Canada,,data.Persons in couple families with other relatives,Food secure,88.0
2018,Canada,,data.Persons in couple families with other relatives,"Food insecure, marginal",2.7
2019,Canada,,data.Persons in couple families with other relatives,"Food insecure, marginal",3.7
2020,Canada,,data.Persons in couple families with other relatives,"Food insecure, marginal",3.5
2018,Canada,,data.Persons in couple families with other relatives,"Food insecure, moderate or severe",8.2
2019,Canada,,data.Persons in couple families with other relatives,"Food insecure, moderate or severe",7.9
2020,Canada,,data.Persons in couple families with other relatives,"Food insecure, moderate or severe",8.5
2018,Canada,,data.Persons in couple families with other relatives,"Food insecure, moderate",6.5
2019,Canada,,data.Persons in couple families with other relatives,"Food insecure, moderate",5.4
2020,Canada,,data.Persons in couple families with other relatives,"Food insecure, moderate",5.7
2018,Canada,,data.Persons in couple families with other relatives,"Food insecure, severe",1.6
2019,Canada,,data.Persons in couple families with other relatives,"Food insecure, severe",2.5
2020,Canada,,data.Persons in couple families with other relatives,"Food insecure, severe",2.8
2018,Canada,,data.Persons in lone-parent families,Food secure,57.8
2019,Canada,,data.Persons in lone-parent families,Food secure,61.3
2020,Canada,,data.Persons in lone-parent families,Food secure,66.3
2018,Canada,,data.Persons in lone-parent families,"Food insecure, marginal",9.8
2019,Canada,,data.Persons in lone-parent families,"Food insecure, marginal",8.0
2020,Canada,,data.Persons in lone-parent families,"Food insecure, marginal",6.4
2018,Canada,,data.Persons in lone-parent families,"Food insecure, moderate or severe",32.3
2019,Canada,,data.Persons in lone-parent families,"Food insecure, moderate or severe",30.7
2020,Canada,,data.Persons in lone-parent families,"Food insecure, moderate or severe",27.3
2018,Canada,,data.Persons in lone-parent families,"Food insecure, moderate",21.4
2019,Canada,,data.Persons in lone-parent families,"Food insecure, moderate",20.6
2020,Canada,,data.Persons in lone-parent families,"Food insecure, moderate",16.8
2018,Canada,,data.Persons in lone-parent families,"Food insecure, severe",11.0
2019,Canada,,data.Persons in lone-parent families,"Food insecure, severe",10.1
2020,Canada,,data.Persons in lone-parent families,"Food insecure, severe",10.5
2018,Canada,,data.Persons in male lone-parent families,Food secure,69.1
2019,Canada,,data.Persons in male lone-parent families,Food secure,67.9
2020,Canada,,data.Persons in male lone-parent families,Food secure,79.0
2018,Canada,,data.Persons in male lone-parent families,"Food insecure, marginal",7.7
2019,Canada,,data.Persons in male lone-parent families,"Food insecure, marginal",
2020,Canada,,data.Persons in male lone-parent families,"Food insecure, marginal",5.4
2018,Canada,,data.Persons in male lone-parent families,"Food insecure, moderate or severe",23.2
2019,Canada,,data.Persons in male lone-parent families,"Food insecure, moderate or severe",22.7
2020,Canada,,data.Persons in male lone-parent families,"Food insecure, moderate or severe",15.7
2018,Canada,,data.Persons in male lone-parent families,"Food insecure, moderate",17.1
2019,Canada,,data.Persons in male lone-parent families,"Food insecure, moderate",11.0
2020,Canada,,data.Persons in male lone-parent families,"Food insecure, moderate",12.2
2018,Canada,,data.Persons in male lone-parent families,"Food insecure, severe",6.1
2019,Canada,,data.Persons in male lone-parent families,"Food insecure, severe",
2020,Canada,,data.Persons in male lone-parent families,"Food insecure, severe",3.5
2018,Canada,,data.Persons in female lone-parent families,Food secure,55.6
2019,Canada,,data.Persons in female lone-parent families,Food secure,59.5
2020,Canada,,data.Persons in female lone-parent families,Food secure,63.3
2018,Canada,,data.Persons in female lone-parent families,"Food insecure, marginal",10.3
2019,Canada,,data.Persons in female lone-parent families,"Food insecure, marginal",7.6
2020,Canada,,data.Persons in female lone-parent families,"Food insecure, marginal",6.6
2018,Canada,,data.Persons in female lone-parent families,"Food insecure, moderate or severe",34.1
2019,Canada,,data.Persons in female lone-parent families,"Food insecure, moderate or severe",32.9
2020,Canada,,data.Persons in female lone-parent families,"Food insecure, moderate or severe",30.1
2018,Canada,,data.Persons in female lone-parent families,"Food insecure, moderate",22.2
2019,Canada,,data.Persons in female lone-parent families,"Food insecure, moderate",23.2
2020,Canada,,data.Persons in female lone-parent families,"Food insecure, moderate",18.0
2018,Canada,,data.Persons in female lone-parent families,"Food insecure, severe",11.9
2019,Canada,,data.Persons in female lone-parent families,"Food insecure, severe",9.6
2020,Canada,,data.Persons in female lone-parent families,"Food insecure, severe",12.1
2018,Canada,,data.Persons in other non-elderly families,Food secure,78.5
2019,Canada,,data.Persons in other non-elderly families,Food secure,81.7
2020,Canada,,data.Persons in other non-elderly families,Food secure,79.3
2018,Canada,,data.Persons in other non-elderly families,"Food insecure, marginal",5.7
2019,Canada,,data.Persons in other non-elderly families,"Food insecure, marginal",4.5
2020,Canada,,data.Persons in other non-elderly families,"Food insecure, marginal",4.4
2018,Canada,,data.Persons in other non-elderly families,"Food insecure, moderate or severe",15.8
2019,Canada,,data.Persons in other non-elderly families,"Food insecure, moderate or severe",13.7
2020,Canada,,data.Persons in other non-elderly families,"Food insecure, moderate or severe",16.3
2018,Canada,,data.Persons in other non-elderly families,"Food insecure, moderate",10.4
2019,Canada,,data.Persons in other non-elderly families,"Food insecure, moderate",9.4
2020,Canada,,data.Persons in other non-elderly families,"Food insecure, moderate",10.5
2018,Canada,,data.Persons in other non-elderly families,"Food insecure, severe",5.4
2019,Canada,,data.Persons in other non-elderly families,"Food insecure, severe",4.3
2020,Canada,,data.Persons in other non-elderly families,"Food insecure, severe",5.8
2018,Canada,,Persons not in an economic family,Food secure,79.8
2019,Canada,,Persons not in an economic family,Food secure,80.2
2020,Canada,,Persons not in an economic family,Food secure,81.1
2018,Canada,,Persons not in an economic family,"Food insecure, marginal",4.9
2019,Canada,,Persons not in an economic family,"Food insecure, marginal",5.3
2020,Canada,,Persons not in an economic family,"Food insecure, marginal",4.4
2018,Canada,,Persons not in an economic family,"Food insecure, moderate or severe",15.3
2019,Canada,,Persons not in an economic family,"Food insecure, moderate or severe",14.5
2020,Canada,,Persons not in an economic family,"Food insecure, moderate or severe",14.4
2018,Canada,,Persons not in an economic family,"Food insecure, moderate",8.4
2019,Canada,,Persons not in an economic family,"Food insecure, moderate",8.5
2020,Canada,,Persons not in an economic family,"Food insecure, moderate",8.6
2018,Canada,,Persons not in an economic family,"Food insecure, severe",6.9
2019,Canada,,Persons not in an economic family,"Food insecure, severe",6.0
2020,Canada,,Persons not in an economic family,"Food insecure, severe",5.8
2018,Canada,,Elderly persons not in an economic family,Food secure,89.6
2019,Canada,,Elderly persons not in an economic family,Food secure,90.0
2020,Canada,,Elderly persons not in an economic family,Food secure,88.8
2018,Canada,,Elderly persons not in an economic family,"Food insecure, marginal",3.5
2019,Canada,,Elderly persons not in an economic family,"Food insecure, marginal",3.2
2020,Canada,,Elderly persons not in an economic family,"Food insecure, marginal",3.5
2018,Canada,,Elderly persons not in an economic family,"Food insecure, moderate or severe",6.9
2019,Canada,,Elderly persons not in an economic family,"Food insecure, moderate or severe",6.8
2020,Canada,,Elderly persons not in an economic family,"Food insecure, moderate or severe",7.8
2018,Canada,,Elderly persons not in an economic family,"Food insecure, moderate",4.8
2019,Canada,,Elderly persons not in an economic family,"Food insecure, moderate",5.1
2020,Canada,,Elderly persons not in an economic family,"Food insecure, moderate",5.5
2018,Canada,,Elderly persons not in an economic family,"Food insecure, severe",2.1
2019,Canada,,Elderly persons not in an economic family,"Food insecure, severe",1.7
2020,Canada,,Elderly persons not in an economic family,"Food insecure, severe",2.3
2018,Canada,,Elderly males not in an economic family,Food secure,87.3
2019,Canada,,Elderly males not in an economic family,Food secure,90.1
2020,Canada,,Elderly males not in an economic family,Food secure,87.7
2018,Canada,,Elderly males not in an economic family,"Food insecure, marginal",3.3
2019,Canada,,Elderly males not in an economic family,"Food insecure, marginal",2.8
2020,Canada,,Elderly males not in an economic family,"Food insecure, marginal",4.1
2018,Canada,,Elderly males not in an economic family,"Food insecure, moderate or severe",9.4
2019,Canada,,Elderly males not in an economic family,"Food insecure, moderate or severe",7.1
2020,Canada,,Elderly males not in an economic family,"Food insecure, moderate or severe",8.2
2018,Canada,,Elderly males not in an economic family,"Food insecure, moderate",6.1
2019,Canada,,Elderly males not in an economic family,"Food insecure, moderate",5.2
2020,Canada,,Elderly males not in an economic family,"Food insecure, moderate",6.0
2018,Canada,,Elderly males not in an economic family,"Food insecure, severe",3.2
2019,Canada,,Elderly males not in an economic family,"Food insecure, severe",1.8
2020,Canada,,Elderly males not in an economic family,"Food insecure, severe",2.1
2018,Canada,,Elderly females not in an economic family,Food secure,90.7
2019,Canada,,Elderly females not in an economic family,Food secure,89.9
2020,Canada,,Elderly females not in an economic family,Food secure,89.3
2018,Canada,,Elderly females not in an economic family,"Food insecure, marginal",3.7
2019,Canada,,Elderly females not in an economic family,"Food insecure, marginal",3.4
2020,Canada,,Elderly females not in an economic family,"Food insecure, marginal",3.1
2018,Canada,,Elderly females not in an economic family,"Food insecure, moderate or severe",5.6
2019,Canada,,Elderly females not in an economic family,"Food insecure, moderate or severe",6.7
2020,Canada,,Elderly females not in an economic family,"Food insecure, moderate or severe",7.6
2018,Canada,,Elderly females not in an economic family,"Food insecure, moderate",4.1
2019,Canada,,Elderly females not in an economic family,"Food insecure, moderate",5.1
2020,Canada,,Elderly females not in an economic family,"Food insecure, moderate",5.1
2018,Canada,,Elderly females not in an economic family,"Food insecure, severe",1.6
2019,Canada,,Elderly females not in an economic family,"Food insecure, severe",1.6
2020,Canada,,Elderly females not in an economic family,"Food insecure, severe",2.4
2018,Canada,,Non-elderly persons not in an economic family,Food secure,75.5
2019,Canada,,Non-elderly persons not in an economic family,Food secure,75.7
2020,Canada,,Non-elderly persons not in an economic family,Food secure,77.6
2018,Canada,,Non-elderly persons not in an economic family,"Food insecure, marginal",5.5
2019,Canada,,Non-elderly persons not in an economic family,"Food insecure, marginal",6.2
2020,Canada,,Non-elderly persons not in an economic family,"Food insecure, marginal",4.9
2018,Canada,,Non-elderly persons not in an economic family,"Food insecure, moderate or severe",18.9
2019,Canada,,Non-elderly persons not in an economic family,"Food insecure, moderate or severe",18.1
2020,Canada,,Non-elderly persons not in an economic family,"Food insecure, moderate or severe",17.6
2018,Canada,,Non-elderly persons not in an economic family,"Food insecure, moderate",9.9
2019,Canada,,Non-elderly persons not in an economic family,"Food insecure, moderate",10.1
2020,Canada,,Non-elderly persons not in an economic family,"Food insecure, moderate",10.1
2018,Canada,,Non-elderly persons not in an economic family,"Food insecure, severe",9.0
2019,Canada,,Non-elderly persons not in an economic family,"Food insecure, severe",8.0
2020,Canada,,Non-elderly persons not in an economic family,"Food insecure, severe",7.4
2018,Canada,,Non-elderly males not in an economic family,Food secure,75.5
2019,Canada,,Non-elderly males not in an economic family,Food secure,77.0
2020,Canada,,Non-elderly males not in an economic family,Food secure,78.9
2018,Canada,,Non-elderly males not in an economic family,"Food insecure, marginal",5.8
2019,Canada,,Non-elderly males not in an economic family,"Food insecure, marginal",5.9
2020,Canada,,Non-elderly males not in an economic family,"Food insecure, marginal",4.8
2018,Canada,,Non-elderly males not in an economic family,"Food insecure, moderate or severe",18.7
2019,Canada,,Non-elderly males not in an economic family,"Food insecure, moderate or severe",17.1
2020,Canada,,Non-elderly males not in an economic family,"Food insecure, moderate or severe",16.3
2018,Canada,,Non-elderly males not in an economic family,"Food insecure, moderate",9.0
2019,Canada,,Non-elderly males not in an economic family,"Food insecure, moderate",10.2
2020,Canada,,Non-elderly males not in an economic family,"Food insecure, moderate",9.4
2018,Canada,,Non-elderly males not in an economic family,"Food insecure, severe",9.7
2019,Canada,,Non-elderly males not in an economic family,"Food insecure, severe",6.8
2020,Canada,,Non-elderly males not in an economic family,"Food insecure, severe",6.8
2018,Canada,,Non-elderly females not in an economic family,Food secure,75.6
2019,Canada,,Non-elderly females not in an economic family,Food secure,74.1
2020,Canada,,Non-elderly females not in an economic family,Food secure,75.7
2018,Canada,,Non-elderly females not in an economic family,"Food insecure, marginal",5.2
2019,Canada,,Non-elderly females not in an economic family,"Food insecure, marginal",6.6
2020,Canada,,Non-elderly females not in an economic family,"Food insecure, marginal",5.0
2018,Canada,,Non-elderly females not in an economic family,"Food insecure, moderate or severe",19.2
2019,Canada,,Non-elderly females not in an economic family,"Food insecure, moderate or severe",19.3
2020,Canada,,Non-elderly females not in an economic family,"Food insecure, moderate or severe",19.3
2018,Canada,,Non-elderly females not in an economic family,"Food insecure, moderate",11.1
2019,Canada,,Non-elderly females not in an economic family,"Food insecure, moderate",9.9
2020,Canada,,Non-elderly females not in an economic family,"Food insecure, moderate",11.1
2018,Canada,,Non-elderly females not in an economic family,"Food insecure, severe",8.1
2019,Canada,,Non-elderly females not in an economic family,"Food insecure, severe",9.4
2020,Canada,,Non-elderly females not in an economic family,"Food insecure, severe",8.2
2018,Atlantic provinces,,All persons,Food secure,80.8
2019,Atlantic provinces,,All persons,Food secure,82.8
2020,Atlantic provinces,,All persons,Food secure,82.2
2018,Atlantic provinces,,All persons,"Food insecure, marginal",5.6
2019,Atlantic provinces,,All persons,"Food insecure, marginal",5.3
2020,Atlantic provinces,,All persons,"Food insecure, marginal",5.2
2018,Atlantic provinces,,All persons,"Food insecure, moderate or severe",13.6
2019,Atlantic provinces,,All persons,"Food insecure, moderate or severe",11.9
2020,Atlantic provinces,,All persons,"Food insecure, moderate or severe",12.6
2018,Atlantic provinces,,All persons,"Food insecure, moderate",8.6
2019,Atlantic provinces,,All persons,"Food insecure, moderate",8.1
2020,Atlantic provinces,,All persons,"Food insecure, moderate",7.9
2018,Atlantic provinces,,All persons,"Food insecure, severe",5.0
2019,Atlantic provinces,,All persons,"Food insecure, severe",3.8
2020,Atlantic provinces,,All persons,"Food insecure, severe",4.7
2018,Atlantic provinces,,Persons in economic families,Food secure,81.6
2019,Atlantic provinces,,Persons in economic families,Food secure,84.1
2020,Atlantic provinces,,Persons in economic families,Food secure,83.0
2018,Atlantic provinces,,Persons in economic families,"Food insecure, marginal",5.6
2019,Atlantic provinces,,Persons in economic families,"Food insecure, marginal",5.0
2020,Atlantic provinces,,Persons in economic families,"Food insecure, marginal",5.3
2018,Atlantic provinces,,Persons in economic families,"Food insecure, moderate or severe",12.8
2019,Atlantic provinces,,Persons in economic families,"Food insecure, moderate or severe",11.0
2020,Atlantic provinces,,Persons in economic families,"Food insecure, moderate or severe",11.7
2018,Atlantic provinces,,Persons in economic families,"Food insecure, moderate",8.5
2019,Atlantic provinces,,Persons in economic families,"Food insecure, moderate",8.0
2020,Atlantic provinces,,Persons in economic families,"Food insecure, moderate",7.6
2018,Atlantic provinces,,Persons in economic families,"Food insecure, severe",4.3
2019,Atlantic provinces,,Persons in economic families,"Food insecure, severe",3.0
2020,Atlantic provinces,,Persons in economic families,"Food insecure, severe",4.1
2018,Atlantic provinces,,data.Persons in elderly families,Food secure,90.8
2019,Atlantic provinces,,data.Persons in elderly families,Food secure,92.8
2020,Atlantic provinces,,data.Persons in elderly families,Food secure,91.0
2018,Atlantic provinces,,data.Persons in elderly families,"Food insecure, marginal",3.6
2019,Atlantic provinces,,data.Persons in elderly families,"Food insecure, marginal",2.7
2020,Atlantic provinces,,data.Persons in elderly families,"Food insecure, marginal",3.7
2018,Atlantic provinces,,data.Persons in elderly families,"Food insecure, moderate or severe",5.6
2019,Atlantic provinces,,data.Persons in elderly families,"Food insecure, moderate or severe",4.5
2020,Atlantic provinces,,data.Persons in elderly families,"Food insecure, moderate or severe",5.3
2018,Atlantic provinces,,data.Persons in elderly families,"Food insecure, moderate",3.7
2019,Atlantic provinces,,data.Persons in elderly families,"Food insecure, moderate",3.5
2020,Atlantic provinces,,data.Persons in elderly families,"Food insecure, moderate",4.4
2018,Atlantic provinces,,data.Persons in elderly families,"Food insecure, severe",1.9
2019,Atlantic provinces,,data.Persons in elderly families,"Food insecure, severe",
2020,Atlantic provinces,,data.Persons in elderly families,"Food insecure, severe",0.9
2018,Atlantic provinces,,data.Persons in elderly couples,Food secure,92.7
2019,Atlantic provinces,,data.Persons in elderly couples,Food secure,93.5
2020,Atlantic provinces,,data.Persons in elderly couples,Food secure,92.7
2018,Atlantic provinces,,data.Persons in elderly couples,"Food insecure, marginal",2.9
2019,Atlantic provinces,,data.Persons in elderly couples,"Food insecure, marginal",3.0
2020,Atlantic provinces,,data.Persons in elderly couples,"Food insecure, marginal",3.1
2018,Atlantic provinces,,data.Persons in elderly couples,"Food insecure, moderate or severe",4.5
2019,Atlantic provinces,,data.Persons in elderly couples,"Food insecure, moderate or severe",3.6
2020,Atlantic provinces,,data.Persons in elderly couples,"Food insecure, moderate or severe",4.2
2018,Atlantic provinces,,data.Persons in elderly couples,"Food insecure, moderate",3.0
2019,Atlantic provinces,,data.Persons in elderly couples,"Food insecure, moderate",3.1
2020,Atlantic provinces,,data.Persons in elderly couples,"Food insecure, moderate",3.3
2018,Atlantic provinces,,data.Persons in elderly couples,"Food insecure, severe",1.5
2019,Atlantic provinces,,data.Persons in elderly couples,"Food insecure, severe",
2020,Atlantic provinces,,data.Persons in elderly couples,"Food insecure, severe",1.0
2018,Atlantic provinces,,data.Persons in other elderly families,Food secure,84.9
2019,Atlantic provinces,,data.Persons in other elderly families,Food secure,90.9
2020,Atlantic provinces,,data.Persons in other elderly families,Food secure,86.1
2018,Atlantic provinces,,data.Persons in other elderly families,"Food insecure, marginal",6.0
2019,Atlantic provinces,,data.Persons in other elderly families,"Food insecure, marginal",
2020,Atlantic provinces,,data.Persons in other elderly families,"Food insecure, marginal",5.4
2018,Atlantic provinces,,data.Persons in other elderly families,"Food insecure, moderate or severe",9.1
2019,Atlantic provinces,,data.Persons in other elderly families,"Food insecure, moderate or severe",7.1
2020,Atlantic provinces,,data.Persons in other elderly families,"Food insecure, moderate or severe",8.5
2018,Atlantic provinces,,data.Persons in other elderly families,"Food insecure, moderate",5.9
2019,Atlantic provinces,,data.Persons in other elderly families,"Food insecure, moderate",
2020,Atlantic provinces,,data.Persons in other elderly families,"Food insecure, moderate",7.8
2018,Atlantic provinces,,data.Persons in other elderly families,"Food insecure, severe",
2019,Atlantic provinces,,data.Persons in other elderly families,"Food insecure, severe",
2020,Atlantic provinces,,data.Persons in other elderly families,"Food insecure, severe",
2018,Atlantic provinces,,data.Persons in non-elderly families,Food secure,79.6
2019,Atlantic provinces,,data.Persons in non-elderly families,Food secure,82.1
2020,Atlantic provinces,,data.Persons in non-elderly families,Food secure,81.1
2018,Atlantic provinces,,data.Persons in non-elderly families,"Food insecure, marginal",6.0
2019,Atlantic provinces,,data.Persons in non-elderly families,"Food insecure, marginal",5.5
2020,Atlantic provinces,,data.Persons in non-elderly families,"Food insecure, marginal",5.7
2018,Atlantic provinces,,data.Persons in non-elderly families,"Food insecure, moderate or severe",14.4
2019,Atlantic provinces,,data.Persons in non-elderly families,"Food insecure, moderate or severe",12.4
2020,Atlantic provinces,,data.Persons in non-elderly families,"Food insecure, moderate or severe",13.2
2018,Atlantic provinces,,data.Persons in non-elderly families,"Food insecure, moderate",9.5
2019,Atlantic provinces,,data.Persons in non-elderly families,"Food insecure, moderate",9.0
2020,Atlantic provinces,,data.Persons in non-elderly families,"Food insecure, moderate",8.3
2018,Atlantic provinces,,data.Persons in non-elderly families,"Food insecure, severe",4.8
2019,Atlantic provinces,,data.Persons in non-elderly families,"Food insecure, severe",3.4
2020,Atlantic provinces,,data.Persons in non-elderly families,"Food insecure, severe",4.8
2018,Atlantic provinces,,data.Persons in couples,Food secure,85.9
2019,Atlantic provinces,,data.Persons in couples,Food secure,89.3
2020,Atlantic provinces,,data.Persons in couples,Food secure,87.8
2018,Atlantic provinces,,data.Persons in couples,"Food insecure, marginal",3.9
2019,Atlantic provinces,,data.Persons in couples,"Food insecure, marginal",3.5
2020,Atlantic provinces,,data.Persons in couples,"Food insecure, marginal",4.1
2018,Atlantic provinces,,data.Persons in couples,"Food insecure, moderate or severe",10.2
2019,Atlantic provinces,,data.Persons in couples,"Food insecure, moderate or severe",7.2
2020,Atlantic provinces,,data.Persons in couples,"Food insecure, moderate or severe",8.2
2018,Atlantic provinces,,data.Persons in couples,"Food insecure, moderate",5.7
2019,Atlantic provinces,,data.Persons in couples,"Food insecure, moderate",4.6
