Year,Units,Geography,Land use category,Water quality,Value
2016-2018,Number,Canada,Total,Fair,70
2016-2018,Number,Canada,Total,Marginal,30
2016-2018,Number,Canada,Total,Poor,4
2016-2018,Percentage,Atlantic Ocean,Total,Excellent,4
2016-2018,Percentage,Atlantic Ocean,Total,Good,53
2016-2018,Percentage,Atlantic Ocean,Total,Fair,29
2016-2018,Percentage,Atlantic Ocean,Total,Marginal,13
2016-2018,Percentage,Atlantic Ocean,Total,Poor,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Total,Excellent,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Total,Good,29
2016-2018,Percentage,Great Lakes and St. Lawrence River,Total,Fair,45
2016-2018,Percentage,Great Lakes and St. Lawrence River,Total,Marginal,22
2016-2018,Percentage,Great Lakes and St. Lawrence River,Total,Poor,3
2016-2018,Percentage,Hudson Bay,Total,Excellent,11
2016-2018,Percentage,Hudson Bay,Total,Good,31
2016-2018,Percentage,Hudson Bay,Total,Fair,40
2016-2018,Percentage,Hudson Bay,Total,Marginal,16
2016-2018,Percentage,Hudson Bay,Total,Poor,2
2016-2018,Percentage,Mackenzie River,Total,Excellent,15
2016-2018,Percentage,Mackenzie River,Total,Good,35
2016-2018,Percentage,Mackenzie River,Total,Fair,50
2016-2018,Percentage,Mackenzie River,Total,Marginal,0
2016-2018,Percentage,Mackenzie River,Total,Poor,0
2016-2018,Percentage,Pacific Ocean,Total,Excellent,8
2016-2018,Percentage,Pacific Ocean,Total,Good,28
2016-2018,Percentage,Pacific Ocean,Total,Fair,40
2016-2018,Percentage,Pacific Ocean,Total,Marginal,20
2016-2018,Percentage,Pacific Ocean,Total,Poor,4
2016-2018,Number,Atlantic Ocean,Total,Excellent,2
2016-2018,Number,Atlantic Ocean,Total,Good,24
2016-2018,Number,Atlantic Ocean,Total,Fair,13
2016-2018,Number,Atlantic Ocean,Total,Marginal,6
2016-2018,Number,Atlantic Ocean,Total,Poor,0
2016-2018,Number,Great Lakes and St. Lawrence River,Total,Excellent,0
2016-2018,Number,Great Lakes and St. Lawrence River,Total,Good,17
2016-2018,Number,Great Lakes and St. Lawrence River,Total,Fair,26
2016-2018,Number,Great Lakes and St. Lawrence River,Total,Marginal,13
2016-2018,Number,Great Lakes and St. Lawrence River,Total,Poor,2
2016-2018,Number,Hudson Bay,Total,Excellent,5
2016-2018,Number,Hudson Bay,Total,Good,14
2016-2018,Number,Hudson Bay,Total,Fair,18
2016-2018,Number,Hudson Bay,Total,Marginal,7
2016-2018,Number,Hudson Bay,Total,Poor,1
2016-2018,Number,Mackenzie River,Total,Excellent,3
2016-2018,Number,Mackenzie River,Total,Good,7
2016-2018,Number,Mackenzie River,Total,Fair,10
2016-2018,Number,Mackenzie River,Total,Marginal,0
2016-2018,Number,Mackenzie River,Total,Poor,0
2016-2018,Number,Pacific Ocean,Total,Excellent,2
2016-2018,Number,Pacific Ocean,Total,Good,7
2016-2018,Number,Pacific Ocean,Total,Fair,10
2016-2018,Number,Pacific Ocean,Total,Marginal,5
2016-2018,Number,Pacific Ocean,Total,Poor,1
2016-2018,Percentage,Atlantic Ocean,Agriculture,Excellent,0
2016-2018,Percentage,Atlantic Ocean,Agriculture,Good,7
2016-2018,Percentage,Atlantic Ocean,Agriculture,Fair,2
2016-2018,Percentage,Atlantic Ocean,Agriculture,Marginal,0
2016-2018,Percentage,Atlantic Ocean,Agriculture,Poor,0
2016-2018,Percentage,Atlantic Ocean,Forestry,Excellent,2
2016-2018,Percentage,Atlantic Ocean,Forestry,Good,18
2016-2018,Percentage,Atlantic Ocean,Forestry,Fair,9
2016-2018,Percentage,Atlantic Ocean,Forestry,Marginal,2
2016-2018,Percentage,Atlantic Ocean,Forestry,Poor,0
2016-2018,Percentage,Atlantic Ocean,Mining,Excellent,0
2016-2018,Percentage,Atlantic Ocean,Mining,Good,2
2016-2018,Percentage,Atlantic Ocean,Mining,Fair,2
2016-2018,Percentage,Atlantic Ocean,Mining,Marginal,0
2016-2018,Percentage,Atlantic Ocean,Mining,Poor,0
2016-2018,Percentage,Atlantic Ocean,Populated,Excellent,0
2016-2018,Percentage,Atlantic Ocean,Populated,Good,0
2016-2018,Percentage,Atlantic Ocean,Populated,Fair,0
2016-2018,Percentage,Atlantic Ocean,Populated,Marginal,7
2016-2018,Percentage,Atlantic Ocean,Populated,Poor,0
2016-2018,Percentage,Atlantic Ocean,Mixed pressures,Excellent,0
2016-2018,Percentage,Atlantic Ocean,Mixed pressures,Good,9
2016-2018,Percentage,Atlantic Ocean,Mixed pressures,Fair,4
2016-2018,Percentage,Atlantic Ocean,Mixed pressures,Marginal,4
2016-2018,Percentage,Atlantic Ocean,Mixed pressures,Poor,0
2016-2018,Percentage,Atlantic Ocean,Undeveloped,Excellent,2
2016-2018,Percentage,Atlantic Ocean,Undeveloped,Good,18
2016-2018,Percentage,Atlantic Ocean,Undeveloped,Fair,11
2016-2018,Percentage,Atlantic Ocean,Undeveloped,Marginal,0
2016-2018,Percentage,Atlantic Ocean,Undeveloped,Poor,0
2016-2018,Number,Atlantic Ocean,Agriculture,Excellent,0
2016-2018,Number,Atlantic Ocean,Agriculture,Good,3
2016-2018,Number,Atlantic Ocean,Agriculture,Fair,1
2016-2018,Number,Atlantic Ocean,Agriculture,Marginal,0
2016-2018,Number,Atlantic Ocean,Agriculture,Poor,0
2016-2018,Number,Atlantic Ocean,Forestry,Excellent,1
2016-2018,Number,Atlantic Ocean,Forestry,Good,8
2016-2018,Number,Atlantic Ocean,Forestry,Fair,4
2016-2018,Number,Atlantic Ocean,Forestry,Marginal,1
2016-2018,Number,Atlantic Ocean,Forestry,Poor,0
2016-2018,Number,Atlantic Ocean,Mining,Excellent,0
2016-2018,Number,Atlantic Ocean,Mining,Good,1
2016-2018,Number,Atlantic Ocean,Mining,Fair,1
2016-2018,Number,Atlantic Ocean,Mining,Marginal,0
2016-2018,Number,Atlantic Ocean,Mining,Poor,0
2016-2018,Number,Atlantic Ocean,Populated,Excellent,0
2016-2018,Number,Atlantic Ocean,Populated,Good,0
2016-2018,Number,Atlantic Ocean,Populated,Fair,0
2016-2018,Number,Atlantic Ocean,Populated,Marginal,3
2016-2018,Number,Atlantic Ocean,Populated,Poor,0
2016-2018,Number,Atlantic Ocean,Mixed pressures,Excellent,0
2016-2018,Number,Atlantic Ocean,Mixed pressures,Good,4
2016-2018,Number,Atlantic Ocean,Mixed pressures,Fair,2
2016-2018,Number,Atlantic Ocean,Mixed pressures,Marginal,2
2016-2018,Number,Atlantic Ocean,Mixed pressures,Poor,0
2016-2018,Number,Atlantic Ocean,Undeveloped,Excellent,1
2016-2018,Number,Atlantic Ocean,Undeveloped,Good,8
2016-2018,Number,Atlantic Ocean,Undeveloped,Fair,5
2016-2018,Number,Atlantic Ocean,Undeveloped,Marginal,0
2016-2018,Number,Atlantic Ocean,Undeveloped,Poor,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Agriculture,Excellent,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Agriculture,Good,5
2016-2018,Percentage,Great Lakes and St. Lawrence River,Agriculture,Fair,7
2016-2018,Percentage,Great Lakes and St. Lawrence River,Agriculture,Marginal,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Agriculture,Poor,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Forestry,Excellent,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Forestry,Good,2
2016-2018,Percentage,Great Lakes and St. Lawrence River,Forestry,Fair,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Forestry,Marginal,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Forestry,Poor,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Mining,Excellent,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Mining,Good,5
2016-2018,Percentage,Great Lakes and St. Lawrence River,Mining,Fair,3
2016-2018,Percentage,Great Lakes and St. Lawrence River,Mining,Marginal,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Mining,Poor,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Populated,Excellent,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Populated,Good,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Populated,Fair,2
2016-2018,Percentage,Great Lakes and St. Lawrence River,Populated,Marginal,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Populated,Poor,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Mixed pressures,Excellent,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Mixed pressures,Good,10
2016-2018,Percentage,Great Lakes and St. Lawrence River,Mixed pressures,Fair,31
2016-2018,Percentage,Great Lakes and St. Lawrence River,Mixed pressures,Marginal,22
2016-2018,Percentage,Great Lakes and St. Lawrence River,Mixed pressures,Poor,3
2016-2018,Percentage,Great Lakes and St. Lawrence River,Undeveloped,Excellent,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Undeveloped,Good,7
2016-2018,Percentage,Great Lakes and St. Lawrence River,Undeveloped,Fair,2
2016-2018,Percentage,Great Lakes and St. Lawrence River,Undeveloped,Marginal,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Undeveloped,Poor,0
2016-2018,Number,Great Lakes and St. Lawrence River,Agriculture,Excellent,0
2016-2018,Number,Great Lakes and St. Lawrence River,Agriculture,Good,3
2016-2018,Number,Great Lakes and St. Lawrence River,Agriculture,Fair,4
2016-2018,Number,Great Lakes and St. Lawrence River,Agriculture,Marginal,0
2016-2018,Number,Great Lakes and St. Lawrence River,Agriculture,Poor,0
2016-2018,Number,Great Lakes and St. Lawrence River,Forestry,Excellent,0
2016-2018,Number,Great Lakes and St. Lawrence River,Forestry,Good,1
2016-2018,Number,Great Lakes and St. Lawrence River,Forestry,Fair,0
2016-2018,Number,Great Lakes and St. Lawrence River,Forestry,Marginal,0
2016-2018,Number,Great Lakes and St. Lawrence River,Forestry,Poor,0
2016-2018,Number,Great Lakes and St. Lawrence River,Mining,Excellent,0
2016-2018,Number,Great Lakes and St. Lawrence River,Mining,Good,3
2016-2018,Number,Great Lakes and St. Lawrence River,Mining,Fair,2
2016-2018,Number,Great Lakes and St. Lawrence River,Mining,Marginal,0
2016-2018,Number,Great Lakes and St. Lawrence River,Mining,Poor,0
2016-2018,Number,Great Lakes and St. Lawrence River,Populated,Excellent,0
2016-2018,Number,Great Lakes and St. Lawrence River,Populated,Good,0
2016-2018,Number,Great Lakes and St. Lawrence River,Populated,Fair,1
2016-2018,Number,Great Lakes and St. Lawrence River,Populated,Marginal,0
2016-2018,Number,Great Lakes and St. Lawrence River,Populated,Poor,0
2016-2018,Number,Great Lakes and St. Lawrence River,Mixed pressures,Excellent,0
2016-2018,Number,Great Lakes and St. Lawrence River,Mixed pressures,Good,6
2016-2018,Number,Great Lakes and St. Lawrence River,Mixed pressures,Fair,18
2016-2018,Number,Great Lakes and St. Lawrence River,Mixed pressures,Marginal,13
2016-2018,Number,Great Lakes and St. Lawrence River,Mixed pressures,Poor,2
2016-2018,Number,Great Lakes and St. Lawrence River,Undeveloped,Excellent,0
2016-2018,Number,Great Lakes and St. Lawrence River,Undeveloped,Good,4
2016-2018,Number,Great Lakes and St. Lawrence River,Undeveloped,Fair,1
2016-2018,Number,Great Lakes and St. Lawrence River,Undeveloped,Marginal,0
2016-2018,Number,Great Lakes and St. Lawrence River,Undeveloped,Poor,0
2016-2018,Percentage,Hudson Bay,Agriculture,Excellent,0
2016-2018,Percentage,Hudson Bay,Agriculture,Good,11
2016-2018,Percentage,Hudson Bay,Agriculture,Fair,22
2016-2018,Percentage,Hudson Bay,Agriculture,Marginal,9
2016-2018,Percentage,Hudson Bay,Agriculture,Poor,2
2016-2018,Percentage,Hudson Bay,Forestry,Excellent,0
2016-2018,Percentage,Hudson Bay,Forestry,Good,0
2016-2018,Percentage,Hudson Bay,Forestry,Fair,0
2016-2018,Percentage,Hudson Bay,Forestry,Marginal,0
2016-2018,Percentage,Hudson Bay,Forestry,Poor,0
2016-2018,Percentage,Hudson Bay,Mining,Excellent,0
2016-2018,Percentage,Hudson Bay,Mining,Good,0
2016-2018,Percentage,Hudson Bay,Mining,Fair,0
2016-2018,Percentage,Hudson Bay,Mining,Marginal,0
2016-2018,Percentage,Hudson Bay,Mining,Poor,0
2016-2018,Percentage,Hudson Bay,Populated,Excellent,0
2016-2018,Percentage,Hudson Bay,Populated,Good,0
2016-2018,Percentage,Hudson Bay,Populated,Fair,0
2016-2018,Percentage,Hudson Bay,Populated,Marginal,0
2016-2018,Percentage,Hudson Bay,Populated,Poor,0
2016-2018,Percentage,Hudson Bay,Mixed pressures,Excellent,7
2016-2018,Percentage,Hudson Bay,Mixed pressures,Good,20
2016-2018,Percentage,Hudson Bay,Mixed pressures,Fair,18
2016-2018,Percentage,Hudson Bay,Mixed pressures,Marginal,7
2016-2018,Percentage,Hudson Bay,Mixed pressures,Poor,0
2016-2018,Percentage,Hudson Bay,Undeveloped,Excellent,4
2016-2018,Percentage,Hudson Bay,Undeveloped,Good,0
2016-2018,Percentage,Hudson Bay,Undeveloped,Fair,0
2016-2018,Percentage,Hudson Bay,Undeveloped,Marginal,0
2016-2018,Percentage,Hudson Bay,Undeveloped,Poor,0
2016-2018,Number,Hudson Bay,Agriculture,Excellent,0
2016-2018,Number,Hudson Bay,Agriculture,Good,5
2016-2018,Number,Hudson Bay,Agriculture,Fair,10
2016-2018,Number,Hudson Bay,Agriculture,Marginal,4
2016-2018,Number,Hudson Bay,Agriculture,Poor,1
2016-2018,Number,Hudson Bay,Forestry,Excellent,0
2016-2018,Number,Hudson Bay,Forestry,Good,0
2016-2018,Number,Hudson Bay,Forestry,Fair,0
2016-2018,Number,Hudson Bay,Forestry,Marginal,0
2016-2018,Number,Hudson Bay,Forestry,Poor,0
2016-2018,Number,Hudson Bay,Mining,Excellent,0
2016-2018,Number,Hudson Bay,Mining,Good,0
2016-2018,Number,Hudson Bay,Mining,Fair,0
2016-2018,Number,Hudson Bay,Mining,Marginal,0
2016-2018,Number,Hudson Bay,Mining,Poor,0
2016-2018,Number,Hudson Bay,Populated,Excellent,0
2016-2018,Number,Hudson Bay,Populated,Good,0
2016-2018,Number,Hudson Bay,Populated,Fair,0
2016-2018,Number,Hudson Bay,Populated,Marginal,0
2016-2018,Number,Hudson Bay,Populated,Poor,0
2016-2018,Number,Hudson Bay,Mixed pressures,Excellent,3
2016-2018,Number,Hudson Bay,Mixed pressures,Good,9
2016-2018,Number,Hudson Bay,Mixed pressures,Fair,8
2016-2018,Number,Hudson Bay,Mixed pressures,Marginal,3
2016-2018,Number,Hudson Bay,Mixed pressures,Poor,0
2016-2018,Number,Hudson Bay,Undeveloped,Excellent,2
2016-2018,Number,Hudson Bay,Undeveloped,Good,0
2016-2018,Number,Hudson Bay,Undeveloped,Fair,0
2016-2018,Number,Hudson Bay,Undeveloped,Marginal,0
2016-2018,Number,Hudson Bay,Undeveloped,Poor,0
2016-2018,Percentage,Mackenzie River,Agriculture,Excellent,0
2016-2018,Percentage,Mackenzie River,Agriculture,Good,0
2016-2018,Percentage,Mackenzie River,Agriculture,Fair,0
2016-2018,Percentage,Mackenzie River,Agriculture,Marginal,0
2016-2018,Percentage,Mackenzie River,Agriculture,Poor,0
2016-2018,Percentage,Mackenzie River,Forestry,Excellent,0
2016-2018,Percentage,Mackenzie River,Forestry,Good,0
2016-2018,Percentage,Mackenzie River,Forestry,Fair,0
2016-2018,Percentage,Mackenzie River,Forestry,Marginal,0
2016-2018,Percentage,Mackenzie River,Forestry,Poor,0
2016-2018,Percentage,Mackenzie River,Mining,Excellent,0
2016-2018,Percentage,Mackenzie River,Mining,Good,10
2016-2018,Percentage,Mackenzie River,Mining,Fair,10
2016-2018,Percentage,Mackenzie River,Mining,Marginal,0
2016-2018,Percentage,Mackenzie River,Mining,Poor,0
2016-2018,Percentage,Mackenzie River,Populated,Excellent,0
2016-2018,Percentage,Mackenzie River,Populated,Good,0
2016-2018,Percentage,Mackenzie River,Populated,Fair,0
2016-2018,Percentage,Mackenzie River,Populated,Marginal,0
2016-2018,Percentage,Mackenzie River,Populated,Poor,0
2016-2018,Percentage,Mackenzie River,Mixed pressures,Excellent,5
2016-2018,Percentage,Mackenzie River,Mixed pressures,Good,10
2016-2018,Percentage,Mackenzie River,Mixed pressures,Fair,25
2016-2018,Percentage,Mackenzie River,Mixed pressures,Marginal,0
2016-2018,Percentage,Mackenzie River,Mixed pressures,Poor,0
2016-2018,Percentage,Mackenzie River,Undeveloped,Excellent,10
2016-2018,Percentage,Mackenzie River,Undeveloped,Good,15
2016-2018,Percentage,Mackenzie River,Undeveloped,Fair,15
2016-2018,Percentage,Mackenzie River,Undeveloped,Marginal,0
2016-2018,Percentage,Mackenzie River,Undeveloped,Poor,0
2016-2018,Number,Mackenzie River,Agriculture,Excellent,0
2016-2018,Number,Mackenzie River,Agriculture,Good,0
2016-2018,Number,Mackenzie River,Agriculture,Fair,0
2016-2018,Number,Mackenzie River,Agriculture,Marginal,0
2016-2018,Number,Mackenzie River,Agriculture,Poor,0
2016-2018,Number,Mackenzie River,Forestry,Excellent,0
2016-2018,Number,Mackenzie River,Forestry,Good,0
2016-2018,Number,Mackenzie River,Forestry,Fair,0
2016-2018,Number,Mackenzie River,Forestry,Marginal,0
2016-2018,Number,Mackenzie River,Forestry,Poor,0
2016-2018,Number,Mackenzie River,Mining,Excellent,0
2016-2018,Number,Mackenzie River,Mining,Good,2
2016-2018,Number,Mackenzie River,Mining,Fair,2
2016-2018,Number,Mackenzie River,Mining,Marginal,0
2016-2018,Number,Mackenzie River,Mining,Poor,0
2016-2018,Number,Mackenzie River,Populated,Excellent,0
2016-2018,Number,Mackenzie River,Populated,Good,0
2016-2018,Number,Mackenzie River,Populated,Fair,0
2016-2018,Number,Mackenzie River,Populated,Marginal,0
2016-2018,Number,Mackenzie River,Populated,Poor,0
2016-2018,Number,Mackenzie River,Mixed pressures,Excellent,1
2016-2018,Number,Mackenzie River,Mixed pressures,Good,2
2016-2018,Number,Mackenzie River,Mixed pressures,Fair,5
2016-2018,Number,Mackenzie River,Mixed pressures,Marginal,0
2016-2018,Number,Mackenzie River,Mixed pressures,Poor,0
2016-2018,Number,Mackenzie River,Undeveloped,Excellent,2
2016-2018,Number,Mackenzie River,Undeveloped,Good,3
2016-2018,Number,Mackenzie River,Undeveloped,Fair,3
2016-2018,Number,Mackenzie River,Undeveloped,Marginal,0
2016-2018,Number,Mackenzie River,Undeveloped,Poor,0
2016-2018,Percentage,Pacific Ocean,Agriculture,Excellent,0
2016-2018,Percentage,Pacific Ocean,Agriculture,Good,0
2016-2018,Percentage,Pacific Ocean,Agriculture,Fair,0
2016-2018,Percentage,Pacific Ocean,Agriculture,Marginal,0
2016-2018,Percentage,Pacific Ocean,Agriculture,Poor,0
2016-2018,Percentage,Pacific Ocean,Forestry,Excellent,0
2016-2018,Percentage,Pacific Ocean,Forestry,Good,8
2016-2018,Percentage,Pacific Ocean,Forestry,Fair,0
2016-2018,Percentage,Pacific Ocean,Forestry,Marginal,0
2016-2018,Percentage,Pacific Ocean,Forestry,Poor,0
2016-2018,Percentage,Pacific Ocean,Mining,Excellent,0
2016-2018,Percentage,Pacific Ocean,Mining,Good,8
2016-2018,Percentage,Pacific Ocean,Mining,Fair,4
2016-2018,Percentage,Pacific Ocean,Mining,Marginal,12
2016-2018,Percentage,Pacific Ocean,Mining,Poor,0
2016-2018,Percentage,Pacific Ocean,Populated,Excellent,0
2016-2018,Percentage,Pacific Ocean,Populated,Good,0
2016-2018,Percentage,Pacific Ocean,Populated,Fair,0
2016-2018,Percentage,Pacific Ocean,Populated,Marginal,0
2016-2018,Percentage,Pacific Ocean,Populated,Poor,0
2016-2018,Percentage,Pacific Ocean,Mixed pressures,Excellent,0
2016-2018,Percentage,Pacific Ocean,Mixed pressures,Good,8
2016-2018,Percentage,Pacific Ocean,Mixed pressures,Fair,36
2016-2018,Percentage,Pacific Ocean,Mixed pressures,Marginal,8
2016-2018,Percentage,Pacific Ocean,Mixed pressures,Poor,4
2016-2018,Percentage,Pacific Ocean,Undeveloped,Excellent,8
2016-2018,Percentage,Pacific Ocean,Undeveloped,Good,4
2016-2018,Percentage,Pacific Ocean,Undeveloped,Fair,0
2016-2018,Percentage,Pacific Ocean,Undeveloped,Marginal,0
2016-2018,Percentage,Pacific Ocean,Undeveloped,Poor,0
2016-2018,Number,Pacific Ocean,Agriculture,Excellent,0
2016-2018,Number,Pacific Ocean,Agriculture,Good,0
2016-2018,Number,Pacific Ocean,Agriculture,Fair,0
2016-2018,Number,Pacific Ocean,Agriculture,Marginal,0
2016-2018,Number,Pacific Ocean,Agriculture,Poor,0
2016-2018,Number,Pacific Ocean,Forestry,Excellent,0
2016-2018,Number,Pacific Ocean,Forestry,Good,2
2016-2018,Number,Pacific Ocean,Forestry,Fair,0
2016-2018,Number,Pacific Ocean,Forestry,Marginal,0
2016-2018,Number,Pacific Ocean,Forestry,Poor,0
2016-2018,Number,Pacific Ocean,Mining,Excellent,0
2016-2018,Number,Pacific Ocean,Mining,Good,2
2016-2018,Number,Pacific Ocean,Mining,Fair,1
2016-2018,Number,Pacific Ocean,Mining,Marginal,3
2016-2018,Number,Pacific Ocean,Mining,Poor,0
2016-2018,Number,Pacific Ocean,Populated,Excellent,0
2016-2018,Number,Pacific Ocean,Populated,Good,0
2016-2018,Number,Pacific Ocean,Populated,Fair,0
2016-2018,Number,Pacific Ocean,Populated,Marginal,0
2016-2018,Number,Pacific Ocean,Populated,Poor,0
2016-2018,Number,Pacific Ocean,Mixed pressures,Excellent,0
2016-2018,Number,Pacific Ocean,Mixed pressures,Good,2
2016-2018,Number,Pacific Ocean,Mixed pressures,Fair,9
2016-2018,Number,Pacific Ocean,Mixed pressures,Marginal,2
2016-2018,Number,Pacific Ocean,Mixed pressures,Poor,1
2016-2018,Number,Pacific Ocean,Undeveloped,Excellent,2
2016-2018,Number,Pacific Ocean,Undeveloped,Good,1
2016-2018,Number,Pacific Ocean,Undeveloped,Fair,0
2016-2018,Number,Pacific Ocean,Undeveloped,Marginal,0
2016-2018,Number,Pacific Ocean,Undeveloped,Poor,0
