Year,Age,Generation,Type of household,Ownership status,Income quintile,Main source of household income,Value
2024 Q4,,,,Owner without mortgage,,,56.6
2024 Q4,,,,Renter,,,57.3
2015 Q4,,,,,Lowest income quintile,,273.1
2015 Q4,,,,,Second income quintile,,197.3
2015 Q4,,,,,Third income quintile,,206.2
2015 Q4,,,,,Fourth income quintile,,185.8
2015 Q4,,,,,Highest income quintile,,144.2
2015 Q4,,,,,"Lowest income quintile, less than 35 years",,244.3
2015 Q4,,,,,"Lowest income quintile, 35 to 44 years",,393.5
2015 Q4,,,,,"Lowest income quintile, 45 to 54 years",,443.6
2015 Q4,,,,,"Lowest income quintile, 55 to 64 years",,321.6
2015 Q4,,,,,"Lowest income quintile, 65 years and over",,92.3
2015 Q4,,,,,"Second income quintile, less than 35 years",,218.4
2015 Q4,,,,,"Second income quintile, 35 to 44 years",,248.8
2015 Q4,,,,,"Second income quintile, 45 to 54 years",,288.2
2015 Q4,,,,,"Second income quintile, 55 to 64 years",,198.5
2015 Q4,,,,,"Second income quintile, 65 years and over",,66.2
2015 Q4,,,,,"Third income quintile, less than 35 years",,239.4
2015 Q4,,,,,"Third income quintile, 35 to 44 years",,268.1
2015 Q4,,,,,"Third income quintile, 45 to 54 years",,232.3
2015 Q4,,,,,"Third income quintile, 55 to 64 years",,229.1
2015 Q4,,,,,"Third income quintile, 65 years and over",,61.0
2015 Q4,,,,,"Fourth income quintile, less than 35 years",,205.7
2015 Q4,,,,,"Fourth income quintile, 35 to 44 years",,258.8
2015 Q4,,,,,"Fourth income quintile, 45 to 54 years",,184.7
2015 Q4,,,,,"Fourth income quintile, 55 to 64 years",,171.4
2015 Q4,,,,,"Fourth income quintile, 65 years and over",,81.9
2015 Q4,,,,,"Highest income quintile, less than 35 years",,165.9
2015 Q4,,,,,"Highest income quintile, 35 to 44 years",,205.4
2015 Q4,,,,,"Highest income quintile, 45 to 54 years",,160.3
2015 Q4,,,,,"Highest income quintile, 55 to 64 years",,127.8
2015 Q4,,,,,"Highest income quintile, 65 years and over",,64.9
2016 Q4,,,,,Lowest income quintile,,262.5
2016 Q4,,,,,Second income quintile,,198.5
2016 Q4,,,,,Third income quintile,,218.8
2016 Q4,,,,,Fourth income quintile,,197.2
2016 Q4,,,,,Highest income quintile,,154.8
2016 Q4,,,,,"Lowest income quintile, less than 35 years",,249.8
2016 Q4,,,,,"Lowest income quintile, 35 to 44 years",,329.7
2016 Q4,,,,,"Lowest income quintile, 45 to 54 years",,440.4
2016 Q4,,,,,"Lowest income quintile, 55 to 64 years",,320.3
2016 Q4,,,,,"Lowest income quintile, 65 years and over",,90.7
2016 Q4,,,,,"Second income quintile, less than 35 years",,214.8
2016 Q4,,,,,"Second income quintile, 35 to 44 years",,218.1
2016 Q4,,,,,"Second income quintile, 45 to 54 years",,317.6
2016 Q4,,,,,"Second income quintile, 55 to 64 years",,233.5
2016 Q4,,,,,"Second income quintile, 65 years and over",,63.0
2016 Q4,,,,,"Third income quintile, less than 35 years",,257.6
2016 Q4,,,,,"Third income quintile, 35 to 44 years",,299.6
2016 Q4,,,,,"Third income quintile, 45 to 54 years",,259.1
2016 Q4,,,,,"Third income quintile, 55 to 64 years",,222.0
2016 Q4,,,,,"Third income quintile, 65 years and over",,54.4
2016 Q4,,,,,"Fourth income quintile, less than 35 years",,209.5
2016 Q4,,,,,"Fourth income quintile, 35 to 44 years",,257.4
2016 Q4,,,,,"Fourth income quintile, 45 to 54 years",,200.8
2016 Q4,,,,,"Fourth income quintile, 55 to 64 years",,194.7
2016 Q4,,,,,"Fourth income quintile, 65 years and over",,101.5
2016 Q4,,,,,"Highest income quintile, less than 35 years",,169.8
2016 Q4,,,,,"Highest income quintile, 35 to 44 years",,223.5
2016 Q4,,,,,"Highest income quintile, 45 to 54 years",,172.9
2016 Q4,,,,,"Highest income quintile, 55 to 64 years",,141.9
2016 Q4,,,,,"Highest income quintile, 65 years and over",,71.3
2017 Q4,,,,,Lowest income quintile,,256.3
2017 Q4,,,,,Second income quintile,,203.5
2017 Q4,,,,,Third income quintile,,228.1
2017 Q4,,,,,Fourth income quintile,,193.6
2017 Q4,,,,,Highest income quintile,,154.2
2017 Q4,,,,,"Lowest income quintile, less than 35 years",,259.8
2017 Q4,,,,,"Lowest income quintile, 35 to 44 years",,279.4
2017 Q4,,,,,"Lowest income quintile, 45 to 54 years",,454.9
2017 Q4,,,,,"Lowest income quintile, 55 to 64 years",,329.2
2017 Q4,,,,,"Lowest income quintile, 65 years and over",,89.1
2017 Q4,,,,,"Second income quintile, less than 35 years",,207.0
2017 Q4,,,,,"Second income quintile, 35 to 44 years",,220.7
2017 Q4,,,,,"Second income quintile, 45 to 54 years",,358.6
2017 Q4,,,,,"Second income quintile, 55 to 64 years",,233.2
2017 Q4,,,,,"Second income quintile, 65 years and over",,66.4
2017 Q4,,,,,"Third income quintile, less than 35 years",,257.8
2017 Q4,,,,,"Third income quintile, 35 to 44 years",,306.3
2017 Q4,,,,,"Third income quintile, 45 to 54 years",,282.8
2017 Q4,,,,,"Third income quintile, 55 to 64 years",,238.7
2017 Q4,,,,,"Third income quintile, 65 years and over",,63.9
2017 Q4,,,,,"Fourth income quintile, less than 35 years",,204.2
2017 Q4,,,,,"Fourth income quintile, 35 to 44 years",,260.4
2017 Q4,,,,,"Fourth income quintile, 45 to 54 years",,201.8
2017 Q4,,,,,"Fourth income quintile, 55 to 64 years",,180.6
2017 Q4,,,,,"Fourth income quintile, 65 years and over",,93.0
2017 Q4,,,,,"Highest income quintile, less than 35 years",,171.4
2017 Q4,,,,,"Highest income quintile, 35 to 44 years",,210.3
2017 Q4,,,,,"Highest income quintile, 45 to 54 years",,166.0
2017 Q4,,,,,"Highest income quintile, 55 to 64 years",,152.6
2017 Q4,,,,,"Highest income quintile, 65 years and over",,73.6
2018 Q4,,,,,Lowest income quintile,,270.5
2018 Q4,,,,,Second income quintile,,207.8
2018 Q4,,,,,Third income quintile,,229.3
2018 Q4,,,,,Fourth income quintile,,197.3
2018 Q4,,,,,Highest income quintile,,152.6
2018 Q4,,,,,"Lowest income quintile, less than 35 years",,246.2
2018 Q4,,,,,"Lowest income quintile, 35 to 44 years",,368.5
2018 Q4,,,,,"Lowest income quintile, 45 to 54 years",,512.1
2018 Q4,,,,,"Lowest income quintile, 55 to 64 years",,325.1
2018 Q4,,,,,"Lowest income quintile, 65 years and over",,83.8
2018 Q4,,,,,"Second income quintile, less than 35 years",,189.0
2018 Q4,,,,,"Second income quintile, 35 to 44 years",,275.1
2018 Q4,,,,,"Second income quintile, 45 to 54 years",,347.6
2018 Q4,,,,,"Second income quintile, 55 to 64 years",,252.9
2018 Q4,,,,,"Second income quintile, 65 years and over",,61.7
2018 Q4,,,,,"Third income quintile, less than 35 years",,261.4
2018 Q4,,,,,"Third income quintile, 35 to 44 years",,313.5
2018 Q4,,,,,"Third income quintile, 45 to 54 years",,280.2
2018 Q4,,,,,"Third income quintile, 55 to 64 years",,220.0
2018 Q4,,,,,"Third income quintile, 65 years and over",,78.8
2018 Q4,,,,,"Fourth income quintile, less than 35 years",,214.4
2018 Q4,,,,,"Fourth income quintile, 35 to 44 years",,254.3
2018 Q4,,,,,"Fourth income quintile, 45 to 54 years",,220.4
2018 Q4,,,,,"Fourth income quintile, 55 to 64 years",,175.6
2018 Q4,,,,,"Fourth income quintile, 65 years and over",,89.9
2018 Q4,,,,,"Highest income quintile, less than 35 years",,160.6
2018 Q4,,,,,"Highest income quintile, 35 to 44 years",,202.6
2018 Q4,,,,,"Highest income quintile, 45 to 54 years",,185.5
2018 Q4,,,,,"Highest income quintile, 55 to 64 years",,142.4
2018 Q4,,,,,"Highest income quintile, 65 years and over",,68.1
2019 Q4,,,,,Lowest income quintile,,296.6
2019 Q4,,,,,Second income quintile,,206.5
2019 Q4,,,,,Third income quintile,,221.5
2019 Q4,,,,,Fourth income quintile,,197.6
2019 Q4,,,,,Highest income quintile,,149.3
2019 Q4,,,,,"Lowest income quintile, less than 35 years",,245.6
2019 Q4,,,,,"Lowest income quintile, 35 to 44 years",,453.6
2019 Q4,,,,,"Lowest income quintile, 45 to 54 years",,592.0
2019 Q4,,,,,"Lowest income quintile, 55 to 64 years",,325.4
2019 Q4,,,,,"Lowest income quintile, 65 years and over",,82.6
2019 Q4,,,,,"Second income quintile, less than 35 years",,191.9
2019 Q4,,,,,"Second income quintile, 35 to 44 years",,290.3
2019 Q4,,,,,"Second income quintile, 45 to 54 years",,325.5
2019 Q4,,,,,"Second income quintile, 55 to 64 years",,256.7
2019 Q4,,,,,"Second income quintile, 65 years and over",,55.3
2019 Q4,,,,,"Third income quintile, less than 35 years",,257.4
2019 Q4,,,,,"Third income quintile, 35 to 44 years",,321.9
2019 Q4,,,,,"Third income quintile, 45 to 54 years",,260.9
2019 Q4,,,,,"Third income quintile, 55 to 64 years",,193.7
2019 Q4,,,,,"Third income quintile, 65 years and over",,82.1
2019 Q4,,,,,"Fourth income quintile, less than 35 years",,219.6
2019 Q4,,,,,"Fourth income quintile, 35 to 44 years",,248.3
2019 Q4,,,,,"Fourth income quintile, 45 to 54 years",,229.6
2019 Q4,,,,,"Fourth income quintile, 55 to 64 years",,178.7
2019 Q4,,,,,"Fourth income quintile, 65 years and over",,84.8
2019 Q4,,,,,"Highest income quintile, less than 35 years",,151.1
2019 Q4,,,,,"Highest income quintile, 35 to 44 years",,199.5
2019 Q4,,,,,"Highest income quintile, 45 to 54 years",,197.2
2019 Q4,,,,,"Highest income quintile, 55 to 64 years",,130.0
2019 Q4,,,,,"Highest income quintile, 65 years and over",,64.2
2020 Q4,,,,,Lowest income quintile,,409.0
2020 Q4,,,,,Second income quintile,,166.8
2020 Q4,,,,,Third income quintile,,169.1
2020 Q4,,,,,Fourth income quintile,,183.3
2020 Q4,,,,,Highest income quintile,,144.3
2020 Q4,,,,,"Lowest income quintile, less than 35 years",,366.2
2020 Q4,,,,,"Lowest income quintile, 35 to 44 years",,633.8
2020 Q4,,,,,"Lowest income quintile, 45 to 54 years",,857.0
2020 Q4,,,,,"Lowest income quintile, 55 to 64 years",,539.4
2020 Q4,,,,,"Lowest income quintile, 65 years and over",,98.7
2020 Q4,,,,,"Second income quintile, less than 35 years",,179.1
2020 Q4,,,,,"Second income quintile, 35 to 44 years",,194.4
2020 Q4,,,,,"Second income quintile, 45 to 54 years",,302.9
2020 Q4,,,,,"Second income quintile, 55 to 64 years",,176.3
2020 Q4,,,,,"Second income quintile, 65 years and over",,62.2
2020 Q4,,,,,"Third income quintile, less than 35 years",,145.8
2020 Q4,,,,,"Third income quintile, 35 to 44 years",,211.0
2020 Q4,,,,,"Third income quintile, 45 to 54 years",,205.6
2020 Q4,,,,,"Third income quintile, 55 to 64 years",,225.2
2020 Q4,,,,,"Third income quintile, 65 years and over",,76.2
2020 Q4,,,,,"Fourth income quintile, less than 35 years",,228.9
2020 Q4,,,,,"Fourth income quintile, 35 to 44 years",,224.3
2020 Q4,,,,,"Fourth income quintile, 45 to 54 years",,208.7
2020 Q4,,,,,"Fourth income quintile, 55 to 64 years",,136.8
2020 Q4,,,,,"Fourth income quintile, 65 years and over",,90.0
2020 Q4,,,,,"Highest income quintile, less than 35 years",,154.7
2020 Q4,,,,,"Highest income quintile, 35 to 44 years",,219.3
2020 Q4,,,,,"Highest income quintile, 45 to 54 years",,150.4
2020 Q4,,,,,"Highest income quintile, 55 to 64 years",,131.8
2020 Q4,,,,,"Highest income quintile, 65 years and over",,56.9
2021 Q4,,,,,Lowest income quintile,,403.6
2021 Q4,,,,,Second income quintile,,161.0
2021 Q4,,,,,Third income quintile,,168.0
2021 Q4,,,,,Fourth income quintile,,191.4
2021 Q4,,,,,Highest income quintile,,159.3
2021 Q4,,,,,"Lowest income quintile, less than 35 years",,364.2
2021 Q4,,,,,"Lowest income quintile, 35 to 44 years",,572.5
2021 Q4,,,,,"Lowest income quintile, 45 to 54 years",,954.9
2021 Q4,,,,,"Lowest income quintile, 55 to 64 years",,622.1
2021 Q4,,,,,"Lowest income quintile, 65 years and over",,101.3
2021 Q4,,,,,"Second income quintile, less than 35 years",,116.4
2021 Q4,,,,,"Second income quintile, 35 to 44 years",,218.7
2021 Q4,,,,,"Second income quintile, 45 to 54 years",,279.9
2021 Q4,,,,,"Second income quintile, 55 to 64 years",,160.8
2021 Q4,,,,,"Second income quintile, 65 years and over",,81.0
2021 Q4,,,,,"Third income quintile, less than 35 years",,177.6
2021 Q4,,,,,"Third income quintile, 35 to 44 years",,208.9
2021 Q4,,,,,"Third income quintile, 45 to 54 years",,192.2
2021 Q4,,,,,"Third income quintile, 55 to 64 years",,184.7
2021 Q4,,,,,"Third income quintile, 65 years and over",,75.2
2021 Q4,,,,,"Fourth income quintile, less than 35 years",,217.7
2021 Q4,,,,,"Fourth income quintile, 35 to 44 years",,235.3
2021 Q4,,,,,"Fourth income quintile, 45 to 54 years",,210.3
2021 Q4,,,,,"Fourth income quintile, 55 to 64 years",,161.8
2021 Q4,,,,,"Fourth income quintile, 65 years and over",,99.0
2021 Q4,,,,,"Highest income quintile, less than 35 years",,179.0
2021 Q4,,,,,"Highest income quintile, 35 to 44 years",,242.4
2021 Q4,,,,,"Highest income quintile, 45 to 54 years",,167.7
2021 Q4,,,,,"Highest income quintile, 55 to 64 years",,138.6
2021 Q4,,,,,"Highest income quintile, 65 years and over",,55.6
2022 Q4,,,,,Lowest income quintile,,431.0
2022 Q4,,,,,Second income quintile,,172.1
2022 Q4,,,,,Third income quintile,,163.9
2022 Q4,,,,,Fourth income quintile,,192.4
2022 Q4,,,,,Highest income quintile,,142.3
2022 Q4,,,,,"Lowest income quintile, less than 35 years",,364.7
2022 Q4,,,,,"Lowest income quintile, 35 to 44 years",,582.2
2022 Q4,,,,,"Lowest income quintile, 45 to 54 years",,946.6
2022 Q4,,,,,"Lowest income quintile, 55 to 64 years",,543.5
2022 Q4,,,,,"Lowest income quintile, 65 years and over",,127.6
2022 Q4,,,,,"Second income quintile, less than 35 years",,168.2
2022 Q4,,,,,"Second income quintile, 35 to 44 years",,248.2
2022 Q4,,,,,"Second income quintile, 45 to 54 years",,310.8
2022 Q4,,,,,"Second income quintile, 55 to 64 years",,151.8
2022 Q4,,,,,"Second income quintile, 65 years and over",,70.0
2022 Q4,,,,,"Third income quintile, less than 35 years",,169.2
2022 Q4,,,,,"Third income quintile, 35 to 44 years",,224.0
2022 Q4,,,,,"Third income quintile, 45 to 54 years",,185.9
2022 Q4,,,,,"Third income quintile, 55 to 64 years",,197.2
2022 Q4,,,,,"Third income quintile, 65 years and over",,64.4
2022 Q4,,,,,"Fourth income quintile, less than 35 years",,220.7
2022 Q4,,,,,"Fourth income quintile, 35 to 44 years",,281.0
2022 Q4,,,,,"Fourth income quintile, 45 to 54 years",,204.3
2022 Q4,,,,,"Fourth income quintile, 55 to 64 years",,147.7
2022 Q4,,,,,"Fourth income quintile, 65 years and over",,78.5
2022 Q4,,,,,"Highest income quintile, less than 35 years",,157.8
2022 Q4,,,,,"Highest income quintile, 35 to 44 years",,209.6
2022 Q4,,,,,"Highest income quintile, 45 to 54 years",,158.9
2022 Q4,,,,,"Highest income quintile, 55 to 64 years",,130.0
2022 Q4,,,,,"Highest income quintile, 65 years and over",,50.6
2023 Q4,,,,,Lowest income quintile,,498.3
2023 Q4,,,,,Second income quintile,,176.6
2023 Q4,,,,,Third income quintile,,164.5
2023 Q4,,,,,Fourth income quintile,,183.6
2023 Q4,,,,,Highest income quintile,,130.8
2023 Q4,,,,,"Lowest income quintile, less than 35 years",,468.1
2023 Q4,,,,,"Lowest income quintile, 35 to 44 years",,637.4
2023 Q4,,,,,"Lowest income quintile, 45 to 54 years",,1104.3
2023 Q4,,,,,"Lowest income quintile, 55 to 64 years",,655.5
2023 Q4,,,,,"Lowest income quintile, 65 years and over",,129.9
2023 Q4,,,,,"Second income quintile, less than 35 years",,131.3
2023 Q4,,,,,"Second income quintile, 35 to 44 years",,277.7
2023 Q4,,,,,"Second income quintile, 45 to 54 years",,284.3
2023 Q4,,,,,"Second income quintile, 55 to 64 years",,222.7
2023 Q4,,,,,"Second income quintile, 65 years and over",,72.7
2023 Q4,,,,,"Third income quintile, less than 35 years",,168.0
2023 Q4,,,,,"Third income quintile, 35 to 44 years",,224.4
2023 Q4,,,,,"Third income quintile, 45 to 54 years",,197.2
2023 Q4,,,,,"Third income quintile, 55 to 64 years",,189.1
2023 Q4,,,,,"Third income quintile, 65 years and over",,64.9
2023 Q4,,,,,"Fourth income quintile, less than 35 years",,190.9
2023 Q4,,,,,"Fourth income quintile, 35 to 44 years",,251.0
2023 Q4,,,,,"Fourth income quintile, 45 to 54 years",,224.9
2023 Q4,,,,,"Fourth income quintile, 55 to 64 years",,148.8
2023 Q4,,,,,"Fourth income quintile, 65 years and over",,73.8
2023 Q4,,,,,"Highest income quintile, less than 35 years",,135.3
2023 Q4,,,,,"Highest income quintile, 35 to 44 years",,210.5
2023 Q4,,,,,"Highest income quintile, 45 to 54 years",,141.3
2023 Q4,,,,,"Highest income quintile, 55 to 64 years",,125.7
2023 Q4,,,,,"Highest income quintile, 65 years and over",,49.6
2024 Q4,,,,,Lowest income quintile,,450.2
2024 Q4,,,,,Second income quintile,,170.2
2024 Q4,,,,,Third income quintile,,165.1
2024 Q4,,,,,Fourth income quintile,,179.8
2024 Q4,,,,,Highest income quintile,,129.3
2024 Q4,,,,,"Lowest income quintile, less than 35 years",,427.1
2024 Q4,,,,,"Lowest income quintile, 35 to 44 years",,582.4
2024 Q4,,,,,"Lowest income quintile, 45 to 54 years",,919.7
2024 Q4,,,,,"Lowest income quintile, 55 to 64 years",,621.4
2024 Q4,,,,,"Lowest income quintile, 65 years and over",,124.0
2024 Q4,,,,,"Second income quintile, less than 35 years",,120.5
2024 Q4,,,,,"Second income quintile, 35 to 44 years",,236.2
2024 Q4,,,,,"Second income quintile, 45 to 54 years",,287.1
2024 Q4,,,,,"Second income quintile, 55 to 64 years",,227.1
2024 Q4,,,,,"Second income quintile, 65 years and over",,76.4
2024 Q4,,,,,"Third income quintile, less than 35 years",,163.0
2024 Q4,,,,,"Third income quintile, 35 to 44 years",,220.0
2024 Q4,,,,,"Third income quintile, 45 to 54 years",,203.6
2024 Q4,,,,,"Third income quintile, 55 to 64 years",,186.9
2024 Q4,,,,,"Third income quintile, 65 years and over",,68.1
2024 Q4,,,,,"Fourth income quintile, less than 35 years",,174.4
2024 Q4,,,,,"Fourth income quintile, 35 to 44 years",,250.2
2024 Q4,,,,,"Fourth income quintile, 45 to 54 years",,217.5
2024 Q4,,,,,"Fourth income quintile, 55 to 64 years",,163.0
2024 Q4,,,,,"Fourth income quintile, 65 years and over",,71.7
2024 Q4,,,,,"Highest income quintile, less than 35 years",,140.0
2024 Q4,,,,,"Highest income quintile, 35 to 44 years",,207.3
2024 Q4,,,,,"Highest income quintile, 45 to 54 years",,141.9
2024 Q4,,,,,"Highest income quintile, 55 to 64 years",,127.8
2024 Q4,,,,,"Highest income quintile, 65 years and over",,47.1
2015 Q4,,,,,,Wages and salaries,203.5
2015 Q4,,,,,,Self-employment income,300.0
2015 Q4,,,,,,Net property income,102.0
2015 Q4,,,,,,Current transfers received - pension benefits,76.7
2015 Q4,,,,,,Current transfers received - others,155.5
2016 Q4,,,,,,Wages and salaries,216.7
2016 Q4,,,,,,Self-employment income,311.1
2016 Q4,,,,,,Net property income,115.8
2016 Q4,,,,,,Current transfers received - pension benefits,75.0
2016 Q4,,,,,,Current transfers received - others,165.0
2017 Q4,,,,,,Wages and salaries,215.7
2017 Q4,,,,,,Self-employment income,318.3
2017 Q4,,,,,,Net property income,113.4
2017 Q4,,,,,,Current transfers received - pension benefits,78.3
2017 Q4,,,,,,Current transfers received - others,176.6
2018 Q4,,,,,,Wages and salaries,218.5
2018 Q4,,,,,,Self-employment income,292.2
2018 Q4,,,,,,Net property income,119.8
2018 Q4,,,,,,Current transfers received - pension benefits,78.1
2018 Q4,,,,,,Current transfers received - others,192.2
2019 Q4,,,,,,Wages and salaries,217.8
2019 Q4,,,,,,Self-employment income,265.1
2019 Q4,,,,,,Net property income,109.8
2019 Q4,,,,,,Current transfers received - pension benefits,77.6
2019 Q4,,,,,,Current transfers received - others,243.6
2020 Q4,,,,,,Wages and salaries,198.0
2020 Q4,,,,,,Self-employment income,213.3
2020 Q4,,,,,,Net property income,121.4
2020 Q4,,,,,,Current transfers received - pension benefits,76.3
2020 Q4,,,,,,Current transfers received - others,234.9
2021 Q4,,,,,,Wages and salaries,204.2
2021 Q4,,,,,,Self-employment income,248.3
2021 Q4,,,,,,Net property income,134.6
2021 Q4,,,,,,Current transfers received - pension benefits,83.3
2021 Q4,,,,,,Current transfers received - others,225.4
