Year,Geography,GeoCode,Value
2021,"Halifax, Nova Scotia",,3.5
2022,"Halifax, Nova Scotia",,15.0
2015,"Hamilton, Ontario",,9.9
2016,"Hamilton, Ontario",,12.5
2017,"Hamilton, Ontario",,16.3
2018,"Hamilton, Ontario",,17.0
2019,"Hamilton, Ontario",,15.7
2020,"Hamilton, Ontario",,9.9
2021,"Hamilton, Ontario",,15.3
2022,"Hamilton, Ontario",,20.6
2015,"Kelowna, British Columbia",,1.5
2016,"Kelowna, British Columbia",,0.5
2017,"Kelowna, British Columbia",,1.0
2018,"Kelowna, British Columbia",,1.4
2019,"Kelowna, British Columbia",,1.4
2020,"Kelowna, British Columbia",,2.7
2021,"Kelowna, British Columbia",,11.0
2022,"Kelowna, British Columbia",,4.7
2015,"Kingston, Ontario",,4.8
2016,"Kingston, Ontario",,4.2
2017,"Kingston, Ontario",,8.4
2018,"Kingston, Ontario",,2.9
2019,"Kingston, Ontario",,5.2
2020,"Kingston, Ontario",,13.2
2021,"Kingston, Ontario",,18.3
2022,"Kingston, Ontario",,23.1
2015,"Kitchener - Cambridge - Waterloo, Ontario",,9.4
2016,"Kitchener - Cambridge - Waterloo, Ontario",,3.5
2017,"Kitchener - Cambridge - Waterloo, Ontario",,9.4
2018,"Kitchener - Cambridge - Waterloo, Ontario",,6.7
2019,"Kitchener - Cambridge - Waterloo, Ontario",,2.5
2020,"Kitchener - Cambridge - Waterloo, Ontario",,8.9
2021,"Kitchener - Cambridge - Waterloo, Ontario",,12.6
2022,"Kitchener - Cambridge - Waterloo, Ontario",,22.7
2017,"Lethbridge, Alberta",,1.7
2018,"Lethbridge, Alberta",,2.4
2019,"Lethbridge, Alberta",,1.6
2020,"Lethbridge, Alberta",,6.3
2021,"Lethbridge, Alberta",,7.8
2022,"Lethbridge, Alberta",,8.4
2015,"London, Ontario",,3.9
2016,"London, Ontario",,3.3
2017,"London, Ontario",,5.0
2018,"London, Ontario",,6.4
2019,"London, Ontario",,6.2
2020,"London, Ontario",,8.1
2021,"London, Ontario",,14.7
2022,"London, Ontario",,14.1
2015,"Moncton, New Brunswick",,1.3
2016,"Moncton, New Brunswick",,5.1
2017,"Moncton, New Brunswick",,4.4
2018,"Moncton, New Brunswick",,5.0
2019,"Moncton, New Brunswick",,4.9
2020,"Moncton, New Brunswick",,4.2
2021,"Moncton, New Brunswick",,3.5
2022,"Moncton, New Brunswick",,3.9
2015,"Montréal, Quebec",,4.2
2016,"Montréal, Quebec",,4.7
2017,"Montréal, Quebec",,7.4
2018,"Montréal, Quebec",,6.1
2019,"Montréal, Quebec",,5.5
2020,"Montréal, Quebec",,6.9
2021,"Montréal, Quebec",,6.0
2022,"Montréal, Quebec",,5.5
2015,"Ottawa, Ontario",,7.3
2016,"Ottawa, Ontario",,9.5
2017,"Ottawa, Ontario",,9.2
2018,"Ottawa, Ontario",,9.9
2019,"Ottawa, Ontario",,10.8
2020,"Ottawa, Ontario",,16.7
2021,"Ottawa, Ontario",,23.3
2022,"Ottawa, Ontario",,28.3
2015,"Peterborough, Ontario",,7.4
2016,"Peterborough, Ontario",,4.0
2017,"Peterborough, Ontario",,9.5
2018,"Peterborough, Ontario",,0.8
2019,"Peterborough, Ontario",,8.6
2020,"Peterborough, Ontario",,19.4
2021,"Peterborough, Ontario",,16.3
2022,"Peterborough, Ontario",,13.7
2015,"Québec, Quebec",,3.5
2016,"Québec, Quebec",,7.1
2017,"Québec, Quebec",,9.9
2018,"Québec, Quebec",,5.7
2019,"Québec, Quebec",,8.0
2020,"Québec, Quebec",,8.1
2021,"Québec, Quebec",,8.9
2022,"Québec, Quebec",,7.9
2015,"Regina, Saskatchewan",,0.4
2016,"Regina, Saskatchewan",,4.4
2017,"Regina, Saskatchewan",,2.0
2018,"Regina, Saskatchewan",,1.9
2019,"Regina, Saskatchewan",,0.8
2020,"Regina, Saskatchewan",,1.5
2021,"Regina, Saskatchewan",,3.8
2022,"Regina, Saskatchewan",,6.7
2015,"Saguenay, Quebec",,3.0
2016,"Saguenay, Quebec",,1.8
2017,"Saguenay, Quebec",,2.4
2018,"Saguenay, Quebec",,1.2
2019,"Saguenay, Quebec",,0.0
2020,"Saguenay, Quebec",,0.0
2021,"Saguenay, Quebec",,3.5
2022,"Saguenay, Quebec",,13.3
2015,"Saint John, New Brunswick",,2.4
2016,"Saint John, New Brunswick",,1.6
2017,"Saint John, New Brunswick",,0.8
2018,"Saint John, New Brunswick",,0.8
2019,"Saint John, New Brunswick",,3.1
2020,"Saint John, New Brunswick",,2.3
2021,"Saint John, New Brunswick",,3.8
2022,"Saint John, New Brunswick",,3.7
2015,"Saskatoon, Saskatchewan",,2.3
2016,"Saskatoon, Saskatchewan",,1.6
2017,"Saskatoon, Saskatchewan",,1.6
2018,"Saskatoon, Saskatchewan",,3.1
2019,"Saskatoon, Saskatchewan",,3.0
2020,"Saskatoon, Saskatchewan",,5.3
2021,"Saskatoon, Saskatchewan",,6.4
2022,"Saskatoon, Saskatchewan",,12.6
2015,"Sherbrooke, Quebec",,4.0
2016,"Sherbrooke, Quebec",,2.0
2017,"Sherbrooke, Quebec",,5.0
2018,"Sherbrooke, Quebec",,4.0
2019,"Sherbrooke, Quebec",,2.4
2020,"Sherbrooke, Quebec",,2.4
2021,"Sherbrooke, Quebec",,3.3
2022,"Sherbrooke, Quebec",,2.8
2015,"St. Catharines - Niagara, Ontario",,2.0
2016,"St. Catharines - Niagara, Ontario",,2.4
2017,"St. Catharines - Niagara, Ontario",,4.5
2018,"St. Catharines - Niagara, Ontario",,1.7
2019,"St. Catharines - Niagara, Ontario",,1.9
2020,"St. Catharines - Niagara, Ontario",,2.1
2021,"St. Catharines - Niagara, Ontario",,4.7
2022,"St. Catharines - Niagara, Ontario",,6.7
2015,"St. John's, Newfoundland and Labrador",,0.5
2016,"St. John's, Newfoundland and Labrador",,0.5
2017,"St. John's, Newfoundland and Labrador",,0.5
2018,"St. John's, Newfoundland and Labrador",,0.5
2019,"St. John's, Newfoundland and Labrador",,1.0
2020,"St. John's, Newfoundland and Labrador",,0.5
2021,"St. John's, Newfoundland and Labrador",,1.9
2022,"St. John's, Newfoundland and Labrador",,1.4
2015,"Thunder Bay, Ontario",,22.3
2016,"Thunder Bay, Ontario",,8.3
2017,"Thunder Bay, Ontario",,17.1
2018,"Thunder Bay, Ontario",,4.8
2019,"Thunder Bay, Ontario",,3.2
2020,"Thunder Bay, Ontario",,11.1
2021,"Thunder Bay, Ontario",,8.0
2022,"Thunder Bay, Ontario",,11.2
2015,"Toronto, Ontario",,5.4
2016,"Toronto, Ontario",,5.2
2017,"Toronto, Ontario",,9.3
2018,"Toronto, Ontario",,7.2
2019,"Toronto, Ontario",,7.2
2020,"Toronto, Ontario",,9.4
2021,"Toronto, Ontario",,13.3
2022,"Toronto, Ontario",,14.2
2015,,,3.8
2016,,,3.9
2017,,,5.7
2018,,,4.9
2019,,,5.2
2020,,,7.0
2021,,,8.8
2022,,,9.2
2015,"Trois-Rivières, Quebec",,1.3
2016,"Trois-Rivières, Quebec",,1.3
2017,"Trois-Rivières, Quebec",,2.6
2018,"Trois-Rivières, Quebec",,0.0
2019,"Trois-Rivières, Quebec",,5.0
2020,"Trois-Rivières, Quebec",,4.3
2021,"Trois-Rivières, Quebec",,11.1
2022,"Trois-Rivières, Quebec",,6.7
2015,"Vancouver, British Columbia",,4.6
2016,"Vancouver, British Columbia",,5.7
2017,"Vancouver, British Columbia",,7.0
2018,"Vancouver, British Columbia",,7.4
2019,"Vancouver, British Columbia",,8.6
2020,"Vancouver, British Columbia",,13.6
2021,"Vancouver, British Columbia",,15.9
2022,"Vancouver, British Columbia",,12.9
2015,"Victoria, British Columbia",,1.9
2016,"Victoria, British Columbia",,4.6
2017,"Victoria, British Columbia",,2.6
2018,"Victoria, British Columbia",,6.3
2019,"Victoria, British Columbia",,4.2
2020,"Victoria, British Columbia",,8.6
2021,"Victoria, British Columbia",,10.4
2022,"Victoria, British Columbia",,8.4
2015,"Windsor, Ontario",,1.3
2016,"Windsor, Ontario",,3.3
2017,"Windsor, Ontario",,5.5
2018,"Windsor, Ontario",,1.6
2019,"Windsor, Ontario",,4.4
2020,"Windsor, Ontario",,3.1
2021,"Windsor, Ontario",,10.4
2022,"Windsor, Ontario",,5.8
2015,"Winnipeg, Manitoba",,3.1
2016,"Winnipeg, Manitoba",,2.6
2017,"Winnipeg, Manitoba",,2.4
2018,"Winnipeg, Manitoba",,3.6
2019,"Winnipeg, Manitoba",,5.0
2020,"Winnipeg, Manitoba",,3.7
2021,"Winnipeg, Manitoba",,4.6
2022,"Winnipeg, Manitoba",,3.2
2016,Newfoundland and Labrador,10,0.4
2017,Newfoundland and Labrador,10,0.4
2018,Newfoundland and Labrador,10,0.4
2019,Newfoundland and Labrador,10,1.1
2020,Newfoundland and Labrador,10,1.7
2021,Newfoundland and Labrador,10,2.3
2016,Prince Edward Island,11,2.0
2017,Prince Edward Island,11,0.7
2018,Prince Edward Island,11,1.3
2019,Prince Edward Island,11,4.5
2020,Prince Edward Island,11,5.0
2021,Prince Edward Island,11,11.6
2016,Nova Scotia,12,2.2
2017,Nova Scotia,12,2.2
2018,Nova Scotia,12,3.3
2019,Nova Scotia,12,3.3
2020,Nova Scotia,12,5.9
2021,Nova Scotia,12,7.3
2016,New Brunswick,13,2.4
2017,New Brunswick,13,2.9
2018,New Brunswick,13,1.9
2019,New Brunswick,13,4.2
2020,New Brunswick,13,2.4
2021,New Brunswick,13,4.9
2016,Quebec,24,4.0
2017,Quebec,24,5.9
2018,Quebec,24,4.5
2019,Quebec,24,4.8
2020,Quebec,24,5.3
2021,Quebec,24,5.7
2016,Ontario,35,4.4
2017,Ontario,35,7.3
2018,Ontario,35,5.7
2019,Ontario,35,5.9
2020,Ontario,35,7.9
2021,Ontario,35,11.0
2016,Manitoba,46,2.8
2017,Manitoba,46,2.7
2018,Manitoba,46,3.1
2019,Manitoba,46,4.1
2020,Manitoba,46,4.2
2021,Manitoba,46,5.4
2016,Saskatchewan,47,2.6
2017,Saskatchewan,47,1.8
2018,Saskatchewan,47,2.6
2019,Saskatchewan,47,2.8
2020,Saskatchewan,47,4.4
2021,Saskatchewan,47,4.9
2016,Alberta,48,3.3
2017,Alberta,48,4.5
2018,Alberta,48,5.7
2019,Alberta,48,4.7
2020,Alberta,48,6.6
2021,Alberta,48,7.6
2016,British Columbia,59,4.3
2017,British Columbia,59,5.2
2018,British Columbia,59,5.2
2019,British Columbia,59,6.1
2020,British Columbia,59,10.1
2021,British Columbia,59,11.5
