Year,Units,Geography,Core public infrastructure assets,Type of municipality by population size,Value
2016,Number,British Columbia,Wastewater,"Rural municipalities, population 1 to 4,999",22.0
2016,Number,British Columbia,Wastewater,"Rural municipalities, population 5,000 or more",5.0
2016,Number,Canada,Potable water,All municipalities,440.0
2016,Number,Canada,Potable water,All urban municipalities,180.0
2016,Number,Canada,Potable water,"Urban municipalities, population 1 to 4,999",42.0
2016,Number,Canada,Potable water,"Urban municipalities, population 5,000 to 29,999",84.0
2016,Number,Canada,Potable water,"Urban municipalities, population 30,000 or more",55.0
2016,Number,Canada,Potable water,All rural municipalities,259.0
2016,Number,Canada,Potable water,"Rural municipalities, population 1 to 4,999",190.0
2016,Number,Canada,Potable water,"Rural municipalities, population 5,000 or more",69.0
2016,Number,Canada,Solid waste,All municipalities,142.0
2016,Number,Canada,Solid waste,All urban municipalities,60.0
2016,Number,Canada,Solid waste,"Urban municipalities, population 1 to 4,999",12.0
2016,Number,Canada,Solid waste,"Urban municipalities, population 5,000 to 29,999",25.0
2016,Number,Canada,Solid waste,"Urban municipalities, population 30,000 or more",23.0
2016,Number,Canada,Solid waste,All rural municipalities,82.0
2016,Number,Canada,Solid waste,"Rural municipalities, population 1 to 4,999",71.0
2016,Number,Canada,Solid waste,"Rural municipalities, population 5,000 or more",11.0
2016,Number,Canada,Stormwater,All municipalities,736.0
2016,Number,Canada,Stormwater,All urban municipalities,347.0
2016,Number,Canada,Stormwater,"Urban municipalities, population 1 to 4,999",69.0
2016,Number,Canada,Stormwater,"Urban municipalities, population 5,000 to 29,999",162.0
2016,Number,Canada,Stormwater,"Urban municipalities, population 30,000 or more",115.0
2016,Number,Canada,Stormwater,All rural municipalities,389.0
2016,Number,Canada,Stormwater,"Rural municipalities, population 1 to 4,999",280.0
2016,Number,Canada,Stormwater,"Rural municipalities, population 5,000 or more",109.0
2016,Number,Canada,Wastewater,All municipalities,539.0
2016,Number,Canada,Wastewater,All urban municipalities,226.0
2016,Number,Canada,Wastewater,"Urban municipalities, population 1 to 4,999",55.0
2016,Number,Canada,Wastewater,"Urban municipalities, population 5,000 to 29,999",102.0
2016,Number,Canada,Wastewater,"Urban municipalities, population 30,000 or more",69.0
2016,Number,Canada,Wastewater,All rural municipalities,314.0
2016,Number,Canada,Wastewater,"Rural municipalities, population 1 to 4,999",237.0
2016,Number,Canada,Wastewater,"Rural municipalities, population 5,000 or more",76.0
2016,Number,Manitoba,Potable water,All municipalities,26.0
2016,Number,Manitoba,Potable water,All urban municipalities,7.0
2016,Number,Manitoba,Potable water,"Urban municipalities, population 1 to 4,999",1.0
2016,Number,Manitoba,Potable water,"Urban municipalities, population 5,000 to 29,999",5.0
2016,Number,Manitoba,Potable water,"Urban municipalities, population 30,000 or more",1.0
2016,Number,Manitoba,Potable water,All rural municipalities,19.0
2016,Number,Manitoba,Potable water,"Rural municipalities, population 1 to 4,999",17.0
2016,Number,Manitoba,Potable water,"Rural municipalities, population 5,000 or more",2.0
2016,Number,Manitoba,Solid waste,All municipalities,16.0
2016,Number,Manitoba,Solid waste,All urban municipalities,5.0
2016,Number,Manitoba,Solid waste,"Urban municipalities, population 1 to 4,999",0.0
2016,Number,Manitoba,Solid waste,"Urban municipalities, population 5,000 to 29,999",5.0
2016,Number,Manitoba,Solid waste,"Urban municipalities, population 30,000 or more",0.0
2016,Number,Manitoba,Solid waste,All rural municipalities,0.0
2016,Number,Manitoba,Solid waste,"Rural municipalities, population 1 to 4,999",0.0
2016,Number,Manitoba,Solid waste,"Rural municipalities, population 5,000 or more",0.0
2016,Number,Manitoba,Stormwater,All municipalities,51.0
2016,Number,Manitoba,Stormwater,All urban municipalities,10.0
2016,Number,Manitoba,Stormwater,"Urban municipalities, population 1 to 4,999",0.0
2016,Number,Manitoba,Stormwater,"Urban municipalities, population 5,000 to 29,999",8.0
2016,Number,Manitoba,Stormwater,"Urban municipalities, population 30,000 or more",2.0
2016,Number,Manitoba,Stormwater,All rural municipalities,41.0
2016,Number,Manitoba,Stormwater,"Rural municipalities, population 1 to 4,999",36.0
2016,Number,Manitoba,Stormwater,"Rural municipalities, population 5,000 or more",5.0
2016,Number,Manitoba,Wastewater,All municipalities,37.0
2016,Number,Manitoba,Wastewater,All urban municipalities,6.0
2016,Number,Manitoba,Wastewater,"Urban municipalities, population 1 to 4,999",0.0
2016,Number,Manitoba,Wastewater,"Urban municipalities, population 5,000 to 29,999",5.0
2016,Number,Manitoba,Wastewater,"Urban municipalities, population 30,000 or more",1.0
2016,Number,Manitoba,Wastewater,All rural municipalities,31.0
2016,Number,Manitoba,Wastewater,"Rural municipalities, population 1 to 4,999",27.0
2016,Number,Manitoba,Wastewater,"Rural municipalities, population 5,000 or more",4.0
2016,Number,New Brunswick,Potable water,All municipalities,22.0
2016,Number,New Brunswick,Potable water,All urban municipalities,9.0
2016,Number,New Brunswick,Potable water,"Urban municipalities, population 1 to 4,999",5.0
2016,Number,New Brunswick,Potable water,"Urban municipalities, population 5,000 to 29,999",4.0
2016,Number,New Brunswick,Potable water,"Urban municipalities, population 30,000 or more",0.0
2016,Number,New Brunswick,Potable water,All rural municipalities,13.0
2016,Number,New Brunswick,Potable water,"Rural municipalities, population 1 to 4,999",11.0
2016,Number,New Brunswick,Potable water,"Rural municipalities, population 5,000 or more",1.0
2016,Number,New Brunswick,Solid waste,All municipalities,1.0
2016,Number,New Brunswick,Solid waste,All urban municipalities,0.0
2016,Number,New Brunswick,Solid waste,"Urban municipalities, population 1 to 4,999",0.0
2016,Number,New Brunswick,Solid waste,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,New Brunswick,Solid waste,"Urban municipalities, population 30,000 or more",0.0
2016,Number,New Brunswick,Solid waste,All rural municipalities,1.0
2016,Number,New Brunswick,Solid waste,"Rural municipalities, population 1 to 4,999",1.0
2016,Number,New Brunswick,Solid waste,"Rural municipalities, population 5,000 or more",0.0
2016,Number,New Brunswick,Stormwater,All municipalities,36.0
2016,Number,New Brunswick,Stormwater,All urban municipalities,15.0
2016,Number,New Brunswick,Stormwater,"Urban municipalities, population 1 to 4,999",8.0
2016,Number,New Brunswick,Stormwater,"Urban municipalities, population 5,000 to 29,999",6.0
2016,Number,New Brunswick,Stormwater,"Urban municipalities, population 30,000 or more",2.0
2016,Number,New Brunswick,Stormwater,All rural municipalities,21.0
2016,Number,New Brunswick,Stormwater,"Rural municipalities, population 1 to 4,999",19.0
2016,Number,New Brunswick,Stormwater,"Rural municipalities, population 5,000 or more",3.0
2016,Number,New Brunswick,Wastewater,All municipalities,27.0
2016,Number,New Brunswick,Wastewater,All urban municipalities,13.0
2016,Number,New Brunswick,Wastewater,"Urban municipalities, population 1 to 4,999",7.0
2016,Number,New Brunswick,Wastewater,"Urban municipalities, population 5,000 to 29,999",6.0
2016,Number,New Brunswick,Wastewater,"Urban municipalities, population 30,000 or more",0.0
2016,Number,New Brunswick,Wastewater,All rural municipalities,15.0
2016,Number,New Brunswick,Wastewater,"Rural municipalities, population 1 to 4,999",15.0
2016,Number,New Brunswick,Wastewater,"Rural municipalities, population 5,000 or more",0.0
2016,Number,Newfoundland and Labrador,Potable water,All municipalities,22.0
2016,Number,Newfoundland and Labrador,Potable water,All urban municipalities,6.0
2016,Number,Newfoundland and Labrador,Potable water,"Urban municipalities, population 1 to 4,999",3.0
2016,Number,Newfoundland and Labrador,Potable water,"Urban municipalities, population 5,000 to 29,999",2.0
2016,Number,Newfoundland and Labrador,Potable water,"Urban municipalities, population 30,000 or more",1.0
2016,Number,Newfoundland and Labrador,Potable water,All rural municipalities,16.0
2016,Number,Newfoundland and Labrador,Potable water,"Rural municipalities, population 1 to 4,999",11.0
2016,Number,Newfoundland and Labrador,Potable water,"Rural municipalities, population 5,000 or more",5.0
2016,Number,Newfoundland and Labrador,Solid waste,All municipalities,7.0
2016,Number,Newfoundland and Labrador,Solid waste,All urban municipalities,4.0
2016,Number,Newfoundland and Labrador,Solid waste,"Urban municipalities, population 1 to 4,999",2.0
2016,Number,Newfoundland and Labrador,Solid waste,"Urban municipalities, population 5,000 to 29,999",1.0
2016,Number,Newfoundland and Labrador,Solid waste,"Urban municipalities, population 30,000 or more",1.0
2016,Number,Newfoundland and Labrador,Solid waste,All rural municipalities,0.0
2016,Number,Newfoundland and Labrador,Solid waste,"Rural municipalities, population 1 to 4,999",0.0
2016,Number,Newfoundland and Labrador,Solid waste,"Rural municipalities, population 5,000 or more",0.0
2016,Number,Newfoundland and Labrador,Stormwater,All municipalities,40.0
2016,Number,Newfoundland and Labrador,Stormwater,All urban municipalities,16.0
2016,Number,Newfoundland and Labrador,Stormwater,"Urban municipalities, population 1 to 4,999",9.0
2016,Number,Newfoundland and Labrador,Stormwater,"Urban municipalities, population 5,000 to 29,999",6.0
2016,Number,Newfoundland and Labrador,Stormwater,"Urban municipalities, population 30,000 or more",1.0
2016,Number,Newfoundland and Labrador,Stormwater,All rural municipalities,24.0
2016,Number,Newfoundland and Labrador,Stormwater,"Rural municipalities, population 1 to 4,999",19.0
2016,Number,Newfoundland and Labrador,Stormwater,"Rural municipalities, population 5,000 or more",5.0
2016,Number,Newfoundland and Labrador,Wastewater,All municipalities,26.0
2016,Number,Newfoundland and Labrador,Wastewater,All urban municipalities,8.0
2016,Number,Newfoundland and Labrador,Wastewater,"Urban municipalities, population 1 to 4,999",5.0
2016,Number,Newfoundland and Labrador,Wastewater,"Urban municipalities, population 5,000 to 29,999",2.0
2016,Number,Newfoundland and Labrador,Wastewater,"Urban municipalities, population 30,000 or more",1.0
2016,Number,Newfoundland and Labrador,Wastewater,All rural municipalities,18.0
2016,Number,Newfoundland and Labrador,Wastewater,"Rural municipalities, population 1 to 4,999",14.0
2016,Number,Newfoundland and Labrador,Wastewater,"Rural municipalities, population 5,000 or more",4.0
2016,Number,Northwest Territories,Potable water,All municipalities,1.0
2016,Number,Northwest Territories,Potable water,All urban municipalities,0.0
2016,Number,Northwest Territories,Potable water,"Urban municipalities, population 1 to 4,999",0.0
2016,Number,Northwest Territories,Potable water,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Northwest Territories,Potable water,"Urban municipalities, population 30,000 or more",0.0
2016,Number,Northwest Territories,Potable water,All rural municipalities,1.0
2016,Number,Northwest Territories,Potable water,"Rural municipalities, population 1 to 4,999",1.0
2016,Number,Northwest Territories,Potable water,"Rural municipalities, population 5,000 or more",0.0
2016,Number,Northwest Territories,Solid waste,All municipalities,1.0
2016,Number,Northwest Territories,Solid waste,All urban municipalities,0.0
2016,Number,Northwest Territories,Solid waste,"Urban municipalities, population 1 to 4,999",0.0
2016,Number,Northwest Territories,Solid waste,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Northwest Territories,Solid waste,"Urban municipalities, population 30,000 or more",0.0
2016,Number,Northwest Territories,Solid waste,All rural municipalities,1.0
2016,Number,Northwest Territories,Solid waste,"Rural municipalities, population 1 to 4,999",1.0
2016,Number,Northwest Territories,Solid waste,"Rural municipalities, population 5,000 or more",0.0
2016,Number,Northwest Territories,Stormwater,All municipalities,0.0
2016,Number,Northwest Territories,Stormwater,All urban municipalities,0.0
2016,Number,Northwest Territories,Stormwater,"Urban municipalities, population 1 to 4,999",0.0
2016,Number,Northwest Territories,Stormwater,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Northwest Territories,Stormwater,"Urban municipalities, population 30,000 or more",0.0
2016,Number,Northwest Territories,Stormwater,All rural municipalities,0.0
2016,Number,Northwest Territories,Stormwater,"Rural municipalities, population 1 to 4,999",0.0
2016,Number,Northwest Territories,Stormwater,"Rural municipalities, population 5,000 or more",0.0
2016,Number,Northwest Territories,Wastewater,All municipalities,1.0
2016,Number,Northwest Territories,Wastewater,All urban municipalities,0.0
2016,Number,Northwest Territories,Wastewater,"Urban municipalities, population 1 to 4,999",0.0
2016,Number,Northwest Territories,Wastewater,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Northwest Territories,Wastewater,"Urban municipalities, population 30,000 or more",0.0
2016,Number,Northwest Territories,Wastewater,All rural municipalities,1.0
2016,Number,Northwest Territories,Wastewater,"Rural municipalities, population 1 to 4,999",1.0
2016,Number,Northwest Territories,Wastewater,"Rural municipalities, population 5,000 or more",0.0
2016,Number,Nova Scotia,Potable water,All municipalities,17.0
2016,Number,Nova Scotia,Potable water,All urban municipalities,5.0
2016,Number,Nova Scotia,Potable water,"Urban municipalities, population 1 to 4,999",1.0
2016,Number,Nova Scotia,Potable water,"Urban municipalities, population 5,000 to 29,999",2.0
2016,Number,Nova Scotia,Potable water,"Urban municipalities, population 30,000 or more",2.0
2016,Number,Nova Scotia,Potable water,All rural municipalities,12.0
2016,Number,Nova Scotia,Potable water,"Rural municipalities, population 1 to 4,999",9.0
2016,Number,Nova Scotia,Potable water,"Rural municipalities, population 5,000 or more",3.0
2016,Number,Nova Scotia,Solid waste,All municipalities,2.0
2016,Number,Nova Scotia,Solid waste,All urban municipalities,0.0
2016,Number,Nova Scotia,Solid waste,"Urban municipalities, population 1 to 4,999",0.0
2016,Number,Nova Scotia,Solid waste,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Nova Scotia,Solid waste,"Urban municipalities, population 30,000 or more",0.0
2016,Number,Nova Scotia,Solid waste,All rural municipalities,2.0
2016,Number,Nova Scotia,Solid waste,"Rural municipalities, population 1 to 4,999",0.0
2016,Number,Nova Scotia,Solid waste,"Rural municipalities, population 5,000 or more",2.0
2016,Number,Nova Scotia,Stormwater,All municipalities,24.0
2016,Number,Nova Scotia,Stormwater,All urban municipalities,9.0
2016,Number,Nova Scotia,Stormwater,"Urban municipalities, population 1 to 4,999",3.0
2016,Number,Nova Scotia,Stormwater,"Urban municipalities, population 5,000 to 29,999",4.0
2016,Number,Nova Scotia,Stormwater,"Urban municipalities, population 30,000 or more",2.0
2016,Number,Nova Scotia,Stormwater,All rural municipalities,15.0
2016,Number,Nova Scotia,Stormwater,"Rural municipalities, population 1 to 4,999",9.0
2016,Number,Nova Scotia,Stormwater,"Rural municipalities, population 5,000 or more",6.0
2016,Number,Nova Scotia,Wastewater,All municipalities,26.0
2016,Number,Nova Scotia,Wastewater,All urban municipalities,7.0
2016,Number,Nova Scotia,Wastewater,"Urban municipalities, population 1 to 4,999",1.0
2016,Number,Nova Scotia,Wastewater,"Urban municipalities, population 5,000 to 29,999",4.0
2016,Number,Nova Scotia,Wastewater,"Urban municipalities, population 30,000 or more",2.0
2016,Number,Nova Scotia,Wastewater,All rural municipalities,19.0
2016,Number,Nova Scotia,Wastewater,"Rural municipalities, population 1 to 4,999",11.0
2016,Number,Nova Scotia,Wastewater,"Rural municipalities, population 5,000 or more",8.0
2016,Number,Nunavut,Potable water,All municipalities,3.0
2016,Number,Nunavut,Potable water,All urban municipalities,0.0
2016,Number,Nunavut,Potable water,"Urban municipalities, population 1 to 4,999",0.0
2016,Number,Nunavut,Potable water,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Nunavut,Potable water,"Urban municipalities, population 30,000 or more",0.0
2016,Number,Nunavut,Potable water,All rural municipalities,3.0
2016,Number,Nunavut,Potable water,"Rural municipalities, population 1 to 4,999",2.0
2016,Number,Nunavut,Potable water,"Rural municipalities, population 5,000 or more",1.0
2016,Number,Nunavut,Solid waste,All municipalities,4.0
2016,Number,Nunavut,Solid waste,All urban municipalities,0.0
2016,Number,Nunavut,Solid waste,"Urban municipalities, population 1 to 4,999",0.0
2016,Number,Nunavut,Solid waste,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Nunavut,Solid waste,"Urban municipalities, population 30,000 or more",0.0
2016,Number,Nunavut,Solid waste,All rural municipalities,4.0
2016,Number,Nunavut,Solid waste,"Rural municipalities, population 1 to 4,999",4.0
2016,Number,Nunavut,Solid waste,"Rural municipalities, population 5,000 or more",0.0
2016,Number,Nunavut,Stormwater,All municipalities,0.0
2016,Number,Nunavut,Stormwater,All urban municipalities,0.0
2016,Number,Nunavut,Stormwater,"Urban municipalities, population 1 to 4,999",0.0
2016,Number,Nunavut,Stormwater,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Nunavut,Stormwater,"Urban municipalities, population 30,000 or more",0.0
2016,Number,Nunavut,Stormwater,All rural municipalities,0.0
2016,Number,Nunavut,Stormwater,"Rural municipalities, population 1 to 4,999",0.0
2016,Number,Nunavut,Stormwater,"Rural municipalities, population 5,000 or more",0.0
2016,Number,Nunavut,Wastewater,All municipalities,4.0
2016,Number,Nunavut,Wastewater,All urban municipalities,0.0
2016,Number,Nunavut,Wastewater,"Urban municipalities, population 1 to 4,999",0.0
2016,Number,Nunavut,Wastewater,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Nunavut,Wastewater,"Urban municipalities, population 30,000 or more",0.0
2016,Number,Nunavut,Wastewater,All rural municipalities,4.0
2016,Number,Nunavut,Wastewater,"Rural municipalities, population 1 to 4,999",4.0
2016,Number,Nunavut,Wastewater,"Rural municipalities, population 5,000 or more",0.0
2016,Number,Ontario,Potable water,All municipalities,59.0
2016,Number,Ontario,Potable water,All urban municipalities,31.0
2016,Number,Ontario,Potable water,"Urban municipalities, population 1 to 4,999",1.0
2016,Number,Ontario,Potable water,"Urban municipalities, population 5,000 to 29,999",19.0
2016,Number,Ontario,Potable water,"Urban municipalities, population 30,000 or more",10.0
2016,Number,Ontario,Potable water,All rural municipalities,28.0
2016,Number,Ontario,Potable water,"Rural municipalities, population 1 to 4,999",0.0
2016,Number,Ontario,Potable water,"Rural municipalities, population 5,000 or more",17.0
2016,Number,Ontario,Solid waste,All municipalities,25.0
2016,Number,Ontario,Solid waste,All urban municipalities,10.0
2016,Number,Ontario,Solid waste,"Urban municipalities, population 1 to 4,999",1.0
2016,Number,Ontario,Solid waste,"Urban municipalities, population 5,000 to 29,999",4.0
2016,Number,Ontario,Solid waste,"Urban municipalities, population 30,000 or more",5.0
2016,Number,Ontario,Solid waste,All rural municipalities,15.0
2016,Number,Ontario,Solid waste,"Rural municipalities, population 1 to 4,999",13.0
2016,Number,Ontario,Solid waste,"Rural municipalities, population 5,000 or more",2.0
2016,Number,Ontario,Stormwater,All municipalities,157.0
2016,Number,Ontario,Stormwater,All urban municipalities,81.0
2016,Number,Ontario,Stormwater,"Urban municipalities, population 1 to 4,999",5.0
2016,Number,Ontario,Stormwater,"Urban municipalities, population 5,000 to 29,999",35.0
2016,Number,Ontario,Stormwater,"Urban municipalities, population 30,000 or more",42.0
2016,Number,Ontario,Stormwater,All rural municipalities,76.0
2016,Number,Ontario,Stormwater,"Rural municipalities, population 1 to 4,999",42.0
2016,Number,Ontario,Stormwater,"Rural municipalities, population 5,000 or more",34.0
2016,Number,Ontario,Wastewater,All municipalities,83.0
2016,Number,Ontario,Wastewater,All urban municipalities,41.0
2016,Number,Ontario,Wastewater,"Urban municipalities, population 1 to 4,999",0.0
2016,Number,Ontario,Wastewater,"Urban municipalities, population 5,000 to 29,999",22.0
2016,Number,Ontario,Wastewater,"Urban municipalities, population 30,000 or more",19.0
2016,Number,Ontario,Wastewater,All rural municipalities,41.0
2016,Number,Ontario,Wastewater,"Rural municipalities, population 1 to 4,999",19.0
2016,Number,Ontario,Wastewater,"Rural municipalities, population 5,000 or more",22.0
2016,Number,Prince Edward Island,Potable water,All municipalities,2.0
2016,Number,Prince Edward Island,Potable water,All urban municipalities,2.0
2016,Number,Prince Edward Island,Potable water,"Urban municipalities, population 1 to 4,999",0.0
2016,Number,Prince Edward Island,Potable water,"Urban municipalities, population 5,000 to 29,999",1.0
2016,Number,Prince Edward Island,Potable water,"Urban municipalities, population 30,000 or more",1.0
2016,Number,Prince Edward Island,Potable water,All rural municipalities,0.0
2016,Number,Prince Edward Island,Potable water,"Rural municipalities, population 1 to 4,999",0.0
2016,Number,Prince Edward Island,Potable water,"Rural municipalities, population 5,000 or more",0.0
2016,Number,Prince Edward Island,Solid waste,All municipalities,0.0
2016,Number,Prince Edward Island,Solid waste,All urban municipalities,0.0
2016,Number,Prince Edward Island,Solid waste,"Urban municipalities, population 1 to 4,999",0.0
2016,Number,Prince Edward Island,Solid waste,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Prince Edward Island,Solid waste,"Urban municipalities, population 30,000 or more",0.0
2016,Number,Prince Edward Island,Solid waste,All rural municipalities,0.0
2016,Number,Prince Edward Island,Solid waste,"Rural municipalities, population 1 to 4,999",0.0
2016,Number,Prince Edward Island,Solid waste,"Rural municipalities, population 5,000 or more",0.0
2016,Number,Prince Edward Island,Stormwater,All municipalities,3.0
2016,Number,Prince Edward Island,Stormwater,All urban municipalities,2.0
2016,Number,Prince Edward Island,Stormwater,"Urban municipalities, population 1 to 4,999",0.0
2016,Number,Prince Edward Island,Stormwater,"Urban municipalities, population 5,000 to 29,999",1.0
2016,Number,Prince Edward Island,Stormwater,"Urban municipalities, population 30,000 or more",1.0
2016,Number,Prince Edward Island,Stormwater,All rural municipalities,1.0
2016,Number,Prince Edward Island,Stormwater,"Rural municipalities, population 1 to 4,999",1.0
2016,Number,Prince Edward Island,Stormwater,"Rural municipalities, population 5,000 or more",0.0
2016,Number,Prince Edward Island,Wastewater,All municipalities,4.0
2016,Number,Prince Edward Island,Wastewater,All urban municipalities,2.0
2016,Number,Prince Edward Island,Wastewater,"Urban municipalities, population 1 to 4,999",1.0
2016,Number,Prince Edward Island,Wastewater,"Urban municipalities, population 5,000 to 29,999",1.0
2016,Number,Prince Edward Island,Wastewater,"Urban municipalities, population 30,000 or more",0.0
2016,Number,Prince Edward Island,Wastewater,All rural municipalities,2.0
2016,Number,Prince Edward Island,Wastewater,"Rural municipalities, population 1 to 4,999",2.0
2016,Number,Prince Edward Island,Wastewater,"Rural municipalities, population 5,000 or more",0.0
2016,Number,Quebec,Potable water,All municipalities,153.0
2016,Number,Quebec,Potable water,All urban municipalities,48.0
2016,Number,Quebec,Potable water,"Urban municipalities, population 1 to 4,999",14.0
2016,Number,Quebec,Potable water,"Urban municipalities, population 5,000 to 29,999",25.0
2016,Number,Quebec,Potable water,"Urban municipalities, population 30,000 or more",9.0
2016,Number,Quebec,Potable water,All rural municipalities,105.0
2016,Number,Quebec,Potable water,"Rural municipalities, population 1 to 4,999",0.0
2016,Number,Quebec,Potable water,"Rural municipalities, population 5,000 or more",24.0
2016,Number,Quebec,Solid waste,All municipalities,0.0
2016,Number,Quebec,Solid waste,All urban municipalities,9.0
2016,Number,Quebec,Solid waste,"Urban municipalities, population 1 to 4,999",3.0
2016,Number,Quebec,Solid waste,"Urban municipalities, population 5,000 to 29,999",4.0
2016,Number,Quebec,Solid waste,"Urban municipalities, population 30,000 or more",1.0
2016,Number,Quebec,Solid waste,All rural municipalities,0.0
2016,Number,Quebec,Solid waste,"Rural municipalities, population 1 to 4,999",0.0
2016,Number,Quebec,Solid waste,"Rural municipalities, population 5,000 or more",3.0
2016,Number,Quebec,Stormwater,All municipalities,223.0
2016,Number,Quebec,Stormwater,All urban municipalities,108.0
2016,Number,Quebec,Stormwater,"Urban municipalities, population 1 to 4,999",23.0
2016,Number,Quebec,Stormwater,"Urban municipalities, population 5,000 to 29,999",54.0
2016,Number,Quebec,Stormwater,"Urban municipalities, population 30,000 or more",31.0
2016,Number,Quebec,Stormwater,All rural municipalities,115.0
2016,Number,Quebec,Stormwater,"Rural municipalities, population 1 to 4,999",92.0
