Year,Age at time of death,Sex,Leading causes of death,Value
2015,15 to 24,Both sexes,Cerebrovascular diseases,0.2
2015,15 to 24,Both sexes,Influenza and pneumonia,0.3
2015,15 to 24,Both sexes,Chronic lower respiratory diseases,0.1
2015,15 to 24,Both sexes,Chronic liver disease and cirrhosis,0.2
2015,15 to 24,Both sexes,Accidents (unintentional injuries),16.4
2015,15 to 24,Both sexes,Intentional self-harm (suicide),11.7
2015,15 to 24,Males,Malignant neoplasms,4.1
2015,15 to 24,Males,Diabetes mellitus,0.3
2015,15 to 24,Males,Alzheimer's disease,0.0
2015,15 to 24,Males,Diseases of heart,1.1
2015,15 to 24,Males,Cerebrovascular diseases,0.1
2015,15 to 24,Males,Influenza and pneumonia,0.5
2015,15 to 24,Males,Chronic lower respiratory diseases,0.2
2015,15 to 24,Males,Chronic liver disease and cirrhosis,0.2
2015,15 to 24,Males,Accidents (unintentional injuries),23.0
2015,15 to 24,Males,Intentional self-harm (suicide),16.1
2015,15 to 24,Females,Malignant neoplasms,2.5
2015,15 to 24,Females,Diabetes mellitus,0.2
2015,15 to 24,Females,Alzheimer's disease,0.0
2015,15 to 24,Females,Diseases of heart,0.9
2015,15 to 24,Females,Cerebrovascular diseases,0.3
2015,15 to 24,Females,Influenza and pneumonia,0.1
2015,15 to 24,Females,Chronic lower respiratory diseases,0.2
2015,15 to 24,Females,Chronic liver disease and cirrhosis,0.2
2015,15 to 24,Females,Accidents (unintentional injuries),9.4
2015,15 to 24,Females,Intentional self-harm (suicide),7.0
2015,25 to 34 years,Both sexes,Malignant neoplasms,8.3
2015,25 to 34 years,Both sexes,Diabetes mellitus,1.1
2015,25 to 34 years,Both sexes,Alzheimer's disease,0.0
2015,25 to 34 years,Both sexes,Diseases of heart,3.0
2015,25 to 34 years,Both sexes,Cerebrovascular diseases,0.7
2015,25 to 34 years,Both sexes,Influenza and pneumonia,0.4
2015,25 to 34 years,Both sexes,Chronic lower respiratory diseases,0.2
2015,25 to 34 years,Both sexes,Chronic liver disease and cirrhosis,0.8
2015,25 to 34 years,Both sexes,Accidents (unintentional injuries),20.2
2015,25 to 34 years,Both sexes,Intentional self-harm (suicide),14.1
2015,25 to 34 years,Males,Malignant neoplasms,7.5
2015,25 to 34 years,Males,Diabetes mellitus,1.5
2015,25 to 34 years,Males,Alzheimer's disease,0.0
2015,25 to 34 years,Males,Diseases of heart,4.0
2015,25 to 34 years,Males,Cerebrovascular diseases,0.8
2015,25 to 34 years,Males,Influenza and pneumonia,0.4
2015,25 to 34 years,Males,Chronic lower respiratory diseases,0.4
2015,25 to 34 years,Males,Chronic liver disease and cirrhosis,1.2
2015,25 to 34 years,Males,Accidents (unintentional injuries),31.3
2015,25 to 34 years,Males,Intentional self-harm (suicide),20.5
2015,25 to 34 years,Females,Malignant neoplasms,9.3
2015,25 to 34 years,Females,Diabetes mellitus,0.7
2015,25 to 34 years,Females,Alzheimer's disease,0.0
2015,25 to 34 years,Females,Diseases of heart,2.1
2015,25 to 34 years,Females,Cerebrovascular diseases,0.7
2015,25 to 34 years,Females,Influenza and pneumonia,0.4
2015,25 to 34 years,Females,Chronic lower respiratory diseases,0.2
2015,25 to 34 years,Females,Chronic liver disease and cirrhosis,0.4
2015,25 to 34 years,Females,Accidents (unintentional injuries),8.8
2015,25 to 34 years,Females,Intentional self-harm (suicide),7.7
2015,35 to 44 years,Both sexes,Malignant neoplasms,23.7
2015,35 to 44 years,Both sexes,Diabetes mellitus,2.2
2015,35 to 44 years,Both sexes,Alzheimer's disease,0.0
2015,35 to 44 years,Both sexes,Diseases of heart,9.9
2015,35 to 44 years,Both sexes,Cerebrovascular diseases,2.2
2015,35 to 44 years,Both sexes,Influenza and pneumonia,1.2
2015,35 to 44 years,Both sexes,Chronic lower respiratory diseases,0.6
2015,35 to 44 years,Both sexes,Chronic liver disease and cirrhosis,3.4
2015,35 to 44 years,Both sexes,Accidents (unintentional injuries),20.0
2015,35 to 44 years,Both sexes,Intentional self-harm (suicide),14.4
2015,35 to 44 years,Males,Malignant neoplasms,19.9
2015,35 to 44 years,Males,Diabetes mellitus,3.2
2015,35 to 44 years,Males,Alzheimer's disease,0.0
2015,35 to 44 years,Males,Diseases of heart,14.6
2015,35 to 44 years,Males,Cerebrovascular diseases,2.6
2015,35 to 44 years,Males,Influenza and pneumonia,1.4
2015,35 to 44 years,Males,Chronic lower respiratory diseases,0.4
2015,35 to 44 years,Males,Chronic liver disease and cirrhosis,4.1
2015,35 to 44 years,Males,Accidents (unintentional injuries),30.6
2015,35 to 44 years,Males,Intentional self-harm (suicide),21.4
2015,35 to 44 years,Females,Malignant neoplasms,27.5
2015,35 to 44 years,Females,Diabetes mellitus,1.3
2015,35 to 44 years,Females,Alzheimer's disease,0.1
2015,35 to 44 years,Females,Diseases of heart,5.3
2015,35 to 44 years,Females,Cerebrovascular diseases,1.9
2015,35 to 44 years,Females,Influenza and pneumonia,1.0
2015,35 to 44 years,Females,Chronic lower respiratory diseases,0.8
2015,35 to 44 years,Females,Chronic liver disease and cirrhosis,2.7
2015,35 to 44 years,Females,Accidents (unintentional injuries),9.5
2015,35 to 44 years,Females,Intentional self-harm (suicide),7.6
2015,45 to 54 years,Both sexes,Malignant neoplasms,86.4
2015,45 to 54 years,Both sexes,Diabetes mellitus,6.2
2015,45 to 54 years,Both sexes,Alzheimer's disease,0.1
2015,45 to 54 years,Both sexes,Diseases of heart,36.0
2015,45 to 54 years,Both sexes,Cerebrovascular diseases,6.4
2015,45 to 54 years,Both sexes,Influenza and pneumonia,2.9
2015,45 to 54 years,Both sexes,Chronic lower respiratory diseases,3.9
2015,45 to 54 years,Both sexes,Chronic liver disease and cirrhosis,10.1
2015,45 to 54 years,Both sexes,Accidents (unintentional injuries),24.9
2015,45 to 54 years,Both sexes,Intentional self-harm (suicide),19.1
2015,45 to 54 years,Males,Malignant neoplasms,80.1
2015,45 to 54 years,Males,Diabetes mellitus,8.3
2015,45 to 54 years,Males,Alzheimer's disease,0.1
2015,45 to 54 years,Males,Diseases of heart,55.3
2015,45 to 54 years,Males,Cerebrovascular diseases,6.8
2015,45 to 54 years,Males,Influenza and pneumonia,3.1
2015,45 to 54 years,Males,Chronic lower respiratory diseases,3.9
2015,45 to 54 years,Males,Chronic liver disease and cirrhosis,13.7
2015,45 to 54 years,Males,Accidents (unintentional injuries),35.2
2015,45 to 54 years,Males,Intentional self-harm (suicide),28.1
2015,45 to 54 years,Females,Malignant neoplasms,92.8
2015,45 to 54 years,Females,Diabetes mellitus,4.1
2015,45 to 54 years,Females,Alzheimer's disease,0.0
2015,45 to 54 years,Females,Diseases of heart,16.7
2015,45 to 54 years,Females,Cerebrovascular diseases,6.0
2015,45 to 54 years,Females,Influenza and pneumonia,2.8
2015,45 to 54 years,Females,Chronic lower respiratory diseases,3.8
2015,45 to 54 years,Females,Chronic liver disease and cirrhosis,6.4
2015,45 to 54 years,Females,Accidents (unintentional injuries),14.6
2015,45 to 54 years,Females,Intentional self-harm (suicide),10.1
2015,55 to 64 years,Both sexes,Malignant neoplasms,272.4
2015,55 to 64 years,Both sexes,Diabetes mellitus,16.8
2015,55 to 64 years,Both sexes,Alzheimer's disease,1.3
2015,55 to 64 years,Both sexes,Diseases of heart,101.3
2015,55 to 64 years,Both sexes,Cerebrovascular diseases,16.3
2015,55 to 64 years,Both sexes,Influenza and pneumonia,7.0
2015,55 to 64 years,Both sexes,Chronic lower respiratory diseases,19.7
2015,55 to 64 years,Both sexes,Chronic liver disease and cirrhosis,19.5
2015,55 to 64 years,Both sexes,Accidents (unintentional injuries),26.2
2015,55 to 64 years,Both sexes,Intentional self-harm (suicide),17.6
2015,55 to 64 years,Males,Malignant neoplasms,287.8
2015,55 to 64 years,Males,Diabetes mellitus,22.3
2015,55 to 64 years,Males,Alzheimer's disease,0.9
2015,55 to 64 years,Males,Diseases of heart,150.9
2015,55 to 64 years,Males,Cerebrovascular diseases,18.4
2015,55 to 64 years,Males,Influenza and pneumonia,7.7
2015,55 to 64 years,Males,Chronic lower respiratory diseases,22.3
2015,55 to 64 years,Males,Chronic liver disease and cirrhosis,27.3
2015,55 to 64 years,Males,Accidents (unintentional injuries),38.6
2015,55 to 64 years,Males,Intentional self-harm (suicide),27.2
2015,55 to 64 years,Females,Malignant neoplasms,257.3
2015,55 to 64 years,Females,Diabetes mellitus,11.4
2015,55 to 64 years,Females,Alzheimer's disease,1.7
2015,55 to 64 years,Females,Diseases of heart,52.7
2015,55 to 64 years,Females,Cerebrovascular diseases,14.2
2015,55 to 64 years,Females,Influenza and pneumonia,6.4
2015,55 to 64 years,Females,Chronic lower respiratory diseases,17.2
2015,55 to 64 years,Females,Chronic liver disease and cirrhosis,11.8
2015,55 to 64 years,Females,Accidents (unintentional injuries),14.0
2015,55 to 64 years,Females,Intentional self-harm (suicide),8.1
2015,65 to 74 years,Both sexes,Malignant neoplasms,627.6
2015,65 to 74 years,Both sexes,Diabetes mellitus,47.7
2015,65 to 74 years,Both sexes,Alzheimer's disease,11.6
2015,65 to 74 years,Both sexes,Diseases of heart,247.1
2015,65 to 74 years,Both sexes,Cerebrovascular diseases,53.3
2015,65 to 74 years,Both sexes,Influenza and pneumonia,21.8
2015,65 to 74 years,Both sexes,Chronic lower respiratory diseases,79.2
2015,65 to 74 years,Both sexes,Chronic liver disease and cirrhosis,26.6
2015,65 to 74 years,Both sexes,Accidents (unintentional injuries),34.2
2015,65 to 74 years,Both sexes,Intentional self-harm (suicide),11.8
2015,65 to 74 years,Males,Malignant neoplasms,717.3
2015,65 to 74 years,Males,Diabetes mellitus,64.2
2015,65 to 74 years,Males,Alzheimer's disease,11.9
2015,65 to 74 years,Males,Diseases of heart,345.4
2015,65 to 74 years,Males,Cerebrovascular diseases,60.1
2015,65 to 74 years,Males,Influenza and pneumonia,26.3
2015,65 to 74 years,Males,Chronic lower respiratory diseases,85.5
2015,65 to 74 years,Males,Chronic liver disease and cirrhosis,37.6
2015,65 to 74 years,Males,Accidents (unintentional injuries),44.6
2015,65 to 74 years,Males,Intentional self-harm (suicide),19.0
2015,65 to 74 years,Females,Malignant neoplasms,543.7
2015,65 to 74 years,Females,Diabetes mellitus,32.2
2015,65 to 74 years,Females,Alzheimer's disease,11.3
2015,65 to 74 years,Females,Diseases of heart,155.0
2015,65 to 74 years,Females,Cerebrovascular diseases,47.0
2015,65 to 74 years,Females,Influenza and pneumonia,17.5
2015,65 to 74 years,Females,Chronic lower respiratory diseases,73.4
2015,65 to 74 years,Females,Chronic liver disease and cirrhosis,16.4
2015,65 to 74 years,Females,Accidents (unintentional injuries),24.4
2015,65 to 74 years,Females,Intentional self-harm (suicide),5.0
2015,75 to 84 years,Both sexes,Malignant neoplasms,1275.0
2015,75 to 84 years,Both sexes,Diabetes mellitus,121.1
2015,75 to 84 years,Both sexes,Alzheimer's disease,100.4
2015,75 to 84 years,Both sexes,Diseases of heart,763.5
2015,75 to 84 years,Both sexes,Cerebrovascular diseases,230.3
2015,75 to 84 years,Both sexes,Influenza and pneumonia,102.1
2015,75 to 84 years,Both sexes,Chronic lower respiratory diseases,244.9
2015,75 to 84 years,Both sexes,Chronic liver disease and cirrhosis,26.2
2015,75 to 84 years,Both sexes,Accidents (unintentional injuries),113.2
2015,75 to 84 years,Both sexes,Intentional self-harm (suicide),13.3
2015,75 to 84 years,Males,Malignant neoplasms,1562.7
2015,75 to 84 years,Males,Diabetes mellitus,149.2
2015,75 to 84 years,Males,Alzheimer's disease,92.0
2015,75 to 84 years,Males,Diseases of heart,973.5
2015,75 to 84 years,Males,Cerebrovascular diseases,246.9
2015,75 to 84 years,Males,Influenza and pneumonia,120.8
2015,75 to 84 years,Males,Chronic lower respiratory diseases,277.5
2015,75 to 84 years,Males,Chronic liver disease and cirrhosis,36.1
2015,75 to 84 years,Males,Accidents (unintentional injuries),138.7
2015,75 to 84 years,Males,Intentional self-harm (suicide),23.0
2015,75 to 84 years,Females,Malignant neoplasms,1041.3
2015,75 to 84 years,Females,Diabetes mellitus,98.2
2015,75 to 84 years,Females,Alzheimer's disease,107.2
2015,75 to 84 years,Females,Diseases of heart,593.0
2015,75 to 84 years,Females,Cerebrovascular diseases,216.9
2015,75 to 84 years,Females,Influenza and pneumonia,86.9
2015,75 to 84 years,Females,Chronic lower respiratory diseases,218.5
2015,75 to 84 years,Females,Chronic liver disease and cirrhosis,18.1
2015,75 to 84 years,Females,Accidents (unintentional injuries),92.4
2015,75 to 84 years,Females,Intentional self-harm (suicide),5.5
2015,85 and over,Both sexes,Malignant neoplasms,2039.4
2015,85 and over,Both sexes,Diabetes mellitus,300.5
2015,85 and over,Both sexes,Alzheimer's disease,594.4
2015,85 and over,Both sexes,Diseases of heart,3090.8
2015,85 and over,Both sexes,Cerebrovascular diseases,919.2
2015,85 and over,Both sexes,Influenza and pneumonia,613.9
2015,85 and over,Both sexes,Chronic lower respiratory diseases,616.0
2015,85 and over,Both sexes,Chronic liver disease and cirrhosis,25.3
2015,85 and over,Both sexes,Accidents (unintentional injuries),489.2
2015,85 and over,Both sexes,Intentional self-harm (suicide),11.3
2015,85 and over,Males,Malignant neoplasms,2847.1
2015,85 and over,Males,Diabetes mellitus,361.4
2015,85 and over,Males,Alzheimer's disease,474.6
2015,85 and over,Males,Diseases of heart,3473.6
2015,85 and over,Males,Cerebrovascular diseases,870.1
2015,85 and over,Males,Influenza and pneumonia,684.1
2015,85 and over,Males,Chronic lower respiratory diseases,819.9
2015,85 and over,Males,Chronic liver disease and cirrhosis,36.0
2015,85 and over,Males,Accidents (unintentional injuries),520.0
2015,85 and over,Males,Intentional self-harm (suicide),27.0
2015,85 and over,Females,Malignant neoplasms,1616.7
2015,85 and over,Females,Diabetes mellitus,268.6
2015,85 and over,Females,Alzheimer's disease,657.1
2015,85 and over,Females,Diseases of heart,2890.5
2015,85 and over,Females,Cerebrovascular diseases,944.8
2015,85 and over,Females,Influenza and pneumonia,577.2
2015,85 and over,Females,Chronic lower respiratory diseases,509.2
2015,85 and over,Females,Chronic liver disease and cirrhosis,19.7
2015,85 and over,Females,Accidents (unintentional injuries),473.1
2015,85 and over,Females,Intentional self-harm (suicide),3.1
2016,All ages,Both sexes,Malignant neoplasms,219.2
2016,All ages,Both sexes,Diabetes mellitus,19.0
2016,All ages,Both sexes,Alzheimer's disease,18.1
2016,All ages,Both sexes,Diseases of heart,143.6
2016,All ages,Both sexes,Cerebrovascular diseases,37.6
2016,All ages,Both sexes,Influenza and pneumonia,17.3
2016,All ages,Both sexes,Chronic lower respiratory diseases,34.1
2016,All ages,Both sexes,Chronic liver disease and cirrhosis,9.4
2016,All ages,Both sexes,Accidents (unintentional injuries),37.6
2016,All ages,Both sexes,Intentional self-harm (suicide),12.3
2016,All ages,Males,Malignant neoplasms,231.6
2016,All ages,Males,Diabetes mellitus,20.7
2016,All ages,Males,Alzheimer's disease,11.6
2016,All ages,Males,Diseases of heart,155.3
2016,All ages,Males,Cerebrovascular diseases,31.8
2016,All ages,Males,Influenza and pneumonia,16.6
2016,All ages,Males,Chronic lower respiratory diseases,34.5
2016,All ages,Males,Chronic liver disease and cirrhosis,12.3
2016,All ages,Males,Accidents (unintentional injuries),45.5
2016,All ages,Males,Intentional self-harm (suicide),18.3
2016,All ages,Females,Malignant neoplasms,206.9
2016,All ages,Females,Diabetes mellitus,17.4
2016,All ages,Females,Alzheimer's disease,24.5
2016,All ages,Females,Diseases of heart,132.0
2016,All ages,Females,Cerebrovascular diseases,43.4
2016,All ages,Females,Influenza and pneumonia,18.1
2016,All ages,Females,Chronic lower respiratory diseases,33.7
2016,All ages,Females,Chronic liver disease and cirrhosis,6.6
2016,All ages,Females,Accidents (unintentional injuries),29.9
2016,All ages,Females,Intentional self-harm (suicide),6.4
2016,1 to 14 years,Both sexes,Malignant neoplasms,2.4
2016,1 to 14 years,Both sexes,Diabetes mellitus,0.1
2016,1 to 14 years,Both sexes,Alzheimer's disease,0.0
2016,1 to 14 years,Both sexes,Diseases of heart,0.4
2016,1 to 14 years,Both sexes,Cerebrovascular diseases,0.1
2016,1 to 14 years,Both sexes,Influenza and pneumonia,0.5
2016,1 to 14 years,Both sexes,Chronic lower respiratory diseases,0.1
2016,1 to 14 years,Both sexes,Chronic liver disease and cirrhosis,0.0
2016,1 to 14 years,Both sexes,Accidents (unintentional injuries),2.8
2016,1 to 14 years,Both sexes,Intentional self-harm (suicide),1.3
2016,1 to 14 years,Males,Malignant neoplasms,2.5
2016,1 to 14 years,Males,Diabetes mellitus,0.1
2016,1 to 14 years,Males,Alzheimer's disease,0.0
2016,1 to 14 years,Males,Diseases of heart,0.4
2016,1 to 14 years,Males,Cerebrovascular diseases,0.2
2016,1 to 14 years,Males,Influenza and pneumonia,0.4
2016,1 to 14 years,Males,Chronic lower respiratory diseases,0.1
2016,1 to 14 years,Males,Chronic liver disease and cirrhosis,0.0
2016,1 to 14 years,Males,Accidents (unintentional injuries),3.4
2016,1 to 14 years,Males,Intentional self-harm (suicide),1.7
2016,1 to 14 years,Females,Malignant neoplasms,2.2
2016,1 to 14 years,Females,Diabetes mellitus,0.1
2016,1 to 14 years,Females,Alzheimer's disease,0.0
2016,1 to 14 years,Females,Diseases of heart,0.4
2016,1 to 14 years,Females,Cerebrovascular diseases,0.1
2016,1 to 14 years,Females,Influenza and pneumonia,0.6
2016,1 to 14 years,Females,Chronic lower respiratory diseases,0.2
2016,1 to 14 years,Females,Chronic liver disease and cirrhosis,0.0
2016,1 to 14 years,Females,Accidents (unintentional injuries),2.2
2016,1 to 14 years,Females,Intentional self-harm (suicide),1.8
2016,15 to 24,Both sexes,Malignant neoplasms,3.0
2016,15 to 24,Both sexes,Diabetes mellitus,0.2
2016,15 to 24,Both sexes,Alzheimer's disease,0.0
2016,15 to 24,Both sexes,Diseases of heart,1.0
2016,15 to 24,Both sexes,Cerebrovascular diseases,0.2
2016,15 to 24,Both sexes,Influenza and pneumonia,0.3
2016,15 to 24,Both sexes,Chronic lower respiratory diseases,0.1
2016,15 to 24,Both sexes,Chronic liver disease and cirrhosis,0.0
2016,15 to 24,Both sexes,Accidents (unintentional injuries),18.1
2016,15 to 24,Both sexes,Intentional self-harm (suicide),11.8
2016,15 to 24,Males,Malignant neoplasms,3.8
2016,15 to 24,Males,Diabetes mellitus,0.3
2016,15 to 24,Males,Alzheimer's disease,0.0
2016,15 to 24,Males,Diseases of heart,1.1
2016,15 to 24,Males,Cerebrovascular diseases,0.2
2016,15 to 24,Males,Influenza and pneumonia,0.4
2016,15 to 24,Males,Chronic lower respiratory diseases,0.1
2016,15 to 24,Males,Chronic liver disease and cirrhosis,0.0
2016,15 to 24,Males,Accidents (unintentional injuries),25.2
2016,15 to 24,Males,Intentional self-harm (suicide),16.3
2016,15 to 24,Females,Malignant neoplasms,2.1
2016,15 to 24,Females,Diabetes mellitus,0.2
2016,15 to 24,Females,Alzheimer's disease,0.0
2016,15 to 24,Females,Diseases of heart,0.9
2016,15 to 24,Females,Cerebrovascular diseases,0.1
2016,15 to 24,Females,Influenza and pneumonia,0.3
2016,15 to 24,Females,Chronic lower respiratory diseases,0.1
2016,15 to 24,Females,Chronic liver disease and cirrhosis,0.1
2016,15 to 24,Females,Accidents (unintentional injuries),10.5
2016,15 to 24,Females,Intentional self-harm (suicide),6.9
2016,25 to 34 years,Both sexes,Malignant neoplasms,7.0
2016,25 to 34 years,Both sexes,Diabetes mellitus,0.8
2016,25 to 34 years,Both sexes,Alzheimer's disease,0.0
2016,25 to 34 years,Both sexes,Diseases of heart,3.5
2016,25 to 34 years,Both sexes,Cerebrovascular diseases,0.8
2016,25 to 34 years,Both sexes,Influenza and pneumonia,0.6
2016,25 to 34 years,Both sexes,Chronic lower respiratory diseases,0.3
2016,25 to 34 years,Both sexes,Chronic liver disease and cirrhosis,0.8
2016,25 to 34 years,Both sexes,Accidents (unintentional injuries),28.1
2016,25 to 34 years,Both sexes,Intentional self-harm (suicide),13.4
2016,25 to 34 years,Males,Malignant neoplasms,6.4
2016,25 to 34 years,Males,Diabetes mellitus,1.1
2016,25 to 34 years,Males,Alzheimer's disease,0.0
2016,25 to 34 years,Males,Diseases of heart,4.7
2016,25 to 34 years,Males,Cerebrovascular diseases,1.0
2016,25 to 34 years,Males,Influenza and pneumonia,0.8
2016,25 to 34 years,Males,Chronic lower respiratory diseases,0.4
2016,25 to 34 years,Males,Chronic liver disease and cirrhosis,0.8
2016,25 to 34 years,Males,Accidents (unintentional injuries),42.9
2016,25 to 34 years,Males,Intentional self-harm (suicide),19.4
2016,25 to 34 years,Females,Malignant neoplasms,7.7
2016,25 to 34 years,Females,Diabetes mellitus,0.5
2016,25 to 34 years,Females,Alzheimer's disease,0.0
2016,25 to 34 years,Females,Diseases of heart,2.2
2016,25 to 34 years,Females,Cerebrovascular diseases,0.5
2016,25 to 34 years,Females,Influenza and pneumonia,0.5
2016,25 to 34 years,Females,Chronic lower respiratory diseases,0.2
2016,25 to 34 years,Females,Chronic liver disease and cirrhosis,0.8
2016,25 to 34 years,Females,Accidents (unintentional injuries),12.9
2016,25 to 34 years,Females,Intentional self-harm (suicide),7.2
2016,35 to 44 years,Both sexes,Malignant neoplasms,24.6
2016,35 to 44 years,Both sexes,Diabetes mellitus,1.9
2016,35 to 44 years,Both sexes,Alzheimer's disease,0.0
2016,35 to 44 years,Both sexes,Diseases of heart,10.3
2016,35 to 44 years,Both sexes,Cerebrovascular diseases,2.2
2016,35 to 44 years,Both sexes,Influenza and pneumonia,1.6
2016,35 to 44 years,Both sexes,Chronic lower respiratory diseases,0.5
2016,35 to 44 years,Both sexes,Chronic liver disease and cirrhosis,3.1
2016,35 to 44 years,Both sexes,Accidents (unintentional injuries),24.8
2016,35 to 44 years,Both sexes,Intentional self-harm (suicide),15.2
2016,35 to 44 years,Males,Malignant neoplasms,20.7
2016,35 to 44 years,Males,Diabetes mellitus,2.3
2016,35 to 44 years,Males,Alzheimer's disease,0.1
2016,35 to 44 years,Males,Diseases of heart,14.9
2016,35 to 44 years,Males,Cerebrovascular diseases,1.9
2016,35 to 44 years,Males,Influenza and pneumonia,1.6
2016,35 to 44 years,Males,Chronic lower respiratory diseases,0.4
2016,35 to 44 years,Males,Chronic liver disease and cirrhosis,3.5
2016,35 to 44 years,Males,Accidents (unintentional injuries),37.9
2016,35 to 44 years,Males,Intentional self-harm (suicide),23.5
2016,35 to 44 years,Females,Malignant neoplasms,28.5
2016,35 to 44 years,Females,Diabetes mellitus,1.6
2016,35 to 44 years,Females,Alzheimer's disease,0.0
2016,35 to 44 years,Females,Diseases of heart,5.8
2016,35 to 44 years,Females,Cerebrovascular diseases,2.4
2016,35 to 44 years,Females,Influenza and pneumonia,1.6
2016,35 to 44 years,Females,Chronic lower respiratory diseases,0.6
2016,35 to 44 years,Females,Chronic liver disease and cirrhosis,2.8
2016,35 to 44 years,Females,Accidents (unintentional injuries),12.0
2016,35 to 44 years,Females,Intentional self-harm (suicide),7.0
2016,45 to 54 years,Both sexes,Malignant neoplasms,84.8
2016,45 to 54 years,Both sexes,Diabetes mellitus,6.4
2016,45 to 54 years,Both sexes,Alzheimer's disease,0.2
2016,45 to 54 years,Both sexes,Diseases of heart,37.7
2016,45 to 54 years,Both sexes,Cerebrovascular diseases,5.9
2016,45 to 54 years,Both sexes,Influenza and pneumonia,3.5
2016,45 to 54 years,Both sexes,Chronic lower respiratory diseases,3.2
2016,45 to 54 years,Both sexes,Chronic liver disease and cirrhosis,10.8
2016,45 to 54 years,Both sexes,Accidents (unintentional injuries),29.3
2016,45 to 54 years,Both sexes,Intentional self-harm (suicide),18.1
2016,45 to 54 years,Males,Malignant neoplasms,76.8
2016,45 to 54 years,Males,Diabetes mellitus,8.6
2016,45 to 54 years,Males,Alzheimer's disease,0.1
2016,45 to 54 years,Males,Diseases of heart,57.4
2016,45 to 54 years,Males,Cerebrovascular diseases,6.2
2016,45 to 54 years,Males,Influenza and pneumonia,4.1
2016,45 to 54 years,Males,Chronic lower respiratory diseases,3.1
2016,45 to 54 years,Males,Chronic liver disease and cirrhosis,13.8
