Year,Units,Stock status,Region,Stock group,Value
2020,Number of stocks,Status uncertain,,Crustaceans,16.0
2020,Number of stocks,Status uncertain,,Molluscs,11.0
2020,Number of stocks,Status uncertain,,Others,3.0
2023,Number of stocks,Healthy and cautious zones,,Marine mammals,2.0
2023,Number of stocks,Healthy and cautious zones,,Groundfish,27.0
2023,Number of stocks,Healthy and cautious zones,,Small pelagics,7.0
2023,Number of stocks,Healthy and cautious zones,,Large pelagics,1.0
2023,Number of stocks,Healthy and cautious zones,,Salmonids,10.0
2023,Number of stocks,Healthy and cautious zones,,Crustaceans,36.0
2023,Number of stocks,Healthy and cautious zones,,Molluscs,7.0
2023,Number of stocks,Healthy and cautious zones,,Others,3.0
2022,Number of stocks,Healthy and cautious zones,,Marine mammals,2.0
2022,Number of stocks,Healthy and cautious zones,,Groundfish,25.0
2022,Number of stocks,Healthy and cautious zones,,Small pelagics,7.0
2022,Number of stocks,Healthy and cautious zones,,Large pelagics,1.0
2022,Number of stocks,Healthy and cautious zones,,Salmonids,13.0
2022,Number of stocks,Healthy and cautious zones,,Crustaceans,32.0
2022,Number of stocks,Healthy and cautious zones,,Molluscs,7.0
2022,Number of stocks,Healthy and cautious zones,,Others,3.0
2021,Number of stocks,Healthy and cautious zones,,Marine mammals,2.0
2021,Number of stocks,Healthy and cautious zones,,Groundfish,27.0
2021,Number of stocks,Healthy and cautious zones,,Small pelagics,6.0
2021,Number of stocks,Healthy and cautious zones,,Large pelagics,2.0
2021,Number of stocks,Healthy and cautious zones,,Salmonids,14.0
2021,Number of stocks,Healthy and cautious zones,,Crustaceans,32.0
2021,Number of stocks,Healthy and cautious zones,,Molluscs,7.0
2021,Number of stocks,Healthy and cautious zones,,Others,6.0
2020,Number of stocks,Healthy and cautious zones,,Marine mammals,2.0
2020,Number of stocks,Healthy and cautious zones,,Groundfish,26.0
2020,Number of stocks,Healthy and cautious zones,,Small pelagics,6.0
2020,Number of stocks,Healthy and cautious zones,,Large pelagics,2.0
2020,Number of stocks,Healthy and cautious zones,,Salmonids,9.0
2020,Number of stocks,Healthy and cautious zones,,Crustaceans,25.0
2020,Number of stocks,Healthy and cautious zones,,Molluscs,6.0
2020,Number of stocks,Healthy and cautious zones,,Others,3.0
