Year,Geography,Age group,Sex,Household income,Highest level of education,Series,GeoCode,Value
2015,Prince Edward Island,"Total, 18 years and over",Females,,,Aged 18 years and older,11,75.3
2015,Prince Edward Island,18 to 34 years,Both sexes,,,Aged 18 years and older,11,78.7
2015,Prince Edward Island,18 to 34 years,Males,,,Aged 18 years and older,11,74.9
2015,Prince Edward Island,18 to 34 years,Females,,,Aged 18 years and older,11,82.6
2015,Prince Edward Island,35 to 49 years,Both sexes,,,Aged 18 years and older,11,71.7
2015,Prince Edward Island,35 to 49 years,Males,,,Aged 18 years and older,11,77.0
2015,Prince Edward Island,35 to 49 years,Females,,,Aged 18 years and older,11,66.7
2015,Prince Edward Island,50 to 64 years,Both sexes,,,Aged 18 years and older,11,72.4
2015,Prince Edward Island,50 to 64 years,Males,,,Aged 18 years and older,11,74.8
2015,Prince Edward Island,50 to 64 years,Females,,,Aged 18 years and older,11,69.9
2015,Prince Edward Island,65 years and over,Both sexes,,,Aged 18 years and older,11,84.4
2015,Prince Edward Island,65 years and over,Males,,,Aged 18 years and older,11,85.4
2015,Prince Edward Island,65 years and over,Females,,,Aged 18 years and older,11,83.6
2015,Nova Scotia,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,12,75.7
2015,Nova Scotia,"Total, 18 years and over",Males,,,Aged 18 years and older,12,74.3
2015,Nova Scotia,"Total, 18 years and over",Females,,,Aged 18 years and older,12,77.0
2015,Nova Scotia,18 to 34 years,Both sexes,,,Aged 18 years and older,12,66.7
2015,Nova Scotia,18 to 34 years,Males,,,Aged 18 years and older,12,68.6
2015,Nova Scotia,18 to 34 years,Females,,,Aged 18 years and older,12,64.9
2015,Nova Scotia,35 to 49 years,Both sexes,,,Aged 18 years and older,12,73.7
2015,Nova Scotia,35 to 49 years,Males,,,Aged 18 years and older,12,69.1
2015,Nova Scotia,35 to 49 years,Females,,,Aged 18 years and older,12,77.9
2015,Nova Scotia,50 to 64 years,Both sexes,,,Aged 18 years and older,12,80.4
2015,Nova Scotia,50 to 64 years,Males,,,Aged 18 years and older,12,77.8
2015,Nova Scotia,50 to 64 years,Females,,,Aged 18 years and older,12,82.6
2015,Nova Scotia,65 years and over,Both sexes,,,Aged 18 years and older,12,82.3
2015,Nova Scotia,65 years and over,Males,,,Aged 18 years and older,12,83.0
2015,Nova Scotia,65 years and over,Females,,,Aged 18 years and older,12,81.7
2015,New Brunswick,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,13,69.7
2015,New Brunswick,"Total, 18 years and over",Males,,,Aged 18 years and older,13,70.2
2015,New Brunswick,"Total, 18 years and over",Females,,,Aged 18 years and older,13,69.1
2015,New Brunswick,18 to 34 years,Both sexes,,,Aged 18 years and older,13,66.9
2015,New Brunswick,18 to 34 years,Males,,,Aged 18 years and older,13,70.6
2015,New Brunswick,18 to 34 years,Females,,,Aged 18 years and older,13,63.2
2015,New Brunswick,35 to 49 years,Both sexes,,,Aged 18 years and older,13,64.3
2015,New Brunswick,35 to 49 years,Males,,,Aged 18 years and older,13,60.5
2015,New Brunswick,35 to 49 years,Females,,,Aged 18 years and older,13,67.7
2015,New Brunswick,50 to 64 years,Both sexes,,,Aged 18 years and older,13,71.5
2015,New Brunswick,50 to 64 years,Males,,,Aged 18 years and older,13,72.7
2015,New Brunswick,50 to 64 years,Females,,,Aged 18 years and older,13,70.3
2015,New Brunswick,65 years and over,Both sexes,,,Aged 18 years and older,13,76.3
2015,New Brunswick,65 years and over,Males,,,Aged 18 years and older,13,77.7
2015,New Brunswick,65 years and over,Females,,,Aged 18 years and older,13,75.2
2015,Quebec,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,24,56.4
2015,Quebec,"Total, 18 years and over",Males,,,Aged 18 years and older,24,57.0
2015,Quebec,"Total, 18 years and over",Females,,,Aged 18 years and older,24,55.8
2015,Quebec,18 to 34 years,Both sexes,,,Aged 18 years and older,24,54.7
2015,Quebec,18 to 34 years,Males,,,Aged 18 years and older,24,53.4
2015,Quebec,18 to 34 years,Females,,,Aged 18 years and older,24,56.1
2015,Quebec,35 to 49 years,Both sexes,,,Aged 18 years and older,24,53.3
2015,Quebec,35 to 49 years,Males,,,Aged 18 years and older,24,55.1
2015,Quebec,35 to 49 years,Females,,,Aged 18 years and older,24,51.3
2015,Quebec,50 to 64 years,Both sexes,,,Aged 18 years and older,24,54.7
2015,Quebec,50 to 64 years,Males,,,Aged 18 years and older,24,56.9
2015,Quebec,50 to 64 years,Females,,,Aged 18 years and older,24,52.3
2015,Quebec,65 years and over,Both sexes,,,Aged 18 years and older,24,65.1
2015,Quebec,65 years and over,Males,,,Aged 18 years and older,24,65.2
2015,Quebec,65 years and over,Females,,,Aged 18 years and older,24,64.9
2015,Ontario,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,35,69.4
2015,Ontario,"Total, 18 years and over",Males,,,Aged 18 years and older,35,68.5
2015,Ontario,"Total, 18 years and over",Females,,,Aged 18 years and older,35,70.2
2015,Ontario,18 to 34 years,Both sexes,,,Aged 18 years and older,35,64.6
2015,Ontario,18 to 34 years,Males,,,Aged 18 years and older,35,62.6
2015,Ontario,18 to 34 years,Females,,,Aged 18 years and older,35,66.6
2015,Ontario,35 to 49 years,Both sexes,,,Aged 18 years and older,35,69.5
2015,Ontario,35 to 49 years,Males,,,Aged 18 years and older,35,67.7
2015,Ontario,35 to 49 years,Females,,,Aged 18 years and older,35,71.2
2015,Ontario,50 to 64 years,Both sexes,,,Aged 18 years and older,35,69.5
2015,Ontario,50 to 64 years,Males,,,Aged 18 years and older,35,70.6
2015,Ontario,50 to 64 years,Females,,,Aged 18 years and older,35,68.5
2015,Ontario,65 years and over,Both sexes,,,Aged 18 years and older,35,76.9
2015,Ontario,65 years and over,Males,,,Aged 18 years and older,35,77.1
2015,Ontario,65 years and over,Females,,,Aged 18 years and older,35,76.7
2015,Manitoba,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,46,70.5
2015,Manitoba,"Total, 18 years and over",Males,,,Aged 18 years and older,46,71.1
2015,Manitoba,"Total, 18 years and over",Females,,,Aged 18 years and older,46,69.9
2015,Manitoba,18 to 34 years,Both sexes,,,Aged 18 years and older,46,65.6
2015,Manitoba,18 to 34 years,Males,,,Aged 18 years and older,46,66.0
2015,Manitoba,18 to 34 years,Females,,,Aged 18 years and older,46,65.1
2015,Manitoba,35 to 49 years,Both sexes,,,Aged 18 years and older,46,72.2
2015,Manitoba,35 to 49 years,Males,,,Aged 18 years and older,46,72.7
2015,Manitoba,35 to 49 years,Females,,,Aged 18 years and older,46,71.6
2015,Manitoba,50 to 64 years,Both sexes,,,Aged 18 years and older,46,71.0
2015,Manitoba,50 to 64 years,Males,,,Aged 18 years and older,46,70.0
2015,Manitoba,50 to 64 years,Females,,,Aged 18 years and older,46,72.0
2015,Manitoba,65 years and over,Both sexes,,,Aged 18 years and older,46,75.6
2015,Manitoba,65 years and over,Males,,,Aged 18 years and older,46,79.8
2015,Manitoba,65 years and over,Females,,,Aged 18 years and older,46,72.2
2015,Saskatchewan,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,47,71.9
2015,Saskatchewan,"Total, 18 years and over",Males,,,Aged 18 years and older,47,70.6
2015,Saskatchewan,"Total, 18 years and over",Females,,,Aged 18 years and older,47,73.3
2015,Saskatchewan,18 to 34 years,Both sexes,,,Aged 18 years and older,47,65.0
2015,Saskatchewan,18 to 34 years,Males,,,Aged 18 years and older,47,62.5
2015,Saskatchewan,18 to 34 years,Females,,,Aged 18 years and older,47,67.5
2015,Saskatchewan,35 to 49 years,Both sexes,,,Aged 18 years and older,47,72.6
2015,Saskatchewan,35 to 49 years,Males,,,Aged 18 years and older,47,69.4
2015,Saskatchewan,35 to 49 years,Females,,,Aged 18 years and older,47,76.0
2015,Saskatchewan,50 to 64 years,Both sexes,,,Aged 18 years and older,47,72.1
2015,Saskatchewan,50 to 64 years,Males,,,Aged 18 years and older,47,73.3
2015,Saskatchewan,50 to 64 years,Females,,,Aged 18 years and older,47,70.9
2015,Saskatchewan,65 years and over,Both sexes,,,Aged 18 years and older,47,83.8
2015,Saskatchewan,65 years and over,Males,,,Aged 18 years and older,47,85.0
2015,Saskatchewan,65 years and over,Females,,,Aged 18 years and older,47,82.8
2015,Alberta,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,48,67.9
2015,Alberta,"Total, 18 years and over",Males,,,Aged 18 years and older,48,66.4
2015,Alberta,"Total, 18 years and over",Females,,,Aged 18 years and older,48,69.4
2015,Alberta,18 to 34 years,Both sexes,,,Aged 18 years and older,48,62.0
2015,Alberta,18 to 34 years,Males,,,Aged 18 years and older,48,60.8
2015,Alberta,18 to 34 years,Females,,,Aged 18 years and older,48,63.4
2015,Alberta,35 to 49 years,Both sexes,,,Aged 18 years and older,48,70.0
2015,Alberta,35 to 49 years,Males,,,Aged 18 years and older,48,66.6
2015,Alberta,35 to 49 years,Females,,,Aged 18 years and older,48,73.5
2015,Alberta,50 to 64 years,Both sexes,,,Aged 18 years and older,48,70.6
2015,Alberta,50 to 64 years,Males,,,Aged 18 years and older,48,69.2
2015,Alberta,50 to 64 years,Females,,,Aged 18 years and older,48,72.1
2015,Alberta,65 years and over,Both sexes,,,Aged 18 years and older,48,73.5
2015,Alberta,65 years and over,Males,,,Aged 18 years and older,48,76.1
2015,Alberta,65 years and over,Females,,,Aged 18 years and older,48,71.3
2015,British Columbia,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,59,70.2
2015,British Columbia,"Total, 18 years and over",Males,,,Aged 18 years and older,59,70.3
2015,British Columbia,"Total, 18 years and over",Females,,,Aged 18 years and older,59,70.1
2015,British Columbia,18 to 34 years,Both sexes,,,Aged 18 years and older,59,63.8
2015,British Columbia,18 to 34 years,Males,,,Aged 18 years and older,59,61.4
2015,British Columbia,18 to 34 years,Females,,,Aged 18 years and older,59,66.3
2015,British Columbia,35 to 49 years,Both sexes,,,Aged 18 years and older,59,73.6
2015,British Columbia,35 to 49 years,Males,,,Aged 18 years and older,59,74.6
2015,British Columbia,35 to 49 years,Females,,,Aged 18 years and older,59,72.8
2015,British Columbia,50 to 64 years,Both sexes,,,Aged 18 years and older,59,68.6
2015,British Columbia,50 to 64 years,Males,,,Aged 18 years and older,59,72.3
2015,British Columbia,50 to 64 years,Females,,,Aged 18 years and older,59,65.0
2015,British Columbia,65 years and over,Both sexes,,,Aged 18 years and older,59,77.8
2015,British Columbia,65 years and over,Males,,,Aged 18 years and older,59,76.3
2015,British Columbia,65 years and over,Females,,,Aged 18 years and older,59,79.1
2016,Canada,"Total, 18 years and over",Males,,,Aged 18 years and older,,66.4
2016,Canada,"Total, 18 years and over",Females,,,Aged 18 years and older,,68.5
2016,Canada,18 to 34 years,Both sexes,,,Aged 18 years and older,,61.5
2016,Canada,18 to 34 years,Males,,,Aged 18 years and older,,58.5
2016,Canada,18 to 34 years,Females,,,Aged 18 years and older,,64.6
2016,Canada,35 to 49 years,Both sexes,,,Aged 18 years and older,,67.6
2016,Canada,35 to 49 years,Males,,,Aged 18 years and older,,67.1
2016,Canada,35 to 49 years,Females,,,Aged 18 years and older,,68.0
2016,Canada,50 to 64 years,Both sexes,,,Aged 18 years and older,,69.0
2016,Canada,50 to 64 years,Males,,,Aged 18 years and older,,69.3
2016,Canada,50 to 64 years,Females,,,Aged 18 years and older,,68.7
2016,Canada,65 years and over,Both sexes,,,Aged 18 years and older,,74.5
2016,Canada,65 years and over,Males,,,Aged 18 years and older,,74.5
2016,Canada,65 years and over,Females,,,Aged 18 years and older,,74.5
2016,Newfoundland and Labrador,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,10,78.0
2016,Newfoundland and Labrador,"Total, 18 years and over",Males,,,Aged 18 years and older,10,78.6
2016,Newfoundland and Labrador,"Total, 18 years and over",Females,,,Aged 18 years and older,10,77.5
2016,Newfoundland and Labrador,18 to 34 years,Both sexes,,,Aged 18 years and older,10,71.6
2016,Newfoundland and Labrador,18 to 34 years,Males,,,Aged 18 years and older,10,78.3
2016,Newfoundland and Labrador,18 to 34 years,Females,,,Aged 18 years and older,10,64.9
2016,Newfoundland and Labrador,35 to 49 years,Both sexes,,,Aged 18 years and older,10,76.8
2016,Newfoundland and Labrador,35 to 49 years,Males,,,Aged 18 years and older,10,72.4
2016,Newfoundland and Labrador,35 to 49 years,Females,,,Aged 18 years and older,10,80.9
2016,Newfoundland and Labrador,50 to 64 years,Both sexes,,,Aged 18 years and older,10,77.4
2016,Newfoundland and Labrador,50 to 64 years,Males,,,Aged 18 years and older,10,77.6
2016,Newfoundland and Labrador,50 to 64 years,Females,,,Aged 18 years and older,10,77.2
2016,Newfoundland and Labrador,65 years and over,Both sexes,,,Aged 18 years and older,10,87.8
2016,Newfoundland and Labrador,65 years and over,Males,,,Aged 18 years and older,10,88.2
2016,Newfoundland and Labrador,65 years and over,Females,,,Aged 18 years and older,10,87.5
2016,Prince Edward Island,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,11,72.6
2016,Prince Edward Island,"Total, 18 years and over",Males,,,Aged 18 years and older,11,71.2
2016,Prince Edward Island,"Total, 18 years and over",Females,,,Aged 18 years and older,11,73.8
2016,Prince Edward Island,18 to 34 years,Both sexes,,,Aged 18 years and older,11,58.1
2016,Prince Edward Island,18 to 34 years,Males,,,Aged 18 years and older,11,54.4
2016,Prince Edward Island,18 to 34 years,Females,,,Aged 18 years and older,11,61.7
2016,Prince Edward Island,35 to 49 years,Both sexes,,,Aged 18 years and older,11,73.3
2016,Prince Edward Island,35 to 49 years,Males,,,Aged 18 years and older,11,70.7
2016,Prince Edward Island,35 to 49 years,Females,,,Aged 18 years and older,11,75.7
2016,Prince Edward Island,50 to 64 years,Both sexes,,,Aged 18 years and older,11,73.5
2016,Prince Edward Island,50 to 64 years,Males,,,Aged 18 years and older,11,75.2
2016,Prince Edward Island,50 to 64 years,Females,,,Aged 18 years and older,11,71.8
2016,Prince Edward Island,65 years and over,Both sexes,,,Aged 18 years and older,11,87.1
2016,Prince Edward Island,65 years and over,Males,,,Aged 18 years and older,11,87.0
2016,Prince Edward Island,65 years and over,Females,,,Aged 18 years and older,11,87.2
2016,Nova Scotia,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,12,72.7
2016,Nova Scotia,"Total, 18 years and over",Males,,,Aged 18 years and older,12,71.1
2016,Nova Scotia,"Total, 18 years and over",Females,,,Aged 18 years and older,12,74.1
2016,Nova Scotia,18 to 34 years,Both sexes,,,Aged 18 years and older,12,67.5
2016,Nova Scotia,18 to 34 years,Males,,,Aged 18 years and older,12,63.3
2016,Nova Scotia,18 to 34 years,Females,,,Aged 18 years and older,12,71.8
2016,Nova Scotia,35 to 49 years,Both sexes,,,Aged 18 years and older,12,69.1
2016,Nova Scotia,35 to 49 years,Males,,,Aged 18 years and older,12,65.7
2016,Nova Scotia,35 to 49 years,Females,,,Aged 18 years and older,12,72.1
2016,Nova Scotia,50 to 64 years,Both sexes,,,Aged 18 years and older,12,76.0
2016,Nova Scotia,50 to 64 years,Males,,,Aged 18 years and older,12,76.0
2016,Nova Scotia,50 to 64 years,Females,,,Aged 18 years and older,12,76.0
2016,Nova Scotia,65 years and over,Both sexes,,,Aged 18 years and older,12,78.4
2016,Nova Scotia,65 years and over,Males,,,Aged 18 years and older,12,80.9
2016,Nova Scotia,65 years and over,Females,,,Aged 18 years and older,12,76.4
2016,New Brunswick,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,13,70.2
2016,New Brunswick,"Total, 18 years and over",Males,,,Aged 18 years and older,13,71.0
2016,New Brunswick,"Total, 18 years and over",Females,,,Aged 18 years and older,13,69.5
2016,New Brunswick,18 to 34 years,Both sexes,,,Aged 18 years and older,13,64.0
2016,New Brunswick,18 to 34 years,Males,,,Aged 18 years and older,13,65.8
2016,New Brunswick,18 to 34 years,Females,,,Aged 18 years and older,13,62.3
2016,New Brunswick,35 to 49 years,Both sexes,,,Aged 18 years and older,13,72.7
2016,New Brunswick,35 to 49 years,Males,,,Aged 18 years and older,13,68.7
2016,New Brunswick,35 to 49 years,Females,,,Aged 18 years and older,13,76.4
2016,New Brunswick,50 to 64 years,Both sexes,,,Aged 18 years and older,13,68.0
2016,New Brunswick,50 to 64 years,Males,,,Aged 18 years and older,13,69.9
2016,New Brunswick,50 to 64 years,Females,,,Aged 18 years and older,13,66.3
2016,New Brunswick,65 years and over,Both sexes,,,Aged 18 years and older,13,77.2
2016,New Brunswick,65 years and over,Males,,,Aged 18 years and older,13,82.1
2016,New Brunswick,65 years and over,Females,,,Aged 18 years and older,13,73.6
2016,Quebec,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,24,58.3
2016,Quebec,"Total, 18 years and over",Males,,,Aged 18 years and older,24,57.7
2016,Quebec,"Total, 18 years and over",Females,,,Aged 18 years and older,24,58.9
2016,Quebec,18 to 34 years,Both sexes,,,Aged 18 years and older,24,52.7
2016,Quebec,18 to 34 years,Males,,,Aged 18 years and older,24,51.3
2016,Quebec,18 to 34 years,Females,,,Aged 18 years and older,24,54.0
2016,Quebec,35 to 49 years,Both sexes,,,Aged 18 years and older,24,57.9
2016,Quebec,35 to 49 years,Males,,,Aged 18 years and older,24,56.2
2016,Quebec,35 to 49 years,Females,,,Aged 18 years and older,24,59.6
2016,Quebec,50 to 64 years,Both sexes,,,Aged 18 years and older,24,59.0
2016,Quebec,50 to 64 years,Males,,,Aged 18 years and older,24,59.7
2016,Quebec,50 to 64 years,Females,,,Aged 18 years and older,24,58.2
2016,Quebec,65 years and over,Both sexes,,,Aged 18 years and older,24,65.6
2016,Quebec,65 years and over,Males,,,Aged 18 years and older,24,66.1
2016,Quebec,65 years and over,Females,,,Aged 18 years and older,24,65.1
2016,Ontario,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,35,70.1
2016,Ontario,"Total, 18 years and over",Males,,,Aged 18 years and older,35,68.9
2016,Ontario,"Total, 18 years and over",Females,,,Aged 18 years and older,35,71.3
2016,Ontario,18 to 34 years,Both sexes,,,Aged 18 years and older,35,63.6
2016,Ontario,18 to 34 years,Males,,,Aged 18 years and older,35,58.5
2016,Ontario,18 to 34 years,Females,,,Aged 18 years and older,35,68.7
2016,Ontario,35 to 49 years,Both sexes,,,Aged 18 years and older,35,69.1
2016,Ontario,35 to 49 years,Males,,,Aged 18 years and older,35,70.0
2016,Ontario,35 to 49 years,Females,,,Aged 18 years and older,35,68.4
2016,Ontario,50 to 64 years,Both sexes,,,Aged 18 years and older,35,73.2
2016,Ontario,50 to 64 years,Males,,,Aged 18 years and older,35,74.1
2016,Ontario,50 to 64 years,Females,,,Aged 18 years and older,35,72.3
2016,Ontario,65 years and over,Both sexes,,,Aged 18 years and older,35,77.6
2016,Ontario,65 years and over,Males,,,Aged 18 years and older,35,77.7
2016,Ontario,65 years and over,Females,,,Aged 18 years and older,35,77.5
2016,Manitoba,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,46,68.2
2016,Manitoba,"Total, 18 years and over",Males,,,Aged 18 years and older,46,67.9
2016,Manitoba,"Total, 18 years and over",Females,,,Aged 18 years and older,46,68.5
2016,Manitoba,18 to 34 years,Both sexes,,,Aged 18 years and older,46,62.5
2016,Manitoba,18 to 34 years,Males,,,Aged 18 years and older,46,64.1
2016,Manitoba,18 to 34 years,Females,,,Aged 18 years and older,46,60.8
2016,Manitoba,35 to 49 years,Both sexes,,,Aged 18 years and older,46,67.9
2016,Manitoba,35 to 49 years,Males,,,Aged 18 years and older,46,65.3
2016,Manitoba,35 to 49 years,Females,,,Aged 18 years and older,46,70.4
2016,Manitoba,50 to 64 years,Both sexes,,,Aged 18 years and older,46,69.8
2016,Manitoba,50 to 64 years,Males,,,Aged 18 years and older,46,68.8
2016,Manitoba,50 to 64 years,Females,,,Aged 18 years and older,46,70.7
2016,Manitoba,65 years and over,Both sexes,,,Aged 18 years and older,46,76.3
2016,Manitoba,65 years and over,Males,,,Aged 18 years and older,46,78.1
2016,Manitoba,65 years and over,Females,,,Aged 18 years and older,46,74.9
2016,Saskatchewan,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,47,72.9
2016,Saskatchewan,"Total, 18 years and over",Males,,,Aged 18 years and older,47,74.4
2016,Saskatchewan,"Total, 18 years and over",Females,,,Aged 18 years and older,47,71.4
2016,Saskatchewan,18 to 34 years,Both sexes,,,Aged 18 years and older,47,66.6
2016,Saskatchewan,18 to 34 years,Males,,,Aged 18 years and older,47,66.4
2016,Saskatchewan,18 to 34 years,Females,,,Aged 18 years and older,47,66.8
2016,Saskatchewan,35 to 49 years,Both sexes,,,Aged 18 years and older,47,70.5
2016,Saskatchewan,35 to 49 years,Males,,,Aged 18 years and older,47,73.5
2016,Saskatchewan,35 to 49 years,Females,,,Aged 18 years and older,47,67.4
2016,Saskatchewan,50 to 64 years,Both sexes,,,Aged 18 years and older,47,77.5
2016,Saskatchewan,50 to 64 years,Males,,,Aged 18 years and older,47,77.7
2016,Saskatchewan,50 to 64 years,Females,,,Aged 18 years and older,47,77.3
2016,Saskatchewan,65 years and over,Both sexes,,,Aged 18 years and older,47,80.6
2016,Saskatchewan,65 years and over,Males,,,Aged 18 years and older,47,86.4
2016,Saskatchewan,65 years and over,Females,,,Aged 18 years and older,47,75.6
2016,Alberta,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,48,68.4
2016,Alberta,"Total, 18 years and over",Males,,,Aged 18 years and older,48,68.3
2016,Alberta,"Total, 18 years and over",Females,,,Aged 18 years and older,48,68.5
2016,Alberta,18 to 34 years,Both sexes,,,Aged 18 years and older,48,63.2
2016,Alberta,18 to 34 years,Males,,,Aged 18 years and older,48,59.8
2016,Alberta,18 to 34 years,Females,,,Aged 18 years and older,48,66.7
2016,Alberta,35 to 49 years,Both sexes,,,Aged 18 years and older,48,70.9
2016,Alberta,35 to 49 years,Males,,,Aged 18 years and older,48,73.3
2016,Alberta,35 to 49 years,Females,,,Aged 18 years and older,48,68.4
2016,Alberta,50 to 64 years,Both sexes,,,Aged 18 years and older,48,67.9
2016,Alberta,50 to 64 years,Males,,,Aged 18 years and older,48,70.3
2016,Alberta,50 to 64 years,Females,,,Aged 18 years and older,48,65.4
2016,Alberta,65 years and over,Both sexes,,,Aged 18 years and older,48,77.1
2016,Alberta,65 years and over,Males,,,Aged 18 years and older,48,76.1
2016,Alberta,65 years and over,Females,,,Aged 18 years and older,48,77.9
2016,British Columbia,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,59,71.1
2016,British Columbia,"Total, 18 years and over",Males,,,Aged 18 years and older,59,68.0
2016,British Columbia,"Total, 18 years and over",Females,,,Aged 18 years and older,59,74.0
2016,British Columbia,18 to 34 years,Both sexes,,,Aged 18 years and older,59,64.7
2016,British Columbia,18 to 34 years,Males,,,Aged 18 years and older,59,62.2
2016,British Columbia,18 to 34 years,Females,,,Aged 18 years and older,59,67.3
2016,British Columbia,35 to 49 years,Both sexes,,,Aged 18 years and older,59,73.9
2016,British Columbia,35 to 49 years,Males,,,Aged 18 years and older,59,71.1
2016,British Columbia,35 to 49 years,Females,,,Aged 18 years and older,59,76.7
2016,British Columbia,50 to 64 years,Both sexes,,,Aged 18 years and older,59,71.3
2016,British Columbia,50 to 64 years,Males,,,Aged 18 years and older,59,68.0
2016,British Columbia,50 to 64 years,Females,,,Aged 18 years and older,59,74.4
2016,British Columbia,65 years and over,Both sexes,,,Aged 18 years and older,59,76.2
2016,British Columbia,65 years and over,Males,,,Aged 18 years and older,59,72.9
2016,British Columbia,65 years and over,Females,,,Aged 18 years and older,59,79.1
2017,Canada,"Total, 18 years and over",Males,,,Aged 18 years and older,,67.6
2017,Canada,"Total, 18 years and over",Females,,,Aged 18 years and older,,68.7
2017,Canada,18 to 34 years,Both sexes,,,Aged 18 years and older,,62.8
2017,Canada,18 to 34 years,Males,,,Aged 18 years and older,,61.4
2017,Canada,18 to 34 years,Females,,,Aged 18 years and older,,64.3
2017,Canada,35 to 49 years,Both sexes,,,Aged 18 years and older,,68.3
2017,Canada,35 to 49 years,Males,,,Aged 18 years and older,,67.5
2017,Canada,35 to 49 years,Females,,,Aged 18 years and older,,69.0
2017,Canada,50 to 64 years,Both sexes,,,Aged 18 years and older,,67.9
2017,Canada,50 to 64 years,Males,,,Aged 18 years and older,,68.6
2017,Canada,50 to 64 years,Females,,,Aged 18 years and older,,67.3
2017,Canada,65 years and over,Both sexes,,,Aged 18 years and older,,76.3
2017,Canada,65 years and over,Males,,,Aged 18 years and older,,76.6
2017,Canada,65 years and over,Females,,,Aged 18 years and older,,76.1
2017,Newfoundland and Labrador,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,10,76.3
2017,Newfoundland and Labrador,"Total, 18 years and over",Males,,,Aged 18 years and older,10,76.0
