Year,Geography,Population characteristics,Educational attainment level,Age group,Sex,GeoCode,Value
2010,Canada,Total population,Short-cycle tertiary,45 to 54 years,Both sexes,,24.0
2010,Canada,Total population,Short-cycle tertiary,45 to 54 years,Male,,20.0
2010,Canada,Total population,Short-cycle tertiary,45 to 54 years,Female,,28.0
2010,Canada,Total population,Short-cycle tertiary,55 to 64 years,Both sexes,,20.0
2010,Canada,Total population,Short-cycle tertiary,55 to 64 years,Male,,17.0
2010,Canada,Total population,Short-cycle tertiary,55 to 64 years,Female,,24.0
2010,Canada,Total population,Bachelor's level,"Total, 25 to 64 years",Both sexes,,18.0
2010,Canada,Total population,Bachelor's level,"Total, 25 to 64 years",Male,,16.0
2010,Canada,Total population,Bachelor's level,"Total, 25 to 64 years",Female,,19.0
2010,Canada,Total population,Bachelor's level,25 to 34 years,Both sexes,,23.0
2010,Canada,Total population,Bachelor's level,25 to 34 years,Male,,19.0
2010,Canada,Total population,Bachelor's level,25 to 34 years,Female,,26.0
2010,Canada,Total population,Bachelor's level,30 to 34 years,Both sexes,,22.0
2010,Canada,Total population,Bachelor's level,30 to 34 years,Male,,19.0
2010,Canada,Total population,Bachelor's level,30 to 34 years,Female,,25.0
2010,Canada,Total population,Bachelor's level,35 to 44 years,Both sexes,,21.0
2010,Canada,Total population,Bachelor's level,35 to 44 years,Male,,19.0
2010,Canada,Total population,Bachelor's level,35 to 44 years,Female,,23.0
2010,Canada,Total population,Bachelor's level,45 to 54 years,Both sexes,,15.0
2010,Canada,Total population,Bachelor's level,45 to 54 years,Male,,14.0
2010,Canada,Total population,Bachelor's level,45 to 54 years,Female,,15.0
2010,Canada,Total population,Bachelor's level,55 to 64 years,Both sexes,,14.0
2010,Canada,Total population,Bachelor's level,55 to 64 years,Male,,14.0
2010,Canada,Total population,Bachelor's level,55 to 64 years,Female,,13.0
2010,Canada,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Both sexes,,8.0
2010,Canada,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Male,,9.0
2010,Canada,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Female,,8.0
2010,Canada,Total population,Master's or Doctoral level,25 to 34 years,Both sexes,,8.0
2010,Canada,Total population,Master's or Doctoral level,25 to 34 years,Male,,7.0
2010,Canada,Total population,Master's or Doctoral level,25 to 34 years,Female,,9.0
2010,Canada,Total population,Master's or Doctoral level,30 to 34 years,Both sexes,,9.0
2010,Canada,Total population,Master's or Doctoral level,30 to 34 years,Male,,9.0
2010,Canada,Total population,Master's or Doctoral level,30 to 34 years,Female,,10.0
2010,Canada,Total population,Master's or Doctoral level,35 to 44 years,Both sexes,,9.0
2010,Canada,Total population,Master's or Doctoral level,35 to 44 years,Male,,9.0
2010,Canada,Total population,Master's or Doctoral level,35 to 44 years,Female,,9.0
2010,Canada,Total population,Master's or Doctoral level,45 to 54 years,Both sexes,,8.0
2010,Canada,Total population,Master's or Doctoral level,45 to 54 years,Male,,8.0
2010,Canada,Total population,Master's or Doctoral level,45 to 54 years,Female,,7.0
2010,Canada,Total population,Master's or Doctoral level,55 to 64 years,Both sexes,,8.0
2010,Canada,Total population,Master's or Doctoral level,55 to 64 years,Male,,10.0
2010,Canada,Total population,Master's or Doctoral level,55 to 64 years,Female,,6.0
2010,Newfoundland and Labrador,Total population,Tertiary education,"Total, 25 to 64 years",Both sexes,10,36.0
2010,Newfoundland and Labrador,Total population,Tertiary education,"Total, 25 to 64 years",Male,10,30.0
2010,Newfoundland and Labrador,Total population,Tertiary education,"Total, 25 to 64 years",Female,10,42.0
2010,Newfoundland and Labrador,Total population,Tertiary education,25 to 34 years,Both sexes,10,47.0
2010,Newfoundland and Labrador,Total population,Tertiary education,25 to 34 years,Male,10,38.0
2010,Newfoundland and Labrador,Total population,Tertiary education,25 to 34 years,Female,10,56.0
2010,Newfoundland and Labrador,Total population,Tertiary education,30 to 34 years,Both sexes,10,48.0
2010,Newfoundland and Labrador,Total population,Tertiary education,30 to 34 years,Male,10,41.0
2010,Newfoundland and Labrador,Total population,Tertiary education,30 to 34 years,Female,10,55.0
2010,Newfoundland and Labrador,Total population,Tertiary education,35 to 44 years,Both sexes,10,43.0
2010,Newfoundland and Labrador,Total population,Tertiary education,35 to 44 years,Male,10,36.0
2010,Newfoundland and Labrador,Total population,Tertiary education,35 to 44 years,Female,10,51.0
2010,Newfoundland and Labrador,Total population,Tertiary education,45 to 54 years,Both sexes,10,31.0
2010,Newfoundland and Labrador,Total population,Tertiary education,45 to 54 years,Male,10,26.0
2010,Newfoundland and Labrador,Total population,Tertiary education,45 to 54 years,Female,10,36.0
2010,Newfoundland and Labrador,Total population,Tertiary education,55 to 64 years,Both sexes,10,26.0
2010,Newfoundland and Labrador,Total population,Tertiary education,55 to 64 years,Male,10,23.0
2010,Newfoundland and Labrador,Total population,Tertiary education,55 to 64 years,Female,10,28.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Both sexes,10,21.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Male,10,17.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Female,10,25.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,25 to 34 years,Both sexes,10,24.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,25 to 34 years,Male,10,21.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,25 to 34 years,Female,10,27.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,30 to 34 years,Both sexes,10,26.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,30 to 34 years,Male,10,24.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,30 to 34 years,Female,10,29.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,35 to 44 years,Both sexes,10,28.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,35 to 44 years,Male,10,22.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,35 to 44 years,Female,10,33.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,45 to 54 years,Both sexes,10,19.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,45 to 54 years,Male,10,15.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,45 to 54 years,Female,10,23.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,55 to 64 years,Both sexes,10,14.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,55 to 64 years,Male,10,10.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,55 to 64 years,Female,10,18.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,"Total, 25 to 64 years",Both sexes,10,10.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,"Total, 25 to 64 years",Male,10,9.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,"Total, 25 to 64 years",Female,10,12.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,25 to 34 years,Both sexes,10,18.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,25 to 34 years,Male,10,12.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,25 to 34 years,Female,10,23.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,30 to 34 years,Both sexes,10,15.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,30 to 34 years,Male,10,11.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,30 to 34 years,Female,10,19.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,35 to 44 years,Both sexes,10,11.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,35 to 44 years,Male,10,9.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,35 to 44 years,Female,10,13.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,45 to 54 years,Both sexes,10,7.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,45 to 54 years,Male,10,6.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,45 to 54 years,Female,10,7.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,55 to 64 years,Both sexes,10,8.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,55 to 64 years,Male,10,7.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,55 to 64 years,Female,10,8.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Both sexes,10,5.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Male,10,5.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Female,10,5.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,25 to 34 years,Both sexes,10,5.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,25 to 34 years,Male,10,4.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,25 to 34 years,Female,10,6.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,30 to 34 years,Both sexes,10,7.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,30 to 34 years,Male,10,6.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,30 to 34 years,Female,10,8.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,35 to 44 years,Both sexes,10,5.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,35 to 44 years,Male,10,4.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,35 to 44 years,Female,10,5.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,45 to 54 years,Both sexes,10,5.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,45 to 54 years,Male,10,4.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,45 to 54 years,Female,10,5.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,55 to 64 years,Both sexes,10,4.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,55 to 64 years,Male,10,6.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,55 to 64 years,Female,10,3.0
2010,Prince Edward Island,Total population,Tertiary education,"Total, 25 to 64 years",Both sexes,11,48.0
2010,Prince Edward Island,Total population,Tertiary education,"Total, 25 to 64 years",Male,11,40.0
2010,Prince Edward Island,Total population,Tertiary education,"Total, 25 to 64 years",Female,11,56.0
2010,Prince Edward Island,Total population,Tertiary education,25 to 34 years,Both sexes,11,57.0
2010,Prince Edward Island,Total population,Tertiary education,25 to 34 years,Male,11,47.0
2010,Prince Edward Island,Total population,Tertiary education,25 to 34 years,Female,11,67.0
2010,Prince Edward Island,Total population,Tertiary education,30 to 34 years,Both sexes,11,58.0
2010,Prince Edward Island,Total population,Tertiary education,30 to 34 years,Male,11,49.0
2010,Prince Edward Island,Total population,Tertiary education,30 to 34 years,Female,11,66.0
2010,Prince Edward Island,Total population,Tertiary education,35 to 44 years,Both sexes,11,56.0
2010,Prince Edward Island,Total population,Tertiary education,35 to 44 years,Male,11,47.0
2010,Prince Edward Island,Total population,Tertiary education,35 to 44 years,Female,11,65.0
2010,Prince Edward Island,Total population,Tertiary education,45 to 54 years,Both sexes,11,45.0
2010,Prince Edward Island,Total population,Tertiary education,45 to 54 years,Male,11,37.0
2010,Prince Edward Island,Total population,Tertiary education,45 to 54 years,Female,11,53.0
2010,Prince Edward Island,Total population,Tertiary education,55 to 64 years,Both sexes,11,38.0
2010,Prince Edward Island,Total population,Tertiary education,55 to 64 years,Male,11,33.0
2010,Prince Edward Island,Total population,Tertiary education,55 to 64 years,Female,11,43.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Both sexes,11,26.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Male,11,20.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Female,11,32.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,25 to 34 years,Both sexes,11,29.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,25 to 34 years,Male,11,26.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,25 to 34 years,Female,11,32.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,30 to 34 years,Both sexes,11,30.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,30 to 34 years,Male,11,28.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,30 to 34 years,Female,11,32.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,35 to 44 years,Both sexes,11,30.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,35 to 44 years,Male,11,26.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,35 to 44 years,Female,11,35.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,45 to 54 years,Both sexes,11,28.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,45 to 54 years,Male,11,20.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,45 to 54 years,Female,11,36.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,55 to 64 years,Both sexes,11,19.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,55 to 64 years,Male,11,12.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,55 to 64 years,Female,11,25.0
2010,Prince Edward Island,Total population,Bachelor's level,"Total, 25 to 64 years",Both sexes,11,15.0
2010,Prince Edward Island,Total population,Bachelor's level,"Total, 25 to 64 years",Male,11,14.0
2010,Prince Edward Island,Total population,Bachelor's level,"Total, 25 to 64 years",Female,11,17.0
2010,Prince Edward Island,Total population,Bachelor's level,25 to 34 years,Both sexes,11,22.0
2010,Prince Edward Island,Total population,Bachelor's level,25 to 34 years,Male,11,18.0
2010,Prince Edward Island,Total population,Bachelor's level,25 to 34 years,Female,11,26.0
2010,Prince Edward Island,Total population,Bachelor's level,30 to 34 years,Both sexes,11,21.0
2010,Prince Edward Island,Total population,Bachelor's level,30 to 34 years,Male,11,17.0
2010,Prince Edward Island,Total population,Bachelor's level,30 to 34 years,Female,11,24.0
2010,Prince Edward Island,Total population,Bachelor's level,35 to 44 years,Both sexes,11,17.0
2010,Prince Edward Island,Total population,Bachelor's level,35 to 44 years,Male,11,15.0
2010,Prince Edward Island,Total population,Bachelor's level,35 to 44 years,Female,11,20.0
2010,Prince Edward Island,Total population,Bachelor's level,45 to 54 years,Both sexes,11,12.0
2010,Prince Edward Island,Total population,Bachelor's level,45 to 54 years,Male,11,11.0
2010,Prince Edward Island,Total population,Bachelor's level,45 to 54 years,Female,11,13.0
2010,Prince Edward Island,Total population,Bachelor's level,55 to 64 years,Both sexes,11,12.0
2010,Prince Edward Island,Total population,Bachelor's level,55 to 64 years,Male,11,13.0
2010,Prince Edward Island,Total population,Bachelor's level,55 to 64 years,Female,11,11.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Both sexes,11,7.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Male,11,6.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Female,11,7.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,25 to 34 years,Both sexes,11,7.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,25 to 34 years,Male,11,4.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,25 to 34 years,Female,11,9.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,30 to 34 years,Both sexes,11,7.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,30 to 34 years,Male,11,
2010,Prince Edward Island,Total population,Master's or Doctoral level,30 to 34 years,Female,11,10.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,35 to 44 years,Both sexes,11,9.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,35 to 44 years,Male,11,6.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,35 to 44 years,Female,11,11.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,45 to 54 years,Both sexes,11,5.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,45 to 54 years,Male,11,6.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,45 to 54 years,Female,11,4.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,55 to 64 years,Both sexes,11,7.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,55 to 64 years,Male,11,7.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,55 to 64 years,Female,11,6.0
2010,Nova Scotia,Total population,Tertiary education,"Total, 25 to 64 years",Both sexes,12,48.0
2010,Nova Scotia,Total population,Tertiary education,"Total, 25 to 64 years",Male,12,42.0
2010,Nova Scotia,Total population,Tertiary education,"Total, 25 to 64 years",Female,12,55.0
2010,Nova Scotia,Total population,Tertiary education,25 to 34 years,Both sexes,12,60.0
2010,Nova Scotia,Total population,Tertiary education,25 to 34 years,Male,12,52.0
2010,Nova Scotia,Total population,Tertiary education,25 to 34 years,Female,12,68.0
2010,Nova Scotia,Total population,Tertiary education,30 to 34 years,Both sexes,12,61.0
2010,Nova Scotia,Total population,Tertiary education,30 to 34 years,Male,12,53.0
2010,Nova Scotia,Total population,Tertiary education,30 to 34 years,Female,12,68.0
2010,Nova Scotia,Total population,Tertiary education,35 to 44 years,Both sexes,12,54.0
2010,Nova Scotia,Total population,Tertiary education,35 to 44 years,Male,12,46.0
2010,Nova Scotia,Total population,Tertiary education,35 to 44 years,Female,12,62.0
2010,Nova Scotia,Total population,Tertiary education,45 to 54 years,Both sexes,12,43.0
2010,Nova Scotia,Total population,Tertiary education,45 to 54 years,Male,12,37.0
2010,Nova Scotia,Total population,Tertiary education,45 to 54 years,Female,12,49.0
2010,Nova Scotia,Total population,Tertiary education,55 to 64 years,Both sexes,12,40.0
2010,Nova Scotia,Total population,Tertiary education,55 to 64 years,Male,12,35.0
2010,Nova Scotia,Total population,Tertiary education,55 to 64 years,Female,12,45.0
2010,Nova Scotia,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Both sexes,12,25.0
2010,Nova Scotia,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Male,12,21.0
2010,Nova Scotia,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Female,12,29.0
2010,Nova Scotia,Total population,Short-cycle tertiary,25 to 34 years,Both sexes,12,29.0
2010,Nova Scotia,Total population,Short-cycle tertiary,25 to 34 years,Male,12,28.0
2010,Nova Scotia,Total population,Short-cycle tertiary,25 to 34 years,Female,12,30.0
2010,Nova Scotia,Total population,Short-cycle tertiary,30 to 34 years,Both sexes,12,30.0
2010,Nova Scotia,Total population,Short-cycle tertiary,30 to 34 years,Male,12,30.0
2010,Nova Scotia,Total population,Short-cycle tertiary,30 to 34 years,Female,12,31.0
2010,Nova Scotia,Total population,Short-cycle tertiary,35 to 44 years,Both sexes,12,28.0
2010,Nova Scotia,Total population,Short-cycle tertiary,35 to 44 years,Male,12,24.0
2010,Nova Scotia,Total population,Short-cycle tertiary,35 to 44 years,Female,12,32.0
2010,Nova Scotia,Total population,Short-cycle tertiary,45 to 54 years,Both sexes,12,24.0
2010,Nova Scotia,Total population,Short-cycle tertiary,45 to 54 years,Male,12,20.0
2010,Nova Scotia,Total population,Short-cycle tertiary,45 to 54 years,Female,12,29.0
2010,Nova Scotia,Total population,Short-cycle tertiary,55 to 64 years,Both sexes,12,19.0
2010,Nova Scotia,Total population,Short-cycle tertiary,55 to 64 years,Male,12,14.0
2010,Nova Scotia,Total population,Short-cycle tertiary,55 to 64 years,Female,12,24.0
2010,Nova Scotia,Total population,Bachelor's level,"Total, 25 to 64 years",Both sexes,12,15.0
2010,Nova Scotia,Total population,Bachelor's level,"Total, 25 to 64 years",Male,12,12.0
2010,Nova Scotia,Total population,Bachelor's level,"Total, 25 to 64 years",Female,12,17.0
2010,Nova Scotia,Total population,Bachelor's level,25 to 34 years,Both sexes,12,21.0
2010,Nova Scotia,Total population,Bachelor's level,25 to 34 years,Male,12,16.0
2010,Nova Scotia,Total population,Bachelor's level,25 to 34 years,Female,12,27.0
2010,Nova Scotia,Total population,Bachelor's level,30 to 34 years,Both sexes,12,20.0
2010,Nova Scotia,Total population,Bachelor's level,30 to 34 years,Male,12,15.0
2010,Nova Scotia,Total population,Bachelor's level,30 to 34 years,Female,12,25.0
2010,Nova Scotia,Total population,Bachelor's level,35 to 44 years,Both sexes,12,17.0
2010,Nova Scotia,Total population,Bachelor's level,35 to 44 years,Male,12,14.0
2010,Nova Scotia,Total population,Bachelor's level,35 to 44 years,Female,12,19.0
2010,Nova Scotia,Total population,Bachelor's level,45 to 54 years,Both sexes,12,12.0
2010,Nova Scotia,Total population,Bachelor's level,45 to 54 years,Male,12,9.0
2010,Nova Scotia,Total population,Bachelor's level,45 to 54 years,Female,12,14.0
2010,Nova Scotia,Total population,Bachelor's level,55 to 64 years,Both sexes,12,11.0
2010,Nova Scotia,Total population,Bachelor's level,55 to 64 years,Male,12,10.0
2010,Nova Scotia,Total population,Bachelor's level,55 to 64 years,Female,12,12.0
2010,Nova Scotia,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Both sexes,12,9.0
2010,Nova Scotia,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Male,12,9.0
2010,Nova Scotia,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Female,12,9.0
2010,Nova Scotia,Total population,Master's or Doctoral level,25 to 34 years,Both sexes,12,10.0
2010,Nova Scotia,Total population,Master's or Doctoral level,25 to 34 years,Male,12,8.0
2010,Nova Scotia,Total population,Master's or Doctoral level,25 to 34 years,Female,12,11.0
2010,Nova Scotia,Total population,Master's or Doctoral level,30 to 34 years,Both sexes,12,10.0
2010,Nova Scotia,Total population,Master's or Doctoral level,30 to 34 years,Male,12,8.0
2010,Nova Scotia,Total population,Master's or Doctoral level,30 to 34 years,Female,12,13.0
2010,Nova Scotia,Total population,Master's or Doctoral level,35 to 44 years,Both sexes,12,9.0
2010,Nova Scotia,Total population,Master's or Doctoral level,35 to 44 years,Male,12,8.0
2010,Nova Scotia,Total population,Master's or Doctoral level,35 to 44 years,Female,12,10.0
2010,Nova Scotia,Total population,Master's or Doctoral level,45 to 54 years,Both sexes,12,7.0
2010,Nova Scotia,Total population,Master's or Doctoral level,45 to 54 years,Male,12,8.0
2010,Nova Scotia,Total population,Master's or Doctoral level,45 to 54 years,Female,12,7.0
2010,Nova Scotia,Total population,Master's or Doctoral level,55 to 64 years,Both sexes,12,10.0
2010,Nova Scotia,Total population,Master's or Doctoral level,55 to 64 years,Male,12,11.0
2010,Nova Scotia,Total population,Master's or Doctoral level,55 to 64 years,Female,12,9.0
2010,New Brunswick,Total population,Tertiary education,"Total, 25 to 64 years",Both sexes,13,46.0
2010,New Brunswick,Total population,Tertiary education,"Total, 25 to 64 years",Male,13,40.0
2010,New Brunswick,Total population,Tertiary education,"Total, 25 to 64 years",Female,13,51.0
2010,New Brunswick,Total population,Tertiary education,25 to 34 years,Both sexes,13,58.0
2010,New Brunswick,Total population,Tertiary education,25 to 34 years,Male,13,50.0
2010,New Brunswick,Total population,Tertiary education,25 to 34 years,Female,13,65.0
2010,New Brunswick,Total population,Tertiary education,30 to 34 years,Both sexes,13,58.0
2010,New Brunswick,Total population,Tertiary education,30 to 34 years,Male,13,51.0
2010,New Brunswick,Total population,Tertiary education,30 to 34 years,Female,13,65.0
2010,New Brunswick,Total population,Tertiary education,35 to 44 years,Both sexes,13,52.0
2010,New Brunswick,Total population,Tertiary education,35 to 44 years,Male,13,47.0
2010,New Brunswick,Total population,Tertiary education,35 to 44 years,Female,13,57.0
2010,New Brunswick,Total population,Tertiary education,45 to 54 years,Both sexes,13,39.0
2010,New Brunswick,Total population,Tertiary education,45 to 54 years,Male,13,34.0
2010,New Brunswick,Total population,Tertiary education,45 to 54 years,Female,13,45.0
2010,New Brunswick,Total population,Tertiary education,55 to 64 years,Both sexes,13,37.0
2010,New Brunswick,Total population,Tertiary education,55 to 64 years,Male,13,34.0
2010,New Brunswick,Total population,Tertiary education,55 to 64 years,Female,13,40.0
2010,New Brunswick,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Both sexes,13,27.0
2010,New Brunswick,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Male,13,23.0
2010,New Brunswick,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Female,13,30.0
2010,New Brunswick,Total population,Short-cycle tertiary,25 to 34 years,Both sexes,13,31.0
2010,New Brunswick,Total population,Short-cycle tertiary,25 to 34 years,Male,13,30.0
2010,New Brunswick,Total population,Short-cycle tertiary,25 to 34 years,Female,13,33.0
2010,New Brunswick,Total population,Short-cycle tertiary,30 to 34 years,Both sexes,13,35.0
2010,New Brunswick,Total population,Short-cycle tertiary,30 to 34 years,Male,13,33.0
2010,New Brunswick,Total population,Short-cycle tertiary,30 to 34 years,Female,13,36.0
2010,New Brunswick,Total population,Short-cycle tertiary,35 to 44 years,Both sexes,13,31.0
2010,New Brunswick,Total population,Short-cycle tertiary,35 to 44 years,Male,13,28.0
2010,New Brunswick,Total population,Short-cycle tertiary,35 to 44 years,Female,13,33.0
2010,New Brunswick,Total population,Short-cycle tertiary,45 to 54 years,Both sexes,13,25.0
2010,New Brunswick,Total population,Short-cycle tertiary,45 to 54 years,Male,13,21.0
2010,New Brunswick,Total population,Short-cycle tertiary,45 to 54 years,Female,13,30.0
