Year,Géographie,Groupe d'âge,Sexe,GeoCode,Value
2015,Manitoba,"Total, 12 ans et plus",Les deux sexes,46,71.7
2015,Manitoba,"Total, 12 ans et plus",Hommes,46,72.5
2015,Manitoba,"Total, 12 ans et plus",Femmes,46,71.0
2015,Manitoba,12 à 17 ans,Les deux sexes,46,85.6
2015,Manitoba,12 à 17 ans,Hommes,46,86.8
2015,Manitoba,12 à 17 ans,Femmes,46,84.3
2015,Manitoba,18 à 34 ans,Les deux sexes,46,65.6
2015,Manitoba,18 à 34 ans,Hommes,46,66.0
2015,Manitoba,18 à 34 ans,Femmes,46,65.1
2015,Manitoba,35 à 49 ans,Les deux sexes,46,72.2
2015,Manitoba,35 à 49 ans,Hommes,46,72.7
2015,Manitoba,35 à 49 ans,Femmes,46,71.6
2015,Manitoba,50 à 64 ans,Les deux sexes,46,71.0
2015,Manitoba,50 à 64 ans,Hommes,46,70.0
2015,Manitoba,50 à 64 ans,Femmes,46,72.0
2015,Manitoba,65 ans et plus,Les deux sexes,46,75.6
2015,Manitoba,65 ans et plus,Hommes,46,79.8
2015,Manitoba,65 ans et plus,Femmes,46,72.2
2015,Saskatchewan,"Total, 12 ans et plus",Les deux sexes,47,73.4
2015,Saskatchewan,"Total, 12 ans et plus",Hommes,47,72.1
2015,Saskatchewan,"Total, 12 ans et plus",Femmes,47,74.7
2015,Saskatchewan,12 à 17 ans,Les deux sexes,47,91.0
2015,Saskatchewan,12 à 17 ans,Hommes,47,90.6
2015,Saskatchewan,12 à 17 ans,Femmes,47,91.4
2015,Saskatchewan,18 à 34 ans,Les deux sexes,47,65.0
2015,Saskatchewan,18 à 34 ans,Hommes,47,62.5
2015,Saskatchewan,18 à 34 ans,Femmes,47,67.5
2015,Saskatchewan,35 à 49 ans,Les deux sexes,47,72.6
2015,Saskatchewan,35 à 49 ans,Hommes,47,69.4
2015,Saskatchewan,35 à 49 ans,Femmes,47,76.0
2015,Saskatchewan,50 à 64 ans,Les deux sexes,47,72.1
2015,Saskatchewan,50 à 64 ans,Hommes,47,73.3
2015,Saskatchewan,50 à 64 ans,Femmes,47,70.9
2015,Saskatchewan,65 ans et plus,Les deux sexes,47,83.8
2015,Saskatchewan,65 ans et plus,Hommes,47,85.0
2015,Saskatchewan,65 ans et plus,Femmes,47,82.8
2015,Alberta,"Total, 12 ans et plus",Les deux sexes,48,69.3
2015,Alberta,"Total, 12 ans et plus",Hommes,48,67.8
2015,Alberta,"Total, 12 ans et plus",Femmes,48,70.8
2015,Alberta,12 à 17 ans,Les deux sexes,48,86.1
2015,Alberta,12 à 17 ans,Hommes,48,84.9
2015,Alberta,12 à 17 ans,Femmes,48,87.3
2015,Alberta,18 à 34 ans,Les deux sexes,48,62.0
2015,Alberta,18 à 34 ans,Hommes,48,60.8
2015,Alberta,18 à 34 ans,Femmes,48,63.4
2015,Alberta,35 à 49 ans,Les deux sexes,48,70.0
2015,Alberta,35 à 49 ans,Hommes,48,66.6
2015,Alberta,35 à 49 ans,Femmes,48,73.5
2015,Alberta,50 à 64 ans,Les deux sexes,48,70.6
2015,Alberta,50 à 64 ans,Hommes,48,69.2
2015,Alberta,50 à 64 ans,Femmes,48,72.1
2015,Alberta,65 ans et plus,Les deux sexes,48,73.5
2015,Alberta,65 ans et plus,Hommes,48,76.1
2015,Alberta,65 ans et plus,Femmes,48,71.3
2015,Colombie-Britannique,"Total, 12 ans et plus",Les deux sexes,59,71.2
2015,Colombie-Britannique,"Total, 12 ans et plus",Hommes,59,71.2
2015,Colombie-Britannique,"Total, 12 ans et plus",Femmes,59,71.2
2015,Colombie-Britannique,12 à 17 ans,Les deux sexes,59,84.8
2015,Colombie-Britannique,12 à 17 ans,Hommes,59,83.2
2015,Colombie-Britannique,12 à 17 ans,Femmes,59,86.3
2015,Colombie-Britannique,18 à 34 ans,Les deux sexes,59,63.8
2015,Colombie-Britannique,18 à 34 ans,Hommes,59,61.4
2015,Colombie-Britannique,18 à 34 ans,Femmes,59,66.3
2015,Colombie-Britannique,35 à 49 ans,Les deux sexes,59,73.6
2015,Colombie-Britannique,35 à 49 ans,Hommes,59,74.6
2015,Colombie-Britannique,35 à 49 ans,Femmes,59,72.8
2015,Colombie-Britannique,50 à 64 ans,Les deux sexes,59,68.6
2015,Colombie-Britannique,50 à 64 ans,Hommes,59,72.3
2015,Colombie-Britannique,50 à 64 ans,Femmes,59,65.0
2015,Colombie-Britannique,65 ans et plus,Les deux sexes,59,77.8
2015,Colombie-Britannique,65 ans et plus,Hommes,59,76.3
2015,Colombie-Britannique,65 ans et plus,Femmes,59,79.1
2016,Canada,"Total, 12 ans et plus",Hommes,,67.9
2016,Canada,"Total, 12 ans et plus",Femmes,,69.6
2016,Canada,12 à 17 ans,Les deux sexes,,85.4
2016,Canada,12 à 17 ans,Hommes,,86.3
2016,Canada,12 à 17 ans,Femmes,,84.4
2016,Canada,18 à 34 ans,Les deux sexes,,61.5
2016,Canada,18 à 34 ans,Hommes,,58.5
2016,Canada,18 à 34 ans,Femmes,,64.6
2016,Canada,35 à 49 ans,Les deux sexes,,67.6
2016,Canada,35 à 49 ans,Hommes,,67.1
2016,Canada,35 à 49 ans,Femmes,,68.0
2016,Canada,50 à 64 ans,Les deux sexes,,69.0
2016,Canada,50 à 64 ans,Hommes,,69.3
2016,Canada,50 à 64 ans,Femmes,,68.7
2016,Canada,65 ans et plus,Les deux sexes,,74.5
2016,Canada,65 ans et plus,Hommes,,74.5
2016,Canada,65 ans et plus,Femmes,,74.5
2016,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Les deux sexes,10,79.2
2016,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Hommes,10,79.6
2016,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Femmes,10,78.7
2016,Terre-Neuve-et-Labrador,12 à 17 ans,Les deux sexes,10,95.1
2016,Terre-Neuve-et-Labrador,12 à 17 ans,Hommes,10,93.5
2016,Terre-Neuve-et-Labrador,12 à 17 ans,Femmes,10,96.7
2016,Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,10,71.6
2016,Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,10,78.3
2016,Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,10,64.9
2016,Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,10,76.8
2016,Terre-Neuve-et-Labrador,35 à 49 ans,Hommes,10,72.4
2016,Terre-Neuve-et-Labrador,35 à 49 ans,Femmes,10,80.9
2016,Terre-Neuve-et-Labrador,50 à 64 ans,Les deux sexes,10,77.4
2016,Terre-Neuve-et-Labrador,50 à 64 ans,Hommes,10,77.6
2016,Terre-Neuve-et-Labrador,50 à 64 ans,Femmes,10,77.2
2016,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,10,87.8
2016,Terre-Neuve-et-Labrador,65 ans et plus,Hommes,10,88.2
2016,Terre-Neuve-et-Labrador,65 ans et plus,Femmes,10,87.5
2016,Île-du-Prince-Édouard,"Total, 12 ans et plus",Les deux sexes,11,73.6
2016,Île-du-Prince-Édouard,"Total, 12 ans et plus",Hommes,11,72.1
2016,Île-du-Prince-Édouard,"Total, 12 ans et plus",Femmes,11,75.0
2016,Île-du-Prince-Édouard,12 à 17 ans,Les deux sexes,11,87.4
2016,Île-du-Prince-Édouard,12 à 17 ans,Hommes,11,83.7
2016,Île-du-Prince-Édouard,12 à 17 ans,Femmes,11,91.0
2016,Île-du-Prince-Édouard,18 à 34 ans,Les deux sexes,11,58.1
2016,Île-du-Prince-Édouard,18 à 34 ans,Hommes,11,54.4
2016,Île-du-Prince-Édouard,18 à 34 ans,Femmes,11,61.7
2016,Île-du-Prince-Édouard,35 à 49 ans,Les deux sexes,11,73.3
2016,Île-du-Prince-Édouard,35 à 49 ans,Hommes,11,70.7
2016,Île-du-Prince-Édouard,35 à 49 ans,Femmes,11,75.7
2016,Île-du-Prince-Édouard,50 à 64 ans,Les deux sexes,11,73.5
2016,Île-du-Prince-Édouard,50 à 64 ans,Hommes,11,75.2
2016,Île-du-Prince-Édouard,50 à 64 ans,Femmes,11,71.8
2016,Île-du-Prince-Édouard,65 ans et plus,Les deux sexes,11,87.1
2016,Île-du-Prince-Édouard,65 ans et plus,Hommes,11,87.0
2016,Île-du-Prince-Édouard,65 ans et plus,Femmes,11,87.2
2016,Nouvelle-Écosse,"Total, 12 ans et plus",Les deux sexes,12,73.4
2016,Nouvelle-Écosse,"Total, 12 ans et plus",Hommes,12,71.9
2016,Nouvelle-Écosse,"Total, 12 ans et plus",Femmes,12,74.7
2016,Nouvelle-Écosse,12 à 17 ans,Les deux sexes,12,82.9
2016,Nouvelle-Écosse,12 à 17 ans,Hommes,12,82.3
2016,Nouvelle-Écosse,12 à 17 ans,Femmes,12,83.5
2016,Nouvelle-Écosse,18 à 34 ans,Les deux sexes,12,67.5
2016,Nouvelle-Écosse,18 à 34 ans,Hommes,12,63.3
2016,Nouvelle-Écosse,18 à 34 ans,Femmes,12,71.8
2016,Nouvelle-Écosse,35 à 49 ans,Les deux sexes,12,69.1
2016,Nouvelle-Écosse,35 à 49 ans,Hommes,12,65.7
2016,Nouvelle-Écosse,35 à 49 ans,Femmes,12,72.1
2016,Nouvelle-Écosse,50 à 64 ans,Les deux sexes,12,76.0
2016,Nouvelle-Écosse,50 à 64 ans,Hommes,12,76.0
2016,Nouvelle-Écosse,50 à 64 ans,Femmes,12,76.0
2016,Nouvelle-Écosse,65 ans et plus,Les deux sexes,12,78.4
2016,Nouvelle-Écosse,65 ans et plus,Hommes,12,80.9
2016,Nouvelle-Écosse,65 ans et plus,Femmes,12,76.4
2016,Nouveau-Brunswick,"Total, 12 ans et plus",Les deux sexes,13,71.4
2016,Nouveau-Brunswick,"Total, 12 ans et plus",Hommes,13,72.4
2016,Nouveau-Brunswick,"Total, 12 ans et plus",Femmes,13,70.6
2016,Nouveau-Brunswick,12 à 17 ans,Les deux sexes,13,87.4
2016,Nouveau-Brunswick,12 à 17 ans,Hommes,13,89.4
2016,Nouveau-Brunswick,12 à 17 ans,Femmes,13,85.4
2016,Nouveau-Brunswick,18 à 34 ans,Les deux sexes,13,64.0
2016,Nouveau-Brunswick,18 à 34 ans,Hommes,13,65.8
2016,Nouveau-Brunswick,18 à 34 ans,Femmes,13,62.3
2016,Nouveau-Brunswick,35 à 49 ans,Les deux sexes,13,72.7
2016,Nouveau-Brunswick,35 à 49 ans,Hommes,13,68.7
2016,Nouveau-Brunswick,35 à 49 ans,Femmes,13,76.4
2016,Nouveau-Brunswick,50 à 64 ans,Les deux sexes,13,68.0
2016,Nouveau-Brunswick,50 à 64 ans,Hommes,13,69.9
2016,Nouveau-Brunswick,50 à 64 ans,Femmes,13,66.3
2016,Nouveau-Brunswick,65 ans et plus,Les deux sexes,13,77.2
2016,Nouveau-Brunswick,65 ans et plus,Hommes,13,82.1
2016,Nouveau-Brunswick,65 ans et plus,Femmes,13,73.6
2016,Québec,"Total, 12 ans et plus",Les deux sexes,24,59.9
2016,Québec,"Total, 12 ans et plus",Hommes,24,59.6
2016,Québec,"Total, 12 ans et plus",Femmes,24,60.1
2016,Québec,12 à 17 ans,Les deux sexes,24,81.6
2016,Québec,12 à 17 ans,Hommes,24,85.9
2016,Québec,12 à 17 ans,Femmes,24,77.1
2016,Québec,18 à 34 ans,Les deux sexes,24,52.7
2016,Québec,18 à 34 ans,Hommes,24,51.3
2016,Québec,18 à 34 ans,Femmes,24,54.0
2016,Québec,35 à 49 ans,Les deux sexes,24,57.9
2016,Québec,35 à 49 ans,Hommes,24,56.2
2016,Québec,35 à 49 ans,Femmes,24,59.6
2016,Québec,50 à 64 ans,Les deux sexes,24,59.0
2016,Québec,50 à 64 ans,Hommes,24,59.7
2016,Québec,50 à 64 ans,Femmes,24,58.2
2016,Québec,65 ans et plus,Les deux sexes,24,65.6
2016,Québec,65 ans et plus,Hommes,24,66.1
2016,Québec,65 ans et plus,Femmes,24,65.1
2016,Ontario,"Total, 12 ans et plus",Les deux sexes,35,71.4
2016,Ontario,"Total, 12 ans et plus",Hommes,35,70.4
2016,Ontario,"Total, 12 ans et plus",Femmes,35,72.3
2016,Ontario,12 à 17 ans,Les deux sexes,35,86.5
2016,Ontario,12 à 17 ans,Hommes,35,86.6
2016,Ontario,12 à 17 ans,Femmes,35,86.3
2016,Ontario,18 à 34 ans,Les deux sexes,35,63.6
2016,Ontario,18 à 34 ans,Hommes,35,58.5
2016,Ontario,18 à 34 ans,Femmes,35,68.7
2016,Ontario,35 à 49 ans,Les deux sexes,35,69.1
2016,Ontario,35 à 49 ans,Hommes,35,70.0
2016,Ontario,35 à 49 ans,Femmes,35,68.4
2016,Ontario,50 à 64 ans,Les deux sexes,35,73.2
2016,Ontario,50 à 64 ans,Hommes,35,74.1
2016,Ontario,50 à 64 ans,Femmes,35,72.3
2016,Ontario,65 ans et plus,Les deux sexes,35,77.6
2016,Ontario,65 ans et plus,Hommes,35,77.7
2016,Ontario,65 ans et plus,Femmes,35,77.5
2016,Manitoba,"Total, 12 ans et plus",Les deux sexes,46,69.6
2016,Manitoba,"Total, 12 ans et plus",Hommes,46,69.7
2016,Manitoba,"Total, 12 ans et plus",Femmes,46,69.5
2016,Manitoba,12 à 17 ans,Les deux sexes,46,85.1
2016,Manitoba,12 à 17 ans,Hommes,46,88.1
2016,Manitoba,12 à 17 ans,Femmes,46,81.7
2016,Manitoba,18 à 34 ans,Les deux sexes,46,62.5
2016,Manitoba,18 à 34 ans,Hommes,46,64.1
2016,Manitoba,18 à 34 ans,Femmes,46,60.8
2016,Manitoba,35 à 49 ans,Les deux sexes,46,67.9
2016,Manitoba,35 à 49 ans,Hommes,46,65.3
2016,Manitoba,35 à 49 ans,Femmes,46,70.4
2016,Manitoba,50 à 64 ans,Les deux sexes,46,69.8
2016,Manitoba,50 à 64 ans,Hommes,46,68.8
2016,Manitoba,50 à 64 ans,Femmes,46,70.7
2016,Manitoba,65 ans et plus,Les deux sexes,46,76.3
2016,Manitoba,65 ans et plus,Hommes,46,78.1
2016,Manitoba,65 ans et plus,Femmes,46,74.9
2016,Saskatchewan,"Total, 12 ans et plus",Les deux sexes,47,74.0
2016,Saskatchewan,"Total, 12 ans et plus",Hommes,47,75.3
2016,Saskatchewan,"Total, 12 ans et plus",Femmes,47,72.7
2016,Saskatchewan,12 à 17 ans,Les deux sexes,47,86.8
2016,Saskatchewan,12 à 17 ans,Hommes,47,84.9
2016,Saskatchewan,12 à 17 ans,Femmes,47,88.8
2016,Saskatchewan,18 à 34 ans,Les deux sexes,47,66.6
2016,Saskatchewan,18 à 34 ans,Hommes,47,66.4
2016,Saskatchewan,18 à 34 ans,Femmes,47,66.8
2016,Saskatchewan,35 à 49 ans,Les deux sexes,47,70.5
2016,Saskatchewan,35 à 49 ans,Hommes,47,73.5
2016,Saskatchewan,35 à 49 ans,Femmes,47,67.4
2016,Saskatchewan,50 à 64 ans,Les deux sexes,47,77.5
2016,Saskatchewan,50 à 64 ans,Hommes,47,77.7
2016,Saskatchewan,50 à 64 ans,Femmes,47,77.3
2016,Saskatchewan,65 ans et plus,Les deux sexes,47,80.6
2016,Saskatchewan,65 ans et plus,Hommes,47,86.4
2016,Saskatchewan,65 ans et plus,Femmes,47,75.6
2016,Alberta,"Total, 12 ans et plus",Les deux sexes,48,69.8
2016,Alberta,"Total, 12 ans et plus",Hommes,48,69.6
2016,Alberta,"Total, 12 ans et plus",Femmes,48,70.0
2016,Alberta,12 à 17 ans,Les deux sexes,48,86.8
2016,Alberta,12 à 17 ans,Hommes,48,85.4
2016,Alberta,12 à 17 ans,Femmes,48,88.1
2016,Alberta,18 à 34 ans,Les deux sexes,48,63.2
2016,Alberta,18 à 34 ans,Hommes,48,59.8
2016,Alberta,18 à 34 ans,Femmes,48,66.7
2016,Alberta,35 à 49 ans,Les deux sexes,48,70.9
2016,Alberta,35 à 49 ans,Hommes,48,73.3
2016,Alberta,35 à 49 ans,Femmes,48,68.4
2016,Alberta,50 à 64 ans,Les deux sexes,48,67.9
2016,Alberta,50 à 64 ans,Hommes,48,70.3
2016,Alberta,50 à 64 ans,Femmes,48,65.4
2016,Alberta,65 ans et plus,Les deux sexes,48,77.1
2016,Alberta,65 ans et plus,Hommes,48,76.1
2016,Alberta,65 ans et plus,Femmes,48,77.9
2016,Colombie-Britannique,"Total, 12 ans et plus",Les deux sexes,59,72.1
2016,Colombie-Britannique,"Total, 12 ans et plus",Hommes,59,69.3
2016,Colombie-Britannique,"Total, 12 ans et plus",Femmes,59,74.8
2016,Colombie-Britannique,12 à 17 ans,Les deux sexes,59,85.7
2016,Colombie-Britannique,12 à 17 ans,Hommes,59,86.2
2016,Colombie-Britannique,12 à 17 ans,Femmes,59,85.3
2016,Colombie-Britannique,18 à 34 ans,Les deux sexes,59,64.7
2016,Colombie-Britannique,18 à 34 ans,Hommes,59,62.2
2016,Colombie-Britannique,18 à 34 ans,Femmes,59,67.3
2016,Colombie-Britannique,35 à 49 ans,Les deux sexes,59,73.9
2016,Colombie-Britannique,35 à 49 ans,Hommes,59,71.1
2016,Colombie-Britannique,35 à 49 ans,Femmes,59,76.7
2016,Colombie-Britannique,50 à 64 ans,Les deux sexes,59,71.3
2016,Colombie-Britannique,50 à 64 ans,Hommes,59,68.0
2016,Colombie-Britannique,50 à 64 ans,Femmes,59,74.4
2016,Colombie-Britannique,65 ans et plus,Les deux sexes,59,76.2
2016,Colombie-Britannique,65 ans et plus,Hommes,59,72.9
2016,Colombie-Britannique,65 ans et plus,Femmes,59,79.1
2017,Canada,"Total, 12 ans et plus",Hommes,,68.8
2017,Canada,"Total, 12 ans et plus",Femmes,,69.9
2017,Canada,12 à 17 ans,Les deux sexes,,85.1
2017,Canada,12 à 17 ans,Hommes,,84.2
2017,Canada,12 à 17 ans,Femmes,,86.0
2017,Canada,18 à 34 ans,Les deux sexes,,62.8
2017,Canada,18 à 34 ans,Hommes,,61.4
2017,Canada,18 à 34 ans,Femmes,,64.3
2017,Canada,35 à 49 ans,Les deux sexes,,68.3
2017,Canada,35 à 49 ans,Hommes,,67.5
2017,Canada,35 à 49 ans,Femmes,,69.0
2017,Canada,50 à 64 ans,Les deux sexes,,67.9
2017,Canada,50 à 64 ans,Hommes,,68.6
2017,Canada,50 à 64 ans,Femmes,,67.3
2017,Canada,65 ans et plus,Les deux sexes,,76.3
2017,Canada,65 ans et plus,Hommes,,76.6
2017,Canada,65 ans et plus,Femmes,,76.1
2017,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Les deux sexes,10,77.3
2017,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Hommes,10,76.9
2017,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Femmes,10,77.6
2017,Terre-Neuve-et-Labrador,12 à 17 ans,Les deux sexes,10,90.9
2017,Terre-Neuve-et-Labrador,12 à 17 ans,Hommes,10,89.3
2017,Terre-Neuve-et-Labrador,12 à 17 ans,Femmes,10,92.5
2017,Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,10,65.9
