Year,Geography,Type of intimate partner violence,Age group,Indigenous group,Visible minority,Immigrant status,Disability,Highest degree earned,Household income,Location of residence,Marital status,GeoCode,Value
2018,Atlantic provinces,"Total, any type of intimate partner violence",Age 55 to 64,,,,,,,,,,6.43
2018,Atlantic provinces,"Total, any type of intimate partner violence",Age 65 to 74,,,,,,,,,,4.65
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation","Total, all persons",,,,,,,,,,10.45
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",Age 15 to 24,,,,,,,,,,20.74
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",Age 25 to 34,,,,,,,,,,15.4
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",Age 35 to 44,,,,,,,,,,12.76
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",Age 45 to 54,,,,,,,,,,9.69
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",Age 55 to 64,,,,,,,,,,6.08
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",Age 65 to 74,,,,,,,,,,4.65
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence","Total, all persons",,,,,,,,,,3.28
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",Age 15 to 24,,,,,,,,,,7.76
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",Age 25 to 34,,,,,,,,,,6.74
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",Age 35 to 44,,,,,,,,,,3.61
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",Age 45 to 54,,,,,,,,,,2.33
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",Age 55 to 64,,,,,,,,,,1.31
2018,Atlantic provinces,Physical violence,"Total, all persons",,,,,,,,,,2.63
2018,Atlantic provinces,Physical violence,Age 15 to 24,,,,,,,,,,6.11
2018,Atlantic provinces,Physical violence,Age 25 to 34,,,,,,,,,,5.03
2018,Atlantic provinces,Physical violence,Age 35 to 44,,,,,,,,,,2.7
2018,Atlantic provinces,Physical violence,Age 45 to 54,,,,,,,,,,2.11
2018,Atlantic provinces,Physical violence,Age 55 to 64,,,,,,,,,,1.31
2018,Atlantic provinces,Sexual violence,"Total, all persons",,,,,,,,,,1.13
2018,Quebec,"Total, any type of intimate partner violence","Total, all persons",,,,,,,,,24,12.54
2018,Quebec,"Total, any type of intimate partner violence",Age 15 to 24,,,,,,,,,24,33.05
2018,Quebec,"Total, any type of intimate partner violence",Age 25 to 34,,,,,,,,,24,15.89
2018,Quebec,"Total, any type of intimate partner violence",Age 35 to 44,,,,,,,,,24,14.1
2018,Quebec,"Total, any type of intimate partner violence",Age 45 to 54,,,,,,,,,24,9.15
2018,Quebec,"Total, any type of intimate partner violence",Age 55 to 64,,,,,,,,,24,7.94
2018,Quebec,"Total, any type of intimate partner violence",Age 65 to 74,,,,,,,,,24,5.44
2018,Quebec,"Emotional, psychological violence or financial exploitation","Total, all persons",,,,,,,,,24,12.26
2018,Quebec,"Emotional, psychological violence or financial exploitation",Age 15 to 24,,,,,,,,,24,30.79
2018,Quebec,"Emotional, psychological violence or financial exploitation",Age 25 to 34,,,,,,,,,24,15.83
2018,Quebec,"Emotional, psychological violence or financial exploitation",Age 35 to 44,,,,,,,,,24,13.91
2018,Quebec,"Emotional, psychological violence or financial exploitation",Age 45 to 54,,,,,,,,,24,9.05
2018,Quebec,"Emotional, psychological violence or financial exploitation",Age 55 to 64,,,,,,,,,24,7.94
2018,Quebec,"Emotional, psychological violence or financial exploitation",Age 65 to 74,,,,,,,,,24,5.44
2018,Quebec,"Total, physical or sexual intimate partner violence","Total, all persons",,,,,,,,,24,2.42
2018,Quebec,"Total, physical or sexual intimate partner violence",Age 25 to 34,,,,,,,,,24,2.68
2018,Quebec,"Total, physical or sexual intimate partner violence",Age 35 to 44,,,,,,,,,24,3.37
2018,Quebec,"Total, physical or sexual intimate partner violence",Age 45 to 54,,,,,,,,,24,1.44
2018,Quebec,Physical violence,"Total, all persons",,,,,,,,,24,1.63
2018,Quebec,Physical violence,Age 25 to 34,,,,,,,,,24,2.43
2018,Quebec,Physical violence,Age 35 to 44,,,,,,,,,24,2.61
2018,Quebec,Sexual violence,"Total, all persons",,,,,,,,,24,1.09
2018,Ontario,"Total, any type of intimate partner violence","Total, all persons",,,,,,,,,35,11.47
2018,Ontario,"Total, any type of intimate partner violence",Age 15 to 24,,,,,,,,,35,29.69
2018,Ontario,"Total, any type of intimate partner violence",Age 25 to 34,,,,,,,,,35,10.65
2018,Ontario,"Total, any type of intimate partner violence",Age 35 to 44,,,,,,,,,35,11.95
2018,Ontario,"Total, any type of intimate partner violence",Age 45 to 54,,,,,,,,,35,10.81
2018,Ontario,"Total, any type of intimate partner violence",Age 55 to 64,,,,,,,,,35,8.93
2018,Ontario,"Total, any type of intimate partner violence",Age 65 to 74,,,,,,,,,35,5.02
2018,Ontario,"Emotional, psychological violence or financial exploitation","Total, all persons",,,,,,,,,35,11.27
2018,Ontario,"Emotional, psychological violence or financial exploitation",Age 15 to 24,,,,,,,,,35,27.67
2018,Ontario,"Emotional, psychological violence or financial exploitation",Age 25 to 34,,,,,,,,,35,10.65
2018,Ontario,"Emotional, psychological violence or financial exploitation",Age 35 to 44,,,,,,,,,35,11.95
2018,Ontario,"Emotional, psychological violence or financial exploitation",Age 45 to 54,,,,,,,,,35,10.79
2018,Ontario,"Emotional, psychological violence or financial exploitation",Age 55 to 64,,,,,,,,,35,8.93
2018,Ontario,"Emotional, psychological violence or financial exploitation",Age 65 to 74,,,,,,,,,35,4.86
2018,Ontario,"Total, physical or sexual intimate partner violence","Total, all persons",,,,,,,,,35,3.17
2018,Ontario,"Total, physical or sexual intimate partner violence",Age 15 to 24,,,,,,,,,35,11.03
2018,Ontario,"Total, physical or sexual intimate partner violence",Age 25 to 34,,,,,,,,,35,2.62
2018,Ontario,"Total, physical or sexual intimate partner violence",Age 35 to 44,,,,,,,,,35,3.47
2018,Ontario,"Total, physical or sexual intimate partner violence",Age 45 to 54,,,,,,,,,35,2.78
2018,Ontario,"Total, physical or sexual intimate partner violence",Age 55 to 64,,,,,,,,,35,1.55
2018,Ontario,Physical violence,"Total, all persons",,,,,,,,,35,2.5
2018,Ontario,Physical violence,Age 25 to 34,,,,,,,,,35,1.76
2018,Ontario,Physical violence,Age 35 to 44,,,,,,,,,35,2.95
2018,Ontario,Physical violence,Age 45 to 54,,,,,,,,,35,2.73
2018,Ontario,Sexual violence,"Total, all persons",,,,,,,,,35,1.17
2018,Ontario,Sexual violence,Age 25 to 34,,,,,,,,,35,1.61
2018,Ontario,Sexual violence,Age 35 to 44,,,,,,,,,35,1.37
2018,Prairie provinces,"Total, any type of intimate partner violence","Total, all persons",,,,,,,,,,13.4
2018,Prairie provinces,"Total, any type of intimate partner violence",Age 15 to 24,,,,,,,,,,27.05
2018,Prairie provinces,"Total, any type of intimate partner violence",Age 25 to 34,,,,,,,,,,17.05
2018,Prairie provinces,"Total, any type of intimate partner violence",Age 35 to 44,,,,,,,,,,14.01
2018,Prairie provinces,"Total, any type of intimate partner violence",Age 45 to 54,,,,,,,,,,10.17
2018,Prairie provinces,"Total, any type of intimate partner violence",Age 55 to 64,,,,,,,,,,8.93
2018,Prairie provinces,"Total, any type of intimate partner violence",Age 65 to 74,,,,,,,,,,4.85
2018,Prairie provinces,"Total, any type of intimate partner violence",Age 75 and older,,,,,,,,,,5.96
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation","Total, all persons",,,,,,,,,,13.19
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",Age 15 to 24,,,,,,,,,,26.59
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",Age 25 to 34,,,,,,,,,,16.92
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",Age 35 to 44,,,,,,,,,,13.63
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",Age 45 to 54,,,,,,,,,,10.13
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",Age 55 to 64,,,,,,,,,,8.66
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",Age 65 to 74,,,,,,,,,,4.71
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",Age 75 and older,,,,,,,,,,5.96
2018,Prairie provinces,"Total, physical or sexual intimate partner violence","Total, all persons",,,,,,,,,,3.57
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",Age 15 to 24,,,,,,,,,,12.64
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",Age 25 to 34,,,,,,,,,,3.57
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",Age 35 to 44,,,,,,,,,,3.78
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",Age 45 to 54,,,,,,,,,,2.11
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",Age 55 to 64,,,,,,,,,,1.34
2018,Prairie provinces,Physical violence,"Total, all persons",,,,,,,,,,2.79
2018,Prairie provinces,Physical violence,Age 15 to 24,,,,,,,,,,8.36
2018,Prairie provinces,Physical violence,Age 25 to 34,,,,,,,,,,3.16
2018,Prairie provinces,Physical violence,Age 35 to 44,,,,,,,,,,3.2
2018,Prairie provinces,Physical violence,Age 45 to 54,,,,,,,,,,1.6
2018,Prairie provinces,Physical violence,Age 55 to 64,,,,,,,,,,1.2
2018,Prairie provinces,Sexual violence,"Total, all persons",,,,,,,,,,1.42
2018,Prairie provinces,Sexual violence,Age 15 to 24,,,,,,,,,,6.75
2018,Prairie provinces,Sexual violence,Age 25 to 34,,,,,,,,,,1.48
2018,Prairie provinces,Sexual violence,Age 35 to 44,,,,,,,,,,0.91
2018,British Columbia,"Total, any type of intimate partner violence","Total, all persons",,,,,,,,,59,12.1
2018,British Columbia,"Total, any type of intimate partner violence",Age 15 to 24,,,,,,,,,59,28.31
2018,British Columbia,"Total, any type of intimate partner violence",Age 25 to 34,,,,,,,,,59,16.18
2018,British Columbia,"Total, any type of intimate partner violence",Age 35 to 44,,,,,,,,,59,11.76
2018,British Columbia,"Total, any type of intimate partner violence",Age 45 to 54,,,,,,,,,59,10.93
2018,British Columbia,"Total, any type of intimate partner violence",Age 55 to 64,,,,,,,,,59,8.55
2018,British Columbia,"Total, any type of intimate partner violence",Age 65 to 74,,,,,,,,,59,5.11
2018,British Columbia,"Emotional, psychological violence or financial exploitation","Total, all persons",,,,,,,,,59,12.07
2018,British Columbia,"Emotional, psychological violence or financial exploitation",Age 15 to 24,,,,,,,,,59,28.31
2018,British Columbia,"Emotional, psychological violence or financial exploitation",Age 25 to 34,,,,,,,,,59,16.18
2018,British Columbia,"Emotional, psychological violence or financial exploitation",Age 35 to 44,,,,,,,,,59,11.64
2018,British Columbia,"Emotional, psychological violence or financial exploitation",Age 45 to 54,,,,,,,,,59,10.93
2018,British Columbia,"Emotional, psychological violence or financial exploitation",Age 55 to 64,,,,,,,,,59,8.55
2018,British Columbia,"Emotional, psychological violence or financial exploitation",Age 65 to 74,,,,,,,,,59,5.11
2018,British Columbia,"Total, physical or sexual intimate partner violence","Total, all persons",,,,,,,,,59,3.23
2018,British Columbia,"Total, physical or sexual intimate partner violence",Age 25 to 34,,,,,,,,,59,2.75
2018,British Columbia,"Total, physical or sexual intimate partner violence",Age 35 to 44,,,,,,,,,59,4.34
2018,British Columbia,"Total, physical or sexual intimate partner violence",Age 45 to 54,,,,,,,,,59,2.72
2018,British Columbia,"Total, physical or sexual intimate partner violence",Age 55 to 64,,,,,,,,,59,2.84
2018,British Columbia,Physical violence,"Total, all persons",,,,,,,,,59,2.77
2018,British Columbia,Physical violence,Age 25 to 34,,,,,,,,,59,2.52
2018,British Columbia,Physical violence,Age 35 to 44,,,,,,,,,59,4.12
2018,British Columbia,Physical violence,Age 45 to 54,,,,,,,,,59,2.39
2018,British Columbia,Sexual violence,"Total, all persons",,,,,,,,,59,0.82
2018,Territories,"Total, any type of intimate partner violence","Total, all persons",,,,,,,,,,15.25
2018,Territories,"Total, any type of intimate partner violence",Age 15 to 24,,,,,,,,,,33.01
2018,Territories,"Total, any type of intimate partner violence",Age 25 to 34,,,,,,,,,,15.48
2018,Territories,"Total, any type of intimate partner violence",Age 35 to 44,,,,,,,,,,17.38
2018,Territories,"Total, any type of intimate partner violence",Age 45 to 54,,,,,,,,,,15.8
2018,Territories,"Emotional, psychological violence or financial exploitation","Total, all persons",,,,,,,,,,14.57
2018,Territories,"Emotional, psychological violence or financial exploitation",Age 15 to 24,,,,,,,,,,33.01
2018,Territories,"Emotional, psychological violence or financial exploitation",Age 25 to 34,,,,,,,,,,12.95
2018,Territories,"Emotional, psychological violence or financial exploitation",Age 35 to 44,,,,,,,,,,17.38
2018,Territories,"Emotional, psychological violence or financial exploitation",Age 45 to 54,,,,,,,,,,15.41
2018,Territories,"Total, physical or sexual intimate partner violence","Total, all persons",,,,,,,,,,7.65
2018,Territories,"Total, physical or sexual intimate partner violence",Age 15 to 24,,,,,,,,,,16.07
2018,Territories,"Total, physical or sexual intimate partner violence",Age 25 to 34,,,,,,,,,,9.98
2018,Territories,"Total, physical or sexual intimate partner violence",Age 35 to 44,,,,,,,,,,10.06
2018,Territories,"Total, physical or sexual intimate partner violence",Age 45 to 54,,,,,,,,,,4.77
2018,Territories,Physical violence,"Total, all persons",,,,,,,,,,6.41
2018,Territories,Physical violence,Age 15 to 24,,,,,,,,,,12.15
2018,Territories,Physical violence,Age 25 to 34,,,,,,,,,,8.89
2018,Territories,Physical violence,Age 35 to 44,,,,,,,,,,9.22
2018,Territories,Sexual violence,"Total, all persons",,,,,,,,,,2.79
2018,Territories,Sexual violence,Age 25 to 34,,,,,,,,,,3.38
2018,Canada,"Total, any type of intimate partner violence",,Indigenous person,,,,,,,,,16.81
2018,Canada,"Total, any type of intimate partner violence",,First Nations (North American Indian),,,,,,,,,15.72
2018,Canada,"Total, any type of intimate partner violence",,Métis,,,,,,,,,15.42
2018,Canada,"Total, any type of intimate partner violence",,Inuk (Inuit),,,,,,,,,12.01
2018,Canada,"Total, any type of intimate partner violence",,Non-Indigenous person,,,,,,,,,11.92
2018,Canada,"Emotional, psychological violence or financial exploitation",,Indigenous person,,,,,,,,,16.77
2018,Canada,"Emotional, psychological violence or financial exploitation",,First Nations (North American Indian),,,,,,,,,15.72
2018,Canada,"Emotional, psychological violence or financial exploitation",,Métis,,,,,,,,,15.42
2018,Canada,"Emotional, psychological violence or financial exploitation",,Inuk (Inuit),,,,,,,,,11.21
2018,Canada,"Emotional, psychological violence or financial exploitation",,Non-Indigenous person,,,,,,,,,11.71
2018,Canada,"Total, physical or sexual intimate partner violence",,Indigenous person,,,,,,,,,4.86
2018,Canada,"Total, physical or sexual intimate partner violence",,First Nations (North American Indian),,,,,,,,,8.33
2018,Canada,"Total, physical or sexual intimate partner violence",,Métis,,,,,,,,,1.33
2018,Canada,"Total, physical or sexual intimate partner violence",,Inuk (Inuit),,,,,,,,,5.9
2018,Canada,"Total, physical or sexual intimate partner violence",,Non-Indigenous person,,,,,,,,,3.04
2018,Canada,Physical violence,,Indigenous person,,,,,,,,,3.58
2018,Canada,Physical violence,,First Nations (North American Indian),,,,,,,,,5.93
2018,Canada,Physical violence,,Inuk (Inuit),,,,,,,,,5.9
2018,Canada,Physical violence,,Non-Indigenous person,,,,,,,,,2.37
2018,Canada,Sexual violence,,Indigenous person,,,,,,,,,2.36
2018,Canada,Sexual violence,,First Nations (North American Indian),,,,,,,,,4.35
2018,Canada,Sexual violence,,Inuk (Inuit),,,,,,,,,1.65
2018,Canada,Sexual violence,,Non-Indigenous person,,,,,,,,,1.12
2018,Atlantic provinces,"Total, any type of intimate partner violence",,Indigenous person,,,,,,,,,15.71
2018,Atlantic provinces,"Total, any type of intimate partner violence",,First Nations (North American Indian),,,,,,,,,16.35
2018,Atlantic provinces,"Total, any type of intimate partner violence",,Non-Indigenous person,,,,,,,,,10.46
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",,Indigenous person,,,,,,,,,15.71
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",,First Nations (North American Indian),,,,,,,,,16.35
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",,Non-Indigenous person,,,,,,,,,10.24
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",,Non-Indigenous person,,,,,,,,,3.13
2018,Atlantic provinces,Physical violence,,Non-Indigenous person,,,,,,,,,2.65
2018,Atlantic provinces,Sexual violence,,Non-Indigenous person,,,,,,,,,0.95
2018,Quebec,"Total, any type of intimate partner violence",,Non-Indigenous person,,,,,,,,24,12.54
2018,Quebec,"Emotional, psychological violence or financial exploitation",,Non-Indigenous person,,,,,,,,24,12.26
2018,Quebec,"Total, physical or sexual intimate partner violence",,Non-Indigenous person,,,,,,,,24,2.41
2018,Quebec,Physical violence,,Non-Indigenous person,,,,,,,,24,1.6
2018,Quebec,Sexual violence,,Non-Indigenous person,,,,,,,,24,1.12
2018,Ontario,"Total, any type of intimate partner violence",,Non-Indigenous person,,,,,,,,35,11.41
2018,Ontario,"Emotional, psychological violence or financial exploitation",,Non-Indigenous person,,,,,,,,35,11.2
2018,Ontario,"Total, physical or sexual intimate partner violence",,Non-Indigenous person,,,,,,,,35,3.16
2018,Ontario,Physical violence,,Non-Indigenous person,,,,,,,,35,2.54
2018,Ontario,Sexual violence,,Non-Indigenous person,,,,,,,,35,1.14
2018,Prairie provinces,"Total, any type of intimate partner violence",,Indigenous person,,,,,,,,,17.12
2018,Prairie provinces,"Total, any type of intimate partner violence",,First Nations (North American Indian),,,,,,,,,14.42
2018,Prairie provinces,"Total, any type of intimate partner violence",,Métis,,,,,,,,,19.69
2018,Prairie provinces,"Total, any type of intimate partner violence",,Non-Indigenous person,,,,,,,,,13.08
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,Indigenous person,,,,,,,,,17.12
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,First Nations (North American Indian),,,,,,,,,14.42
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,Métis,,,,,,,,,19.69
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,Non-Indigenous person,,,,,,,,,12.86
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",,Indigenous person,,,,,,,,,5.53
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",,Non-Indigenous person,,,,,,,,,3.45
2018,Prairie provinces,Physical violence,,Indigenous person,,,,,,,,,5.42
2018,Prairie provinces,Physical violence,,Non-Indigenous person,,,,,,,,,2.62
2018,Prairie provinces,Sexual violence,,Non-Indigenous person,,,,,,,,,1.41
2018,British Columbia,"Total, any type of intimate partner violence",,Indigenous person,,,,,,,,59,21.69
2018,British Columbia,"Total, any type of intimate partner violence",,Non-Indigenous person,,,,,,,,59,11.62
2018,British Columbia,"Emotional, psychological violence or financial exploitation",,Indigenous person,,,,,,,,59,21.69
2018,British Columbia,"Emotional, psychological violence or financial exploitation",,Non-Indigenous person,,,,,,,,59,11.59
2018,British Columbia,"Total, physical or sexual intimate partner violence",,Non-Indigenous person,,,,,,,,59,3.17
2018,British Columbia,Physical violence,,Non-Indigenous person,,,,,,,,59,2.71
2018,British Columbia,Sexual violence,,Non-Indigenous person,,,,,,,,59,0.73
2018,Territories,"Total, any type of intimate partner violence",,Indigenous person,,,,,,,,,21.63
2018,Territories,"Total, any type of intimate partner violence",,First Nations (North American Indian),,,,,,,,,23.45
2018,Territories,"Total, any type of intimate partner violence",,Inuk (Inuit),,,,,,,,,19.32
2018,Territories,"Total, any type of intimate partner violence",,Non-Indigenous person,,,,,,,,,9.71
2018,Territories,"Emotional, psychological violence or financial exploitation",,Indigenous person,,,,,,,,,20.75
2018,Territories,"Emotional, psychological violence or financial exploitation",,First Nations (North American Indian),,,,,,,,,23.45
2018,Territories,"Emotional, psychological violence or financial exploitation",,Inuk (Inuit),,,,,,,,,17.79
2018,Territories,"Emotional, psychological violence or financial exploitation",,Non-Indigenous person,,,,,,,,,9.21
2018,Territories,"Total, physical or sexual intimate partner violence",,Indigenous person,,,,,,,,,11.87
2018,Territories,"Total, physical or sexual intimate partner violence",,First Nations (North American Indian),,,,,,,,,15.76
2018,Territories,"Total, physical or sexual intimate partner violence",,Inuk (Inuit),,,,,,,,,11.32
2018,Territories,"Total, physical or sexual intimate partner violence",,Non-Indigenous person,,,,,,,,,3.98
2018,Territories,Physical violence,,Indigenous person,,,,,,,,,10.49
2018,Territories,Physical violence,,First Nations (North American Indian),,,,,,,,,11.83
2018,Territories,Physical violence,,Inuk (Inuit),,,,,,,,,11.32
2018,Territories,Physical violence,,Non-Indigenous person,,,,,,,,,2.85
2018,Territories,Sexual violence,,Indigenous person,,,,,,,,,3.76
2018,Territories,Sexual violence,,Inuk (Inuit),,,,,,,,,3.16
2018,Territories,Sexual violence,,Non-Indigenous person,,,,,,,,,1.94
2018,Canada,"Total, any type of intimate partner violence",,,Visible minority population,,,,,,,,9.2
2018,Canada,"Total, any type of intimate partner violence",,,Arab,,,,,,,,12.66
2018,Canada,"Total, any type of intimate partner violence",,,Black,,,,,,,,9.02
2018,Canada,"Total, any type of intimate partner violence",,,Chinese,,,,,,,,8.19
2018,Canada,"Total, any type of intimate partner violence",,,Filipino,,,,,,,,3.58
2018,Canada,"Total, any type of intimate partner violence",,,Latin American,,,,,,,,8.75
2018,Canada,"Total, any type of intimate partner violence",,,South Asian,,,,,,,,8.86
2018,Canada,"Total, any type of intimate partner violence",,,Group not indicated elsewhere,,,,,,,,15.5
2018,Canada,"Emotional, psychological violence or financial exploitation",,,Visible minority population,,,,,,,,9.06
2018,Canada,"Emotional, psychological violence or financial exploitation",,,Arab,,,,,,,,12.66
2018,Canada,"Emotional, psychological violence or financial exploitation",,,Black,,,,,,,,8.62
2018,Canada,"Emotional, psychological violence or financial exploitation",,,Chinese,,,,,,,,8.03
2018,Canada,"Emotional, psychological violence or financial exploitation",,,Filipino,,,,,,,,3.58
2018,Canada,"Emotional, psychological violence or financial exploitation",,,Latin American,,,,,,,,8.75
2018,Canada,"Emotional, psychological violence or financial exploitation",,,South Asian,,,,,,,,8.86
2018,Canada,"Emotional, psychological violence or financial exploitation",,,Group not indicated elsewhere,,,,,,,,14.94
2018,Canada,"Total, physical or sexual intimate partner violence",,,Visible minority population,,,,,,,,3.11
2018,Canada,"Total, physical or sexual intimate partner violence",,,Chinese,,,,,,,,3.67
2018,Canada,"Total, physical or sexual intimate partner violence",,,South Asian,,,,,,,,2.55
2018,Canada,Physical violence,,,Visible minority population,,,,,,,,2.45
2018,Canada,Physical violence,,,Chinese,,,,,,,,2.67
2018,Canada,Sexual violence,,,Visible minority population,,,,,,,,1.3
2018,Canada,Sexual violence,,,Chinese,,,,,,,,2.42
2018,Quebec,"Total, any type of intimate partner violence",,,Visible minority population,,,,,,,24,13.59
2018,Quebec,"Emotional, psychological violence or financial exploitation",,,Visible minority population,,,,,,,24,13.59
2018,Ontario,"Total, any type of intimate partner violence",,,Visible minority population,,,,,,,35,7.54
2018,Ontario,"Total, any type of intimate partner violence",,,Chinese,,,,,,,35,8.39
2018,Ontario,"Emotional, psychological violence or financial exploitation",,,Visible minority population,,,,,,,35,7.45
2018,Ontario,"Emotional, psychological violence or financial exploitation",,,Chinese,,,,,,,35,8.39
2018,Ontario,"Total, physical or sexual intimate partner violence",,,Visible minority population,,,,,,,35,3.38
2018,Ontario,Physical violence,,,Visible minority population,,,,,,,35,3.01
2018,Prairie provinces,"Total, any type of intimate partner violence",,,Visible minority population,,,,,,,,12.58
2018,Prairie provinces,"Total, any type of intimate partner violence",,,Chinese,,,,,,,,7.15
2018,Prairie provinces,"Total, any type of intimate partner violence",,,South Asian,,,,,,,,18.91
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,,Visible minority population,,,,,,,,12.11
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,,South Asian,,,,,,,,18.91
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",,,Visible minority population,,,,,,,,5.66
2018,Prairie provinces,Physical violence,,,Visible minority population,,,,,,,,3.21
2018,Prairie provinces,Sexual violence,,,Visible minority population,,,,,,,,2.94
2018,British Columbia,"Total, any type of intimate partner violence",,,Visible minority population,,,,,,,59,7.95
