Year,Geography,Age group,Sex,Indigenous group,Educational attainment,Visible minority,Immigrant status,GeoCode,Value
2020,Northwest Territories,,,,,,,61,64.3
2020,Nunavut,,,,,,,62,49.7
2021,Newfoundland and Labrador,,,,,,,10,50.0
2021,Prince Edward Island,,,,,,,11,59.5
2021,Nova Scotia,,,,,,,12,57.0
2021,New Brunswick,,,,,,,13,55.9
2021,Quebec,,,,,,,24,60.2
2021,Ontario,,,,,,,35,59.9
2021,Manitoba,,,,,,,46,62.4
2021,Saskatchewan,,,,,,,47,63.1
2021,Alberta,,,,,,,48,63.8
2021,British Columbia,,,,,,,59,61.2
2021,Yukon,,,,,,,60,68.9
2021,Northwest Territories,,,,,,,61,69.1
2021,Nunavut,,,,,,,62,55.9
2022,Newfoundland and Labrador,,,,,,,10,51.9
2022,Prince Edward Island,,,,,,,11,60.5
2022,Nova Scotia,,,,,,,12,57.7
2022,New Brunswick,,,,,,,13,56.2
2022,Quebec,,,,,,,24,61.5
2022,Ontario,,,,,,,35,61.8
2022,Manitoba,,,,,,,46,63.7
2022,Saskatchewan,,,,,,,47,64.6
2022,Alberta,,,,,,,48,65.7
2022,British Columbia,,,,,,,59,62.1
2022,Yukon,,,,,,,60,70.1
2022,Northwest Territories,,,,,,,61,72.2
2022,Nunavut,,,,,,,62,55.1
2023,Newfoundland and Labrador,,,,,,,10,52.0
2023,Prince Edward Island,,,,,,,11,61.5
2023,Nova Scotia,,,,,,,12,57.6
2023,New Brunswick,,,,,,,13,56.6
2023,Quebec,,,,,,,24,62.1
2023,Ontario,,,,,,,35,61.8
2023,Manitoba,,,,,,,46,63.8
2023,Saskatchewan,,,,,,,47,64.1
2023,Alberta,,,,,,,48,65.5
2023,British Columbia,,,,,,,59,61.8
2023,Yukon,,,,,,,60,70.6
2023,Northwest Territories,,,,,,,61,69.9
2023,Nunavut,,,,,,,62,53.9
2015,"Avalon Peninsula, Newfoundland and Labrador",,,,,,,,60.1
2015,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",,,,,,,,45.5
2015,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",,,,,,,,48.4
2015,"Cape Breton, Nova Scotia",,,,,,,,46.4
2015,"North Shore, Nova Scotia",,,,,,,,55.2
2015,"Annapolis Valley, Nova Scotia",,,,,,,,52.9
2015,"Southern, Nova Scotia",,,,,,,,50.5
2015,"Halifax, Nova Scotia",,,,,,,,64.7
2015,"Campbellton-Miramichi, New Brunswick",,,,,,,,47.1
2015,"Moncton-Richibucto, New Brunswick",,,,,,,,60.1
2015,"Saint John-St. Stephen, New Brunswick",,,,,,,,58.4
2015,"Fredericton-Oromocto, New Brunswick",,,,,,,,60.0
2015,"Edmundston-Woodstock, New Brunswick",,,,,,,,56.8
2015,"Gaspésie-Îles-de-la-Madeleine, Quebec",,,,,,,,45.8
2015,"Bas-Saint-Laurent, Quebec",,,,,,,,49.9
2015,"Capitale-Nationale, Quebec",,,,,,,,65.2
2015,"Chaudière-Appalaches, Quebec",,,,,,,,62.6
2015,"Estrie, Quebec",,,,,,,,57.0
2015,"Centre-du-Québec, Quebec",,,,,,,,58.2
2015,"Montérégie, Quebec",,,,,,,,62.3
2015,"Montréal, Quebec",,,,,,,,58.5
2015,"Laval, Quebec",,,,,,,,59.7
2015,"Lanaudière, Quebec",,,,,,,,62.2
2015,"Laurentides, Quebec",,,,,,,,63.2
2015,"Outaouais, Quebec",,,,,,,,62.4
2015,"Abitibi-Témiscamingue, Quebec",,,,,,,,59.0
2015,"Mauricie, Quebec",,,,,,,,51.6
2015,"Saguenay-Lac-Saint-Jean, Quebec",,,,,,,,55.3
2015,"Côte-Nord and Nord-du-Québec, Quebec",,,,,,,,55.3
2015,"Ottawa, Ontario",,,,,,,,62.9
2015,"Kingston-Pembroke, Ontario",,,,,,,,53.4
2015,"Muskoka-Kawarthas, Ontario",,,,,,,,51.4
2015,"Toronto, Ontario",,,,,,,,62.3
2015,"Kitchener-Waterloo-Barrie, Ontario",,,,,,,,66.3
2015,"Hamilton-Niagara Peninsula, Ontario",,,,,,,,60.4
2015,"London, Ontario",,,,,,,,60.1
2015,"Windsor-Sarnia, Ontario",,,,,,,,56.5
2015,"Stratford-Bruce Peninsula, Ontario",,,,,,,,59.4
2015,"Northeast, Ontario",,,,,,,,54.3
2015,"Northwest, Ontario",,,,,,,,57.0
2015,"Southeast, Manitoba",,,,,,,,63.3
2015,"South Central and North Central, Manitoba",,,,,,,,65.3
2015,"Southwest, Manitoba",,,,,,,,65.8
2015,"Winnipeg, Manitoba",,,,,,,,65.3
2015,"Interlake, Manitoba",,,,,,,,62.3
2015,"Parklands and Northern, Manitoba",,,,,,,,64.5
2015,"Regina-Moose Mountain, Saskatchewan",,,,,,,,69.8
2015,"Swift Current-Moose Jaw, Saskatchewan",,,,,,,,65.0
2015,"Saskatoon-Biggar, Saskatchewan",,,,,,,,67.0
2015,"Yorkton-Melville, Saskatchewan",,,,,,,,60.3
2015,"Prince Albert and Northern, Saskatchewan",,,,,,,,63.0
2015,"Lethbridge-Medicine Hat, Alberta",,,,,,,,64.3
2015,"Camrose-Drumheller, Alberta",,,,,,,,64.4
2015,"Calgary, Alberta",,,,,,,,69.7
2015,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",,,,,,,,69.5
2015,"Red Deer, Alberta",,,,,,,,69.1
2015,"Edmonton, Alberta",,,,,,,,69.3
2015,"Wood Buffalo-Cold Lake, Alberta",,,,,,,,72.7
2015,"Vancouver Island and Coast, British Columbia",,,,,,,,55.4
2015,"Lower Mainland-Southwest, British Columbia",,,,,,,,61.7
2015,"Thompson-Okanagan, British Columbia",,,,,,,,58.6
2015,"Kootenay, British Columbia",,,,,,,,56.3
2015,"Cariboo, British Columbia",,,,,,,,63.1
2015,"North Coast and Nechako, British Columbia",,,,,,,,63.9
2015,"Northeast, British Columbia",,,,,,,,72.8
2016,"Avalon Peninsula, Newfoundland and Labrador",,,,,,,,58.9
2016,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",,,,,,,,42.5
2016,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",,,,,,,,49.0
2016,"Cape Breton, Nova Scotia",,,,,,,,45.3
2016,"North Shore, Nova Scotia",,,,,,,,53.5
2016,"Annapolis Valley, Nova Scotia",,,,,,,,54.4
2016,"Southern, Nova Scotia",,,,,,,,49.2
2016,"Halifax, Nova Scotia",,,,,,,,64.4
2016,"Campbellton-Miramichi, New Brunswick",,,,,,,,45.8
2016,"Moncton-Richibucto, New Brunswick",,,,,,,,59.5
2016,"Saint John-St. Stephen, New Brunswick",,,,,,,,58.9
2016,"Fredericton-Oromocto, New Brunswick",,,,,,,,61.8
2016,"Edmundston-Woodstock, New Brunswick",,,,,,,,58.4
2016,"Gaspésie-Îles-de-la-Madeleine, Quebec",,,,,,,,44.9
2016,"Bas-Saint-Laurent, Quebec",,,,,,,,51.5
2016,"Capitale-Nationale, Quebec",,,,,,,,65.3
2016,"Chaudière-Appalaches, Quebec",,,,,,,,61.4
2016,"Estrie, Quebec",,,,,,,,56.5
2016,"Centre-du-Québec, Quebec",,,,,,,,60.5
2016,"Montérégie, Quebec",,,,,,,,61.4
2016,"Montréal, Quebec",,,,,,,,59.6
2016,"Laval, Quebec",,,,,,,,60.0
2016,"Lanaudière, Quebec",,,,,,,,60.1
2016,"Laurentides, Quebec",,,,,,,,62.2
2016,"Outaouais, Quebec",,,,,,,,61.4
2016,"Abitibi-Témiscamingue, Quebec",,,,,,,,60.4
2016,"Mauricie, Quebec",,,,,,,,53.9
2016,"Saguenay-Lac-Saint-Jean, Quebec",,,,,,,,54.7
2016,"Côte-Nord and Nord-du-Québec, Quebec",,,,,,,,59.2
2016,"Ottawa, Ontario",,,,,,,,62.5
2016,"Kingston-Pembroke, Ontario",,,,,,,,56.1
2016,"Muskoka-Kawarthas, Ontario",,,,,,,,51.5
2016,"Toronto, Ontario",,,,,,,,62.1
2016,"Kitchener-Waterloo-Barrie, Ontario",,,,,,,,64.9
2016,"Hamilton-Niagara Peninsula, Ontario",,,,,,,,59.9
2016,"London, Ontario",,,,,,,,59.7
2016,"Windsor-Sarnia, Ontario",,,,,,,,57.3
2016,"Stratford-Bruce Peninsula, Ontario",,,,,,,,59.0
2016,"Northeast, Ontario",,,,,,,,53.9
2016,"Northwest, Ontario",,,,,,,,58.3
2016,"Southeast, Manitoba",,,,,,,,66.4
2016,"South Central and North Central, Manitoba",,,,,,,,63.6
2016,"Southwest, Manitoba",,,,,,,,61.9
2016,"Winnipeg, Manitoba",,,,,,,,64.1
2016,"Interlake, Manitoba",,,,,,,,61.0
2016,"Parklands and Northern, Manitoba",,,,,,,,65.3
2016,"Regina-Moose Mountain, Saskatchewan",,,,,,,,68.9
2016,"Swift Current-Moose Jaw, Saskatchewan",,,,,,,,64.4
2016,"Saskatoon-Biggar, Saskatchewan",,,,,,,,65.1
2016,"Yorkton-Melville, Saskatchewan",,,,,,,,59.3
2016,"Prince Albert and Northern, Saskatchewan",,,,,,,,62.3
2016,"Lethbridge-Medicine Hat, Alberta",,,,,,,,64.7
2016,"Camrose-Drumheller, Alberta",,,,,,,,61.9
2016,"Calgary, Alberta",,,,,,,,66.7
2016,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",,,,,,,,65.5
2016,"Red Deer, Alberta",,,,,,,,64.5
2016,"Edmonton, Alberta",,,,,,,,67.5
2016,"Wood Buffalo-Cold Lake, Alberta",,,,,,,,69.5
2016,"Vancouver Island and Coast, British Columbia",,,,,,,,56.2
2016,"Lower Mainland-Southwest, British Columbia",,,,,,,,63.5
2016,"Thompson-Okanagan, British Columbia",,,,,,,,57.7
2016,"Kootenay, British Columbia",,,,,,,,55.0
2016,"Cariboo, British Columbia",,,,,,,,61.9
2016,"North Coast and Nechako, British Columbia",,,,,,,,63.7
2016,"Northeast, British Columbia",,,,,,,,69.8
2017,"Avalon Peninsula, Newfoundland and Labrador",,,,,,,,55.7
2017,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",,,,,,,,41.3
2017,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",,,,,,,,49.2
2017,"Cape Breton, Nova Scotia",,,,,,,,45.5
2017,"North Shore, Nova Scotia",,,,,,,,54.2
2017,"Annapolis Valley, Nova Scotia",,,,,,,,57.5
2017,"Southern, Nova Scotia",,,,,,,,49.8
2017,"Halifax, Nova Scotia",,,,,,,,62.9
2017,"Campbellton-Miramichi, New Brunswick",,,,,,,,47.7
2017,"Moncton-Richibucto, New Brunswick",,,,,,,,59.3
2017,"Saint John-St. Stephen, New Brunswick",,,,,,,,60.0
2017,"Fredericton-Oromocto, New Brunswick",,,,,,,,59.1
2017,"Edmundston-Woodstock, New Brunswick",,,,,,,,57.9
2017,"Gaspésie-Îles-de-la-Madeleine, Quebec",,,,,,,,47.9
2017,"Bas-Saint-Laurent, Quebec",,,,,,,,50.3
2017,"Capitale-Nationale, Quebec",,,,,,,,64.6
2017,"Chaudière-Appalaches, Quebec",,,,,,,,61.2
2017,"Estrie, Quebec",,,,,,,,57.7
2017,"Centre-du-Québec, Quebec",,,,,,,,60.2
2017,"Montérégie, Quebec",,,,,,,,63.5
2017,"Montréal, Quebec",,,,,,,,61.3
2017,"Laval, Quebec",,,,,,,,61.6
2017,"Lanaudière, Quebec",,,,,,,,62.4
2017,"Laurentides, Quebec",,,,,,,,60.7
2017,"Outaouais, Quebec",,,,,,,,62.1
2017,"Abitibi-Témiscamingue, Quebec",,,,,,,,62.4
2017,"Mauricie, Quebec",,,,,,,,53.5
2017,"Saguenay-Lac-Saint-Jean, Quebec",,,,,,,,55.8
2017,"Côte-Nord and Nord-du-Québec, Quebec",,,,,,,,60.5
2017,"Ottawa, Ontario",,,,,,,,62.0
2017,"Kingston-Pembroke, Ontario",,,,,,,,54.8
2017,"Muskoka-Kawarthas, Ontario",,,,,,,,55.1
2017,"Toronto, Ontario",,,,,,,,62.4
2017,"Kitchener-Waterloo-Barrie, Ontario",,,,,,,,65.7
2017,"Hamilton-Niagara Peninsula, Ontario",,,,,,,,61.6
2017,"London, Ontario",,,,,,,,58.9
2017,"Windsor-Sarnia, Ontario",,,,,,,,57.2
2017,"Stratford-Bruce Peninsula, Ontario",,,,,,,,60.3
2017,"Northeast, Ontario",,,,,,,,54.0
2017,"Northwest, Ontario",,,,,,,,60.0
2017,"Southeast, Manitoba",,,,,,,,66.6
2017,"South Central and North Central, Manitoba",,,,,,,,64.9
2017,"Southwest, Manitoba",,,,,,,,62.0
2017,"Winnipeg, Manitoba",,,,,,,,63.8
2017,"Interlake, Manitoba",,,,,,,,61.5
2017,"Parklands and Northern, Manitoba",,,,,,,,64.5
2017,"Regina-Moose Mountain, Saskatchewan",,,,,,,,68.1
2017,"Swift Current-Moose Jaw, Saskatchewan",,,,,,,,62.6
2017,"Saskatoon-Biggar, Saskatchewan",,,,,,,,64.8
2017,"Yorkton-Melville, Saskatchewan",,,,,,,,62.9
2017,"Prince Albert and Northern, Saskatchewan",,,,,,,,61.0
2017,"Lethbridge-Medicine Hat, Alberta",,,,,,,,62.4
2017,"Camrose-Drumheller, Alberta",,,,,,,,61.6
2017,"Calgary, Alberta",,,,,,,,67.3
2017,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",,,,,,,,66.1
2017,"Red Deer, Alberta",,,,,,,,65.8
2017,"Edmonton, Alberta",,,,,,,,66.4
2017,"Wood Buffalo-Cold Lake, Alberta",,,,,,,,70.5
2017,"Vancouver Island and Coast, British Columbia",,,,,,,,58.3
2017,"Lower Mainland-Southwest, British Columbia",,,,,,,,64.5
2017,"Thompson-Okanagan, British Columbia",,,,,,,,58.9
2017,"Kootenay, British Columbia",,,,,,,,58.9
2017,"Cariboo, British Columbia",,,,,,,,63.4
2017,"North Coast and Nechako, British Columbia",,,,,,,,63.4
2017,"Northeast, British Columbia",,,,,,,,68.2
2018,"Avalon Peninsula, Newfoundland and Labrador",,,,,,,,55.2
2018,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",,,,,,,,43.9
2018,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",,,,,,,,48.6
2018,"Cape Breton, Nova Scotia",,,,,,,,44.4
2018,"North Shore, Nova Scotia",,,,,,,,52.0
2018,"Annapolis Valley, Nova Scotia",,,,,,,,54.5
2018,"Southern, Nova Scotia",,,,,,,,53.0
2018,"Halifax, Nova Scotia",,,,,,,,64.0
2018,"Campbellton-Miramichi, New Brunswick",,,,,,,,48.9
2018,"Moncton-Richibucto, New Brunswick",,,,,,,,59.7
2018,"Saint John-St. Stephen, New Brunswick",,,,,,,,58.4
2018,"Fredericton-Oromocto, New Brunswick",,,,,,,,58.3
2018,"Edmundston-Woodstock, New Brunswick",,,,,,,,58.1
2018,"Gaspésie-Îles-de-la-Madeleine, Quebec",,,,,,,,45.2
2018,"Bas-Saint-Laurent, Quebec",,,,,,,,54.5
2018,"Capitale-Nationale, Quebec",,,,,,,,63.9
2018,"Chaudière-Appalaches, Quebec",,,,,,,,63.0
2018,"Estrie, Quebec",,,,,,,,59.4
2018,"Centre-du-Québec, Quebec",,,,,,,,58.0
2018,"Montérégie, Quebec",,,,,,,,63.3
2018,"Montréal, Quebec",,,,,,,,62.0
2018,"Laval, Quebec",,,,,,,,66.2
2018,"Lanaudière, Quebec",,,,,,,,60.4
2018,"Laurentides, Quebec",,,,,,,,61.0
2018,"Outaouais, Quebec",,,,,,,,62.9
2018,"Abitibi-Témiscamingue, Quebec",,,,,,,,64.1
2018,"Mauricie, Quebec",,,,,,,,53.4
2018,"Saguenay-Lac-Saint-Jean, Quebec",,,,,,,,54.4
2018,"Côte-Nord and Nord-du-Québec, Quebec",,,,,,,,61.4
2018,"Ottawa, Ontario",,,,,,,,62.4
2018,"Kingston-Pembroke, Ontario",,,,,,,,53.4
2018,"Muskoka-Kawarthas, Ontario",,,,,,,,53.5
2018,"Toronto, Ontario",,,,,,,,62.6
2018,"Kitchener-Waterloo-Barrie, Ontario",,,,,,,,64.5
2018,"Hamilton-Niagara Peninsula, Ontario",,,,,,,,60.9
2018,"London, Ontario",,,,,,,,59.1
2018,"Windsor-Sarnia, Ontario",,,,,,,,57.5
2018,"Stratford-Bruce Peninsula, Ontario",,,,,,,,62.6
2018,"Northeast, Ontario",,,,,,,,54.7
2018,"Northwest, Ontario",,,,,,,,60.6
2018,"Southeast, Manitoba",,,,,,,,65.7
2018,"South Central and North Central, Manitoba",,,,,,,,63.5
2018,"Southwest, Manitoba",,,,,,,,62.9
2018,"Winnipeg, Manitoba",,,,,,,,63.9
2018,"Interlake, Manitoba",,,,,,,,60.0
2018,"Parklands and Northern, Manitoba",,,,,,,,63.5
2018,"Regina-Moose Mountain, Saskatchewan",,,,,,,,68.0
2018,"Swift Current-Moose Jaw, Saskatchewan",,,,,,,,62.0
2018,"Saskatoon-Biggar, Saskatchewan",,,,,,,,65.0
2018,"Yorkton-Melville, Saskatchewan",,,,,,,,59.2
2018,"Prince Albert and Northern, Saskatchewan",,,,,,,,61.8
2018,"Lethbridge-Medicine Hat, Alberta",,,,,,,,62.6
2018,"Camrose-Drumheller, Alberta",,,,,,,,64.4
2018,"Calgary, Alberta",,,,,,,,67.0
2018,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",,,,,,,,69.0
2018,"Red Deer, Alberta",,,,,,,,68.6
2018,"Edmonton, Alberta",,,,,,,,67.3
2018,"Wood Buffalo-Cold Lake, Alberta",,,,,,,,72.5
2018,"Vancouver Island and Coast, British Columbia",,,,,,,,59.1
2018,"Lower Mainland-Southwest, British Columbia",,,,,,,,64.5
2018,"Thompson-Okanagan, British Columbia",,,,,,,,57.4
2018,"Kootenay, British Columbia",,,,,,,,58.0
2018,"Cariboo, British Columbia",,,,,,,,63.3
2018,"North Coast and Nechako, British Columbia",,,,,,,,64.9
2018,"Northeast, British Columbia",,,,,,,,71.2
2019,"Avalon Peninsula, Newfoundland and Labrador",,,,,,,,57.5
2019,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",,,,,,,,42.1
2019,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",,,,,,,,48.7
2019,"Cape Breton, Nova Scotia",,,,,,,,47.4
2019,"North Shore, Nova Scotia",,,,,,,,54.1
2019,"Annapolis Valley, Nova Scotia",,,,,,,,56.4
2019,"Southern, Nova Scotia",,,,,,,,49.8
2019,"Halifax, Nova Scotia",,,,,,,,64.4
2019,"Campbellton-Miramichi, New Brunswick",,,,,,,,45.5
2019,"Moncton-Richibucto, New Brunswick",,,,,,,,59.5
2019,"Saint John-St. Stephen, New Brunswick",,,,,,,,60.7
2019,"Fredericton-Oromocto, New Brunswick",,,,,,,,59.5
2019,"Edmundston-Woodstock, New Brunswick",,,,,,,,56.2
2019,"Gaspésie-Îles-de-la-Madeleine, Quebec",,,,,,,,44.4
2019,"Bas-Saint-Laurent, Quebec",,,,,,,,55.4
2019,"Capitale-Nationale, Quebec",,,,,,,,65.2
2019,"Chaudière-Appalaches, Quebec",,,,,,,,62.9
2019,"Estrie, Quebec",,,,,,,,59.6
2019,"Centre-du-Québec, Quebec",,,,,,,,61.5
2019,"Montérégie, Quebec",,,,,,,,63.3
2019,"Montréal, Quebec",,,,,,,,62.9
2019,"Laval, Quebec",,,,,,,,60.0
2019,"Lanaudière, Quebec",,,,,,,,62.2
2019,"Laurentides, Quebec",,,,,,,,61.6
2019,"Outaouais, Quebec",,,,,,,,64.0
2019,"Abitibi-Témiscamingue, Quebec",,,,,,,,64.2
2019,"Mauricie, Quebec",,,,,,,,53.9
2019,"Saguenay-Lac-Saint-Jean, Quebec",,,,,,,,56.2
2019,"Côte-Nord and Nord-du-Québec, Quebec",,,,,,,,61.2
2019,"Ottawa, Ontario",,,,,,,,64.0
2019,"Kingston-Pembroke, Ontario",,,,,,,,56.0
2019,"Muskoka-Kawarthas, Ontario",,,,,,,,51.2
2019,"Toronto, Ontario",,,,,,,,63.1
2019,"Kitchener-Waterloo-Barrie, Ontario",,,,,,,,65.1
2019,"Hamilton-Niagara Peninsula, Ontario",,,,,,,,61.0
2019,"London, Ontario",,,,,,,,58.0
2019,"Windsor-Sarnia, Ontario",,,,,,,,56.5
2019,"Stratford-Bruce Peninsula, Ontario",,,,,,,,62.0
2019,"Northeast, Ontario",,,,,,,,54.9
2019,"Northwest, Ontario",,,,,,,,59.6
2019,"Southeast, Manitoba",,,,,,,,63.4
2019,"South Central and North Central, Manitoba",,,,,,,,62.8
2019,"Southwest, Manitoba",,,,,,,,65.3
2019,"Winnipeg, Manitoba",,,,,,,,64.3
2019,"Interlake, Manitoba",,,,,,,,59.9
2019,"Parklands and Northern, Manitoba",,,,,,,,59.3
2019,"Regina-Moose Mountain, Saskatchewan",,,,,,,,67.8
2019,"Swift Current-Moose Jaw, Saskatchewan",,,,,,,,64.0
2019,"Saskatoon-Biggar, Saskatchewan",,,,,,,,65.4
2019,"Yorkton-Melville, Saskatchewan",,,,,,,,63.3
2019,"Prince Albert and Northern, Saskatchewan",,,,,,,,62.3
2019,"Lethbridge-Medicine Hat, Alberta",,,,,,,,62.0
2019,"Camrose-Drumheller, Alberta",,,,,,,,59.3
2019,"Calgary, Alberta",,,,,,,,67.9
2019,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",,,,,,,,69.2
2019,"Red Deer, Alberta",,,,,,,,64.2
2019,"Edmonton, Alberta",,,,,,,,66.8
2019,"Wood Buffalo-Cold Lake, Alberta",,,,,,,,73.7
2019,"Vancouver Island and Coast, British Columbia",,,,,,,,57.1
2019,"Lower Mainland-Southwest, British Columbia",,,,,,,,65.2
2019,"Thompson-Okanagan, British Columbia",,,,,,,,60.8
2019,"Kootenay, British Columbia",,,,,,,,59.3
2019,"Cariboo, British Columbia",,,,,,,,63.4
2019,"North Coast and Nechako, British Columbia",,,,,,,,64.8
2019,"Northeast, British Columbia",,,,,,,,70.6
2020,"Avalon Peninsula, Newfoundland and Labrador",,,,,,,,53.5
2020,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",,,,,,,,39.8
2020,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",,,,,,,,46.5
2020,"Cape Breton, Nova Scotia",,,,,,,,45.2
2020,"North Shore, Nova Scotia",,,,,,,,50.0
2020,"Annapolis Valley, Nova Scotia",,,,,,,,50.9
2020,"Southern, Nova Scotia",,,,,,,,48.7
2020,"Halifax, Nova Scotia",,,,,,,,61.2
2020,"Campbellton-Miramichi, New Brunswick",,,,,,,,46.6
2020,"Moncton-Richibucto, New Brunswick",,,,,,,,57.8
2020,"Saint John-St. Stephen, New Brunswick",,,,,,,,55.8
2020,"Fredericton-Oromocto, New Brunswick",,,,,,,,56.1
2020,"Edmundston-Woodstock, New Brunswick",,,,,,,,55.2
2020,"Gaspésie-Îles-de-la-Madeleine, Quebec",,,,,,,,40.4
2020,"Bas-Saint-Laurent, Quebec",,,,,,,,51.7
2020,"Capitale-Nationale, Quebec",,,,,,,,58.9
2020,"Chaudière-Appalaches, Quebec",,,,,,,,62.9
2020,"Estrie, Quebec",,,,,,,,57.2
2020,"Centre-du-Québec, Quebec",,,,,,,,58.7
2020,"Montérégie, Quebec",,,,,,,,60.3
2020,"Montréal, Quebec",,,,,,,,57.8
2020,"Laval, Quebec",,,,,,,,58.3
2020,"Lanaudière, Quebec",,,,,,,,63.0
2020,"Laurentides, Quebec",,,,,,,,53.9
2020,"Outaouais, Quebec",,,,,,,,57.8
2020,"Abitibi-Témiscamingue, Quebec",,,,,,,,57.8
2020,"Mauricie, Quebec",,,,,,,,54.0
2020,"Saguenay-Lac-Saint-Jean, Quebec",,,,,,,,53.6
2020,"Côte-Nord and Nord-du-Québec, Quebec",,,,,,,,58.2
