Year,data.Geography,data.Age at time of death,data.Sex,data.Leading causes of death (ICD-10),Value
2019,data.Canada,data.all ages,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",151.6
2015,data.Canada,data.all ages,data.Males,data.Cerebrovascular diseases [I60-I69],32.4
2016,data.Canada,data.all ages,data.Males,data.Cerebrovascular diseases [I60-I69],31.6
2017,data.Canada,data.all ages,data.Males,data.Cerebrovascular diseases [I60-I69],33.1
2018,data.Canada,data.all ages,data.Males,data.Cerebrovascular diseases [I60-I69],31.2
2019,data.Canada,data.all ages,data.Males,data.Cerebrovascular diseases [I60-I69],31.9
2015,data.Canada,data.all ages,data.Males,data.Influenza and pneumonia [J09-J18],19.2
2016,data.Canada,data.all ages,data.Males,data.Influenza and pneumonia [J09-J18],16.4
2017,data.Canada,data.all ages,data.Males,data.Influenza and pneumonia [J09-J18],18.2
2018,data.Canada,data.all ages,data.Males,data.Influenza and pneumonia [J09-J18],21.4
2019,data.Canada,data.all ages,data.Males,data.Influenza and pneumonia [J09-J18],17.5
2015,data.Canada,data.all ages,data.Males,data.Chronic lower respiratory diseases [J40-J47],35.1
2016,data.Canada,data.all ages,data.Males,data.Chronic lower respiratory diseases [J40-J47],34.3
2017,data.Canada,data.all ages,data.Males,data.Chronic lower respiratory diseases [J40-J47],34.6
2018,data.Canada,data.all ages,data.Males,data.Chronic lower respiratory diseases [J40-J47],35.0
2019,data.Canada,data.all ages,data.Males,data.Chronic lower respiratory diseases [J40-J47],34.0
2015,data.Canada,data.all ages,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",11.8
2016,data.Canada,data.all ages,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",12.2
2017,data.Canada,data.all ages,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",12.0
2018,data.Canada,data.all ages,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",12.0
2019,data.Canada,data.all ages,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",12.7
2015,data.Canada,data.all ages,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",38.8
2016,data.Canada,data.all ages,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",41.1
2017,data.Canada,data.all ages,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",46.6
2018,data.Canada,data.all ages,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",41.9
2019,data.Canada,data.all ages,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",42.0
2015,data.Canada,data.all ages,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",18.4
2016,data.Canada,data.all ages,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",16.3
2017,data.Canada,data.all ages,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",17.1
2018,data.Canada,data.all ages,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",15.7
2019,data.Canada,data.all ages,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",16.4
2015,data.Canada,data.all ages,data.Females,data.Malignant neoplasms [C00-C97],202.8
2016,data.Canada,data.all ages,data.Females,data.Malignant neoplasms [C00-C97],205.9
2017,data.Canada,data.all ages,data.Females,data.Malignant neoplasms [C00-C97],203.9
2018,data.Canada,data.all ages,data.Females,data.Malignant neoplasms [C00-C97],200.9
2019,data.Canada,data.all ages,data.Females,data.Malignant neoplasms [C00-C97],197.4
2015,data.Canada,data.all ages,data.Females,data.Diabetes mellitus [E10-E14],17.8
2016,data.Canada,data.all ages,data.Females,data.Diabetes mellitus [E10-E14],17.2
2017,data.Canada,data.all ages,data.Females,data.Diabetes mellitus [E10-E14],16.2
2018,data.Canada,data.all ages,data.Females,data.Diabetes mellitus [E10-E14],16.4
2019,data.Canada,data.all ages,data.Females,data.Diabetes mellitus [E10-E14],16.0
2015,data.Canada,data.all ages,data.Females,data.Alzheimer's disease [G30],24.7
2016,data.Canada,data.all ages,data.Females,data.Alzheimer's disease [G30],24.3
2017,data.Canada,data.all ages,data.Females,data.Alzheimer's disease [G30],24.5
2018,data.Canada,data.all ages,data.Females,data.Alzheimer's disease [G30],23.2
2019,data.Canada,data.all ages,data.Females,data.Alzheimer's disease [G30],22.1
2015,data.Canada,data.all ages,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",134.2
2016,data.Canada,data.all ages,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",130.8
2017,data.Canada,data.all ages,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",132.1
2018,data.Canada,data.all ages,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",131.4
2019,data.Canada,data.all ages,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",128.3
2015,data.Canada,data.all ages,data.Females,data.Cerebrovascular diseases [I60-I69],44.5
2016,data.Canada,data.all ages,data.Females,data.Cerebrovascular diseases [I60-I69],43.1
2017,data.Canada,data.all ages,data.Females,data.Cerebrovascular diseases [I60-I69],42.6
2018,data.Canada,data.all ages,data.Females,data.Cerebrovascular diseases [I60-I69],41.5
2019,data.Canada,data.all ages,data.Females,data.Cerebrovascular diseases [I60-I69],40.8
2015,data.Canada,data.all ages,data.Females,data.Influenza and pneumonia [J09-J18],23.3
2016,data.Canada,data.all ages,data.Females,data.Influenza and pneumonia [J09-J18],17.9
2017,data.Canada,data.all ages,data.Females,data.Influenza and pneumonia [J09-J18],22.1
2018,data.Canada,data.all ages,data.Females,data.Influenza and pneumonia [J09-J18],24.5
2019,data.Canada,data.all ages,data.Females,data.Influenza and pneumonia [J09-J18],19.2
2015,data.Canada,data.all ages,data.Females,data.Chronic lower respiratory diseases [J40-J47],35.1
2016,data.Canada,data.all ages,data.Females,data.Chronic lower respiratory diseases [J40-J47],33.5
2017,data.Canada,data.all ages,data.Females,data.Chronic lower respiratory diseases [J40-J47],35.5
2018,data.Canada,data.all ages,data.Females,data.Chronic lower respiratory diseases [J40-J47],35.2
2019,data.Canada,data.all ages,data.Females,data.Chronic lower respiratory diseases [J40-J47],34.3
2015,data.Canada,data.all ages,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",6.0
2016,data.Canada,data.all ages,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",6.5
2017,data.Canada,data.all ages,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",6.7
2018,data.Canada,data.all ages,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",7.0
2019,data.Canada,data.all ages,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",6.9
2015,data.Canada,data.all ages,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",27.4
2016,data.Canada,data.all ages,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",28.1
2017,data.Canada,data.all ages,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",29.3
2018,data.Canada,data.all ages,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",29.9
2019,data.Canada,data.all ages,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",31.3
2015,data.Canada,data.all ages,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",6.3
2016,data.Canada,data.all ages,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",5.7
2017,data.Canada,data.all ages,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",5.7
2018,data.Canada,data.all ages,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",5.0
2019,data.Canada,data.all ages,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",5.0
2015,data.Canada,data.1 to 14 years,data.Both sexes,data.Malignant neoplasms [C00-C97],2.4
2016,data.Canada,data.1 to 14 years,data.Both sexes,data.Malignant neoplasms [C00-C97],2.4
2017,data.Canada,data.1 to 14 years,data.Both sexes,data.Malignant neoplasms [C00-C97],1.9
2018,data.Canada,data.1 to 14 years,data.Both sexes,data.Malignant neoplasms [C00-C97],2.1
2019,data.Canada,data.1 to 14 years,data.Both sexes,data.Malignant neoplasms [C00-C97],2.0
2015,data.Canada,data.1 to 14 years,data.Both sexes,data.Diabetes mellitus [E10-E14],0.0
2016,data.Canada,data.1 to 14 years,data.Both sexes,data.Diabetes mellitus [E10-E14],0.0
2017,data.Canada,data.1 to 14 years,data.Both sexes,data.Diabetes mellitus [E10-E14],0.0
2018,data.Canada,data.1 to 14 years,data.Both sexes,data.Diabetes mellitus [E10-E14],0.0
2019,data.Canada,data.1 to 14 years,data.Both sexes,data.Diabetes mellitus [E10-E14],0.0
2015,data.Canada,data.1 to 14 years,data.Both sexes,data.Alzheimer's disease [G30],0.0
2016,data.Canada,data.1 to 14 years,data.Both sexes,data.Alzheimer's disease [G30],0.0
2017,data.Canada,data.1 to 14 years,data.Both sexes,data.Alzheimer's disease [G30],0.0
2018,data.Canada,data.1 to 14 years,data.Both sexes,data.Alzheimer's disease [G30],0.0
2019,data.Canada,data.1 to 14 years,data.Both sexes,data.Alzheimer's disease [G30],0.0
2015,data.Canada,data.1 to 14 years,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.3
2016,data.Canada,data.1 to 14 years,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.4
2017,data.Canada,data.1 to 14 years,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.3
2018,data.Canada,data.1 to 14 years,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.2
2019,data.Canada,data.1 to 14 years,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.3
2015,data.Canada,data.1 to 14 years,data.Both sexes,data.Cerebrovascular diseases [I60-I69],0.2
2016,data.Canada,data.1 to 14 years,data.Both sexes,data.Cerebrovascular diseases [I60-I69],0.1
2017,data.Canada,data.1 to 14 years,data.Both sexes,data.Cerebrovascular diseases [I60-I69],0.1
2018,data.Canada,data.1 to 14 years,data.Both sexes,data.Cerebrovascular diseases [I60-I69],0.1
2019,data.Canada,data.1 to 14 years,data.Both sexes,data.Cerebrovascular diseases [I60-I69],0.2
2015,data.Canada,data.1 to 14 years,data.Both sexes,data.Influenza and pneumonia [J09-J18],0.3
2016,data.Canada,data.1 to 14 years,data.Both sexes,data.Influenza and pneumonia [J09-J18],0.4
2017,data.Canada,data.1 to 14 years,data.Both sexes,data.Influenza and pneumonia [J09-J18],0.3
2018,data.Canada,data.1 to 14 years,data.Both sexes,data.Influenza and pneumonia [J09-J18],0.4
2019,data.Canada,data.1 to 14 years,data.Both sexes,data.Influenza and pneumonia [J09-J18],0.3
2015,data.Canada,data.1 to 14 years,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],0.1
2016,data.Canada,data.1 to 14 years,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],0.1
2017,data.Canada,data.1 to 14 years,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],0.1
2018,data.Canada,data.1 to 14 years,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],0.1
2019,data.Canada,data.1 to 14 years,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],0.1
2015,data.Canada,data.1 to 14 years,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2016,data.Canada,data.1 to 14 years,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2017,data.Canada,data.1 to 14 years,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2018,data.Canada,data.1 to 14 years,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2019,data.Canada,data.1 to 14 years,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2015,data.Canada,data.1 to 14 years,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",2.9
2016,data.Canada,data.1 to 14 years,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",2.7
2017,data.Canada,data.1 to 14 years,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",2.7
2018,data.Canada,data.1 to 14 years,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",2.2
2019,data.Canada,data.1 to 14 years,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",2.0
2015,data.Canada,data.1 to 14 years,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",0.7
2016,data.Canada,data.1 to 14 years,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",0.9
2017,data.Canada,data.1 to 14 years,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",0.7
2018,data.Canada,data.1 to 14 years,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",0.8
2019,data.Canada,data.1 to 14 years,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",0.6
2015,data.Canada,data.1 to 14 years,data.Males,data.Malignant neoplasms [C00-C97],2.5
2016,data.Canada,data.1 to 14 years,data.Males,data.Malignant neoplasms [C00-C97],2.5
2017,data.Canada,data.1 to 14 years,data.Males,data.Malignant neoplasms [C00-C97],2.4
2018,data.Canada,data.1 to 14 years,data.Males,data.Malignant neoplasms [C00-C97],2.4
2019,data.Canada,data.1 to 14 years,data.Males,data.Malignant neoplasms [C00-C97],2.5
2015,data.Canada,data.1 to 14 years,data.Males,data.Diabetes mellitus [E10-E14],0.0
2016,data.Canada,data.1 to 14 years,data.Males,data.Diabetes mellitus [E10-E14],0.0
2017,data.Canada,data.1 to 14 years,data.Males,data.Diabetes mellitus [E10-E14],0.0
2018,data.Canada,data.1 to 14 years,data.Males,data.Diabetes mellitus [E10-E14],0.0
2019,data.Canada,data.1 to 14 years,data.Males,data.Diabetes mellitus [E10-E14],0.0
2015,data.Canada,data.1 to 14 years,data.Males,data.Alzheimer's disease [G30],0.0
2016,data.Canada,data.1 to 14 years,data.Males,data.Alzheimer's disease [G30],0.0
2017,data.Canada,data.1 to 14 years,data.Males,data.Alzheimer's disease [G30],0.0
2018,data.Canada,data.1 to 14 years,data.Males,data.Alzheimer's disease [G30],0.0
2019,data.Canada,data.1 to 14 years,data.Males,data.Alzheimer's disease [G30],0.0
2015,data.Canada,data.1 to 14 years,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.3
2016,data.Canada,data.1 to 14 years,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.4
2017,data.Canada,data.1 to 14 years,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.4
2018,data.Canada,data.1 to 14 years,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.1
2019,data.Canada,data.1 to 14 years,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.2
2015,data.Canada,data.1 to 14 years,data.Males,data.Cerebrovascular diseases [I60-I69],0.2
2016,data.Canada,data.1 to 14 years,data.Males,data.Cerebrovascular diseases [I60-I69],0.1
2017,data.Canada,data.1 to 14 years,data.Males,data.Cerebrovascular diseases [I60-I69],0.2
2018,data.Canada,data.1 to 14 years,data.Males,data.Cerebrovascular diseases [I60-I69],0.2
2019,data.Canada,data.1 to 14 years,data.Males,data.Cerebrovascular diseases [I60-I69],0.3
2015,data.Canada,data.1 to 14 years,data.Males,data.Influenza and pneumonia [J09-J18],0.4
2016,data.Canada,data.1 to 14 years,data.Males,data.Influenza and pneumonia [J09-J18],0.3
2017,data.Canada,data.1 to 14 years,data.Males,data.Influenza and pneumonia [J09-J18],0.4
2018,data.Canada,data.1 to 14 years,data.Males,data.Influenza and pneumonia [J09-J18],0.4
2019,data.Canada,data.1 to 14 years,data.Males,data.Influenza and pneumonia [J09-J18],0.3
2015,data.Canada,data.1 to 14 years,data.Males,data.Chronic lower respiratory diseases [J40-J47],0.1
2016,data.Canada,data.1 to 14 years,data.Males,data.Chronic lower respiratory diseases [J40-J47],0.1
2017,data.Canada,data.1 to 14 years,data.Males,data.Chronic lower respiratory diseases [J40-J47],0.0
2018,data.Canada,data.1 to 14 years,data.Males,data.Chronic lower respiratory diseases [J40-J47],0.2
2019,data.Canada,data.1 to 14 years,data.Males,data.Chronic lower respiratory diseases [J40-J47],0.1
2015,data.Canada,data.1 to 14 years,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2016,data.Canada,data.1 to 14 years,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2017,data.Canada,data.1 to 14 years,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2018,data.Canada,data.1 to 14 years,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2019,data.Canada,data.1 to 14 years,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2015,data.Canada,data.1 to 14 years,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",3.5
2016,data.Canada,data.1 to 14 years,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",3.2
2017,data.Canada,data.1 to 14 years,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",3.3
2018,data.Canada,data.1 to 14 years,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",2.5
2019,data.Canada,data.1 to 14 years,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",2.3
2015,data.Canada,data.1 to 14 years,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",0.5
2016,data.Canada,data.1 to 14 years,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",0.6
2017,data.Canada,data.1 to 14 years,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",0.4
2018,data.Canada,data.1 to 14 years,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",0.8
2019,data.Canada,data.1 to 14 years,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",0.5
2015,data.Canada,data.1 to 14 years,data.Females,data.Malignant neoplasms [C00-C97],2.4
2016,data.Canada,data.1 to 14 years,data.Females,data.Malignant neoplasms [C00-C97],2.3
2017,data.Canada,data.1 to 14 years,data.Females,data.Malignant neoplasms [C00-C97],1.4
2018,data.Canada,data.1 to 14 years,data.Females,data.Malignant neoplasms [C00-C97],1.7
2019,data.Canada,data.1 to 14 years,data.Females,data.Malignant neoplasms [C00-C97],1.5
2015,data.Canada,data.1 to 14 years,data.Females,data.Diabetes mellitus [E10-E14],0.0
2016,data.Canada,data.1 to 14 years,data.Females,data.Diabetes mellitus [E10-E14],0.0
2017,data.Canada,data.1 to 14 years,data.Females,data.Diabetes mellitus [E10-E14],0.0
2018,data.Canada,data.1 to 14 years,data.Females,data.Diabetes mellitus [E10-E14],0.0
2019,data.Canada,data.1 to 14 years,data.Females,data.Diabetes mellitus [E10-E14],0.0
2015,data.Canada,data.1 to 14 years,data.Females,data.Alzheimer's disease [G30],0.0
2016,data.Canada,data.1 to 14 years,data.Females,data.Alzheimer's disease [G30],0.0
2017,data.Canada,data.1 to 14 years,data.Females,data.Alzheimer's disease [G30],0.0
2018,data.Canada,data.1 to 14 years,data.Females,data.Alzheimer's disease [G30],0.0
2019,data.Canada,data.1 to 14 years,data.Females,data.Alzheimer's disease [G30],0.0
2015,data.Canada,data.1 to 14 years,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.2
2016,data.Canada,data.1 to 14 years,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.4
2017,data.Canada,data.1 to 14 years,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.3
2018,data.Canada,data.1 to 14 years,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.3
2019,data.Canada,data.1 to 14 years,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.4
2015,data.Canada,data.1 to 14 years,data.Females,data.Cerebrovascular diseases [I60-I69],0.2
2016,data.Canada,data.1 to 14 years,data.Females,data.Cerebrovascular diseases [I60-I69],0.1
2017,data.Canada,data.1 to 14 years,data.Females,data.Cerebrovascular diseases [I60-I69],0.0
2018,data.Canada,data.1 to 14 years,data.Females,data.Cerebrovascular diseases [I60-I69],0.0
2019,data.Canada,data.1 to 14 years,data.Females,data.Cerebrovascular diseases [I60-I69],0.1
2015,data.Canada,data.1 to 14 years,data.Females,data.Influenza and pneumonia [J09-J18],0.3
2016,data.Canada,data.1 to 14 years,data.Females,data.Influenza and pneumonia [J09-J18],0.5
2017,data.Canada,data.1 to 14 years,data.Females,data.Influenza and pneumonia [J09-J18],0.3
