Year,data.Geography,data.Type of work,data.National Occupational Classification (NOC),data.Age,Value
2019,data.Canada,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,0.92
2020,data.Canada,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,0.91
2015,data.Canada,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,0.94
2016,data.Canada,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,0.97
2017,data.Canada,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,1.0
2018,data.Canada,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,0.92
2019,data.Canada,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,0.88
2020,data.Canada,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,0.88
2015,data.Canada,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,0.9
2016,data.Canada,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,0.91
2017,data.Canada,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,0.95
2018,data.Canada,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,0.92
2019,data.Canada,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,0.91
2020,data.Canada,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,0.93
2015,data.Canada,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,0.85
2016,data.Canada,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,0.94
2017,data.Canada,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,0.93
2018,data.Canada,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,0.96
2019,data.Canada,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,0.94
2020,data.Canada,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,0.92
2015,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.15 years and over,0.97
2016,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.15 years and over,0.96
2017,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.15 years and over,0.95
2018,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.15 years and over,0.96
2019,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.15 years and over,0.93
2020,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.15 years and over,0.95
2015,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.15 to 24 years,1.03
2016,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.15 to 24 years,1.01
2017,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.15 to 24 years,1.06
2018,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.15 to 24 years,1.11
2019,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.15 to 24 years,1.0
2020,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.15 to 24 years,1.04
2015,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.25 to 54 years,0.9
2016,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.25 to 54 years,0.95
2017,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.25 to 54 years,0.93
2018,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.25 to 54 years,0.93
2019,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.25 to 54 years,0.94
2020,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.25 to 54 years,0.94
2015,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.55 years and over,1.07
2016,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.55 years and over,0.84
2017,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.55 years and over,0.97
2018,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.55 years and over,0.96
2019,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.55 years and over,0.9
2020,data.Canada,data.Both full- and part-time employees,data.Health occupations [3],data.55 years and over,0.93
2015,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,0.75
2016,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,0.74
2017,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,0.75
2018,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,0.74
2019,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,0.74
2020,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,0.75
2015,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,1.02
2016,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,0.96
2017,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,0.89
2018,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,0.93
2019,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,0.94
2020,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,0.96
2015,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,0.78
2016,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,0.77
2017,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,0.77
2018,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,0.76
2019,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,0.77
2020,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,0.8
2015,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,0.69
2016,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,0.68
2017,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,0.66
2018,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,0.7
2019,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,0.67
2020,data.Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,0.67
2015,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,0.91
2016,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,0.95
2017,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,0.95
2018,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,0.9
2019,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,0.85
2020,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,0.9
2015,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,0.99
2016,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,0.95
2017,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,1.0
2018,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,1.0
2019,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,1.0
2020,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,0.98
2015,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,0.96
2016,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,0.92
2017,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,0.95
2018,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,0.95
2019,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,0.89
2020,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,0.95
2015,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,0.9
2016,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,0.8
2017,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,0.8
2018,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,0.99
2019,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,0.9
2020,data.Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,0.96
2015,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 years and over,0.87
2016,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 years and over,0.87
2017,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 years and over,0.91
2018,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 years and over,0.91
2019,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 years and over,0.91
2020,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 years and over,0.89
2015,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 to 24 years,1.0
2016,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 to 24 years,1.0
2017,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 to 24 years,1.0
2018,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 to 24 years,1.0
2019,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 to 24 years,1.0
2020,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 to 24 years,1.0
2015,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.25 to 54 years,0.83
2016,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.25 to 54 years,0.83
2017,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.25 to 54 years,0.86
2018,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.25 to 54 years,0.84
2019,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.25 to 54 years,0.88
2020,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.25 to 54 years,0.88
2015,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.55 years and over,0.84
2016,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.55 years and over,0.85
2017,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.55 years and over,0.85
2018,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.55 years and over,0.86
2019,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.55 years and over,0.84
2020,data.Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],data.55 years and over,0.83
2015,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,0.72
2016,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,0.7
2017,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,0.75
2018,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,0.77
2019,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,0.76
2020,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,0.74
2015,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,0.85
2016,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,0.82
2017,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,0.88
2018,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,0.89
2019,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,0.89
2020,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,0.94
2015,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,0.72
2016,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,0.7
2017,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,0.75
2018,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,0.75
2019,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,0.71
2020,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,0.72
2015,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,0.64
2016,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,0.68
2017,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,0.74
2018,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,0.75
2019,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,0.72
2020,data.Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,0.75
2015,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.68
2016,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.75
2017,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.72
2018,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.67
2019,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.74
2020,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.77
2015,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,0.83
2016,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,0.83
2017,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,0.93
2018,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,0.88
2019,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,0.88
2020,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,0.91
2015,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.6
2016,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.67
2017,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.68
2018,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.65
2019,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.69
2020,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.76
2015,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,0.62
2016,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,0.7
2017,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,0.68
2018,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,0.7
2019,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,0.71
2020,data.Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,0.75
2015,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,0.75
2016,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,0.75
2017,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,0.76
2018,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,0.77
2019,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,0.74
2020,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,0.76
2015,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,0.9
2016,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,0.91
2017,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,0.91
2018,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,0.92
2019,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,0.87
2020,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,0.9
2015,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,0.76
2016,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,0.73
2017,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,0.75
2018,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,0.76
2019,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,0.73
2020,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,0.73
2015,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,0.68
2016,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,0.72
2017,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,0.75
2018,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,0.76
2019,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,0.73
2020,data.Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,0.75
2015,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.15 years and over,0.88
2016,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.15 years and over,0.88
2017,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.15 years and over,0.88
2018,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.15 years and over,0.88
2019,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.15 years and over,0.88
2020,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.15 years and over,0.89
2015,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.15 to 24 years,0.93
2016,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.15 to 24 years,0.94
2017,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.15 to 24 years,0.94
2018,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.15 to 24 years,0.88
2019,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.15 to 24 years,0.93
