Year,Geography,Gender,Age group,Selected demographic characteristics,GeoCode,Value
2016,Canada,Males,75 years and over,Non-permanent residents,,62.1
2016,Canada,Males,75 years and over,Total visible minority population,,66.0
2016,Canada,Males,75 years and over,Not a visible minority,,54.3
2016,Canada,Males,75 years and over,Indigenous identity,,30.9
2016,Canada,Males,75 years and over,First Nations (North American Indian),,27.0
2016,Canada,Males,75 years and over,Métis,,34.4
2016,Canada,Males,75 years and over,Inuk (Inuit),,20.5
2016,Canada,Males,75 years and over,Non-Indigenous identity,,56.1
2016,Canada,Females,Total,Total,,80.8
2016,Canada,Females,Total,Non immigrants,,80.9
2016,Canada,Females,Total,Immigrants,,80.2
2016,Canada,Females,Total,Non-permanent residents,,89.3
2016,Canada,Females,Total,Total visible minority population,,81.8
2016,Canada,Females,Total,Not a visible minority,,80.5
2016,Canada,Females,Total,Indigenous identity,,65.5
2016,Canada,Females,Total,First Nations (North American Indian),,61.0
2016,Canada,Females,Total,Métis,,74.1
2016,Canada,Females,Total,Inuk (Inuit),,43.1
2016,Canada,Females,Total,Non-Indigenous identity,,81.5
2016,Canada,Females,15 to 24 years,Total,,67.1
2016,Canada,Females,15 to 24 years,Non immigrants,,65.9
2016,Canada,Females,15 to 24 years,Immigrants,,70.2
2016,Canada,Females,15 to 24 years,Non-permanent residents,,84.6
2016,Canada,Females,15 to 24 years,Total visible minority population,,70.5
2016,Canada,Females,15 to 24 years,Not a visible minority,,65.8
2016,Canada,Females,15 to 24 years,Indigenous identity,,49.8
2016,Canada,Females,15 to 24 years,First Nations (North American Indian),,45.0
2016,Canada,Females,15 to 24 years,Métis,,60.0
2016,Canada,Females,15 to 24 years,Inuk (Inuit),,33.5
2016,Canada,Females,15 to 24 years,Non-Indigenous identity,,68.4
2016,Canada,Females,25 to 64 years,Total,,88.4
2016,Canada,Females,25 to 64 years,Non immigrants,,88.6
2016,Canada,Females,25 to 64 years,Immigrants,,87.5
2016,Canada,Females,25 to 64 years,Non-permanent residents,,92.9
2016,Canada,Females,25 to 64 years,Total visible minority population,,88.2
2016,Canada,Females,25 to 64 years,Not a visible minority,,88.5
2016,Canada,Females,25 to 64 years,Indigenous identity,,73.2
2016,Canada,Females,25 to 64 years,First Nations (North American Indian),,68.8
2016,Canada,Females,25 to 64 years,Métis,,81.4
2016,Canada,Females,25 to 64 years,Inuk (Inuit),,48.3
2016,Canada,Females,25 to 64 years,Non-Indigenous identity,,89.1
2016,Canada,Females,65 to 74 years,Total,,73.3
2016,Canada,Females,65 to 74 years,Non immigrants,,74.3
2016,Canada,Females,65 to 74 years,Immigrants,,71.1
2016,Canada,Females,65 to 74 years,Non-permanent residents,,62.3
2016,Canada,Females,65 to 74 years,Total visible minority population,,68.2
2016,Canada,Females,65 to 74 years,Not a visible minority,,74.1
2016,Canada,Females,65 to 74 years,Indigenous identity,,55.1
2016,Canada,Females,65 to 74 years,First Nations (North American Indian),,51.4
2016,Canada,Females,65 to 74 years,Métis,,60.1
2016,Canada,Females,65 to 74 years,Inuk (Inuit),,33.8
2016,Canada,Females,65 to 74 years,Non-Indigenous identity,,73.8
2016,Canada,Females,75 years and over,Total,,54.2
2016,Canada,Females,75 years and over,Non immigrants,,55.8
2016,Canada,Females,75 years and over,Immigrants,,50.8
2016,Canada,Females,75 years and over,Non-permanent residents,,47.1
2016,Canada,Females,75 years and over,Total visible minority population,,48.0
2016,Canada,Females,75 years and over,Not a visible minority,,55.0
2016,Canada,Females,75 years and over,Indigenous identity,,33.5
2016,Canada,Females,75 years and over,First Nations (North American Indian),,30.3
2016,Canada,Females,75 years and over,Métis,,36.7
2016,Canada,Females,75 years and over,Inuk (Inuit),,23.9
2016,Canada,Females,75 years and over,Non-Indigenous identity,,54.5
2016,Newfoundland and Labrador,Total,Total,Total,10,74.1
2016,Newfoundland and Labrador,Total,Total,Non immigrants,10,73.6
2016,Newfoundland and Labrador,Total,Total,Immigrants,10,88.6
2016,Newfoundland and Labrador,Total,Total,Non-permanent residents,10,96.0
2016,Newfoundland and Labrador,Total,Total,Total visible minority population,10,88.2
2016,Newfoundland and Labrador,Total,Total,Not a visible minority,10,73.8
2016,Newfoundland and Labrador,Total,Total,Indigenous identity,10,69.5
2016,Newfoundland and Labrador,Total,Total,First Nations (North American Indian),10,70.5
2016,Newfoundland and Labrador,Total,Total,Métis,10,72.3
2016,Newfoundland and Labrador,Total,Total,Inuk (Inuit),10,62.3
2016,Newfoundland and Labrador,Total,Total,Non-Indigenous identity,10,74.5
2016,Newfoundland and Labrador,Total,15 to 24 years,Total,10,64.1
2016,Newfoundland and Labrador,Total,15 to 24 years,Non immigrants,10,63.8
2016,Newfoundland and Labrador,Total,15 to 24 years,Immigrants,10,59.0
2016,Newfoundland and Labrador,Total,15 to 24 years,Non-permanent residents,10,90.9
2016,Newfoundland and Labrador,Total,15 to 24 years,Total visible minority population,10,76.8
2016,Newfoundland and Labrador,Total,15 to 24 years,Not a visible minority,10,63.6
2016,Newfoundland and Labrador,Total,15 to 24 years,Indigenous identity,10,60.8
2016,Newfoundland and Labrador,Total,15 to 24 years,First Nations (North American Indian),10,61.7
2016,Newfoundland and Labrador,Total,15 to 24 years,Métis,10,65.2
2016,Newfoundland and Labrador,Total,15 to 24 years,Inuk (Inuit),10,48.4
2016,Newfoundland and Labrador,Total,15 to 24 years,Non-Indigenous identity,10,64.6
2016,Newfoundland and Labrador,Total,25 to 64 years,Total,10,81.7
2016,Newfoundland and Labrador,Total,25 to 64 years,Non immigrants,10,81.3
2016,Newfoundland and Labrador,Total,25 to 64 years,Immigrants,10,93.0
2016,Newfoundland and Labrador,Total,25 to 64 years,Non-permanent residents,10,97.6
2016,Newfoundland and Labrador,Total,25 to 64 years,Total visible minority population,10,92.6
2016,Newfoundland and Labrador,Total,25 to 64 years,Not a visible minority,10,81.5
2016,Newfoundland and Labrador,Total,25 to 64 years,Indigenous identity,10,76.7
2016,Newfoundland and Labrador,Total,25 to 64 years,First Nations (North American Indian),10,77.9
2016,Newfoundland and Labrador,Total,25 to 64 years,Métis,10,79.4
2016,Newfoundland and Labrador,Total,25 to 64 years,Inuk (Inuit),10,69.6
2016,Newfoundland and Labrador,Total,25 to 64 years,Non-Indigenous identity,10,82.2
2016,Newfoundland and Labrador,Total,65 to 74 years,Total,10,62.1
2016,Newfoundland and Labrador,Total,65 to 74 years,Non immigrants,10,61.4
2016,Newfoundland and Labrador,Total,65 to 74 years,Immigrants,10,89.3
2016,Newfoundland and Labrador,Total,65 to 74 years,Non-permanent residents,10,100.0
2016,Newfoundland and Labrador,Total,65 to 74 years,Total visible minority population,10,71.7
2016,Newfoundland and Labrador,Total,65 to 74 years,Not a visible minority,10,62.1
2016,Newfoundland and Labrador,Total,65 to 74 years,Indigenous identity,10,52.9
2016,Newfoundland and Labrador,Total,65 to 74 years,First Nations (North American Indian),10,53.6
2016,Newfoundland and Labrador,Total,65 to 74 years,Métis,10,56.3
2016,Newfoundland and Labrador,Total,65 to 74 years,Inuk (Inuit),10,48.1
2016,Newfoundland and Labrador,Total,65 to 74 years,Non-Indigenous identity,10,62.7
2016,Newfoundland and Labrador,Total,75 years and over,Total,10,46.8
2016,Newfoundland and Labrador,Total,75 years and over,Non immigrants,10,45.8
2016,Newfoundland and Labrador,Total,75 years and over,Immigrants,10,82.0
2016,Newfoundland and Labrador,Total,75 years and over,Non-permanent residents,10,0.0
2016,Newfoundland and Labrador,Total,75 years and over,Total visible minority population,10,72.5
2016,Newfoundland and Labrador,Total,75 years and over,Not a visible minority,10,46.6
2016,Newfoundland and Labrador,Total,75 years and over,Indigenous identity,10,34.4
2016,Newfoundland and Labrador,Total,75 years and over,First Nations (North American Indian),10,39.0
2016,Newfoundland and Labrador,Total,75 years and over,Métis,10,20.4
2016,Newfoundland and Labrador,Total,75 years and over,Inuk (Inuit),10,31.0
2016,Newfoundland and Labrador,Total,75 years and over,Non-Indigenous identity,10,47.4
2016,Newfoundland and Labrador,Males,Total,Total,10,72.1
2016,Newfoundland and Labrador,Males,Total,Non immigrants,10,71.3
2016,Newfoundland and Labrador,Males,Total,Immigrants,10,89.4
2016,Newfoundland and Labrador,Males,Total,Non-permanent residents,10,96.7
2016,Newfoundland and Labrador,Males,Total,Total visible minority population,10,89.0
2016,Newfoundland and Labrador,Males,Total,Not a visible minority,10,71.7
2016,Newfoundland and Labrador,Males,Total,Indigenous identity,10,66.0
2016,Newfoundland and Labrador,Males,Total,First Nations (North American Indian),10,67.8
2016,Newfoundland and Labrador,Males,Total,Métis,10,68.3
2016,Newfoundland and Labrador,Males,Total,Inuk (Inuit),10,55.8
2016,Newfoundland and Labrador,Males,Total,Non-Indigenous identity,10,72.6
2016,Newfoundland and Labrador,Males,15 to 24 years,Total,10,62.1
2016,Newfoundland and Labrador,Males,15 to 24 years,Non immigrants,10,61.7
2016,Newfoundland and Labrador,Males,15 to 24 years,Immigrants,10,58.8
2016,Newfoundland and Labrador,Males,15 to 24 years,Non-permanent residents,10,89.3
2016,Newfoundland and Labrador,Males,15 to 24 years,Total visible minority population,10,76.3
2016,Newfoundland and Labrador,Males,15 to 24 years,Not a visible minority,10,61.5
2016,Newfoundland and Labrador,Males,15 to 24 years,Indigenous identity,10,58.1
2016,Newfoundland and Labrador,Males,15 to 24 years,First Nations (North American Indian),10,60.4
2016,Newfoundland and Labrador,Males,15 to 24 years,Métis,10,61.3
2016,Newfoundland and Labrador,Males,15 to 24 years,Inuk (Inuit),10,38.9
2016,Newfoundland and Labrador,Males,15 to 24 years,Non-Indigenous identity,10,62.6
2016,Newfoundland and Labrador,Males,25 to 64 years,Total,10,78.8
2016,Newfoundland and Labrador,Males,25 to 64 years,Non immigrants,10,78.1
2016,Newfoundland and Labrador,Males,25 to 64 years,Immigrants,10,93.0
2016,Newfoundland and Labrador,Males,25 to 64 years,Non-permanent residents,10,98.7
2016,Newfoundland and Labrador,Males,25 to 64 years,Total visible minority population,10,93.3
2016,Newfoundland and Labrador,Males,25 to 64 years,Not a visible minority,10,78.4
2016,Newfoundland and Labrador,Males,25 to 64 years,Indigenous identity,10,71.9
2016,Newfoundland and Labrador,Males,25 to 64 years,First Nations (North American Indian),10,73.7
2016,Newfoundland and Labrador,Males,25 to 64 years,Métis,10,73.6
2016,Newfoundland and Labrador,Males,25 to 64 years,Inuk (Inuit),10,63.4
2016,Newfoundland and Labrador,Males,25 to 64 years,Non-Indigenous identity,10,79.4
2016,Newfoundland and Labrador,Males,65 to 74 years,Total,10,62.6
2016,Newfoundland and Labrador,Males,65 to 74 years,Non immigrants,10,61.7
2016,Newfoundland and Labrador,Males,65 to 74 years,Immigrants,10,91.8
2016,Newfoundland and Labrador,Males,65 to 74 years,Non-permanent residents,10,0.0
2016,Newfoundland and Labrador,Males,65 to 74 years,Total visible minority population,10,84.0
2016,Newfoundland and Labrador,Males,65 to 74 years,Not a visible minority,10,62.5
2016,Newfoundland and Labrador,Males,65 to 74 years,Indigenous identity,10,54.3
2016,Newfoundland and Labrador,Males,65 to 74 years,First Nations (North American Indian),10,55.7
2016,Newfoundland and Labrador,Males,65 to 74 years,Métis,10,60.4
2016,Newfoundland and Labrador,Males,65 to 74 years,Inuk (Inuit),10,46.2
2016,Newfoundland and Labrador,Males,65 to 74 years,Non-Indigenous identity,10,63.1
2016,Newfoundland and Labrador,Males,75 years and over,Total,10,46.9
2016,Newfoundland and Labrador,Males,75 years and over,Non immigrants,10,45.4
2016,Newfoundland and Labrador,Males,75 years and over,Immigrants,10,89.8
2016,Newfoundland and Labrador,Males,75 years and over,Non-permanent residents,10,0.0
2016,Newfoundland and Labrador,Males,75 years and over,Total visible minority population,10,75.0
2016,Newfoundland and Labrador,Males,75 years and over,Not a visible minority,10,46.7
2016,Newfoundland and Labrador,Males,75 years and over,Indigenous identity,10,34.3
2016,Newfoundland and Labrador,Males,75 years and over,First Nations (North American Indian),10,39.7
2016,Newfoundland and Labrador,Males,75 years and over,Métis,10,23.8
2016,Newfoundland and Labrador,Males,75 years and over,Inuk (Inuit),10,21.7
2016,Newfoundland and Labrador,Males,75 years and over,Non-Indigenous identity,10,47.5
2016,Newfoundland and Labrador,Females,Total,Total,10,76.1
2016,Newfoundland and Labrador,Females,Total,Non immigrants,10,75.7
2016,Newfoundland and Labrador,Females,Total,Immigrants,10,87.7
2016,Newfoundland and Labrador,Females,Total,Non-permanent residents,10,95.5
2016,Newfoundland and Labrador,Females,Total,Total visible minority population,10,87.3
2016,Newfoundland and Labrador,Females,Total,Not a visible minority,10,75.8
2016,Newfoundland and Labrador,Females,Total,Indigenous identity,10,72.6
2016,Newfoundland and Labrador,Females,Total,First Nations (North American Indian),10,72.8
2016,Newfoundland and Labrador,Females,Total,Métis,10,76.1
2016,Newfoundland and Labrador,Females,Total,Inuk (Inuit),10,68.5
2016,Newfoundland and Labrador,Females,Total,Non-Indigenous identity,10,76.4
2016,Newfoundland and Labrador,Females,15 to 24 years,Total,10,66.2
2016,Newfoundland and Labrador,Females,15 to 24 years,Non immigrants,10,66.0
2016,Newfoundland and Labrador,Females,15 to 24 years,Immigrants,10,57.5
2016,Newfoundland and Labrador,Females,15 to 24 years,Non-permanent residents,10,94.9
2016,Newfoundland and Labrador,Females,15 to 24 years,Total visible minority population,10,77.0
2016,Newfoundland and Labrador,Females,15 to 24 years,Not a visible minority,10,65.8
2016,Newfoundland and Labrador,Females,15 to 24 years,Indigenous identity,10,63.3
2016,Newfoundland and Labrador,Females,15 to 24 years,First Nations (North American Indian),10,63.0
2016,Newfoundland and Labrador,Females,15 to 24 years,Métis,10,69.3
2016,Newfoundland and Labrador,Females,15 to 24 years,Inuk (Inuit),10,55.9
2016,Newfoundland and Labrador,Females,15 to 24 years,Non-Indigenous identity,10,66.6
2016,Newfoundland and Labrador,Females,25 to 64 years,Total,10,84.5
2016,Newfoundland and Labrador,Females,25 to 64 years,Non immigrants,10,84.2
2016,Newfoundland and Labrador,Females,25 to 64 years,Immigrants,10,93.0
2016,Newfoundland and Labrador,Females,25 to 64 years,Non-permanent residents,10,96.1
2016,Newfoundland and Labrador,Females,25 to 64 years,Total visible minority population,10,92.0
2016,Newfoundland and Labrador,Females,25 to 64 years,Not a visible minority,10,84.4
2016,Newfoundland and Labrador,Females,25 to 64 years,Indigenous identity,10,80.9
2016,Newfoundland and Labrador,Females,25 to 64 years,First Nations (North American Indian),10,81.7
2016,Newfoundland and Labrador,Females,25 to 64 years,Métis,10,84.6
2016,Newfoundland and Labrador,Females,25 to 64 years,Inuk (Inuit),10,75.3
2016,Newfoundland and Labrador,Females,25 to 64 years,Non-Indigenous identity,10,84.9
2016,Newfoundland and Labrador,Females,65 to 74 years,Total,10,61.6
2016,Newfoundland and Labrador,Females,65 to 74 years,Non immigrants,10,61.0
2016,Newfoundland and Labrador,Females,65 to 74 years,Immigrants,10,86.4
2016,Newfoundland and Labrador,Females,65 to 74 years,Non-permanent residents,10,0.0
2016,Newfoundland and Labrador,Females,65 to 74 years,Total visible minority population,10,62.9
2016,Newfoundland and Labrador,Females,65 to 74 years,Not a visible minority,10,61.6
2016,Newfoundland and Labrador,Females,65 to 74 years,Indigenous identity,10,51.7
2016,Newfoundland and Labrador,Females,65 to 74 years,First Nations (North American Indian),10,51.7
2016,Newfoundland and Labrador,Females,65 to 74 years,Métis,10,51.0
2016,Newfoundland and Labrador,Females,65 to 74 years,Inuk (Inuit),10,51.2
2016,Newfoundland and Labrador,Females,65 to 74 years,Non-Indigenous identity,10,62.2
2016,Newfoundland and Labrador,Females,75 years and over,Total,10,46.7
2016,Newfoundland and Labrador,Females,75 years and over,Non immigrants,10,46.0
2016,Newfoundland and Labrador,Females,75 years and over,Immigrants,10,74.1
2016,Newfoundland and Labrador,Females,75 years and over,Non-permanent residents,10,0.0
2016,Newfoundland and Labrador,Females,75 years and over,Total visible minority population,10,68.8
2016,Newfoundland and Labrador,Females,75 years and over,Not a visible minority,10,46.6
2016,Newfoundland and Labrador,Females,75 years and over,Indigenous identity,10,34.8
2016,Newfoundland and Labrador,Females,75 years and over,First Nations (North American Indian),10,37.9
2016,Newfoundland and Labrador,Females,75 years and over,Métis,10,14.3
2016,Newfoundland and Labrador,Females,75 years and over,Inuk (Inuit),10,36.8
2016,Newfoundland and Labrador,Females,75 years and over,Non-Indigenous identity,10,47.3
2016,Prince Edward Island,Total,Total,Total,11,78.5
2016,Prince Edward Island,Total,Total,Non immigrants,11,77.7
2016,Prince Edward Island,Total,Total,Immigrants,11,88.4
2016,Prince Edward Island,Total,Total,Non-permanent residents,11,87.8
2016,Prince Edward Island,Total,Total,Total visible minority population,11,84.8
2016,Prince Edward Island,Total,Total,Not a visible minority,11,78.2
2016,Prince Edward Island,Total,Total,Indigenous identity,11,73.5
2016,Prince Edward Island,Total,Total,First Nations (North American Indian),11,72.0
2016,Prince Edward Island,Total,Total,Métis,11,79.6
2016,Prince Edward Island,Total,Total,Inuk (Inuit),11,80.0
2016,Prince Edward Island,Total,Total,Non-Indigenous identity,11,78.6
2016,Prince Edward Island,Total,15 to 24 years,Total,11,66.3
2016,Prince Edward Island,Total,15 to 24 years,Non immigrants,11,66.3
2016,Prince Edward Island,Total,15 to 24 years,Immigrants,11,60.6
2016,Prince Edward Island,Total,15 to 24 years,Non-permanent residents,11,78.8
2016,Prince Edward Island,Total,15 to 24 years,Total visible minority population,11,65.4
2016,Prince Edward Island,Total,15 to 24 years,Not a visible minority,11,66.4
2016,Prince Edward Island,Total,15 to 24 years,Indigenous identity,11,64.8
2016,Prince Edward Island,Total,15 to 24 years,First Nations (North American Indian),11,62.0
2016,Prince Edward Island,Total,15 to 24 years,Métis,11,65.2
2016,Prince Edward Island,Total,15 to 24 years,Inuk (Inuit),11,0.0
2016,Prince Edward Island,Total,15 to 24 years,Non-Indigenous identity,11,66.4
2016,Prince Edward Island,Total,25 to 64 years,Total,11,86.1
2016,Prince Edward Island,Total,25 to 64 years,Non immigrants,11,85.4
2016,Prince Edward Island,Total,25 to 64 years,Immigrants,11,93.0
2016,Prince Edward Island,Total,25 to 64 years,Non-permanent residents,11,93.2
2016,Prince Edward Island,Total,25 to 64 years,Total visible minority population,11,91.1
2016,Prince Edward Island,Total,25 to 64 years,Not a visible minority,11,85.8
2016,Prince Edward Island,Total,25 to 64 years,Indigenous identity,11,79.6
2016,Prince Edward Island,Total,25 to 64 years,First Nations (North American Indian),11,76.7
2016,Prince Edward Island,Total,25 to 64 years,Métis,11,86.1
2016,Prince Edward Island,Total,25 to 64 years,Inuk (Inuit),11,85.7
2016,Prince Edward Island,Total,25 to 64 years,Non-Indigenous identity,11,86.2
2016,Prince Edward Island,Total,65 to 74 years,Total,11,70.0
2016,Prince Edward Island,Total,65 to 74 years,Non immigrants,11,68.5
2016,Prince Edward Island,Total,65 to 74 years,Immigrants,11,91.2
2016,Prince Edward Island,Total,65 to 74 years,Non-permanent residents,11,150.0
2016,Prince Edward Island,Total,65 to 74 years,Total visible minority population,11,87.1
2016,Prince Edward Island,Total,65 to 74 years,Not a visible minority,11,69.9
2016,Prince Edward Island,Total,65 to 74 years,Indigenous identity,11,61.5
2016,Prince Edward Island,Total,65 to 74 years,First Nations (North American Indian),11,66.7
2016,Prince Edward Island,Total,65 to 74 years,Métis,11,62.5
2016,Prince Edward Island,Total,65 to 74 years,Inuk (Inuit),11,0.0
2016,Prince Edward Island,Total,65 to 74 years,Non-Indigenous identity,11,70.1
2016,Prince Edward Island,Total,75 years and over,Total,11,55.7
2016,Prince Edward Island,Total,75 years and over,Non immigrants,11,53.8
2016,Prince Edward Island,Total,75 years and over,Immigrants,11,80.0
2016,Prince Edward Island,Total,75 years and over,Non-permanent residents,11,60.0
2016,Prince Edward Island,Total,75 years and over,Total visible minority population,11,61.5
2016,Prince Edward Island,Total,75 years and over,Not a visible minority,11,55.7
2016,Prince Edward Island,Total,75 years and over,Indigenous identity,11,28.6
2016,Prince Edward Island,Total,75 years and over,First Nations (North American Indian),11,0.0
2016,Prince Edward Island,Total,75 years and over,Métis,11,0.0
2016,Prince Edward Island,Total,75 years and over,Inuk (Inuit),11,0.0
2016,Prince Edward Island,Total,75 years and over,Non-Indigenous identity,11,55.8
2016,Prince Edward Island,Males,Total,Total,11,74.3
2016,Prince Edward Island,Males,Total,Non immigrants,11,73.1
2016,Prince Edward Island,Males,Total,Immigrants,11,88.8
2016,Prince Edward Island,Males,Total,Non-permanent residents,11,86.0
2016,Prince Edward Island,Males,Total,Total visible minority population,11,85.0
2016,Prince Edward Island,Males,Total,Not a visible minority,11,73.8
2016,Prince Edward Island,Males,Total,Indigenous identity,11,69.3
2016,Prince Edward Island,Males,Total,First Nations (North American Indian),11,66.9
2016,Prince Edward Island,Males,Total,Métis,11,74.5
2016,Prince Edward Island,Males,Total,Inuk (Inuit),11,100.0
2016,Prince Edward Island,Males,Total,Non-Indigenous identity,11,74.4
2016,Prince Edward Island,Males,15 to 24 years,Total,11,64.9
2016,Prince Edward Island,Males,15 to 24 years,Non immigrants,11,64.5
2016,Prince Edward Island,Males,15 to 24 years,Immigrants,11,64.6
2016,Prince Edward Island,Males,15 to 24 years,Non-permanent residents,11,80.0
2016,Prince Edward Island,Males,15 to 24 years,Total visible minority population,11,66.7
2016,Prince Edward Island,Males,15 to 24 years,Not a visible minority,11,64.7
2016,Prince Edward Island,Males,15 to 24 years,Indigenous identity,11,61.8
2016,Prince Edward Island,Males,15 to 24 years,First Nations (North American Indian),11,61.0
2016,Prince Edward Island,Males,15 to 24 years,Métis,11,64.3
2016,Prince Edward Island,Males,15 to 24 years,Inuk (Inuit),11,0.0
2016,Prince Edward Island,Males,15 to 24 years,Non-Indigenous identity,11,65.0
2016,Prince Edward Island,Males,25 to 64 years,Total,11,81.6
