Year,Geography,Geographic location,Selected census metropolitan areas,Tenure,Select housing-vulnerable populations,GeoCode,Value
2018,Quebec,Large urban population centres,,Owner who is not a first-time homebuyer,,,1.6
2018,Quebec,Large urban population centres,,Renter,,,16.0
2018,Quebec,Large urban population centres,,Renter not in social and affordable housing,,,15.9
2018,Quebec,Large urban population centres,,Renter in social and affordable housing,,,16.6
2018,Quebec,Medium population centres,,"Total, tenure",,,8.5
2018,Quebec,Medium population centres,,Owner,,,1.5
2018,Quebec,Medium population centres,,Owner who is a first-time homebuyer,,,
2018,Quebec,Medium population centres,,Owner who is not a first-time homebuyer,,,1.6
2018,Quebec,Medium population centres,,Renter,,,19.1
2018,Quebec,Medium population centres,,Renter not in social and affordable housing,,,19.5
2018,Quebec,Medium population centres,,Renter in social and affordable housing,,,14.8
2018,Quebec,Small population centres,,"Total, tenure",,,4.3
2018,Quebec,Small population centres,,Owner,,,0.6
2018,Quebec,Small population centres,,Owner who is a first-time homebuyer,,,
2018,Quebec,Small population centres,,Owner who is not a first-time homebuyer,,,0.7
2018,Quebec,Small population centres,,Renter,,,11.2
2018,Quebec,Small population centres,,Renter not in social and affordable housing,,,10.6
2018,Quebec,Small population centres,,Renter in social and affordable housing,,,14.8
2018,Quebec,Rural areas,,"Total, tenure",,,5.2
2018,Quebec,Rural areas,,Owner,,,3.7
2018,Quebec,Rural areas,,Owner who is a first-time homebuyer,,,3.4
2018,Quebec,Rural areas,,Owner who is not a first-time homebuyer,,,3.7
2018,Quebec,Rural areas,,Renter,,,15.0
2018,Quebec,Rural areas,,Renter not in social and affordable housing,,,15.3
2018,Quebec,Rural areas,,Renter in social and affordable housing,,,12.7
2018,Ontario,Total,,"Total, tenure",,35,13.4
2018,Ontario,Total,,Owner,,35,7.9
2018,Ontario,Total,,Owner who is a first-time homebuyer,,35,8.2
2018,Ontario,Total,,Owner who is not a first-time homebuyer,,35,7.9
2018,Ontario,Total,,Renter,,35,26.0
2018,Ontario,Total,,Renter not in social and affordable housing,,35,26.0
2018,Ontario,Total,,Renter in social and affordable housing,,35,30.0
2018,Ontario,Large urban population centres,,"Total, tenure",,,15.3
2018,Ontario,Large urban population centres,,Owner,,,9.5
2018,Ontario,Large urban population centres,,Owner who is a first-time homebuyer,,,10.2
2018,Ontario,Large urban population centres,,Owner who is not a first-time homebuyer,,,9.4
2018,Ontario,Large urban population centres,,Renter,,,27.0
2018,Ontario,Large urban population centres,,Renter not in social and affordable housing,,,26.0
2018,Ontario,Large urban population centres,,Renter in social and affordable housing,,,31.0
2018,Ontario,Medium population centres,,"Total, tenure",,,9.4
2018,Ontario,Medium population centres,,Owner,,,4.7
2018,Ontario,Medium population centres,,Owner who is a first-time homebuyer,,,
2018,Ontario,Medium population centres,,Owner who is not a first-time homebuyer,,,5.2
2018,Ontario,Medium population centres,,Renter,,,19.4
2018,Ontario,Medium population centres,,Renter not in social and affordable housing,,,18.6
2018,Ontario,Medium population centres,,Renter in social and affordable housing,,,24.0
2018,Ontario,Small population centres,,"Total, tenure",,,11.8
2018,Ontario,Small population centres,,Owner,,,4.5
2018,Ontario,Small population centres,,Owner who is a first-time homebuyer,,,6.2
2018,Ontario,Small population centres,,Owner who is not a first-time homebuyer,,,4.3
2018,Ontario,Small population centres,,Renter,,,32.0
2018,Ontario,Small population centres,,Renter not in social and affordable housing,,,32.0
2018,Ontario,Small population centres,,Renter in social and affordable housing,,,29.0
2018,Ontario,Rural areas,,"Total, tenure",,,6.8
2018,Ontario,Rural areas,,Owner,,,5.3
2018,Ontario,Rural areas,,Owner who is a first-time homebuyer,,,1.1
2018,Ontario,Rural areas,,Owner who is not a first-time homebuyer,,,5.7
2018,Ontario,Rural areas,,Renter,,,17.9
2018,Ontario,Rural areas,,Renter not in social and affordable housing,,,17.1
2018,Ontario,Rural areas,,Renter in social and affordable housing,,,27.0
2018,Manitoba,Total,,"Total, tenure",,46,10.9
2018,Manitoba,Total,,Owner,,46,5.4
2018,Manitoba,Total,,Owner who is a first-time homebuyer,,46,6.1
2018,Manitoba,Total,,Owner who is not a first-time homebuyer,,46,5.3
2018,Manitoba,Total,,Renter,,46,24.0
2018,Manitoba,Total,,Renter not in social and affordable housing,,46,21.0
2018,Manitoba,Total,,Renter in social and affordable housing,,46,39.0
2018,Manitoba,Large urban population centres,,"Total, tenure",,,12.1
2018,Manitoba,Large urban population centres,,Owner,,,5.2
2018,Manitoba,Large urban population centres,,Owner who is a first-time homebuyer,,,9.1
2018,Manitoba,Large urban population centres,,Owner who is not a first-time homebuyer,,,4.6
2018,Manitoba,Large urban population centres,,Renter,,,26.0
2018,Manitoba,Large urban population centres,,Renter not in social and affordable housing,,,22.0
2018,Manitoba,Large urban population centres,,Renter in social and affordable housing,,,44.0
2018,Manitoba,Medium population centres,,"Total, tenure",,,8.1
2018,Manitoba,Medium population centres,,Owner,,,2.6
2018,Manitoba,Medium population centres,,Owner who is a first-time homebuyer,,,3.7
2018,Manitoba,Medium population centres,,Owner who is not a first-time homebuyer,,,2.3
2018,Manitoba,Medium population centres,,Renter,,,18.9
2018,Manitoba,Medium population centres,,Renter not in social and affordable housing,,,13.0
2018,Manitoba,Medium population centres,,Renter in social and affordable housing,,,38.0
2018,Manitoba,Small population centres,,"Total, tenure",,,8.7
2018,Manitoba,Small population centres,,Owner,,,4.2
2018,Manitoba,Small population centres,,Owner who is a first-time homebuyer,,,
2018,Manitoba,Small population centres,,Owner who is not a first-time homebuyer,,,4.8
2018,Manitoba,Small population centres,,Renter,,,19.7
2018,Manitoba,Small population centres,,Renter not in social and affordable housing,,,16.6
2018,Manitoba,Small population centres,,Renter in social and affordable housing,,,32.0
2018,Manitoba,Rural areas,,"Total, tenure",,,9.7
2018,Manitoba,Rural areas,,Owner,,,7.5
2018,Manitoba,Rural areas,,Owner who is a first-time homebuyer,,,
2018,Manitoba,Rural areas,,Owner who is not a first-time homebuyer,,,8.0
2018,Manitoba,Rural areas,,Renter,,,25.0
2018,Manitoba,Rural areas,,Renter not in social and affordable housing,,,27.0
2018,Manitoba,Rural areas,,Renter in social and affordable housing,,,22.0
2018,Saskatchewan,Total,,"Total, tenure",,47,11.7
2018,Saskatchewan,Total,,Owner,,47,6.5
2018,Saskatchewan,Total,,Owner who is a first-time homebuyer,,47,7.1
2018,Saskatchewan,Total,,Owner who is not a first-time homebuyer,,47,6.4
2018,Saskatchewan,Total,,Renter,,47,27.0
2018,Saskatchewan,Total,,Renter not in social and affordable housing,,47,19.8
2018,Saskatchewan,Total,,Renter in social and affordable housing,,47,51.0
2018,Saskatchewan,Large urban population centres,,"Total, tenure",,,11.1
2018,Saskatchewan,Large urban population centres,,Owner,,,4.4
2018,Saskatchewan,Large urban population centres,,Owner who is a first-time homebuyer,,,6.3
2018,Saskatchewan,Large urban population centres,,Owner who is not a first-time homebuyer,,,4.0
2018,Saskatchewan,Large urban population centres,,Renter,,,26.0
2018,Saskatchewan,Large urban population centres,,Renter not in social and affordable housing,,,20.0
2018,Saskatchewan,Large urban population centres,,Renter in social and affordable housing,,,53.0
2018,Saskatchewan,Medium population centres,,"Total, tenure",,,12.2
2018,Saskatchewan,Medium population centres,,Owner,,,4.6
2018,Saskatchewan,Medium population centres,,Owner who is a first-time homebuyer,,,4.7
2018,Saskatchewan,Medium population centres,,Owner who is not a first-time homebuyer,,,4.6
2018,Saskatchewan,Medium population centres,,Renter,,,29.0
2018,Saskatchewan,Medium population centres,,Renter not in social and affordable housing,,,23.0
2018,Saskatchewan,Medium population centres,,Renter in social and affordable housing,,,43.0
2018,Saskatchewan,Small population centres,,"Total, tenure",,,10.7
2018,Saskatchewan,Small population centres,,Owner,,,5.9
2018,Saskatchewan,Small population centres,,Owner who is a first-time homebuyer,,,11.0
2018,Saskatchewan,Small population centres,,Owner who is not a first-time homebuyer,,,5.1
2018,Saskatchewan,Small population centres,,Renter,,,27.0
2018,Saskatchewan,Small population centres,,Renter not in social and affordable housing,,,18.3
2018,Saskatchewan,Small population centres,,Renter in social and affordable housing,,,49.0
2018,Saskatchewan,Rural areas,,"Total, tenure",,,13.9
2018,Saskatchewan,Rural areas,,Owner,,,11.5
2018,Saskatchewan,Rural areas,,Owner who is a first-time homebuyer,,,6.3
2018,Saskatchewan,Rural areas,,Owner who is not a first-time homebuyer,,,12.0
2018,Saskatchewan,Rural areas,,Renter,,,32.0
2018,Saskatchewan,Rural areas,,Renter not in social and affordable housing,,,17.2
2018,Saskatchewan,Rural areas,,Renter in social and affordable housing,,,53.0
2018,Alberta,Total,,"Total, tenure",,48,10.2
2018,Alberta,Total,,Owner,,48,6.6
2018,Alberta,Total,,Owner who is a first-time homebuyer,,48,4.7
2018,Alberta,Total,,Owner who is not a first-time homebuyer,,48,6.9
2018,Alberta,Total,,Renter,,48,20.0
2018,Alberta,Total,,Renter not in social and affordable housing,,48,17.5
2018,Alberta,Total,,Renter in social and affordable housing,,48,45.0
2018,Alberta,Large urban population centres,,"Total, tenure",,,11.0
2018,Alberta,Large urban population centres,,Owner,,,6.5
2018,Alberta,Large urban population centres,,Owner who is a first-time homebuyer,,,5.2
2018,Alberta,Large urban population centres,,Owner who is not a first-time homebuyer,,,6.7
2018,Alberta,Large urban population centres,,Renter,,,22.0
2018,Alberta,Large urban population centres,,Renter not in social and affordable housing,,,18.6
2018,Alberta,Large urban population centres,,Renter in social and affordable housing,,,49.0
2018,Alberta,Medium population centres,,"Total, tenure",,,9.0
2018,Alberta,Medium population centres,,Owner,,,5.1
2018,Alberta,Medium population centres,,Owner who is a first-time homebuyer,,,5.1
2018,Alberta,Medium population centres,,Owner who is not a first-time homebuyer,,,5.1
2018,Alberta,Medium population centres,,Renter,,,19.4
2018,Alberta,Medium population centres,,Renter not in social and affordable housing,,,17.7
2018,Alberta,Medium population centres,,Renter in social and affordable housing,,,38.0
2018,Alberta,Small population centres,,"Total, tenure",,,7.4
2018,Alberta,Small population centres,,Owner,,,4.6
2018,Alberta,Small population centres,,Owner who is a first-time homebuyer,,,2.5
2018,Alberta,Small population centres,,Owner who is not a first-time homebuyer,,,5.1
2018,Alberta,Small population centres,,Renter,,,16.2
2018,Alberta,Small population centres,,Renter not in social and affordable housing,,,12.9
2018,Alberta,Small population centres,,Renter in social and affordable housing,,,37.0
2018,Alberta,Rural areas,,"Total, tenure",,,11.6
2018,Alberta,Rural areas,,Owner,,,11.1
2018,Alberta,Rural areas,,Owner who is a first-time homebuyer,,,4.9
2018,Alberta,Rural areas,,Owner who is not a first-time homebuyer,,,11.6
2018,Alberta,Rural areas,,Renter,,,16.7
2018,Alberta,Rural areas,,Renter not in social and affordable housing,,,14.7
2018,Alberta,Rural areas,,Renter in social and affordable housing,,,31.0
2018,British Columbia,Total,,"Total, tenure",,59,14.8
2018,British Columbia,Total,,Owner,,59,8.7
2018,British Columbia,Total,,Owner who is a first-time homebuyer,,59,12.1
2018,British Columbia,Total,,Owner who is not a first-time homebuyer,,59,8.2
2018,British Columbia,Total,,Renter,,59,27.0
2018,British Columbia,Total,,Renter not in social and affordable housing,,59,25.0
2018,British Columbia,Total,,Renter in social and affordable housing,,59,46.0
2018,British Columbia,Large urban population centres,,"Total, tenure",,,16.8
2018,British Columbia,Large urban population centres,,Owner,,,10.3
2018,British Columbia,Large urban population centres,,Owner who is a first-time homebuyer,,,16.7
2018,British Columbia,Large urban population centres,,Owner who is not a first-time homebuyer,,,9.2
2018,British Columbia,Large urban population centres,,Renter,,,28.0
2018,British Columbia,Large urban population centres,,Renter not in social and affordable housing,,,25.0
2018,British Columbia,Large urban population centres,,Renter in social and affordable housing,,,47.0
2018,British Columbia,Medium population centres,,"Total, tenure",,,12.4
2018,British Columbia,Medium population centres,,Owner,,,5.7
2018,British Columbia,Medium population centres,,Owner who is a first-time homebuyer,,,
2018,British Columbia,Medium population centres,,Owner who is not a first-time homebuyer,,,6.7
2018,British Columbia,Medium population centres,,Renter,,,29.0
2018,British Columbia,Medium population centres,,Renter not in social and affordable housing,,,27.0
2018,British Columbia,Medium population centres,,Renter in social and affordable housing,,,49.0
2018,British Columbia,Small population centres,,"Total, tenure",,,10.0
2018,British Columbia,Small population centres,,Owner,,,3.9
2018,British Columbia,Small population centres,,Owner who is a first-time homebuyer,,,
2018,British Columbia,Small population centres,,Owner who is not a first-time homebuyer,,,4.3
2018,British Columbia,Small population centres,,Renter,,,25.0
2018,British Columbia,Small population centres,,Renter not in social and affordable housing,,,22.0
2018,British Columbia,Small population centres,,Renter in social and affordable housing,,,42.0
2018,British Columbia,Rural areas,,"Total, tenure",,,10.7
2018,British Columbia,Rural areas,,Owner,,,8.8
2018,British Columbia,Rural areas,,Owner who is a first-time homebuyer,,,8.1
2018,British Columbia,Rural areas,,Owner who is not a first-time homebuyer,,,8.9
2018,British Columbia,Rural areas,,Renter,,,20.0
2018,British Columbia,Rural areas,,Renter not in social and affordable housing,,,18.5
2018,British Columbia,Rural areas,,Renter in social and affordable housing,,,45.0
2018,,,"Total, census metropolitan areas","Total, tenure",,,12.2
2018,,,"Total, census metropolitan areas",Owner,,,6.6
2018,,,"Total, census metropolitan areas",Owner who is a first-time homebuyer,,,7.4
2018,,,"Total, census metropolitan areas",Owner who is not a first-time homebuyer,,,6.5
2018,,,"Total, census metropolitan areas",Renter,,,23.0
2018,,,"Total, census metropolitan areas",Renter not in social and affordable housing,,,22.0
2018,,,"Total, census metropolitan areas",Renter in social and affordable housing,,,32.0
2018,,,"St. John's, Newfoundland and Labrador","Total, tenure",,1,9.4
2018,,,"St. John's, Newfoundland and Labrador",Owner,,1,3.4
2018,,,"St. John's, Newfoundland and Labrador",Owner who is a first-time homebuyer,,1,
2018,,,"St. John's, Newfoundland and Labrador",Owner who is not a first-time homebuyer,,1,3.9
2018,,,"St. John's, Newfoundland and Labrador",Renter,,1,26.0
2018,,,"St. John's, Newfoundland and Labrador",Renter not in social and affordable housing,,1,23.0
2018,,,"St. John's, Newfoundland and Labrador",Renter in social and affordable housing,,1,38.0
2018,,,"Halifax, Nova Scotia","Total, tenure",,205,12.3
2018,,,"Halifax, Nova Scotia",Owner,,205,4.6
2018,,,"Halifax, Nova Scotia",Owner who is a first-time homebuyer,,205,3.3
2018,,,"Halifax, Nova Scotia",Owner who is not a first-time homebuyer,,205,4.8
2018,,,"Halifax, Nova Scotia",Renter,,205,25.0
2018,,,"Halifax, Nova Scotia",Renter not in social and affordable housing,,205,23.0
2018,,,"Halifax, Nova Scotia",Renter in social and affordable housing,,205,44.0
2018,,,"Moncton, New Brunswick","Total, tenure",,305,8.5
2018,,,"Moncton, New Brunswick",Owner,,305,3.5
2018,,,"Moncton, New Brunswick",Owner who is a first-time homebuyer,,305,
2018,,,"Moncton, New Brunswick",Owner who is not a first-time homebuyer,,305,4.2
2018,,,"Moncton, New Brunswick",Renter,,305,20.0
2018,,,"Moncton, New Brunswick",Renter not in social and affordable housing,,305,18.5
2018,,,"Moncton, New Brunswick",Renter in social and affordable housing,,305,31.0
2018,,,"Québec, Quebec","Total, tenure",,421,5.2
2018,,,"Québec, Quebec",Owner,,421,1.2
2018,,,"Québec, Quebec",Owner who is a first-time homebuyer,,421,
2018,,,"Québec, Quebec",Owner who is not a first-time homebuyer,,421,1.2
2018,,,"Québec, Quebec",Renter,,421,11.6
2018,,,"Québec, Quebec",Renter not in social and affordable housing,,421,11.0
2018,,,"Québec, Quebec",Renter in social and affordable housing,,421,16.5
2018,,,"Montréal, Quebec","Total, tenure",,462,9.1
2018,,,"Montréal, Quebec",Owner,,462,2.0
2018,,,"Montréal, Quebec",Owner who is a first-time homebuyer,,462,
2018,,,"Montréal, Quebec",Owner who is not a first-time homebuyer,,462,2.1
2018,,,"Montréal, Quebec",Renter,,462,18.3
2018,,,"Montréal, Quebec",Renter not in social and affordable housing,,462,18.4
2018,,,"Montréal, Quebec",Renter in social and affordable housing,,462,17.2
2018,,,"Ottawa-Gatineau, Ontario/Quebec","Total, tenure",,505,8.4
2018,,,"Ottawa-Gatineau, Ontario/Quebec",Owner,,505,3.0
2018,,,"Ottawa-Gatineau, Ontario/Quebec",Owner who is a first-time homebuyer,,505,6.9
2018,,,"Ottawa-Gatineau, Ontario/Quebec",Owner who is not a first-time homebuyer,,505,2.4
2018,,,"Ottawa-Gatineau, Ontario/Quebec",Renter,,505,19.4
2018,,,"Ottawa-Gatineau, Ontario/Quebec",Renter not in social and affordable housing,,505,18.1
2018,,,"Ottawa-Gatineau, Ontario/Quebec",Renter in social and affordable housing,,505,27.0
2018,,,"Toronto, Ontario","Total, tenure",,535,18.2
2018,,,"Toronto, Ontario",Owner,,535,12.8
2018,,,"Toronto, Ontario",Owner who is a first-time homebuyer,,535,14.0
2018,,,"Toronto, Ontario",Owner who is not a first-time homebuyer,,535,12.7
2018,,,"Toronto, Ontario",Renter,,535,30.0
2018,,,"Toronto, Ontario",Renter not in social and affordable housing,,535,29.0
2018,,,"Toronto, Ontario",Renter in social and affordable housing,,535,33.0
2018,,,"Hamilton, Ontario","Total, tenure",,537,10.8
2018,,,"Hamilton, Ontario",Owner,,537,3.5
2018,,,"Hamilton, Ontario",Owner who is a first-time homebuyer,,537,3.4
2018,,,"Hamilton, Ontario",Owner who is not a first-time homebuyer,,537,3.5
2018,,,"Hamilton, Ontario",Renter,,537,29.0
2018,,,"Hamilton, Ontario",Renter not in social and affordable housing,,537,29.0
2018,,,"Hamilton, Ontario",Renter in social and affordable housing,,537,33.0
2018,,,"Kitchener-Cambridge-Waterloo, Ontario","Total, tenure",,541,9.3
2018,,,"Kitchener-Cambridge-Waterloo, Ontario",Owner,,541,4.8
2018,,,"Kitchener-Cambridge-Waterloo, Ontario",Owner who is a first-time homebuyer,,541,2.8
2018,,,"Kitchener-Cambridge-Waterloo, Ontario",Owner who is not a first-time homebuyer,,541,5.1
2018,,,"Kitchener-Cambridge-Waterloo, Ontario",Renter,,541,19.0
2018,,,"Kitchener-Cambridge-Waterloo, Ontario",Renter not in social and affordable housing,,541,18.3
