Year,data.Geography,data.Sex,data.Age group,GeoCode,Value
2022,data.Canada,data.Total,data.55 years and over,,22.52
2022,data.Canada,data.Male,data.Total,,20.68
2022,data.Canada,data.Male,data.15 to 24 years,,63.32
2022,data.Canada,data.Male,data.25 to 54 years,,12.04
2022,data.Canada,data.Male,data.55 years and over,,17.41
2022,data.Canada,data.Female,data.Total,,29.15
2022,data.Canada,data.Female,data.15 to 24 years,,70.59
2022,data.Canada,data.Female,data.25 to 54 years,,19.88
2022,data.Canada,data.Female,data.55 years and over,,27.98
2015,data.Manitoba,data.Total,data.Total,46,34.01
2016,data.Manitoba,data.Total,data.Total,46,32.4
2017,data.Manitoba,data.Total,data.Total,46,32.19
2018,data.Manitoba,data.Total,data.Total,46,34.22
2019,data.Manitoba,data.Total,data.Total,46,33.79
2020,data.Manitoba,data.Total,data.Total,46,34.37
2021,data.Manitoba,data.Total,data.Total,46,35.63
2022,data.Manitoba,data.Total,data.Total,46,33.97
2015,data.New Brunswick,data.Total,data.Total,13,40.61
2016,data.New Brunswick,data.Total,data.Total,13,38.56
2017,data.New Brunswick,data.Total,data.Total,13,38.21
2018,data.New Brunswick,data.Total,data.Total,13,39.1
2019,data.New Brunswick,data.Total,data.Total,13,38.28
2020,data.New Brunswick,data.Total,data.Total,13,40.05
2021,data.New Brunswick,data.Total,data.Total,13,38.51
2022,data.New Brunswick,data.Total,data.Total,13,35.16
2015,data.Newfoundland and Labrador,data.Total,data.Total,10,36.33
2016,data.Newfoundland and Labrador,data.Total,data.Total,10,36.5
2017,data.Newfoundland and Labrador,data.Total,data.Total,10,34.14
2018,data.Newfoundland and Labrador,data.Total,data.Total,10,34.31
2019,data.Newfoundland and Labrador,data.Total,data.Total,10,33.86
2020,data.Newfoundland and Labrador,data.Total,data.Total,10,35.88
2021,data.Newfoundland and Labrador,data.Total,data.Total,10,32.95
2022,data.Newfoundland and Labrador,data.Total,data.Total,10,32.56
2015,data.Northwest Territories,data.Total,data.Total,61,12.38
2016,data.Northwest Territories,data.Total,data.Total,61,11.05
2017,data.Northwest Territories,data.Total,data.Total,61,9.92
2018,data.Northwest Territories,data.Total,data.Total,61,12.67
2019,data.Northwest Territories,data.Total,data.Total,61,12.2
2020,data.Northwest Territories,data.Total,data.Total,61,11.72
2021,data.Northwest Territories,data.Total,data.Total,61,12.52
2022,data.Northwest Territories,data.Total,data.Total,61,12.6
2015,data.Nova Scotia,data.Total,data.Total,12,38.65
2016,data.Nova Scotia,data.Total,data.Total,12,36.75
2017,data.Nova Scotia,data.Total,data.Total,12,35.94
2018,data.Nova Scotia,data.Total,data.Total,12,38.09
2019,data.Nova Scotia,data.Total,data.Total,12,37.88
2020,data.Nova Scotia,data.Total,data.Total,12,37.72
2021,data.Nova Scotia,data.Total,data.Total,12,38.26
2022,data.Nova Scotia,data.Total,data.Total,12,35.36
2015,data.Nunavut,data.Total,data.Total,62,15.64
2016,data.Nunavut,data.Total,data.Total,62,15.97
2017,data.Nunavut,data.Total,data.Total,62,15.18
2018,data.Nunavut,data.Total,data.Total,62,15.03
2019,data.Nunavut,data.Total,data.Total,62,14.15
2020,data.Nunavut,data.Total,data.Total,62,17.62
2021,data.Nunavut,data.Total,data.Total,62,11.68
2022,data.Nunavut,data.Total,data.Total,62,13.92
2015,data.Ontario,data.Total,data.Total,35,31.78
2016,data.Ontario,data.Total,data.Total,35,30.69
2017,data.Ontario,data.Total,data.Total,35,30.69
2018,data.Ontario,data.Total,data.Total,35,29.46
2019,data.Ontario,data.Total,data.Total,35,27.95
2020,data.Ontario,data.Total,data.Total,35,26.78
2021,data.Ontario,data.Total,data.Total,35,27.7
2022,data.Ontario,data.Total,data.Total,35,25.24
2015,data.Prince Edward Island,data.Total,data.Total,11,41.83
2016,data.Prince Edward Island,data.Total,data.Total,11,41.03
2017,data.Prince Edward Island,data.Total,data.Total,11,39.31
2018,data.Prince Edward Island,data.Total,data.Total,11,41.09
2019,data.Prince Edward Island,data.Total,data.Total,11,40.66
2020,data.Prince Edward Island,data.Total,data.Total,11,38.99
2021,data.Prince Edward Island,data.Total,data.Total,11,39.66
2022,data.Prince Edward Island,data.Total,data.Total,11,36.33
2015,data.Quebec,data.Total,data.Total,24,32.16
2016,data.Quebec,data.Total,data.Total,24,30.52
2017,data.Quebec,data.Total,data.Total,24,28.82
2018,data.Quebec,data.Total,data.Total,24,29.83
2019,data.Quebec,data.Total,data.Total,24,28.14
2020,data.Quebec,data.Total,data.Total,24,26.43
2021,data.Quebec,data.Total,data.Total,24,26.37
2022,data.Quebec,data.Total,data.Total,24,22.94
2015,data.Saskatchewan,data.Total,data.Total,47,25.37
2016,data.Saskatchewan,data.Total,data.Total,47,24.2
2017,data.Saskatchewan,data.Total,data.Total,47,24.11
2018,data.Saskatchewan,data.Total,data.Total,47,25.71
2019,data.Saskatchewan,data.Total,data.Total,47,26.44
2020,data.Saskatchewan,data.Total,data.Total,47,26.18
2021,data.Saskatchewan,data.Total,data.Total,47,27.44
2022,data.Saskatchewan,data.Total,data.Total,47,26.83
2015,data.Yukon,data.Total,data.Total,60,15.36
2016,data.Yukon,data.Total,data.Total,60,16.0
2017,data.Yukon,data.Total,data.Total,60,16.65
2018,data.Yukon,data.Total,data.Total,60,14.53
2019,data.Yukon,data.Total,data.Total,60,15.27
2020,data.Yukon,data.Total,data.Total,60,16.03
2021,data.Yukon,data.Total,data.Total,60,14.18
2022,data.Yukon,data.Total,data.Total,60,11.45
