Year,data.Geography,data.Age group,data.Sex,Value
2019,data.Newfoundland and Labrador,data.65 years and over,data.Females,
2015,data.Prince Edward Island,"data.Total, 12 years and over",data.Both sexes,27.2
2016,data.Prince Edward Island,"data.Total, 12 years and over",data.Both sexes,30.3
2017,data.Prince Edward Island,"data.Total, 12 years and over",data.Both sexes,25.9
2018,data.Prince Edward Island,"data.Total, 12 years and over",data.Both sexes,
2019,data.Prince Edward Island,"data.Total, 12 years and over",data.Both sexes,21.0
2015,data.Prince Edward Island,"data.Total, 12 years and over",data.Males,21.2
2016,data.Prince Edward Island,"data.Total, 12 years and over",data.Males,25.8
2017,data.Prince Edward Island,"data.Total, 12 years and over",data.Males,17.0
2018,data.Prince Edward Island,"data.Total, 12 years and over",data.Males,
2019,data.Prince Edward Island,"data.Total, 12 years and over",data.Males,16.5
2015,data.Prince Edward Island,"data.Total, 12 years and over",data.Females,32.8
2016,data.Prince Edward Island,"data.Total, 12 years and over",data.Females,34.4
2017,data.Prince Edward Island,"data.Total, 12 years and over",data.Females,34.3
2018,data.Prince Edward Island,"data.Total, 12 years and over",data.Females,
2019,data.Prince Edward Island,"data.Total, 12 years and over",data.Females,25.2
2015,data.Prince Edward Island,data.12 to 17 years,data.Both sexes,25.6
2016,data.Prince Edward Island,data.12 to 17 years,data.Both sexes,30.6
2017,data.Prince Edward Island,data.12 to 17 years,data.Both sexes,22.6
2018,data.Prince Edward Island,data.12 to 17 years,data.Both sexes,
2019,data.Prince Edward Island,data.12 to 17 years,data.Both sexes,20.2
2015,data.Prince Edward Island,data.12 to 17 years,data.Males,22.6
2016,data.Prince Edward Island,data.12 to 17 years,data.Males,21.5
2017,data.Prince Edward Island,data.12 to 17 years,data.Males,
2018,data.Prince Edward Island,data.12 to 17 years,data.Males,
2019,data.Prince Edward Island,data.12 to 17 years,data.Males,
2015,data.Prince Edward Island,data.12 to 17 years,data.Females,28.6
2016,data.Prince Edward Island,data.12 to 17 years,data.Females,39.5
2017,data.Prince Edward Island,data.12 to 17 years,data.Females,28.3
2018,data.Prince Edward Island,data.12 to 17 years,data.Females,
2019,data.Prince Edward Island,data.12 to 17 years,data.Females,
2015,data.Prince Edward Island,data.18 to 34 years,data.Both sexes,29.2
2016,data.Prince Edward Island,data.18 to 34 years,data.Both sexes,30.0
2017,data.Prince Edward Island,data.18 to 34 years,data.Both sexes,28.3
2018,data.Prince Edward Island,data.18 to 34 years,data.Both sexes,
2019,data.Prince Edward Island,data.18 to 34 years,data.Both sexes,24.1
2015,data.Prince Edward Island,data.18 to 34 years,data.Males,24.5
2016,data.Prince Edward Island,data.18 to 34 years,data.Males,30.5
2017,data.Prince Edward Island,data.18 to 34 years,data.Males,18.8
2018,data.Prince Edward Island,data.18 to 34 years,data.Males,
2019,data.Prince Edward Island,data.18 to 34 years,data.Males,19.4
2015,data.Prince Edward Island,data.18 to 34 years,data.Females,33.7
2016,data.Prince Edward Island,data.18 to 34 years,data.Females,29.5
2017,data.Prince Edward Island,data.18 to 34 years,data.Females,36.9
2018,data.Prince Edward Island,data.18 to 34 years,data.Females,
2019,data.Prince Edward Island,data.18 to 34 years,data.Females,29.3
2015,data.Prince Edward Island,data.35 to 49 years,data.Both sexes,30.2
2016,data.Prince Edward Island,data.35 to 49 years,data.Both sexes,30.1
2017,data.Prince Edward Island,data.35 to 49 years,data.Both sexes,33.1
2018,data.Prince Edward Island,data.35 to 49 years,data.Both sexes,
2019,data.Prince Edward Island,data.35 to 49 years,data.Both sexes,19.9
2015,data.Prince Edward Island,data.35 to 49 years,data.Males,21.2
2016,data.Prince Edward Island,data.35 to 49 years,data.Males,29.1
2017,data.Prince Edward Island,data.35 to 49 years,data.Males,22.7
2018,data.Prince Edward Island,data.35 to 49 years,data.Males,
2019,data.Prince Edward Island,data.35 to 49 years,data.Males,
2015,data.Prince Edward Island,data.35 to 49 years,data.Females,38.7
2016,data.Prince Edward Island,data.35 to 49 years,data.Females,31.0
2017,data.Prince Edward Island,data.35 to 49 years,data.Females,43.0
2018,data.Prince Edward Island,data.35 to 49 years,data.Females,
2019,data.Prince Edward Island,data.35 to 49 years,data.Females,29.7
2015,data.Prince Edward Island,data.50 to 64 years,data.Both sexes,23.0
2016,data.Prince Edward Island,data.50 to 64 years,data.Both sexes,35.0
2017,data.Prince Edward Island,data.50 to 64 years,data.Both sexes,23.2
2018,data.Prince Edward Island,data.50 to 64 years,data.Both sexes,
2019,data.Prince Edward Island,data.50 to 64 years,data.Both sexes,18.6
2015,data.Prince Edward Island,data.50 to 64 years,data.Males,19.4
2016,data.Prince Edward Island,data.50 to 64 years,data.Males,23.0
2017,data.Prince Edward Island,data.50 to 64 years,data.Males,15.5
2018,data.Prince Edward Island,data.50 to 64 years,data.Males,
2019,data.Prince Edward Island,data.50 to 64 years,data.Males,19.5
2015,data.Prince Edward Island,data.50 to 64 years,data.Females,26.6
2016,data.Prince Edward Island,data.50 to 64 years,data.Females,45.5
2017,data.Prince Edward Island,data.50 to 64 years,data.Females,30.6
2018,data.Prince Edward Island,data.50 to 64 years,data.Females,
2019,data.Prince Edward Island,data.50 to 64 years,data.Females,17.7
2015,data.Prince Edward Island,data.65 years and over,data.Both sexes,27.5
2016,data.Prince Edward Island,data.65 years and over,data.Both sexes,24.7
2017,data.Prince Edward Island,data.65 years and over,data.Both sexes,19.8
2018,data.Prince Edward Island,data.65 years and over,data.Both sexes,
2019,data.Prince Edward Island,data.65 years and over,data.Both sexes,21.6
2015,data.Prince Edward Island,data.65 years and over,data.Males,18.8
2016,data.Prince Edward Island,data.65 years and over,data.Males,21.3
2017,data.Prince Edward Island,data.65 years and over,data.Males,10.0
2018,data.Prince Edward Island,data.65 years and over,data.Males,
2019,data.Prince Edward Island,data.65 years and over,data.Males,14.6
2015,data.Prince Edward Island,data.65 years and over,data.Females,34.6
2016,data.Prince Edward Island,data.65 years and over,data.Females,27.4
2017,data.Prince Edward Island,data.65 years and over,data.Females,28.3
2018,data.Prince Edward Island,data.65 years and over,data.Females,
2019,data.Prince Edward Island,data.65 years and over,data.Females,27.2
2015,data.Nova Scotia,"data.Total, 12 years and over",data.Both sexes,25.3
2016,data.Nova Scotia,"data.Total, 12 years and over",data.Both sexes,22.9
2017,data.Nova Scotia,"data.Total, 12 years and over",data.Both sexes,25.5
2018,data.Nova Scotia,"data.Total, 12 years and over",data.Both sexes,
2019,data.Nova Scotia,"data.Total, 12 years and over",data.Both sexes,23.2
2015,data.Nova Scotia,"data.Total, 12 years and over",data.Males,17.2
2016,data.Nova Scotia,"data.Total, 12 years and over",data.Males,16.8
2017,data.Nova Scotia,"data.Total, 12 years and over",data.Males,21.1
2018,data.Nova Scotia,"data.Total, 12 years and over",data.Males,
2019,data.Nova Scotia,"data.Total, 12 years and over",data.Males,17.8
2015,data.Nova Scotia,"data.Total, 12 years and over",data.Females,32.9
2016,data.Nova Scotia,"data.Total, 12 years and over",data.Females,28.4
2017,data.Nova Scotia,"data.Total, 12 years and over",data.Females,29.5
2018,data.Nova Scotia,"data.Total, 12 years and over",data.Females,
2019,data.Nova Scotia,"data.Total, 12 years and over",data.Females,28.0
2015,data.Nova Scotia,data.12 to 17 years,data.Both sexes,21.2
2016,data.Nova Scotia,data.12 to 17 years,data.Both sexes,21.7
2017,data.Nova Scotia,data.12 to 17 years,data.Both sexes,27.3
2018,data.Nova Scotia,data.12 to 17 years,data.Both sexes,
2019,data.Nova Scotia,data.12 to 17 years,data.Both sexes,15.5
2015,data.Nova Scotia,data.12 to 17 years,data.Males,21.5
2016,data.Nova Scotia,data.12 to 17 years,data.Males,25.1
2017,data.Nova Scotia,data.12 to 17 years,data.Males,26.0
2018,data.Nova Scotia,data.12 to 17 years,data.Males,
2019,data.Nova Scotia,data.12 to 17 years,data.Males,17.0
2015,data.Nova Scotia,data.12 to 17 years,data.Females,20.8
2016,data.Nova Scotia,data.12 to 17 years,data.Females,18.1
2017,data.Nova Scotia,data.12 to 17 years,data.Females,28.7
2018,data.Nova Scotia,data.12 to 17 years,data.Females,
2019,data.Nova Scotia,data.12 to 17 years,data.Females,
2015,data.Nova Scotia,data.18 to 34 years,data.Both sexes,26.3
2016,data.Nova Scotia,data.18 to 34 years,data.Both sexes,20.2
2017,data.Nova Scotia,data.18 to 34 years,data.Both sexes,22.7
2018,data.Nova Scotia,data.18 to 34 years,data.Both sexes,
2019,data.Nova Scotia,data.18 to 34 years,data.Both sexes,18.5
2015,data.Nova Scotia,data.18 to 34 years,data.Males,18.8
2016,data.Nova Scotia,data.18 to 34 years,data.Males,16.8
2017,data.Nova Scotia,data.18 to 34 years,data.Males,16.0
2018,data.Nova Scotia,data.18 to 34 years,data.Males,
2019,data.Nova Scotia,data.18 to 34 years,data.Males,14.2
2015,data.Nova Scotia,data.18 to 34 years,data.Females,33.9
2016,data.Nova Scotia,data.18 to 34 years,data.Females,23.6
2017,data.Nova Scotia,data.18 to 34 years,data.Females,29.2
2018,data.Nova Scotia,data.18 to 34 years,data.Females,
2019,data.Nova Scotia,data.18 to 34 years,data.Females,22.6
2015,data.Nova Scotia,data.35 to 49 years,data.Both sexes,27.3
2016,data.Nova Scotia,data.35 to 49 years,data.Both sexes,27.0
2017,data.Nova Scotia,data.35 to 49 years,data.Both sexes,31.5
2018,data.Nova Scotia,data.35 to 49 years,data.Both sexes,
2019,data.Nova Scotia,data.35 to 49 years,data.Both sexes,25.6
2015,data.Nova Scotia,data.35 to 49 years,data.Males,12.7
2016,data.Nova Scotia,data.35 to 49 years,data.Males,16.3
2017,data.Nova Scotia,data.35 to 49 years,data.Males,31.0
2018,data.Nova Scotia,data.35 to 49 years,data.Males,
2019,data.Nova Scotia,data.35 to 49 years,data.Males,18.8
2015,data.Nova Scotia,data.35 to 49 years,data.Females,40.9
2016,data.Nova Scotia,data.35 to 49 years,data.Females,36.9
2017,data.Nova Scotia,data.35 to 49 years,data.Females,31.9
2018,data.Nova Scotia,data.35 to 49 years,data.Females,
2019,data.Nova Scotia,data.35 to 49 years,data.Females,31.8
2015,data.Nova Scotia,data.50 to 64 years,data.Both sexes,24.7
2016,data.Nova Scotia,data.50 to 64 years,data.Both sexes,22.5
2017,data.Nova Scotia,data.50 to 64 years,data.Both sexes,23.8
2018,data.Nova Scotia,data.50 to 64 years,data.Both sexes,
2019,data.Nova Scotia,data.50 to 64 years,data.Both sexes,24.9
2015,data.Nova Scotia,data.50 to 64 years,data.Males,16.1
2016,data.Nova Scotia,data.50 to 64 years,data.Males,15.4
2017,data.Nova Scotia,data.50 to 64 years,data.Males,17.1
2018,data.Nova Scotia,data.50 to 64 years,data.Males,
2019,data.Nova Scotia,data.50 to 64 years,data.Males,18.6
2015,data.Nova Scotia,data.50 to 64 years,data.Females,32.6
2016,data.Nova Scotia,data.50 to 64 years,data.Females,29.1
2017,data.Nova Scotia,data.50 to 64 years,data.Females,30.1
2018,data.Nova Scotia,data.50 to 64 years,data.Females,
2019,data.Nova Scotia,data.50 to 64 years,data.Females,30.5
2015,data.Nova Scotia,data.65 years and over,data.Both sexes,24.4
2016,data.Nova Scotia,data.65 years and over,data.Both sexes,22.4
2017,data.Nova Scotia,data.65 years and over,data.Both sexes,24.3
2018,data.Nova Scotia,data.65 years and over,data.Both sexes,
2019,data.Nova Scotia,data.65 years and over,data.Both sexes,26.0
2015,data.Nova Scotia,data.65 years and over,data.Males,20.1
2016,data.Nova Scotia,data.65 years and over,data.Males,16.6
2017,data.Nova Scotia,data.65 years and over,data.Males,21.0
2018,data.Nova Scotia,data.65 years and over,data.Males,
2019,data.Nova Scotia,data.65 years and over,data.Males,20.3
2015,data.Nova Scotia,data.65 years and over,data.Females,27.8
2016,data.Nova Scotia,data.65 years and over,data.Females,27.0
2017,data.Nova Scotia,data.65 years and over,data.Females,26.9
2018,data.Nova Scotia,data.65 years and over,data.Females,
2019,data.Nova Scotia,data.65 years and over,data.Females,30.8
2015,data.New Brunswick,"data.Total, 12 years and over",data.Both sexes,28.8
2016,data.New Brunswick,"data.Total, 12 years and over",data.Both sexes,25.1
2017,data.New Brunswick,"data.Total, 12 years and over",data.Both sexes,25.3
2018,data.New Brunswick,"data.Total, 12 years and over",data.Both sexes,
2019,data.New Brunswick,"data.Total, 12 years and over",data.Both sexes,
2015,data.New Brunswick,"data.Total, 12 years and over",data.Males,23.0
2016,data.New Brunswick,"data.Total, 12 years and over",data.Males,16.9
2017,data.New Brunswick,"data.Total, 12 years and over",data.Males,17.6
2018,data.New Brunswick,"data.Total, 12 years and over",data.Males,
2019,data.New Brunswick,"data.Total, 12 years and over",data.Males,
2015,data.New Brunswick,"data.Total, 12 years and over",data.Females,34.1
2016,data.New Brunswick,"data.Total, 12 years and over",data.Females,32.5
2017,data.New Brunswick,"data.Total, 12 years and over",data.Females,32.4
2018,data.New Brunswick,"data.Total, 12 years and over",data.Females,
2019,data.New Brunswick,"data.Total, 12 years and over",data.Females,
2015,data.New Brunswick,data.12 to 17 years,data.Both sexes,33.1
2016,data.New Brunswick,data.12 to 17 years,data.Both sexes,30.0
2017,data.New Brunswick,data.12 to 17 years,data.Both sexes,28.5
2018,data.New Brunswick,data.12 to 17 years,data.Both sexes,
2019,data.New Brunswick,data.12 to 17 years,data.Both sexes,
2015,data.New Brunswick,data.12 to 17 years,data.Males,24.6
2016,data.New Brunswick,data.12 to 17 years,data.Males,23.3
2017,data.New Brunswick,data.12 to 17 years,data.Males,30.1
2018,data.New Brunswick,data.12 to 17 years,data.Males,
2019,data.New Brunswick,data.12 to 17 years,data.Males,
2015,data.New Brunswick,data.12 to 17 years,data.Females,41.6
2016,data.New Brunswick,data.12 to 17 years,data.Females,36.9
2017,data.New Brunswick,data.12 to 17 years,data.Females,26.9
2018,data.New Brunswick,data.12 to 17 years,data.Females,
2019,data.New Brunswick,data.12 to 17 years,data.Females,
2015,data.New Brunswick,data.18 to 34 years,data.Both sexes,37.6
2016,data.New Brunswick,data.18 to 34 years,data.Both sexes,30.2
2017,data.New Brunswick,data.18 to 34 years,data.Both sexes,22.7
2018,data.New Brunswick,data.18 to 34 years,data.Both sexes,
2019,data.New Brunswick,data.18 to 34 years,data.Both sexes,
2015,data.New Brunswick,data.18 to 34 years,data.Males,29.9
2016,data.New Brunswick,data.18 to 34 years,data.Males,23.8
2017,data.New Brunswick,data.18 to 34 years,data.Males,11.9
2018,data.New Brunswick,data.18 to 34 years,data.Males,
2019,data.New Brunswick,data.18 to 34 years,data.Males,
2015,data.New Brunswick,data.18 to 34 years,data.Females,45.5
2016,data.New Brunswick,data.18 to 34 years,data.Females,36.4
2017,data.New Brunswick,data.18 to 34 years,data.Females,33.0
2018,data.New Brunswick,data.18 to 34 years,data.Females,
2019,data.New Brunswick,data.18 to 34 years,data.Females,
2015,data.New Brunswick,data.35 to 49 years,data.Both sexes,26.2
2016,data.New Brunswick,data.35 to 49 years,data.Both sexes,28.4
2017,data.New Brunswick,data.35 to 49 years,data.Both sexes,23.3
2018,data.New Brunswick,data.35 to 49 years,data.Both sexes,
2019,data.New Brunswick,data.35 to 49 years,data.Both sexes,
2015,data.New Brunswick,data.35 to 49 years,data.Males,18.4
2016,data.New Brunswick,data.35 to 49 years,data.Males,18.1
2017,data.New Brunswick,data.35 to 49 years,data.Males,16.1
2018,data.New Brunswick,data.35 to 49 years,data.Males,
2019,data.New Brunswick,data.35 to 49 years,data.Males,
2015,data.New Brunswick,data.35 to 49 years,data.Females,33.0
2016,data.New Brunswick,data.35 to 49 years,data.Females,37.9
2017,data.New Brunswick,data.35 to 49 years,data.Females,29.6
2018,data.New Brunswick,data.35 to 49 years,data.Females,
2019,data.New Brunswick,data.35 to 49 years,data.Females,
2015,data.New Brunswick,data.50 to 64 years,data.Both sexes,23.8
2016,data.New Brunswick,data.50 to 64 years,data.Both sexes,20.3
2017,data.New Brunswick,data.50 to 64 years,data.Both sexes,26.7
2018,data.New Brunswick,data.50 to 64 years,data.Both sexes,
2019,data.New Brunswick,data.50 to 64 years,data.Both sexes,
2015,data.New Brunswick,data.50 to 64 years,data.Males,23.3
2016,data.New Brunswick,data.50 to 64 years,data.Males,10.6
2017,data.New Brunswick,data.50 to 64 years,data.Males,17.0
2018,data.New Brunswick,data.50 to 64 years,data.Males,
2019,data.New Brunswick,data.50 to 64 years,data.Males,
2015,data.New Brunswick,data.50 to 64 years,data.Females,24.3
2016,data.New Brunswick,data.50 to 64 years,data.Females,29.0
2017,data.New Brunswick,data.50 to 64 years,data.Females,35.8
2018,data.New Brunswick,data.50 to 64 years,data.Females,
2019,data.New Brunswick,data.50 to 64 years,data.Females,
