Year,data.Geography,data.Sex,data.Age group,Value
2019,data.Canada,data.Both sexes,data.65 years and over,6.44
2020,data.Canada,data.Both sexes,data.65 years and over,9.15
2015,data.Canada,data.Males,data.15 years and over,27.92
2016,data.Canada,data.Males,data.15 years and over,27.24
2017,data.Canada,data.Males,data.15 years and over,25.82
2018,data.Canada,data.Males,data.15 years and over,23.51
2019,data.Canada,data.Males,data.15 years and over,21.36
2020,data.Canada,data.Males,data.15 years and over,26.28
2015,data.Canada,data.Males,data.15 to 24 years,20.23
2016,data.Canada,data.Males,data.15 to 24 years,18.92
2017,data.Canada,data.Males,data.15 to 24 years,18.69
2018,data.Canada,data.Males,data.15 to 24 years,15.64
2019,data.Canada,data.Males,data.15 to 24 years,14.5
2020,data.Canada,data.Males,data.15 to 24 years,17.82
2015,data.Canada,data.Males,data.25 years and over,34.02
2016,data.Canada,data.Males,data.25 years and over,33.33
2017,data.Canada,data.Males,data.25 years and over,31.13
2018,data.Canada,data.Males,data.25 years and over,29.45
2019,data.Canada,data.Males,data.25 years and over,26.3
2020,data.Canada,data.Males,data.25 years and over,31.69
2015,data.Canada,data.Males,data.25 to 44 years,46.6
2016,data.Canada,data.Males,data.25 to 44 years,45.65
2017,data.Canada,data.Males,data.25 to 44 years,43.35
2018,data.Canada,data.Males,data.25 to 44 years,41.13
2019,data.Canada,data.Males,data.25 to 44 years,37.18
2020,data.Canada,data.Males,data.25 to 44 years,41.96
2015,data.Canada,data.Males,data.45 years and over,26.54
2016,data.Canada,data.Males,data.45 years and over,26.51
2017,data.Canada,data.Males,data.45 years and over,24.21
2018,data.Canada,data.Males,data.45 years and over,22.69
2019,data.Canada,data.Males,data.45 years and over,20.26
2020,data.Canada,data.Males,data.45 years and over,25.75
2015,data.Canada,data.Males,data.25 to 54 years,47.07
2016,data.Canada,data.Males,data.25 to 54 years,45.98
2017,data.Canada,data.Males,data.25 to 54 years,44.62
2018,data.Canada,data.Males,data.25 to 54 years,41.74
2019,data.Canada,data.Males,data.25 to 54 years,36.8
2020,data.Canada,data.Males,data.25 to 54 years,43.14
2015,data.Canada,data.Males,data.55 years and over,18.79
2016,data.Canada,data.Males,data.55 years and over,19.28
2017,data.Canada,data.Males,data.55 years and over,16.36
2018,data.Canada,data.Males,data.55 years and over,16.5
2019,data.Canada,data.Males,data.55 years and over,15.69
2020,data.Canada,data.Males,data.55 years and over,19.56
2015,data.Canada,data.Males,data.55 to 64 years,28.15
2016,data.Canada,data.Males,data.55 to 64 years,28.4
2017,data.Canada,data.Males,data.55 to 64 years,25.87
2018,data.Canada,data.Males,data.55 to 64 years,25.02
2019,data.Canada,data.Males,data.55 to 64 years,24.62
2020,data.Canada,data.Males,data.55 to 64 years,29.07
2015,data.Canada,data.Males,data.65 years and over,
2016,data.Canada,data.Males,data.65 years and over,
2017,data.Canada,data.Males,data.65 years and over,
2018,data.Canada,data.Males,data.65 years and over,
2019,data.Canada,data.Males,data.65 years and over,
2020,data.Canada,data.Males,data.65 years and over,
2015,data.Canada,data.Females,data.15 years and over,25.45
2016,data.Canada,data.Females,data.15 years and over,23.73
2017,data.Canada,data.Females,data.15 years and over,23.25
2018,data.Canada,data.Females,data.15 years and over,20.84
2019,data.Canada,data.Females,data.15 years and over,18.46
2020,data.Canada,data.Females,data.15 years and over,21.54
2015,data.Canada,data.Females,data.15 to 24 years,18.59
2016,data.Canada,data.Females,data.15 to 24 years,17.37
2017,data.Canada,data.Females,data.15 to 24 years,17.24
2018,data.Canada,data.Females,data.15 to 24 years,15.58
2019,data.Canada,data.Females,data.15 to 24 years,14.48
2020,data.Canada,data.Females,data.15 to 24 years,17.14
2015,data.Canada,data.Females,data.25 years and over,28.53
2016,data.Canada,data.Females,data.25 years and over,26.49
2017,data.Canada,data.Females,data.25 years and over,25.94
2018,data.Canada,data.Females,data.25 years and over,23.14
2019,data.Canada,data.Females,data.25 years and over,20.28
2020,data.Canada,data.Females,data.25 years and over,23.36
2015,data.Canada,data.Females,data.25 to 44 years,32.93
2016,data.Canada,data.Females,data.25 to 44 years,30.06
2017,data.Canada,data.Females,data.25 to 44 years,30.61
2018,data.Canada,data.Females,data.25 to 44 years,27.24
2019,data.Canada,data.Females,data.25 to 44 years,23.76
2020,data.Canada,data.Females,data.25 to 44 years,26.48
2015,data.Canada,data.Females,data.45 years and over,24.92
2016,data.Canada,data.Females,data.45 years and over,23.6
2017,data.Canada,data.Females,data.45 years and over,22.15
2018,data.Canada,data.Females,data.45 years and over,19.87
2019,data.Canada,data.Females,data.45 years and over,17.59
2020,data.Canada,data.Females,data.45 years and over,20.94
2015,data.Canada,data.Females,data.25 to 54 years,33.05
2016,data.Canada,data.Females,data.25 to 54 years,30.86
2017,data.Canada,data.Females,data.25 to 54 years,30.42
2018,data.Canada,data.Females,data.25 to 54 years,27.46
2019,data.Canada,data.Females,data.25 to 54 years,24.27
2020,data.Canada,data.Females,data.25 to 54 years,26.85
2015,data.Canada,data.Females,data.55 years and over,18.38
2016,data.Canada,data.Females,data.55 years and over,17.48
2017,data.Canada,data.Females,data.55 years and over,17.01
2018,data.Canada,data.Females,data.55 years and over,14.72
2019,data.Canada,data.Females,data.55 years and over,12.96
2020,data.Canada,data.Females,data.55 years and over,17.05
2015,data.Canada,data.Females,data.55 to 64 years,22.64
2016,data.Canada,data.Females,data.55 to 64 years,22.13
2017,data.Canada,data.Females,data.55 to 64 years,21.01
2018,data.Canada,data.Females,data.55 to 64 years,17.71
2019,data.Canada,data.Females,data.55 to 64 years,16.79
2020,data.Canada,data.Females,data.55 to 64 years,21.25
2015,data.Canada,data.Females,data.65 years and over,
2016,data.Canada,data.Females,data.65 years and over,
2017,data.Canada,data.Females,data.65 years and over,
2018,data.Canada,data.Females,data.65 years and over,
2019,data.Canada,data.Females,data.65 years and over,
2020,data.Canada,data.Females,data.65 years and over,
2015,data.Newfoundland and Labrador,data.Both sexes,data.15 years and over,34.1
2016,data.Newfoundland and Labrador,data.Both sexes,data.15 years and over,33.69
2017,data.Newfoundland and Labrador,data.Both sexes,data.15 years and over,37.35
2018,data.Newfoundland and Labrador,data.Both sexes,data.15 years and over,34.62
2019,data.Newfoundland and Labrador,data.Both sexes,data.15 years and over,33.14
2020,data.Newfoundland and Labrador,data.Both sexes,data.15 years and over,28.7
2015,data.Newfoundland and Labrador,data.Both sexes,data.15 to 24 years,
2016,data.Newfoundland and Labrador,data.Both sexes,data.15 to 24 years,
2017,data.Newfoundland and Labrador,data.Both sexes,data.15 to 24 years,
2018,data.Newfoundland and Labrador,data.Both sexes,data.15 to 24 years,
2019,data.Newfoundland and Labrador,data.Both sexes,data.15 to 24 years,
2020,data.Newfoundland and Labrador,data.Both sexes,data.15 to 24 years,25.21
2015,data.Newfoundland and Labrador,data.Both sexes,data.25 years and over,42.99
2016,data.Newfoundland and Labrador,data.Both sexes,data.25 years and over,40.08
2017,data.Newfoundland and Labrador,data.Both sexes,data.25 years and over,47.18
2018,data.Newfoundland and Labrador,data.Both sexes,data.25 years and over,40.76
2019,data.Newfoundland and Labrador,data.Both sexes,data.25 years and over,37.89
2020,data.Newfoundland and Labrador,data.Both sexes,data.25 years and over,30.53
2015,data.Newfoundland and Labrador,data.Both sexes,data.25 to 44 years,
2016,data.Newfoundland and Labrador,data.Both sexes,data.25 to 44 years,
2017,data.Newfoundland and Labrador,data.Both sexes,data.25 to 44 years,
2018,data.Newfoundland and Labrador,data.Both sexes,data.25 to 44 years,46.67
2019,data.Newfoundland and Labrador,data.Both sexes,data.25 to 44 years,
2020,data.Newfoundland and Labrador,data.Both sexes,data.25 to 44 years,
2015,data.Newfoundland and Labrador,data.Both sexes,data.45 years and over,
2016,data.Newfoundland and Labrador,data.Both sexes,data.45 years and over,35.71
2017,data.Newfoundland and Labrador,data.Both sexes,data.45 years and over,43.36
2018,data.Newfoundland and Labrador,data.Both sexes,data.45 years and over,
2019,data.Newfoundland and Labrador,data.Both sexes,data.45 years and over,33.59
2020,data.Newfoundland and Labrador,data.Both sexes,data.45 years and over,
2015,data.Newfoundland and Labrador,data.Both sexes,data.25 to 54 years,51.52
2016,data.Newfoundland and Labrador,data.Both sexes,data.25 to 54 years,46.54
2017,data.Newfoundland and Labrador,data.Both sexes,data.25 to 54 years,55.74
2018,data.Newfoundland and Labrador,data.Both sexes,data.25 to 54 years,47.71
2019,data.Newfoundland and Labrador,data.Both sexes,data.25 to 54 years,43.57
2020,data.Newfoundland and Labrador,data.Both sexes,data.25 to 54 years,34.01
2015,data.Newfoundland and Labrador,data.Both sexes,data.55 years and over,
2016,data.Newfoundland and Labrador,data.Both sexes,data.55 years and over,
2017,data.Newfoundland and Labrador,data.Both sexes,data.55 years and over,
2018,data.Newfoundland and Labrador,data.Both sexes,data.55 years and over,
2019,data.Newfoundland and Labrador,data.Both sexes,data.55 years and over,
2020,data.Newfoundland and Labrador,data.Both sexes,data.55 years and over,
2015,data.Newfoundland and Labrador,data.Both sexes,data.55 to 64 years,
2016,data.Newfoundland and Labrador,data.Both sexes,data.55 to 64 years,
2017,data.Newfoundland and Labrador,data.Both sexes,data.55 to 64 years,
2018,data.Newfoundland and Labrador,data.Both sexes,data.55 to 64 years,
2019,data.Newfoundland and Labrador,data.Both sexes,data.55 to 64 years,
2020,data.Newfoundland and Labrador,data.Both sexes,data.55 to 64 years,
2015,data.Newfoundland and Labrador,data.Both sexes,data.65 years and over,
2016,data.Newfoundland and Labrador,data.Both sexes,data.65 years and over,
2017,data.Newfoundland and Labrador,data.Both sexes,data.65 years and over,
2018,data.Newfoundland and Labrador,data.Both sexes,data.65 years and over,
2019,data.Newfoundland and Labrador,data.Both sexes,data.65 years and over,
2020,data.Newfoundland and Labrador,data.Both sexes,data.65 years and over,
2015,data.Newfoundland and Labrador,data.Males,data.15 years and over,
2016,data.Newfoundland and Labrador,data.Males,data.15 years and over,
2017,data.Newfoundland and Labrador,data.Males,data.15 years and over,
2018,data.Newfoundland and Labrador,data.Males,data.15 years and over,
2019,data.Newfoundland and Labrador,data.Males,data.15 years and over,
2020,data.Newfoundland and Labrador,data.Males,data.15 years and over,
2015,data.Newfoundland and Labrador,data.Males,data.15 to 24 years,
2016,data.Newfoundland and Labrador,data.Males,data.15 to 24 years,
2017,data.Newfoundland and Labrador,data.Males,data.15 to 24 years,
2018,data.Newfoundland and Labrador,data.Males,data.15 to 24 years,
2019,data.Newfoundland and Labrador,data.Males,data.15 to 24 years,
2020,data.Newfoundland and Labrador,data.Males,data.15 to 24 years,
2015,data.Newfoundland and Labrador,data.Males,data.25 years and over,
2016,data.Newfoundland and Labrador,data.Males,data.25 years and over,
2017,data.Newfoundland and Labrador,data.Males,data.25 years and over,
2018,data.Newfoundland and Labrador,data.Males,data.25 years and over,
2019,data.Newfoundland and Labrador,data.Males,data.25 years and over,
2020,data.Newfoundland and Labrador,data.Males,data.25 years and over,
2015,data.Newfoundland and Labrador,data.Males,data.25 to 44 years,
2016,data.Newfoundland and Labrador,data.Males,data.25 to 44 years,
2017,data.Newfoundland and Labrador,data.Males,data.25 to 44 years,
2018,data.Newfoundland and Labrador,data.Males,data.25 to 44 years,
2019,data.Newfoundland and Labrador,data.Males,data.25 to 44 years,
2020,data.Newfoundland and Labrador,data.Males,data.25 to 44 years,
2015,data.Newfoundland and Labrador,data.Males,data.45 years and over,
2016,data.Newfoundland and Labrador,data.Males,data.45 years and over,
2017,data.Newfoundland and Labrador,data.Males,data.45 years and over,
2018,data.Newfoundland and Labrador,data.Males,data.45 years and over,
2019,data.Newfoundland and Labrador,data.Males,data.45 years and over,
2020,data.Newfoundland and Labrador,data.Males,data.45 years and over,
2015,data.Newfoundland and Labrador,data.Males,data.25 to 54 years,
2016,data.Newfoundland and Labrador,data.Males,data.25 to 54 years,
2017,data.Newfoundland and Labrador,data.Males,data.25 to 54 years,
2018,data.Newfoundland and Labrador,data.Males,data.25 to 54 years,
2019,data.Newfoundland and Labrador,data.Males,data.25 to 54 years,
2020,data.Newfoundland and Labrador,data.Males,data.25 to 54 years,
2015,data.Newfoundland and Labrador,data.Males,data.55 years and over,
2016,data.Newfoundland and Labrador,data.Males,data.55 years and over,
2017,data.Newfoundland and Labrador,data.Males,data.55 years and over,
2018,data.Newfoundland and Labrador,data.Males,data.55 years and over,
2019,data.Newfoundland and Labrador,data.Males,data.55 years and over,
2020,data.Newfoundland and Labrador,data.Males,data.55 years and over,
2015,data.Newfoundland and Labrador,data.Males,data.55 to 64 years,
2016,data.Newfoundland and Labrador,data.Males,data.55 to 64 years,
2017,data.Newfoundland and Labrador,data.Males,data.55 to 64 years,
2018,data.Newfoundland and Labrador,data.Males,data.55 to 64 years,
2019,data.Newfoundland and Labrador,data.Males,data.55 to 64 years,
2020,data.Newfoundland and Labrador,data.Males,data.55 to 64 years,
2015,data.Newfoundland and Labrador,data.Males,data.65 years and over,
2016,data.Newfoundland and Labrador,data.Males,data.65 years and over,
2017,data.Newfoundland and Labrador,data.Males,data.65 years and over,
2018,data.Newfoundland and Labrador,data.Males,data.65 years and over,
2019,data.Newfoundland and Labrador,data.Males,data.65 years and over,
2020,data.Newfoundland and Labrador,data.Males,data.65 years and over,
2015,data.Newfoundland and Labrador,data.Females,data.15 years and over,36.63
2016,data.Newfoundland and Labrador,data.Females,data.15 years and over,35.57
2017,data.Newfoundland and Labrador,data.Females,data.15 years and over,37.16
2018,data.Newfoundland and Labrador,data.Females,data.15 years and over,35.32
2019,data.Newfoundland and Labrador,data.Females,data.15 years and over,34.22
2020,data.Newfoundland and Labrador,data.Females,data.15 years and over,29.26
2015,data.Newfoundland and Labrador,data.Females,data.15 to 24 years,
2016,data.Newfoundland and Labrador,data.Females,data.15 to 24 years,
2017,data.Newfoundland and Labrador,data.Females,data.15 to 24 years,
2018,data.Newfoundland and Labrador,data.Females,data.15 to 24 years,
2019,data.Newfoundland and Labrador,data.Females,data.15 to 24 years,
2020,data.Newfoundland and Labrador,data.Females,data.15 to 24 years,
2015,data.Newfoundland and Labrador,data.Females,data.25 years and over,44.1
2016,data.Newfoundland and Labrador,data.Females,data.25 years and over,41.57
2017,data.Newfoundland and Labrador,data.Females,data.25 years and over,46.43
2018,data.Newfoundland and Labrador,data.Females,data.25 years and over,41.1
2019,data.Newfoundland and Labrador,data.Females,data.25 years and over,37.89
2020,data.Newfoundland and Labrador,data.Females,data.25 years and over,31.25
2015,data.Newfoundland and Labrador,data.Females,data.25 to 44 years,
2016,data.Newfoundland and Labrador,data.Females,data.25 to 44 years,
2017,data.Newfoundland and Labrador,data.Females,data.25 to 44 years,
2018,data.Newfoundland and Labrador,data.Females,data.25 to 44 years,
2019,data.Newfoundland and Labrador,data.Females,data.25 to 44 years,
2020,data.Newfoundland and Labrador,data.Females,data.25 to 44 years,
2015,data.Newfoundland and Labrador,data.Females,data.45 years and over,
2016,data.Newfoundland and Labrador,data.Females,data.45 years and over,
2017,data.Newfoundland and Labrador,data.Females,data.45 years and over,
2018,data.Newfoundland and Labrador,data.Females,data.45 years and over,
2019,data.Newfoundland and Labrador,data.Females,data.45 years and over,
2020,data.Newfoundland and Labrador,data.Females,data.45 years and over,
2015,data.Newfoundland and Labrador,data.Females,data.25 to 54 years,50.98
2016,data.Newfoundland and Labrador,data.Females,data.25 to 54 years,45.6
2017,data.Newfoundland and Labrador,data.Females,data.25 to 54 years,52.17
2018,data.Newfoundland and Labrador,data.Females,data.25 to 54 years,47.22
2019,data.Newfoundland and Labrador,data.Females,data.25 to 54 years,
2020,data.Newfoundland and Labrador,data.Females,data.25 to 54 years,
2015,data.Newfoundland and Labrador,data.Females,data.55 years and over,
2016,data.Newfoundland and Labrador,data.Females,data.55 years and over,
2017,data.Newfoundland and Labrador,data.Females,data.55 years and over,
2018,data.Newfoundland and Labrador,data.Females,data.55 years and over,
2019,data.Newfoundland and Labrador,data.Females,data.55 years and over,
2020,data.Newfoundland and Labrador,data.Females,data.55 years and over,
2015,data.Newfoundland and Labrador,data.Females,data.55 to 64 years,
2016,data.Newfoundland and Labrador,data.Females,data.55 to 64 years,
2017,data.Newfoundland and Labrador,data.Females,data.55 to 64 years,
2018,data.Newfoundland and Labrador,data.Females,data.55 to 64 years,
2019,data.Newfoundland and Labrador,data.Females,data.55 to 64 years,
2020,data.Newfoundland and Labrador,data.Females,data.55 to 64 years,
2015,data.Newfoundland and Labrador,data.Females,data.65 years and over,
2016,data.Newfoundland and Labrador,data.Females,data.65 years and over,
2017,data.Newfoundland and Labrador,data.Females,data.65 years and over,
2018,data.Newfoundland and Labrador,data.Females,data.65 years and over,
2019,data.Newfoundland and Labrador,data.Females,data.65 years and over,
2020,data.Newfoundland and Labrador,data.Females,data.65 years and over,
2015,data.Prince Edward Island,data.Both sexes,data.15 years and over,31.97
2016,data.Prince Edward Island,data.Both sexes,data.15 years and over,28.46
2017,data.Prince Edward Island,data.Both sexes,data.15 years and over,25.83
2018,data.Prince Edward Island,data.Both sexes,data.15 years and over,26.23
2019,data.Prince Edward Island,data.Both sexes,data.15 years and over,23.58
2020,data.Prince Edward Island,data.Both sexes,data.15 years and over,26.27
2015,data.Prince Edward Island,data.Both sexes,data.15 to 24 years,
2016,data.Prince Edward Island,data.Both sexes,data.15 to 24 years,
2017,data.Prince Edward Island,data.Both sexes,data.15 to 24 years,
2018,data.Prince Edward Island,data.Both sexes,data.15 to 24 years,
2019,data.Prince Edward Island,data.Both sexes,data.15 to 24 years,
2020,data.Prince Edward Island,data.Both sexes,data.15 to 24 years,
2015,data.Prince Edward Island,data.Both sexes,data.25 years and over,38.96
2016,data.Prince Edward Island,data.Both sexes,data.25 years and over,
2017,data.Prince Edward Island,data.Both sexes,data.25 years and over,29.33
2018,data.Prince Edward Island,data.Both sexes,data.25 years and over,29.87
2019,data.Prince Edward Island,data.Both sexes,data.25 years and over,28.21
2020,data.Prince Edward Island,data.Both sexes,data.25 years and over,
2015,data.Prince Edward Island,data.Both sexes,data.25 to 44 years,
2016,data.Prince Edward Island,data.Both sexes,data.25 to 44 years,
2017,data.Prince Edward Island,data.Both sexes,data.25 to 44 years,
2018,data.Prince Edward Island,data.Both sexes,data.25 to 44 years,
2019,data.Prince Edward Island,data.Both sexes,data.25 to 44 years,
2020,data.Prince Edward Island,data.Both sexes,data.25 to 44 years,
2015,data.Prince Edward Island,data.Both sexes,data.45 years and over,
2016,data.Prince Edward Island,data.Both sexes,data.45 years and over,
2017,data.Prince Edward Island,data.Both sexes,data.45 years and over,
2018,data.Prince Edward Island,data.Both sexes,data.45 years and over,
2019,data.Prince Edward Island,data.Both sexes,data.45 years and over,
2020,data.Prince Edward Island,data.Both sexes,data.45 years and over,
2015,data.Prince Edward Island,data.Both sexes,data.25 to 54 years,
2016,data.Prince Edward Island,data.Both sexes,data.25 to 54 years,
2017,data.Prince Edward Island,data.Both sexes,data.25 to 54 years,41.03
2018,data.Prince Edward Island,data.Both sexes,data.25 to 54 years,38.1
2019,data.Prince Edward Island,data.Both sexes,data.25 to 54 years,
2020,data.Prince Edward Island,data.Both sexes,data.25 to 54 years,
2015,data.Prince Edward Island,data.Both sexes,data.55 years and over,
2016,data.Prince Edward Island,data.Both sexes,data.55 years and over,
2017,data.Prince Edward Island,data.Both sexes,data.55 years and over,
2018,data.Prince Edward Island,data.Both sexes,data.55 years and over,
2019,data.Prince Edward Island,data.Both sexes,data.55 years and over,
2020,data.Prince Edward Island,data.Both sexes,data.55 years and over,
2015,data.Prince Edward Island,data.Both sexes,data.55 to 64 years,
2016,data.Prince Edward Island,data.Both sexes,data.55 to 64 years,
2017,data.Prince Edward Island,data.Both sexes,data.55 to 64 years,
2018,data.Prince Edward Island,data.Both sexes,data.55 to 64 years,
2019,data.Prince Edward Island,data.Both sexes,data.55 to 64 years,
2020,data.Prince Edward Island,data.Both sexes,data.55 to 64 years,
2015,data.Prince Edward Island,data.Both sexes,data.65 years and over,
2016,data.Prince Edward Island,data.Both sexes,data.65 years and over,
2017,data.Prince Edward Island,data.Both sexes,data.65 years and over,
2018,data.Prince Edward Island,data.Both sexes,data.65 years and over,
2019,data.Prince Edward Island,data.Both sexes,data.65 years and over,
2020,data.Prince Edward Island,data.Both sexes,data.65 years and over,
2015,data.Prince Edward Island,data.Males,data.15 years and over,
2016,data.Prince Edward Island,data.Males,data.15 years and over,
2017,data.Prince Edward Island,data.Males,data.15 years and over,
2018,data.Prince Edward Island,data.Males,data.15 years and over,
2019,data.Prince Edward Island,data.Males,data.15 years and over,
2020,data.Prince Edward Island,data.Males,data.15 years and over,
2015,data.Prince Edward Island,data.Males,data.15 to 24 years,
2016,data.Prince Edward Island,data.Males,data.15 to 24 years,
2017,data.Prince Edward Island,data.Males,data.15 to 24 years,
2018,data.Prince Edward Island,data.Males,data.15 to 24 years,
2019,data.Prince Edward Island,data.Males,data.15 to 24 years,
2020,data.Prince Edward Island,data.Males,data.15 to 24 years,
2015,data.Prince Edward Island,data.Males,data.25 years and over,
2016,data.Prince Edward Island,data.Males,data.25 years and over,
2017,data.Prince Edward Island,data.Males,data.25 years and over,
2018,data.Prince Edward Island,data.Males,data.25 years and over,
2019,data.Prince Edward Island,data.Males,data.25 years and over,
2020,data.Prince Edward Island,data.Males,data.25 years and over,
2015,data.Prince Edward Island,data.Males,data.25 to 44 years,
2016,data.Prince Edward Island,data.Males,data.25 to 44 years,
2017,data.Prince Edward Island,data.Males,data.25 to 44 years,
2018,data.Prince Edward Island,data.Males,data.25 to 44 years,
2019,data.Prince Edward Island,data.Males,data.25 to 44 years,
2020,data.Prince Edward Island,data.Males,data.25 to 44 years,
2015,data.Prince Edward Island,data.Males,data.45 years and over,
2016,data.Prince Edward Island,data.Males,data.45 years and over,
2017,data.Prince Edward Island,data.Males,data.45 years and over,
2018,data.Prince Edward Island,data.Males,data.45 years and over,
2019,data.Prince Edward Island,data.Males,data.45 years and over,
2020,data.Prince Edward Island,data.Males,data.45 years and over,
2015,data.Prince Edward Island,data.Males,data.25 to 54 years,
2016,data.Prince Edward Island,data.Males,data.25 to 54 years,
2017,data.Prince Edward Island,data.Males,data.25 to 54 years,
2018,data.Prince Edward Island,data.Males,data.25 to 54 years,
2019,data.Prince Edward Island,data.Males,data.25 to 54 years,
2020,data.Prince Edward Island,data.Males,data.25 to 54 years,
2015,data.Prince Edward Island,data.Males,data.55 years and over,
2016,data.Prince Edward Island,data.Males,data.55 years and over,
2017,data.Prince Edward Island,data.Males,data.55 years and over,
2018,data.Prince Edward Island,data.Males,data.55 years and over,
2019,data.Prince Edward Island,data.Males,data.55 years and over,
2020,data.Prince Edward Island,data.Males,data.55 years and over,
2015,data.Prince Edward Island,data.Males,data.55 to 64 years,
2016,data.Prince Edward Island,data.Males,data.55 to 64 years,
2017,data.Prince Edward Island,data.Males,data.55 to 64 years,
2018,data.Prince Edward Island,data.Males,data.55 to 64 years,
2019,data.Prince Edward Island,data.Males,data.55 to 64 years,
2020,data.Prince Edward Island,data.Males,data.55 to 64 years,
2015,data.Prince Edward Island,data.Males,data.65 years and over,
2016,data.Prince Edward Island,data.Males,data.65 years and over,
2017,data.Prince Edward Island,data.Males,data.65 years and over,
2018,data.Prince Edward Island,data.Males,data.65 years and over,
2019,data.Prince Edward Island,data.Males,data.65 years and over,
2020,data.Prince Edward Island,data.Males,data.65 years and over,
2015,data.Prince Edward Island,data.Females,data.15 years and over,33.33
2016,data.Prince Edward Island,data.Females,data.15 years and over,
2017,data.Prince Edward Island,data.Females,data.15 years and over,25.64
2018,data.Prince Edward Island,data.Females,data.15 years and over,26.83
2019,data.Prince Edward Island,data.Females,data.15 years and over,25.93
2020,data.Prince Edward Island,data.Females,data.15 years and over,
2015,data.Prince Edward Island,data.Females,data.15 to 24 years,
2016,data.Prince Edward Island,data.Females,data.15 to 24 years,
2017,data.Prince Edward Island,data.Females,data.15 to 24 years,
2018,data.Prince Edward Island,data.Females,data.15 to 24 years,
2019,data.Prince Edward Island,data.Females,data.15 to 24 years,
2020,data.Prince Edward Island,data.Females,data.15 to 24 years,
2015,data.Prince Edward Island,data.Females,data.25 years and over,
2016,data.Prince Edward Island,data.Females,data.25 years and over,
2017,data.Prince Edward Island,data.Females,data.25 years and over,32.0
2018,data.Prince Edward Island,data.Females,data.25 years and over,31.48
2019,data.Prince Edward Island,data.Females,data.25 years and over,
2020,data.Prince Edward Island,data.Females,data.25 years and over,
2015,data.Prince Edward Island,data.Females,data.25 to 44 years,
2016,data.Prince Edward Island,data.Females,data.25 to 44 years,
2017,data.Prince Edward Island,data.Females,data.25 to 44 years,
2018,data.Prince Edward Island,data.Females,data.25 to 44 years,
2019,data.Prince Edward Island,data.Females,data.25 to 44 years,
2020,data.Prince Edward Island,data.Females,data.25 to 44 years,
2015,data.Prince Edward Island,data.Females,data.45 years and over,
2016,data.Prince Edward Island,data.Females,data.45 years and over,
2017,data.Prince Edward Island,data.Females,data.45 years and over,
