Year,Geography,Age group,Gender,Progress,GeoCode,Value
2022,Ontario,25 to 34 years,"Total, all persons",1.60416666666667,35,12.5
2022,Ontario,25 to 34 years,Men+,,35,9.6
2022,Ontario,25 to 34 years,Women+,,35,15.4
2022,Ontario,35 to 44 years,"Total, all persons",1.63157894736842,35,17.5
2022,Ontario,35 to 44 years,Men+,,35,13.3
2022,Ontario,35 to 44 years,Women+,,35,21.7
2022,Ontario,45 to 54 years,"Total, all persons",1.32608695652174,35,16.3
2022,Ontario,45 to 54 years,Men+,,35,13.8
2022,Ontario,45 to 54 years,Women+,,35,18.3
2022,Ontario,55 to 64 years,"Total, all persons",1.23913043478261,35,15.4
2022,Ontario,55 to 64 years,Men+,,35,13.8
2022,Ontario,55 to 64 years,Women+,,35,17.1
2022,Ontario,65 years and over,"Total, all persons",1.26356589147287,35,14.6
2022,Ontario,65 years and over,Men+,,35,12.9
2022,Ontario,65 years and over,Women+,,35,16.3
2022,Prairies,"Total, 15 years and over","Total, all persons",1.47787610619469,4,14.2
2022,Prairies,"Total, 15 years and over",Men+,,4,11.3
2022,Prairies,"Total, 15 years and over",Women+,,4,16.7
2022,Prairies,15 to 24 years,"Total, all persons",,4,
2022,Prairies,15 to 24 years,Men+,,4,
2022,Prairies,15 to 24 years,Women+,,4,
2022,Prairies,25 to 54 years,"Total, all persons",1.73451327433628,4,15.4
2022,Prairies,25 to 54 years,Men+,,4,11.3
2022,Prairies,25 to 54 years,Women+,,4,19.6
2022,Prairies,25 to 34 years,"Total, all persons",2.31325301204819,4,13.8
2022,Prairies,25 to 34 years,Men+,,4,8.3
2022,Prairies,25 to 34 years,Women+,,4,19.2
2022,Prairies,35 to 44 years,"Total, all persons",1.75187969924812,4,17.9
2022,Prairies,35 to 44 years,Men+,,4,13.3
2022,Prairies,35 to 44 years,Women+,,4,23.3
2022,Prairies,45 to 54 years,"Total, all persons",1.35042735042735,4,13.8
2022,Prairies,45 to 54 years,Men+,,4,11.7
2022,Prairies,45 to 54 years,Women+,,4,15.8
2022,Prairies,55 to 64 years,"Total, all persons",1.30578512396694,4,14.2
2022,Prairies,55 to 64 years,Men+,,4,12.1
2022,Prairies,55 to 64 years,Women+,,4,15.8
2022,Prairies,65 years and over,"Total, all persons",1.14788732394366,4,15.4
2022,Prairies,65 years and over,Men+,,4,14.2
2022,Prairies,65 years and over,Women+,,4,16.3
2022,British Columbia,"Total, 15 years and over","Total, all persons",1.36538461538462,59,12.5
2022,British Columbia,"Total, 15 years and over",Men+,,59,10.4
2022,British Columbia,"Total, 15 years and over",Women+,,59,14.2
2022,British Columbia,15 to 24 years,"Total, all persons",,59,
2022,British Columbia,15 to 24 years,Men+,,59,
2022,British Columbia,15 to 24 years,Women+,,59,
2022,British Columbia,25 to 54 years,"Total, all persons",1.64583333333333,59,12.9
2022,British Columbia,25 to 54 years,Men+,,59,9.6
2022,British Columbia,25 to 54 years,Women+,,59,15.8
2022,British Columbia,25 to 34 years,"Total, all persons",2.05633802816901,59,10.8
2022,British Columbia,25 to 34 years,Men+,,59,7.1
2022,British Columbia,25 to 34 years,Women+,,59,14.6
2022,British Columbia,35 to 44 years,"Total, all persons",1.62037037037037,59,14.2
2022,British Columbia,35 to 44 years,Men+,,59,10.8
2022,British Columbia,35 to 44 years,Women+,,59,17.5
2022,British Columbia,45 to 54 years,"Total, all persons",1.27272727272727,59,13.8
2022,British Columbia,45 to 54 years,Men+,,59,12.1
2022,British Columbia,45 to 54 years,Women+,,59,15.4
2022,British Columbia,55 to 64 years,"Total, all persons",1.368,59,15.0
2022,British Columbia,55 to 64 years,Men+,,59,12.5
2022,British Columbia,55 to 64 years,Women+,,59,17.1
2022,British Columbia,65 years and over,"Total, all persons",1.17605633802817,59,15.4
2022,British Columbia,65 years and over,Men+,,59,14.2
2022,British Columbia,65 years and over,Women+,,59,16.7
