Year,data.Age at time of death,data.Sex,data.Leading causes of death (ICD-10),Value
2015,data.25 to 34 years,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],0.2
2015,data.25 to 34 years,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.8
2015,data.25 to 34 years,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",20.2
2015,data.25 to 34 years,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",14.1
2015,data.25 to 34 years,data.Males,data.Malignant neoplasms [C00-C97],7.5
2015,data.25 to 34 years,data.Males,data.Diabetes mellitus [E10-E14],1.5
2015,data.25 to 34 years,data.Males,data.Alzheimer's disease [G30],0.0
2015,data.25 to 34 years,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",4.0
2015,data.25 to 34 years,data.Males,data.Cerebrovascular diseases [I60-I69],0.8
2015,data.25 to 34 years,data.Males,data.Influenza and pneumonia [J09-J18],0.4
2015,data.25 to 34 years,data.Males,data.Chronic lower respiratory diseases [J40-J47],0.4
2015,data.25 to 34 years,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",1.2
2015,data.25 to 34 years,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",31.3
2015,data.25 to 34 years,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",20.5
2015,data.25 to 34 years,data.Females,data.Malignant neoplasms [C00-C97],9.3
2015,data.25 to 34 years,data.Females,data.Diabetes mellitus [E10-E14],0.7
2015,data.25 to 34 years,data.Females,data.Alzheimer's disease [G30],0.0
2015,data.25 to 34 years,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",2.1
2015,data.25 to 34 years,data.Females,data.Cerebrovascular diseases [I60-I69],0.7
2015,data.25 to 34 years,data.Females,data.Influenza and pneumonia [J09-J18],0.4
2015,data.25 to 34 years,data.Females,data.Chronic lower respiratory diseases [J40-J47],0.2
2015,data.25 to 34 years,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.4
2015,data.25 to 34 years,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",8.8
2015,data.25 to 34 years,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",7.7
2015,data.35 to 44 years,data.Both sexes,data.Malignant neoplasms [C00-C97],23.7
2015,data.35 to 44 years,data.Both sexes,data.Diabetes mellitus [E10-E14],2.2
2015,data.35 to 44 years,data.Both sexes,data.Alzheimer's disease [G30],0.0
2015,data.35 to 44 years,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",9.9
2015,data.35 to 44 years,data.Both sexes,data.Cerebrovascular diseases [I60-I69],2.2
2015,data.35 to 44 years,data.Both sexes,data.Influenza and pneumonia [J09-J18],1.2
2015,data.35 to 44 years,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],0.6
2015,data.35 to 44 years,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",3.4
2015,data.35 to 44 years,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",20.0
2015,data.35 to 44 years,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",14.4
2015,data.35 to 44 years,data.Males,data.Malignant neoplasms [C00-C97],19.9
2015,data.35 to 44 years,data.Males,data.Diabetes mellitus [E10-E14],3.2
2015,data.35 to 44 years,data.Males,data.Alzheimer's disease [G30],0.0
2015,data.35 to 44 years,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",14.6
2015,data.35 to 44 years,data.Males,data.Cerebrovascular diseases [I60-I69],2.6
2015,data.35 to 44 years,data.Males,data.Influenza and pneumonia [J09-J18],1.4
2015,data.35 to 44 years,data.Males,data.Chronic lower respiratory diseases [J40-J47],0.4
2015,data.35 to 44 years,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",4.1
2015,data.35 to 44 years,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",30.6
2015,data.35 to 44 years,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",21.4
2015,data.35 to 44 years,data.Females,data.Malignant neoplasms [C00-C97],27.5
2015,data.35 to 44 years,data.Females,data.Diabetes mellitus [E10-E14],1.3
2015,data.35 to 44 years,data.Females,data.Alzheimer's disease [G30],0.1
2015,data.35 to 44 years,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",5.3
2015,data.35 to 44 years,data.Females,data.Cerebrovascular diseases [I60-I69],1.9
2015,data.35 to 44 years,data.Females,data.Influenza and pneumonia [J09-J18],1.0
2015,data.35 to 44 years,data.Females,data.Chronic lower respiratory diseases [J40-J47],0.8
2015,data.35 to 44 years,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",2.7
2015,data.35 to 44 years,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",9.5
2015,data.35 to 44 years,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",7.6
2015,data.45 to 54 years,data.Both sexes,data.Malignant neoplasms [C00-C97],86.4
2015,data.45 to 54 years,data.Both sexes,data.Diabetes mellitus [E10-E14],6.2
2015,data.45 to 54 years,data.Both sexes,data.Alzheimer's disease [G30],0.1
2015,data.45 to 54 years,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",36.0
2015,data.45 to 54 years,data.Both sexes,data.Cerebrovascular diseases [I60-I69],6.4
2015,data.45 to 54 years,data.Both sexes,data.Influenza and pneumonia [J09-J18],2.9
2015,data.45 to 54 years,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],3.9
2015,data.45 to 54 years,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",10.1
2015,data.45 to 54 years,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",24.9
2015,data.45 to 54 years,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",19.1
2015,data.45 to 54 years,data.Males,data.Malignant neoplasms [C00-C97],80.1
2015,data.45 to 54 years,data.Males,data.Diabetes mellitus [E10-E14],8.3
2015,data.45 to 54 years,data.Males,data.Alzheimer's disease [G30],0.1
2015,data.45 to 54 years,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",55.3
2015,data.45 to 54 years,data.Males,data.Cerebrovascular diseases [I60-I69],6.8
2015,data.45 to 54 years,data.Males,data.Influenza and pneumonia [J09-J18],3.1
2015,data.45 to 54 years,data.Males,data.Chronic lower respiratory diseases [J40-J47],3.9
2015,data.45 to 54 years,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",13.7
2015,data.45 to 54 years,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",35.2
2015,data.45 to 54 years,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",28.1
2015,data.45 to 54 years,data.Females,data.Malignant neoplasms [C00-C97],92.8
2015,data.45 to 54 years,data.Females,data.Diabetes mellitus [E10-E14],4.1
2015,data.45 to 54 years,data.Females,data.Alzheimer's disease [G30],0.0
2015,data.45 to 54 years,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",16.7
2015,data.45 to 54 years,data.Females,data.Cerebrovascular diseases [I60-I69],6.0
2015,data.45 to 54 years,data.Females,data.Influenza and pneumonia [J09-J18],2.8
2015,data.45 to 54 years,data.Females,data.Chronic lower respiratory diseases [J40-J47],3.8
2015,data.45 to 54 years,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",6.4
2015,data.45 to 54 years,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",14.6
2015,data.45 to 54 years,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",10.1
2015,data.55 to 64 years,data.Both sexes,data.Malignant neoplasms [C00-C97],272.4
2015,data.55 to 64 years,data.Both sexes,data.Diabetes mellitus [E10-E14],16.8
2015,data.55 to 64 years,data.Both sexes,data.Alzheimer's disease [G30],1.3
2015,data.55 to 64 years,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",101.3
2015,data.55 to 64 years,data.Both sexes,data.Cerebrovascular diseases [I60-I69],16.3
2015,data.55 to 64 years,data.Both sexes,data.Influenza and pneumonia [J09-J18],7.0
2015,data.55 to 64 years,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],19.7
2015,data.55 to 64 years,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",19.5
2015,data.55 to 64 years,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",26.2
2015,data.55 to 64 years,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",17.6
2015,data.55 to 64 years,data.Males,data.Malignant neoplasms [C00-C97],287.8
2015,data.55 to 64 years,data.Males,data.Diabetes mellitus [E10-E14],22.3
2015,data.55 to 64 years,data.Males,data.Alzheimer's disease [G30],0.9
2015,data.55 to 64 years,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",150.9
2015,data.55 to 64 years,data.Males,data.Cerebrovascular diseases [I60-I69],18.4
2015,data.55 to 64 years,data.Males,data.Influenza and pneumonia [J09-J18],7.7
2015,data.55 to 64 years,data.Males,data.Chronic lower respiratory diseases [J40-J47],22.3
2015,data.55 to 64 years,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",27.3
2015,data.55 to 64 years,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",38.6
2015,data.55 to 64 years,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",27.2
2015,data.55 to 64 years,data.Females,data.Malignant neoplasms [C00-C97],257.3
2015,data.55 to 64 years,data.Females,data.Diabetes mellitus [E10-E14],11.4
2015,data.55 to 64 years,data.Females,data.Alzheimer's disease [G30],1.7
2015,data.55 to 64 years,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",52.7
2015,data.55 to 64 years,data.Females,data.Cerebrovascular diseases [I60-I69],14.2
2015,data.55 to 64 years,data.Females,data.Influenza and pneumonia [J09-J18],6.4
2015,data.55 to 64 years,data.Females,data.Chronic lower respiratory diseases [J40-J47],17.2
2015,data.55 to 64 years,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",11.8
2015,data.55 to 64 years,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",14.0
2015,data.55 to 64 years,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",8.1
2015,data.65 to 74 years,data.Both sexes,data.Malignant neoplasms [C00-C97],627.6
2015,data.65 to 74 years,data.Both sexes,data.Diabetes mellitus [E10-E14],47.7
2015,data.65 to 74 years,data.Both sexes,data.Alzheimer's disease [G30],11.6
2015,data.65 to 74 years,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",247.1
2015,data.65 to 74 years,data.Both sexes,data.Cerebrovascular diseases [I60-I69],53.3
2015,data.65 to 74 years,data.Both sexes,data.Influenza and pneumonia [J09-J18],21.8
2015,data.65 to 74 years,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],79.2
2015,data.65 to 74 years,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",26.6
2015,data.65 to 74 years,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",34.2
2015,data.65 to 74 years,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",11.8
2015,data.65 to 74 years,data.Males,data.Malignant neoplasms [C00-C97],717.3
2015,data.65 to 74 years,data.Males,data.Diabetes mellitus [E10-E14],64.2
2015,data.65 to 74 years,data.Males,data.Alzheimer's disease [G30],11.9
2015,data.65 to 74 years,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",345.4
2015,data.65 to 74 years,data.Males,data.Cerebrovascular diseases [I60-I69],60.1
2015,data.65 to 74 years,data.Males,data.Influenza and pneumonia [J09-J18],26.3
2015,data.65 to 74 years,data.Males,data.Chronic lower respiratory diseases [J40-J47],85.5
2015,data.65 to 74 years,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",37.6
2015,data.65 to 74 years,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",44.6
2015,data.65 to 74 years,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",19.0
2015,data.65 to 74 years,data.Females,data.Malignant neoplasms [C00-C97],543.7
2015,data.65 to 74 years,data.Females,data.Diabetes mellitus [E10-E14],32.2
2015,data.65 to 74 years,data.Females,data.Alzheimer's disease [G30],11.3
2015,data.65 to 74 years,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",155.0
2015,data.65 to 74 years,data.Females,data.Cerebrovascular diseases [I60-I69],47.0
2015,data.65 to 74 years,data.Females,data.Influenza and pneumonia [J09-J18],17.5
2015,data.65 to 74 years,data.Females,data.Chronic lower respiratory diseases [J40-J47],73.4
2015,data.65 to 74 years,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",16.4
2015,data.65 to 74 years,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",24.4
2015,data.65 to 74 years,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",5.0
2015,data.75 to 84 years,data.Both sexes,data.Malignant neoplasms [C00-C97],1275.0
2015,data.75 to 84 years,data.Both sexes,data.Diabetes mellitus [E10-E14],121.1
2015,data.75 to 84 years,data.Both sexes,data.Alzheimer's disease [G30],100.4
2015,data.75 to 84 years,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",763.5
2015,data.75 to 84 years,data.Both sexes,data.Cerebrovascular diseases [I60-I69],230.3
2015,data.75 to 84 years,data.Both sexes,data.Influenza and pneumonia [J09-J18],102.1
2015,data.75 to 84 years,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],244.9
2015,data.75 to 84 years,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",26.2
2015,data.75 to 84 years,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",113.2
2015,data.75 to 84 years,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",13.3
2015,data.75 to 84 years,data.Males,data.Malignant neoplasms [C00-C97],1562.7
2015,data.75 to 84 years,data.Males,data.Diabetes mellitus [E10-E14],149.2
2015,data.75 to 84 years,data.Males,data.Alzheimer's disease [G30],92.0
2015,data.75 to 84 years,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",973.5
2015,data.75 to 84 years,data.Males,data.Cerebrovascular diseases [I60-I69],246.9
2015,data.75 to 84 years,data.Males,data.Influenza and pneumonia [J09-J18],120.8
2015,data.75 to 84 years,data.Males,data.Chronic lower respiratory diseases [J40-J47],277.5
2015,data.75 to 84 years,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",36.1
2015,data.75 to 84 years,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",138.7
2015,data.75 to 84 years,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",23.0
2015,data.75 to 84 years,data.Females,data.Malignant neoplasms [C00-C97],1041.3
2015,data.75 to 84 years,data.Females,data.Diabetes mellitus [E10-E14],98.2
2015,data.75 to 84 years,data.Females,data.Alzheimer's disease [G30],107.2
2015,data.75 to 84 years,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",593.0
2015,data.75 to 84 years,data.Females,data.Cerebrovascular diseases [I60-I69],216.9
2015,data.75 to 84 years,data.Females,data.Influenza and pneumonia [J09-J18],86.9
2015,data.75 to 84 years,data.Females,data.Chronic lower respiratory diseases [J40-J47],218.5
2015,data.75 to 84 years,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",18.1
2015,data.75 to 84 years,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",92.4
2015,data.75 to 84 years,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",5.5
2015,data.85 and over,data.Both sexes,data.Malignant neoplasms [C00-C97],2039.4
2015,data.85 and over,data.Both sexes,data.Diabetes mellitus [E10-E14],300.5
2015,data.85 and over,data.Both sexes,data.Alzheimer's disease [G30],594.4
2015,data.85 and over,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",3090.8
2015,data.85 and over,data.Both sexes,data.Cerebrovascular diseases [I60-I69],919.2
2015,data.85 and over,data.Both sexes,data.Influenza and pneumonia [J09-J18],613.9
2015,data.85 and over,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],616.0
2015,data.85 and over,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",25.3
2015,data.85 and over,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",489.2
2015,data.85 and over,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",11.3
2015,data.85 and over,data.Males,data.Malignant neoplasms [C00-C97],2847.1
2015,data.85 and over,data.Males,data.Diabetes mellitus [E10-E14],361.4
2015,data.85 and over,data.Males,data.Alzheimer's disease [G30],474.6
2015,data.85 and over,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",3473.6
2015,data.85 and over,data.Males,data.Cerebrovascular diseases [I60-I69],870.1
2015,data.85 and over,data.Males,data.Influenza and pneumonia [J09-J18],684.1
2015,data.85 and over,data.Males,data.Chronic lower respiratory diseases [J40-J47],819.9
2015,data.85 and over,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",36.0
2015,data.85 and over,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",520.0
2015,data.85 and over,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",27.0
2015,data.85 and over,data.Females,data.Malignant neoplasms [C00-C97],1616.7
2015,data.85 and over,data.Females,data.Diabetes mellitus [E10-E14],268.6
2015,data.85 and over,data.Females,data.Alzheimer's disease [G30],657.1
2015,data.85 and over,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",2890.5
2015,data.85 and over,data.Females,data.Cerebrovascular diseases [I60-I69],944.8
2015,data.85 and over,data.Females,data.Influenza and pneumonia [J09-J18],577.2
2015,data.85 and over,data.Females,data.Chronic lower respiratory diseases [J40-J47],509.2
2015,data.85 and over,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",19.7
2015,data.85 and over,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",473.1
2015,data.85 and over,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",3.1
2016,data.All ages,data.Both sexes,data.Malignant neoplasms [C00-C97],219.2
2016,data.All ages,data.Both sexes,data.Diabetes mellitus [E10-E14],19.0
2016,data.All ages,data.Both sexes,data.Alzheimer's disease [G30],18.1
2016,data.All ages,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",143.6
2016,data.All ages,data.Both sexes,data.Cerebrovascular diseases [I60-I69],37.6
2016,data.All ages,data.Both sexes,data.Influenza and pneumonia [J09-J18],17.3
2016,data.All ages,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],34.1
