Year,Age,Generation,Type of household,Ownership status,Income quintile,Main source of household income,Value
2024 Q4,,,Multiple-person households,,,,169.3
2015 Q4,,,,Owner,,,208.3
2015 Q4,,,,Owner with mortgage,,,300.5
2015 Q4,,,,Owner without mortgage,,,81.2
2015 Q4,,,,Renter,,,57.3
2016 Q4,,,,Owner,,,221.5
2016 Q4,,,,Owner with mortgage,,,315.0
2016 Q4,,,,Owner without mortgage,,,87.2
2016 Q4,,,,Renter,,,57.4
2017 Q4,,,,Owner,,,222.1
2017 Q4,,,,Owner with mortgage,,,316.0
2017 Q4,,,,Owner without mortgage,,,87.2
2017 Q4,,,,Renter,,,56.7
2018 Q4,,,,Owner,,,222.4
2018 Q4,,,,Owner with mortgage,,,321.6
2018 Q4,,,,Owner without mortgage,,,81.9
2018 Q4,,,,Renter,,,62.8
2019 Q4,,,,Owner,,,220.1
2019 Q4,,,,Owner with mortgage,,,324.0
2019 Q4,,,,Owner without mortgage,,,75.6
2019 Q4,,,,Renter,,,66.5
2020 Q4,,,,Owner,,,207.3
2020 Q4,,,,Owner with mortgage,,,308.7
2020 Q4,,,,Owner without mortgage,,,61.0
2020 Q4,,,,Renter,,,59.4
2021 Q4,,,,Owner,,,214.1
2021 Q4,,,,Owner with mortgage,,,314.7
2021 Q4,,,,Owner without mortgage,,,62.5
2021 Q4,,,,Renter,,,61.4
2022 Q4,,,,Owner,,,211.3
2022 Q4,,,,Owner with mortgage,,,318.7
2022 Q4,,,,Owner without mortgage,,,59.0
2022 Q4,,,,Renter,,,58.5
2023 Q4,,,,Owner,,,205.6
2023 Q4,,,,Owner with mortgage,,,312.0
2023 Q4,,,,Owner without mortgage,,,56.6
2023 Q4,,,,Renter,,,58.0
2024 Q4,,,,Owner,,,199.8
2024 Q4,,,,Owner with mortgage,,,295.5
2024 Q4,,,,Owner without mortgage,,,56.9
2024 Q4,,,,Renter,,,54.9
2015 Q4,,,,,Lowest income quintile,,272.0
2015 Q4,,,,,Second income quintile,,196.6
2015 Q4,,,,,Third income quintile,,205.4
2015 Q4,,,,,Fourth income quintile,,185.1
2015 Q4,,,,,Highest income quintile,,143.7
2015 Q4,,,,,"Lowest income quintile, less than 35 years",,243.4
2015 Q4,,,,,"Lowest income quintile, 35 to 44 years",,391.3
2015 Q4,,,,,"Lowest income quintile, 45 to 54 years",,442.0
2015 Q4,,,,,"Lowest income quintile, 55 to 64 years",,320.4
2015 Q4,,,,,"Lowest income quintile, 65 years and over",,92.1
2015 Q4,,,,,"Second income quintile, less than 35 years",,217.5
2015 Q4,,,,,"Second income quintile, 35 to 44 years",,247.6
2015 Q4,,,,,"Second income quintile, 45 to 54 years",,279.5
2015 Q4,,,,,"Second income quintile, 55 to 64 years",,209.2
2015 Q4,,,,,"Second income quintile, 65 years and over",,66.1
2015 Q4,,,,,"Third income quintile, less than 35 years",,238.3
2015 Q4,,,,,"Third income quintile, 35 to 44 years",,271.6
2015 Q4,,,,,"Third income quintile, 45 to 54 years",,236.0
2015 Q4,,,,,"Third income quintile, 55 to 64 years",,214.9
2015 Q4,,,,,"Third income quintile, 65 years and over",,61.0
2015 Q4,,,,,"Fourth income quintile, less than 35 years",,204.9
2015 Q4,,,,,"Fourth income quintile, 35 to 44 years",,254.0
2015 Q4,,,,,"Fourth income quintile, 45 to 54 years",,184.9
2015 Q4,,,,,"Fourth income quintile, 55 to 64 years",,174.0
2015 Q4,,,,,"Fourth income quintile, 65 years and over",,81.9
2015 Q4,,,,,"Highest income quintile, less than 35 years",,165.0
2015 Q4,,,,,"Highest income quintile, 35 to 44 years",,204.5
2015 Q4,,,,,"Highest income quintile, 45 to 54 years",,159.4
2015 Q4,,,,,"Highest income quintile, 55 to 64 years",,128.0
2015 Q4,,,,,"Highest income quintile, 65 years and over",,64.9
2016 Q4,,,,,Lowest income quintile,,260.7
2016 Q4,,,,,Second income quintile,,197.3
2016 Q4,,,,,Third income quintile,,217.3
2016 Q4,,,,,Fourth income quintile,,195.8
2016 Q4,,,,,Highest income quintile,,153.8
2016 Q4,,,,,"Lowest income quintile, less than 35 years",,248.3
2016 Q4,,,,,"Lowest income quintile, 35 to 44 years",,326.9
2016 Q4,,,,,"Lowest income quintile, 45 to 54 years",,437.6
2016 Q4,,,,,"Lowest income quintile, 55 to 64 years",,318.0
2016 Q4,,,,,"Lowest income quintile, 65 years and over",,90.2
2016 Q4,,,,,"Second income quintile, less than 35 years",,213.3
2016 Q4,,,,,"Second income quintile, 35 to 44 years",,216.5
2016 Q4,,,,,"Second income quintile, 45 to 54 years",,315.5
2016 Q4,,,,,"Second income quintile, 55 to 64 years",,232.4
2016 Q4,,,,,"Second income quintile, 65 years and over",,62.8
2016 Q4,,,,,"Third income quintile, less than 35 years",,255.7
2016 Q4,,,,,"Third income quintile, 35 to 44 years",,297.4
2016 Q4,,,,,"Third income quintile, 45 to 54 years",,257.4
2016 Q4,,,,,"Third income quintile, 55 to 64 years",,220.7
2016 Q4,,,,,"Third income quintile, 65 years and over",,54.2
2016 Q4,,,,,"Fourth income quintile, less than 35 years",,207.9
2016 Q4,,,,,"Fourth income quintile, 35 to 44 years",,255.3
2016 Q4,,,,,"Fourth income quintile, 45 to 54 years",,199.5
2016 Q4,,,,,"Fourth income quintile, 55 to 64 years",,193.7
2016 Q4,,,,,"Fourth income quintile, 65 years and over",,101.1
2016 Q4,,,,,"Highest income quintile, less than 35 years",,168.4
2016 Q4,,,,,"Highest income quintile, 35 to 44 years",,221.7
2016 Q4,,,,,"Highest income quintile, 45 to 54 years",,171.9
2016 Q4,,,,,"Highest income quintile, 55 to 64 years",,141.2
2016 Q4,,,,,"Highest income quintile, 65 years and over",,71.1
2017 Q4,,,,,Lowest income quintile,,254.1
2017 Q4,,,,,Second income quintile,,201.9
2017 Q4,,,,,Third income quintile,,226.1
2017 Q4,,,,,Fourth income quintile,,192.0
2017 Q4,,,,,Highest income quintile,,153.0
2017 Q4,,,,,"Lowest income quintile, less than 35 years",,248.8
2017 Q4,,,,,"Lowest income quintile, 35 to 44 years",,276.4
2017 Q4,,,,,"Lowest income quintile, 45 to 54 years",,452.2
2017 Q4,,,,,"Lowest income quintile, 55 to 64 years",,333.3
2017 Q4,,,,,"Lowest income quintile, 65 years and over",,91.3
2017 Q4,,,,,"Second income quintile, less than 35 years",,211.5
2017 Q4,,,,,"Second income quintile, 35 to 44 years",,221.6
2017 Q4,,,,,"Second income quintile, 45 to 54 years",,327.5
2017 Q4,,,,,"Second income quintile, 55 to 64 years",,255.8
2017 Q4,,,,,"Second income quintile, 65 years and over",,64.6
2017 Q4,,,,,"Third income quintile, less than 35 years",,262.7
2017 Q4,,,,,"Third income quintile, 35 to 44 years",,304.6
2017 Q4,,,,,"Third income quintile, 45 to 54 years",,285.9
2017 Q4,,,,,"Third income quintile, 55 to 64 years",,228.2
2017 Q4,,,,,"Third income quintile, 65 years and over",,56.8
2017 Q4,,,,,"Fourth income quintile, less than 35 years",,198.4
2017 Q4,,,,,"Fourth income quintile, 35 to 44 years",,248.7
2017 Q4,,,,,"Fourth income quintile, 45 to 54 years",,192.9
2017 Q4,,,,,"Fourth income quintile, 55 to 64 years",,193.2
2017 Q4,,,,,"Fourth income quintile, 65 years and over",,103.9
2017 Q4,,,,,"Highest income quintile, less than 35 years",,167.2
2017 Q4,,,,,"Highest income quintile, 35 to 44 years",,212.7
2017 Q4,,,,,"Highest income quintile, 45 to 54 years",,173.0
2017 Q4,,,,,"Highest income quintile, 55 to 64 years",,142.8
2017 Q4,,,,,"Highest income quintile, 65 years and over",,71.2
2018 Q4,,,,,Lowest income quintile,,267.3
2018 Q4,,,,,Second income quintile,,205.5
2018 Q4,,,,,Third income quintile,,226.6
2018 Q4,,,,,Fourth income quintile,,195.2
2018 Q4,,,,,Highest income quintile,,150.9
2018 Q4,,,,,"Lowest income quintile, less than 35 years",,243.6
2018 Q4,,,,,"Lowest income quintile, 35 to 44 years",,363.2
2018 Q4,,,,,"Lowest income quintile, 45 to 54 years",,501.7
2018 Q4,,,,,"Lowest income quintile, 55 to 64 years",,323.3
2018 Q4,,,,,"Lowest income quintile, 65 years and over",,84.3
2018 Q4,,,,,"Second income quintile, less than 35 years",,189.9
2018 Q4,,,,,"Second income quintile, 35 to 44 years",,271.5
2018 Q4,,,,,"Second income quintile, 45 to 54 years",,338.0
2018 Q4,,,,,"Second income quintile, 55 to 64 years",,250.7
2018 Q4,,,,,"Second income quintile, 65 years and over",,62.5
2018 Q4,,,,,"Third income quintile, less than 35 years",,255.8
2018 Q4,,,,,"Third income quintile, 35 to 44 years",,309.5
2018 Q4,,,,,"Third income quintile, 45 to 54 years",,280.3
2018 Q4,,,,,"Third income quintile, 55 to 64 years",,217.2
2018 Q4,,,,,"Third income quintile, 65 years and over",,77.6
2018 Q4,,,,,"Fourth income quintile, less than 35 years",,211.7
2018 Q4,,,,,"Fourth income quintile, 35 to 44 years",,247.8
2018 Q4,,,,,"Fourth income quintile, 45 to 54 years",,213.5
2018 Q4,,,,,"Fourth income quintile, 55 to 64 years",,181.1
2018 Q4,,,,,"Fourth income quintile, 65 years and over",,91.6
2018 Q4,,,,,"Highest income quintile, less than 35 years",,158.4
2018 Q4,,,,,"Highest income quintile, 35 to 44 years",,202.1
2018 Q4,,,,,"Highest income quintile, 45 to 54 years",,186.4
2018 Q4,,,,,"Highest income quintile, 55 to 64 years",,137.9
2018 Q4,,,,,"Highest income quintile, 65 years and over",,65.9
2019 Q4,,,,,Lowest income quintile,,293.6
2019 Q4,,,,,Second income quintile,,204.5
2019 Q4,,,,,Third income quintile,,219.3
2019 Q4,,,,,Fourth income quintile,,195.7
2019 Q4,,,,,Highest income quintile,,147.9
2019 Q4,,,,,"Lowest income quintile, less than 35 years",,243.4
2019 Q4,,,,,"Lowest income quintile, 35 to 44 years",,447.9
2019 Q4,,,,,"Lowest income quintile, 45 to 54 years",,585.5
2019 Q4,,,,,"Lowest income quintile, 55 to 64 years",,322.8
2019 Q4,,,,,"Lowest income quintile, 65 years and over",,82.1
2019 Q4,,,,,"Second income quintile, less than 35 years",,190.1
2019 Q4,,,,,"Second income quintile, 35 to 44 years",,287.0
2019 Q4,,,,,"Second income quintile, 45 to 54 years",,322.2
2019 Q4,,,,,"Second income quintile, 55 to 64 years",,254.9
2019 Q4,,,,,"Second income quintile, 65 years and over",,55.1
2019 Q4,,,,,"Third income quintile, less than 35 years",,254.7
2019 Q4,,,,,"Third income quintile, 35 to 44 years",,318.2
2019 Q4,,,,,"Third income quintile, 45 to 54 years",,258.1
2019 Q4,,,,,"Third income quintile, 55 to 64 years",,192.2
2019 Q4,,,,,"Third income quintile, 65 years and over",,81.7
2019 Q4,,,,,"Fourth income quintile, less than 35 years",,217.2
2019 Q4,,,,,"Fourth income quintile, 35 to 44 years",,245.6
2019 Q4,,,,,"Fourth income quintile, 45 to 54 years",,227.3
2019 Q4,,,,,"Fourth income quintile, 55 to 64 years",,177.4
2019 Q4,,,,,"Fourth income quintile, 65 years and over",,84.4
2019 Q4,,,,,"Highest income quintile, less than 35 years",,149.3
2019 Q4,,,,,"Highest income quintile, 35 to 44 years",,197.2
2019 Q4,,,,,"Highest income quintile, 45 to 54 years",,195.3
2019 Q4,,,,,"Highest income quintile, 55 to 64 years",,129.1
2019 Q4,,,,,"Highest income quintile, 65 years and over",,63.7
2020 Q4,,,,,Lowest income quintile,,405.3
2020 Q4,,,,,Second income quintile,,165.4
2020 Q4,,,,,Third income quintile,,167.6
2020 Q4,,,,,Fourth income quintile,,181.5
2020 Q4,,,,,Highest income quintile,,142.8
2020 Q4,,,,,"Lowest income quintile, less than 35 years",,362.4
2020 Q4,,,,,"Lowest income quintile, 35 to 44 years",,628.2
2020 Q4,,,,,"Lowest income quintile, 45 to 54 years",,847.3
2020 Q4,,,,,"Lowest income quintile, 55 to 64 years",,535.5
2020 Q4,,,,,"Lowest income quintile, 65 years and over",,98.2
2020 Q4,,,,,"Second income quintile, less than 35 years",,177.3
2020 Q4,,,,,"Second income quintile, 35 to 44 years",,192.6
2020 Q4,,,,,"Second income quintile, 45 to 54 years",,299.7
2020 Q4,,,,,"Second income quintile, 55 to 64 years",,175.1
2020 Q4,,,,,"Second income quintile, 65 years and over",,62.0
2020 Q4,,,,,"Third income quintile, less than 35 years",,144.3
2020 Q4,,,,,"Third income quintile, 35 to 44 years",,208.9
2020 Q4,,,,,"Third income quintile, 45 to 54 years",,203.3
2020 Q4,,,,,"Third income quintile, 55 to 64 years",,223.7
2020 Q4,,,,,"Third income quintile, 65 years and over",,76.0
2020 Q4,,,,,"Fourth income quintile, less than 35 years",,226.2
2020 Q4,,,,,"Fourth income quintile, 35 to 44 years",,221.9
2020 Q4,,,,,"Fourth income quintile, 45 to 54 years",,206.5
2020 Q4,,,,,"Fourth income quintile, 55 to 64 years",,135.8
2020 Q4,,,,,"Fourth income quintile, 65 years and over",,89.9
2020 Q4,,,,,"Highest income quintile, less than 35 years",,152.7
2020 Q4,,,,,"Highest income quintile, 35 to 44 years",,216.9
2020 Q4,,,,,"Highest income quintile, 45 to 54 years",,148.7
2020 Q4,,,,,"Highest income quintile, 55 to 64 years",,130.8
2020 Q4,,,,,"Highest income quintile, 65 years and over",,56.6
2021 Q4,,,,,Lowest income quintile,,399.0
2021 Q4,,,,,Second income quintile,,159.2
2021 Q4,,,,,Third income quintile,,166.1
2021 Q4,,,,,Fourth income quintile,,189.1
2021 Q4,,,,,Highest income quintile,,157.3
2021 Q4,,,,,"Lowest income quintile, less than 35 years",,359.1
2021 Q4,,,,,"Lowest income quintile, 35 to 44 years",,566.7
2021 Q4,,,,,"Lowest income quintile, 45 to 54 years",,940.8
2021 Q4,,,,,"Lowest income quintile, 55 to 64 years",,616.7
2021 Q4,,,,,"Lowest income quintile, 65 years and over",,100.9
2021 Q4,,,,,"Second income quintile, less than 35 years",,114.8
2021 Q4,,,,,"Second income quintile, 35 to 44 years",,216.1
2021 Q4,,,,,"Second income quintile, 45 to 54 years",,276.0
2021 Q4,,,,,"Second income quintile, 55 to 64 years",,159.4
2021 Q4,,,,,"Second income quintile, 65 years and over",,80.7
2021 Q4,,,,,"Third income quintile, less than 35 years",,175.2
2021 Q4,,,,,"Third income quintile, 35 to 44 years",,206.3
2021 Q4,,,,,"Third income quintile, 45 to 54 years",,189.4
2021 Q4,,,,,"Third income quintile, 55 to 64 years",,183.3
2021 Q4,,,,,"Third income quintile, 65 years and over",,75.2
2021 Q4,,,,,"Fourth income quintile, less than 35 years",,214.3
2021 Q4,,,,,"Fourth income quintile, 35 to 44 years",,232.4
2021 Q4,,,,,"Fourth income quintile, 45 to 54 years",,207.3
2021 Q4,,,,,"Fourth income quintile, 55 to 64 years",,160.4
2021 Q4,,,,,"Fourth income quintile, 65 years and over",,98.8
2021 Q4,,,,,"Highest income quintile, less than 35 years",,175.9
2021 Q4,,,,,"Highest income quintile, 35 to 44 years",,239.3
2021 Q4,,,,,"Highest income quintile, 45 to 54 years",,165.2
2021 Q4,,,,,"Highest income quintile, 55 to 64 years",,137.4
2021 Q4,,,,,"Highest income quintile, 65 years and over",,55.3
2022 Q4,,,,,Lowest income quintile,,426.5
2022 Q4,,,,,Second income quintile,,166.0
2022 Q4,,,,,Third income quintile,,165.0
2022 Q4,,,,,Fourth income quintile,,187.1
2022 Q4,,,,,Highest income quintile,,142.3
2022 Q4,,,,,"Lowest income quintile, less than 35 years",,374.1
2022 Q4,,,,,"Lowest income quintile, 35 to 44 years",,645.7
2022 Q4,,,,,"Lowest income quintile, 45 to 54 years",,910.7
2022 Q4,,,,,"Lowest income quintile, 55 to 64 years",,534.4
2022 Q4,,,,,"Lowest income quintile, 65 years and over",,122.4
2022 Q4,,,,,"Second income quintile, less than 35 years",,109.8
2022 Q4,,,,,"Second income quintile, 35 to 44 years",,240.4
2022 Q4,,,,,"Second income quintile, 45 to 54 years",,318.6
2022 Q4,,,,,"Second income quintile, 55 to 64 years",,158.1
2022 Q4,,,,,"Second income quintile, 65 years and over",,74.5
2022 Q4,,,,,"Third income quintile, less than 35 years",,195.1
2022 Q4,,,,,"Third income quintile, 35 to 44 years",,199.7
2022 Q4,,,,,"Third income quintile, 45 to 54 years",,178.0
2022 Q4,,,,,"Third income quintile, 55 to 64 years",,191.9
2022 Q4,,,,,"Third income quintile, 65 years and over",,68.9
2022 Q4,,,,,"Fourth income quintile, less than 35 years",,210.3
2022 Q4,,,,,"Fourth income quintile, 35 to 44 years",,256.7
2022 Q4,,,,,"Fourth income quintile, 45 to 54 years",,193.9
2022 Q4,,,,,"Fourth income quintile, 55 to 64 years",,149.3
2022 Q4,,,,,"Fourth income quintile, 65 years and over",,86.1
2022 Q4,,,,,"Highest income quintile, less than 35 years",,153.1
2022 Q4,,,,,"Highest income quintile, 35 to 44 years",,203.6
2022 Q4,,,,,"Highest income quintile, 45 to 54 years",,152.7
2022 Q4,,,,,"Highest income quintile, 55 to 64 years",,134.5
2022 Q4,,,,,"Highest income quintile, 65 years and over",,54.7
2023 Q4,,,,,Lowest income quintile,,523.2
2023 Q4,,,,,Second income quintile,,179.6
2023 Q4,,,,,Third income quintile,,165.1
2023 Q4,,,,,Fourth income quintile,,176.6
2023 Q4,,,,,Highest income quintile,,129.4
2023 Q4,,,,,"Lowest income quintile, less than 35 years",,410.0
2023 Q4,,,,,"Lowest income quintile, 35 to 44 years",,762.6
2023 Q4,,,,,"Lowest income quintile, 45 to 54 years",,1175.8
2023 Q4,,,,,"Lowest income quintile, 55 to 64 years",,696.3
2023 Q4,,,,,"Lowest income quintile, 65 years and over",,141.8
2023 Q4,,,,,"Second income quintile, less than 35 years",,163.7
2023 Q4,,,,,"Second income quintile, 35 to 44 years",,256.8
2023 Q4,,,,,"Second income quintile, 45 to 54 years",,255.7
2023 Q4,,,,,"Second income quintile, 55 to 64 years",,225.5
2023 Q4,,,,,"Second income quintile, 65 years and over",,74.7
2023 Q4,,,,,"Third income quintile, less than 35 years",,168.8
2023 Q4,,,,,"Third income quintile, 35 to 44 years",,230.4
2023 Q4,,,,,"Third income quintile, 45 to 54 years",,175.3
2023 Q4,,,,,"Third income quintile, 55 to 64 years",,190.4
2023 Q4,,,,,"Third income quintile, 65 years and over",,66.0
2023 Q4,,,,,"Fourth income quintile, less than 35 years",,188.3
2023 Q4,,,,,"Fourth income quintile, 35 to 44 years",,215.6
2023 Q4,,,,,"Fourth income quintile, 45 to 54 years",,214.3
2023 Q4,,,,,"Fourth income quintile, 55 to 64 years",,153.0
2023 Q4,,,,,"Fourth income quintile, 65 years and over",,79.3
2023 Q4,,,,,"Highest income quintile, less than 35 years",,129.2
2023 Q4,,,,,"Highest income quintile, 35 to 44 years",,202.8
2023 Q4,,,,,"Highest income quintile, 45 to 54 years",,135.9
2023 Q4,,,,,"Highest income quintile, 55 to 64 years",,129.3
2023 Q4,,,,,"Highest income quintile, 65 years and over",,51.8
2024 Q4,,,,,Lowest income quintile,,479.6
2024 Q4,,,,,Second income quintile,,162.9
2024 Q4,,,,,Third income quintile,,172.4
2024 Q4,,,,,Fourth income quintile,,169.9
2024 Q4,,,,,Highest income quintile,,127.1
2024 Q4,,,,,"Lowest income quintile, less than 35 years",,463.8
2024 Q4,,,,,"Lowest income quintile, 35 to 44 years",,694.6
2024 Q4,,,,,"Lowest income quintile, 45 to 54 years",,1047.2
2024 Q4,,,,,"Lowest income quintile, 55 to 64 years",,647.8
2024 Q4,,,,,"Lowest income quintile, 65 years and over",,122.6
2024 Q4,,,,,"Second income quintile, less than 35 years",,113.4
2024 Q4,,,,,"Second income quintile, 35 to 44 years",,242.7
2024 Q4,,,,,"Second income quintile, 45 to 54 years",,242.3
2024 Q4,,,,,"Second income quintile, 55 to 64 years",,243.6
2024 Q4,,,,,"Second income quintile, 65 years and over",,66.9
2024 Q4,,,,,"Third income quintile, less than 35 years",,171.6
2024 Q4,,,,,"Third income quintile, 35 to 44 years",,237.7
2024 Q4,,,,,"Third income quintile, 45 to 54 years",,191.9
2024 Q4,,,,,"Third income quintile, 55 to 64 years",,180.3
2024 Q4,,,,,"Third income quintile, 65 years and over",,76.7
2024 Q4,,,,,"Fourth income quintile, less than 35 years",,161.8
2024 Q4,,,,,"Fourth income quintile, 35 to 44 years",,218.2
2024 Q4,,,,,"Fourth income quintile, 45 to 54 years",,197.0
2024 Q4,,,,,"Fourth income quintile, 55 to 64 years",,167.0
2024 Q4,,,,,"Fourth income quintile, 65 years and over",,77.3
2024 Q4,,,,,"Highest income quintile, less than 35 years",,122.0
2024 Q4,,,,,"Highest income quintile, 35 to 44 years",,191.2
2024 Q4,,,,,"Highest income quintile, 45 to 54 years",,134.2
2024 Q4,,,,,"Highest income quintile, 55 to 64 years",,129.3
2024 Q4,,,,,"Highest income quintile, 65 years and over",,57.3
2015 Q4,,,,,,Wages and salaries,202.8
2015 Q4,,,,,,Self-employment income,298.7
2015 Q4,,,,,,Net property income,101.7
2015 Q4,,,,,,Current transfers received - pension benefits,76.6
2015 Q4,,,,,,Current transfers received - others,154.9
2016 Q4,,,,,,Wages and salaries,215.3
2016 Q4,,,,,,Self-employment income,308.6
2016 Q4,,,,,,Net property income,115.1
2016 Q4,,,,,,Current transfers received - pension benefits,74.8
2016 Q4,,,,,,Current transfers received - others,163.9
2017 Q4,,,,,,Wages and salaries,213.9
2017 Q4,,,,,,Self-employment income,315.1
2017 Q4,,,,,,Net property income,112.5
2017 Q4,,,,,,Current transfers received - pension benefits,78.0
2017 Q4,,,,,,Current transfers received - others,175.1
2018 Q4,,,,,,Wages and salaries,216.0
2018 Q4,,,,,,Self-employment income,288.7
2018 Q4,,,,,,Net property income,118.7
2018 Q4,,,,,,Current transfers received - pension benefits,77.7
2018 Q4,,,,,,Current transfers received - others,190.1
2019 Q4,,,,,,Wages and salaries,215.5
2019 Q4,,,,,,Self-employment income,262.6
2019 Q4,,,,,,Net property income,109.0
2019 Q4,,,,,,Current transfers received - pension benefits,77.2
2019 Q4,,,,,,Current transfers received - others,241.2
2020 Q4,,,,,,Wages and salaries,196.0
2020 Q4,,,,,,Self-employment income,211.3
2020 Q4,,,,,,Net property income,120.3
2020 Q4,,,,,,Current transfers received - pension benefits,75.9
2020 Q4,,,,,,Current transfers received - others,232.7
2021 Q4,,,,,,Wages and salaries,201.7
2021 Q4,,,,,,Self-employment income,245.4
2021 Q4,,,,,,Net property income,133.0
2021 Q4,,,,,,Current transfers received - pension benefits,82.7
2021 Q4,,,,,,Current transfers received - others,222.9
