Year,Geography,Persons in low income,GeoCode,Value
2022,Atlantic provinces,Persons 65 years and over,,8.5
2023,Atlantic provinces,Persons 65 years and over,,7.2
2015,Atlantic provinces,Persons under 18 years,,19.0
2016,Atlantic provinces,Persons under 18 years,,17.2
2017,Atlantic provinces,Persons under 18 years,,16.5
2018,Atlantic provinces,Persons under 18 years,,13.4
2019,Atlantic provinces,Persons under 18 years,,12.6
2020,Atlantic provinces,Persons under 18 years,,6.3
2021,Atlantic provinces,Persons under 18 years,,7.1
2022,Atlantic provinces,Persons under 18 years,,12.1
2023,Atlantic provinces,Persons under 18 years,,14.9
2015,British Columbia,All persons,59,18.6
2016,British Columbia,All persons,59,16.0
2017,British Columbia,All persons,59,14.6
2018,British Columbia,All persons,59,13.3
2019,British Columbia,All persons,59,11.9
2020,British Columbia,All persons,59,7.6
2021,British Columbia,All persons,59,8.8
2022,British Columbia,All persons,59,11.6
2023,British Columbia,All persons,59,11.3
2015,British Columbia,Females,59,18.7
2016,British Columbia,Females,59,15.9
2017,British Columbia,Females,59,14.8
2018,British Columbia,Females,59,13.2
2019,British Columbia,Females,59,12.6
2020,British Columbia,Females,59,7.6
2021,British Columbia,Females,59,9.7
2022,British Columbia,Females,59,11.7
2023,British Columbia,Females,59,11.6
2015,British Columbia,"Females, 18 to 64 years",59,20.4
2016,British Columbia,"Females, 18 to 64 years",59,17.1
2017,British Columbia,"Females, 18 to 64 years",59,16.8
2018,British Columbia,"Females, 18 to 64 years",59,15.2
2019,British Columbia,"Females, 18 to 64 years",59,15.5
2020,British Columbia,"Females, 18 to 64 years",59,9.3
2021,British Columbia,"Females, 18 to 64 years",59,10.9
2022,British Columbia,"Females, 18 to 64 years",59,12.9
2023,British Columbia,"Females, 18 to 64 years",59,13.1
2015,British Columbia,"Females, 65 years and over",59,12.0
2016,British Columbia,"Females, 65 years and over",59,10.3
2017,British Columbia,"Females, 65 years and over",59,10.1
2018,British Columbia,"Females, 65 years and over",59,9.2
2019,British Columbia,"Females, 65 years and over",59,7.1
2020,British Columbia,"Females, 65 years and over",59,4.5
2021,British Columbia,"Females, 65 years and over",59,7.8
2022,British Columbia,"Females, 65 years and over",59,8.8
2023,British Columbia,"Females, 65 years and over",59,7.4
2015,British Columbia,"Females, under 18 years",59,18.8
2016,British Columbia,"Females, under 18 years",59,17.3
2017,British Columbia,"Females, under 18 years",59,12.0
2018,British Columbia,"Females, under 18 years",59,9.6
2019,British Columbia,"Females, under 18 years",59,7.6
2020,British Columbia,"Females, under 18 years",59,4.6
2021,British Columbia,"Females, under 18 years",59,7.5
2022,British Columbia,"Females, under 18 years",59,11.0
2023,British Columbia,"Females, under 18 years",59,11.3
2015,British Columbia,Males,59,18.5
2016,British Columbia,Males,59,16.1
2017,British Columbia,Males,59,14.5
2018,British Columbia,Males,59,13.4
2019,British Columbia,Males,59,11.3
2020,British Columbia,Males,59,7.6
2021,British Columbia,Males,59,7.7
2022,British Columbia,Males,59,11.4
2023,British Columbia,Males,59,10.9
2015,British Columbia,"Males, 18 to 64 years",59,21.2
2016,British Columbia,"Males, 18 to 64 years",59,17.8
2017,British Columbia,"Males, 18 to 64 years",59,15.8
2018,British Columbia,"Males, 18 to 64 years",59,15.2
2019,British Columbia,"Males, 18 to 64 years",59,14.0
2020,British Columbia,"Males, 18 to 64 years",59,9.6
2021,British Columbia,"Males, 18 to 64 years",59,8.1
2022,British Columbia,"Males, 18 to 64 years",59,12.3
2023,British Columbia,"Males, 18 to 64 years",59,12.2
2015,British Columbia,"Males, 65 years and over",59,11.3
2016,British Columbia,"Males, 65 years and over",59,7.9
2017,British Columbia,"Males, 65 years and over",59,9.1
2018,British Columbia,"Males, 65 years and over",59,7.7
2019,British Columbia,"Males, 65 years and over",59,5.7
2020,British Columbia,"Males, 65 years and over",59,2.9
2021,British Columbia,"Males, 65 years and over",59,6.1
2022,British Columbia,"Males, 65 years and over",59,8.5
2023,British Columbia,"Males, 65 years and over",59,6.9
2015,British Columbia,"Males, under 18 years",59,14.9
2016,British Columbia,"Males, under 18 years",59,17.5
2017,British Columbia,"Males, under 18 years",59,14.8
2018,British Columbia,"Males, under 18 years",59,12.6
2019,British Columbia,"Males, under 18 years",59,7.0
2020,British Columbia,"Males, under 18 years",59,5.4
2021,British Columbia,"Males, under 18 years",59,8.3
2022,British Columbia,"Males, under 18 years",59,11.0
2023,British Columbia,"Males, under 18 years",59,10.9
2015,British Columbia,Persons 18 to 64 years,59,20.8
2016,British Columbia,Persons 18 to 64 years,59,17.4
2017,British Columbia,Persons 18 to 64 years,59,16.3
2018,British Columbia,Persons 18 to 64 years,59,15.2
2019,British Columbia,Persons 18 to 64 years,59,14.8
2020,British Columbia,Persons 18 to 64 years,59,9.5
2021,British Columbia,Persons 18 to 64 years,59,9.5
2022,British Columbia,Persons 18 to 64 years,59,12.6
2023,British Columbia,Persons 18 to 64 years,59,12.7
2015,British Columbia,Persons 65 years and over,59,11.7
2016,British Columbia,Persons 65 years and over,59,9.1
2017,British Columbia,Persons 65 years and over,59,9.7
2018,British Columbia,Persons 65 years and over,59,8.5
2019,British Columbia,Persons 65 years and over,59,6.4
2020,British Columbia,Persons 65 years and over,59,3.7
2021,British Columbia,Persons 65 years and over,59,7.0
2022,British Columbia,Persons 65 years and over,59,8.7
2023,British Columbia,Persons 65 years and over,59,7.2
2015,British Columbia,Persons under 18 years,59,16.8
2016,British Columbia,Persons under 18 years,59,17.4
2017,British Columbia,Persons under 18 years,59,13.4
2018,British Columbia,Persons under 18 years,59,11.1
2019,British Columbia,Persons under 18 years,59,7.3
2020,British Columbia,Persons under 18 years,59,5.0
2021,British Columbia,Persons under 18 years,59,7.9
2022,British Columbia,Persons under 18 years,59,11.0
2023,British Columbia,Persons under 18 years,59,11.1
2015,"Calgary, Alberta",All persons,,11.5
2016,"Calgary, Alberta",All persons,,11.1
2017,"Calgary, Alberta",All persons,,8.0
2018,"Calgary, Alberta",All persons,,11.3
2019,"Calgary, Alberta",All persons,,5.2
2020,"Calgary, Alberta",All persons,,6.8
2021,"Calgary, Alberta",All persons,,8.0
2022,"Calgary, Alberta",All persons,,10.2
2023,"Calgary, Alberta",All persons,,9.0
2015,"Calgary, Alberta",Females,,11.9
2016,"Calgary, Alberta",Females,,11.9
2017,"Calgary, Alberta",Females,,7.9
2018,"Calgary, Alberta",Females,,10.5
2019,"Calgary, Alberta",Females,,5.5
2020,"Calgary, Alberta",Females,,6.7
2021,"Calgary, Alberta",Females,,8.3
2022,"Calgary, Alberta",Females,,10.4
2023,"Calgary, Alberta",Females,,9.1
2015,"Calgary, Alberta","Females, 18 to 64 years",,11.1
2016,"Calgary, Alberta","Females, 18 to 64 years",,13.1
2017,"Calgary, Alberta","Females, 18 to 64 years",,8.5
2018,"Calgary, Alberta","Females, 18 to 64 years",,11.9
2019,"Calgary, Alberta","Females, 18 to 64 years",,6.3
2020,"Calgary, Alberta","Females, 18 to 64 years",,7.8
2021,"Calgary, Alberta","Females, 18 to 64 years",,8.4
2022,"Calgary, Alberta","Females, 18 to 64 years",,10.3
2023,"Calgary, Alberta","Females, 18 to 64 years",,9.4
2021,"Calgary, Alberta","Females, 65 years and over",,9.1
2022,"Calgary, Alberta","Females, 65 years and over",,6.2
2023,"Calgary, Alberta","Females, 65 years and over",,5.8
2015,"Calgary, Alberta","Females, under 18 years",,19.0
2016,"Calgary, Alberta","Females, under 18 years",,12.8
2017,"Calgary, Alberta","Females, under 18 years",,9.4
2021,"Calgary, Alberta","Females, under 18 years",,7.6
2022,"Calgary, Alberta","Females, under 18 years",,13.5
2023,"Calgary, Alberta","Females, under 18 years",,10.6
2015,"Calgary, Alberta",Males,,11.2
2016,"Calgary, Alberta",Males,,10.3
2017,"Calgary, Alberta",Males,,8.1
2018,"Calgary, Alberta",Males,,12.1
2019,"Calgary, Alberta",Males,,5.0
2020,"Calgary, Alberta",Males,,6.9
2021,"Calgary, Alberta",Males,,7.7
2022,"Calgary, Alberta",Males,,9.9
2023,"Calgary, Alberta",Males,,8.8
2015,"Calgary, Alberta","Males, 18 to 64 years",,11.9
2016,"Calgary, Alberta","Males, 18 to 64 years",,10.8
2017,"Calgary, Alberta","Males, 18 to 64 years",,9.5
2018,"Calgary, Alberta","Males, 18 to 64 years",,13.3
2019,"Calgary, Alberta","Males, 18 to 64 years",,5.5
2020,"Calgary, Alberta","Males, 18 to 64 years",,7.9
2021,"Calgary, Alberta","Males, 18 to 64 years",,7.3
2022,"Calgary, Alberta","Males, 18 to 64 years",,10.8
2023,"Calgary, Alberta","Males, 18 to 64 years",,8.8
2022,"Calgary, Alberta","Males, 65 years and over",,5.1
2023,"Calgary, Alberta","Males, 65 years and over",,4.4
2016,"Calgary, Alberta","Males, under 18 years",,10.8
2017,"Calgary, Alberta","Males, under 18 years",,6.2
2018,"Calgary, Alberta","Males, under 18 years",,13.6
2021,"Calgary, Alberta","Males, under 18 years",,9.9
2022,"Calgary, Alberta","Males, under 18 years",,9.8
2023,"Calgary, Alberta","Males, under 18 years",,11.6
2015,"Calgary, Alberta",Persons 18 to 64 years,,11.5
2016,"Calgary, Alberta",Persons 18 to 64 years,,12.0
2017,"Calgary, Alberta",Persons 18 to 64 years,,9.0
2018,"Calgary, Alberta",Persons 18 to 64 years,,12.6
2019,"Calgary, Alberta",Persons 18 to 64 years,,5.9
2020,"Calgary, Alberta",Persons 18 to 64 years,,7.8
2021,"Calgary, Alberta",Persons 18 to 64 years,,7.8
2022,"Calgary, Alberta",Persons 18 to 64 years,,10.6
2023,"Calgary, Alberta",Persons 18 to 64 years,,9.1
2021,"Calgary, Alberta",Persons 65 years and over,,7.7
2022,"Calgary, Alberta",Persons 65 years and over,,5.7
2023,"Calgary, Alberta",Persons 65 years and over,,5.1
2015,"Calgary, Alberta",Persons under 18 years,,15.4
2016,"Calgary, Alberta",Persons under 18 years,,11.7
2017,"Calgary, Alberta",Persons under 18 years,,8.0
2018,"Calgary, Alberta",Persons under 18 years,,11.8
2021,"Calgary, Alberta",Persons under 18 years,,8.7
2022,"Calgary, Alberta",Persons under 18 years,,11.6
2023,"Calgary, Alberta",Persons under 18 years,,11.1
2015,Canada,Females,,14.8
2016,Canada,Females,,13.4
2017,Canada,Females,,12.1
2018,Canada,Females,,11.1
2019,Canada,Females,,10.7
2020,Canada,Females,,6.4
2021,Canada,Females,,7.7
2022,Canada,Females,,10.0
2023,Canada,Females,,10.2
2015,Canada,"Females, 18 to 64 years",,16.0
2016,Canada,"Females, 18 to 64 years",,14.5
2017,Canada,"Females, 18 to 64 years",,13.7
2018,Canada,"Females, 18 to 64 years",,12.7
2019,Canada,"Females, 18 to 64 years",,12.3
2020,Canada,"Females, 18 to 64 years",,7.8
2021,Canada,"Females, 18 to 64 years",,8.5
2022,Canada,"Females, 18 to 64 years",,11.2
2023,Canada,"Females, 18 to 64 years",,11.8
2015,Canada,"Females, 65 years and over",,8.0
2016,Canada,"Females, 65 years and over",,7.6
2017,Canada,"Females, 65 years and over",,6.7
2018,Canada,"Females, 65 years and over",,6.6
2019,Canada,"Females, 65 years and over",,6.3
2020,Canada,"Females, 65 years and over",,3.5
2021,Canada,"Females, 65 years and over",,6.1
2022,Canada,"Females, 65 years and over",,6.3
2023,Canada,"Females, 65 years and over",,5.2
2015,Canada,"Females, under 18 years",,16.6
2016,Canada,"Females, under 18 years",,14.9
2017,Canada,"Females, under 18 years",,12.0
2018,Canada,"Females, under 18 years",,9.9
2019,Canada,"Females, under 18 years",,9.4
2020,Canada,"Females, under 18 years",,4.7
2021,Canada,"Females, under 18 years",,6.6
2022,Canada,"Females, under 18 years",,9.9
2023,Canada,"Females, under 18 years",,10.4
2015,Canada,Males,,14.1
2016,Canada,Males,,12.4
2017,Canada,Males,,11.7
2018,Canada,Males,,11.3
2019,Canada,Males,,9.9
2020,Canada,Males,,6.3
2021,Canada,Males,,7.0
2022,Canada,Males,,9.9
2023,Canada,Males,,10.1
2015,Canada,"Males, 18 to 64 years",,15.4
2016,Canada,"Males, 18 to 64 years",,13.6
2017,Canada,"Males, 18 to 64 years",,13.2
2018,Canada,"Males, 18 to 64 years",,12.8
2019,Canada,"Males, 18 to 64 years",,11.3
2020,Canada,"Males, 18 to 64 years",,7.8
2021,Canada,"Males, 18 to 64 years",,7.9
2022,Canada,"Males, 18 to 64 years",,11.0
2023,Canada,"Males, 18 to 64 years",,11.3
2015,Canada,"Males, 65 years and over",,6.1
2016,Canada,"Males, 65 years and over",,6.4
2017,Canada,"Males, 65 years and over",,5.5
2018,Canada,"Males, 65 years and over",,5.3
2019,Canada,"Males, 65 years and over",,5.1
2020,Canada,"Males, 65 years and over",,2.7
2021,Canada,"Males, 65 years and over",,4.9
2022,Canada,"Males, 65 years and over",,5.6
2023,Canada,"Males, 65 years and over",,4.9
2015,Canada,"Males, under 18 years",,15.9
2016,Canada,"Males, under 18 years",,13.0
2017,Canada,"Males, under 18 years",,11.5
2018,Canada,"Males, under 18 years",,11.2
2019,Canada,"Males, under 18 years",,9.4
2020,Canada,"Males, under 18 years",,4.7
2021,Canada,"Males, under 18 years",,6.1
2022,Canada,"Males, under 18 years",,9.9
2023,Canada,"Males, under 18 years",,10.9
2015,Canada,Persons 18 to 64 years,,15.7
2016,Canada,Persons 18 to 64 years,,14.0
2017,Canada,Persons 18 to 64 years,,13.4
2018,Canada,Persons 18 to 64 years,,12.8
2019,Canada,Persons 18 to 64 years,,11.8
2020,Canada,Persons 18 to 64 years,,7.8
2021,Canada,Persons 18 to 64 years,,8.2
2022,Canada,Persons 18 to 64 years,,11.1
2023,Canada,Persons 18 to 64 years,,11.6
2015,Canada,Persons 65 years and over,,7.1
2016,Canada,Persons 65 years and over,,7.1
2017,Canada,Persons 65 years and over,,6.1
2018,Canada,Persons 65 years and over,,6.0
2019,Canada,Persons 65 years and over,,5.7
2020,Canada,Persons 65 years and over,,3.1
2021,Canada,Persons 65 years and over,,5.6
2022,Canada,Persons 65 years and over,,6.0
2023,Canada,Persons 65 years and over,,5.0
2015,Canada,Persons under 18 years,,16.3
2016,Canada,Persons under 18 years,,13.9
2017,Canada,Persons under 18 years,,11.7
2018,Canada,Persons under 18 years,,10.6
2019,Canada,Persons under 18 years,,9.4
2020,Canada,Persons under 18 years,,4.7
2021,Canada,Persons under 18 years,,6.4
2022,Canada,Persons under 18 years,,9.9
2023,Canada,Persons under 18 years,,10.7
2015,"Edmonton, Alberta",All persons,,7.6
2016,"Edmonton, Alberta",All persons,,8.5
2017,"Edmonton, Alberta",All persons,,9.7
2018,"Edmonton, Alberta",All persons,,7.2
2019,"Edmonton, Alberta",All persons,,9.8
2020,"Edmonton, Alberta",All persons,,5.2
2021,"Edmonton, Alberta",All persons,,7.1
2022,"Edmonton, Alberta",All persons,,10.0
2023,"Edmonton, Alberta",All persons,,9.5
2015,"Edmonton, Alberta",Females,,7.9
2016,"Edmonton, Alberta",Females,,8.4
2017,"Edmonton, Alberta",Females,,11.2
2018,"Edmonton, Alberta",Females,,8.0
2019,"Edmonton, Alberta",Females,,10.0
2020,"Edmonton, Alberta",Females,,5.0
2021,"Edmonton, Alberta",Females,,7.1
2022,"Edmonton, Alberta",Females,,10.5
2023,"Edmonton, Alberta",Females,,10.0
2015,"Edmonton, Alberta","Females, 18 to 64 years",,7.0
2016,"Edmonton, Alberta","Females, 18 to 64 years",,9.7
2017,"Edmonton, Alberta","Females, 18 to 64 years",,13.1
2018,"Edmonton, Alberta","Females, 18 to 64 years",,9.4
2019,"Edmonton, Alberta","Females, 18 to 64 years",,11.4
2020,"Edmonton, Alberta","Females, 18 to 64 years",,5.8
2021,"Edmonton, Alberta","Females, 18 to 64 years",,7.1
2022,"Edmonton, Alberta","Females, 18 to 64 years",,10.8
2023,"Edmonton, Alberta","Females, 18 to 64 years",,12.2
2021,"Edmonton, Alberta","Females, 65 years and over",,5.5
2022,"Edmonton, Alberta","Females, 65 years and over",,5.7
2023,"Edmonton, Alberta","Females, 65 years and over",,3.0
2018,"Edmonton, Alberta","Females, under 18 years",,6.6
2022,"Edmonton, Alberta","Females, under 18 years",,13.1
2023,"Edmonton, Alberta","Females, under 18 years",,8.9
2015,"Edmonton, Alberta",Males,,7.4
2016,"Edmonton, Alberta",Males,,8.6
2017,"Edmonton, Alberta",Males,,8.2
2018,"Edmonton, Alberta",Males,,6.5
2019,"Edmonton, Alberta",Males,,9.5
2020,"Edmonton, Alberta",Males,,5.3
2021,"Edmonton, Alberta",Males,,7.1
2022,"Edmonton, Alberta",Males,,9.6
2023,"Edmonton, Alberta",Males,,9.0
2015,"Edmonton, Alberta","Males, 18 to 64 years",,8.2
2016,"Edmonton, Alberta","Males, 18 to 64 years",,9.6
2017,"Edmonton, Alberta","Males, 18 to 64 years",,9.0
2018,"Edmonton, Alberta","Males, 18 to 64 years",,7.2
2019,"Edmonton, Alberta","Males, 18 to 64 years",,10.3
2020,"Edmonton, Alberta","Males, 18 to 64 years",,6.3
2021,"Edmonton, Alberta","Males, 18 to 64 years",,7.9
2022,"Edmonton, Alberta","Males, 18 to 64 years",,10.1
2023,"Edmonton, Alberta","Males, 18 to 64 years",,9.4
2022,"Edmonton, Alberta","Males, 65 years and over",,6.1
2023,"Edmonton, Alberta","Males, 65 years and over",,2.6
2018,"Edmonton, Alberta","Males, under 18 years",,6.3
2019,"Edmonton, Alberta","Males, under 18 years",,9.8
2022,"Edmonton, Alberta","Males, under 18 years",,10.5
2023,"Edmonton, Alberta","Males, under 18 years",,12.3
2015,"Edmonton, Alberta",Persons 18 to 64 years,,7.6
2016,"Edmonton, Alberta",Persons 18 to 64 years,,9.7
