Year,Region,Goods and services (products),Value
2019,Antilles,"Total, clean technology products",10.573
2019,Middle East,"Total, environmental and clean technology products",23.491
2019,Middle East,"Total, environmental products",0.472
2019,Middle East,"Total, clean technology products",23.019
2019,Oceania,"Total, environmental and clean technology products",0.516
2019,Oceania,"Total, environmental products",0.0
2019,Oceania,"Total, clean technology products",0.516
2019,Asia,"Total, environmental and clean technology products",757.074
2019,Asia,"Total, environmental products",494.843
2019,Asia,"Total, clean technology products",262.231
2020,Europe,"Total, environmental and clean technology products",5.535
2020,Europe,"Total, environmental products",0.61
2020,Europe,"Total, clean technology products",4.926
2020,North America,"Total, environmental and clean technology products",73.004
2020,North America,"Total, environmental products",24.946
2020,North America,"Total, clean technology products",48.057
2020,Africa,"Total, environmental and clean technology products",175.978
2020,Africa,"Total, environmental products",53.152
2020,Africa,"Total, clean technology products",122.825
2020,South America,"Total, environmental and clean technology products",137.326
2020,South America,"Total, environmental products",54.71
2020,South America,"Total, clean technology products",82.616
2020,Central America,"Total, environmental and clean technology products",6.893
2020,Central America,"Total, environmental products",2.627
2020,Central America,"Total, clean technology products",4.267
2020,Antilles,"Total, environmental and clean technology products",44.182
2020,Antilles,"Total, environmental products",0.285
2020,Antilles,"Total, clean technology products",43.898
2020,Middle East,"Total, environmental and clean technology products",14.285
2020,Middle East,"Total, environmental products",0.25
2020,Middle East,"Total, clean technology products",14.034
2020,Oceania,"Total, environmental and clean technology products",1.035
2020,Oceania,"Total, environmental products",0.027
2020,Oceania,"Total, clean technology products",1.008
2020,Asia,"Total, environmental and clean technology products",555.151
2020,Asia,"Total, environmental products",336.407
2020,Asia,"Total, clean technology products",218.744
2021,Europe,"Total, environmental and clean technology products",6.962
2021,Europe,"Total, environmental products",0.1
2021,Europe,"Total, clean technology products",6.861
2021,North America,"Total, environmental and clean technology products",93.083
2021,North America,"Total, environmental products",32.344
2021,North America,"Total, clean technology products",60.739
2021,Africa,"Total, environmental and clean technology products",165.676
2021,Africa,"Total, environmental products",1.092
2021,Africa,"Total, clean technology products",164.585
2021,South America,"Total, environmental and clean technology products",100.352
2021,South America,"Total, environmental products",19.714
2021,South America,"Total, clean technology products",80.638
2021,Central America,"Total, environmental and clean technology products",3.984
2021,Central America,"Total, environmental products",0.516
2021,Central America,"Total, clean technology products",3.467
2021,Antilles,"Total, environmental and clean technology products",81.907
2021,Antilles,"Total, environmental products",0.219
2021,Antilles,"Total, clean technology products",81.688
2021,Middle East,"Total, environmental and clean technology products",9.824
2021,Middle East,"Total, environmental products",0.104
2021,Middle East,"Total, clean technology products",9.721
2021,Oceania,"Total, environmental and clean technology products",0.485
2021,Oceania,"Total, environmental products",0.0
2021,Oceania,"Total, clean technology products",0.485
2021,Asia,"Total, environmental and clean technology products",849.744
2021,Asia,"Total, environmental products",636.615
2021,Asia,"Total, clean technology products",213.128
2022,Europe,"Total, environmental and clean technology products",4.75
2022,Europe,"Total, environmental products",0.323
2022,Europe,"Total, clean technology products",4.426
2022,North America,"Total, environmental and clean technology products",110.377
2022,North America,"Total, environmental products",26.218
2022,North America,"Total, clean technology products",84.159
2022,Africa,"Total, environmental and clean technology products",110.551
2022,Africa,"Total, environmental products",0.793
2022,Africa,"Total, clean technology products",109.758
2022,South America,"Total, environmental and clean technology products",96.382
2022,South America,"Total, environmental products",12.972
2022,South America,"Total, clean technology products",83.411
2022,Central America,"Total, environmental and clean technology products",4.472
2022,Central America,"Total, environmental products",0.872
2022,Central America,"Total, clean technology products",3.601
2022,Antilles,"Total, environmental and clean technology products",19.455
2022,Antilles,"Total, environmental products",0.013
2022,Antilles,"Total, clean technology products",19.441
2022,Middle East,"Total, environmental and clean technology products",23.191
2022,Middle East,"Total, environmental products",0.014
2022,Middle East,"Total, clean technology products",23.177
2022,Oceania,"Total, environmental and clean technology products",0.538
2022,Oceania,"Total, environmental products",0.0
2022,Oceania,"Total, clean technology products",0.538
2022,Asia,"Total, environmental and clean technology products",882.676
2022,Asia,"Total, environmental products",690.433
2022,Asia,"Total, clean technology products",192.239
