Year,data.Geography,data.Living arrangement,data.Household food security status,Value
2015-2016,data.Newfoundland and Labrador,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,
2017-2018,data.Newfoundland and Labrador,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,54.5
2015-2016,data.Newfoundland and Labrador,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Newfoundland and Labrador,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,8.9
2015-2016,data.Newfoundland and Labrador,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2017-2018,data.Newfoundland and Labrador,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,36.6
2015-2016,data.Newfoundland and Labrador,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,
2017-2018,data.Newfoundland and Labrador,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,84.0
2015-2016,data.Newfoundland and Labrador,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Newfoundland and Labrador,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2015-2016,data.Newfoundland and Labrador,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2017-2018,data.Newfoundland and Labrador,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2015-2016,data.Newfoundland and Labrador,data.Other living arrangements,data.Food secure,
2017-2018,data.Newfoundland and Labrador,data.Other living arrangements,data.Food secure,86.5
2015-2016,data.Newfoundland and Labrador,data.Other living arrangements,data.Food insecure marginal,
2017-2018,data.Newfoundland and Labrador,data.Other living arrangements,data.Food insecure marginal,3.7
2015-2016,data.Newfoundland and Labrador,data.Other living arrangements,data.Food insecure moderate and severe,
2017-2018,data.Newfoundland and Labrador,data.Other living arrangements,data.Food insecure moderate and severe,9.9
2015-2016,data.Prince Edward Island,data.Total all living arrangements,data.Food secure,85.4
2017-2018,data.Prince Edward Island,data.Total all living arrangements,data.Food secure,86.0
2015-2016,data.Prince Edward Island,data.Total all living arrangements,data.Food insecure marginal,3.7
2017-2018,data.Prince Edward Island,data.Total all living arrangements,data.Food insecure marginal,4.0
2015-2016,data.Prince Edward Island,data.Total all living arrangements,data.Food insecure moderate and severe,10.9
2017-2018,data.Prince Edward Island,data.Total all living arrangements,data.Food insecure moderate and severe,9.9
2015-2016,data.Prince Edward Island,data.Female living alone,data.Food secure,83.3
2017-2018,data.Prince Edward Island,data.Female living alone,data.Food secure,81.8
2015-2016,data.Prince Edward Island,data.Female living alone,data.Food insecure marginal,3.4
2017-2018,data.Prince Edward Island,data.Female living alone,data.Food insecure marginal,3.6
2015-2016,data.Prince Edward Island,data.Female living alone,data.Food insecure moderate and severe,13.4
2017-2018,data.Prince Edward Island,data.Female living alone,data.Food insecure moderate and severe,14.6
2015-2016,data.Prince Edward Island,data.Male living alone,data.Food secure,77.8
2017-2018,data.Prince Edward Island,data.Male living alone,data.Food secure,79.7
2015-2016,data.Prince Edward Island,data.Male living alone,data.Food insecure marginal,6.2
2017-2018,data.Prince Edward Island,data.Male living alone,data.Food insecure marginal,6.7
2015-2016,data.Prince Edward Island,data.Male living alone,data.Food insecure moderate and severe,16.0
2017-2018,data.Prince Edward Island,data.Male living alone,data.Food insecure moderate and severe,13.7
2015-2016,data.Prince Edward Island,data.Couple no children,data.Food secure,92.5
2017-2018,data.Prince Edward Island,data.Couple no children,data.Food secure,91.9
2015-2016,data.Prince Edward Island,data.Couple no children,data.Food insecure marginal,3.3
2017-2018,data.Prince Edward Island,data.Couple no children,data.Food insecure marginal,2.7
2015-2016,data.Prince Edward Island,data.Couple no children,data.Food insecure moderate and severe,4.2
2017-2018,data.Prince Edward Island,data.Couple no children,data.Food insecure moderate and severe,5.5
2015-2016,data.Prince Edward Island,data.Couple with child(ren) less than 18 years old,data.Food secure,86.4
2017-2018,data.Prince Edward Island,data.Couple with child(ren) less than 18 years old,data.Food secure,88.9
2015-2016,data.Prince Edward Island,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Prince Edward Island,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,3.5
2015-2016,data.Prince Edward Island,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,10.2
2017-2018,data.Prince Edward Island,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,7.6
2015-2016,data.Prince Edward Island,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,45.0
2017-2018,data.Prince Edward Island,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,60.3
2015-2016,data.Prince Edward Island,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Prince Edward Island,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2015-2016,data.Prince Edward Island,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,49.4
2017-2018,data.Prince Edward Island,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,30.4
2015-2016,data.Prince Edward Island,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,
2017-2018,data.Prince Edward Island,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,
2015-2016,data.Prince Edward Island,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Prince Edward Island,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2015-2016,data.Prince Edward Island,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2017-2018,data.Prince Edward Island,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2015-2016,data.Prince Edward Island,data.Other living arrangements,data.Food secure,89.6
2017-2018,data.Prince Edward Island,data.Other living arrangements,data.Food secure,85.1
2015-2016,data.Prince Edward Island,data.Other living arrangements,data.Food insecure marginal,3.3
2017-2018,data.Prince Edward Island,data.Other living arrangements,data.Food insecure marginal,4.7
2015-2016,data.Prince Edward Island,data.Other living arrangements,data.Food insecure moderate and severe,7.1
2017-2018,data.Prince Edward Island,data.Other living arrangements,data.Food insecure moderate and severe,10.2
2015-2016,data.Nova Scotia,data.Total all living arrangements,data.Food secure,83.1
2017-2018,data.Nova Scotia,data.Total all living arrangements,data.Food secure,84.7
2015-2016,data.Nova Scotia,data.Total all living arrangements,data.Food insecure marginal,5.2
2017-2018,data.Nova Scotia,data.Total all living arrangements,data.Food insecure marginal,4.4
2015-2016,data.Nova Scotia,data.Total all living arrangements,data.Food insecure moderate and severe,11.7
2017-2018,data.Nova Scotia,data.Total all living arrangements,data.Food insecure moderate and severe,11.0
2015-2016,data.Nova Scotia,data.Female living alone,data.Food secure,77.6
2017-2018,data.Nova Scotia,data.Female living alone,data.Food secure,80.1
2015-2016,data.Nova Scotia,data.Female living alone,data.Food insecure marginal,6.9
2017-2018,data.Nova Scotia,data.Female living alone,data.Food insecure marginal,6.2
2015-2016,data.Nova Scotia,data.Female living alone,data.Food insecure moderate and severe,15.5
2017-2018,data.Nova Scotia,data.Female living alone,data.Food insecure moderate and severe,13.7
2015-2016,data.Nova Scotia,data.Male living alone,data.Food secure,78.7
2017-2018,data.Nova Scotia,data.Male living alone,data.Food secure,77.4
2015-2016,data.Nova Scotia,data.Male living alone,data.Food insecure marginal,5.5
2017-2018,data.Nova Scotia,data.Male living alone,data.Food insecure marginal,4.8
2015-2016,data.Nova Scotia,data.Male living alone,data.Food insecure moderate and severe,15.8
2017-2018,data.Nova Scotia,data.Male living alone,data.Food insecure moderate and severe,17.8
2015-2016,data.Nova Scotia,data.Couple no children,data.Food secure,92.8
2017-2018,data.Nova Scotia,data.Couple no children,data.Food secure,93.2
2015-2016,data.Nova Scotia,data.Couple no children,data.Food insecure marginal,2.7
2017-2018,data.Nova Scotia,data.Couple no children,data.Food insecure marginal,2.3
2015-2016,data.Nova Scotia,data.Couple no children,data.Food insecure moderate and severe,4.6
2017-2018,data.Nova Scotia,data.Couple no children,data.Food insecure moderate and severe,4.6
2015-2016,data.Nova Scotia,data.Couple with child(ren) less than 18 years old,data.Food secure,83.9
2017-2018,data.Nova Scotia,data.Couple with child(ren) less than 18 years old,data.Food secure,87.2
2015-2016,data.Nova Scotia,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,5.5
2017-2018,data.Nova Scotia,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,3.6
2015-2016,data.Nova Scotia,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,10.5
2017-2018,data.Nova Scotia,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,9.2
2015-2016,data.Nova Scotia,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,51.6
2017-2018,data.Nova Scotia,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,59.0
2015-2016,data.Nova Scotia,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,11.5
2017-2018,data.Nova Scotia,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,10.3
2015-2016,data.Nova Scotia,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,36.9
2017-2018,data.Nova Scotia,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,30.7
2015-2016,data.Nova Scotia,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,74.9
2017-2018,data.Nova Scotia,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,60.6
2015-2016,data.Nova Scotia,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Nova Scotia,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2015-2016,data.Nova Scotia,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2017-2018,data.Nova Scotia,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2015-2016,data.Nova Scotia,data.Other living arrangements,data.Food secure,81.1
2017-2018,data.Nova Scotia,data.Other living arrangements,data.Food secure,82.8
2015-2016,data.Nova Scotia,data.Other living arrangements,data.Food insecure marginal,5.6
2017-2018,data.Nova Scotia,data.Other living arrangements,data.Food insecure marginal,5.0
2015-2016,data.Nova Scotia,data.Other living arrangements,data.Food insecure moderate and severe,13.3
2017-2018,data.Nova Scotia,data.Other living arrangements,data.Food insecure moderate and severe,12.2
2015-2016,data.New Brunswick,data.Total all living arrangements,data.Food secure,85.0
2017-2018,data.New Brunswick,data.Total all living arrangements,data.Food secure,87.0
2015-2016,data.New Brunswick,data.Total all living arrangements,data.Food insecure marginal,4.9
2017-2018,data.New Brunswick,data.Total all living arrangements,data.Food insecure marginal,4.1
2015-2016,data.New Brunswick,data.Total all living arrangements,data.Food insecure moderate and severe,10.1
2017-2018,data.New Brunswick,data.Total all living arrangements,data.Food insecure moderate and severe,8.9
2015-2016,data.New Brunswick,data.Female living alone,data.Food secure,78.2
2017-2018,data.New Brunswick,data.Female living alone,data.Food secure,80.0
2015-2016,data.New Brunswick,data.Female living alone,data.Food insecure marginal,7.6
2017-2018,data.New Brunswick,data.Female living alone,data.Food insecure marginal,5.5
2015-2016,data.New Brunswick,data.Female living alone,data.Food insecure moderate and severe,14.3
2017-2018,data.New Brunswick,data.Female living alone,data.Food insecure moderate and severe,14.5
2015-2016,data.New Brunswick,data.Male living alone,data.Food secure,79.3
2017-2018,data.New Brunswick,data.Male living alone,data.Food secure,83.5
2015-2016,data.New Brunswick,data.Male living alone,data.Food insecure marginal,5.0
2017-2018,data.New Brunswick,data.Male living alone,data.Food insecure marginal,5.2
2015-2016,data.New Brunswick,data.Male living alone,data.Food insecure moderate and severe,15.7
2017-2018,data.New Brunswick,data.Male living alone,data.Food insecure moderate and severe,11.3
2015-2016,data.New Brunswick,data.Couple no children,data.Food secure,93.0
2017-2018,data.New Brunswick,data.Couple no children,data.Food secure,93.2
2015-2016,data.New Brunswick,data.Couple no children,data.Food insecure marginal,2.5
2017-2018,data.New Brunswick,data.Couple no children,data.Food insecure marginal,2.5
2015-2016,data.New Brunswick,data.Couple no children,data.Food insecure moderate and severe,4.4
2017-2018,data.New Brunswick,data.Couple no children,data.Food insecure moderate and severe,4.3
2015-2016,data.New Brunswick,data.Couple with child(ren) less than 18 years old,data.Food secure,81.1
2017-2018,data.New Brunswick,data.Couple with child(ren) less than 18 years old,data.Food secure,85.4
2015-2016,data.New Brunswick,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,6.5
2017-2018,data.New Brunswick,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,4.8
2015-2016,data.New Brunswick,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,12.4
2017-2018,data.New Brunswick,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,9.9
2015-2016,data.New Brunswick,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,68.1
2017-2018,data.New Brunswick,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,71.2
2015-2016,data.New Brunswick,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.New Brunswick,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2015-2016,data.New Brunswick,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,24.0
2017-2018,data.New Brunswick,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,22.7
2015-2016,data.New Brunswick,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,95.5
2017-2018,data.New Brunswick,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,72.9
2015-2016,data.New Brunswick,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.New Brunswick,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2015-2016,data.New Brunswick,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2017-2018,data.New Brunswick,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2015-2016,data.New Brunswick,data.Other living arrangements,data.Food secure,87.6
2017-2018,data.New Brunswick,data.Other living arrangements,data.Food secure,90.1
2015-2016,data.New Brunswick,data.Other living arrangements,data.Food insecure marginal,4.7
2017-2018,data.New Brunswick,data.Other living arrangements,data.Food insecure marginal,4.1
2015-2016,data.New Brunswick,data.Other living arrangements,data.Food insecure moderate and severe,7.7
2017-2018,data.New Brunswick,data.Other living arrangements,data.Food insecure moderate and severe,5.8
2015-2016,data.Quebec,data.Total all living arrangements,data.Food secure,87.3
2017-2018,data.Quebec,data.Total all living arrangements,data.Food secure,88.9
2015-2016,data.Quebec,data.Total all living arrangements,data.Food insecure marginal,4.3
2017-2018,data.Quebec,data.Total all living arrangements,data.Food insecure marginal,3.7
2015-2016,data.Quebec,data.Total all living arrangements,data.Food insecure moderate and severe,8.5
2017-2018,data.Quebec,data.Total all living arrangements,data.Food insecure moderate and severe,7.4
2015-2016,data.Quebec,data.Female living alone,data.Food secure,83.6
2017-2018,data.Quebec,data.Female living alone,data.Food secure,85.8
2015-2016,data.Quebec,data.Female living alone,data.Food insecure marginal,4.5
2017-2018,data.Quebec,data.Female living alone,data.Food insecure marginal,3.9
2015-2016,data.Quebec,data.Female living alone,data.Food insecure moderate and severe,11.9
2017-2018,data.Quebec,data.Female living alone,data.Food insecure moderate and severe,10.3
2015-2016,data.Quebec,data.Male living alone,data.Food secure,82.5
2017-2018,data.Quebec,data.Male living alone,data.Food secure,84.2
2015-2016,data.Quebec,data.Male living alone,data.Food insecure marginal,6.2
2017-2018,data.Quebec,data.Male living alone,data.Food insecure marginal,5.0
2015-2016,data.Quebec,data.Male living alone,data.Food insecure moderate and severe,11.3
2017-2018,data.Quebec,data.Male living alone,data.Food insecure moderate and severe,10.8
2015-2016,data.Quebec,data.Couple no children,data.Food secure,94.5
2017-2018,data.Quebec,data.Couple no children,data.Food secure,96.0
2015-2016,data.Quebec,data.Couple no children,data.Food insecure marginal,2.3
2017-2018,data.Quebec,data.Couple no children,data.Food insecure marginal,1.6
2015-2016,data.Quebec,data.Couple no children,data.Food insecure moderate and severe,3.2
2017-2018,data.Quebec,data.Couple no children,data.Food insecure moderate and severe,2.3
2015-2016,data.Quebec,data.Couple with child(ren) less than 18 years old,data.Food secure,87.8
2017-2018,data.Quebec,data.Couple with child(ren) less than 18 years old,data.Food secure,89.4
2015-2016,data.Quebec,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,4.2
2017-2018,data.Quebec,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,4.5
2015-2016,data.Quebec,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,8.1
2017-2018,data.Quebec,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,6.1
2015-2016,data.Quebec,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,66.7
2017-2018,data.Quebec,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,71.9
2015-2016,data.Quebec,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,9.6
2017-2018,data.Quebec,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,7.7
2015-2016,data.Quebec,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,23.8
2017-2018,data.Quebec,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,20.4
2015-2016,data.Quebec,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,83.8
2017-2018,data.Quebec,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,87.5
2015-2016,data.Quebec,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,7.4
2017-2018,data.Quebec,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,3.4
2015-2016,data.Quebec,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,8.7
2017-2018,data.Quebec,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,9.1
2015-2016,data.Quebec,data.Other living arrangements,data.Food secure,88.0
2017-2018,data.Quebec,data.Other living arrangements,data.Food secure,88.1
2015-2016,data.Quebec,data.Other living arrangements,data.Food insecure marginal,4.2
2017-2018,data.Quebec,data.Other living arrangements,data.Food insecure marginal,4.0
2015-2016,data.Quebec,data.Other living arrangements,data.Food insecure moderate and severe,7.8
2017-2018,data.Quebec,data.Other living arrangements,data.Food insecure moderate and severe,7.9
2015-2016,data.Ontario,data.Total all living arrangements,data.Food secure,
2017-2018,data.Ontario,data.Total all living arrangements,data.Food secure,86.7
2015-2016,data.Ontario,data.Total all living arrangements,data.Food insecure marginal,
2017-2018,data.Ontario,data.Total all living arrangements,data.Food insecure marginal,4.3
2015-2016,data.Ontario,data.Total all living arrangements,data.Food insecure moderate and severe,
2017-2018,data.Ontario,data.Total all living arrangements,data.Food insecure moderate and severe,9.0
2015-2016,data.Ontario,data.Female living alone,data.Food secure,
2017-2018,data.Ontario,data.Female living alone,data.Food secure,82.1
2015-2016,data.Ontario,data.Female living alone,data.Food insecure marginal,
2017-2018,data.Ontario,data.Female living alone,data.Food insecure marginal,4.4
2015-2016,data.Ontario,data.Female living alone,data.Food insecure moderate and severe,
2017-2018,data.Ontario,data.Female living alone,data.Food insecure moderate and severe,13.5
2015-2016,data.Ontario,data.Male living alone,data.Food secure,
2017-2018,data.Ontario,data.Male living alone,data.Food secure,83.3
2015-2016,data.Ontario,data.Male living alone,data.Food insecure marginal,
2017-2018,data.Ontario,data.Male living alone,data.Food insecure marginal,4.7
2015-2016,data.Ontario,data.Male living alone,data.Food insecure moderate and severe,
2017-2018,data.Ontario,data.Male living alone,data.Food insecure moderate and severe,12.0
2015-2016,data.Ontario,data.Couple no children,data.Food secure,
2017-2018,data.Ontario,data.Couple no children,data.Food secure,93.2
2015-2016,data.Ontario,data.Couple no children,data.Food insecure marginal,
2017-2018,data.Ontario,data.Couple no children,data.Food insecure marginal,2.8
2015-2016,data.Ontario,data.Couple no children,data.Food insecure moderate and severe,
2017-2018,data.Ontario,data.Couple no children,data.Food insecure moderate and severe,4.0
2015-2016,data.Ontario,data.Couple with child(ren) less than 18 years old,data.Food secure,
2017-2018,data.Ontario,data.Couple with child(ren) less than 18 years old,data.Food secure,88.2
2015-2016,data.Ontario,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Ontario,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,4.7
2015-2016,data.Ontario,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2017-2018,data.Ontario,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,7.2
2015-2016,data.Ontario,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,
2017-2018,data.Ontario,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,66.3
2015-2016,data.Ontario,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Ontario,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,7.6
2015-2016,data.Ontario,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2017-2018,data.Ontario,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,26.0
2015-2016,data.Ontario,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,
2017-2018,data.Ontario,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,75.3
2015-2016,data.Ontario,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
