Year,data.Geography,data.Population,data.Sex,data.Age group,GeoCode,Value
2015,data.Canada,data.Total population,data.Females,data.55 years and over,,5.4
2015,data.Canada,data.Total population,data.Females,data.15 to 64 years,,6.4
2015,data.Canada,data.Total population,data.Females,data.15 to 19 years,,15.8
2015,data.Canada,data.Total population,data.Females,data.20 to 24 years,,7.8
2015,data.Canada,data.Total population,data.Females,data.25 to 29 years,,6.6
2015,data.Canada,data.Total population,data.Females,data.30 to 34 years,,5.5
2015,data.Canada,data.Total population,data.Females,data.35 to 39 years,,5.6
2015,data.Canada,data.Total population,data.Females,data.40 to 44 years,,5.5
2015,data.Canada,data.Total population,data.Females,data.45 to 49 years,,4.9
2015,data.Canada,data.Total population,data.Females,data.50 to 54 years,,5.1
2015,data.Canada,data.Total population,data.Females,data.55 to 59 years,,5.7
2015,data.Canada,data.Total population,data.Females,data.60 to 64 years,,5.7
2015,data.Canada,data.Total population,data.Females,data.65 years and over,,4.1
2015,data.Canada,data.Total population,data.Females,data.65 to 69 years,,4.4
2015,data.Canada,data.Total population,data.Females,data.70 years and over,,3.4
2015,data.Newfoundland and Labrador,data.Total population,data.Both sexes,data.15 years and over,10,13.2
2015,data.Newfoundland and Labrador,data.Total population,data.Both sexes,data.15 to 24 years,10,16.6
2015,data.Newfoundland and Labrador,data.Total population,data.Both sexes,data.25 years and over,10,12.6
2015,data.Newfoundland and Labrador,data.Total population,data.Both sexes,data.25 to 44 years,10,10.6
2015,data.Newfoundland and Labrador,data.Total population,data.Both sexes,data.45 to 64 years,10,14.2
2015,data.Newfoundland and Labrador,data.Total population,data.Both sexes,data.45 years and over,10,14.2
2015,data.Newfoundland and Labrador,data.Total population,data.Both sexes,data.25 to 54 years,10,11.3
2015,data.Newfoundland and Labrador,data.Total population,data.Both sexes,data.55 years and over,10,16.5
2015,data.Newfoundland and Labrador,data.Total population,data.Both sexes,data.15 to 64 years,10,13.1
2015,data.Newfoundland and Labrador,data.Total population,data.Both sexes,data.15 to 19 years,10,19.1
2015,data.Newfoundland and Labrador,data.Total population,data.Both sexes,data.20 to 24 years,10,15.1
2015,data.Newfoundland and Labrador,data.Total population,data.Both sexes,data.25 to 29 years,10,11.0
2015,data.Newfoundland and Labrador,data.Total population,data.Both sexes,data.30 to 34 years,10,10.6
2015,data.Newfoundland and Labrador,data.Total population,data.Both sexes,data.35 to 39 years,10,10.0
2015,data.Newfoundland and Labrador,data.Total population,data.Both sexes,data.40 to 44 years,10,11.0
2015,data.Newfoundland and Labrador,data.Total population,data.Both sexes,data.45 to 49 years,10,11.5
2015,data.Newfoundland and Labrador,data.Total population,data.Both sexes,data.50 to 54 years,10,13.2
2015,data.Newfoundland and Labrador,data.Total population,data.Both sexes,data.55 to 59 years,10,15.1
2015,data.Newfoundland and Labrador,data.Total population,data.Both sexes,data.60 to 64 years,10,19.2
2015,data.Newfoundland and Labrador,data.Total population,data.Both sexes,data.65 years and over,10,14.6
2015,data.Newfoundland and Labrador,data.Total population,data.Both sexes,data.65 to 69 years,10,17.1
2015,data.Newfoundland and Labrador,data.Total population,data.Both sexes,data.70 years and over,10,
2015,data.Newfoundland and Labrador,data.Total population,data.Males,data.15 years and over,10,15.6
2015,data.Newfoundland and Labrador,data.Total population,data.Males,data.15 to 24 years,10,20.5
2015,data.Newfoundland and Labrador,data.Total population,data.Males,data.25 years and over,10,14.8
2015,data.Newfoundland and Labrador,data.Total population,data.Males,data.25 to 44 years,10,12.1
2015,data.Newfoundland and Labrador,data.Total population,data.Males,data.45 to 64 years,10,16.8
2015,data.Newfoundland and Labrador,data.Total population,data.Males,data.45 years and over,10,17.0
2015,data.Newfoundland and Labrador,data.Total population,data.Males,data.25 to 54 years,10,13.3
2015,data.Newfoundland and Labrador,data.Total population,data.Males,data.55 years and over,10,18.8
2015,data.Newfoundland and Labrador,data.Total population,data.Males,data.15 to 64 years,10,15.5
2015,data.Newfoundland and Labrador,data.Total population,data.Males,data.15 to 19 years,10,23.9
2015,data.Newfoundland and Labrador,data.Total population,data.Males,data.20 to 24 years,10,18.7
2015,data.Newfoundland and Labrador,data.Total population,data.Males,data.25 to 29 years,10,12.0
2015,data.Newfoundland and Labrador,data.Total population,data.Males,data.30 to 34 years,10,12.2
2015,data.Newfoundland and Labrador,data.Total population,data.Males,data.35 to 39 years,10,11.6
2015,data.Newfoundland and Labrador,data.Total population,data.Males,data.40 to 44 years,10,12.9
2015,data.Newfoundland and Labrador,data.Total population,data.Males,data.45 to 49 years,10,14.6
2015,data.Newfoundland and Labrador,data.Total population,data.Males,data.50 to 54 years,10,16.0
2015,data.Newfoundland and Labrador,data.Total population,data.Males,data.55 to 59 years,10,17.7
2015,data.Newfoundland and Labrador,data.Total population,data.Males,data.60 to 64 years,10,21.2
2015,data.Newfoundland and Labrador,data.Total population,data.Males,data.65 years and over,10,
2015,data.Newfoundland and Labrador,data.Total population,data.Males,data.65 to 69 years,10,
2015,data.Newfoundland and Labrador,data.Total population,data.Males,data.70 years and over,10,
2015,data.Newfoundland and Labrador,data.Total population,data.Females,data.15 years and over,10,10.4
2015,data.Newfoundland and Labrador,data.Total population,data.Females,data.15 to 24 years,10,12.6
2015,data.Newfoundland and Labrador,data.Total population,data.Females,data.25 years and over,10,10.1
2015,data.Newfoundland and Labrador,data.Total population,data.Females,data.25 to 44 years,10,9.2
2015,data.Newfoundland and Labrador,data.Total population,data.Females,data.45 to 64 years,10,11.1
2015,data.Newfoundland and Labrador,data.Total population,data.Females,data.45 years and over,10,11.0
2015,data.Newfoundland and Labrador,data.Total population,data.Females,data.25 to 54 years,10,9.2
2015,data.Newfoundland and Labrador,data.Total population,data.Females,data.55 years and over,10,12.9
2015,data.Newfoundland and Labrador,data.Total population,data.Females,data.15 to 64 years,10,10.5
2015,data.Newfoundland and Labrador,data.Total population,data.Females,data.15 to 19 years,10,14.9
2015,data.Newfoundland and Labrador,data.Total population,data.Females,data.20 to 24 years,10,11.2
2015,data.Newfoundland and Labrador,data.Total population,data.Females,data.25 to 29 years,10,9.9
2015,data.Newfoundland and Labrador,data.Total population,data.Females,data.30 to 34 years,10,8.8
2015,data.Newfoundland and Labrador,data.Total population,data.Females,data.35 to 39 years,10,8.0
2015,data.Newfoundland and Labrador,data.Total population,data.Females,data.40 to 44 years,10,9.8
2015,data.Newfoundland and Labrador,data.Total population,data.Females,data.45 to 49 years,10,8.1
2015,data.Newfoundland and Labrador,data.Total population,data.Females,data.50 to 54 years,10,10.3
2015,data.Newfoundland and Labrador,data.Total population,data.Females,data.55 to 59 years,10,11.9
2015,data.Newfoundland and Labrador,data.Total population,data.Females,data.60 to 64 years,10,16.7
2015,data.Newfoundland and Labrador,data.Total population,data.Females,data.65 years and over,10,
2015,data.Newfoundland and Labrador,data.Total population,data.Females,data.65 to 69 years,10,
2015,data.Newfoundland and Labrador,data.Total population,data.Females,data.70 years and over,10,
2015,data.Prince Edward Island,data.Total population,data.Both sexes,data.15 years and over,11,10.6
2015,data.Prince Edward Island,data.Total population,data.Both sexes,data.15 to 24 years,11,15.4
2015,data.Prince Edward Island,data.Total population,data.Both sexes,data.25 years and over,11,9.7
2015,data.Prince Edward Island,data.Total population,data.Both sexes,data.25 to 44 years,11,9.6
2015,data.Prince Edward Island,data.Total population,data.Both sexes,data.45 to 64 years,11,9.6
2015,data.Prince Edward Island,data.Total population,data.Both sexes,data.45 years and over,11,9.8
2015,data.Prince Edward Island,data.Total population,data.Both sexes,data.25 to 54 years,11,9.1
2015,data.Prince Edward Island,data.Total population,data.Both sexes,data.55 years and over,11,11.3
2015,data.Prince Edward Island,data.Total population,data.Both sexes,data.15 to 64 years,11,10.5
2015,data.Prince Edward Island,data.Total population,data.Both sexes,data.15 to 19 years,11,19.6
2015,data.Prince Edward Island,data.Total population,data.Both sexes,data.20 to 24 years,11,12.3
2015,data.Prince Edward Island,data.Total population,data.Both sexes,data.25 to 29 years,11,11.3
2015,data.Prince Edward Island,data.Total population,data.Both sexes,data.30 to 34 years,11,9.7
2015,data.Prince Edward Island,data.Total population,data.Both sexes,data.35 to 39 years,11,9.6
2015,data.Prince Edward Island,data.Total population,data.Both sexes,data.40 to 44 years,11,8.1
2015,data.Prince Edward Island,data.Total population,data.Both sexes,data.45 to 49 years,11,8.1
2015,data.Prince Edward Island,data.Total population,data.Both sexes,data.50 to 54 years,11,8.3
2015,data.Prince Edward Island,data.Total population,data.Both sexes,data.55 to 59 years,11,10.1
2015,data.Prince Edward Island,data.Total population,data.Both sexes,data.60 to 64 years,11,13.6
2015,data.Prince Edward Island,data.Total population,data.Both sexes,data.65 years and over,11,10.6
2015,data.Prince Edward Island,data.Total population,data.Both sexes,data.65 to 69 years,11,12.9
2015,data.Prince Edward Island,data.Total population,data.Both sexes,data.70 years and over,11,
2015,data.Prince Edward Island,data.Total population,data.Males,data.15 years and over,11,12.0
2015,data.Prince Edward Island,data.Total population,data.Males,data.15 to 24 years,11,20.3
2015,data.Prince Edward Island,data.Total population,data.Males,data.25 years and over,11,10.5
2015,data.Prince Edward Island,data.Total population,data.Males,data.25 to 44 years,11,11.3
2015,data.Prince Edward Island,data.Total population,data.Males,data.45 to 64 years,11,9.9
2015,data.Prince Edward Island,data.Total population,data.Males,data.45 years and over,11,9.9
2015,data.Prince Edward Island,data.Total population,data.Males,data.25 to 54 years,11,9.7
2015,data.Prince Edward Island,data.Total population,data.Males,data.55 years and over,11,11.3
2015,data.Prince Edward Island,data.Total population,data.Males,data.15 to 64 years,11,11.9
2015,data.Prince Edward Island,data.Total population,data.Males,data.15 to 19 years,11,23.1
2015,data.Prince Edward Island,data.Total population,data.Males,data.20 to 24 years,11,18.4
2015,data.Prince Edward Island,data.Total population,data.Males,data.25 to 29 years,11,10.8
2015,data.Prince Edward Island,data.Total population,data.Males,data.30 to 34 years,11,10.8
2015,data.Prince Edward Island,data.Total population,data.Males,data.35 to 39 years,11,13.9
2015,data.Prince Edward Island,data.Total population,data.Males,data.40 to 44 years,11,9.8
2015,data.Prince Edward Island,data.Total population,data.Males,data.45 to 49 years,11,6.8
2015,data.Prince Edward Island,data.Total population,data.Males,data.50 to 54 years,11,7.7
2015,data.Prince Edward Island,data.Total population,data.Males,data.55 to 59 years,11,9.1
2015,data.Prince Edward Island,data.Total population,data.Males,data.60 to 64 years,11,15.6
2015,data.Prince Edward Island,data.Total population,data.Males,data.65 years and over,11,
2015,data.Prince Edward Island,data.Total population,data.Males,data.65 to 69 years,11,
2015,data.Prince Edward Island,data.Total population,data.Males,data.70 years and over,11,
2015,data.Prince Edward Island,data.Total population,data.Females,data.15 years and over,11,9.0
2015,data.Prince Edward Island,data.Total population,data.Females,data.15 to 24 years,11,10.2
2015,data.Prince Edward Island,data.Total population,data.Females,data.25 years and over,11,8.8
2015,data.Prince Edward Island,data.Total population,data.Females,data.25 to 44 years,11,8.6
2015,data.Prince Edward Island,data.Total population,data.Females,data.45 to 64 years,11,9.4
2015,data.Prince Edward Island,data.Total population,data.Females,data.45 years and over,11,9.6
2015,data.Prince Edward Island,data.Total population,data.Females,data.25 to 54 years,11,8.0
2015,data.Prince Edward Island,data.Total population,data.Females,data.55 years and over,11,11.2
2015,data.Prince Edward Island,data.Total population,data.Females,data.15 to 64 years,11,9.2
2015,data.Prince Edward Island,data.Total population,data.Females,data.15 to 19 years,11,12.0
2015,data.Prince Edward Island,data.Total population,data.Females,data.20 to 24 years,11,5.9
2015,data.Prince Edward Island,data.Total population,data.Females,data.25 to 29 years,11,11.4
2015,data.Prince Edward Island,data.Total population,data.Females,data.30 to 34 years,11,8.3
2015,data.Prince Edward Island,data.Total population,data.Females,data.35 to 39 years,11,5.4
2015,data.Prince Edward Island,data.Total population,data.Females,data.40 to 44 years,11,6.7
2015,data.Prince Edward Island,data.Total population,data.Females,data.45 to 49 years,11,7.1
2015,data.Prince Edward Island,data.Total population,data.Females,data.50 to 54 years,11,8.9
2015,data.Prince Edward Island,data.Total population,data.Females,data.55 to 59 years,11,10.9
2015,data.Prince Edward Island,data.Total population,data.Females,data.60 to 64 years,11,11.1
2015,data.Prince Edward Island,data.Total population,data.Females,data.65 years and over,11,
2015,data.Prince Edward Island,data.Total population,data.Females,data.65 to 69 years,11,
2015,data.Prince Edward Island,data.Total population,data.Females,data.70 years and over,11,
2015,data.Nova Scotia,data.Total population,data.Both sexes,data.15 years and over,12,8.8
2015,data.Nova Scotia,data.Total population,data.Both sexes,data.15 to 24 years,12,15.1
2015,data.Nova Scotia,data.Total population,data.Both sexes,data.25 years and over,12,7.7
2015,data.Nova Scotia,data.Total population,data.Both sexes,data.25 to 44 years,12,7.2
2015,data.Nova Scotia,data.Total population,data.Both sexes,data.45 to 64 years,12,8.3
2015,data.Nova Scotia,data.Total population,data.Both sexes,data.45 years and over,12,8.2
2015,data.Nova Scotia,data.Total population,data.Both sexes,data.25 to 54 years,12,7.4
2015,data.Nova Scotia,data.Total population,data.Both sexes,data.55 years and over,12,8.6
2015,data.Nova Scotia,data.Total population,data.Both sexes,data.15 to 64 years,12,8.9
2015,data.Nova Scotia,data.Total population,data.Both sexes,data.15 to 19 years,12,20.7
2015,data.Nova Scotia,data.Total population,data.Both sexes,data.20 to 24 years,12,11.9
2015,data.Nova Scotia,data.Total population,data.Both sexes,data.25 to 29 years,12,8.8
2015,data.Nova Scotia,data.Total population,data.Both sexes,data.30 to 34 years,12,6.7
2015,data.Nova Scotia,data.Total population,data.Both sexes,data.35 to 39 years,12,7.6
2015,data.Nova Scotia,data.Total population,data.Both sexes,data.40 to 44 years,12,5.9
2015,data.Nova Scotia,data.Total population,data.Both sexes,data.45 to 49 years,12,7.5
2015,data.Nova Scotia,data.Total population,data.Both sexes,data.50 to 54 years,12,8.0
2015,data.Nova Scotia,data.Total population,data.Both sexes,data.55 to 59 years,12,8.2
2015,data.Nova Scotia,data.Total population,data.Both sexes,data.60 to 64 years,12,10.2
2015,data.Nova Scotia,data.Total population,data.Both sexes,data.65 years and over,12,6.4
2015,data.Nova Scotia,data.Total population,data.Both sexes,data.65 to 69 years,12,8.4
2015,data.Nova Scotia,data.Total population,data.Both sexes,data.70 years and over,12,
2015,data.Nova Scotia,data.Total population,data.Males,data.15 years and over,12,10.4
2015,data.Nova Scotia,data.Total population,data.Males,data.15 to 24 years,12,17.8
2015,data.Nova Scotia,data.Total population,data.Males,data.25 years and over,12,9.1
2015,data.Nova Scotia,data.Total population,data.Males,data.25 to 44 years,12,8.7
2015,data.Nova Scotia,data.Total population,data.Males,data.45 to 64 years,12,9.6
2015,data.Nova Scotia,data.Total population,data.Males,data.45 years and over,12,9.5
2015,data.Nova Scotia,data.Total population,data.Males,data.25 to 54 years,12,8.7
2015,data.Nova Scotia,data.Total population,data.Males,data.55 years and over,12,10.2
2015,data.Nova Scotia,data.Total population,data.Males,data.15 to 64 years,12,10.6
2015,data.Nova Scotia,data.Total population,data.Males,data.15 to 19 years,12,26.1
2015,data.Nova Scotia,data.Total population,data.Males,data.20 to 24 years,12,13.2
2015,data.Nova Scotia,data.Total population,data.Males,data.25 to 29 years,12,12.1
2015,data.Nova Scotia,data.Total population,data.Males,data.30 to 34 years,12,8.9
2015,data.Nova Scotia,data.Total population,data.Males,data.35 to 39 years,12,8.1
2015,data.Nova Scotia,data.Total population,data.Males,data.40 to 44 years,12,5.8
2015,data.Nova Scotia,data.Total population,data.Males,data.45 to 49 years,12,8.8
2015,data.Nova Scotia,data.Total population,data.Males,data.50 to 54 years,12,8.6
2015,data.Nova Scotia,data.Total population,data.Males,data.55 to 59 years,12,10.4
2015,data.Nova Scotia,data.Total population,data.Males,data.60 to 64 years,12,11.6
2015,data.Nova Scotia,data.Total population,data.Males,data.65 years and over,12,
2015,data.Nova Scotia,data.Total population,data.Males,data.65 to 69 years,12,
2015,data.Nova Scotia,data.Total population,data.Males,data.70 years and over,12,
2015,data.Nova Scotia,data.Total population,data.Females,data.15 years and over,12,7.2
2015,data.Nova Scotia,data.Total population,data.Females,data.15 to 24 years,12,12.4
2015,data.Nova Scotia,data.Total population,data.Females,data.25 years and over,12,6.2
2015,data.Nova Scotia,data.Total population,data.Females,data.25 to 44 years,12,5.6
2015,data.Nova Scotia,data.Total population,data.Females,data.45 to 64 years,12,7.0
2015,data.Nova Scotia,data.Total population,data.Females,data.45 years and over,12,6.7
2015,data.Nova Scotia,data.Total population,data.Females,data.25 to 54 years,12,6.1
2015,data.Nova Scotia,data.Total population,data.Females,data.55 years and over,12,6.6
2015,data.Nova Scotia,data.Total population,data.Females,data.15 to 64 years,12,7.2
2015,data.Nova Scotia,data.Total population,data.Females,data.15 to 19 years,12,15.5
2015,data.Nova Scotia,data.Total population,data.Females,data.20 to 24 years,12,10.4
2015,data.Nova Scotia,data.Total population,data.Females,data.25 to 29 years,12,5.3
2015,data.Nova Scotia,data.Total population,data.Females,data.30 to 34 years,12,4.4
2015,data.Nova Scotia,data.Total population,data.Females,data.35 to 39 years,12,7.1
2015,data.Nova Scotia,data.Total population,data.Females,data.40 to 44 years,12,6.0
2015,data.Nova Scotia,data.Total population,data.Females,data.45 to 49 years,12,6.3
2015,data.Nova Scotia,data.Total population,data.Females,data.50 to 54 years,12,7.4
2015,data.Nova Scotia,data.Total population,data.Females,data.55 to 59 years,12,6.3
2015,data.Nova Scotia,data.Total population,data.Females,data.60 to 64 years,12,8.6
2015,data.Nova Scotia,data.Total population,data.Females,data.65 years and over,12,
2015,data.Nova Scotia,data.Total population,data.Females,data.65 to 69 years,12,
2015,data.Nova Scotia,data.Total population,data.Females,data.70 years and over,12,
2015,data.New Brunswick,data.Total population,data.Both sexes,data.15 years and over,13,10.0
2015,data.New Brunswick,data.Total population,data.Both sexes,data.15 to 24 years,13,16.9
2015,data.New Brunswick,data.Total population,data.Both sexes,data.25 years and over,13,8.9
2015,data.New Brunswick,data.Total population,data.Both sexes,data.25 to 44 years,13,8.2
2015,data.New Brunswick,data.Total population,data.Both sexes,data.45 to 64 years,13,9.7
2015,data.New Brunswick,data.Total population,data.Both sexes,data.45 years and over,13,9.5
2015,data.New Brunswick,data.Total population,data.Both sexes,data.25 to 54 years,13,8.4
2015,data.New Brunswick,data.Total population,data.Both sexes,data.55 years and over,13,10.4
2015,data.New Brunswick,data.Total population,data.Both sexes,data.15 to 64 years,13,10.2
2015,data.New Brunswick,data.Total population,data.Both sexes,data.15 to 19 years,13,18.5
2015,data.New Brunswick,data.Total population,data.Both sexes,data.20 to 24 years,13,16.0
2015,data.New Brunswick,data.Total population,data.Both sexes,data.25 to 29 years,13,10.6
2015,data.New Brunswick,data.Total population,data.Both sexes,data.30 to 34 years,13,8.7
2015,data.New Brunswick,data.Total population,data.Both sexes,data.35 to 39 years,13,7.0
2015,data.New Brunswick,data.Total population,data.Both sexes,data.40 to 44 years,13,6.9
2015,data.New Brunswick,data.Total population,data.Both sexes,data.45 to 49 years,13,8.0
2015,data.New Brunswick,data.Total population,data.Both sexes,data.50 to 54 years,13,9.3
2015,data.New Brunswick,data.Total population,data.Both sexes,data.55 to 59 years,13,9.8
2015,data.New Brunswick,data.Total population,data.Both sexes,data.60 to 64 years,13,13.2
2015,data.New Brunswick,data.Total population,data.Both sexes,data.65 years and over,13,7.2
2015,data.New Brunswick,data.Total population,data.Both sexes,data.65 to 69 years,13,9.6
2015,data.New Brunswick,data.Total population,data.Both sexes,data.70 years and over,13,
2015,data.New Brunswick,data.Total population,data.Males,data.15 years and over,13,12.6
2015,data.New Brunswick,data.Total population,data.Males,data.15 to 24 years,13,21.9
2015,data.New Brunswick,data.Total population,data.Males,data.25 years and over,13,11.1
2015,data.New Brunswick,data.Total population,data.Males,data.25 to 44 years,13,10.3
2015,data.New Brunswick,data.Total population,data.Males,data.45 to 64 years,13,12.1
2015,data.New Brunswick,data.Total population,data.Males,data.45 years and over,13,11.8
2015,data.New Brunswick,data.Total population,data.Males,data.25 to 54 years,13,10.5
2015,data.New Brunswick,data.Total population,data.Males,data.55 years and over,13,12.7
2015,data.New Brunswick,data.Total population,data.Males,data.15 to 64 years,13,12.8
2015,data.New Brunswick,data.Total population,data.Males,data.15 to 19 years,13,22.6
2015,data.New Brunswick,data.Total population,data.Males,data.20 to 24 years,13,21.5
2015,data.New Brunswick,data.Total population,data.Males,data.25 to 29 years,13,14.0
2015,data.New Brunswick,data.Total population,data.Males,data.30 to 34 years,13,10.7
2015,data.New Brunswick,data.Total population,data.Males,data.35 to 39 years,13,9.0
2015,data.New Brunswick,data.Total population,data.Males,data.40 to 44 years,13,7.8
2015,data.New Brunswick,data.Total population,data.Males,data.45 to 49 years,13,9.4
2015,data.New Brunswick,data.Total population,data.Males,data.50 to 54 years,13,12.1
2015,data.New Brunswick,data.Total population,data.Males,data.55 to 59 years,13,12.2
2015,data.New Brunswick,data.Total population,data.Males,data.60 to 64 years,13,15.6
2015,data.New Brunswick,data.Total population,data.Males,data.65 years and over,13,
2015,data.New Brunswick,data.Total population,data.Males,data.65 to 69 years,13,
2015,data.New Brunswick,data.Total population,data.Males,data.70 years and over,13,
2015,data.New Brunswick,data.Total population,data.Females,data.15 years and over,13,7.2
2015,data.New Brunswick,data.Total population,data.Females,data.15 to 24 years,13,11.9
2015,data.New Brunswick,data.Total population,data.Females,data.25 years and over,13,6.5
2015,data.New Brunswick,data.Total population,data.Females,data.25 to 44 years,13,6.1
2015,data.New Brunswick,data.Total population,data.Females,data.45 to 64 years,13,7.2
2015,data.New Brunswick,data.Total population,data.Females,data.45 years and over,13,6.9
2015,data.New Brunswick,data.Total population,data.Females,data.25 to 54 years,13,6.2
2015,data.New Brunswick,data.Total population,data.Females,data.55 years and over,13,7.5
2015,data.New Brunswick,data.Total population,data.Females,data.15 to 64 years,13,7.3
2015,data.New Brunswick,data.Total population,data.Females,data.15 to 19 years,13,14.3
2015,data.New Brunswick,data.Total population,data.Females,data.20 to 24 years,13,9.7
2015,data.New Brunswick,data.Total population,data.Females,data.25 to 29 years,13,6.9
2015,data.New Brunswick,data.Total population,data.Females,data.30 to 34 years,13,6.0
2015,data.New Brunswick,data.Total population,data.Females,data.35 to 39 years,13,4.9
2015,data.New Brunswick,data.Total population,data.Females,data.40 to 44 years,13,6.1
2015,data.New Brunswick,data.Total population,data.Females,data.45 to 49 years,13,6.7
2015,data.New Brunswick,data.Total population,data.Females,data.50 to 54 years,13,6.5
2015,data.New Brunswick,data.Total population,data.Females,data.55 to 59 years,13,7.1
2015,data.New Brunswick,data.Total population,data.Females,data.60 to 64 years,13,9.6
2015,data.New Brunswick,data.Total population,data.Females,data.65 years and over,13,
2015,data.New Brunswick,data.Total population,data.Females,data.65 to 69 years,13,
2015,data.New Brunswick,data.Total population,data.Females,data.70 years and over,13,
2015,data.Quebec,data.Total population,data.Both sexes,data.15 years and over,24,7.7
2015,data.Quebec,data.Total population,data.Both sexes,data.15 to 24 years,24,12.1
2015,data.Quebec,data.Total population,data.Both sexes,data.25 years and over,24,6.9
2015,data.Quebec,data.Total population,data.Both sexes,data.25 to 44 years,24,7.2
2015,data.Quebec,data.Total population,data.Both sexes,data.45 to 64 years,24,6.6
2015,data.Quebec,data.Total population,data.Both sexes,data.45 years and over,24,6.6
2015,data.Quebec,data.Total population,data.Both sexes,data.25 to 54 years,24,6.7
2015,data.Quebec,data.Total population,data.Both sexes,data.55 years and over,24,7.5
2015,data.Quebec,data.Total population,data.Both sexes,data.15 to 64 years,24,7.7
2015,data.Quebec,data.Total population,data.Both sexes,data.15 to 19 years,24,17.5
2015,data.Quebec,data.Total population,data.Both sexes,data.20 to 24 years,24,9.1
2015,data.Quebec,data.Total population,data.Both sexes,data.25 to 29 years,24,8.6
2015,data.Quebec,data.Total population,data.Both sexes,data.30 to 34 years,24,6.9
2015,data.Quebec,data.Total population,data.Both sexes,data.35 to 39 years,24,6.4
2015,data.Quebec,data.Total population,data.Both sexes,data.40 to 44 years,24,7.0
2015,data.Quebec,data.Total population,data.Both sexes,data.45 to 49 years,24,5.6
