Year,Units,Geography,Offences,Age,Sex,Value
2018/2019,Adult criminal courts,Canada,Total offences,35 to 44 years,Sex unknown,134.0
2014/2015,Adult criminal courts,Canada,Total offences,45 to 54 years,Total,120.0
2015/2016,Adult criminal courts,Canada,Total offences,45 to 54 years,Total,123.0
2016/2017,Adult criminal courts,Canada,Total offences,45 to 54 years,Total,137.0
2017/2018,Adult criminal courts,Canada,Total offences,45 to 54 years,Total,139.0
2018/2019,Adult criminal courts,Canada,Total offences,45 to 54 years,Total,138.0
2014/2015,Adult criminal courts,Canada,Total offences,45 to 54 years,Males,121.0
2015/2016,Adult criminal courts,Canada,Total offences,45 to 54 years,Males,123.0
2016/2017,Adult criminal courts,Canada,Total offences,45 to 54 years,Males,139.0
2017/2018,Adult criminal courts,Canada,Total offences,45 to 54 years,Males,141.0
2018/2019,Adult criminal courts,Canada,Total offences,45 to 54 years,Males,140.0
2014/2015,Adult criminal courts,Canada,Total offences,45 to 54 years,Females,107.0
2015/2016,Adult criminal courts,Canada,Total offences,45 to 54 years,Females,118.0
2016/2017,Adult criminal courts,Canada,Total offences,45 to 54 years,Females,125.0
2017/2018,Adult criminal courts,Canada,Total offences,45 to 54 years,Females,129.0
2018/2019,Adult criminal courts,Canada,Total offences,45 to 54 years,Females,132.0
2014/2015,Adult criminal courts,Canada,Total offences,45 to 54 years,Sex unknown,147.0
2015/2016,Adult criminal courts,Canada,Total offences,45 to 54 years,Sex unknown,148.0
2016/2017,Adult criminal courts,Canada,Total offences,45 to 54 years,Sex unknown,160.0
2017/2018,Adult criminal courts,Canada,Total offences,45 to 54 years,Sex unknown,135.0
2018/2019,Adult criminal courts,Canada,Total offences,45 to 54 years,Sex unknown,140.0
2014/2015,Adult criminal courts,Canada,Total offences,55 years and over,Total,107.0
2015/2016,Adult criminal courts,Canada,Total offences,55 years and over,Total,113.0
2016/2017,Adult criminal courts,Canada,Total offences,55 years and over,Total,120.0
2017/2018,Adult criminal courts,Canada,Total offences,55 years and over,Total,120.0
2018/2019,Adult criminal courts,Canada,Total offences,55 years and over,Total,120.0
2014/2015,Adult criminal courts,Canada,Total offences,55 years and over,Males,111.0
2015/2016,Adult criminal courts,Canada,Total offences,55 years and over,Males,116.0
2016/2017,Adult criminal courts,Canada,Total offences,55 years and over,Males,124.0
2017/2018,Adult criminal courts,Canada,Total offences,55 years and over,Males,121.0
2018/2019,Adult criminal courts,Canada,Total offences,55 years and over,Males,122.0
2014/2015,Adult criminal courts,Canada,Total offences,55 years and over,Females,91.0
2015/2016,Adult criminal courts,Canada,Total offences,55 years and over,Females,85.0
2016/2017,Adult criminal courts,Canada,Total offences,55 years and over,Females,96.0
2017/2018,Adult criminal courts,Canada,Total offences,55 years and over,Females,99.0
2018/2019,Adult criminal courts,Canada,Total offences,55 years and over,Females,101.0
2014/2015,Adult criminal courts,Canada,Total offences,55 years and over,Sex unknown,138.0
2015/2016,Adult criminal courts,Canada,Total offences,55 years and over,Sex unknown,157.0
2016/2017,Adult criminal courts,Canada,Total offences,55 years and over,Sex unknown,162.0
2017/2018,Adult criminal courts,Canada,Total offences,55 years and over,Sex unknown,134.0
2018/2019,Adult criminal courts,Canada,Total offences,55 years and over,Sex unknown,124.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,Total,Total,122.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,Total,Total,125.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,Total,Total,134.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,Total,Total,136.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,Total,Total,138.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,Total,Males,124.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,Total,Males,126.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,Total,Males,136.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,Total,Males,140.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,Total,Males,141.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,Total,Females,108.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,Total,Females,113.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,Total,Females,122.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,Total,Females,126.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,Total,Females,129.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,Total,Company,171.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,Total,Company,98.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,Total,Company,196.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,Total,Company,121.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,Total,Company,129.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,Total,Sex unknown,149.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,Total,Sex unknown,148.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,Total,Sex unknown,150.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,Total,Sex unknown,139.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,Total,Sex unknown,136.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Total,129.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Total,132.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Total,143.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Total,148.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Total,151.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Males,132.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Males,134.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Males,148.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Males,153.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Males,156.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Females,113.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Females,113.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Females,127.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Females,132.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Females,134.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Sex unknown,155.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Sex unknown,150.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Sex unknown,159.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Sex unknown,151.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Sex unknown,150.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Total,120.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Total,122.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Total,131.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Total,133.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Total,135.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Males,120.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Males,123.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Males,132.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Males,134.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Males,137.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Females,109.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Females,114.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Females,125.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Females,127.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Females,133.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Sex unknown,145.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Sex unknown,145.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Sex unknown,145.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Sex unknown,133.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Sex unknown,134.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Total,122.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Total,124.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Total,132.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Total,134.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Total,134.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Males,122.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Males,123.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Males,134.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Males,135.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Males,135.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Females,113.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Females,116.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Females,125.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Females,127.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Females,130.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Sex unknown,151.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Sex unknown,152.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Sex unknown,139.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Sex unknown,131.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Sex unknown,134.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Total,120.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Total,123.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Total,135.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Total,140.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Total,140.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Males,123.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Males,124.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Males,139.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Males,143.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Males,141.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Females,105.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Females,113.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Females,120.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Females,127.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Females,129.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Sex unknown,149.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Sex unknown,147.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Sex unknown,156.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Sex unknown,135.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Sex unknown,141.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Total,113.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Total,114.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Total,124.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Total,126.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Total,126.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Males,117.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Males,120.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Males,128.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Males,131.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Males,131.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Females,86.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Females,83.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Females,93.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Females,99.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Females,102.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Sex unknown,148.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Sex unknown,159.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Sex unknown,162.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Sex unknown,143.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Sex unknown,127.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,Total,Total,174.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,Total,Total,173.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,Total,Total,183.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,Total,Total,183.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,Total,Total,178.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,Total,Males,178.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,Total,Males,177.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,Total,Males,189.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,Total,Males,190.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,Total,Males,184.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,Total,Females,143.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,Total,Females,145.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,Total,Females,155.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,Total,Females,154.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,Total,Females,155.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,Total,Company,247.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,Total,Company,97.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,Total,Company,419.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,Total,Company,479.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,Total,Company,162.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,Total,Sex unknown,199.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,Total,Sex unknown,198.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,Total,Sex unknown,190.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,Total,Sex unknown,180.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,Total,Sex unknown,175.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Total,194.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Total,192.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Total,206.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Total,206.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Total,203.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Males,203.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Males,200.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Males,218.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Males,217.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Males,216.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Females,157.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Females,154.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Females,167.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Females,172.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Females,163.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Sex unknown,220.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Sex unknown,221.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Sex unknown,204.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Sex unknown,199.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Sex unknown,194.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Total,171.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Total,172.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Total,179.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Total,181.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Total,178.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Males,176.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Males,176.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Males,184.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Males,189.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Males,185.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Females,142.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Females,148.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Females,155.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Females,154.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Females,157.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Sex unknown,197.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Sex unknown,198.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Sex unknown,180.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Sex unknown,175.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Sex unknown,172.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Total,169.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Total,169.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Total,176.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Total,177.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Total,170.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Males,173.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Males,172.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Males,182.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Males,185.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Males,175.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Females,142.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Females,145.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Females,155.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Females,147.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Females,151.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Sex unknown,194.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Sex unknown,192.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Sex unknown,186.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Sex unknown,165.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Sex unknown,163.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Total,164.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Total,162.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Total,176.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Total,177.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Total,175.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Males,169.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Males,165.0
