Year,data.Geography,data.Type of case,data.Elapsed time,GeoCode,Value
2014/2015,data.Yukon,data.Family cases,data.Less than or equal to 3 months,60,65.32
2014/2015,data.Yukon,data.Family cases,data.Greater than 3 months to 6 months,60,15.61
2014/2015,data.Yukon,data.Family cases,data.Greater than 6 months to 12 months,60,10.12
2014/2015,data.Yukon,data.Family cases,data.Greater than 12 months to 24 months,60,6.65
2014/2015,data.Yukon,data.Family cases,data.Greater than 24 months,60,2.31
2014/2015,data.Yukon,data.Family cases,data.Unknown,60,0.0
2014/2015,data.Northwest Territories,data.Total cases,data.Less than or equal to 3 months,61,72.58
2014/2015,data.Northwest Territories,data.Total cases,data.Greater than 3 months to 6 months,61,8.29
2014/2015,data.Northwest Territories,data.Total cases,data.Greater than 6 months to 12 months,61,8.53
2014/2015,data.Northwest Territories,data.Total cases,data.Greater than 12 months to 24 months,61,3.46
2014/2015,data.Northwest Territories,data.Total cases,data.Greater than 24 months,61,6.68
2014/2015,data.Northwest Territories,data.Total cases,data.Unknown,61,0.46
2014/2015,data.Northwest Territories,data.General civil cases,data.Less than or equal to 3 months,61,76.59
2014/2015,data.Northwest Territories,data.General civil cases,data.Greater than 3 months to 6 months,61,6.69
2014/2015,data.Northwest Territories,data.General civil cases,data.Greater than 6 months to 12 months,61,7.69
2014/2015,data.Northwest Territories,data.General civil cases,data.Greater than 12 months to 24 months,61,3.01
2014/2015,data.Northwest Territories,data.General civil cases,data.Greater than 24 months,61,5.35
2014/2015,data.Northwest Territories,data.General civil cases,data.Unknown,61,0.67
2014/2015,data.Northwest Territories,data.Family cases,data.Less than or equal to 3 months,61,63.7
2014/2015,data.Northwest Territories,data.Family cases,data.Greater than 3 months to 6 months,61,11.85
2014/2015,data.Northwest Territories,data.Family cases,data.Greater than 6 months to 12 months,61,10.37
2014/2015,data.Northwest Territories,data.Family cases,data.Greater than 12 months to 24 months,61,4.44
2014/2015,data.Northwest Territories,data.Family cases,data.Greater than 24 months,61,9.63
2014/2015,data.Northwest Territories,data.Family cases,data.Unknown,61,0.0
2014/2015,data.Nunavut,data.Total cases,data.Less than or equal to 3 months,62,60.73
2014/2015,data.Nunavut,data.Total cases,data.Greater than 3 months to 6 months,62,13.79
2014/2015,data.Nunavut,data.Total cases,data.Greater than 6 months to 12 months,62,9.2
2014/2015,data.Nunavut,data.Total cases,data.Greater than 12 months to 24 months,62,7.66
2014/2015,data.Nunavut,data.Total cases,data.Greater than 24 months,62,8.62
2014/2015,data.Nunavut,data.Total cases,data.Unknown,62,0.0
2014/2015,data.Nunavut,data.General civil cases,data.Less than or equal to 3 months,62,15.12
2014/2015,data.Nunavut,data.General civil cases,data.Greater than 3 months to 6 months,62,22.67
2014/2015,data.Nunavut,data.General civil cases,data.Greater than 6 months to 12 months,62,19.77
2014/2015,data.Nunavut,data.General civil cases,data.Greater than 12 months to 24 months,62,19.19
2014/2015,data.Nunavut,data.General civil cases,data.Greater than 24 months,62,23.26
2014/2015,data.Nunavut,data.General civil cases,data.Unknown,62,0.0
2014/2015,data.Nunavut,data.Family cases,data.Less than or equal to 3 months,62,83.14
2014/2015,data.Nunavut,data.Family cases,data.Greater than 3 months to 6 months,62,9.43
2014/2015,data.Nunavut,data.Family cases,data.Greater than 6 months to 12 months,62,4.0
2014/2015,data.Nunavut,data.Family cases,data.Greater than 12 months to 24 months,62,2.0
2014/2015,data.Nunavut,data.Family cases,data.Greater than 24 months,62,1.43
2014/2015,data.Nunavut,data.Family cases,data.Unknown,62,0.0
2015/2016,data.Canada,data.Total cases,data.Less than or equal to 3 months,,53.96
2015/2016,data.Canada,data.Total cases,data.Greater than 3 months to 6 months,,17.36
2015/2016,data.Canada,data.Total cases,data.Greater than 6 months to 12 months,,12.98
2015/2016,data.Canada,data.Total cases,data.Greater than 12 months to 24 months,,8.23
2015/2016,data.Canada,data.Total cases,data.Greater than 24 months,,7.39
2015/2016,data.Canada,data.Total cases,data.Unknown,,0.09
2015/2016,data.Canada,data.General civil cases,data.Less than or equal to 3 months,,48.29
2015/2016,data.Canada,data.General civil cases,data.Greater than 3 months to 6 months,,16.95
2015/2016,data.Canada,data.General civil cases,data.Greater than 6 months to 12 months,,15.13
2015/2016,data.Canada,data.General civil cases,data.Greater than 12 months to 24 months,,10.21
2015/2016,data.Canada,data.General civil cases,data.Greater than 24 months,,9.38
2015/2016,data.Canada,data.General civil cases,data.Unknown,,0.04
2015/2016,data.Canada,data.Family cases,data.Less than or equal to 3 months,,62.66
2015/2016,data.Canada,data.Family cases,data.Greater than 3 months to 6 months,,17.99
2015/2016,data.Canada,data.Family cases,data.Greater than 6 months to 12 months,,9.67
2015/2016,data.Canada,data.Family cases,data.Greater than 12 months to 24 months,,5.19
2015/2016,data.Canada,data.Family cases,data.Greater than 24 months,,4.34
2015/2016,data.Canada,data.Family cases,data.Unknown,,0.15
2015/2016,data.Prince Edward Island,data.Total cases,data.Less than or equal to 3 months,11,
2015/2016,data.Prince Edward Island,data.Total cases,data.Greater than 3 months to 6 months,11,
2015/2016,data.Prince Edward Island,data.Total cases,data.Greater than 6 months to 12 months,11,
2015/2016,data.Prince Edward Island,data.Total cases,data.Greater than 12 months to 24 months,11,
2015/2016,data.Prince Edward Island,data.Total cases,data.Greater than 24 months,11,
2015/2016,data.Prince Edward Island,data.Total cases,data.Unknown,11,
2015/2016,data.Prince Edward Island,data.General civil cases,data.Less than or equal to 3 months,11,
2015/2016,data.Prince Edward Island,data.General civil cases,data.Greater than 3 months to 6 months,11,
2015/2016,data.Prince Edward Island,data.General civil cases,data.Greater than 6 months to 12 months,11,
2015/2016,data.Prince Edward Island,data.General civil cases,data.Greater than 12 months to 24 months,11,
2015/2016,data.Prince Edward Island,data.General civil cases,data.Greater than 24 months,11,
2015/2016,data.Prince Edward Island,data.General civil cases,data.Unknown,11,
2015/2016,data.Prince Edward Island,data.Family cases,data.Less than or equal to 3 months,11,
2015/2016,data.Prince Edward Island,data.Family cases,data.Greater than 3 months to 6 months,11,
2015/2016,data.Prince Edward Island,data.Family cases,data.Greater than 6 months to 12 months,11,
2015/2016,data.Prince Edward Island,data.Family cases,data.Greater than 12 months to 24 months,11,
2015/2016,data.Prince Edward Island,data.Family cases,data.Greater than 24 months,11,
2015/2016,data.Prince Edward Island,data.Family cases,data.Unknown,11,
2015/2016,data.Nova Scotia,data.Total cases,data.Less than or equal to 3 months,12,42.86
2015/2016,data.Nova Scotia,data.Total cases,data.Greater than 3 months to 6 months,12,17.94
2015/2016,data.Nova Scotia,data.Total cases,data.Greater than 6 months to 12 months,12,15.36
2015/2016,data.Nova Scotia,data.Total cases,data.Greater than 12 months to 24 months,12,12.61
2015/2016,data.Nova Scotia,data.Total cases,data.Greater than 24 months,12,10.43
2015/2016,data.Nova Scotia,data.Total cases,data.Unknown,12,0.8
2015/2016,data.Nova Scotia,data.General civil cases,data.Less than or equal to 3 months,12,35.57
2015/2016,data.Nova Scotia,data.General civil cases,data.Greater than 3 months to 6 months,12,15.87
2015/2016,data.Nova Scotia,data.General civil cases,data.Greater than 6 months to 12 months,12,16.09
2015/2016,data.Nova Scotia,data.General civil cases,data.Greater than 12 months to 24 months,12,17.0
2015/2016,data.Nova Scotia,data.General civil cases,data.Greater than 24 months,12,15.3
2015/2016,data.Nova Scotia,data.General civil cases,data.Unknown,12,0.18
2015/2016,data.Nova Scotia,data.Family cases,data.Less than or equal to 3 months,12,46.84
2015/2016,data.Nova Scotia,data.Family cases,data.Greater than 3 months to 6 months,12,19.06
2015/2016,data.Nova Scotia,data.Family cases,data.Greater than 6 months to 12 months,12,14.96
2015/2016,data.Nova Scotia,data.Family cases,data.Greater than 12 months to 24 months,12,10.23
2015/2016,data.Nova Scotia,data.Family cases,data.Greater than 24 months,12,7.77
2015/2016,data.Nova Scotia,data.Family cases,data.Unknown,12,1.14
2015/2016,data.New Brunswick,data.Total cases,data.Less than or equal to 3 months,13,54.72
2015/2016,data.New Brunswick,data.Total cases,data.Greater than 3 months to 6 months,13,15.59
2015/2016,data.New Brunswick,data.Total cases,data.Greater than 6 months to 12 months,13,13.71
2015/2016,data.New Brunswick,data.Total cases,data.Greater than 12 months to 24 months,13,10.02
2015/2016,data.New Brunswick,data.Total cases,data.Greater than 24 months,13,5.85
2015/2016,data.New Brunswick,data.Total cases,data.Unknown,13,0.12
2015/2016,data.New Brunswick,data.General civil cases,data.Less than or equal to 3 months,13,50.71
2015/2016,data.New Brunswick,data.General civil cases,data.Greater than 3 months to 6 months,13,17.56
2015/2016,data.New Brunswick,data.General civil cases,data.Greater than 6 months to 12 months,13,14.59
2015/2016,data.New Brunswick,data.General civil cases,data.Greater than 12 months to 24 months,13,10.91
2015/2016,data.New Brunswick,data.General civil cases,data.Greater than 24 months,13,6.11
2015/2016,data.New Brunswick,data.General civil cases,data.Unknown,13,0.12
2015/2016,data.New Brunswick,data.Family cases,data.Less than or equal to 3 months,13,59.44
2015/2016,data.New Brunswick,data.Family cases,data.Greater than 3 months to 6 months,13,13.26
2015/2016,data.New Brunswick,data.Family cases,data.Greater than 6 months to 12 months,13,12.67
2015/2016,data.New Brunswick,data.Family cases,data.Greater than 12 months to 24 months,13,8.97
2015/2016,data.New Brunswick,data.Family cases,data.Greater than 24 months,13,5.54
2015/2016,data.New Brunswick,data.Family cases,data.Unknown,13,0.11
2015/2016,data.Ontario,data.Total cases,data.Less than or equal to 3 months,35,50.94
2015/2016,data.Ontario,data.Total cases,data.Greater than 3 months to 6 months,35,18.2
2015/2016,data.Ontario,data.Total cases,data.Greater than 6 months to 12 months,35,13.12
2015/2016,data.Ontario,data.Total cases,data.Greater than 12 months to 24 months,35,8.73
2015/2016,data.Ontario,data.Total cases,data.Greater than 24 months,35,8.98
2015/2016,data.Ontario,data.Total cases,data.Unknown,35,0.02
2015/2016,data.Ontario,data.General civil cases,data.Less than or equal to 3 months,35,40.72
2015/2016,data.Ontario,data.General civil cases,data.Greater than 3 months to 6 months,35,18.47
2015/2016,data.Ontario,data.General civil cases,data.Greater than 6 months to 12 months,35,16.85
2015/2016,data.Ontario,data.General civil cases,data.Greater than 12 months to 24 months,35,11.78
2015/2016,data.Ontario,data.General civil cases,data.Greater than 24 months,35,12.16
2015/2016,data.Ontario,data.General civil cases,data.Unknown,35,0.01
2015/2016,data.Ontario,data.Family cases,data.Less than or equal to 3 months,35,67.07
2015/2016,data.Ontario,data.Family cases,data.Greater than 3 months to 6 months,35,17.78
2015/2016,data.Ontario,data.Family cases,data.Greater than 6 months to 12 months,35,7.24
2015/2016,data.Ontario,data.Family cases,data.Greater than 12 months to 24 months,35,3.93
2015/2016,data.Ontario,data.Family cases,data.Greater than 24 months,35,3.96
2015/2016,data.Ontario,data.Family cases,data.Unknown,35,0.03
2015/2016,data.Saskatchewan,data.Total cases,data.Less than or equal to 3 months,47,62.96
2015/2016,data.Saskatchewan,data.Total cases,data.Greater than 3 months to 6 months,47,14.88
2015/2016,data.Saskatchewan,data.Total cases,data.Greater than 6 months to 12 months,47,12.16
2015/2016,data.Saskatchewan,data.Total cases,data.Greater than 12 months to 24 months,47,7.82
2015/2016,data.Saskatchewan,data.Total cases,data.Greater than 24 months,47,1.41
2015/2016,data.Saskatchewan,data.Total cases,data.Unknown,47,0.77
2015/2016,data.Saskatchewan,data.General civil cases,data.Less than or equal to 3 months,47,69.67
2015/2016,data.Saskatchewan,data.General civil cases,data.Greater than 3 months to 6 months,47,11.91
2015/2016,data.Saskatchewan,data.General civil cases,data.Greater than 6 months to 12 months,47,9.97
2015/2016,data.Saskatchewan,data.General civil cases,data.Greater than 12 months to 24 months,47,6.44
2015/2016,data.Saskatchewan,data.General civil cases,data.Greater than 24 months,47,1.37
2015/2016,data.Saskatchewan,data.General civil cases,data.Unknown,47,0.65
2015/2016,data.Saskatchewan,data.Family cases,data.Less than or equal to 3 months,47,50.91
2015/2016,data.Saskatchewan,data.Family cases,data.Greater than 3 months to 6 months,47,20.23
2015/2016,data.Saskatchewan,data.Family cases,data.Greater than 6 months to 12 months,47,16.1
2015/2016,data.Saskatchewan,data.Family cases,data.Greater than 12 months to 24 months,47,10.3
2015/2016,data.Saskatchewan,data.Family cases,data.Greater than 24 months,47,1.47
2015/2016,data.Saskatchewan,data.Family cases,data.Unknown,47,0.99
2015/2016,data.Alberta,data.Total cases,data.Less than or equal to 3 months,48,65.09
2015/2016,data.Alberta,data.Total cases,data.Greater than 3 months to 6 months,48,12.2
2015/2016,data.Alberta,data.Total cases,data.Greater than 6 months to 12 months,48,10.61
2015/2016,data.Alberta,data.Total cases,data.Greater than 12 months to 24 months,48,6.67
2015/2016,data.Alberta,data.Total cases,data.Greater than 24 months,48,5.39
2015/2016,data.Alberta,data.Total cases,data.Unknown,48,0.03
2015/2016,data.Alberta,data.General civil cases,data.Less than or equal to 3 months,48,63.86
2015/2016,data.Alberta,data.General civil cases,data.Greater than 3 months to 6 months,48,10.57
2015/2016,data.Alberta,data.General civil cases,data.Greater than 6 months to 12 months,48,11.06
2015/2016,data.Alberta,data.General civil cases,data.Greater than 12 months to 24 months,48,7.54
2015/2016,data.Alberta,data.General civil cases,data.Greater than 24 months,48,6.94
2015/2016,data.Alberta,data.General civil cases,data.Unknown,48,0.02
2015/2016,data.Alberta,data.Family cases,data.Less than or equal to 3 months,48,66.9
2015/2016,data.Alberta,data.Family cases,data.Greater than 3 months to 6 months,48,14.59
2015/2016,data.Alberta,data.Family cases,data.Greater than 6 months to 12 months,48,9.96
2015/2016,data.Alberta,data.Family cases,data.Greater than 12 months to 24 months,48,5.39
2015/2016,data.Alberta,data.Family cases,data.Greater than 24 months,48,3.13
2015/2016,data.Alberta,data.Family cases,data.Unknown,48,0.04
2015/2016,data.British Columbia,data.Total cases,data.Less than or equal to 3 months,59,47.08
2015/2016,data.British Columbia,data.Total cases,data.Greater than 3 months to 6 months,59,22.34
2015/2016,data.British Columbia,data.Total cases,data.Greater than 6 months to 12 months,59,15.5
2015/2016,data.British Columbia,data.Total cases,data.Greater than 12 months to 24 months,59,8.43
2015/2016,data.British Columbia,data.Total cases,data.Greater than 24 months,59,6.48
2015/2016,data.British Columbia,data.Total cases,data.Unknown,59,0.17
2015/2016,data.British Columbia,data.General civil cases,data.Less than or equal to 3 months,59,45.77
2015/2016,data.British Columbia,data.General civil cases,data.Greater than 3 months to 6 months,59,21.66
2015/2016,data.British Columbia,data.General civil cases,data.Greater than 6 months to 12 months,59,16.5
2015/2016,data.British Columbia,data.General civil cases,data.Greater than 12 months to 24 months,59,9.63
2015/2016,data.British Columbia,data.General civil cases,data.Greater than 24 months,59,6.39
2015/2016,data.British Columbia,data.General civil cases,data.Unknown,59,0.06
2015/2016,data.British Columbia,data.Family cases,data.Less than or equal to 3 months,59,49.35
2015/2016,data.British Columbia,data.Family cases,data.Greater than 3 months to 6 months,59,23.52
2015/2016,data.British Columbia,data.Family cases,data.Greater than 6 months to 12 months,59,13.77
2015/2016,data.British Columbia,data.Family cases,data.Greater than 12 months to 24 months,59,6.36
2015/2016,data.British Columbia,data.Family cases,data.Greater than 24 months,59,6.64
2015/2016,data.British Columbia,data.Family cases,data.Unknown,59,0.35
2015/2016,data.Yukon,data.Total cases,data.Less than or equal to 3 months,60,60.02
