Year,Region,Goods and services (products),Value
2016,Africa,"Total, clean technology products",57.554
2016,South America,"Total, environmental and clean technology products",37.531
2016,South America,"Total, environmental products",0.796
2016,South America,"Total, clean technology products",36.735
2016,Central America,"Total, environmental and clean technology products",3.391
2016,Central America,"Total, environmental products",0.003
2016,Central America,"Total, clean technology products",3.388
2016,Antilles,"Total, environmental and clean technology products",14.376
2016,Antilles,"Total, environmental products",0.578
2016,Antilles,"Total, clean technology products",13.797
2016,Middle East,"Total, environmental and clean technology products",3.32
2016,Middle East,"Total, environmental products",0.062
2016,Middle East,"Total, clean technology products",3.257
2016,Oceania,"Total, environmental and clean technology products",0.375
2016,Oceania,"Total, environmental products",0.0
2016,Oceania,"Total, clean technology products",0.375
2016,Asia,"Total, environmental and clean technology products",763.607
2016,Asia,"Total, environmental products",609.211
2016,Asia,"Total, clean technology products",154.396
2017,Europe,"Total, environmental and clean technology products",1.316
2017,Europe,"Total, environmental products",0.018
2017,Europe,"Total, clean technology products",1.298
2017,North America,"Total, environmental and clean technology products",75.979
2017,North America,"Total, environmental products",35.163
2017,North America,"Total, clean technology products",40.816
2017,Africa,"Total, environmental and clean technology products",64.181
2017,Africa,"Total, environmental products",10.007
2017,Africa,"Total, clean technology products",54.175
2017,South America,"Total, environmental and clean technology products",42.546
2017,South America,"Total, environmental products",1.989
2017,South America,"Total, clean technology products",40.557
2017,Central America,"Total, environmental and clean technology products",3.469
2017,Central America,"Total, environmental products",0.024
2017,Central America,"Total, clean technology products",3.445
2017,Antilles,"Total, environmental and clean technology products",11.562
2017,Antilles,"Total, environmental products",0.699
2017,Antilles,"Total, clean technology products",10.863
2017,Middle East,"Total, environmental and clean technology products",2.927
2017,Middle East,"Total, environmental products",0.114
2017,Middle East,"Total, clean technology products",2.814
2017,Oceania,"Total, environmental and clean technology products",0.231
2017,Oceania,"Total, environmental products",0.0
2017,Oceania,"Total, clean technology products",0.231
2017,Asia,"Total, environmental and clean technology products",824.322
2017,Asia,"Total, environmental products",669.999
2017,Asia,"Total, clean technology products",154.326
2018,Europe,"Total, environmental and clean technology products",1.352
2018,Europe,"Total, environmental products",0.289
2018,Europe,"Total, clean technology products",1.063
2018,North America,"Total, environmental and clean technology products",90.869
2018,North America,"Total, environmental products",32.112
2018,North America,"Total, clean technology products",58.758
2018,Africa,"Total, environmental and clean technology products",46.096
2018,Africa,"Total, environmental products",12.791
2018,Africa,"Total, clean technology products",33.306
2018,South America,"Total, environmental and clean technology products",79.344
2018,South America,"Total, environmental products",29.302
2018,South America,"Total, clean technology products",50.043
2018,Central America,"Total, environmental and clean technology products",9.303
2018,Central America,"Total, environmental products",6.642
2018,Central America,"Total, clean technology products",2.662
2018,Antilles,"Total, environmental and clean technology products",12.359
2018,Antilles,"Total, environmental products",0.933
2018,Antilles,"Total, clean technology products",11.426
2018,Middle East,"Total, environmental and clean technology products",4.439
2018,Middle East,"Total, environmental products",0.167
2018,Middle East,"Total, clean technology products",4.273
2018,Oceania,"Total, environmental and clean technology products",0.766
2018,Oceania,"Total, environmental products",0.0
2018,Oceania,"Total, clean technology products",0.766
2018,Asia,"Total, environmental and clean technology products",732.722
2018,Asia,"Total, environmental products",565.344
2018,Asia,"Total, clean technology products",167.377
2019,Europe,"Total, environmental and clean technology products",1.834
2019,Europe,"Total, environmental products",1.027
2019,Europe,"Total, clean technology products",0.807
2019,North America,"Total, environmental and clean technology products",80.283
2019,North America,"Total, environmental products",15.752
2019,North America,"Total, clean technology products",64.531
2019,Africa,"Total, environmental and clean technology products",162.128
2019,Africa,"Total, environmental products",49.979
2019,Africa,"Total, clean technology products",112.151
2019,South America,"Total, environmental and clean technology products",82.364
2019,South America,"Total, environmental products",24.256
2019,South America,"Total, clean technology products",58.108
2019,Central America,"Total, environmental and clean technology products",3.312
2019,Central America,"Total, environmental products",0.135
2019,Central America,"Total, clean technology products",3.178
2019,Antilles,"Total, environmental and clean technology products",10.82
2019,Antilles,"Total, environmental products",0.245
2019,Antilles,"Total, clean technology products",10.573
2019,Middle East,"Total, environmental and clean technology products",23.491
2019,Middle East,"Total, environmental products",0.472
2019,Middle East,"Total, clean technology products",23.019
2019,Oceania,"Total, environmental and clean technology products",0.516
2019,Oceania,"Total, environmental products",0.0
2019,Oceania,"Total, clean technology products",0.516
2019,Asia,"Total, environmental and clean technology products",757.074
2019,Asia,"Total, environmental products",494.843
2019,Asia,"Total, clean technology products",262.231
2020,Europe,"Total, environmental and clean technology products",5.535
2020,Europe,"Total, environmental products",0.61
2020,Europe,"Total, clean technology products",4.926
2020,North America,"Total, environmental and clean technology products",73.004
2020,North America,"Total, environmental products",24.946
2020,North America,"Total, clean technology products",48.057
2020,Africa,"Total, environmental and clean technology products",175.968
2020,Africa,"Total, environmental products",53.152
2020,Africa,"Total, clean technology products",122.815
2020,South America,"Total, environmental and clean technology products",137.326
2020,South America,"Total, environmental products",54.71
2020,South America,"Total, clean technology products",82.616
2020,Central America,"Total, environmental and clean technology products",6.893
2020,Central America,"Total, environmental products",2.627
2020,Central America,"Total, clean technology products",4.267
2020,Antilles,"Total, environmental and clean technology products",44.182
2020,Antilles,"Total, environmental products",0.285
2020,Antilles,"Total, clean technology products",43.898
2020,Middle East,"Total, environmental and clean technology products",14.285
2020,Middle East,"Total, environmental products",0.25
2020,Middle East,"Total, clean technology products",14.034
2020,Oceania,"Total, environmental and clean technology products",1.035
2020,Oceania,"Total, environmental products",0.027
2020,Oceania,"Total, clean technology products",1.008
2020,Asia,"Total, environmental and clean technology products",592.016
2020,Asia,"Total, environmental products",364.218
2020,Asia,"Total, clean technology products",227.798
2021,Europe,"Total, environmental and clean technology products",6.423
2021,Europe,"Total, environmental products",0.1
2021,Europe,"Total, clean technology products",6.322
2021,North America,"Total, environmental and clean technology products",93.083
2021,North America,"Total, environmental products",32.344
2021,North America,"Total, clean technology products",60.739
2021,Africa,"Total, environmental and clean technology products",165.529
2021,Africa,"Total, environmental products",1.092
2021,Africa,"Total, clean technology products",164.438
2021,South America,"Total, environmental and clean technology products",100.352
2021,South America,"Total, environmental products",19.714
2021,South America,"Total, clean technology products",80.638
2021,Central America,"Total, environmental and clean technology products",3.984
2021,Central America,"Total, environmental products",0.516
2021,Central America,"Total, clean technology products",3.467
2021,Antilles,"Total, environmental and clean technology products",84.198
2021,Antilles,"Total, environmental products",0.888
2021,Antilles,"Total, clean technology products",83.31
2021,Middle East,"Total, environmental and clean technology products",9.824
2021,Middle East,"Total, environmental products",0.104
2021,Middle East,"Total, clean technology products",9.721
2021,Oceania,"Total, environmental and clean technology products",0.485
2021,Oceania,"Total, environmental products",0.0
2021,Oceania,"Total, clean technology products",0.485
2021,Asia,"Total, environmental and clean technology products",675.34
2021,Asia,"Total, environmental products",486.023
2021,Asia,"Total, clean technology products",189.316
2022,Europe,"Total, environmental and clean technology products",0.836
2022,Europe,"Total, environmental products",0.0
2022,Europe,"Total, clean technology products",0.835
2022,North America,"Total, environmental and clean technology products",110.377
2022,North America,"Total, environmental products",26.218
2022,North America,"Total, clean technology products",84.159
2022,Africa,"Total, environmental and clean technology products",110.545
2022,Africa,"Total, environmental products",0.793
2022,Africa,"Total, clean technology products",109.752
2022,South America,"Total, environmental and clean technology products",96.382
2022,South America,"Total, environmental products",12.972
2022,South America,"Total, clean technology products",83.411
2022,Central America,"Total, environmental and clean technology products",4.472
2022,Central America,"Total, environmental products",0.872
2022,Central America,"Total, clean technology products",3.601
2022,Antilles,"Total, environmental and clean technology products",19.455
2022,Antilles,"Total, environmental products",0.013
2022,Antilles,"Total, clean technology products",19.441
2022,Middle East,"Total, environmental and clean technology products",23.166
2022,Middle East,"Total, environmental products",0.014
2022,Middle East,"Total, clean technology products",23.152
2022,Oceania,"Total, environmental and clean technology products",0.538
2022,Oceania,"Total, environmental products",0.0
2022,Oceania,"Total, clean technology products",0.538
2022,Asia,"Total, environmental and clean technology products",974.954
2022,Asia,"Total, environmental products",763.572
2022,Asia,"Total, clean technology products",211.378
2023,Europe,"Total, environmental and clean technology products",1.081
2023,Europe,"Total, environmental products",0.0
2023,Europe,"Total, clean technology products",1.081
2023,North America,"Total, environmental and clean technology products",128.397
2023,North America,"Total, environmental products",51.419
2023,North America,"Total, clean technology products",76.977
2023,Africa,"Total, environmental and clean technology products",125.335
2023,Africa,"Total, environmental products",26.035
2023,Africa,"Total, clean technology products",99.3
2023,South America,"Total, environmental and clean technology products",124.683
2023,South America,"Total, environmental products",52.3
2023,South America,"Total, clean technology products",72.383
2023,Central America,"Total, environmental and clean technology products",4.132
2023,Central America,"Total, environmental products",0.778
2023,Central America,"Total, clean technology products",3.355
2023,Antilles,"Total, environmental and clean technology products",19.756
2023,Antilles,"Total, environmental products",0.154
2023,Antilles,"Total, clean technology products",19.601
2023,Middle East,"Total, environmental and clean technology products",10.932
2023,Middle East,"Total, environmental products",0.082
2023,Middle East,"Total, clean technology products",10.85
2023,Oceania,"Total, environmental and clean technology products",0.515
2023,Oceania,"Total, environmental products",0.0
2023,Oceania,"Total, clean technology products",0.515
2023,Asia,"Total, environmental and clean technology products",995.334
2023,Asia,"Total, environmental products",783.82
2023,Asia,"Total, clean technology products",211.516
