Year,Geography,Industry,Enterprise size,Innovations with environmental benefits,GeoCode,Value
2017/2019,Canada,"Total, all surveyed industries",Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution",,17.2
2017/2019,Canada,"Total, all surveyed industries",Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions,,14.6
2017/2019,Canada,"Total, all surveyed industries",Small enterprises (20 to 99 employees),Innovations with environmental benefits related to the end user or consumer,,35.5
2017/2019,Canada,"Total, all surveyed industries",Small enterprises (20 to 99 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,19.6
2017/2019,Canada,"Total, all surveyed industries",Small enterprises (20 to 99 employees),Reduced material use or increased recycling for the end user or consumer,,26.1
2017/2019,Canada,"Total, all surveyed industries",Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,13.8
2017/2019,Canada,"Total, all surveyed industries",Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions for the end user or consumer,,9.8
2017/2019,Canada,"Total, all surveyed industries",Small enterprises (20 to 99 employees),Innovations with other environmental benefits,,8.5
2017/2019,Canada,"Total, all surveyed industries",Medium-sized enterprises (100 to 249 employees),Innovations with any environmental benefits,,58.5
2017/2019,Canada,"Total, all surveyed industries",Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits from production through efficient use of resources,,50.6
2017/2019,Canada,"Total, all surveyed industries",Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced material use per unit of output,,26.8
2017/2019,Canada,"Total, all surveyed industries",Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced energy use per unit of output,,27.8
2017/2019,Canada,"Total, all surveyed industries",Medium-sized enterprises (100 to 249 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,16.3
2017/2019,Canada,"Total, all surveyed industries",Medium-sized enterprises (100 to 249 employees),"Reduced consumption of resources through recycling (water, waste or material)",,33.7
2017/2019,Canada,"Total, all surveyed industries",Medium-sized enterprises (100 to 249 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,4.1
2017/2019,Canada,"Total, all surveyed industries",Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to increased environmental protection activities,,25.6
2017/2019,Canada,"Total, all surveyed industries",Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution",,19.6
2017/2019,Canada,"Total, all surveyed industries",Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions,,18.0
2017/2019,Canada,"Total, all surveyed industries",Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to the end user or consumer,,37.2
2017/2019,Canada,"Total, all surveyed industries",Medium-sized enterprises (100 to 249 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,21.9
2017/2019,Canada,"Total, all surveyed industries",Medium-sized enterprises (100 to 249 employees),Reduced material use or increased recycling for the end user or consumer,,25.7
2017/2019,Canada,"Total, all surveyed industries",Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,12.8
2017/2019,Canada,"Total, all surveyed industries",Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions for the end user or consumer,,12.0
2017/2019,Canada,"Total, all surveyed industries",Medium-sized enterprises (100 to 249 employees),Innovations with other environmental benefits,,9.1
2017/2019,Canada,"Total, all surveyed industries",Large enterprises (250 and more employees),Innovations with any environmental benefits,,60.8
2017/2019,Canada,"Total, all surveyed industries",Large enterprises (250 and more employees),Innovations with environmental benefits from production through efficient use of resources,,53.8
2017/2019,Canada,"Total, all surveyed industries",Large enterprises (250 and more employees),Improved resource efficiency through reduced material use per unit of output,,32.1
2017/2019,Canada,"Total, all surveyed industries",Large enterprises (250 and more employees),Improved resource efficiency through reduced energy use per unit of output,,33.2
2017/2019,Canada,"Total, all surveyed industries",Large enterprises (250 and more employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,20.2
2017/2019,Canada,"Total, all surveyed industries",Large enterprises (250 and more employees),"Reduced consumption of resources through recycling (water, waste or material)",,35.1
2017/2019,Canada,"Total, all surveyed industries",Large enterprises (250 and more employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,7.8
2017/2019,Canada,"Total, all surveyed industries",Large enterprises (250 and more employees),Innovations with environmental benefits related to increased environmental protection activities,,32.2
2017/2019,Canada,"Total, all surveyed industries",Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution",,26.5
2017/2019,Canada,"Total, all surveyed industries",Large enterprises (250 and more employees),Reduced greenhouse gas emissions,,24.1
2017/2019,Canada,"Total, all surveyed industries",Large enterprises (250 and more employees),Innovations with environmental benefits related to the end user or consumer,,36.9
2017/2019,Canada,"Total, all surveyed industries",Large enterprises (250 and more employees),Reduced energy use or increased energy efficiency for the end user or consumer,,23.3
2017/2019,Canada,"Total, all surveyed industries",Large enterprises (250 and more employees),Reduced material use or increased recycling for the end user or consumer,,26.2
2017/2019,Canada,"Total, all surveyed industries",Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,16.1
2017/2019,Canada,"Total, all surveyed industries",Large enterprises (250 and more employees),Reduced greenhouse gas emissions for the end user or consumer,,14.6
2017/2019,Canada,"Total, all surveyed industries",Large enterprises (250 and more employees),Innovations with other environmental benefits,,12.0
2017/2019,Canada,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Innovations with any environmental benefits,,69.1
2017/2019,Canada,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,,58.2
2017/2019,Canada,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,,34.8
2017/2019,Canada,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,,43.3
2017/2019,Canada,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,30.0
2017/2019,Canada,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",,37.6
2017/2019,Canada,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,11.4
2017/2019,Canada,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,,49.9
2017/2019,Canada,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes","Reduced air, water, soil or noise pollution",,35.8
2017/2019,Canada,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Reduced greenhouse gas emissions,,34.9
2017/2019,Canada,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,,37.7
2017/2019,Canada,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,,14.6
2017/2019,Canada,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,,24.3
2017/2019,Canada,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",,22.1
2017/2019,Canada,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,,15.5
2017/2019,Canada,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Innovations with other environmental benefits,,15.2
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Small enterprises (20 to 99 employees),Innovations with any environmental benefits,,69.5
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Small enterprises (20 to 99 employees),Innovations with environmental benefits from production through efficient use of resources,,57.8
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Small enterprises (20 to 99 employees),Improved resource efficiency through reduced material use per unit of output,,35.2
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Small enterprises (20 to 99 employees),Improved resource efficiency through reduced energy use per unit of output,,43.4
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Small enterprises (20 to 99 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,30.6
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Small enterprises (20 to 99 employees),"Reduced consumption of resources through recycling (water, waste or material)",,36.9
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Small enterprises (20 to 99 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,12.5
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Small enterprises (20 to 99 employees),Innovations with environmental benefits related to increased environmental protection activities,,50.6
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution",,35.5
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions,,35.9
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Small enterprises (20 to 99 employees),Innovations with environmental benefits related to the end user or consumer,,37.4
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Small enterprises (20 to 99 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,13.5
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Small enterprises (20 to 99 employees),Reduced material use or increased recycling for the end user or consumer,,23.4
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,22.7
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions for the end user or consumer,,15.5
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Small enterprises (20 to 99 employees),Innovations with other environmental benefits,,15.2
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Medium-sized enterprises (100 to 249 employees),Innovations with any environmental benefits,,63.7
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits from production through efficient use of resources,,58.3
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced material use per unit of output,,29.5
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced energy use per unit of output,,38.9
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Medium-sized enterprises (100 to 249 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,25.9
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Medium-sized enterprises (100 to 249 employees),"Reduced consumption of resources through recycling (water, waste or material)",,41.2
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Medium-sized enterprises (100 to 249 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,3.7
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to increased environmental protection activities,,44.0
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution",,36.6
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions,,28.5
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to the end user or consumer,,38.4
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Medium-sized enterprises (100 to 249 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,22.1
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Medium-sized enterprises (100 to 249 employees),Reduced material use or increased recycling for the end user or consumer,,29.7
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,18.0
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions for the end user or consumer,,15.8
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Medium-sized enterprises (100 to 249 employees),Innovations with other environmental benefits,,17.2
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Large enterprises (250 and more employees),Innovations with any environmental benefits,,77.2
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Large enterprises (250 and more employees),Innovations with environmental benefits from production through efficient use of resources,,77.2
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Large enterprises (250 and more employees),Improved resource efficiency through reduced material use per unit of output,,49.5
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Large enterprises (250 and more employees),Improved resource efficiency through reduced energy use per unit of output,,61.6
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Large enterprises (250 and more employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,22.9
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Large enterprises (250 and more employees),"Reduced consumption of resources through recycling (water, waste or material)",,48.6
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Large enterprises (250 and more employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,3.2
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Large enterprises (250 and more employees),Innovations with environmental benefits related to increased environmental protection activities,,48.6
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution",,44.1
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Large enterprises (250 and more employees),Reduced greenhouse gas emissions,,24.1
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Large enterprises (250 and more employees),Innovations with environmental benefits related to the end user or consumer,,45.3
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Large enterprises (250 and more employees),Reduced energy use or increased energy efficiency for the end user or consumer,,24.5
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Large enterprises (250 and more employees),Reduced material use or increased recycling for the end user or consumer,,33.0
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,16.7
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Large enterprises (250 and more employees),Reduced greenhouse gas emissions for the end user or consumer,,12.2
2017/2019,Canada,"Agriculture, forestry, fishing and hunting",Large enterprises (250 and more employees),Innovations with other environmental benefits,,4.5
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Innovations with any environmental benefits,,65.4
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,,57.0
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,,33.9
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,,37.6
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,17.6
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",,36.2
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,8.0
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,,44.6
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes","Reduced air, water, soil or noise pollution",,37.8
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Reduced greenhouse gas emissions,,31.1
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,,34.9
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,,19.7
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,,23.2
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",,24.4
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,,11.9
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Innovations with other environmental benefits,,13.2
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Small enterprises (20 to 99 employees),Innovations with any environmental benefits,,64.0
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Small enterprises (20 to 99 employees),Innovations with environmental benefits from production through efficient use of resources,,55.6
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Small enterprises (20 to 99 employees),Improved resource efficiency through reduced material use per unit of output,,32.7
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Small enterprises (20 to 99 employees),Improved resource efficiency through reduced energy use per unit of output,,36.5
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Small enterprises (20 to 99 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,13.5
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Small enterprises (20 to 99 employees),"Reduced consumption of resources through recycling (water, waste or material)",,34.1
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Small enterprises (20 to 99 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,6.1
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Small enterprises (20 to 99 employees),Innovations with environmental benefits related to increased environmental protection activities,,41.5
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution",,35.3
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions,,27.5
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Small enterprises (20 to 99 employees),Innovations with environmental benefits related to the end user or consumer,,34.7
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Small enterprises (20 to 99 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,18.9
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Small enterprises (20 to 99 employees),Reduced material use or increased recycling for the end user or consumer,,23.6
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,25.6
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions for the end user or consumer,,10.0
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Small enterprises (20 to 99 employees),Innovations with other environmental benefits,,11.2
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Medium-sized enterprises (100 to 249 employees),Innovations with any environmental benefits,,69.4
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits from production through efficient use of resources,,58.3
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced material use per unit of output,,33.8
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced energy use per unit of output,,33.0
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Medium-sized enterprises (100 to 249 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,21.0
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Medium-sized enterprises (100 to 249 employees),"Reduced consumption of resources through recycling (water, waste or material)",,37.5
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Medium-sized enterprises (100 to 249 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,4.8
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to increased environmental protection activities,,51.6
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution",,40.2
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions,,40.0
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to the end user or consumer,,35.8
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Medium-sized enterprises (100 to 249 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,22.3
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Medium-sized enterprises (100 to 249 employees),Reduced material use or increased recycling for the end user or consumer,,21.1
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,22.9
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions for the end user or consumer,,17.9
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Medium-sized enterprises (100 to 249 employees),Innovations with other environmental benefits,,18.7
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Large enterprises (250 and more employees),Innovations with any environmental benefits,,68.4
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Large enterprises (250 and more employees),Innovations with environmental benefits from production through efficient use of resources,,62.0
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Large enterprises (250 and more employees),Improved resource efficiency through reduced material use per unit of output,,38.9
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Large enterprises (250 and more employees),Improved resource efficiency through reduced energy use per unit of output,,46.5
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Large enterprises (250 and more employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,33.0
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Large enterprises (250 and more employees),"Reduced consumption of resources through recycling (water, waste or material)",,44.4
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Large enterprises (250 and more employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,19.6
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Large enterprises (250 and more employees),Innovations with environmental benefits related to increased environmental protection activities,,52.3
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution",,47.0
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Large enterprises (250 and more employees),Reduced greenhouse gas emissions,,39.3
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Large enterprises (250 and more employees),Innovations with environmental benefits related to the end user or consumer,,34.8
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Large enterprises (250 and more employees),Reduced energy use or increased energy efficiency for the end user or consumer,,21.1
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Large enterprises (250 and more employees),Reduced material use or increased recycling for the end user or consumer,,23.0
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,20.3
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Large enterprises (250 and more employees),Reduced greenhouse gas emissions for the end user or consumer,,15.2
2017/2019,Canada,"Mining, quarrying, and oil and gas extraction",Large enterprises (250 and more employees),Innovations with other environmental benefits,,17.5
2017/2019,Canada,Utilities,"Total, all enterprise sizes",Innovations with any environmental benefits,,62.1
2017/2019,Canada,Utilities,"Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,,52.5
2017/2019,Canada,Utilities,"Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,,26.0
2017/2019,Canada,Utilities,"Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,,39.2
2017/2019,Canada,Utilities,"Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,20.7
2017/2019,Canada,Utilities,"Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",,28.8
2017/2019,Canada,Utilities,"Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,14.8
2017/2019,Canada,Utilities,"Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,,48.0
2017/2019,Canada,Utilities,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution",,39.0
2017/2019,Canada,Utilities,"Total, all enterprise sizes",Reduced greenhouse gas emissions,,39.6
