Year,Geography,Economic family type,GeoCode,Value
2015,Prairie provinces,Non-elderly males not in an economic family,,49400.0
2015,Prairie provinces,Non-elderly females not in an economic family,,41400.0
2015,Manitoba,Economic families and persons not in an economic family,46,66400.0
2015,Manitoba,Economic families,46,87500.0
2015,Manitoba,Elderly families,46,72100.0
2015,Manitoba,Elderly couples,46,70600.0
2015,Manitoba,Other elderly families,46,91500.0
2015,Manitoba,Non-elderly families,46,91600.0
2015,Manitoba,Couples,46,87800.0
2015,Manitoba,Couples with children,46,100200.0
2015,Manitoba,Couples with other relatives,46,134600.0
2015,Manitoba,Lone-parent families,46,45400.0
2015,Manitoba,Male lone-parent families,46,
2015,Manitoba,Female lone-parent families,46,44400.0
2015,Manitoba,Other non-elderly families,46,74700.0
2015,Manitoba,Persons not in an economic family,46,37800.0
2015,Manitoba,Elderly persons not in an economic family,46,33500.0
2015,Manitoba,Elderly males not in an economic family,46,39100.0
2015,Manitoba,Elderly females not in an economic family,46,31300.0
2015,Manitoba,Non-elderly persons not in an economic family,46,39600.0
2015,Manitoba,Non-elderly males not in an economic family,46,41700.0
2015,Manitoba,Non-elderly females not in an economic family,46,36700.0
2015,Saskatchewan,Economic families and persons not in an economic family,47,72900.0
2015,Saskatchewan,Economic families,47,100400.0
2015,Saskatchewan,Elderly families,47,71700.0
2015,Saskatchewan,Elderly couples,47,70200.0
2015,Saskatchewan,Other elderly families,47,90200.0
2015,Saskatchewan,Non-elderly families,47,106500.0
2015,Saskatchewan,Couples,47,94600.0
2015,Saskatchewan,Couples with children,47,115600.0
2015,Saskatchewan,Couples with other relatives,47,146700.0
2015,Saskatchewan,Lone-parent families,47,53800.0
2015,Saskatchewan,Male lone-parent families,47,
2015,Saskatchewan,Female lone-parent families,47,51300.0
2015,Saskatchewan,Other non-elderly families,47,97400.0
2015,Saskatchewan,Persons not in an economic family,47,40500.0
2015,Saskatchewan,Elderly persons not in an economic family,47,35200.0
2015,Saskatchewan,Elderly males not in an economic family,47,39700.0
2015,Saskatchewan,Elderly females not in an economic family,47,34300.0
2015,Saskatchewan,Non-elderly persons not in an economic family,47,43200.0
2015,Saskatchewan,Non-elderly males not in an economic family,47,46000.0
2015,Saskatchewan,Non-elderly females not in an economic family,47,38400.0
2015,Alberta,Economic families and persons not in an economic family,48,87500.0
2015,Alberta,Economic families,48,115400.0
2015,Alberta,Elderly families,48,78800.0
2015,Alberta,Elderly couples,48,76200.0
2015,Alberta,Other elderly families,48,85700.0
2015,Alberta,Non-elderly families,48,120800.0
2015,Alberta,Couples,48,119000.0
2015,Alberta,Couples with children,48,127000.0
2015,Alberta,Couples with other relatives,48,163900.0
2015,Alberta,Lone-parent families,48,65200.0
2015,Alberta,Male lone-parent families,48,90000.0
2015,Alberta,Female lone-parent families,48,54600.0
2015,Alberta,Other non-elderly families,48,101200.0
2015,Alberta,Persons not in an economic family,48,45800.0
2015,Alberta,Elderly persons not in an economic family,48,38200.0
2015,Alberta,Elderly males not in an economic family,48,41800.0
2015,Alberta,Elderly females not in an economic family,48,35300.0
2015,Alberta,Non-elderly persons not in an economic family,48,49400.0
2015,Alberta,Non-elderly males not in an economic family,48,53600.0
2015,Alberta,Non-elderly females not in an economic family,48,43300.0
2015,British Columbia,Economic families and persons not in an economic family,59,63600.0
2015,British Columbia,Economic families,59,95100.0
2015,British Columbia,Elderly families,59,70000.0
2015,British Columbia,Elderly couples,59,69900.0
2015,British Columbia,Other elderly families,59,70000.0
2015,British Columbia,Non-elderly families,59,106500.0
2015,British Columbia,Couples,59,98400.0
2015,British Columbia,Couples with children,59,115200.0
2015,British Columbia,Couples with other relatives,59,143700.0
2015,British Columbia,Lone-parent families,59,61600.0
2015,British Columbia,Male lone-parent families,59,72500.0
2015,British Columbia,Female lone-parent families,59,57100.0
2015,British Columbia,Other non-elderly families,59,71400.0
2015,British Columbia,Persons not in an economic family,59,28600.0
2015,British Columbia,Elderly persons not in an economic family,59,29300.0
2015,British Columbia,Elderly males not in an economic family,59,27000.0
2015,British Columbia,Elderly females not in an economic family,59,29600.0
2015,British Columbia,Non-elderly persons not in an economic family,59,28200.0
2015,British Columbia,Non-elderly males not in an economic family,59,28600.0
2015,British Columbia,Non-elderly females not in an economic family,59,28100.0
2015,"Québec, Quebec",Economic families and persons not in an economic family,,56700.0
2015,"Québec, Quebec",Economic families,,86300.0
2015,"Québec, Quebec",Elderly families,,69300.0
2015,"Québec, Quebec",Elderly couples,,68500.0
2015,"Québec, Quebec",Other elderly families,,
2015,"Québec, Quebec",Non-elderly families,,96600.0
2015,"Québec, Quebec",Couples,,88700.0
2015,"Québec, Quebec",Couples with children,,118300.0
2015,"Québec, Quebec",Couples with other relatives,,
2015,"Québec, Quebec",Lone-parent families,,71500.0
2015,"Québec, Quebec",Male lone-parent families,,
2015,"Québec, Quebec",Female lone-parent families,,
2015,"Québec, Quebec",Other non-elderly families,,
2015,"Québec, Quebec",Persons not in an economic family,,33700.0
2015,"Québec, Quebec",Elderly persons not in an economic family,,29700.0
2015,"Québec, Quebec",Elderly males not in an economic family,,
2015,"Québec, Quebec",Elderly females not in an economic family,,30900.0
2015,"Québec, Quebec",Non-elderly persons not in an economic family,,37700.0
2015,"Québec, Quebec",Non-elderly males not in an economic family,,33700.0
2015,"Québec, Quebec",Non-elderly females not in an economic family,,41400.0
2015,"Montréal, Quebec",Economic families and persons not in an economic family,,59700.0
2015,"Montréal, Quebec",Economic families,,84100.0
2015,"Montréal, Quebec",Elderly families,,62400.0
2015,"Montréal, Quebec",Elderly couples,,61100.0
2015,"Montréal, Quebec",Other elderly families,,
2015,"Montréal, Quebec",Non-elderly families,,88600.0
2015,"Montréal, Quebec",Couples,,83700.0
2015,"Montréal, Quebec",Couples with children,,98500.0
2015,"Montréal, Quebec",Couples with other relatives,,108100.0
2015,"Montréal, Quebec",Lone-parent families,,66300.0
2015,"Montréal, Quebec",Male lone-parent families,,
2015,"Montréal, Quebec",Female lone-parent families,,59400.0
2015,"Montréal, Quebec",Other non-elderly families,,80900.0
2015,"Montréal, Quebec",Persons not in an economic family,,33600.0
2015,"Montréal, Quebec",Elderly persons not in an economic family,,32300.0
2015,"Montréal, Quebec",Elderly males not in an economic family,,31000.0
2015,"Montréal, Quebec",Elderly females not in an economic family,,33800.0
2015,"Montréal, Quebec",Non-elderly persons not in an economic family,,34100.0
2015,"Montréal, Quebec",Non-elderly males not in an economic family,,38600.0
2015,"Montréal, Quebec",Non-elderly females not in an economic family,,30100.0
2015,"Ottawa-Gatineau, Ontario/Quebec",Economic families and persons not in an economic family,,71000.0
2015,"Ottawa-Gatineau, Ontario/Quebec",Economic families,,108400.0
2015,"Ottawa-Gatineau, Ontario/Quebec",Elderly families,,92900.0
2015,"Ottawa-Gatineau, Ontario/Quebec",Elderly couples,,87500.0
2015,"Ottawa-Gatineau, Ontario/Quebec",Other elderly families,,
2015,"Ottawa-Gatineau, Ontario/Quebec",Non-elderly families,,114700.0
2015,"Ottawa-Gatineau, Ontario/Quebec",Couples,,104600.0
2015,"Ottawa-Gatineau, Ontario/Quebec",Couples with children,,134900.0
2015,"Ottawa-Gatineau, Ontario/Quebec",Couples with other relatives,,168000.0
2015,"Ottawa-Gatineau, Ontario/Quebec",Lone-parent families,,58000.0
2015,"Ottawa-Gatineau, Ontario/Quebec",Male lone-parent families,,
2015,"Ottawa-Gatineau, Ontario/Quebec",Female lone-parent families,,43200.0
2015,"Ottawa-Gatineau, Ontario/Quebec",Other non-elderly families,,63500.0
2015,"Ottawa-Gatineau, Ontario/Quebec",Persons not in an economic family,,37100.0
2015,"Ottawa-Gatineau, Ontario/Quebec",Elderly persons not in an economic family,,37200.0
2015,"Ottawa-Gatineau, Ontario/Quebec",Elderly males not in an economic family,,
2015,"Ottawa-Gatineau, Ontario/Quebec",Elderly females not in an economic family,,41300.0
2015,"Ottawa-Gatineau, Ontario/Quebec",Non-elderly persons not in an economic family,,36400.0
2015,"Ottawa-Gatineau, Ontario/Quebec",Non-elderly males not in an economic family,,40600.0
2015,"Ottawa-Gatineau, Ontario/Quebec",Non-elderly females not in an economic family,,30400.0
2015,"Toronto, Ontario",Economic families and persons not in an economic family,,69600.0
2015,"Toronto, Ontario",Economic families,,98800.0
2015,"Toronto, Ontario",Elderly families,,76200.0
2015,"Toronto, Ontario",Elderly couples,,73200.0
2015,"Toronto, Ontario",Other elderly families,,96900.0
2015,"Toronto, Ontario",Non-elderly families,,102400.0
2015,"Toronto, Ontario",Couples,,85400.0
2015,"Toronto, Ontario",Couples with children,,111500.0
2015,"Toronto, Ontario",Couples with other relatives,,150800.0
2015,"Toronto, Ontario",Lone-parent families,,51300.0
2015,"Toronto, Ontario",Male lone-parent families,,
2015,"Toronto, Ontario",Female lone-parent families,,50000.0
2015,"Toronto, Ontario",Other non-elderly families,,84100.0
2015,"Toronto, Ontario",Persons not in an economic family,,32400.0
2015,"Toronto, Ontario",Elderly persons not in an economic family,,32600.0
2015,"Toronto, Ontario",Elderly males not in an economic family,,37200.0
2015,"Toronto, Ontario",Elderly females not in an economic family,,32400.0
2015,"Toronto, Ontario",Non-elderly persons not in an economic family,,31200.0
2015,"Toronto, Ontario",Non-elderly males not in an economic family,,40600.0
2015,"Toronto, Ontario",Non-elderly females not in an economic family,,29800.0
2015,"Winnipeg, Manitoba",Economic families and persons not in an economic family,,66500.0
2015,"Winnipeg, Manitoba",Economic families,,91300.0
2015,"Winnipeg, Manitoba",Elderly families,,78600.0
2015,"Winnipeg, Manitoba",Elderly couples,,74400.0
2015,"Winnipeg, Manitoba",Other elderly families,,91500.0
2015,"Winnipeg, Manitoba",Non-elderly families,,96000.0
2015,"Winnipeg, Manitoba",Couples,,87900.0
2015,"Winnipeg, Manitoba",Couples with children,,103500.0
2015,"Winnipeg, Manitoba",Couples with other relatives,,141000.0
2015,"Winnipeg, Manitoba",Lone-parent families,,47500.0
2015,"Winnipeg, Manitoba",Male lone-parent families,,
2015,"Winnipeg, Manitoba",Female lone-parent families,,44800.0
2015,"Winnipeg, Manitoba",Other non-elderly families,,77300.0
2015,"Winnipeg, Manitoba",Persons not in an economic family,,36700.0
2015,"Winnipeg, Manitoba",Elderly persons not in an economic family,,34900.0
2015,"Winnipeg, Manitoba",Elderly males not in an economic family,,41400.0
2015,"Winnipeg, Manitoba",Elderly females not in an economic family,,31300.0
2015,"Winnipeg, Manitoba",Non-elderly persons not in an economic family,,37400.0
2015,"Winnipeg, Manitoba",Non-elderly males not in an economic family,,39200.0
2015,"Winnipeg, Manitoba",Non-elderly females not in an economic family,,36100.0
2015,"Calgary, Alberta",Economic families and persons not in an economic family,,85400.0
2015,"Calgary, Alberta",Economic families,,116900.0
2015,"Calgary, Alberta",Elderly families,,88200.0
2015,"Calgary, Alberta",Elderly couples,,87900.0
2015,"Calgary, Alberta",Other elderly families,,
2015,"Calgary, Alberta",Non-elderly families,,119400.0
2015,"Calgary, Alberta",Couples,,129000.0
2015,"Calgary, Alberta",Couples with children,,130000.0
2015,"Calgary, Alberta",Couples with other relatives,,156700.0
2015,"Calgary, Alberta",Lone-parent families,,77800.0
2015,"Calgary, Alberta",Male lone-parent families,,
2015,"Calgary, Alberta",Female lone-parent families,,77800.0
2015,"Calgary, Alberta",Other non-elderly families,,80100.0
2015,"Calgary, Alberta",Persons not in an economic family,,46100.0
2015,"Calgary, Alberta",Elderly persons not in an economic family,,39300.0
2015,"Calgary, Alberta",Elderly males not in an economic family,,
2015,"Calgary, Alberta",Elderly females not in an economic family,,34300.0
2015,"Calgary, Alberta",Non-elderly persons not in an economic family,,47100.0
2015,"Calgary, Alberta",Non-elderly males not in an economic family,,51800.0
2015,"Calgary, Alberta",Non-elderly females not in an economic family,,41500.0
2015,"Edmonton, Alberta",Economic families and persons not in an economic family,,91100.0
2015,"Edmonton, Alberta",Economic families,,120200.0
2015,"Edmonton, Alberta",Elderly families,,85600.0
2015,"Edmonton, Alberta",Elderly couples,,82800.0
2015,"Edmonton, Alberta",Other elderly families,,
2015,"Edmonton, Alberta",Non-elderly families,,124300.0
2015,"Edmonton, Alberta",Couples,,119200.0
2015,"Edmonton, Alberta",Couples with children,,121400.0
2015,"Edmonton, Alberta",Couples with other relatives,,188100.0
2015,"Edmonton, Alberta",Lone-parent families,,54600.0
2015,"Edmonton, Alberta",Male lone-parent families,,
2015,"Edmonton, Alberta",Female lone-parent families,,
2015,"Edmonton, Alberta",Other non-elderly families,,115700.0
2015,"Edmonton, Alberta",Persons not in an economic family,,47500.0
2015,"Edmonton, Alberta",Elderly persons not in an economic family,,41800.0
2015,"Edmonton, Alberta",Elderly males not in an economic family,,
2015,"Edmonton, Alberta",Elderly females not in an economic family,,41000.0
2015,"Edmonton, Alberta",Non-elderly persons not in an economic family,,50500.0
2015,"Edmonton, Alberta",Non-elderly males not in an economic family,,52100.0
2015,"Edmonton, Alberta",Non-elderly females not in an economic family,,45800.0
2015,"Vancouver, British Columbia",Economic families and persons not in an economic family,,70800.0
2015,"Vancouver, British Columbia",Economic families,,106500.0
2015,"Vancouver, British Columbia",Elderly families,,75500.0
2015,"Vancouver, British Columbia",Elderly couples,,76700.0
2015,"Vancouver, British Columbia",Other elderly families,,
2015,"Vancouver, British Columbia",Non-elderly families,,111400.0
2015,"Vancouver, British Columbia",Couples,,107500.0
2015,"Vancouver, British Columbia",Couples with children,,122300.0
2015,"Vancouver, British Columbia",Couples with other relatives,,144700.0
2015,"Vancouver, British Columbia",Lone-parent families,,76100.0
2015,"Vancouver, British Columbia",Male lone-parent families,,
2015,"Vancouver, British Columbia",Female lone-parent families,,62800.0
2015,"Vancouver, British Columbia",Other non-elderly families,,73200.0
2015,"Vancouver, British Columbia",Persons not in an economic family,,29600.0
2015,"Vancouver, British Columbia",Elderly persons not in an economic family,,28800.0
2015,"Vancouver, British Columbia",Elderly males not in an economic family,,24700.0
2015,"Vancouver, British Columbia",Elderly females not in an economic family,,29700.0
2015,"Vancouver, British Columbia",Non-elderly persons not in an economic family,,30100.0
2015,"Vancouver, British Columbia",Non-elderly males not in an economic family,,30900.0
2015,"Vancouver, British Columbia",Non-elderly females not in an economic family,,30100.0
2016,Canada,Economic families,,92900.0
2016,Canada,Elderly families,,68300.0
2016,Canada,Elderly couples,,67100.0
2016,Canada,Other elderly families,,74900.0
2016,Canada,Non-elderly families,,100400.0
2016,Canada,Couples,,89800.0
2016,Canada,Couples with children,,111500.0
2016,Canada,Couples with other relatives,,137500.0
2016,Canada,Lone-parent families,,53200.0
2016,Canada,Male lone-parent families,,64400.0
2016,Canada,Female lone-parent families,,48800.0
2016,Canada,Other non-elderly families,,82700.0
2016,Canada,Persons not in an economic family,,34100.0
2016,Canada,Elderly persons not in an economic family,,31000.0
2016,Canada,Elderly males not in an economic family,,32400.0
2016,Canada,Elderly females not in an economic family,,30500.0
2016,Canada,Non-elderly persons not in an economic family,,35700.0
2016,Canada,Non-elderly males not in an economic family,,38000.0
2016,Canada,Non-elderly females not in an economic family,,33000.0
2016,Atlantic provinces,Economic families and persons not in an economic family,,60100.0
2016,Atlantic provinces,Economic families,,80800.0
2016,Atlantic provinces,Elderly families,,61500.0
2016,Atlantic provinces,Elderly couples,,60100.0
2016,Atlantic provinces,Other elderly families,,72900.0
2016,Atlantic provinces,Non-elderly families,,89100.0
2016,Atlantic provinces,Couples,,83700.0
2016,Atlantic provinces,Couples with children,,106400.0
2016,Atlantic provinces,Couples with other relatives,,117600.0
2016,Atlantic provinces,Lone-parent families,,51300.0
2016,Atlantic provinces,Male lone-parent families,,54400.0
2016,Atlantic provinces,Female lone-parent families,,50100.0
2016,Atlantic provinces,Other non-elderly families,,75800.0
2016,Atlantic provinces,Persons not in an economic family,,30300.0
2016,Atlantic provinces,Elderly persons not in an economic family,,28900.0
2016,Atlantic provinces,Elderly males not in an economic family,,30000.0
2016,Atlantic provinces,Elderly females not in an economic family,,28600.0
2016,Atlantic provinces,Non-elderly persons not in an economic family,,31500.0
2016,Atlantic provinces,Non-elderly males not in an economic family,,32000.0
2016,Atlantic provinces,Non-elderly females not in an economic family,,31100.0
2016,Newfoundland and Labrador,Economic families and persons not in an economic family,10,66300.0
2016,Newfoundland and Labrador,Economic families,10,85100.0
2016,Newfoundland and Labrador,Elderly families,10,54000.0
2016,Newfoundland and Labrador,Elderly couples,10,48500.0
2016,Newfoundland and Labrador,Other elderly families,10,
2016,Newfoundland and Labrador,Non-elderly families,10,95300.0
2016,Newfoundland and Labrador,Couples,10,90900.0
2016,Newfoundland and Labrador,Couples with children,10,112100.0
2016,Newfoundland and Labrador,Couples with other relatives,10,125400.0
2016,Newfoundland and Labrador,Lone-parent families,10,56000.0
2016,Newfoundland and Labrador,Male lone-parent families,10,
2016,Newfoundland and Labrador,Female lone-parent families,10,56000.0
2016,Newfoundland and Labrador,Other non-elderly families,10,82800.0
2016,Newfoundland and Labrador,Persons not in an economic family,10,31100.0
2016,Newfoundland and Labrador,Elderly persons not in an economic family,10,28600.0
2016,Newfoundland and Labrador,Elderly males not in an economic family,10,29400.0
2016,Newfoundland and Labrador,Elderly females not in an economic family,10,27000.0
2016,Newfoundland and Labrador,Non-elderly persons not in an economic family,10,35900.0
2016,Newfoundland and Labrador,Non-elderly males not in an economic family,10,39800.0
2016,Newfoundland and Labrador,Non-elderly females not in an economic family,10,28900.0
2016,Prince Edward Island,Economic families and persons not in an economic family,11,58700.0
2016,Prince Edward Island,Economic families,11,78800.0
2016,Prince Edward Island,Elderly families,11,65700.0
2016,Prince Edward Island,Elderly couples,11,62400.0
2016,Prince Edward Island,Other elderly families,11,90500.0
2016,Prince Edward Island,Non-elderly families,11,83400.0
2016,Prince Edward Island,Couples,11,71600.0
2016,Prince Edward Island,Couples with children,11,102400.0
2016,Prince Edward Island,Couples with other relatives,11,104800.0
2016,Prince Edward Island,Lone-parent families,11,47600.0
2016,Prince Edward Island,Male lone-parent families,11,
2016,Prince Edward Island,Female lone-parent families,11,46900.0
2016,Prince Edward Island,Other non-elderly families,11,74300.0
2016,Prince Edward Island,Persons not in an economic family,11,30000.0
2016,Prince Edward Island,Elderly persons not in an economic family,11,29600.0
2016,Prince Edward Island,Elderly males not in an economic family,11,
2016,Prince Edward Island,Elderly females not in an economic family,11,27500.0
