Year,Sexe,Groupe d'âge,Value
2001,Femmes,"Total, tous les âges",9
2001,Les deux sexes,Moins d'un an,0
2001,Hommes,Moins d'un an,0
2001,Femmes,Moins d'un an,0
2001,Les deux sexes,1 à 4 ans,0
2001,Hommes,1 à 4 ans,0
2001,Femmes,1 à 4 ans,0
2001,Les deux sexes,5 à 9 ans,0
2001,Hommes,5 à 9 ans,0
2001,Femmes,5 à 9 ans,0
2001,Les deux sexes,10 à 14 ans,0
2001,Hommes,10 à 14 ans,0
2001,Femmes,10 à 14 ans,0
2001,Les deux sexes,15 à 19 ans,0
2001,Hommes,15 à 19 ans,0
2001,Femmes,15 à 19 ans,0
2001,Les deux sexes,20 à 24 ans,0
2001,Hommes,20 à 24 ans,0
2001,Femmes,20 à 24 ans,0
2001,Les deux sexes,25 à 29 ans,2
2001,Hommes,25 à 29 ans,2
2001,Femmes,25 à 29 ans,0
2001,Les deux sexes,30 à 34 ans,0
2001,Hommes,30 à 34 ans,0
2001,Femmes,30 à 34 ans,0
2001,Les deux sexes,35 à 39 ans,2
2001,Hommes,35 à 39 ans,2
2001,Femmes,35 à 39 ans,0
2001,Les deux sexes,40 à 44 ans,0
2001,Hommes,40 à 44 ans,0
2001,Femmes,40 à 44 ans,0
2001,Les deux sexes,45 à 49 ans,1
2001,Hommes,45 à 49 ans,0
2001,Femmes,45 à 49 ans,1
2001,Les deux sexes,50 à 54 ans,1
2001,Hommes,50 à 54 ans,1
2001,Femmes,50 à 54 ans,0
2001,Les deux sexes,55 à 59 ans,0
2001,Hommes,55 à 59 ans,0
2001,Femmes,55 à 59 ans,0
2001,Les deux sexes,60 à 64 ans,2
2001,Hommes,60 à 64 ans,1
2001,Femmes,60 à 64 ans,1
2001,Les deux sexes,65 à 69 ans,0
2001,Hommes,65 à 69 ans,0
2001,Femmes,65 à 69 ans,0
2001,Les deux sexes,70 à 74 ans,1
2001,Hommes,70 à 74 ans,0
2001,Femmes,70 à 74 ans,1
2001,Les deux sexes,75 à 79 ans,2
2001,Hommes,75 à 79 ans,0
2001,Femmes,75 à 79 ans,2
2001,Les deux sexes,80 à 84 ans,1
2001,Hommes,80 à 84 ans,1
2001,Femmes,80 à 84 ans,0
2001,Les deux sexes,85 à 89 ans,2
2001,Hommes,85 à 89 ans,0
2001,Femmes,85 à 89 ans,2
2001,Les deux sexes,90 ans et plus,3
2001,Hommes,90 ans et plus,1
2001,Femmes,90 ans et plus,2
2001,Les deux sexes,"Âge, non déclaré",0
2001,Hommes,"Âge, non déclaré",0
2001,Femmes,"Âge, non déclaré",0
2002,,,32
2002,Hommes,"Total, tous les âges",18
2002,Femmes,"Total, tous les âges",14
2002,Les deux sexes,Moins d'un an,0
2002,Hommes,Moins d'un an,0
2002,Femmes,Moins d'un an,0
2002,Les deux sexes,1 à 4 ans,0
2002,Hommes,1 à 4 ans,0
2002,Femmes,1 à 4 ans,0
2002,Les deux sexes,5 à 9 ans,0
2002,Hommes,5 à 9 ans,0
2002,Femmes,5 à 9 ans,0
2002,Les deux sexes,10 à 14 ans,0
2002,Hommes,10 à 14 ans,0
2002,Femmes,10 à 14 ans,0
2002,Les deux sexes,15 à 19 ans,0
2002,Hommes,15 à 19 ans,0
2002,Femmes,15 à 19 ans,0
2002,Les deux sexes,20 à 24 ans,1
2002,Hommes,20 à 24 ans,0
2002,Femmes,20 à 24 ans,1
2002,Les deux sexes,25 à 29 ans,0
2002,Hommes,25 à 29 ans,0
2002,Femmes,25 à 29 ans,0
2002,Les deux sexes,30 à 34 ans,0
2002,Hommes,30 à 34 ans,0
2002,Femmes,30 à 34 ans,0
2002,Les deux sexes,35 à 39 ans,2
2002,Hommes,35 à 39 ans,2
2002,Femmes,35 à 39 ans,0
2002,Les deux sexes,40 à 44 ans,2
2002,Hommes,40 à 44 ans,2
2002,Femmes,40 à 44 ans,0
2002,Les deux sexes,45 à 49 ans,5
2002,Hommes,45 à 49 ans,4
2002,Femmes,45 à 49 ans,1
2002,Les deux sexes,50 à 54 ans,0
2002,Hommes,50 à 54 ans,0
2002,Femmes,50 à 54 ans,0
2002,Les deux sexes,55 à 59 ans,3
2002,Hommes,55 à 59 ans,2
2002,Femmes,55 à 59 ans,1
2002,Les deux sexes,60 à 64 ans,2
2002,Hommes,60 à 64 ans,1
2002,Femmes,60 à 64 ans,1
2002,Les deux sexes,65 à 69 ans,0
2002,Hommes,65 à 69 ans,0
2002,Femmes,65 à 69 ans,0
2002,Les deux sexes,70 à 74 ans,4
2002,Hommes,70 à 74 ans,0
2002,Femmes,70 à 74 ans,4
2002,Les deux sexes,75 à 79 ans,4
2002,Hommes,75 à 79 ans,2
2002,Femmes,75 à 79 ans,2
2002,Les deux sexes,80 à 84 ans,4
2002,Hommes,80 à 84 ans,2
2002,Femmes,80 à 84 ans,2
2002,Les deux sexes,85 à 89 ans,3
2002,Hommes,85 à 89 ans,1
2002,Femmes,85 à 89 ans,2
2002,Les deux sexes,90 ans et plus,2
2002,Hommes,90 ans et plus,2
2002,Femmes,90 ans et plus,0
2002,Les deux sexes,"Âge, non déclaré",0
2002,Hommes,"Âge, non déclaré",0
2002,Femmes,"Âge, non déclaré",0
2003,,,11
2003,Hommes,"Total, tous les âges",9
2003,Femmes,"Total, tous les âges",2
2003,Les deux sexes,Moins d'un an,0
2003,Hommes,Moins d'un an,0
2003,Femmes,Moins d'un an,0
2003,Les deux sexes,1 à 4 ans,1
2003,Hommes,1 à 4 ans,0
2003,Femmes,1 à 4 ans,1
2003,Les deux sexes,5 à 9 ans,0
2003,Hommes,5 à 9 ans,0
2003,Femmes,5 à 9 ans,0
2003,Les deux sexes,10 à 14 ans,0
2003,Hommes,10 à 14 ans,0
2003,Femmes,10 à 14 ans,0
2003,Les deux sexes,15 à 19 ans,0
2003,Hommes,15 à 19 ans,0
2003,Femmes,15 à 19 ans,0
2003,Les deux sexes,20 à 24 ans,2
2003,Hommes,20 à 24 ans,2
2003,Femmes,20 à 24 ans,0
2003,Les deux sexes,25 à 29 ans,0
2003,Hommes,25 à 29 ans,0
2003,Femmes,25 à 29 ans,0
2003,Les deux sexes,30 à 34 ans,0
2003,Hommes,30 à 34 ans,0
2003,Femmes,30 à 34 ans,0
2003,Les deux sexes,35 à 39 ans,1
2003,Hommes,35 à 39 ans,1
2003,Femmes,35 à 39 ans,0
2003,Les deux sexes,40 à 44 ans,1
2003,Hommes,40 à 44 ans,0
2003,Femmes,40 à 44 ans,1
2003,Les deux sexes,45 à 49 ans,1
2003,Hommes,45 à 49 ans,1
2003,Femmes,45 à 49 ans,0
2003,Les deux sexes,50 à 54 ans,0
2003,Hommes,50 à 54 ans,0
2003,Femmes,50 à 54 ans,0
2003,Les deux sexes,55 à 59 ans,0
2003,Hommes,55 à 59 ans,0
2003,Femmes,55 à 59 ans,0
2003,Les deux sexes,60 à 64 ans,0
2003,Hommes,60 à 64 ans,0
2003,Femmes,60 à 64 ans,0
2003,Les deux sexes,65 à 69 ans,1
2003,Hommes,65 à 69 ans,1
2003,Femmes,65 à 69 ans,0
2003,Les deux sexes,70 à 74 ans,1
2003,Hommes,70 à 74 ans,1
2003,Femmes,70 à 74 ans,0
2003,Les deux sexes,75 à 79 ans,1
2003,Hommes,75 à 79 ans,1
2003,Femmes,75 à 79 ans,0
2003,Les deux sexes,80 à 84 ans,1
2003,Hommes,80 à 84 ans,1
2003,Femmes,80 à 84 ans,0
2003,Les deux sexes,85 à 89 ans,0
2003,Hommes,85 à 89 ans,0
2003,Femmes,85 à 89 ans,0
2003,Les deux sexes,90 ans et plus,1
2003,Hommes,90 ans et plus,1
2003,Femmes,90 ans et plus,0
2003,Les deux sexes,"Âge, non déclaré",0
2003,Hommes,"Âge, non déclaré",0
2003,Femmes,"Âge, non déclaré",0
2004,,,4
2004,Hommes,"Total, tous les âges",3
2004,Femmes,"Total, tous les âges",1
2004,Les deux sexes,Moins d'un an,0
2004,Hommes,Moins d'un an,0
2004,Femmes,Moins d'un an,0
2004,Les deux sexes,1 à 4 ans,1
2004,Hommes,1 à 4 ans,1
2004,Femmes,1 à 4 ans,0
2004,Les deux sexes,5 à 9 ans,0
2004,Hommes,5 à 9 ans,0
2004,Femmes,5 à 9 ans,0
2004,Les deux sexes,10 à 14 ans,0
2004,Hommes,10 à 14 ans,0
2004,Femmes,10 à 14 ans,0
2004,Les deux sexes,15 à 19 ans,0
2004,Hommes,15 à 19 ans,0
2004,Femmes,15 à 19 ans,0
2004,Les deux sexes,20 à 24 ans,0
2004,Hommes,20 à 24 ans,0
2004,Femmes,20 à 24 ans,0
2004,Les deux sexes,25 à 29 ans,0
2004,Hommes,25 à 29 ans,0
2004,Femmes,25 à 29 ans,0
2004,Les deux sexes,30 à 34 ans,0
2004,Hommes,30 à 34 ans,0
2004,Femmes,30 à 34 ans,0
2004,Les deux sexes,35 à 39 ans,0
2004,Hommes,35 à 39 ans,0
2004,Femmes,35 à 39 ans,0
2004,Les deux sexes,40 à 44 ans,0
2004,Hommes,40 à 44 ans,0
2004,Femmes,40 à 44 ans,0
2004,Les deux sexes,45 à 49 ans,1
2004,Hommes,45 à 49 ans,1
2004,Femmes,45 à 49 ans,0
2004,Les deux sexes,50 à 54 ans,0
2004,Hommes,50 à 54 ans,0
2004,Femmes,50 à 54 ans,0
2004,Les deux sexes,55 à 59 ans,0
2004,Hommes,55 à 59 ans,0
2004,Femmes,55 à 59 ans,0
2004,Les deux sexes,60 à 64 ans,1
2004,Hommes,60 à 64 ans,0
2004,Femmes,60 à 64 ans,1
2004,Les deux sexes,65 à 69 ans,1
2004,Hommes,65 à 69 ans,1
2004,Femmes,65 à 69 ans,0
2004,Les deux sexes,70 à 74 ans,0
2004,Hommes,70 à 74 ans,0
2004,Femmes,70 à 74 ans,0
2004,Les deux sexes,75 à 79 ans,0
2004,Hommes,75 à 79 ans,0
2004,Femmes,75 à 79 ans,0
2004,Les deux sexes,80 à 84 ans,0
2004,Hommes,80 à 84 ans,0
2004,Femmes,80 à 84 ans,0
2004,Les deux sexes,85 à 89 ans,0
2004,Hommes,85 à 89 ans,0
2004,Femmes,85 à 89 ans,0
2004,Les deux sexes,90 ans et plus,0
2004,Hommes,90 ans et plus,0
2004,Femmes,90 ans et plus,0
2004,Les deux sexes,"Âge, non déclaré",0
2004,Hommes,"Âge, non déclaré",0
2004,Femmes,"Âge, non déclaré",0
2005,,,13
2005,Hommes,"Total, tous les âges",8
2005,Femmes,"Total, tous les âges",5
2005,Les deux sexes,Moins d'un an,0
2005,Hommes,Moins d'un an,0
2005,Femmes,Moins d'un an,0
2005,Les deux sexes,1 à 4 ans,0
2005,Hommes,1 à 4 ans,0
2005,Femmes,1 à 4 ans,0
2005,Les deux sexes,5 à 9 ans,0
2005,Hommes,5 à 9 ans,0
2005,Femmes,5 à 9 ans,0
2005,Les deux sexes,10 à 14 ans,0
2005,Hommes,10 à 14 ans,0
2005,Femmes,10 à 14 ans,0
2005,Les deux sexes,15 à 19 ans,0
2005,Hommes,15 à 19 ans,0
2005,Femmes,15 à 19 ans,0
2005,Les deux sexes,20 à 24 ans,0
2005,Hommes,20 à 24 ans,0
2005,Femmes,20 à 24 ans,0
2005,Les deux sexes,25 à 29 ans,0
2005,Hommes,25 à 29 ans,0
2005,Femmes,25 à 29 ans,0
2005,Les deux sexes,30 à 34 ans,0
2005,Hommes,30 à 34 ans,0
2005,Femmes,30 à 34 ans,0
2005,Les deux sexes,35 à 39 ans,1
2005,Hommes,35 à 39 ans,1
2005,Femmes,35 à 39 ans,0
2005,Les deux sexes,40 à 44 ans,3
2005,Hommes,40 à 44 ans,3
2005,Femmes,40 à 44 ans,0
2005,Les deux sexes,45 à 49 ans,0
2005,Hommes,45 à 49 ans,0
2005,Femmes,45 à 49 ans,0
2005,Les deux sexes,50 à 54 ans,1
2005,Hommes,50 à 54 ans,1
2005,Femmes,50 à 54 ans,0
2005,Les deux sexes,55 à 59 ans,1
2005,Hommes,55 à 59 ans,1
2005,Femmes,55 à 59 ans,0
2005,Les deux sexes,60 à 64 ans,1
2005,Hommes,60 à 64 ans,1
2005,Femmes,60 à 64 ans,0
2005,Les deux sexes,65 à 69 ans,1
2005,Hommes,65 à 69 ans,0
2005,Femmes,65 à 69 ans,1
2005,Les deux sexes,70 à 74 ans,2
2005,Hommes,70 à 74 ans,0
2005,Femmes,70 à 74 ans,2
2005,Les deux sexes,75 à 79 ans,1
2005,Hommes,75 à 79 ans,0
2005,Femmes,75 à 79 ans,1
2005,Les deux sexes,80 à 84 ans,0
2005,Hommes,80 à 84 ans,0
2005,Femmes,80 à 84 ans,0
2005,Les deux sexes,85 à 89 ans,1
2005,Hommes,85 à 89 ans,1
2005,Femmes,85 à 89 ans,0
2005,Les deux sexes,90 ans et plus,1
2005,Hommes,90 ans et plus,0
2005,Femmes,90 ans et plus,1
2005,Les deux sexes,"Âge, non déclaré",0
2005,Hommes,"Âge, non déclaré",0
2005,Femmes,"Âge, non déclaré",0
2006,,,14
2006,Hommes,"Total, tous les âges",10
2006,Femmes,"Total, tous les âges",4
2006,Les deux sexes,Moins d'un an,0
2006,Hommes,Moins d'un an,0
2006,Femmes,Moins d'un an,0
2006,Les deux sexes,1 à 4 ans,0
2006,Hommes,1 à 4 ans,0
2006,Femmes,1 à 4 ans,0
2006,Les deux sexes,5 à 9 ans,0
2006,Hommes,5 à 9 ans,0
2006,Femmes,5 à 9 ans,0
2006,Les deux sexes,10 à 14 ans,0
2006,Hommes,10 à 14 ans,0
2006,Femmes,10 à 14 ans,0
2006,Les deux sexes,15 à 19 ans,0
2006,Hommes,15 à 19 ans,0
2006,Femmes,15 à 19 ans,0
2006,Les deux sexes,20 à 24 ans,0
2006,Hommes,20 à 24 ans,0
2006,Femmes,20 à 24 ans,0
2006,Les deux sexes,25 à 29 ans,1
2006,Hommes,25 à 29 ans,1
2006,Femmes,25 à 29 ans,0
2006,Les deux sexes,30 à 34 ans,0
2006,Hommes,30 à 34 ans,0
2006,Femmes,30 à 34 ans,0
2006,Les deux sexes,35 à 39 ans,1
2006,Hommes,35 à 39 ans,1
2006,Femmes,35 à 39 ans,0
2006,Les deux sexes,40 à 44 ans,0
2006,Hommes,40 à 44 ans,0
2006,Femmes,40 à 44 ans,0
2006,Les deux sexes,45 à 49 ans,0
2006,Hommes,45 à 49 ans,0
2006,Femmes,45 à 49 ans,0
2006,Les deux sexes,50 à 54 ans,1
2006,Hommes,50 à 54 ans,1
2006,Femmes,50 à 54 ans,0
2006,Les deux sexes,55 à 59 ans,3
2006,Hommes,55 à 59 ans,3
2006,Femmes,55 à 59 ans,0
2006,Les deux sexes,60 à 64 ans,1
2006,Hommes,60 à 64 ans,1
2006,Femmes,60 à 64 ans,0
2006,Les deux sexes,65 à 69 ans,2
2006,Hommes,65 à 69 ans,2
2006,Femmes,65 à 69 ans,0
2006,Les deux sexes,70 à 74 ans,0
2006,Hommes,70 à 74 ans,0
2006,Femmes,70 à 74 ans,0
2006,Les deux sexes,75 à 79 ans,2
2006,Hommes,75 à 79 ans,0
2006,Femmes,75 à 79 ans,2
2006,Les deux sexes,80 à 84 ans,2
2006,Hommes,80 à 84 ans,1
2006,Femmes,80 à 84 ans,1
2006,Les deux sexes,85 à 89 ans,0
2006,Hommes,85 à 89 ans,0
2006,Femmes,85 à 89 ans,0
2006,Les deux sexes,90 ans et plus,1
2006,Hommes,90 ans et plus,0
2006,Femmes,90 ans et plus,1
2006,Les deux sexes,"Âge, non déclaré",0
2006,Hommes,"Âge, non déclaré",0
2006,Femmes,"Âge, non déclaré",0
2007,,,4
2007,Hommes,"Total, tous les âges",3
2007,Femmes,"Total, tous les âges",1
2007,Les deux sexes,Moins d'un an,0
2007,Hommes,Moins d'un an,0
2007,Femmes,Moins d'un an,0
2007,Les deux sexes,1 à 4 ans,1
2007,Hommes,1 à 4 ans,1
2007,Femmes,1 à 4 ans,0
2007,Les deux sexes,5 à 9 ans,0
2007,Hommes,5 à 9 ans,0
2007,Femmes,5 à 9 ans,0
2007,Les deux sexes,10 à 14 ans,0
2007,Hommes,10 à 14 ans,0
2007,Femmes,10 à 14 ans,0
2007,Les deux sexes,15 à 19 ans,0
2007,Hommes,15 à 19 ans,0
2007,Femmes,15 à 19 ans,0
2007,Les deux sexes,20 à 24 ans,0
2007,Hommes,20 à 24 ans,0
2007,Femmes,20 à 24 ans,0
2007,Les deux sexes,25 à 29 ans,0
2007,Hommes,25 à 29 ans,0
2007,Femmes,25 à 29 ans,0
2007,Les deux sexes,30 à 34 ans,0
2007,Hommes,30 à 34 ans,0
2007,Femmes,30 à 34 ans,0
2007,Les deux sexes,35 à 39 ans,0
2007,Hommes,35 à 39 ans,0
2007,Femmes,35 à 39 ans,0
2007,Les deux sexes,40 à 44 ans,1
2007,Hommes,40 à 44 ans,1
2007,Femmes,40 à 44 ans,0
2007,Les deux sexes,45 à 49 ans,0
2007,Hommes,45 à 49 ans,0
2007,Femmes,45 à 49 ans,0
2007,Les deux sexes,50 à 54 ans,2
2007,Hommes,50 à 54 ans,1
2007,Femmes,50 à 54 ans,1
2007,Les deux sexes,55 à 59 ans,0
2007,Hommes,55 à 59 ans,0
2007,Femmes,55 à 59 ans,0
2007,Les deux sexes,60 à 64 ans,0
2007,Hommes,60 à 64 ans,0
2007,Femmes,60 à 64 ans,0
2007,Les deux sexes,65 à 69 ans,0
2007,Hommes,65 à 69 ans,0
2007,Femmes,65 à 69 ans,0
2007,Les deux sexes,70 à 74 ans,0
2007,Hommes,70 à 74 ans,0
2007,Femmes,70 à 74 ans,0
2007,Les deux sexes,75 à 79 ans,0
2007,Hommes,75 à 79 ans,0
2007,Femmes,75 à 79 ans,0
2007,Les deux sexes,80 à 84 ans,0
2007,Hommes,80 à 84 ans,0
2007,Femmes,80 à 84 ans,0
2007,Les deux sexes,85 à 89 ans,0
2007,Hommes,85 à 89 ans,0
2007,Femmes,85 à 89 ans,0
2007,Les deux sexes,90 ans et plus,0
2007,Hommes,90 ans et plus,0
2007,Femmes,90 ans et plus,0
2007,Les deux sexes,"Âge, non déclaré",0
2007,Hommes,"Âge, non déclaré",0
2007,Femmes,"Âge, non déclaré",0
2008,,,2
2008,Hommes,"Total, tous les âges",2
2008,Femmes,"Total, tous les âges",0
2008,Les deux sexes,Moins d'un an,0
2008,Hommes,Moins d'un an,0
2008,Femmes,Moins d'un an,0
2008,Les deux sexes,1 à 4 ans,1
2008,Hommes,1 à 4 ans,1
2008,Femmes,1 à 4 ans,0
2008,Les deux sexes,5 à 9 ans,0
2008,Hommes,5 à 9 ans,0
2008,Femmes,5 à 9 ans,0
2008,Les deux sexes,10 à 14 ans,0
2008,Hommes,10 à 14 ans,0
2008,Femmes,10 à 14 ans,0
2008,Les deux sexes,15 à 19 ans,0
2008,Hommes,15 à 19 ans,0
2008,Femmes,15 à 19 ans,0
2008,Les deux sexes,20 à 24 ans,0
2008,Hommes,20 à 24 ans,0
2008,Femmes,20 à 24 ans,0
2008,Les deux sexes,25 à 29 ans,0
2008,Hommes,25 à 29 ans,0
2008,Femmes,25 à 29 ans,0
2008,Les deux sexes,30 à 34 ans,0
2008,Hommes,30 à 34 ans,0
2008,Femmes,30 à 34 ans,0
2008,Les deux sexes,35 à 39 ans,0
2008,Hommes,35 à 39 ans,0
2008,Femmes,35 à 39 ans,0
2008,Les deux sexes,40 à 44 ans,0
2008,Hommes,40 à 44 ans,0
2008,Femmes,40 à 44 ans,0
2008,Les deux sexes,45 à 49 ans,0
2008,Hommes,45 à 49 ans,0
2008,Femmes,45 à 49 ans,0
2008,Les deux sexes,50 à 54 ans,1
2008,Hommes,50 à 54 ans,1
2008,Femmes,50 à 54 ans,0
2008,Les deux sexes,55 à 59 ans,0
2008,Hommes,55 à 59 ans,0
2008,Femmes,55 à 59 ans,0
2008,Les deux sexes,60 à 64 ans,0
2008,Hommes,60 à 64 ans,0
2008,Femmes,60 à 64 ans,0
2008,Les deux sexes,65 à 69 ans,0
2008,Hommes,65 à 69 ans,0
2008,Femmes,65 à 69 ans,0
2008,Les deux sexes,70 à 74 ans,0
2008,Hommes,70 à 74 ans,0
2008,Femmes,70 à 74 ans,0
2008,Les deux sexes,75 à 79 ans,0
2008,Hommes,75 à 79 ans,0
2008,Femmes,75 à 79 ans,0
2008,Les deux sexes,80 à 84 ans,0
2008,Hommes,80 à 84 ans,0
2008,Femmes,80 à 84 ans,0
2008,Les deux sexes,85 à 89 ans,0
2008,Hommes,85 à 89 ans,0
2008,Femmes,85 à 89 ans,0
2008,Les deux sexes,90 ans et plus,0
2008,Hommes,90 ans et plus,0
2008,Femmes,90 ans et plus,0
2008,Les deux sexes,"Âge, non déclaré",0
2008,Hommes,"Âge, non déclaré",0
2008,Femmes,"Âge, non déclaré",0
2009,,,4
2009,Hommes,"Total, tous les âges",3
2009,Femmes,"Total, tous les âges",1
2009,Les deux sexes,Moins d'un an,0
2009,Hommes,Moins d'un an,0
2009,Femmes,Moins d'un an,0
2009,Les deux sexes,1 à 4 ans,0
2009,Hommes,1 à 4 ans,0
2009,Femmes,1 à 4 ans,0
2009,Les deux sexes,5 à 9 ans,0
2009,Hommes,5 à 9 ans,0
2009,Femmes,5 à 9 ans,0
2009,Les deux sexes,10 à 14 ans,0
2009,Hommes,10 à 14 ans,0
2009,Femmes,10 à 14 ans,0
2009,Les deux sexes,15 à 19 ans,0
2009,Hommes,15 à 19 ans,0
2009,Femmes,15 à 19 ans,0
2009,Les deux sexes,20 à 24 ans,0
2009,Hommes,20 à 24 ans,0
2009,Femmes,20 à 24 ans,0
2009,Les deux sexes,25 à 29 ans,0
2009,Hommes,25 à 29 ans,0
2009,Femmes,25 à 29 ans,0
2009,Les deux sexes,30 à 34 ans,0
2009,Hommes,30 à 34 ans,0
2009,Femmes,30 à 34 ans,0
2009,Les deux sexes,35 à 39 ans,0
2009,Hommes,35 à 39 ans,0
2009,Femmes,35 à 39 ans,0
2009,Les deux sexes,40 à 44 ans,1
2009,Hommes,40 à 44 ans,1
2009,Femmes,40 à 44 ans,0
2009,Les deux sexes,45 à 49 ans,1
2009,Hommes,45 à 49 ans,1
2009,Femmes,45 à 49 ans,0
2009,Les deux sexes,50 à 54 ans,0
2009,Hommes,50 à 54 ans,0
2009,Femmes,50 à 54 ans,0
2009,Les deux sexes,55 à 59 ans,1
2009,Hommes,55 à 59 ans,0
2009,Femmes,55 à 59 ans,1
2009,Les deux sexes,60 à 64 ans,0
2009,Hommes,60 à 64 ans,0
2009,Femmes,60 à 64 ans,0
2009,Les deux sexes,65 à 69 ans,0
2009,Hommes,65 à 69 ans,0
2009,Femmes,65 à 69 ans,0
2009,Les deux sexes,70 à 74 ans,0
2009,Hommes,70 à 74 ans,0
2009,Femmes,70 à 74 ans,0
2009,Les deux sexes,75 à 79 ans,1
2009,Hommes,75 à 79 ans,1
2009,Femmes,75 à 79 ans,0
2009,Les deux sexes,80 à 84 ans,0
2009,Hommes,80 à 84 ans,0
2009,Femmes,80 à 84 ans,0
2009,Les deux sexes,85 à 89 ans,0
2009,Hommes,85 à 89 ans,0
2009,Femmes,85 à 89 ans,0
2009,Les deux sexes,90 ans et plus,0
2009,Hommes,90 ans et plus,0
2009,Femmes,90 ans et plus,0
2009,Les deux sexes,"Âge, non déclaré",0
2009,Hommes,"Âge, non déclaré",0
2009,Femmes,"Âge, non déclaré",0
2010,,,48
2010,Hommes,"Total, tous les âges",30
2010,Femmes,"Total, tous les âges",18
2010,Les deux sexes,Moins d'un an,0
2010,Hommes,Moins d'un an,0
2010,Femmes,Moins d'un an,0
2010,Les deux sexes,1 à 4 ans,0
2010,Hommes,1 à 4 ans,0
2010,Femmes,1 à 4 ans,0
2010,Les deux sexes,5 à 9 ans,0
2010,Hommes,5 à 9 ans,0
2010,Femmes,5 à 9 ans,0
2010,Les deux sexes,10 à 14 ans,0
2010,Hommes,10 à 14 ans,0
2010,Femmes,10 à 14 ans,0
2010,Les deux sexes,15 à 19 ans,0
2010,Hommes,15 à 19 ans,0
2010,Femmes,15 à 19 ans,0
2010,Les deux sexes,20 à 24 ans,1
2010,Hommes,20 à 24 ans,1
2010,Femmes,20 à 24 ans,0
2010,Les deux sexes,25 à 29 ans,0
2010,Hommes,25 à 29 ans,0
2010,Femmes,25 à 29 ans,0
2010,Les deux sexes,30 à 34 ans,0
2010,Hommes,30 à 34 ans,0
2010,Femmes,30 à 34 ans,0
2010,Les deux sexes,35 à 39 ans,2
2010,Hommes,35 à 39 ans,2
2010,Femmes,35 à 39 ans,0
2010,Les deux sexes,40 à 44 ans,1
2010,Hommes,40 à 44 ans,1
2010,Femmes,40 à 44 ans,0
2010,Les deux sexes,45 à 49 ans,4
2010,Hommes,45 à 49 ans,4
2010,Femmes,45 à 49 ans,0
2010,Les deux sexes,50 à 54 ans,4
2010,Hommes,50 à 54 ans,2
2010,Femmes,50 à 54 ans,2
2010,Les deux sexes,55 à 59 ans,8
2010,Hommes,55 à 59 ans,6
2010,Femmes,55 à 59 ans,2
2010,Les deux sexes,60 à 64 ans,0
2010,Hommes,60 à 64 ans,0
2010,Femmes,60 à 64 ans,0
