Year,Series,Geography,Offences,Age of accused,Sex of accused,GeoCode,Value
2014/2015,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Males,,178.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Females,,143.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Company,,247.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused",Sex unknown,,198.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,"Total, sex of accused",,194.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Males,,203.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Females,,156.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Sex unknown,,216.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,"Total, sex of accused",,170.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Males,,175.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Females,,142.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Sex unknown,,193.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,"Total, sex of accused",,169.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Males,,172.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Females,,142.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Sex unknown,,194.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,"Total, sex of accused",,164.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Males,,169.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Females,,134.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Sex unknown,,188.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,55 years and over,"Total, sex of accused",,159.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,55 years and over,Males,,161.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,55 years and over,Females,,138.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,55 years and over,Sex unknown,,183.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,Other ages,"Total, sex of accused",,187.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,Other ages,Males,,223.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,Other ages,Females,,58.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,Other ages,Sex unknown,,204.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,Age not applicable,"Total, sex of accused",,247.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,Age not applicable,Company,,247.0
2014/2015,Adult criminal courts,Canada,Crimes against property,"Total, age of accused","Total, sex of accused",,106.0
2014/2015,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Males,,106.0
2014/2015,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Females,,99.0
2014/2015,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Company,,88.0
2014/2015,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Sex unknown,,159.0
2014/2015,Adult criminal courts,Canada,Crimes against property,18 to 24 years,"Total, sex of accused",,115.0
2014/2015,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Males,,117.0
2014/2015,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Females,,101.0
2014/2015,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Sex unknown,,169.0
2014/2015,Adult criminal courts,Canada,Crimes against property,25 to 34 years,"Total, sex of accused",,106.0
2014/2015,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Males,,106.0
2014/2015,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Females,,105.0
2014/2015,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Sex unknown,,145.0
2014/2015,Adult criminal courts,Canada,Crimes against property,35 to 44 years,"Total, sex of accused",,106.0
2014/2015,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Males,,104.0
2014/2015,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Females,,99.0
2014/2015,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Sex unknown,,167.0
2014/2015,Adult criminal courts,Canada,Crimes against property,45 to 54 years,"Total, sex of accused",,97.0
2014/2015,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Males,,97.0
2014/2015,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Females,,92.0
2014/2015,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Sex unknown,,141.0
2014/2015,Adult criminal courts,Canada,Crimes against property,55 years and over,"Total, sex of accused",,72.0
2014/2015,Adult criminal courts,Canada,Crimes against property,55 years and over,Males,,75.0
2014/2015,Adult criminal courts,Canada,Crimes against property,55 years and over,Females,,64.0
2014/2015,Adult criminal courts,Canada,Crimes against property,55 years and over,Sex unknown,,136.0
2014/2015,Adult criminal courts,Canada,Crimes against property,Other ages,"Total, sex of accused",,187.0
2014/2015,Adult criminal courts,Canada,Crimes against property,Other ages,Males,,169.0
2014/2015,Adult criminal courts,Canada,Crimes against property,Other ages,Females,,202.0
2014/2015,Adult criminal courts,Canada,Crimes against property,Other ages,Sex unknown,,224.0
2014/2015,Adult criminal courts,Canada,Crimes against property,Age not applicable,"Total, sex of accused",,88.0
2014/2015,Adult criminal courts,Canada,Crimes against property,Age not applicable,Company,,88.0
2014/2015,Adult criminal courts,Canada,Administration of justice,"Total, age of accused","Total, sex of accused",,74.0
2014/2015,Adult criminal courts,Canada,Administration of justice,"Total, age of accused",Males,,70.0
2014/2015,Adult criminal courts,Canada,Administration of justice,"Total, age of accused",Females,,80.0
2014/2015,Adult criminal courts,Canada,Administration of justice,"Total, age of accused",Company,,4.0
2014/2015,Adult criminal courts,Canada,Administration of justice,"Total, age of accused",Sex unknown,,103.0
2014/2015,Adult criminal courts,Canada,Administration of justice,18 to 24 years,"Total, sex of accused",,82.0
2014/2015,Adult criminal courts,Canada,Administration of justice,18 to 24 years,Males,,79.0
2014/2015,Adult criminal courts,Canada,Administration of justice,18 to 24 years,Females,,80.0
2014/2015,Adult criminal courts,Canada,Administration of justice,18 to 24 years,Sex unknown,,99.0
2014/2015,Adult criminal courts,Canada,Administration of justice,25 to 34 years,"Total, sex of accused",,72.0
2014/2015,Adult criminal courts,Canada,Administration of justice,25 to 34 years,Males,,68.0
2014/2015,Adult criminal courts,Canada,Administration of justice,25 to 34 years,Females,,78.0
2014/2015,Adult criminal courts,Canada,Administration of justice,25 to 34 years,Sex unknown,,100.0
2014/2015,Adult criminal courts,Canada,Administration of justice,35 to 44 years,"Total, sex of accused",,71.0
2014/2015,Adult criminal courts,Canada,Administration of justice,35 to 44 years,Males,,65.0
2014/2015,Adult criminal courts,Canada,Administration of justice,35 to 44 years,Females,,85.0
2014/2015,Adult criminal courts,Canada,Administration of justice,35 to 44 years,Sex unknown,,99.0
2014/2015,Adult criminal courts,Canada,Administration of justice,45 to 54 years,"Total, sex of accused",,73.0
2014/2015,Adult criminal courts,Canada,Administration of justice,45 to 54 years,Males,,68.0
2014/2015,Adult criminal courts,Canada,Administration of justice,45 to 54 years,Females,,87.0
2014/2015,Adult criminal courts,Canada,Administration of justice,45 to 54 years,Sex unknown,,109.0
2014/2015,Adult criminal courts,Canada,Administration of justice,55 years and over,"Total, sex of accused",,78.0
2014/2015,Adult criminal courts,Canada,Administration of justice,55 years and over,Males,,70.0
2014/2015,Adult criminal courts,Canada,Administration of justice,55 years and over,Females,,103.0
2014/2015,Adult criminal courts,Canada,Administration of justice,55 years and over,Sex unknown,,119.0
2014/2015,Adult criminal courts,Canada,Administration of justice,Other ages,"Total, sex of accused",,39.0
2014/2015,Adult criminal courts,Canada,Administration of justice,Other ages,Males,,6.0
2014/2015,Adult criminal courts,Canada,Administration of justice,Other ages,Females,,25.0
2014/2015,Adult criminal courts,Canada,Administration of justice,Other ages,Sex unknown,,118.0
2014/2015,Adult criminal courts,Canada,Administration of justice,Age not applicable,"Total, sex of accused",,4.0
2014/2015,Adult criminal courts,Canada,Administration of justice,Age not applicable,Company,,4.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,"Total, age of accused","Total, sex of accused",,133.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,"Total, age of accused",Males,,139.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,"Total, age of accused",Females,,106.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,"Total, age of accused",Company,,207.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,"Total, age of accused",Sex unknown,,127.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,18 to 24 years,"Total, sex of accused",,119.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,18 to 24 years,Males,,120.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,18 to 24 years,Females,,110.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,18 to 24 years,Sex unknown,,120.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,25 to 34 years,"Total, sex of accused",,139.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,25 to 34 years,Males,,146.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,25 to 34 years,Females,,108.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,25 to 34 years,Sex unknown,,134.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,35 to 44 years,"Total, sex of accused",,145.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,35 to 44 years,Males,,154.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,35 to 44 years,Females,,123.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,35 to 44 years,Sex unknown,,123.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,45 to 54 years,"Total, sex of accused",,141.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,45 to 54 years,Males,,149.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,45 to 54 years,Females,,99.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,45 to 54 years,Sex unknown,,168.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,55 years and over,"Total, sex of accused",,109.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,55 years and over,Males,,113.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,55 years and over,Females,,75.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,55 years and over,Sex unknown,,121.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,Other ages,"Total, sex of accused",,81.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,Other ages,Males,,97.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,Other ages,Females,,99.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,Other ages,Sex unknown,,79.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,Age not applicable,"Total, sex of accused",,207.0
2014/2015,Adult criminal courts,Canada,Criminal Code traffic,Age not applicable,Company,,207.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,"Total, age of accused","Total, sex of accused",10,146.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,"Total, age of accused",Males,10,155.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,"Total, age of accused",Females,10,115.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,"Total, age of accused",Company,10,236.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,"Total, age of accused",Sex unknown,10,67.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,18 to 24 years,"Total, sex of accused",10,155.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,18 to 24 years,Males,10,162.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,18 to 24 years,Females,10,125.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,18 to 24 years,Sex unknown,10,82.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,25 to 34 years,"Total, sex of accused",10,156.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,25 to 34 years,Males,10,176.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,25 to 34 years,Females,10,133.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,25 to 34 years,Sex unknown,10,49.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,35 to 44 years,"Total, sex of accused",10,136.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,35 to 44 years,Males,10,144.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,35 to 44 years,Females,10,120.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,35 to 44 years,Sex unknown,10,68.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,45 to 54 years,"Total, sex of accused",10,147.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,45 to 54 years,Males,10,156.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,45 to 54 years,Females,10,82.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,45 to 54 years,Sex unknown,10,107.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,55 years and over,"Total, sex of accused",10,100.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,55 years and over,Males,10,112.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,55 years and over,Females,10,73.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,55 years and over,Sex unknown,10,316.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,Other ages,"Total, sex of accused",10,206.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,Other ages,Males,10,238.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,Other ages,Females,10,173.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,Other ages,Sex unknown,10,
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,Age not applicable,"Total, sex of accused",10,236.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total offences,Age not applicable,Company,10,236.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,"Total, age of accused","Total, sex of accused",10,151.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,"Total, age of accused",Males,10,161.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,"Total, age of accused",Females,10,114.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,"Total, age of accused",Company,10,63.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,"Total, age of accused",Sex unknown,10,129.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,18 to 24 years,"Total, sex of accused",10,156.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,18 to 24 years,Males,10,168.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,18 to 24 years,Females,10,116.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,18 to 24 years,Sex unknown,10,107.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,25 to 34 years,"Total, sex of accused",10,160.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,25 to 34 years,Males,10,177.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,25 to 34 years,Females,10,133.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,25 to 34 years,Sex unknown,10,68.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,35 to 44 years,"Total, sex of accused",10,142.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,35 to 44 years,Males,10,151.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,35 to 44 years,Females,10,119.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,35 to 44 years,Sex unknown,10,178.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,45 to 54 years,"Total, sex of accused",10,152.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,45 to 54 years,Males,10,163.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,45 to 54 years,Females,10,82.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,45 to 54 years,Sex unknown,10,128.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,55 years and over,"Total, sex of accused",10,128.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,55 years and over,Males,10,142.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,55 years and over,Females,10,81.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,55 years and over,Sex unknown,10,416.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,Other ages,"Total, sex of accused",10,206.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,Other ages,Males,10,238.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,Other ages,Females,10,173.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,Other ages,Sex unknown,10,
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,Age not applicable,"Total, sex of accused",10,63.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Total Criminal Code,Age not applicable,Company,10,63.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,"Total, age of accused","Total, sex of accused",10,203.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,"Total, age of accused",Males,10,206.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,"Total, age of accused",Females,10,180.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,"Total, age of accused",Company,10,
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,"Total, age of accused",Sex unknown,10,225.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,18 to 24 years,"Total, sex of accused",10,257.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,18 to 24 years,Males,10,264.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,18 to 24 years,Females,10,209.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,18 to 24 years,Sex unknown,10,
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,25 to 34 years,"Total, sex of accused",10,212.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,25 to 34 years,Males,10,214.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,25 to 34 years,Females,10,202.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,25 to 34 years,Sex unknown,10,5.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,35 to 44 years,"Total, sex of accused",10,184.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,35 to 44 years,Males,10,188.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,35 to 44 years,Females,10,156.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,35 to 44 years,Sex unknown,10,134.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,45 to 54 years,"Total, sex of accused",10,187.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,45 to 54 years,Males,10,193.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,45 to 54 years,Females,10,179.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,45 to 54 years,Sex unknown,10,85.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,55 years and over,"Total, sex of accused",10,188.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,55 years and over,Males,10,194.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,55 years and over,Females,10,126.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,55 years and over,Sex unknown,10,515.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,Other ages,"Total, sex of accused",10,206.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,Other ages,Males,10,314.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,Other ages,Females,10,105.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,Other ages,Sex unknown,10,
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,Age not applicable,"Total, sex of accused",10,
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against the person,Age not applicable,Company,10,
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused","Total, sex of accused",10,136.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Males,10,170.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Females,10,64.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Company,10,63.0
2014/2015,Adult criminal courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Sex unknown,10,319.0
