Year,Geography,Sex,Grade,Type of e-cigarettes,GeoCode,Value
2016-2017,Alberta,Female,Grades 7-9,Both type,48,6.4
2016-2017,Alberta,Both sexes,Grades 10-12,Both type,48,22.2
2016-2017,Alberta,Male,Grades 10-12,Both type,48,25.8
2016-2017,Alberta,Female,Grades 10-12,Both type,48,18.5
2016-2017,British Columbia,Both sexes,All grades,Both type,59,12.5
2016-2017,British Columbia,Male,All grades,Both type,59,15.4
2016-2017,British Columbia,Female,All grades,Both type,59,9.4
2016-2017,British Columbia,Both sexes,Grades 7-9,Both type,59,6.1
2016-2017,British Columbia,Male,Grades 7-9,Both type,59,6.4
2016-2017,British Columbia,Female,Grades 7-9,Both type,59,5.9
2016-2017,British Columbia,Both sexes,Grades 10-12,Both type,59,18.1
2016-2017,British Columbia,Male,Grades 10-12,Both type,59,23.4
2016-2017,British Columbia,Female,Grades 10-12,Both type,59,12.6
2018-2019,,,,,,20.2
2018-2019,Canada,Male,All grades,Both type,,21.5
2018-2019,Canada,Female,All grades,Both type,,18.9
2018-2019,Canada,Both sexes,All grades,With nicotine,,17.7
2018-2019,Canada,Male,All grades,With nicotine,,18.8
2018-2019,Canada,Female,All grades,With nicotine,,16.5
2018-2019,Canada,Both sexes,All grades,Without nicotine,,11.3
2018-2019,Canada,Male,All grades,Without nicotine,,11.8
2018-2019,Canada,Female,All grades,Without nicotine,,10.7
2018-2019,Canada,Both sexes,Grades 7-9,Both type,,11.1
2018-2019,Canada,Male,Grades 7-9,Both type,,11.7
2018-2019,Canada,Female,Grades 7-9,Both type,,10.4
2018-2019,Canada,Both sexes,Grades 7-9,With nicotine,,8.6
2018-2019,Canada,Male,Grades 7-9,With nicotine,,9.0
2018-2019,Canada,Female,Grades 7-9,With nicotine,,8.2
2018-2019,Canada,Both sexes,Grades 7-9,Without nicotine,,8.0
2018-2019,Canada,Male,Grades 7-9,Without nicotine,,8.6
2018-2019,Canada,Female,Grades 7-9,Without nicotine,,7.3
2018-2019,Canada,Both sexes,Grades 10-12,Both type,,29.4
2018-2019,Canada,Male,Grades 10-12,Both type,,31.2
2018-2019,Canada,Female,Grades 10-12,Both type,,27.5
2018-2019,Canada,Both sexes,Grades 10-12,With nicotine,,26.8
2018-2019,Canada,Male,Grades 10-12,With nicotine,,28.6
2018-2019,Canada,Female,Grades 10-12,With nicotine,,24.9
2018-2019,Canada,Both sexes,Grades 10-12,Without nicotine,,14.6
2018-2019,Canada,Male,Grades 10-12,Without nicotine,,15.1
2018-2019,Canada,Female,Grades 10-12,Without nicotine,,14.2
2018-2019,Newfoundland and Labrador,Both sexes,All grades,Both type,10,29.9
2018-2019,Newfoundland and Labrador,Male,All grades,Both type,10,32.9
2018-2019,Newfoundland and Labrador,Female,All grades,Both type,10,26.7
2018-2019,Newfoundland and Labrador,Both sexes,All grades,With nicotine,10,26.2
2018-2019,Newfoundland and Labrador,Male,All grades,With nicotine,10,28.6
2018-2019,Newfoundland and Labrador,Female,All grades,With nicotine,10,23.7
2018-2019,Newfoundland and Labrador,Both sexes,All grades,Without nicotine,10,19.1
2018-2019,Newfoundland and Labrador,Male,All grades,Without nicotine,10,20.5
2018-2019,Newfoundland and Labrador,Female,All grades,Without nicotine,10,17.7
2018-2019,Newfoundland and Labrador,Both sexes,Grades 7-9,Both type,10,17.0
2018-2019,Newfoundland and Labrador,Male,Grades 7-9,Both type,10,18.8
2018-2019,Newfoundland and Labrador,Female,Grades 7-9,Both type,10,15.1
2018-2019,Newfoundland and Labrador,Both sexes,Grades 7-9,With nicotine,10,13.6
2018-2019,Newfoundland and Labrador,Male,Grades 7-9,With nicotine,10,14.4
2018-2019,Newfoundland and Labrador,Female,Grades 7-9,With nicotine,10,12.7
2018-2019,Newfoundland and Labrador,Both sexes,Grades 7-9,Without nicotine,10,12.4
2018-2019,Newfoundland and Labrador,Male,Grades 7-9,Without nicotine,10,13.8
2018-2019,Newfoundland and Labrador,Female,Grades 7-9,Without nicotine,10,10.9
2018-2019,Newfoundland and Labrador,Both sexes,Grades 10-12,Both type,10,42.1
2018-2019,Newfoundland and Labrador,Male,Grades 10-12,Both type,10,46.3
2018-2019,Newfoundland and Labrador,Female,Grades 10-12,Both type,10,37.6
2018-2019,Newfoundland and Labrador,Both sexes,Grades 10-12,With nicotine,10,38.0
2018-2019,Newfoundland and Labrador,Male,Grades 10-12,With nicotine,10,41.9
2018-2019,Newfoundland and Labrador,Female,Grades 10-12,With nicotine,10,34.0
2018-2019,Newfoundland and Labrador,Both sexes,Grades 10-12,Without nicotine,10,25.4
2018-2019,Newfoundland and Labrador,Male,Grades 10-12,Without nicotine,10,26.7
2018-2019,Newfoundland and Labrador,Female,Grades 10-12,Without nicotine,10,24.1
2018-2019,Prince Edward Island,Both sexes,All grades,Both type,11,26.7
2018-2019,Prince Edward Island,Male,All grades,Both type,11,27.7
2018-2019,Prince Edward Island,Female,All grades,Both type,11,25.6
2018-2019,Prince Edward Island,Both sexes,All grades,With nicotine,11,23.6
2018-2019,Prince Edward Island,Male,All grades,With nicotine,11,25.2
2018-2019,Prince Edward Island,Female,All grades,With nicotine,11,21.9
2018-2019,Prince Edward Island,Both sexes,All grades,Without nicotine,11,15.6
2018-2019,Prince Edward Island,Male,All grades,Without nicotine,11,14.8
2018-2019,Prince Edward Island,Female,All grades,Without nicotine,11,16.3
2018-2019,Prince Edward Island,Both sexes,Grades 7-9,Both type,11,13.7
2018-2019,Prince Edward Island,Male,Grades 7-9,Both type,11,13.8
2018-2019,Prince Edward Island,Female,Grades 7-9,Both type,11,13.7
2018-2019,Prince Edward Island,Both sexes,Grades 7-9,With nicotine,11,10.8
2018-2019,Prince Edward Island,Male,Grades 7-9,With nicotine,11,11.3
2018-2019,Prince Edward Island,Female,Grades 7-9,With nicotine,11,10.3
2018-2019,Prince Edward Island,Both sexes,Grades 7-9,Without nicotine,11,10.4
2018-2019,Prince Edward Island,Male,Grades 7-9,Without nicotine,11,10.1
2018-2019,Prince Edward Island,Female,Grades 7-9,Without nicotine,11,10.6
2018-2019,Prince Edward Island,Both sexes,Grades 10-12,Both type,11,39.3
2018-2019,Prince Edward Island,Male,Grades 10-12,Both type,11,41.3
2018-2019,Prince Edward Island,Female,Grades 10-12,Both type,11,37.3
2018-2019,Prince Edward Island,Both sexes,Grades 10-12,With nicotine,11,36.0
2018-2019,Prince Edward Island,Male,Grades 10-12,With nicotine,11,38.9
2018-2019,Prince Edward Island,Female,Grades 10-12,With nicotine,11,33.2
2018-2019,Prince Edward Island,Both sexes,Grades 10-12,Without nicotine,11,20.7
2018-2019,Prince Edward Island,Male,Grades 10-12,Without nicotine,11,19.5
2018-2019,Prince Edward Island,Female,Grades 10-12,Without nicotine,11,21.9
2018-2019,Nova Scotia,Both sexes,All grades,Both type,12,25.1
2018-2019,Nova Scotia,Male,All grades,Both type,12,24.9
2018-2019,Nova Scotia,Female,All grades,Both type,12,25.3
2018-2019,Nova Scotia,Both sexes,All grades,With nicotine,12,22.2
2018-2019,Nova Scotia,Male,All grades,With nicotine,12,22.7
2018-2019,Nova Scotia,Female,All grades,With nicotine,12,21.8
2018-2019,Nova Scotia,Both sexes,All grades,Without nicotine,12,14.7
2018-2019,Nova Scotia,Male,All grades,Without nicotine,12,13.7
2018-2019,Nova Scotia,Female,All grades,Without nicotine,12,15.6
2018-2019,Nova Scotia,Both sexes,Grades 7-9,Both type,12,12.4
2018-2019,Nova Scotia,Male,Grades 7-9,Both type,12,11.8
2018-2019,Nova Scotia,Female,Grades 7-9,Both type,12,13.1
2018-2019,Nova Scotia,Both sexes,Grades 7-9,With nicotine,12,9.9
2018-2019,Nova Scotia,Male,Grades 7-9,With nicotine,12,9.8
2018-2019,Nova Scotia,Female,Grades 7-9,With nicotine,12,10.0
2018-2019,Nova Scotia,Both sexes,Grades 7-9,Without nicotine,12,8.4
2018-2019,Nova Scotia,Male,Grades 7-9,Without nicotine,12,7.8
2018-2019,Nova Scotia,Female,Grades 7-9,Without nicotine,12,9.0
2018-2019,Nova Scotia,Both sexes,Grades 10-12,Both type,12,37.1
2018-2019,Nova Scotia,Male,Grades 10-12,Both type,12,37.2
2018-2019,Nova Scotia,Female,Grades 10-12,Both type,12,37.1
2018-2019,Nova Scotia,Both sexes,Grades 10-12,With nicotine,12,34.0
2018-2019,Nova Scotia,Male,Grades 10-12,With nicotine,12,34.9
2018-2019,Nova Scotia,Female,Grades 10-12,With nicotine,12,33.2
2018-2019,Nova Scotia,Both sexes,Grades 10-12,Without nicotine,12,20.6
2018-2019,Nova Scotia,Male,Grades 10-12,Without nicotine,12,19.2
2018-2019,Nova Scotia,Female,Grades 10-12,Without nicotine,12,22.1
2018-2019,New Brunswick,Both sexes,All grades,Both type,13,27.7
2018-2019,New Brunswick,Male,All grades,Both type,13,30.4
2018-2019,New Brunswick,Female,All grades,Both type,13,25.0
2018-2019,New Brunswick,Both sexes,All grades,With nicotine,13,24.5
2018-2019,New Brunswick,Male,All grades,With nicotine,13,27.3
2018-2019,New Brunswick,Female,All grades,With nicotine,13,21.6
2018-2019,New Brunswick,Both sexes,All grades,Without nicotine,13,17.7
2018-2019,New Brunswick,Male,All grades,Without nicotine,13,19.0
2018-2019,New Brunswick,Female,All grades,Without nicotine,13,16.5
2018-2019,New Brunswick,Both sexes,Grades 7-9,Both type,13,14.4
2018-2019,New Brunswick,Male,Grades 7-9,Both type,13,15.5
2018-2019,New Brunswick,Female,Grades 7-9,Both type,13,13.4
2018-2019,New Brunswick,Both sexes,Grades 7-9,With nicotine,13,11.2
2018-2019,New Brunswick,Male,Grades 7-9,With nicotine,13,12.0
2018-2019,New Brunswick,Female,Grades 7-9,With nicotine,13,10.4
2018-2019,New Brunswick,Both sexes,Grades 7-9,Without nicotine,13,11.4
2018-2019,New Brunswick,Male,Grades 7-9,Without nicotine,13,12.9
2018-2019,New Brunswick,Female,Grades 7-9,Without nicotine,13,9.9
2018-2019,New Brunswick,Both sexes,Grades 10-12,Both type,13,39.4
2018-2019,New Brunswick,Male,Grades 10-12,Both type,13,43.7
2018-2019,New Brunswick,Female,Grades 10-12,Both type,13,35.1
2018-2019,New Brunswick,Both sexes,Grades 10-12,With nicotine,13,36.2
2018-2019,New Brunswick,Male,Grades 10-12,With nicotine,13,41.0
2018-2019,New Brunswick,Female,Grades 10-12,With nicotine,13,31.4
2018-2019,New Brunswick,Both sexes,Grades 10-12,Without nicotine,13,23.3
2018-2019,New Brunswick,Male,Grades 10-12,Without nicotine,13,24.4
2018-2019,New Brunswick,Female,Grades 10-12,Without nicotine,13,22.2
2018-2019,Quebec,Both sexes,All grades,Both type,24,16.7
2018-2019,Quebec,Male,All grades,Both type,24,19.0
2018-2019,Quebec,Female,All grades,Both type,24,14.5
2018-2019,Quebec,Both sexes,All grades,With nicotine,24,13.4
2018-2019,Quebec,Male,All grades,With nicotine,24,14.9
2018-2019,Quebec,Female,All grades,With nicotine,24,11.8
2018-2019,Quebec,Both sexes,All grades,Without nicotine,24,12.6
2018-2019,Quebec,Male,All grades,Without nicotine,24,14.6
2018-2019,Quebec,Female,All grades,Without nicotine,24,10.5
2018-2019,Quebec,Both sexes,Grades 7-9,Both type,24,13.5
2018-2019,Quebec,Male,Grades 7-9,Both type,24,14.3
2018-2019,Quebec,Female,Grades 7-9,Both type,24,12.6
2018-2019,Quebec,Both sexes,Grades 7-9,With nicotine,24,10.4
2018-2019,Quebec,Male,Grades 7-9,With nicotine,24,10.6
2018-2019,Quebec,Female,Grades 7-9,With nicotine,24,10.2
2018-2019,Quebec,Both sexes,Grades 7-9,Without nicotine,24,10.7
2018-2019,Quebec,Male,Grades 7-9,Without nicotine,24,11.9
2018-2019,Quebec,Female,Grades 7-9,Without nicotine,24,9.5
2018-2019,Quebec,Both sexes,Grades 10-12,Both type,24,22.4
2018-2019,Quebec,Male,Grades 10-12,Both type,24,26.9
2018-2019,Quebec,Female,Grades 10-12,Both type,24,17.7
2018-2019,Quebec,Both sexes,Grades 10-12,With nicotine,24,18.6
2018-2019,Quebec,Male,Grades 10-12,With nicotine,24,22.4
2018-2019,Quebec,Female,Grades 10-12,With nicotine,24,14.7
2018-2019,Quebec,Both sexes,Grades 10-12,Without nicotine,24,15.8
2018-2019,Quebec,Male,Grades 10-12,Without nicotine,24,19.2
2018-2019,Quebec,Female,Grades 10-12,Without nicotine,24,12.2
2018-2019,Ontario,Both sexes,All grades,Both type,35,17.8
2018-2019,Ontario,Male,All grades,Both type,35,18.6
2018-2019,Ontario,Female,All grades,Both type,35,16.9
2018-2019,Ontario,Both sexes,All grades,With nicotine,35,15.4
2018-2019,Ontario,Male,All grades,With nicotine,35,16.0
2018-2019,Ontario,Female,All grades,With nicotine,35,14.7
2018-2019,Ontario,Both sexes,All grades,Without nicotine,35,9.1
2018-2019,Ontario,Male,All grades,Without nicotine,35,9.6
2018-2019,Ontario,Female,All grades,Without nicotine,35,8.6
2018-2019,Ontario,Both sexes,Grades 7-9,Both type,35,7.6
2018-2019,Ontario,Male,Grades 7-9,Both type,35,8.8
2018-2019,Ontario,Female,Grades 7-9,Both type,35,6.4
2018-2019,Ontario,Both sexes,Grades 7-9,With nicotine,35,5.5
2018-2019,Ontario,Male,Grades 7-9,With nicotine,35,6.1
2018-2019,Ontario,Female,Grades 7-9,With nicotine,35,4.8
2018-2019,Ontario,Both sexes,Grades 7-9,Without nicotine,35,5.2
2018-2019,Ontario,Male,Grades 7-9,Without nicotine,35,6.4
2018-2019,Ontario,Female,Grades 7-9,Without nicotine,35,4.0
2018-2019,Ontario,Both sexes,Grades 10-12,Both type,35,26.4
2018-2019,Ontario,Male,Grades 10-12,Both type,35,26.8
2018-2019,Ontario,Female,Grades 10-12,Both type,35,26.0
2018-2019,Ontario,Both sexes,Grades 10-12,With nicotine,35,23.8
2018-2019,Ontario,Male,Grades 10-12,With nicotine,35,24.4
2018-2019,Ontario,Female,Grades 10-12,With nicotine,35,23.2
2018-2019,Ontario,Both sexes,Grades 10-12,Without nicotine,35,12.4
2018-2019,Ontario,Male,Grades 10-12,Without nicotine,35,12.3
2018-2019,Ontario,Female,Grades 10-12,Without nicotine,35,12.5
2018-2019,Manitoba,Both sexes,All grades,Both type,46,21.5
2018-2019,Manitoba,Male,All grades,Both type,46,24.1
2018-2019,Manitoba,Female,All grades,Both type,46,18.8
2018-2019,Manitoba,Both sexes,All grades,With nicotine,46,19.1
2018-2019,Manitoba,Male,All grades,With nicotine,46,21.3
2018-2019,Manitoba,Female,All grades,With nicotine,46,16.8
2018-2019,Manitoba,Both sexes,All grades,Without nicotine,46,12.1
2018-2019,Manitoba,Male,All grades,Without nicotine,46,12.2
2018-2019,Manitoba,Female,All grades,Without nicotine,46,12.0
2018-2019,Manitoba,Both sexes,Grades 7-9,Both type,46,12.4
2018-2019,Manitoba,Male,Grades 7-9,Both type,46,13.3
2018-2019,Manitoba,Female,Grades 7-9,Both type,46,11.6
2018-2019,Manitoba,Both sexes,Grades 7-9,With nicotine,46,9.9
2018-2019,Manitoba,Male,Grades 7-9,With nicotine,46,10.8
2018-2019,Manitoba,Female,Grades 7-9,With nicotine,46,8.9
2018-2019,Manitoba,Both sexes,Grades 7-9,Without nicotine,46,9.3
2018-2019,Manitoba,Male,Grades 7-9,Without nicotine,46,9.8
2018-2019,Manitoba,Female,Grades 7-9,Without nicotine,46,8.9
2018-2019,Manitoba,Both sexes,Grades 10-12,Both type,46,29.2
2018-2019,Manitoba,Male,Grades 10-12,Both type,46,33.3
2018-2019,Manitoba,Female,Grades 10-12,Both type,46,25.0
2018-2019,Manitoba,Both sexes,Grades 10-12,With nicotine,46,26.9
2018-2019,Manitoba,Male,Grades 10-12,With nicotine,46,30.0
2018-2019,Manitoba,Female,Grades 10-12,With nicotine,46,23.5
2018-2019,Manitoba,Both sexes,Grades 10-12,Without nicotine,46,14.5
2018-2019,Manitoba,Male,Grades 10-12,Without nicotine,46,14.3
2018-2019,Manitoba,Female,Grades 10-12,Without nicotine,46,14.7
2018-2019,Saskatchewan,Both sexes,All grades,Both type,47,29.6
2018-2019,Saskatchewan,Male,All grades,Both type,47,29.1
2018-2019,Saskatchewan,Female,All grades,Both type,47,30.0
2018-2019,Saskatchewan,Both sexes,All grades,With nicotine,47,26.8
2018-2019,Saskatchewan,Male,All grades,With nicotine,47,27.0
2018-2019,Saskatchewan,Female,All grades,With nicotine,47,26.6
2018-2019,Saskatchewan,Both sexes,All grades,Without nicotine,47,14.4
2018-2019,Saskatchewan,Male,All grades,Without nicotine,47,13.3
2018-2019,Saskatchewan,Female,All grades,Without nicotine,47,15.6
2018-2019,Saskatchewan,Both sexes,Grades 7-9,Both type,47,18.0
2018-2019,Saskatchewan,Male,Grades 7-9,Both type,47,15.6
2018-2019,Saskatchewan,Female,Grades 7-9,Both type,47,20.5
2018-2019,Saskatchewan,Both sexes,Grades 7-9,With nicotine,47,14.7
2018-2019,Saskatchewan,Male,Grades 7-9,With nicotine,47,13.4
2018-2019,Saskatchewan,Female,Grades 7-9,With nicotine,47,16.1
2018-2019,Saskatchewan,Both sexes,Grades 7-9,Without nicotine,47,11.6
2018-2019,Saskatchewan,Male,Grades 7-9,Without nicotine,47,9.2
2018-2019,Saskatchewan,Female,Grades 7-9,Without nicotine,47,14.1
2018-2019,Saskatchewan,Both sexes,Grades 10-12,Both type,47,39.9
2018-2019,Saskatchewan,Male,Grades 10-12,Both type,47,41.1
2018-2019,Saskatchewan,Female,Grades 10-12,Both type,47,38.7
2018-2019,Saskatchewan,Both sexes,Grades 10-12,With nicotine,47,37.6
2018-2019,Saskatchewan,Male,Grades 10-12,With nicotine,47,39.2
2018-2019,Saskatchewan,Female,Grades 10-12,With nicotine,47,36.0
2018-2019,Saskatchewan,Both sexes,Grades 10-12,Without nicotine,47,17.0
2018-2019,Saskatchewan,Male,Grades 10-12,Without nicotine,47,16.9
2018-2019,Saskatchewan,Female,Grades 10-12,Without nicotine,47,17.0
2018-2019,Alberta,Both sexes,All grades,Both type,48,19.9
2018-2019,Alberta,Male,All grades,Both type,48,21.7
2018-2019,Alberta,Female,All grades,Both type,48,17.9
2018-2019,Alberta,Both sexes,All grades,With nicotine,48,17.5
2018-2019,Alberta,Male,All grades,With nicotine,48,19.7
2018-2019,Alberta,Female,All grades,With nicotine,48,15.3
2018-2019,Alberta,Both sexes,All grades,Without nicotine,48,11.2
2018-2019,Alberta,Male,All grades,Without nicotine,48,11.3
2018-2019,Alberta,Female,All grades,Without nicotine,48,11.1
2018-2019,Alberta,Both sexes,Grades 7-9,Both type,48,9.8
2018-2019,Alberta,Male,Grades 7-9,Both type,48,10.0
2018-2019,Alberta,Female,Grades 7-9,Both type,48,9.5
2018-2019,Alberta,Both sexes,Grades 7-9,With nicotine,48,7.3
2018-2019,Alberta,Male,Grades 7-9,With nicotine,48,8.2
2018-2019,Alberta,Female,Grades 7-9,With nicotine,48,6.5
2018-2019,Alberta,Both sexes,Grades 7-9,Without nicotine,48,6.9
2018-2019,Alberta,Male,Grades 7-9,Without nicotine,48,6.5
2018-2019,Alberta,Female,Grades 7-9,Without nicotine,48,7.2
2018-2019,Alberta,Both sexes,Grades 10-12,Both type,48,30.4
2018-2019,Alberta,Male,Grades 10-12,Both type,48,33.9
2018-2019,Alberta,Female,Grades 10-12,Both type,48,26.8
2018-2019,Alberta,Both sexes,Grades 10-12,With nicotine,48,28.2
2018-2019,Alberta,Male,Grades 10-12,With nicotine,48,31.8
2018-2019,Alberta,Female,Grades 10-12,With nicotine,48,24.5
2018-2019,Alberta,Both sexes,Grades 10-12,Without nicotine,48,15.8
2018-2019,Alberta,Male,Grades 10-12,Without nicotine,48,16.4
2018-2019,Alberta,Female,Grades 10-12,Without nicotine,48,15.2
2018-2019,British Columbia,Both sexes,All grades,Both type,59,27.6
2018-2019,British Columbia,Male,All grades,Both type,59,28.4
2018-2019,British Columbia,Female,All grades,Both type,59,26.8
2018-2019,British Columbia,Both sexes,All grades,With nicotine,59,25.8
2018-2019,British Columbia,Male,All grades,With nicotine,59,26.6
2018-2019,British Columbia,Female,All grades,With nicotine,59,25.1
2018-2019,British Columbia,Both sexes,All grades,Without nicotine,59,13.1
2018-2019,British Columbia,Male,All grades,Without nicotine,59,12.9
2018-2019,British Columbia,Female,All grades,Without nicotine,59,13.3
2018-2019,British Columbia,Both sexes,Grades 7-9,Both type,59,15.4
2018-2019,British Columbia,Male,Grades 7-9,Both type,59,15.0
2018-2019,British Columbia,Female,Grades 7-9,Both type,59,15.8
2018-2019,British Columbia,Both sexes,Grades 7-9,With nicotine,59,13.6
2018-2019,British Columbia,Male,Grades 7-9,With nicotine,59,13.1
2018-2019,British Columbia,Female,Grades 7-9,With nicotine,59,14.0
2018-2019,British Columbia,Both sexes,Grades 7-9,Without nicotine,59,10.2
2018-2019,British Columbia,Male,Grades 7-9,Without nicotine,59,10.1
2018-2019,British Columbia,Female,Grades 7-9,Without nicotine,59,10.4
2018-2019,British Columbia,Both sexes,Grades 10-12,Both type,59,38.5
2018-2019,British Columbia,Male,Grades 10-12,Both type,59,40.3
2018-2019,British Columbia,Female,Grades 10-12,Both type,59,36.7
2018-2019,British Columbia,Both sexes,Grades 10-12,With nicotine,59,36.8
2018-2019,British Columbia,Male,Grades 10-12,With nicotine,59,38.6
2018-2019,British Columbia,Female,Grades 10-12,With nicotine,59,35.0
2018-2019,British Columbia,Both sexes,Grades 10-12,Without nicotine,59,15.7
2018-2019,British Columbia,Male,Grades 10-12,Without nicotine,59,15.5
2018-2019,British Columbia,Female,Grades 10-12,Without nicotine,59,15.9
2014-2015,,,,,,5.7
2014-2015,Canada,Male,All grades,Both type,,7.0
2014-2015,Canada,Female,All grades,Both type,,4.4
2014-2015,Canada,Both sexes,Grades 6-9,Both type,,3.2
2014-2015,Canada,Both sexes,Grades 10-12,Both type,,8.9
2014-2015,Newfoundland and Labrador,Both sexes,All grades,Both type,10,13.3
2014-2015,Newfoundland and Labrador,Male,All grades,Both type,10,18.3
2014-2015,Newfoundland and Labrador,Female,All grades,Both type,10,8.2
2014-2015,Newfoundland and Labrador,Both sexes,Grades 6-9,Both type,10,5.2
2014-2015,Newfoundland and Labrador,Both sexes,Grades 10-12,Both type,10,23.4
2014-2015,Prince Edward Island,Both sexes,All grades,Both type,11,9.8
2014-2015,Prince Edward Island,Male,All grades,Both type,11,12.7
2014-2015,Prince Edward Island,Female,All grades,Both type,11,6.7
2014-2015,Prince Edward Island,Both sexes,Grades 6-9,Both type,11,4.4
2014-2015,Prince Edward Island,Both sexes,Grades 10-12,Both type,11,15.3
2014-2015,Nova Scotia,Both sexes,All grades,Both type,12,8.2
