Year,Geography,Education attainment level,Gender,Age group,Population characteristics,GeoCode,Value
2010,Canada,Short-cycle tertiary,Women+,35 to 44 years,Total population,,30.0
2010,Canada,Short-cycle tertiary,Total - Gender,45 to 54 years,Total population,,24.0
2010,Canada,Short-cycle tertiary,Men+,45 to 54 years,Total population,,20.0
2010,Canada,Short-cycle tertiary,Women+,45 to 54 years,Total population,,28.0
2010,Canada,Short-cycle tertiary,Total - Gender,55 to 64 years,Total population,,20.0
2010,Canada,Short-cycle tertiary,Men+,55 to 64 years,Total population,,17.0
2010,Canada,Short-cycle tertiary,Women+,55 to 64 years,Total population,,24.0
2010,Canada,Bachelor's level,Total - Gender,"Total, 25 to 64 years",Total population,,18.0
2010,Canada,Bachelor's level,Men+,"Total, 25 to 64 years",Total population,,16.0
2010,Canada,Bachelor's level,Women+,"Total, 25 to 64 years",Total population,,19.0
2010,Canada,Bachelor's level,Total - Gender,25 to 34 years,Total population,,23.0
2010,Canada,Bachelor's level,Men+,25 to 34 years,Total population,,19.0
2010,Canada,Bachelor's level,Women+,25 to 34 years,Total population,,26.0
2010,Canada,Bachelor's level,Total - Gender,30 to 34 years,Total population,,22.0
2010,Canada,Bachelor's level,Men+,30 to 34 years,Total population,,19.0
2010,Canada,Bachelor's level,Women+,30 to 34 years,Total population,,25.0
2010,Canada,Bachelor's level,Total - Gender,35 to 44 years,Total population,,21.0
2010,Canada,Bachelor's level,Men+,35 to 44 years,Total population,,19.0
2010,Canada,Bachelor's level,Women+,35 to 44 years,Total population,,23.0
2010,Canada,Bachelor's level,Total - Gender,45 to 54 years,Total population,,15.0
2010,Canada,Bachelor's level,Men+,45 to 54 years,Total population,,14.0
2010,Canada,Bachelor's level,Women+,45 to 54 years,Total population,,15.0
2010,Canada,Bachelor's level,Total - Gender,55 to 64 years,Total population,,13.0
2010,Canada,Bachelor's level,Men+,55 to 64 years,Total population,,14.0
2010,Canada,Bachelor's level,Women+,55 to 64 years,Total population,,13.0
2010,Canada,Master's or Doctoral level,Total - Gender,"Total, 25 to 64 years",Total population,,8.0
2010,Canada,Master's or Doctoral level,Men+,"Total, 25 to 64 years",Total population,,9.0
2010,Canada,Master's or Doctoral level,Women+,"Total, 25 to 64 years",Total population,,8.0
2010,Canada,Master's or Doctoral level,Total - Gender,25 to 34 years,Total population,,8.0
2010,Canada,Master's or Doctoral level,Men+,25 to 34 years,Total population,,7.0
2010,Canada,Master's or Doctoral level,Women+,25 to 34 years,Total population,,9.0
2010,Canada,Master's or Doctoral level,Total - Gender,30 to 34 years,Total population,,9.0
2010,Canada,Master's or Doctoral level,Men+,30 to 34 years,Total population,,9.0
2010,Canada,Master's or Doctoral level,Women+,30 to 34 years,Total population,,10.0
2010,Canada,Master's or Doctoral level,Total - Gender,35 to 44 years,Total population,,9.0
2010,Canada,Master's or Doctoral level,Men+,35 to 44 years,Total population,,9.0
2010,Canada,Master's or Doctoral level,Women+,35 to 44 years,Total population,,9.0
2010,Canada,Master's or Doctoral level,Total - Gender,45 to 54 years,Total population,,8.0
2010,Canada,Master's or Doctoral level,Men+,45 to 54 years,Total population,,8.0
2010,Canada,Master's or Doctoral level,Women+,45 to 54 years,Total population,,7.0
2010,Canada,Master's or Doctoral level,Total - Gender,55 to 64 years,Total population,,8.0
2010,Canada,Master's or Doctoral level,Men+,55 to 64 years,Total population,,10.0
2010,Canada,Master's or Doctoral level,Women+,55 to 64 years,Total population,,6.0
2010,Newfoundland and Labrador,Tertiary education,Total - Gender,"Total, 25 to 64 years",Total population,10,36.0
2010,Newfoundland and Labrador,Tertiary education,Men+,"Total, 25 to 64 years",Total population,10,30.0
2010,Newfoundland and Labrador,Tertiary education,Women+,"Total, 25 to 64 years",Total population,10,41.0
2010,Newfoundland and Labrador,Tertiary education,Total - Gender,25 to 34 years,Total population,10,47.0
2010,Newfoundland and Labrador,Tertiary education,Men+,25 to 34 years,Total population,10,38.0
2010,Newfoundland and Labrador,Tertiary education,Women+,25 to 34 years,Total population,10,55.0
2010,Newfoundland and Labrador,Tertiary education,Total - Gender,30 to 34 years,Total population,10,48.0
2010,Newfoundland and Labrador,Tertiary education,Men+,30 to 34 years,Total population,10,41.0
2010,Newfoundland and Labrador,Tertiary education,Women+,30 to 34 years,Total population,10,55.0
2010,Newfoundland and Labrador,Tertiary education,Total - Gender,35 to 44 years,Total population,10,43.0
2010,Newfoundland and Labrador,Tertiary education,Men+,35 to 44 years,Total population,10,35.0
2010,Newfoundland and Labrador,Tertiary education,Women+,35 to 44 years,Total population,10,51.0
2010,Newfoundland and Labrador,Tertiary education,Total - Gender,45 to 54 years,Total population,10,31.0
2010,Newfoundland and Labrador,Tertiary education,Men+,45 to 54 years,Total population,10,26.0
2010,Newfoundland and Labrador,Tertiary education,Women+,45 to 54 years,Total population,10,35.0
2010,Newfoundland and Labrador,Tertiary education,Total - Gender,55 to 64 years,Total population,10,26.0
2010,Newfoundland and Labrador,Tertiary education,Men+,55 to 64 years,Total population,10,23.0
2010,Newfoundland and Labrador,Tertiary education,Women+,55 to 64 years,Total population,10,28.0
2010,Newfoundland and Labrador,Short-cycle tertiary,Total - Gender,"Total, 25 to 64 years",Total population,10,21.0
2010,Newfoundland and Labrador,Short-cycle tertiary,Men+,"Total, 25 to 64 years",Total population,10,17.0
2010,Newfoundland and Labrador,Short-cycle tertiary,Women+,"Total, 25 to 64 years",Total population,10,25.0
2010,Newfoundland and Labrador,Short-cycle tertiary,Total - Gender,25 to 34 years,Total population,10,24.0
2010,Newfoundland and Labrador,Short-cycle tertiary,Men+,25 to 34 years,Total population,10,21.0
2010,Newfoundland and Labrador,Short-cycle tertiary,Women+,25 to 34 years,Total population,10,27.0
2010,Newfoundland and Labrador,Short-cycle tertiary,Total - Gender,30 to 34 years,Total population,10,26.0
2010,Newfoundland and Labrador,Short-cycle tertiary,Men+,30 to 34 years,Total population,10,24.0
2010,Newfoundland and Labrador,Short-cycle tertiary,Women+,30 to 34 years,Total population,10,29.0
2010,Newfoundland and Labrador,Short-cycle tertiary,Total - Gender,35 to 44 years,Total population,10,28.0
2010,Newfoundland and Labrador,Short-cycle tertiary,Men+,35 to 44 years,Total population,10,22.0
2010,Newfoundland and Labrador,Short-cycle tertiary,Women+,35 to 44 years,Total population,10,33.0
2010,Newfoundland and Labrador,Short-cycle tertiary,Total - Gender,45 to 54 years,Total population,10,19.0
2010,Newfoundland and Labrador,Short-cycle tertiary,Men+,45 to 54 years,Total population,10,15.0
2010,Newfoundland and Labrador,Short-cycle tertiary,Women+,45 to 54 years,Total population,10,23.0
2010,Newfoundland and Labrador,Short-cycle tertiary,Total - Gender,55 to 64 years,Total population,10,14.0
2010,Newfoundland and Labrador,Short-cycle tertiary,Men+,55 to 64 years,Total population,10,10.0
2010,Newfoundland and Labrador,Short-cycle tertiary,Women+,55 to 64 years,Total population,10,18.0
2010,Newfoundland and Labrador,Bachelor's level,Total - Gender,"Total, 25 to 64 years",Total population,10,10.0
2010,Newfoundland and Labrador,Bachelor's level,Men+,"Total, 25 to 64 years",Total population,10,9.0
2010,Newfoundland and Labrador,Bachelor's level,Women+,"Total, 25 to 64 years",Total population,10,12.0
2010,Newfoundland and Labrador,Bachelor's level,Total - Gender,25 to 34 years,Total population,10,18.0
2010,Newfoundland and Labrador,Bachelor's level,Men+,25 to 34 years,Total population,10,13.0
2010,Newfoundland and Labrador,Bachelor's level,Women+,25 to 34 years,Total population,10,23.0
2010,Newfoundland and Labrador,Bachelor's level,Total - Gender,30 to 34 years,Total population,10,15.0
2010,Newfoundland and Labrador,Bachelor's level,Men+,30 to 34 years,Total population,10,11.0
2010,Newfoundland and Labrador,Bachelor's level,Women+,30 to 34 years,Total population,10,19.0
2010,Newfoundland and Labrador,Bachelor's level,Total - Gender,35 to 44 years,Total population,10,11.0
2010,Newfoundland and Labrador,Bachelor's level,Men+,35 to 44 years,Total population,10,9.0
2010,Newfoundland and Labrador,Bachelor's level,Women+,35 to 44 years,Total population,10,13.0
2010,Newfoundland and Labrador,Bachelor's level,Total - Gender,45 to 54 years,Total population,10,7.0
2010,Newfoundland and Labrador,Bachelor's level,Men+,45 to 54 years,Total population,10,6.0
2010,Newfoundland and Labrador,Bachelor's level,Women+,45 to 54 years,Total population,10,7.0
2010,Newfoundland and Labrador,Bachelor's level,Total - Gender,55 to 64 years,Total population,10,8.0
2010,Newfoundland and Labrador,Bachelor's level,Men+,55 to 64 years,Total population,10,7.0
2010,Newfoundland and Labrador,Bachelor's level,Women+,55 to 64 years,Total population,10,8.0
2010,Newfoundland and Labrador,Master's or Doctoral level,Total - Gender,"Total, 25 to 64 years",Total population,10,5.0
2010,Newfoundland and Labrador,Master's or Doctoral level,Men+,"Total, 25 to 64 years",Total population,10,5.0
2010,Newfoundland and Labrador,Master's or Doctoral level,Women+,"Total, 25 to 64 years",Total population,10,5.0
2010,Newfoundland and Labrador,Master's or Doctoral level,Total - Gender,25 to 34 years,Total population,10,5.0
2010,Newfoundland and Labrador,Master's or Doctoral level,Men+,25 to 34 years,Total population,10,4.0
2010,Newfoundland and Labrador,Master's or Doctoral level,Women+,25 to 34 years,Total population,10,6.0
2010,Newfoundland and Labrador,Master's or Doctoral level,Total - Gender,30 to 34 years,Total population,10,7.0
2010,Newfoundland and Labrador,Master's or Doctoral level,Men+,30 to 34 years,Total population,10,6.0
2010,Newfoundland and Labrador,Master's or Doctoral level,Women+,30 to 34 years,Total population,10,7.0
2010,Newfoundland and Labrador,Master's or Doctoral level,Total - Gender,35 to 44 years,Total population,10,4.0
2010,Newfoundland and Labrador,Master's or Doctoral level,Men+,35 to 44 years,Total population,10,4.0
2010,Newfoundland and Labrador,Master's or Doctoral level,Women+,35 to 44 years,Total population,10,5.0
2010,Newfoundland and Labrador,Master's or Doctoral level,Total - Gender,45 to 54 years,Total population,10,5.0
2010,Newfoundland and Labrador,Master's or Doctoral level,Men+,45 to 54 years,Total population,10,4.0
2010,Newfoundland and Labrador,Master's or Doctoral level,Women+,45 to 54 years,Total population,10,5.0
2010,Newfoundland and Labrador,Master's or Doctoral level,Total - Gender,55 to 64 years,Total population,10,4.0
2010,Newfoundland and Labrador,Master's or Doctoral level,Men+,55 to 64 years,Total population,10,6.0
2010,Newfoundland and Labrador,Master's or Doctoral level,Women+,55 to 64 years,Total population,10,3.0
2010,Prince Edward Island,Tertiary education,Total - Gender,"Total, 25 to 64 years",Total population,11,48.0
2010,Prince Edward Island,Tertiary education,Men+,"Total, 25 to 64 years",Total population,11,40.0
2010,Prince Edward Island,Tertiary education,Women+,"Total, 25 to 64 years",Total population,11,56.0
2010,Prince Edward Island,Tertiary education,Total - Gender,25 to 34 years,Total population,11,57.0
2010,Prince Edward Island,Tertiary education,Men+,25 to 34 years,Total population,11,47.0
2010,Prince Edward Island,Tertiary education,Women+,25 to 34 years,Total population,11,67.0
2010,Prince Edward Island,Tertiary education,Total - Gender,30 to 34 years,Total population,11,58.0
2010,Prince Edward Island,Tertiary education,Men+,30 to 34 years,Total population,11,49.0
2010,Prince Edward Island,Tertiary education,Women+,30 to 34 years,Total population,11,66.0
2010,Prince Edward Island,Tertiary education,Total - Gender,35 to 44 years,Total population,11,56.0
2010,Prince Edward Island,Tertiary education,Men+,35 to 44 years,Total population,11,47.0
2010,Prince Edward Island,Tertiary education,Women+,35 to 44 years,Total population,11,65.0
2010,Prince Edward Island,Tertiary education,Total - Gender,45 to 54 years,Total population,11,45.0
2010,Prince Edward Island,Tertiary education,Men+,45 to 54 years,Total population,11,37.0
2010,Prince Edward Island,Tertiary education,Women+,45 to 54 years,Total population,11,53.0
2010,Prince Edward Island,Tertiary education,Total - Gender,55 to 64 years,Total population,11,38.0
2010,Prince Edward Island,Tertiary education,Men+,55 to 64 years,Total population,11,32.0
2010,Prince Edward Island,Tertiary education,Women+,55 to 64 years,Total population,11,43.0
2010,Prince Edward Island,Short-cycle tertiary,Total - Gender,"Total, 25 to 64 years",Total population,11,26.0
2010,Prince Edward Island,Short-cycle tertiary,Men+,"Total, 25 to 64 years",Total population,11,20.0
2010,Prince Edward Island,Short-cycle tertiary,Women+,"Total, 25 to 64 years",Total population,11,32.0
2010,Prince Edward Island,Short-cycle tertiary,Total - Gender,25 to 34 years,Total population,11,29.0
2010,Prince Edward Island,Short-cycle tertiary,Men+,25 to 34 years,Total population,11,25.0
2010,Prince Edward Island,Short-cycle tertiary,Women+,25 to 34 years,Total population,11,32.0
2010,Prince Edward Island,Short-cycle tertiary,Total - Gender,30 to 34 years,Total population,11,30.0
2010,Prince Edward Island,Short-cycle tertiary,Men+,30 to 34 years,Total population,11,28.0
2010,Prince Edward Island,Short-cycle tertiary,Women+,30 to 34 years,Total population,11,32.0
2010,Prince Edward Island,Short-cycle tertiary,Total - Gender,35 to 44 years,Total population,11,30.0
2010,Prince Edward Island,Short-cycle tertiary,Men+,35 to 44 years,Total population,11,26.0
2010,Prince Edward Island,Short-cycle tertiary,Women+,35 to 44 years,Total population,11,34.0
2010,Prince Edward Island,Short-cycle tertiary,Total - Gender,45 to 54 years,Total population,11,28.0
2010,Prince Edward Island,Short-cycle tertiary,Men+,45 to 54 years,Total population,11,20.0
2010,Prince Edward Island,Short-cycle tertiary,Women+,45 to 54 years,Total population,11,36.0
2010,Prince Edward Island,Short-cycle tertiary,Total - Gender,55 to 64 years,Total population,11,19.0
2010,Prince Edward Island,Short-cycle tertiary,Men+,55 to 64 years,Total population,11,12.0
2010,Prince Edward Island,Short-cycle tertiary,Women+,55 to 64 years,Total population,11,25.0
2010,Prince Edward Island,Bachelor's level,Total - Gender,"Total, 25 to 64 years",Total population,11,15.0
2010,Prince Edward Island,Bachelor's level,Men+,"Total, 25 to 64 years",Total population,11,14.0
2010,Prince Edward Island,Bachelor's level,Women+,"Total, 25 to 64 years",Total population,11,17.0
2010,Prince Edward Island,Bachelor's level,Total - Gender,25 to 34 years,Total population,11,22.0
2010,Prince Edward Island,Bachelor's level,Men+,25 to 34 years,Total population,11,18.0
2010,Prince Edward Island,Bachelor's level,Women+,25 to 34 years,Total population,11,26.0
2010,Prince Edward Island,Bachelor's level,Total - Gender,30 to 34 years,Total population,11,21.0
2010,Prince Edward Island,Bachelor's level,Men+,30 to 34 years,Total population,11,17.0
2010,Prince Edward Island,Bachelor's level,Women+,30 to 34 years,Total population,11,24.0
2010,Prince Edward Island,Bachelor's level,Total - Gender,35 to 44 years,Total population,11,17.0
2010,Prince Edward Island,Bachelor's level,Men+,35 to 44 years,Total population,11,15.0
2010,Prince Edward Island,Bachelor's level,Women+,35 to 44 years,Total population,11,20.0
2010,Prince Edward Island,Bachelor's level,Total - Gender,45 to 54 years,Total population,11,12.0
2010,Prince Edward Island,Bachelor's level,Men+,45 to 54 years,Total population,11,11.0
2010,Prince Edward Island,Bachelor's level,Women+,45 to 54 years,Total population,11,13.0
2010,Prince Edward Island,Bachelor's level,Total - Gender,55 to 64 years,Total population,11,12.0
2010,Prince Edward Island,Bachelor's level,Men+,55 to 64 years,Total population,11,13.0
2010,Prince Edward Island,Bachelor's level,Women+,55 to 64 years,Total population,11,12.0
2010,Prince Edward Island,Master's or Doctoral level,Total - Gender,"Total, 25 to 64 years",Total population,11,7.0
2010,Prince Edward Island,Master's or Doctoral level,Men+,"Total, 25 to 64 years",Total population,11,6.0
2010,Prince Edward Island,Master's or Doctoral level,Women+,"Total, 25 to 64 years",Total population,11,7.0
2010,Prince Edward Island,Master's or Doctoral level,Total - Gender,25 to 34 years,Total population,11,7.0
2010,Prince Edward Island,Master's or Doctoral level,Men+,25 to 34 years,Total population,11,4.0
2010,Prince Edward Island,Master's or Doctoral level,Women+,25 to 34 years,Total population,11,9.0
2010,Prince Edward Island,Master's or Doctoral level,Total - Gender,30 to 34 years,Total population,11,7.0
2010,Prince Edward Island,Master's or Doctoral level,Men+,30 to 34 years,Total population,11,
2010,Prince Edward Island,Master's or Doctoral level,Women+,30 to 34 years,Total population,11,10.0
2010,Prince Edward Island,Master's or Doctoral level,Total - Gender,35 to 44 years,Total population,11,9.0
2010,Prince Edward Island,Master's or Doctoral level,Men+,35 to 44 years,Total population,11,6.0
2010,Prince Edward Island,Master's or Doctoral level,Women+,35 to 44 years,Total population,11,11.0
2010,Prince Edward Island,Master's or Doctoral level,Total - Gender,45 to 54 years,Total population,11,5.0
2010,Prince Edward Island,Master's or Doctoral level,Men+,45 to 54 years,Total population,11,6.0
2010,Prince Edward Island,Master's or Doctoral level,Women+,45 to 54 years,Total population,11,4.0
2010,Prince Edward Island,Master's or Doctoral level,Total - Gender,55 to 64 years,Total population,11,7.0
2010,Prince Edward Island,Master's or Doctoral level,Men+,55 to 64 years,Total population,11,7.0
2010,Prince Edward Island,Master's or Doctoral level,Women+,55 to 64 years,Total population,11,6.0
2010,Nova Scotia,Tertiary education,Total - Gender,"Total, 25 to 64 years",Total population,12,48.0
2010,Nova Scotia,Tertiary education,Men+,"Total, 25 to 64 years",Total population,12,42.0
2010,Nova Scotia,Tertiary education,Women+,"Total, 25 to 64 years",Total population,12,55.0
2010,Nova Scotia,Tertiary education,Total - Gender,25 to 34 years,Total population,12,60.0
2010,Nova Scotia,Tertiary education,Men+,25 to 34 years,Total population,12,51.0
2010,Nova Scotia,Tertiary education,Women+,25 to 34 years,Total population,12,68.0
2010,Nova Scotia,Tertiary education,Total - Gender,30 to 34 years,Total population,12,61.0
2010,Nova Scotia,Tertiary education,Men+,30 to 34 years,Total population,12,53.0
2010,Nova Scotia,Tertiary education,Women+,30 to 34 years,Total population,12,68.0
2010,Nova Scotia,Tertiary education,Total - Gender,35 to 44 years,Total population,12,54.0
2010,Nova Scotia,Tertiary education,Men+,35 to 44 years,Total population,12,46.0
2010,Nova Scotia,Tertiary education,Women+,35 to 44 years,Total population,12,62.0
2010,Nova Scotia,Tertiary education,Total - Gender,45 to 54 years,Total population,12,43.0
2010,Nova Scotia,Tertiary education,Men+,45 to 54 years,Total population,12,37.0
2010,Nova Scotia,Tertiary education,Women+,45 to 54 years,Total population,12,49.0
2010,Nova Scotia,Tertiary education,Total - Gender,55 to 64 years,Total population,12,40.0
2010,Nova Scotia,Tertiary education,Men+,55 to 64 years,Total population,12,35.0
2010,Nova Scotia,Tertiary education,Women+,55 to 64 years,Total population,12,45.0
2010,Nova Scotia,Short-cycle tertiary,Total - Gender,"Total, 25 to 64 years",Total population,12,25.0
2010,Nova Scotia,Short-cycle tertiary,Men+,"Total, 25 to 64 years",Total population,12,21.0
2010,Nova Scotia,Short-cycle tertiary,Women+,"Total, 25 to 64 years",Total population,12,29.0
2010,Nova Scotia,Short-cycle tertiary,Total - Gender,25 to 34 years,Total population,12,29.0
2010,Nova Scotia,Short-cycle tertiary,Men+,25 to 34 years,Total population,12,28.0
2010,Nova Scotia,Short-cycle tertiary,Women+,25 to 34 years,Total population,12,30.0
2010,Nova Scotia,Short-cycle tertiary,Total - Gender,30 to 34 years,Total population,12,30.0
2010,Nova Scotia,Short-cycle tertiary,Men+,30 to 34 years,Total population,12,30.0
2010,Nova Scotia,Short-cycle tertiary,Women+,30 to 34 years,Total population,12,31.0
2010,Nova Scotia,Short-cycle tertiary,Total - Gender,35 to 44 years,Total population,12,28.0
2010,Nova Scotia,Short-cycle tertiary,Men+,35 to 44 years,Total population,12,24.0
2010,Nova Scotia,Short-cycle tertiary,Women+,35 to 44 years,Total population,12,32.0
2010,Nova Scotia,Short-cycle tertiary,Total - Gender,45 to 54 years,Total population,12,25.0
2010,Nova Scotia,Short-cycle tertiary,Men+,45 to 54 years,Total population,12,20.0
2010,Nova Scotia,Short-cycle tertiary,Women+,45 to 54 years,Total population,12,29.0
2010,Nova Scotia,Short-cycle tertiary,Total - Gender,55 to 64 years,Total population,12,19.0
2010,Nova Scotia,Short-cycle tertiary,Men+,55 to 64 years,Total population,12,14.0
2010,Nova Scotia,Short-cycle tertiary,Women+,55 to 64 years,Total population,12,24.0
2010,Nova Scotia,Bachelor's level,Total - Gender,"Total, 25 to 64 years",Total population,12,15.0
2010,Nova Scotia,Bachelor's level,Men+,"Total, 25 to 64 years",Total population,12,12.0
2010,Nova Scotia,Bachelor's level,Women+,"Total, 25 to 64 years",Total population,12,17.0
2010,Nova Scotia,Bachelor's level,Total - Gender,25 to 34 years,Total population,12,21.0
2010,Nova Scotia,Bachelor's level,Men+,25 to 34 years,Total population,12,16.0
2010,Nova Scotia,Bachelor's level,Women+,25 to 34 years,Total population,12,27.0
2010,Nova Scotia,Bachelor's level,Total - Gender,30 to 34 years,Total population,12,20.0
2010,Nova Scotia,Bachelor's level,Men+,30 to 34 years,Total population,12,15.0
2010,Nova Scotia,Bachelor's level,Women+,30 to 34 years,Total population,12,25.0
2010,Nova Scotia,Bachelor's level,Total - Gender,35 to 44 years,Total population,12,17.0
2010,Nova Scotia,Bachelor's level,Men+,35 to 44 years,Total population,12,14.0
2010,Nova Scotia,Bachelor's level,Women+,35 to 44 years,Total population,12,19.0
2010,Nova Scotia,Bachelor's level,Total - Gender,45 to 54 years,Total population,12,12.0
2010,Nova Scotia,Bachelor's level,Men+,45 to 54 years,Total population,12,9.0
2010,Nova Scotia,Bachelor's level,Women+,45 to 54 years,Total population,12,14.0
2010,Nova Scotia,Bachelor's level,Total - Gender,55 to 64 years,Total population,12,11.0
2010,Nova Scotia,Bachelor's level,Men+,55 to 64 years,Total population,12,10.0
2010,Nova Scotia,Bachelor's level,Women+,55 to 64 years,Total population,12,12.0
2010,Nova Scotia,Master's or Doctoral level,Total - Gender,"Total, 25 to 64 years",Total population,12,9.0
2010,Nova Scotia,Master's or Doctoral level,Men+,"Total, 25 to 64 years",Total population,12,9.0
2010,Nova Scotia,Master's or Doctoral level,Women+,"Total, 25 to 64 years",Total population,12,9.0
2010,Nova Scotia,Master's or Doctoral level,Total - Gender,25 to 34 years,Total population,12,10.0
2010,Nova Scotia,Master's or Doctoral level,Men+,25 to 34 years,Total population,12,8.0
2010,Nova Scotia,Master's or Doctoral level,Women+,25 to 34 years,Total population,12,11.0
2010,Nova Scotia,Master's or Doctoral level,Total - Gender,30 to 34 years,Total population,12,10.0
2010,Nova Scotia,Master's or Doctoral level,Men+,30 to 34 years,Total population,12,8.0
2010,Nova Scotia,Master's or Doctoral level,Women+,30 to 34 years,Total population,12,13.0
2010,Nova Scotia,Master's or Doctoral level,Total - Gender,35 to 44 years,Total population,12,9.0
2010,Nova Scotia,Master's or Doctoral level,Men+,35 to 44 years,Total population,12,8.0
2010,Nova Scotia,Master's or Doctoral level,Women+,35 to 44 years,Total population,12,10.0
2010,Nova Scotia,Master's or Doctoral level,Total - Gender,45 to 54 years,Total population,12,7.0
2010,Nova Scotia,Master's or Doctoral level,Men+,45 to 54 years,Total population,12,7.0
2010,Nova Scotia,Master's or Doctoral level,Women+,45 to 54 years,Total population,12,6.0
2010,Nova Scotia,Master's or Doctoral level,Total - Gender,55 to 64 years,Total population,12,10.0
2010,Nova Scotia,Master's or Doctoral level,Men+,55 to 64 years,Total population,12,11.0
2010,Nova Scotia,Master's or Doctoral level,Women+,55 to 64 years,Total population,12,9.0
2010,New Brunswick,Tertiary education,Total - Gender,"Total, 25 to 64 years",Total population,13,46.0
2010,New Brunswick,Tertiary education,Men+,"Total, 25 to 64 years",Total population,13,40.0
2010,New Brunswick,Tertiary education,Women+,"Total, 25 to 64 years",Total population,13,51.0
2010,New Brunswick,Tertiary education,Total - Gender,25 to 34 years,Total population,13,58.0
2010,New Brunswick,Tertiary education,Men+,25 to 34 years,Total population,13,50.0
2010,New Brunswick,Tertiary education,Women+,25 to 34 years,Total population,13,65.0
2010,New Brunswick,Tertiary education,Total - Gender,30 to 34 years,Total population,13,58.0
2010,New Brunswick,Tertiary education,Men+,30 to 34 years,Total population,13,50.0
2010,New Brunswick,Tertiary education,Women+,30 to 34 years,Total population,13,65.0
2010,New Brunswick,Tertiary education,Total - Gender,35 to 44 years,Total population,13,52.0
2010,New Brunswick,Tertiary education,Men+,35 to 44 years,Total population,13,47.0
2010,New Brunswick,Tertiary education,Women+,35 to 44 years,Total population,13,57.0
2010,New Brunswick,Tertiary education,Total - Gender,45 to 54 years,Total population,13,40.0
2010,New Brunswick,Tertiary education,Men+,45 to 54 years,Total population,13,34.0
2010,New Brunswick,Tertiary education,Women+,45 to 54 years,Total population,13,45.0
2010,New Brunswick,Tertiary education,Total - Gender,55 to 64 years,Total population,13,37.0
2010,New Brunswick,Tertiary education,Men+,55 to 64 years,Total population,13,34.0
2010,New Brunswick,Tertiary education,Women+,55 to 64 years,Total population,13,40.0
2010,New Brunswick,Short-cycle tertiary,Total - Gender,"Total, 25 to 64 years",Total population,13,27.0
2010,New Brunswick,Short-cycle tertiary,Men+,"Total, 25 to 64 years",Total population,13,23.0
2010,New Brunswick,Short-cycle tertiary,Women+,"Total, 25 to 64 years",Total population,13,30.0
2010,New Brunswick,Short-cycle tertiary,Total - Gender,25 to 34 years,Total population,13,31.0
2010,New Brunswick,Short-cycle tertiary,Men+,25 to 34 years,Total population,13,30.0
2010,New Brunswick,Short-cycle tertiary,Women+,25 to 34 years,Total population,13,33.0
2010,New Brunswick,Short-cycle tertiary,Total - Gender,30 to 34 years,Total population,13,34.0
