Year,Géographie,Groupe d'âge,Sexe,Groupe autochtone,Niveau de scolarité atteint,Minorité visible,Status d'immigrant,GeoCode,Value
2020,Nouveau-Brunswick,,,,,,,13,54.5
2020,Québec,,,,,,,24,58.1
2020,Ontario,,,,,,,35,57.5
2020,Manitoba,,,,,,,46,60.4
2020,Saskatchewan,,,,,,,47,61.7
2020,Alberta,,,,,,,48,61.1
2020,Colombie-Britannique,,,,,,,59,58.4
2020,Yukon,,,,,,,60,67.5
2020,Territoires du Nord-Ouest,,,,,,,61,64.3
2020,Nunavut,,,,,,,62,49.7
2021,Terre-Neuve-et-Labrador,,,,,,,10,50.0
2021,Île-du-Prince-Édouard,,,,,,,11,59.5
2021,Nouvelle-Écosse,,,,,,,12,57.0
2021,Nouveau-Brunswick,,,,,,,13,55.9
2021,Québec,,,,,,,24,60.2
2021,Ontario,,,,,,,35,59.9
2021,Manitoba,,,,,,,46,62.4
2021,Saskatchewan,,,,,,,47,63.1
2021,Alberta,,,,,,,48,63.8
2021,Colombie-Britannique,,,,,,,59,61.2
2021,Yukon,,,,,,,60,68.9
2021,Territoires du Nord-Ouest,,,,,,,61,69.1
2021,Nunavut,,,,,,,62,55.9
2022,Terre-Neuve-et-Labrador,,,,,,,10,51.9
2022,Île-du-Prince-Édouard,,,,,,,11,60.5
2022,Nouvelle-Écosse,,,,,,,12,57.7
2022,Nouveau-Brunswick,,,,,,,13,56.2
2022,Québec,,,,,,,24,61.5
2022,Ontario,,,,,,,35,61.8
2022,Manitoba,,,,,,,46,63.7
2022,Saskatchewan,,,,,,,47,64.6
2022,Alberta,,,,,,,48,65.7
2022,Colombie-Britannique,,,,,,,59,62.1
2022,Yukon,,,,,,,60,70.1
2022,Territoires du Nord-Ouest,,,,,,,61,72.2
2022,Nunavut,,,,,,,62,55.1
2023,Terre-Neuve-et-Labrador,,,,,,,10,52.0
2023,Île-du-Prince-Édouard,,,,,,,11,61.5
2023,Nouvelle-Écosse,,,,,,,12,57.6
2023,Nouveau-Brunswick,,,,,,,13,56.6
2023,Québec,,,,,,,24,62.1
2023,Ontario,,,,,,,35,61.8
2023,Manitoba,,,,,,,46,63.8
2023,Saskatchewan,,,,,,,47,64.1
2023,Alberta,,,,,,,48,65.5
2023,Colombie-Britannique,,,,,,,59,61.8
2023,Yukon,,,,,,,60,70.6
2023,Territoires du Nord-Ouest,,,,,,,61,69.9
2023,Nunavut,,,,,,,62,53.9
2015,"Avalon Peninsula,  Terre-Neuve-et-Labrador",,,,,,,,60.1
2015,"Côte-sud-Burin Peninsula et Notre Dame-Central Bonavista Bay,  Terre-Neuve-et-Labrador",,,,,,,,45.5
2015,"Côte-ouest-Northern Peninsula-Labrador,  Terre-Neuve-et-Labrador",,,,,,,,48.4
2015,"Cape Breton, Nouvelle-Écosse",,,,,,,,46.4
2015,"Côte-nord, Nouvelle-Écosse",,,,,,,,55.2
2015,"Annapolis Valley, Nouvelle-Écosse",,,,,,,,52.9
2015,"Sud, Nouvelle-Écosse",,,,,,,,50.5
2015,"Halifax, Nouvelle-Écosse",,,,,,,,64.7
2015,"Campbellton-Miramichi, Nouveau-Brunswick",,,,,,,,47.1
2015,"Moncton-Richibucto, Nouveau-Brunswick",,,,,,,,60.1
2015,"Saint John-St. Stephen, Nouveau-Brunswick",,,,,,,,58.4
2015,"Fredericton-Oromocto, Nouveau-Brunswick",,,,,,,,60.0
2015,"Edmundston-Woodstock, Nouveau-Brunswick",,,,,,,,56.8
2015,"Gaspésie-Îles-de-la-Madeleine, Québec",,,,,,,,45.8
2015,"Bas-Saint-Laurent, Québec",,,,,,,,49.9
2015,"Capitale-Nationale, Québec",,,,,,,,65.2
2015,"Chaudière-Appalaches, Québec",,,,,,,,62.6
2015,"Estrie, Quebec",,,,,,,,57.0
2015,"Centre-du-Québec, Québec",,,,,,,,58.2
2015,"Montérégie, Québec",,,,,,,,62.3
2015,"Montréal, Québec",,,,,,,,58.5
2015,"Laval, Québec",,,,,,,,59.7
2015,"Lanaudière, Québec",,,,,,,,62.2
2015,"Laurentides, Québec",,,,,,,,63.2
2015,"Outaouais, Québec",,,,,,,,62.4
2015,"Abitibi-Témiscamingue, Québec",,,,,,,,59.0
2015,"Mauricie, Quebec",,,,,,,,51.6
2015,"Saguenay-Lac-Saint-Jean, Québec",,,,,,,,55.3
2015,"Côte-Nord and Nord-du-Québec, Québec",,,,,,,,55.3
2015,"Ottawa, Ontario",,,,,,,,62.9
2015,"Kingston-Pembroke, Ontario",,,,,,,,53.4
2015,"Muskoka-Kawarthas, Ontario",,,,,,,,51.4
2015,"Toronto, Ontario",,,,,,,,62.3
2015,"Kitchener-Waterloo-Barrie, Ontario",,,,,,,,66.3
2015,"Hamilton-Niagara Peninsula, Ontario",,,,,,,,60.4
2015,"London, Ontario",,,,,,,,60.1
2015,"Windsor-Sarnia, Ontario",,,,,,,,56.5
2015,"Stratford-Bruce Peninsula, Ontario",,,,,,,,59.4
2015,"Nord-est, Ontario",,,,,,,,54.3
2015,"Nord-ouest, Ontario",,,,,,,,57.0
2015,"Sud-est, Manitoba",,,,,,,,63.3
2015,"Centre sud et Centre nord, Manitoba",,,,,,,,65.3
2015,"Sud-ouest, Manitoba",,,,,,,,65.8
2015,"Winnipeg, Manitoba",,,,,,,,65.3
2015,"Interlake, Manitoba",,,,,,,,62.3
2015,"Parklands et Nord, Manitoba",,,,,,,,64.5
2015,"Regina-Moose Mountain, Saskatchewan",,,,,,,,69.8
2015,"Swift Current-Moose Jaw, Saskatchewan",,,,,,,,65.0
2015,"Saskatoon-Biggar, Saskatchewan",,,,,,,,67.0
2015,"Yorkton-Melville, Saskatchewan",,,,,,,,60.3
2015,"Prince Albert et Nord, Saskatchewan",,,,,,,,63.0
2015,"Lethbridge-Medicine Hat, Alberta",,,,,,,,64.3
2015,"Camrose-Drumheller, Alberta",,,,,,,,64.4
2015,"Calgary, Alberta",,,,,,,,69.7
2015,"Banff-Jasper-Rocky Mountain House et Athabasca-Grande Prairie-Peace River, Alberta",,,,,,,,69.5
2015,"Red Deer, Alberta",,,,,,,,69.1
2015,"Edmonton, Alberta",,,,,,,,69.3
2015,"Wood Buffalo-Cold Lake, Alberta",,,,,,,,72.7
2015,"Île de Vancouver et la côte, Colombie-Britannique",,,,,,,,55.4
2015,"Lower Mainland-Southwest, Colombie-Britannique",,,,,,,,61.7
2015,"Thompson-Okanagan, Colombie-Britannique",,,,,,,,58.6
2015,"Kootenay, Colombie-Britannique",,,,,,,,56.3
2015,"Cariboo, Colombie-Britannique",,,,,,,,63.1
2015,"Côte-nord et Nechako, Colombie-Britannique",,,,,,,,63.9
2015,"Nord-est, Colombie-Britannique",,,,,,,,72.8
2016,"Avalon Peninsula,  Terre-Neuve-et-Labrador",,,,,,,,58.9
2016,"Côte-sud-Burin Peninsula et Notre Dame-Central Bonavista Bay,  Terre-Neuve-et-Labrador",,,,,,,,42.5
2016,"Côte-ouest-Northern Peninsula-Labrador,  Terre-Neuve-et-Labrador",,,,,,,,49.0
2016,"Cape Breton, Nouvelle-Écosse",,,,,,,,45.3
2016,"Côte-nord, Nouvelle-Écosse",,,,,,,,53.5
2016,"Annapolis Valley, Nouvelle-Écosse",,,,,,,,54.4
2016,"Sud, Nouvelle-Écosse",,,,,,,,49.2
2016,"Halifax, Nouvelle-Écosse",,,,,,,,64.4
2016,"Campbellton-Miramichi, Nouveau-Brunswick",,,,,,,,45.8
2016,"Moncton-Richibucto, Nouveau-Brunswick",,,,,,,,59.5
2016,"Saint John-St. Stephen, Nouveau-Brunswick",,,,,,,,58.9
2016,"Fredericton-Oromocto, Nouveau-Brunswick",,,,,,,,61.8
2016,"Edmundston-Woodstock, Nouveau-Brunswick",,,,,,,,58.4
2016,"Gaspésie-Îles-de-la-Madeleine, Québec",,,,,,,,44.9
2016,"Bas-Saint-Laurent, Québec",,,,,,,,51.5
2016,"Capitale-Nationale, Québec",,,,,,,,65.3
2016,"Chaudière-Appalaches, Québec",,,,,,,,61.4
2016,"Estrie, Quebec",,,,,,,,56.5
2016,"Centre-du-Québec, Québec",,,,,,,,60.5
2016,"Montérégie, Québec",,,,,,,,61.4
2016,"Montréal, Québec",,,,,,,,59.6
2016,"Laval, Québec",,,,,,,,60.0
2016,"Lanaudière, Québec",,,,,,,,60.1
2016,"Laurentides, Québec",,,,,,,,62.2
2016,"Outaouais, Québec",,,,,,,,61.4
2016,"Abitibi-Témiscamingue, Québec",,,,,,,,60.4
2016,"Mauricie, Quebec",,,,,,,,53.9
2016,"Saguenay-Lac-Saint-Jean, Québec",,,,,,,,54.7
2016,"Côte-Nord and Nord-du-Québec, Québec",,,,,,,,59.2
2016,"Ottawa, Ontario",,,,,,,,62.5
2016,"Kingston-Pembroke, Ontario",,,,,,,,56.1
2016,"Muskoka-Kawarthas, Ontario",,,,,,,,51.5
2016,"Toronto, Ontario",,,,,,,,62.1
2016,"Kitchener-Waterloo-Barrie, Ontario",,,,,,,,64.9
2016,"Hamilton-Niagara Peninsula, Ontario",,,,,,,,59.9
2016,"London, Ontario",,,,,,,,59.7
2016,"Windsor-Sarnia, Ontario",,,,,,,,57.3
2016,"Stratford-Bruce Peninsula, Ontario",,,,,,,,59.0
2016,"Nord-est, Ontario",,,,,,,,53.9
2016,"Nord-ouest, Ontario",,,,,,,,58.3
2016,"Sud-est, Manitoba",,,,,,,,66.4
2016,"Centre sud et Centre nord, Manitoba",,,,,,,,63.6
2016,"Sud-ouest, Manitoba",,,,,,,,61.9
2016,"Winnipeg, Manitoba",,,,,,,,64.1
2016,"Interlake, Manitoba",,,,,,,,61.0
2016,"Parklands et Nord, Manitoba",,,,,,,,65.3
2016,"Regina-Moose Mountain, Saskatchewan",,,,,,,,68.9
2016,"Swift Current-Moose Jaw, Saskatchewan",,,,,,,,64.4
2016,"Saskatoon-Biggar, Saskatchewan",,,,,,,,65.1
2016,"Yorkton-Melville, Saskatchewan",,,,,,,,59.3
2016,"Prince Albert et Nord, Saskatchewan",,,,,,,,62.3
2016,"Lethbridge-Medicine Hat, Alberta",,,,,,,,64.7
2016,"Camrose-Drumheller, Alberta",,,,,,,,61.9
2016,"Calgary, Alberta",,,,,,,,66.7
2016,"Banff-Jasper-Rocky Mountain House et Athabasca-Grande Prairie-Peace River, Alberta",,,,,,,,65.5
2016,"Red Deer, Alberta",,,,,,,,64.5
2016,"Edmonton, Alberta",,,,,,,,67.5
2016,"Wood Buffalo-Cold Lake, Alberta",,,,,,,,69.5
2016,"Île de Vancouver et la côte, Colombie-Britannique",,,,,,,,56.2
2016,"Lower Mainland-Southwest, Colombie-Britannique",,,,,,,,63.5
2016,"Thompson-Okanagan, Colombie-Britannique",,,,,,,,57.7
2016,"Kootenay, Colombie-Britannique",,,,,,,,55.0
2016,"Cariboo, Colombie-Britannique",,,,,,,,61.9
2016,"Côte-nord et Nechako, Colombie-Britannique",,,,,,,,63.7
2016,"Nord-est, Colombie-Britannique",,,,,,,,69.8
2017,"Avalon Peninsula,  Terre-Neuve-et-Labrador",,,,,,,,55.7
2017,"Côte-sud-Burin Peninsula et Notre Dame-Central Bonavista Bay,  Terre-Neuve-et-Labrador",,,,,,,,41.3
2017,"Côte-ouest-Northern Peninsula-Labrador,  Terre-Neuve-et-Labrador",,,,,,,,49.2
2017,"Cape Breton, Nouvelle-Écosse",,,,,,,,45.5
2017,"Côte-nord, Nouvelle-Écosse",,,,,,,,54.2
2017,"Annapolis Valley, Nouvelle-Écosse",,,,,,,,57.5
2017,"Sud, Nouvelle-Écosse",,,,,,,,49.8
2017,"Halifax, Nouvelle-Écosse",,,,,,,,62.9
2017,"Campbellton-Miramichi, Nouveau-Brunswick",,,,,,,,47.7
2017,"Moncton-Richibucto, Nouveau-Brunswick",,,,,,,,59.3
2017,"Saint John-St. Stephen, Nouveau-Brunswick",,,,,,,,60.0
2017,"Fredericton-Oromocto, Nouveau-Brunswick",,,,,,,,59.1
2017,"Edmundston-Woodstock, Nouveau-Brunswick",,,,,,,,57.9
2017,"Gaspésie-Îles-de-la-Madeleine, Québec",,,,,,,,47.9
2017,"Bas-Saint-Laurent, Québec",,,,,,,,50.3
2017,"Capitale-Nationale, Québec",,,,,,,,64.6
2017,"Chaudière-Appalaches, Québec",,,,,,,,61.2
2017,"Estrie, Quebec",,,,,,,,57.7
2017,"Centre-du-Québec, Québec",,,,,,,,60.2
2017,"Montérégie, Québec",,,,,,,,63.5
2017,"Montréal, Québec",,,,,,,,61.3
2017,"Laval, Québec",,,,,,,,61.6
2017,"Lanaudière, Québec",,,,,,,,62.4
2017,"Laurentides, Québec",,,,,,,,60.7
2017,"Outaouais, Québec",,,,,,,,62.1
2017,"Abitibi-Témiscamingue, Québec",,,,,,,,62.4
2017,"Mauricie, Quebec",,,,,,,,53.5
2017,"Saguenay-Lac-Saint-Jean, Québec",,,,,,,,55.8
2017,"Côte-Nord and Nord-du-Québec, Québec",,,,,,,,60.5
2017,"Ottawa, Ontario",,,,,,,,62.0
2017,"Kingston-Pembroke, Ontario",,,,,,,,54.8
2017,"Muskoka-Kawarthas, Ontario",,,,,,,,55.1
2017,"Toronto, Ontario",,,,,,,,62.4
2017,"Kitchener-Waterloo-Barrie, Ontario",,,,,,,,65.7
2017,"Hamilton-Niagara Peninsula, Ontario",,,,,,,,61.6
2017,"London, Ontario",,,,,,,,58.9
2017,"Windsor-Sarnia, Ontario",,,,,,,,57.2
2017,"Stratford-Bruce Peninsula, Ontario",,,,,,,,60.3
2017,"Nord-est, Ontario",,,,,,,,54.0
2017,"Nord-ouest, Ontario",,,,,,,,60.0
2017,"Sud-est, Manitoba",,,,,,,,66.6
2017,"Centre sud et Centre nord, Manitoba",,,,,,,,64.9
2017,"Sud-ouest, Manitoba",,,,,,,,62.0
2017,"Winnipeg, Manitoba",,,,,,,,63.8
2017,"Interlake, Manitoba",,,,,,,,61.5
2017,"Parklands et Nord, Manitoba",,,,,,,,64.5
2017,"Regina-Moose Mountain, Saskatchewan",,,,,,,,68.1
2017,"Swift Current-Moose Jaw, Saskatchewan",,,,,,,,62.6
2017,"Saskatoon-Biggar, Saskatchewan",,,,,,,,64.8
2017,"Yorkton-Melville, Saskatchewan",,,,,,,,62.9
2017,"Prince Albert et Nord, Saskatchewan",,,,,,,,61.0
2017,"Lethbridge-Medicine Hat, Alberta",,,,,,,,62.4
2017,"Camrose-Drumheller, Alberta",,,,,,,,61.6
2017,"Calgary, Alberta",,,,,,,,67.3
2017,"Banff-Jasper-Rocky Mountain House et Athabasca-Grande Prairie-Peace River, Alberta",,,,,,,,66.1
2017,"Red Deer, Alberta",,,,,,,,65.8
2017,"Edmonton, Alberta",,,,,,,,66.4
2017,"Wood Buffalo-Cold Lake, Alberta",,,,,,,,70.5
2017,"Île de Vancouver et la côte, Colombie-Britannique",,,,,,,,58.3
2017,"Lower Mainland-Southwest, Colombie-Britannique",,,,,,,,64.5
2017,"Thompson-Okanagan, Colombie-Britannique",,,,,,,,58.9
2017,"Kootenay, Colombie-Britannique",,,,,,,,58.9
2017,"Cariboo, Colombie-Britannique",,,,,,,,63.4
2017,"Côte-nord et Nechako, Colombie-Britannique",,,,,,,,63.4
2017,"Nord-est, Colombie-Britannique",,,,,,,,68.2
2018,"Avalon Peninsula,  Terre-Neuve-et-Labrador",,,,,,,,55.2
2018,"Côte-sud-Burin Peninsula et Notre Dame-Central Bonavista Bay,  Terre-Neuve-et-Labrador",,,,,,,,43.9
2018,"Côte-ouest-Northern Peninsula-Labrador,  Terre-Neuve-et-Labrador",,,,,,,,48.6
2018,"Cape Breton, Nouvelle-Écosse",,,,,,,,44.4
2018,"Côte-nord, Nouvelle-Écosse",,,,,,,,52.0
2018,"Annapolis Valley, Nouvelle-Écosse",,,,,,,,54.5
2018,"Sud, Nouvelle-Écosse",,,,,,,,53.0
2018,"Halifax, Nouvelle-Écosse",,,,,,,,64.0
2018,"Campbellton-Miramichi, Nouveau-Brunswick",,,,,,,,48.9
2018,"Moncton-Richibucto, Nouveau-Brunswick",,,,,,,,59.7
2018,"Saint John-St. Stephen, Nouveau-Brunswick",,,,,,,,58.4
2018,"Fredericton-Oromocto, Nouveau-Brunswick",,,,,,,,58.3
2018,"Edmundston-Woodstock, Nouveau-Brunswick",,,,,,,,58.1
2018,"Gaspésie-Îles-de-la-Madeleine, Québec",,,,,,,,45.2
2018,"Bas-Saint-Laurent, Québec",,,,,,,,54.5
2018,"Capitale-Nationale, Québec",,,,,,,,63.9
2018,"Chaudière-Appalaches, Québec",,,,,,,,63.0
2018,"Estrie, Quebec",,,,,,,,59.4
2018,"Centre-du-Québec, Québec",,,,,,,,58.0
2018,"Montérégie, Québec",,,,,,,,63.3
2018,"Montréal, Québec",,,,,,,,62.0
2018,"Laval, Québec",,,,,,,,66.2
2018,"Lanaudière, Québec",,,,,,,,60.4
2018,"Laurentides, Québec",,,,,,,,61.0
2018,"Outaouais, Québec",,,,,,,,62.9
2018,"Abitibi-Témiscamingue, Québec",,,,,,,,64.1
2018,"Mauricie, Quebec",,,,,,,,53.4
2018,"Saguenay-Lac-Saint-Jean, Québec",,,,,,,,54.4
2018,"Côte-Nord and Nord-du-Québec, Québec",,,,,,,,61.4
2018,"Ottawa, Ontario",,,,,,,,62.4
2018,"Kingston-Pembroke, Ontario",,,,,,,,53.4
2018,"Muskoka-Kawarthas, Ontario",,,,,,,,53.5
2018,"Toronto, Ontario",,,,,,,,62.6
2018,"Kitchener-Waterloo-Barrie, Ontario",,,,,,,,64.5
2018,"Hamilton-Niagara Peninsula, Ontario",,,,,,,,60.9
2018,"London, Ontario",,,,,,,,59.1
2018,"Windsor-Sarnia, Ontario",,,,,,,,57.5
2018,"Stratford-Bruce Peninsula, Ontario",,,,,,,,62.6
2018,"Nord-est, Ontario",,,,,,,,54.7
2018,"Nord-ouest, Ontario",,,,,,,,60.6
2018,"Sud-est, Manitoba",,,,,,,,65.7
2018,"Centre sud et Centre nord, Manitoba",,,,,,,,63.5
2018,"Sud-ouest, Manitoba",,,,,,,,62.9
2018,"Winnipeg, Manitoba",,,,,,,,63.9
2018,"Interlake, Manitoba",,,,,,,,60.0
2018,"Parklands et Nord, Manitoba",,,,,,,,63.5
2018,"Regina-Moose Mountain, Saskatchewan",,,,,,,,68.0
2018,"Swift Current-Moose Jaw, Saskatchewan",,,,,,,,62.0
2018,"Saskatoon-Biggar, Saskatchewan",,,,,,,,65.0
2018,"Yorkton-Melville, Saskatchewan",,,,,,,,59.2
2018,"Prince Albert et Nord, Saskatchewan",,,,,,,,61.8
2018,"Lethbridge-Medicine Hat, Alberta",,,,,,,,62.6
2018,"Camrose-Drumheller, Alberta",,,,,,,,64.4
2018,"Calgary, Alberta",,,,,,,,67.0
2018,"Banff-Jasper-Rocky Mountain House et Athabasca-Grande Prairie-Peace River, Alberta",,,,,,,,69.0
2018,"Red Deer, Alberta",,,,,,,,68.6
2018,"Edmonton, Alberta",,,,,,,,67.3
2018,"Wood Buffalo-Cold Lake, Alberta",,,,,,,,72.5
2018,"Île de Vancouver et la côte, Colombie-Britannique",,,,,,,,59.1
2018,"Lower Mainland-Southwest, Colombie-Britannique",,,,,,,,64.5
2018,"Thompson-Okanagan, Colombie-Britannique",,,,,,,,57.4
2018,"Kootenay, Colombie-Britannique",,,,,,,,58.0
2018,"Cariboo, Colombie-Britannique",,,,,,,,63.3
2018,"Côte-nord et Nechako, Colombie-Britannique",,,,,,,,64.9
2018,"Nord-est, Colombie-Britannique",,,,,,,,71.2
2019,"Avalon Peninsula,  Terre-Neuve-et-Labrador",,,,,,,,57.5
2019,"Côte-sud-Burin Peninsula et Notre Dame-Central Bonavista Bay,  Terre-Neuve-et-Labrador",,,,,,,,42.1
2019,"Côte-ouest-Northern Peninsula-Labrador,  Terre-Neuve-et-Labrador",,,,,,,,48.7
2019,"Cape Breton, Nouvelle-Écosse",,,,,,,,47.4
2019,"Côte-nord, Nouvelle-Écosse",,,,,,,,54.1
2019,"Annapolis Valley, Nouvelle-Écosse",,,,,,,,56.4
2019,"Sud, Nouvelle-Écosse",,,,,,,,49.8
2019,"Halifax, Nouvelle-Écosse",,,,,,,,64.4
2019,"Campbellton-Miramichi, Nouveau-Brunswick",,,,,,,,45.5
2019,"Moncton-Richibucto, Nouveau-Brunswick",,,,,,,,59.5
2019,"Saint John-St. Stephen, Nouveau-Brunswick",,,,,,,,60.7
2019,"Fredericton-Oromocto, Nouveau-Brunswick",,,,,,,,59.5
2019,"Edmundston-Woodstock, Nouveau-Brunswick",,,,,,,,56.2
2019,"Gaspésie-Îles-de-la-Madeleine, Québec",,,,,,,,44.4
2019,"Bas-Saint-Laurent, Québec",,,,,,,,55.4
2019,"Capitale-Nationale, Québec",,,,,,,,65.2
2019,"Chaudière-Appalaches, Québec",,,,,,,,62.9
2019,"Estrie, Quebec",,,,,,,,59.6
2019,"Centre-du-Québec, Québec",,,,,,,,61.5
2019,"Montérégie, Québec",,,,,,,,63.3
2019,"Montréal, Québec",,,,,,,,62.9
2019,"Laval, Québec",,,,,,,,60.0
2019,"Lanaudière, Québec",,,,,,,,62.2
2019,"Laurentides, Québec",,,,,,,,61.6
2019,"Outaouais, Québec",,,,,,,,64.0
2019,"Abitibi-Témiscamingue, Québec",,,,,,,,64.2
2019,"Mauricie, Quebec",,,,,,,,53.9
2019,"Saguenay-Lac-Saint-Jean, Québec",,,,,,,,56.2
2019,"Côte-Nord and Nord-du-Québec, Québec",,,,,,,,61.2
2019,"Ottawa, Ontario",,,,,,,,64.0
2019,"Kingston-Pembroke, Ontario",,,,,,,,56.0
2019,"Muskoka-Kawarthas, Ontario",,,,,,,,51.2
2019,"Toronto, Ontario",,,,,,,,63.1
2019,"Kitchener-Waterloo-Barrie, Ontario",,,,,,,,65.1
2019,"Hamilton-Niagara Peninsula, Ontario",,,,,,,,61.0
2019,"London, Ontario",,,,,,,,58.0
2019,"Windsor-Sarnia, Ontario",,,,,,,,56.5
2019,"Stratford-Bruce Peninsula, Ontario",,,,,,,,62.0
2019,"Nord-est, Ontario",,,,,,,,54.9
2019,"Nord-ouest, Ontario",,,,,,,,59.6
2019,"Sud-est, Manitoba",,,,,,,,63.4
2019,"Centre sud et Centre nord, Manitoba",,,,,,,,62.8
2019,"Sud-ouest, Manitoba",,,,,,,,65.3
2019,"Winnipeg, Manitoba",,,,,,,,64.3
2019,"Interlake, Manitoba",,,,,,,,59.9
2019,"Parklands et Nord, Manitoba",,,,,,,,59.3
2019,"Regina-Moose Mountain, Saskatchewan",,,,,,,,67.8
2019,"Swift Current-Moose Jaw, Saskatchewan",,,,,,,,64.0
2019,"Saskatoon-Biggar, Saskatchewan",,,,,,,,65.4
2019,"Yorkton-Melville, Saskatchewan",,,,,,,,63.3
2019,"Prince Albert et Nord, Saskatchewan",,,,,,,,62.3
2019,"Lethbridge-Medicine Hat, Alberta",,,,,,,,62.0
2019,"Camrose-Drumheller, Alberta",,,,,,,,59.3
2019,"Calgary, Alberta",,,,,,,,67.9
2019,"Banff-Jasper-Rocky Mountain House et Athabasca-Grande Prairie-Peace River, Alberta",,,,,,,,69.2
2019,"Red Deer, Alberta",,,,,,,,64.2
2019,"Edmonton, Alberta",,,,,,,,66.8
2019,"Wood Buffalo-Cold Lake, Alberta",,,,,,,,73.7
2019,"Île de Vancouver et la côte, Colombie-Britannique",,,,,,,,57.1
2019,"Lower Mainland-Southwest, Colombie-Britannique",,,,,,,,65.2
2019,"Thompson-Okanagan, Colombie-Britannique",,,,,,,,60.8
2019,"Kootenay, Colombie-Britannique",,,,,,,,59.3
2019,"Cariboo, Colombie-Britannique",,,,,,,,63.4
2019,"Côte-nord et Nechako, Colombie-Britannique",,,,,,,,64.8
2019,"Nord-est, Colombie-Britannique",,,,,,,,70.6
2020,"Avalon Peninsula,  Terre-Neuve-et-Labrador",,,,,,,,53.5
2020,"Côte-sud-Burin Peninsula et Notre Dame-Central Bonavista Bay,  Terre-Neuve-et-Labrador",,,,,,,,39.8
2020,"Côte-ouest-Northern Peninsula-Labrador,  Terre-Neuve-et-Labrador",,,,,,,,46.5
