Year,Géographie,Population,Genre,Groupe d'âge,GeoCode,Value
2015,Canada,Population totale,Femmes+,60 à 64 ans,,5.8
2015,Canada,Population totale,Femmes+,65 ans et plus,,4.2
2015,Canada,Population totale,Femmes+,65 à 69 ans,,4.5
2015,Canada,Population totale,Femmes+,70 ans et plus,,3.5
2015,Terre-Neuve-et-Labrador,Population totale,Total - Genre,15 ans et plus,10,13.1
2015,Terre-Neuve-et-Labrador,Population totale,Total - Genre,15 à 24 ans,10,16.5
2015,Terre-Neuve-et-Labrador,Population totale,Total - Genre,25 ans et plus,10,12.6
2015,Terre-Neuve-et-Labrador,Population totale,Total - Genre,25 à 44 ans,10,10.6
2015,Terre-Neuve-et-Labrador,Population totale,Total - Genre,45 à 64 ans,10,14.2
2015,Terre-Neuve-et-Labrador,Population totale,Total - Genre,45 ans et plus,10,14.2
2015,Terre-Neuve-et-Labrador,Population totale,Total - Genre,25 à 54 ans,10,11.3
2015,Terre-Neuve-et-Labrador,Population totale,Total - Genre,55 ans et plus,10,16.3
2015,Terre-Neuve-et-Labrador,Population totale,Total - Genre,15 à 64 ans,10,13.1
2015,Terre-Neuve-et-Labrador,Population totale,Total - Genre,15 à 19 ans,10,19.0
2015,Terre-Neuve-et-Labrador,Population totale,Total - Genre,20 à 24 ans,10,14.6
2015,Terre-Neuve-et-Labrador,Population totale,Total - Genre,25 à 29 ans,10,11.0
2015,Terre-Neuve-et-Labrador,Population totale,Total - Genre,30 à 34 ans,10,10.6
2015,Terre-Neuve-et-Labrador,Population totale,Total - Genre,35 à 39 ans,10,9.9
2015,Terre-Neuve-et-Labrador,Population totale,Total - Genre,40 à 44 ans,10,11.0
2015,Terre-Neuve-et-Labrador,Population totale,Total - Genre,45 à 49 ans,10,11.2
2015,Terre-Neuve-et-Labrador,Population totale,Total - Genre,50 à 54 ans,10,13.2
2015,Terre-Neuve-et-Labrador,Population totale,Total - Genre,55 à 59 ans,10,14.8
2015,Terre-Neuve-et-Labrador,Population totale,Total - Genre,60 à 64 ans,10,19.2
2015,Terre-Neuve-et-Labrador,Population totale,Total - Genre,65 ans et plus,10,14.6
2015,Terre-Neuve-et-Labrador,Population totale,Total - Genre,65 à 69 ans,10,17.1
2015,Terre-Neuve-et-Labrador,Population totale,Total - Genre,70 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Population totale,Hommes+,15 ans et plus,10,15.5
2015,Terre-Neuve-et-Labrador,Population totale,Hommes+,15 à 24 ans,10,20.5
2015,Terre-Neuve-et-Labrador,Population totale,Hommes+,25 ans et plus,10,14.7
2015,Terre-Neuve-et-Labrador,Population totale,Hommes+,25 à 44 ans,10,12.0
2015,Terre-Neuve-et-Labrador,Population totale,Hommes+,45 à 64 ans,10,16.7
2015,Terre-Neuve-et-Labrador,Population totale,Hommes+,45 ans et plus,10,16.9
2015,Terre-Neuve-et-Labrador,Population totale,Hommes+,25 à 54 ans,10,13.3
2015,Terre-Neuve-et-Labrador,Population totale,Hommes+,55 ans et plus,10,18.8
2015,Terre-Neuve-et-Labrador,Population totale,Hommes+,15 à 64 ans,10,15.4
2015,Terre-Neuve-et-Labrador,Population totale,Hommes+,15 à 19 ans,10,23.9
2015,Terre-Neuve-et-Labrador,Population totale,Hommes+,20 à 24 ans,10,18.7
2015,Terre-Neuve-et-Labrador,Population totale,Hommes+,25 à 29 ans,10,11.9
2015,Terre-Neuve-et-Labrador,Population totale,Hommes+,30 à 34 ans,10,12.2
2015,Terre-Neuve-et-Labrador,Population totale,Hommes+,35 à 39 ans,10,11.6
2015,Terre-Neuve-et-Labrador,Population totale,Hommes+,40 à 44 ans,10,12.9
2015,Terre-Neuve-et-Labrador,Population totale,Hommes+,45 à 49 ans,10,14.0
2015,Terre-Neuve-et-Labrador,Population totale,Hommes+,50 à 54 ans,10,16.0
2015,Terre-Neuve-et-Labrador,Population totale,Hommes+,55 à 59 ans,10,17.1
2015,Terre-Neuve-et-Labrador,Population totale,Hommes+,60 à 64 ans,10,21.2
2015,Terre-Neuve-et-Labrador,Population totale,Hommes+,65 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Population totale,Hommes+,65 à 69 ans,10,
2015,Terre-Neuve-et-Labrador,Population totale,Hommes+,70 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Population totale,Femmes+,15 ans et plus,10,10.4
2015,Terre-Neuve-et-Labrador,Population totale,Femmes+,15 à 24 ans,10,12.0
2015,Terre-Neuve-et-Labrador,Population totale,Femmes+,25 ans et plus,10,10.1
2015,Terre-Neuve-et-Labrador,Population totale,Femmes+,25 à 44 ans,10,9.2
2015,Terre-Neuve-et-Labrador,Population totale,Femmes+,45 à 64 ans,10,11.1
2015,Terre-Neuve-et-Labrador,Population totale,Femmes+,45 ans et plus,10,11.0
2015,Terre-Neuve-et-Labrador,Population totale,Femmes+,25 à 54 ans,10,9.2
2015,Terre-Neuve-et-Labrador,Population totale,Femmes+,55 ans et plus,10,12.9
2015,Terre-Neuve-et-Labrador,Population totale,Femmes+,15 à 64 ans,10,10.4
2015,Terre-Neuve-et-Labrador,Population totale,Femmes+,15 à 19 ans,10,14.7
2015,Terre-Neuve-et-Labrador,Population totale,Femmes+,20 à 24 ans,10,10.3
2015,Terre-Neuve-et-Labrador,Population totale,Femmes+,25 à 29 ans,10,9.9
2015,Terre-Neuve-et-Labrador,Population totale,Femmes+,30 à 34 ans,10,8.8
2015,Terre-Neuve-et-Labrador,Population totale,Femmes+,35 à 39 ans,10,8.8
2015,Terre-Neuve-et-Labrador,Population totale,Femmes+,40 à 44 ans,10,9.8
2015,Terre-Neuve-et-Labrador,Population totale,Femmes+,45 à 49 ans,10,8.1
2015,Terre-Neuve-et-Labrador,Population totale,Femmes+,50 à 54 ans,10,10.3
2015,Terre-Neuve-et-Labrador,Population totale,Femmes+,55 à 59 ans,10,11.9
2015,Terre-Neuve-et-Labrador,Population totale,Femmes+,60 à 64 ans,10,16.7
2015,Terre-Neuve-et-Labrador,Population totale,Femmes+,65 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Population totale,Femmes+,65 à 69 ans,10,
2015,Terre-Neuve-et-Labrador,Population totale,Femmes+,70 ans et plus,10,
2015,Île-du-Prince-Édouard,Population totale,Total - Genre,15 ans et plus,11,10.7
2015,Île-du-Prince-Édouard,Population totale,Total - Genre,15 à 24 ans,11,15.3
2015,Île-du-Prince-Édouard,Population totale,Total - Genre,25 ans et plus,11,9.9
2015,Île-du-Prince-Édouard,Population totale,Total - Genre,25 à 44 ans,11,9.9
2015,Île-du-Prince-Édouard,Population totale,Total - Genre,45 à 64 ans,11,9.6
2015,Île-du-Prince-Édouard,Population totale,Total - Genre,45 ans et plus,11,9.8
2015,Île-du-Prince-Édouard,Population totale,Total - Genre,25 à 54 ans,11,9.1
2015,Île-du-Prince-Édouard,Population totale,Total - Genre,55 ans et plus,11,11.9
2015,Île-du-Prince-Édouard,Population totale,Total - Genre,15 à 64 ans,11,10.7
2015,Île-du-Prince-Édouard,Population totale,Total - Genre,15 à 19 ans,11,19.6
2015,Île-du-Prince-Édouard,Population totale,Total - Genre,20 à 24 ans,11,12.3
2015,Île-du-Prince-Édouard,Population totale,Total - Genre,25 à 29 ans,11,11.1
2015,Île-du-Prince-Édouard,Population totale,Total - Genre,30 à 34 ans,11,9.7
2015,Île-du-Prince-Édouard,Population totale,Total - Genre,35 à 39 ans,11,9.6
2015,Île-du-Prince-Édouard,Population totale,Total - Genre,40 à 44 ans,11,8.1
2015,Île-du-Prince-Édouard,Population totale,Total - Genre,45 à 49 ans,11,8.1
2015,Île-du-Prince-Édouard,Population totale,Total - Genre,50 à 54 ans,11,8.3
2015,Île-du-Prince-Édouard,Population totale,Total - Genre,55 à 59 ans,11,10.1
2015,Île-du-Prince-Édouard,Population totale,Total - Genre,60 à 64 ans,11,13.6
2015,Île-du-Prince-Édouard,Population totale,Total - Genre,65 ans et plus,11,10.6
2015,Île-du-Prince-Édouard,Population totale,Total - Genre,65 à 69 ans,11,12.9
2015,Île-du-Prince-Édouard,Population totale,Total - Genre,70 ans et plus,11,
2015,Île-du-Prince-Édouard,Population totale,Hommes+,15 ans et plus,11,12.0
2015,Île-du-Prince-Édouard,Population totale,Hommes+,15 à 24 ans,11,20.3
2015,Île-du-Prince-Édouard,Population totale,Hommes+,25 ans et plus,11,10.5
2015,Île-du-Prince-Édouard,Population totale,Hommes+,25 à 44 ans,11,11.3
2015,Île-du-Prince-Édouard,Population totale,Hommes+,45 à 64 ans,11,9.9
2015,Île-du-Prince-Édouard,Population totale,Hommes+,45 ans et plus,11,9.9
2015,Île-du-Prince-Édouard,Population totale,Hommes+,25 à 54 ans,11,10.1
2015,Île-du-Prince-Édouard,Population totale,Hommes+,55 ans et plus,11,11.3
2015,Île-du-Prince-Édouard,Population totale,Hommes+,15 à 64 ans,11,12.1
2015,Île-du-Prince-Édouard,Population totale,Hommes+,15 à 19 ans,11,23.1
2015,Île-du-Prince-Édouard,Population totale,Hommes+,20 à 24 ans,11,17.9
2015,Île-du-Prince-Édouard,Population totale,Hommes+,25 à 29 ans,11,10.8
2015,Île-du-Prince-Édouard,Population totale,Hommes+,30 à 34 ans,11,10.8
2015,Île-du-Prince-Édouard,Population totale,Hommes+,35 à 39 ans,11,13.9
2015,Île-du-Prince-Édouard,Population totale,Hommes+,40 à 44 ans,11,9.8
2015,Île-du-Prince-Édouard,Population totale,Hommes+,45 à 49 ans,11,9.1
2015,Île-du-Prince-Édouard,Population totale,Hommes+,50 à 54 ans,11,7.7
2015,Île-du-Prince-Édouard,Population totale,Hommes+,55 à 59 ans,11,9.1
2015,Île-du-Prince-Édouard,Population totale,Hommes+,60 à 64 ans,11,15.6
2015,Île-du-Prince-Édouard,Population totale,Hommes+,65 ans et plus,11,
2015,Île-du-Prince-Édouard,Population totale,Hommes+,65 à 69 ans,11,
2015,Île-du-Prince-Édouard,Population totale,Hommes+,70 ans et plus,11,
2015,Île-du-Prince-Édouard,Population totale,Femmes+,15 ans et plus,11,9.3
2015,Île-du-Prince-Édouard,Population totale,Femmes+,15 à 24 ans,11,10.0
2015,Île-du-Prince-Édouard,Population totale,Femmes+,25 ans et plus,11,9.2
2015,Île-du-Prince-Édouard,Population totale,Femmes+,25 à 44 ans,11,8.6
2015,Île-du-Prince-Édouard,Population totale,Femmes+,45 à 64 ans,11,9.5
2015,Île-du-Prince-Édouard,Population totale,Femmes+,45 ans et plus,11,9.7
2015,Île-du-Prince-Édouard,Population totale,Femmes+,25 à 54 ans,11,8.5
2015,Île-du-Prince-Édouard,Population totale,Femmes+,55 ans et plus,11,11.2
2015,Île-du-Prince-Édouard,Population totale,Femmes+,15 à 64 ans,11,9.2
2015,Île-du-Prince-Édouard,Population totale,Femmes+,15 à 19 ans,11,16.0
2015,Île-du-Prince-Édouard,Population totale,Femmes+,20 à 24 ans,11,5.7
2015,Île-du-Prince-Édouard,Population totale,Femmes+,25 à 29 ans,11,11.4
2015,Île-du-Prince-Édouard,Population totale,Femmes+,30 à 34 ans,11,8.6
2015,Île-du-Prince-Édouard,Population totale,Femmes+,35 à 39 ans,11,5.6
2015,Île-du-Prince-Édouard,Population totale,Femmes+,40 à 44 ans,11,6.7
2015,Île-du-Prince-Édouard,Population totale,Femmes+,45 à 49 ans,11,7.3
2015,Île-du-Prince-Édouard,Population totale,Femmes+,50 à 54 ans,11,8.9
2015,Île-du-Prince-Édouard,Population totale,Femmes+,55 à 59 ans,11,10.9
2015,Île-du-Prince-Édouard,Population totale,Femmes+,60 à 64 ans,11,11.5
2015,Île-du-Prince-Édouard,Population totale,Femmes+,65 ans et plus,11,
2015,Île-du-Prince-Édouard,Population totale,Femmes+,65 à 69 ans,11,
2015,Île-du-Prince-Édouard,Population totale,Femmes+,70 ans et plus,11,
2015,Nouvelle-Écosse,Population totale,Total - Genre,15 ans et plus,12,8.9
2015,Nouvelle-Écosse,Population totale,Total - Genre,15 à 24 ans,12,15.2
2015,Nouvelle-Écosse,Population totale,Total - Genre,25 ans et plus,12,7.7
2015,Nouvelle-Écosse,Population totale,Total - Genre,25 à 44 ans,12,7.3
2015,Nouvelle-Écosse,Population totale,Total - Genre,45 à 64 ans,12,8.3
2015,Nouvelle-Écosse,Population totale,Total - Genre,45 ans et plus,12,8.2
2015,Nouvelle-Écosse,Population totale,Total - Genre,25 à 54 ans,12,7.5
2015,Nouvelle-Écosse,Population totale,Total - Genre,55 ans et plus,12,8.6
2015,Nouvelle-Écosse,Population totale,Total - Genre,15 à 64 ans,12,9.0
2015,Nouvelle-Écosse,Population totale,Total - Genre,15 à 19 ans,12,20.5
2015,Nouvelle-Écosse,Population totale,Total - Genre,20 à 24 ans,12,12.1
2015,Nouvelle-Écosse,Population totale,Total - Genre,25 à 29 ans,12,8.8
2015,Nouvelle-Écosse,Population totale,Total - Genre,30 à 34 ans,12,6.6
2015,Nouvelle-Écosse,Population totale,Total - Genre,35 à 39 ans,12,7.6
2015,Nouvelle-Écosse,Population totale,Total - Genre,40 à 44 ans,12,5.9
2015,Nouvelle-Écosse,Population totale,Total - Genre,45 à 49 ans,12,7.5
2015,Nouvelle-Écosse,Population totale,Total - Genre,50 à 54 ans,12,8.0
2015,Nouvelle-Écosse,Population totale,Total - Genre,55 à 59 ans,12,8.4
2015,Nouvelle-Écosse,Population totale,Total - Genre,60 à 64 ans,12,10.2
2015,Nouvelle-Écosse,Population totale,Total - Genre,65 ans et plus,12,6.4
2015,Nouvelle-Écosse,Population totale,Total - Genre,65 à 69 ans,12,8.5
2015,Nouvelle-Écosse,Population totale,Total - Genre,70 ans et plus,12,
2015,Nouvelle-Écosse,Population totale,Hommes+,15 ans et plus,12,10.4
2015,Nouvelle-Écosse,Population totale,Hommes+,15 à 24 ans,12,18.0
2015,Nouvelle-Écosse,Population totale,Hommes+,25 ans et plus,12,9.1
2015,Nouvelle-Écosse,Population totale,Hommes+,25 à 44 ans,12,8.7
2015,Nouvelle-Écosse,Population totale,Hommes+,45 à 64 ans,12,9.6
2015,Nouvelle-Écosse,Population totale,Hommes+,45 ans et plus,12,9.4
2015,Nouvelle-Écosse,Population totale,Hommes+,25 à 54 ans,12,8.7
2015,Nouvelle-Écosse,Population totale,Hommes+,55 ans et plus,12,10.2
2015,Nouvelle-Écosse,Population totale,Hommes+,15 à 64 ans,12,10.6
2015,Nouvelle-Écosse,Population totale,Hommes+,15 à 19 ans,12,25.9
2015,Nouvelle-Écosse,Population totale,Hommes+,20 à 24 ans,12,13.6
2015,Nouvelle-Écosse,Population totale,Hommes+,25 à 29 ans,12,12.0
2015,Nouvelle-Écosse,Population totale,Hommes+,30 à 34 ans,12,8.9
2015,Nouvelle-Écosse,Population totale,Hommes+,35 à 39 ans,12,8.1
2015,Nouvelle-Écosse,Population totale,Hommes+,40 à 44 ans,12,5.8
2015,Nouvelle-Écosse,Population totale,Hommes+,45 à 49 ans,12,8.8
2015,Nouvelle-Écosse,Population totale,Hommes+,50 à 54 ans,12,8.6
2015,Nouvelle-Écosse,Population totale,Hommes+,55 à 59 ans,12,10.4
2015,Nouvelle-Écosse,Population totale,Hommes+,60 à 64 ans,12,11.5
2015,Nouvelle-Écosse,Population totale,Hommes+,65 ans et plus,12,
2015,Nouvelle-Écosse,Population totale,Hommes+,65 à 69 ans,12,
2015,Nouvelle-Écosse,Population totale,Hommes+,70 ans et plus,12,
2015,Nouvelle-Écosse,Population totale,Femmes+,15 ans et plus,12,7.3
2015,Nouvelle-Écosse,Population totale,Femmes+,15 à 24 ans,12,12.4
2015,Nouvelle-Écosse,Population totale,Femmes+,25 ans et plus,12,6.3
2015,Nouvelle-Écosse,Population totale,Femmes+,25 à 44 ans,12,5.7
2015,Nouvelle-Écosse,Population totale,Femmes+,45 à 64 ans,12,7.0
2015,Nouvelle-Écosse,Population totale,Femmes+,45 ans et plus,12,6.9
2015,Nouvelle-Écosse,Population totale,Femmes+,25 à 54 ans,12,6.2
2015,Nouvelle-Écosse,Population totale,Femmes+,55 ans et plus,12,6.7
2015,Nouvelle-Écosse,Population totale,Femmes+,15 à 64 ans,12,7.4
2015,Nouvelle-Écosse,Population totale,Femmes+,15 à 19 ans,12,15.3
2015,Nouvelle-Écosse,Population totale,Femmes+,20 à 24 ans,12,10.5
2015,Nouvelle-Écosse,Population totale,Femmes+,25 à 29 ans,12,5.3
2015,Nouvelle-Écosse,Population totale,Femmes+,30 à 34 ans,12,4.4
2015,Nouvelle-Écosse,Population totale,Femmes+,35 à 39 ans,12,7.1
2015,Nouvelle-Écosse,Population totale,Femmes+,40 à 44 ans,12,6.0
2015,Nouvelle-Écosse,Population totale,Femmes+,45 à 49 ans,12,6.3
2015,Nouvelle-Écosse,Population totale,Femmes+,50 à 54 ans,12,7.4
2015,Nouvelle-Écosse,Population totale,Femmes+,55 à 59 ans,12,6.3
2015,Nouvelle-Écosse,Population totale,Femmes+,60 à 64 ans,12,8.7
2015,Nouvelle-Écosse,Population totale,Femmes+,65 ans et plus,12,
2015,Nouvelle-Écosse,Population totale,Femmes+,65 à 69 ans,12,
2015,Nouvelle-Écosse,Population totale,Femmes+,70 ans et plus,12,
2015,Nouveau-Brunswick,Population totale,Total - Genre,15 ans et plus,13,10.1
2015,Nouveau-Brunswick,Population totale,Total - Genre,15 à 24 ans,13,17.1
2015,Nouveau-Brunswick,Population totale,Total - Genre,25 ans et plus,13,8.9
2015,Nouveau-Brunswick,Population totale,Total - Genre,25 à 44 ans,13,8.2
2015,Nouveau-Brunswick,Population totale,Total - Genre,45 à 64 ans,13,9.7
2015,Nouveau-Brunswick,Population totale,Total - Genre,45 ans et plus,13,9.5
2015,Nouveau-Brunswick,Population totale,Total - Genre,25 à 54 ans,13,8.4
2015,Nouveau-Brunswick,Population totale,Total - Genre,55 ans et plus,13,10.4
2015,Nouveau-Brunswick,Population totale,Total - Genre,15 à 64 ans,13,10.2
2015,Nouveau-Brunswick,Population totale,Total - Genre,15 à 19 ans,13,18.4
2015,Nouveau-Brunswick,Population totale,Total - Genre,20 à 24 ans,13,15.9
2015,Nouveau-Brunswick,Population totale,Total - Genre,25 à 29 ans,13,10.5
2015,Nouveau-Brunswick,Population totale,Total - Genre,30 à 34 ans,13,8.7
2015,Nouveau-Brunswick,Population totale,Total - Genre,35 à 39 ans,13,7.0
2015,Nouveau-Brunswick,Population totale,Total - Genre,40 à 44 ans,13,6.9
2015,Nouveau-Brunswick,Population totale,Total - Genre,45 à 49 ans,13,8.0
2015,Nouveau-Brunswick,Population totale,Total - Genre,50 à 54 ans,13,9.5
2015,Nouveau-Brunswick,Population totale,Total - Genre,55 à 59 ans,13,10.0
2015,Nouveau-Brunswick,Population totale,Total - Genre,60 à 64 ans,13,12.9
2015,Nouveau-Brunswick,Population totale,Total - Genre,65 ans et plus,13,7.2
2015,Nouveau-Brunswick,Population totale,Total - Genre,65 à 69 ans,13,9.7
2015,Nouveau-Brunswick,Population totale,Total - Genre,70 ans et plus,13,
2015,Nouveau-Brunswick,Population totale,Hommes+,15 ans et plus,13,12.6
2015,Nouveau-Brunswick,Population totale,Hommes+,15 à 24 ans,13,21.8
2015,Nouveau-Brunswick,Population totale,Hommes+,25 ans et plus,13,11.1
2015,Nouveau-Brunswick,Population totale,Hommes+,25 à 44 ans,13,10.2
2015,Nouveau-Brunswick,Population totale,Hommes+,45 à 64 ans,13,12.1
2015,Nouveau-Brunswick,Population totale,Hommes+,45 ans et plus,13,11.8
2015,Nouveau-Brunswick,Population totale,Hommes+,25 à 54 ans,13,10.5
2015,Nouveau-Brunswick,Population totale,Hommes+,55 ans et plus,13,12.7
2015,Nouveau-Brunswick,Population totale,Hommes+,15 à 64 ans,13,12.7
2015,Nouveau-Brunswick,Population totale,Hommes+,15 à 19 ans,13,22.6
2015,Nouveau-Brunswick,Population totale,Hommes+,20 à 24 ans,13,21.3
2015,Nouveau-Brunswick,Population totale,Hommes+,25 à 29 ans,13,14.0
2015,Nouveau-Brunswick,Population totale,Hommes+,30 à 34 ans,13,10.7
2015,Nouveau-Brunswick,Population totale,Hommes+,35 à 39 ans,13,9.0
2015,Nouveau-Brunswick,Population totale,Hommes+,40 à 44 ans,13,7.7
2015,Nouveau-Brunswick,Population totale,Hommes+,45 à 49 ans,13,9.4
2015,Nouveau-Brunswick,Population totale,Hommes+,50 à 54 ans,13,12.1
2015,Nouveau-Brunswick,Population totale,Hommes+,55 à 59 ans,13,12.1
2015,Nouveau-Brunswick,Population totale,Hommes+,60 à 64 ans,13,15.6
2015,Nouveau-Brunswick,Population totale,Hommes+,65 ans et plus,13,
2015,Nouveau-Brunswick,Population totale,Hommes+,65 à 69 ans,13,
2015,Nouveau-Brunswick,Population totale,Hommes+,70 ans et plus,13,
2015,Nouveau-Brunswick,Population totale,Femmes+,15 ans et plus,13,7.3
2015,Nouveau-Brunswick,Population totale,Femmes+,15 à 24 ans,13,11.8
2015,Nouveau-Brunswick,Population totale,Femmes+,25 ans et plus,13,6.6
2015,Nouveau-Brunswick,Population totale,Femmes+,25 à 44 ans,13,6.1
2015,Nouveau-Brunswick,Population totale,Femmes+,45 à 64 ans,13,7.3
2015,Nouveau-Brunswick,Population totale,Femmes+,45 ans et plus,13,7.0
2015,Nouveau-Brunswick,Population totale,Femmes+,25 à 54 ans,13,6.3
2015,Nouveau-Brunswick,Population totale,Femmes+,55 ans et plus,13,7.5
2015,Nouveau-Brunswick,Population totale,Femmes+,15 à 64 ans,13,7.5
2015,Nouveau-Brunswick,Population totale,Femmes+,15 à 19 ans,13,14.2
2015,Nouveau-Brunswick,Population totale,Femmes+,20 à 24 ans,13,10.3
2015,Nouveau-Brunswick,Population totale,Femmes+,25 à 29 ans,13,6.9
2015,Nouveau-Brunswick,Population totale,Femmes+,30 à 34 ans,13,6.6
2015,Nouveau-Brunswick,Population totale,Femmes+,35 à 39 ans,13,4.9
2015,Nouveau-Brunswick,Population totale,Femmes+,40 à 44 ans,13,6.1
2015,Nouveau-Brunswick,Population totale,Femmes+,45 à 49 ans,13,6.7
2015,Nouveau-Brunswick,Population totale,Femmes+,50 à 54 ans,13,6.5
2015,Nouveau-Brunswick,Population totale,Femmes+,55 à 59 ans,13,7.1
2015,Nouveau-Brunswick,Population totale,Femmes+,60 à 64 ans,13,9.7
2015,Nouveau-Brunswick,Population totale,Femmes+,65 ans et plus,13,
2015,Nouveau-Brunswick,Population totale,Femmes+,65 à 69 ans,13,
2015,Nouveau-Brunswick,Population totale,Femmes+,70 ans et plus,13,
2015,Québec,Population totale,Total - Genre,15 ans et plus,24,7.7
2015,Québec,Population totale,Total - Genre,15 à 24 ans,24,12.2
2015,Québec,Population totale,Total - Genre,25 ans et plus,24,6.9
2015,Québec,Population totale,Total - Genre,25 à 44 ans,24,7.2
2015,Québec,Population totale,Total - Genre,45 à 64 ans,24,6.7
2015,Québec,Population totale,Total - Genre,45 ans et plus,24,6.6
2015,Québec,Population totale,Total - Genre,25 à 54 ans,24,6.7
2015,Québec,Population totale,Total - Genre,55 ans et plus,24,7.6
2015,Québec,Population totale,Total - Genre,15 à 64 ans,24,7.7
2015,Québec,Population totale,Total - Genre,15 à 19 ans,24,17.6
2015,Québec,Population totale,Total - Genre,20 à 24 ans,24,9.1
2015,Québec,Population totale,Total - Genre,25 à 29 ans,24,8.6
2015,Québec,Population totale,Total - Genre,30 à 34 ans,24,6.9
2015,Québec,Population totale,Total - Genre,35 à 39 ans,24,6.4
2015,Québec,Population totale,Total - Genre,40 à 44 ans,24,7.0
2015,Québec,Population totale,Total - Genre,45 à 49 ans,24,5.6
