Year,Units,Géographie,Infractions,Âge de l'accusé,Sexe de l'accusé,GeoCode,Value
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,Autres âges,"Total, le sexe de l'accusé",,187.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,Autres âges,Hommes,,169.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,Autres âges,Femmes,,202.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,Autres âges,Sexe inconnu,,224.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,Âge n'ayant pas lieu de figurer,"Total, le sexe de l'accusé",,88.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,Âge n'ayant pas lieu de figurer,Sociétés,,88.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",,75.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,"Total, l'âge de l'accusé",Hommes,,70.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,"Total, l'âge de l'accusé",Femmes,,80.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,"Total, l'âge de l'accusé",Sociétés,,4.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,"Total, l'âge de l'accusé",Sexe inconnu,,102.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,18 à 24 ans,"Total, le sexe de l'accusé",,83.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,18 à 24 ans,Hommes,,79.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,18 à 24 ans,Femmes,,80.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,18 à 24 ans,Sexe inconnu,,99.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,25 à 34 ans,"Total, le sexe de l'accusé",,72.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,25 à 34 ans,Hommes,,68.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,25 à 34 ans,Femmes,,77.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,25 à 34 ans,Sexe inconnu,,100.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,35 à 44 ans,"Total, le sexe de l'accusé",,71.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,35 à 44 ans,Hommes,,65.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,35 à 44 ans,Femmes,,85.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,35 à 44 ans,Sexe inconnu,,98.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,45 à 54 ans,"Total, le sexe de l'accusé",,73.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,45 à 54 ans,Hommes,,69.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,45 à 54 ans,Femmes,,86.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,45 à 54 ans,Sexe inconnu,,108.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,55 ans et plus,"Total, le sexe de l'accusé",,78.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,55 ans et plus,Hommes,,71.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,55 ans et plus,Femmes,,103.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,55 ans et plus,Sexe inconnu,,118.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,Autres âges,"Total, le sexe de l'accusé",,39.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,Autres âges,Hommes,,6.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,Autres âges,Femmes,,25.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,Autres âges,Sexe inconnu,,118.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,Âge n'ayant pas lieu de figurer,"Total, le sexe de l'accusé",,4.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre l'administration de la justice,Âge n'ayant pas lieu de figurer,Sociétés,,4.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",,133.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,"Total, l'âge de l'accusé",Hommes,,139.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,"Total, l'âge de l'accusé",Femmes,,106.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,"Total, l'âge de l'accusé",Sociétés,,207.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,,127.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",,119.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,18 à 24 ans,Hommes,,120.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,18 à 24 ans,Femmes,,110.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,18 à 24 ans,Sexe inconnu,,121.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",,138.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,25 à 34 ans,Hommes,,146.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,25 à 34 ans,Femmes,,107.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,25 à 34 ans,Sexe inconnu,,134.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",,145.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,35 à 44 ans,Hommes,,154.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,35 à 44 ans,Femmes,,123.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,35 à 44 ans,Sexe inconnu,,123.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,45 à 54 ans,"Total, le sexe de l'accusé",,141.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,45 à 54 ans,Hommes,,149.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,45 à 54 ans,Femmes,,99.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,45 à 54 ans,Sexe inconnu,,168.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,55 ans et plus,"Total, le sexe de l'accusé",,109.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,55 ans et plus,Hommes,,113.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,55 ans et plus,Femmes,,75.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,55 ans et plus,Sexe inconnu,,120.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,Autres âges,"Total, le sexe de l'accusé",,81.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,Autres âges,Hommes,,97.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,Autres âges,Femmes,,99.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,Autres âges,Sexe inconnu,,79.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,Âge n'ayant pas lieu de figurer,"Total, le sexe de l'accusé",,207.0
2014/2015,Tribunaux pour adultes,Canada,Délits de la route prévus au Code criminel,Âge n'ayant pas lieu de figurer,Sociétés,,207.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",10,146.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,"Total, l'âge de l'accusé",Hommes,10,155.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,"Total, l'âge de l'accusé",Femmes,10,115.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,"Total, l'âge de l'accusé",Sociétés,10,236.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,"Total, l'âge de l'accusé",Sexe inconnu,10,67.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,18 à 24 ans,"Total, le sexe de l'accusé",10,155.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,18 à 24 ans,Hommes,10,162.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,18 à 24 ans,Femmes,10,125.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,18 à 24 ans,Sexe inconnu,10,82.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,25 à 34 ans,"Total, le sexe de l'accusé",10,156.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,25 à 34 ans,Hommes,10,176.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,25 à 34 ans,Femmes,10,133.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,25 à 34 ans,Sexe inconnu,10,49.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,35 à 44 ans,"Total, le sexe de l'accusé",10,136.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,35 à 44 ans,Hommes,10,144.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,35 à 44 ans,Femmes,10,120.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,35 à 44 ans,Sexe inconnu,10,68.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,45 à 54 ans,"Total, le sexe de l'accusé",10,147.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,45 à 54 ans,Hommes,10,156.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,45 à 54 ans,Femmes,10,82.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,45 à 54 ans,Sexe inconnu,10,107.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,55 ans et plus,"Total, le sexe de l'accusé",10,100.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,55 ans et plus,Hommes,10,112.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,55 ans et plus,Femmes,10,73.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,55 ans et plus,Sexe inconnu,10,316.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,Autres âges,"Total, le sexe de l'accusé",10,206.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,Autres âges,Hommes,10,238.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,Autres âges,Femmes,10,173.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,Autres âges,Sexe inconnu,10,0.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,Âge n'ayant pas lieu de figurer,"Total, le sexe de l'accusé",10,236.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions,Âge n'ayant pas lieu de figurer,Sociétés,10,236.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",10,151.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Hommes,10,161.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Femmes,10,114.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sociétés,10,63.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,10,129.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",10,156.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions au Code criminel,18 à 24 ans,Hommes,10,168.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions au Code criminel,18 à 24 ans,Femmes,10,116.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions au Code criminel,18 à 24 ans,Sexe inconnu,10,107.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",10,160.0
2014/2015,Tribunaux pour adultes,Terre-Neuve-et-Labrador,Total des infractions au Code criminel,25 à 34 ans,Hommes,10,177.0
