Year,data.Geography,data.Age group,data.Sex,Value
2017,data.Newfoundland and Labrador,data.18 to 34 years,data.Males,63.3
2018,data.Newfoundland and Labrador,data.18 to 34 years,data.Males,56.8
2019,data.Newfoundland and Labrador,data.18 to 34 years,data.Males,64.3
2020,data.Newfoundland and Labrador,data.18 to 34 years,data.Males,57.8
2015,data.Newfoundland and Labrador,data.18 to 34 years,data.Females,67.1
2016,data.Newfoundland and Labrador,data.18 to 34 years,data.Females,68.8
2017,data.Newfoundland and Labrador,data.18 to 34 years,data.Females,71.4
2018,data.Newfoundland and Labrador,data.18 to 34 years,data.Females,71.5
2019,data.Newfoundland and Labrador,data.18 to 34 years,data.Females,72.8
2020,data.Newfoundland and Labrador,data.18 to 34 years,data.Females,80.6
2015,data.Newfoundland and Labrador,data.35 to 49 years,data.Both sexes,58.7
2016,data.Newfoundland and Labrador,data.35 to 49 years,data.Both sexes,71.8
2017,data.Newfoundland and Labrador,data.35 to 49 years,data.Both sexes,69.2
2018,data.Newfoundland and Labrador,data.35 to 49 years,data.Both sexes,61.8
2019,data.Newfoundland and Labrador,data.35 to 49 years,data.Both sexes,68.4
2020,data.Newfoundland and Labrador,data.35 to 49 years,data.Both sexes,67.1
2015,data.Newfoundland and Labrador,data.35 to 49 years,data.Males,61.1
2016,data.Newfoundland and Labrador,data.35 to 49 years,data.Males,62.3
2017,data.Newfoundland and Labrador,data.35 to 49 years,data.Males,69.8
2018,data.Newfoundland and Labrador,data.35 to 49 years,data.Males,72.6
2019,data.Newfoundland and Labrador,data.35 to 49 years,data.Males,71.5
2020,data.Newfoundland and Labrador,data.35 to 49 years,data.Males,67.6
2015,data.Newfoundland and Labrador,data.35 to 49 years,data.Females,56.5
2016,data.Newfoundland and Labrador,data.35 to 49 years,data.Females,80.7
2017,data.Newfoundland and Labrador,data.35 to 49 years,data.Females,68.6
2018,data.Newfoundland and Labrador,data.35 to 49 years,data.Females,51.8
2019,data.Newfoundland and Labrador,data.35 to 49 years,data.Females,65.5
2020,data.Newfoundland and Labrador,data.35 to 49 years,data.Females,66.7
2015,data.Newfoundland and Labrador,data.50 to 64 years,data.Both sexes,60.5
2016,data.Newfoundland and Labrador,data.50 to 64 years,data.Both sexes,61.8
2017,data.Newfoundland and Labrador,data.50 to 64 years,data.Both sexes,56.2
2018,data.Newfoundland and Labrador,data.50 to 64 years,data.Both sexes,56.9
2019,data.Newfoundland and Labrador,data.50 to 64 years,data.Both sexes,62.6
2020,data.Newfoundland and Labrador,data.50 to 64 years,data.Both sexes,63.0
2015,data.Newfoundland and Labrador,data.50 to 64 years,data.Males,57.8
2016,data.Newfoundland and Labrador,data.50 to 64 years,data.Males,54.7
2017,data.Newfoundland and Labrador,data.50 to 64 years,data.Males,54.1
2018,data.Newfoundland and Labrador,data.50 to 64 years,data.Males,50.4
2019,data.Newfoundland and Labrador,data.50 to 64 years,data.Males,56.3
2020,data.Newfoundland and Labrador,data.50 to 64 years,data.Males,58.7
2015,data.Newfoundland and Labrador,data.50 to 64 years,data.Females,63.2
2016,data.Newfoundland and Labrador,data.50 to 64 years,data.Females,68.9
2017,data.Newfoundland and Labrador,data.50 to 64 years,data.Females,58.2
2018,data.Newfoundland and Labrador,data.50 to 64 years,data.Females,63.1
2019,data.Newfoundland and Labrador,data.50 to 64 years,data.Females,68.7
2020,data.Newfoundland and Labrador,data.50 to 64 years,data.Females,67.0
2015,data.Newfoundland and Labrador,data.65 years and over,data.Both sexes,49.9
2016,data.Newfoundland and Labrador,data.65 years and over,data.Both sexes,49.1
2017,data.Newfoundland and Labrador,data.65 years and over,data.Both sexes,55.0
2018,data.Newfoundland and Labrador,data.65 years and over,data.Both sexes,54.6
2019,data.Newfoundland and Labrador,data.65 years and over,data.Both sexes,54.8
2020,data.Newfoundland and Labrador,data.65 years and over,data.Both sexes,53.5
2015,data.Newfoundland and Labrador,data.65 years and over,data.Males,48.8
2016,data.Newfoundland and Labrador,data.65 years and over,data.Males,50.0
2017,data.Newfoundland and Labrador,data.65 years and over,data.Males,47.8
2018,data.Newfoundland and Labrador,data.65 years and over,data.Males,50.1
2019,data.Newfoundland and Labrador,data.65 years and over,data.Males,52.1
2020,data.Newfoundland and Labrador,data.65 years and over,data.Males,52.6
2015,data.Newfoundland and Labrador,data.65 years and over,data.Females,50.8
2016,data.Newfoundland and Labrador,data.65 years and over,data.Females,48.3
2017,data.Newfoundland and Labrador,data.65 years and over,data.Females,61.5
2018,data.Newfoundland and Labrador,data.65 years and over,data.Females,58.6
2019,data.Newfoundland and Labrador,data.65 years and over,data.Females,57.1
2020,data.Newfoundland and Labrador,data.65 years and over,data.Females,54.3
2015,data.Prince Edward Island,"data.Total, 12 years and over",data.Both sexes,62.4
2016,data.Prince Edward Island,"data.Total, 12 years and over",data.Both sexes,60.0
2017,data.Prince Edward Island,"data.Total, 12 years and over",data.Both sexes,61.9
2018,data.Prince Edward Island,"data.Total, 12 years and over",data.Both sexes,62.8
2019,data.Prince Edward Island,"data.Total, 12 years and over",data.Both sexes,57.5
2020,data.Prince Edward Island,"data.Total, 12 years and over",data.Both sexes,61.0
2015,data.Prince Edward Island,"data.Total, 12 years and over",data.Males,57.0
2016,data.Prince Edward Island,"data.Total, 12 years and over",data.Males,55.8
2017,data.Prince Edward Island,"data.Total, 12 years and over",data.Males,60.8
2018,data.Prince Edward Island,"data.Total, 12 years and over",data.Males,63.1
2019,data.Prince Edward Island,"data.Total, 12 years and over",data.Males,55.9
2020,data.Prince Edward Island,"data.Total, 12 years and over",data.Males,65.7
2015,data.Prince Edward Island,"data.Total, 12 years and over",data.Females,67.5
2016,data.Prince Edward Island,"data.Total, 12 years and over",data.Females,64.0
2017,data.Prince Edward Island,"data.Total, 12 years and over",data.Females,62.8
2018,data.Prince Edward Island,"data.Total, 12 years and over",data.Females,62.4
2019,data.Prince Edward Island,"data.Total, 12 years and over",data.Females,59.1
2020,data.Prince Edward Island,"data.Total, 12 years and over",data.Females,56.3
2015,data.Prince Edward Island,data.12 to 17 years,data.Both sexes,75.0
2016,data.Prince Edward Island,data.12 to 17 years,data.Both sexes,67.6
2017,data.Prince Edward Island,data.12 to 17 years,data.Both sexes,68.5
2018,data.Prince Edward Island,data.12 to 17 years,data.Both sexes,74.4
2019,data.Prince Edward Island,data.12 to 17 years,data.Both sexes,77.5
2020,data.Prince Edward Island,data.12 to 17 years,data.Both sexes,66.5
2015,data.Prince Edward Island,data.12 to 17 years,data.Males,72.3
2016,data.Prince Edward Island,data.12 to 17 years,data.Males,65.0
2017,data.Prince Edward Island,data.12 to 17 years,data.Males,68.6
2018,data.Prince Edward Island,data.12 to 17 years,data.Males,76.8
2019,data.Prince Edward Island,data.12 to 17 years,data.Males,83.2
2020,data.Prince Edward Island,data.12 to 17 years,data.Males,68.0
2015,data.Prince Edward Island,data.12 to 17 years,data.Females,78.0
2016,data.Prince Edward Island,data.12 to 17 years,data.Females,70.5
2017,data.Prince Edward Island,data.12 to 17 years,data.Females,68.4
2018,data.Prince Edward Island,data.12 to 17 years,data.Females,71.9
2019,data.Prince Edward Island,data.12 to 17 years,data.Females,71.6
2020,data.Prince Edward Island,data.12 to 17 years,data.Females,64.9
2015,data.Prince Edward Island,data.18 to 34 years,data.Both sexes,74.4
2016,data.Prince Edward Island,data.18 to 34 years,data.Both sexes,60.4
2017,data.Prince Edward Island,data.18 to 34 years,data.Both sexes,64.7
2018,data.Prince Edward Island,data.18 to 34 years,data.Both sexes,70.5
2019,data.Prince Edward Island,data.18 to 34 years,data.Both sexes,54.1
2020,data.Prince Edward Island,data.18 to 34 years,data.Both sexes,68.9
2015,data.Prince Edward Island,data.18 to 34 years,data.Males,67.5
2016,data.Prince Edward Island,data.18 to 34 years,data.Males,61.2
2017,data.Prince Edward Island,data.18 to 34 years,data.Males,65.7
2018,data.Prince Edward Island,data.18 to 34 years,data.Males,69.9
2019,data.Prince Edward Island,data.18 to 34 years,data.Males,48.3
2020,data.Prince Edward Island,data.18 to 34 years,data.Males,83.5
2015,data.Prince Edward Island,data.18 to 34 years,data.Females,81.2
2016,data.Prince Edward Island,data.18 to 34 years,data.Females,59.6
2017,data.Prince Edward Island,data.18 to 34 years,data.Females,63.8
2018,data.Prince Edward Island,data.18 to 34 years,data.Females,71.2
2019,data.Prince Edward Island,data.18 to 34 years,data.Females,60.4
2020,data.Prince Edward Island,data.18 to 34 years,data.Females,53.2
2015,data.Prince Edward Island,data.35 to 49 years,data.Both sexes,67.3
2016,data.Prince Edward Island,data.35 to 49 years,data.Both sexes,64.6
2017,data.Prince Edward Island,data.35 to 49 years,data.Both sexes,74.0
2018,data.Prince Edward Island,data.35 to 49 years,data.Both sexes,64.9
2019,data.Prince Edward Island,data.35 to 49 years,data.Both sexes,69.3
2020,data.Prince Edward Island,data.35 to 49 years,data.Both sexes,64.7
2015,data.Prince Edward Island,data.35 to 49 years,data.Males,66.8
2016,data.Prince Edward Island,data.35 to 49 years,data.Males,58.2
2017,data.Prince Edward Island,data.35 to 49 years,data.Males,69.0
2018,data.Prince Edward Island,data.35 to 49 years,data.Males,59.6
2019,data.Prince Edward Island,data.35 to 49 years,data.Males,70.8
2020,data.Prince Edward Island,data.35 to 49 years,data.Males,72.0
2015,data.Prince Edward Island,data.35 to 49 years,data.Females,67.8
2016,data.Prince Edward Island,data.35 to 49 years,data.Females,70.6
2017,data.Prince Edward Island,data.35 to 49 years,data.Females,78.8
2018,data.Prince Edward Island,data.35 to 49 years,data.Females,69.8
2019,data.Prince Edward Island,data.35 to 49 years,data.Females,67.9
2020,data.Prince Edward Island,data.35 to 49 years,data.Females,57.8
2015,data.Prince Edward Island,data.50 to 64 years,data.Both sexes,52.0
2016,data.Prince Edward Island,data.50 to 64 years,data.Both sexes,54.0
2017,data.Prince Edward Island,data.50 to 64 years,data.Both sexes,56.5
2018,data.Prince Edward Island,data.50 to 64 years,data.Both sexes,60.1
2019,data.Prince Edward Island,data.50 to 64 years,data.Both sexes,51.9
2020,data.Prince Edward Island,data.50 to 64 years,data.Both sexes,53.0
2015,data.Prince Edward Island,data.50 to 64 years,data.Males,42.7
2016,data.Prince Edward Island,data.50 to 64 years,data.Males,50.5
2017,data.Prince Edward Island,data.50 to 64 years,data.Males,55.7
2018,data.Prince Edward Island,data.50 to 64 years,data.Males,65.4
2019,data.Prince Edward Island,data.50 to 64 years,data.Males,50.6
2020,data.Prince Edward Island,data.50 to 64 years,data.Males,49.3
2015,data.Prince Edward Island,data.50 to 64 years,data.Females,60.8
2016,data.Prince Edward Island,data.50 to 64 years,data.Females,57.3
2017,data.Prince Edward Island,data.50 to 64 years,data.Females,57.3
2018,data.Prince Edward Island,data.50 to 64 years,data.Females,55.1
2019,data.Prince Edward Island,data.50 to 64 years,data.Females,53.2
2020,data.Prince Edward Island,data.50 to 64 years,data.Females,56.5
2015,data.Prince Edward Island,data.65 years and over,data.Both sexes,51.8
2016,data.Prince Edward Island,data.65 years and over,data.Both sexes,59.6
2017,data.Prince Edward Island,data.65 years and over,data.Both sexes,50.3
2018,data.Prince Edward Island,data.65 years and over,data.Both sexes,51.5
2019,data.Prince Edward Island,data.65 years and over,data.Both sexes,49.2
2020,data.Prince Edward Island,data.65 years and over,data.Both sexes,55.1
2015,data.Prince Edward Island,data.65 years and over,data.Males,46.0
2016,data.Prince Edward Island,data.65 years and over,data.Males,50.0
2017,data.Prince Edward Island,data.65 years and over,data.Males,49.9
2018,data.Prince Edward Island,data.65 years and over,data.Males,50.9
2019,data.Prince Edward Island,data.65 years and over,data.Males,45.8
2020,data.Prince Edward Island,data.65 years and over,data.Males,55.0
2015,data.Prince Edward Island,data.65 years and over,data.Females,56.9
2016,data.Prince Edward Island,data.65 years and over,data.Females,68.0
2017,data.Prince Edward Island,data.65 years and over,data.Females,50.7
2018,data.Prince Edward Island,data.65 years and over,data.Females,52.0
2019,data.Prince Edward Island,data.65 years and over,data.Females,52.1
2020,data.Prince Edward Island,data.65 years and over,data.Females,55.3
2015,data.Nova Scotia,"data.Total, 12 years and over",data.Both sexes,59.4
2016,data.Nova Scotia,"data.Total, 12 years and over",data.Both sexes,59.2
2017,data.Nova Scotia,"data.Total, 12 years and over",data.Both sexes,60.6
2018,data.Nova Scotia,"data.Total, 12 years and over",data.Both sexes,57.6
2019,data.Nova Scotia,"data.Total, 12 years and over",data.Both sexes,55.8
2020,data.Nova Scotia,"data.Total, 12 years and over",data.Both sexes,61.7
2015,data.Nova Scotia,"data.Total, 12 years and over",data.Males,56.4
2016,data.Nova Scotia,"data.Total, 12 years and over",data.Males,56.9
2017,data.Nova Scotia,"data.Total, 12 years and over",data.Males,58.6
2018,data.Nova Scotia,"data.Total, 12 years and over",data.Males,58.3
2019,data.Nova Scotia,"data.Total, 12 years and over",data.Males,58.0
2020,data.Nova Scotia,"data.Total, 12 years and over",data.Males,62.4
2015,data.Nova Scotia,"data.Total, 12 years and over",data.Females,62.2
2016,data.Nova Scotia,"data.Total, 12 years and over",data.Females,61.5
2017,data.Nova Scotia,"data.Total, 12 years and over",data.Females,62.5
2018,data.Nova Scotia,"data.Total, 12 years and over",data.Females,56.9
2019,data.Nova Scotia,"data.Total, 12 years and over",data.Females,53.6
2020,data.Nova Scotia,"data.Total, 12 years and over",data.Females,61.0
2015,data.Nova Scotia,data.12 to 17 years,data.Both sexes,79.5
2016,data.Nova Scotia,data.12 to 17 years,data.Both sexes,75.2
2017,data.Nova Scotia,data.12 to 17 years,data.Both sexes,78.4
2018,data.Nova Scotia,data.12 to 17 years,data.Both sexes,68.0
2019,data.Nova Scotia,data.12 to 17 years,data.Both sexes,73.8
2020,data.Nova Scotia,data.12 to 17 years,data.Both sexes,77.6
2015,data.Nova Scotia,data.12 to 17 years,data.Males,76.5
2016,data.Nova Scotia,data.12 to 17 years,data.Males,73.0
2017,data.Nova Scotia,data.12 to 17 years,data.Males,82.3
2018,data.Nova Scotia,data.12 to 17 years,data.Males,72.4
2019,data.Nova Scotia,data.12 to 17 years,data.Males,70.5
2020,data.Nova Scotia,data.12 to 17 years,data.Males,84.0
2015,data.Nova Scotia,data.12 to 17 years,data.Females,82.6
2016,data.Nova Scotia,data.12 to 17 years,data.Females,77.5
2017,data.Nova Scotia,data.12 to 17 years,data.Females,74.3
2018,data.Nova Scotia,data.12 to 17 years,data.Females,63.3
2019,data.Nova Scotia,data.12 to 17 years,data.Females,77.3
2020,data.Nova Scotia,data.12 to 17 years,data.Females,70.8
2015,data.Nova Scotia,data.18 to 34 years,data.Both sexes,66.4
2016,data.Nova Scotia,data.18 to 34 years,data.Both sexes,65.2
2017,data.Nova Scotia,data.18 to 34 years,data.Both sexes,72.6
2018,data.Nova Scotia,data.18 to 34 years,data.Both sexes,63.2
2019,data.Nova Scotia,data.18 to 34 years,data.Both sexes,60.0
2020,data.Nova Scotia,data.18 to 34 years,data.Both sexes,74.7
2015,data.Nova Scotia,data.18 to 34 years,data.Males,63.3
2016,data.Nova Scotia,data.18 to 34 years,data.Males,64.9
2017,data.Nova Scotia,data.18 to 34 years,data.Males,72.5
2018,data.Nova Scotia,data.18 to 34 years,data.Males,62.7
2019,data.Nova Scotia,data.18 to 34 years,data.Males,65.8
2020,data.Nova Scotia,data.18 to 34 years,data.Males,72.6
2015,data.Nova Scotia,data.18 to 34 years,data.Females,69.4
2016,data.Nova Scotia,data.18 to 34 years,data.Females,65.6
2017,data.Nova Scotia,data.18 to 34 years,data.Females,72.7
2018,data.Nova Scotia,data.18 to 34 years,data.Females,63.7
2019,data.Nova Scotia,data.18 to 34 years,data.Females,54.2
2020,data.Nova Scotia,data.18 to 34 years,data.Females,76.9
2015,data.Nova Scotia,data.35 to 49 years,data.Both sexes,64.3
2016,data.Nova Scotia,data.35 to 49 years,data.Both sexes,67.1
2017,data.Nova Scotia,data.35 to 49 years,data.Both sexes,64.1
2018,data.Nova Scotia,data.35 to 49 years,data.Both sexes,65.2
2019,data.Nova Scotia,data.35 to 49 years,data.Both sexes,58.1
2020,data.Nova Scotia,data.35 to 49 years,data.Both sexes,67.2
2015,data.Nova Scotia,data.35 to 49 years,data.Males,66.1
2016,data.Nova Scotia,data.35 to 49 years,data.Males,63.7
2017,data.Nova Scotia,data.35 to 49 years,data.Males,63.5
2018,data.Nova Scotia,data.35 to 49 years,data.Males,66.3
2019,data.Nova Scotia,data.35 to 49 years,data.Males,61.9
2020,data.Nova Scotia,data.35 to 49 years,data.Males,74.5
2015,data.Nova Scotia,data.35 to 49 years,data.Females,62.5
2016,data.Nova Scotia,data.35 to 49 years,data.Females,70.2
2017,data.Nova Scotia,data.35 to 49 years,data.Females,64.7
2018,data.Nova Scotia,data.35 to 49 years,data.Females,64.1
2019,data.Nova Scotia,data.35 to 49 years,data.Females,54.6
2020,data.Nova Scotia,data.35 to 49 years,data.Females,60.8
2015,data.Nova Scotia,data.50 to 64 years,data.Both sexes,53.9
2016,data.Nova Scotia,data.50 to 64 years,data.Both sexes,54.5
2017,data.Nova Scotia,data.50 to 64 years,data.Both sexes,54.2
2018,data.Nova Scotia,data.50 to 64 years,data.Both sexes,54.1
2019,data.Nova Scotia,data.50 to 64 years,data.Both sexes,54.0
2020,data.Nova Scotia,data.50 to 64 years,data.Both sexes,51.5
2015,data.Nova Scotia,data.50 to 64 years,data.Males,45.2
2016,data.Nova Scotia,data.50 to 64 years,data.Males,52.3
2017,data.Nova Scotia,data.50 to 64 years,data.Males,48.0
2018,data.Nova Scotia,data.50 to 64 years,data.Males,52.0
2019,data.Nova Scotia,data.50 to 64 years,data.Males,57.9
2020,data.Nova Scotia,data.50 to 64 years,data.Males,49.4
2015,data.Nova Scotia,data.50 to 64 years,data.Females,62.1
2016,data.Nova Scotia,data.50 to 64 years,data.Females,56.6
2017,data.Nova Scotia,data.50 to 64 years,data.Females,60.1
2018,data.Nova Scotia,data.50 to 64 years,data.Females,56.0
2019,data.Nova Scotia,data.50 to 64 years,data.Females,50.3
2020,data.Nova Scotia,data.50 to 64 years,data.Females,53.5
2015,data.Nova Scotia,data.65 years and over,data.Both sexes,46.9
2016,data.Nova Scotia,data.65 years and over,data.Both sexes,45.8
2017,data.Nova Scotia,data.65 years and over,data.Both sexes,46.8
2018,data.Nova Scotia,data.65 years and over,data.Both sexes,45.8
2019,data.Nova Scotia,data.65 years and over,data.Both sexes,46.1
2020,data.Nova Scotia,data.65 years and over,data.Both sexes,50.3
