Year,Units,Geography,Type of event,GeoCode,Value
2019,"data.Rate per 100,000 population",data.Alberta,data.Apparent opioid toxicity deaths,48,14.3
2019,data.Number,data.Alberta,data.Apparent opioid toxicity deaths,48,626.0
2020,"data.Rate per 100,000 population",data.Alberta,data.Apparent opioid toxicity deaths,48,26.8
2020,data.Number,data.Alberta,data.Apparent opioid toxicity deaths,48,1184.0
2021,"data.Rate per 100,000 population",data.Alberta,data.Apparent opioid toxicity deaths,48,36.5
2021,data.Number,data.Alberta,data.Apparent opioid toxicity deaths,48,1621.0
2016,"data.Rate per 100,000 population",data.Saskatchewan,data.Apparent opioid toxicity deaths,47,7.3
2016,data.Number,data.Saskatchewan,data.Apparent opioid toxicity deaths,47,83.0
2017,"data.Rate per 100,000 population",data.Saskatchewan,data.Apparent opioid toxicity deaths,47,7.4
2017,data.Number,data.Saskatchewan,data.Apparent opioid toxicity deaths,47,85.0
2018,"data.Rate per 100,000 population",data.Saskatchewan,data.Apparent opioid toxicity deaths,47,10.8
2018,data.Number,data.Saskatchewan,data.Apparent opioid toxicity deaths,47,126.0
2019,"data.Rate per 100,000 population",data.Saskatchewan,data.Apparent opioid toxicity deaths,47,10.0
2019,data.Number,data.Saskatchewan,data.Apparent opioid toxicity deaths,47,117.0
2020,"data.Rate per 100,000 population",data.Saskatchewan,data.Apparent opioid toxicity deaths,47,22.7
2020,data.Number,data.Saskatchewan,data.Apparent opioid toxicity deaths,47,268.0
2021,"data.Rate per 100,000 population",data.Saskatchewan,data.Apparent opioid toxicity deaths,47,28.0
2021,data.Number,data.Saskatchewan,data.Apparent opioid toxicity deaths,47,331.0
2016,"data.Rate per 100,000 population",data.Manitoba,data.Apparent opioid toxicity deaths,46,6.7
2016,data.Number,data.Manitoba,data.Apparent opioid toxicity deaths,46,88.0
2017,"data.Rate per 100,000 population",data.Manitoba,data.Apparent opioid toxicity deaths,46,7.9
2017,data.Number,data.Manitoba,data.Apparent opioid toxicity deaths,46,106.0
2018,"data.Rate per 100,000 population",data.Manitoba,data.Apparent opioid toxicity deaths,46,6.9
2018,data.Number,data.Manitoba,data.Apparent opioid toxicity deaths,46,93.0
2019,"data.Rate per 100,000 population",data.Manitoba,data.Apparent opioid toxicity deaths,46,4.5
2019,data.Number,data.Manitoba,data.Apparent opioid toxicity deaths,46,62.0
2020,"data.Rate per 100,000 population",data.Manitoba,data.Apparent opioid toxicity deaths,46,18.8
2020,data.Number,data.Manitoba,data.Apparent opioid toxicity deaths,46,260.0
2021,"data.Rate per 100,000 population",data.Manitoba,data.Apparent opioid toxicity deaths,46,18.7
2021,data.Number,data.Manitoba,data.Apparent opioid toxicity deaths,46,260.0
2016,"data.Rate per 100,000 population",data.Ontario,data.Apparent opioid toxicity deaths,35,6.2
2016,data.Number,data.Ontario,data.Apparent opioid toxicity deaths,35,867.0
2017,"data.Rate per 100,000 population",data.Ontario,data.Apparent opioid toxicity deaths,35,9.0
2017,data.Number,data.Ontario,data.Apparent opioid toxicity deaths,35,1265.0
2018,"data.Rate per 100,000 population",data.Ontario,data.Apparent opioid toxicity deaths,35,10.5
2018,data.Number,data.Ontario,data.Apparent opioid toxicity deaths,35,1507.0
2019,"data.Rate per 100,000 population",data.Ontario,data.Apparent opioid toxicity deaths,35,10.7
2019,data.Number,data.Ontario,data.Apparent opioid toxicity deaths,35,1558.0
2020,"data.Rate per 100,000 population",data.Ontario,data.Apparent opioid toxicity deaths,35,16.7
2020,data.Number,data.Ontario,data.Apparent opioid toxicity deaths,35,2461.0
2021,"data.Rate per 100,000 population",data.Ontario,data.Apparent opioid toxicity deaths,35,19.3
2021,data.Number,data.Ontario,data.Apparent opioid toxicity deaths,35,2864.0
2016,"data.Rate per 100,000 population",data.Quebec,data.Apparent opioid toxicity deaths,24,3.2
2016,data.Number,data.Quebec,data.Apparent opioid toxicity deaths,24,263.0
2017,"data.Rate per 100,000 population",data.Quebec,data.Apparent opioid toxicity deaths,24,3.4
2017,data.Number,data.Quebec,data.Apparent opioid toxicity deaths,24,280.0
2018,"data.Rate per 100,000 population",data.Quebec,data.Apparent opioid toxicity deaths,24,2.5
2018,data.Number,data.Quebec,data.Apparent opioid toxicity deaths,24,211.0
2019,"data.Rate per 100,000 population",data.Quebec,data.Apparent opioid toxicity deaths,24,2.4
2019,data.Number,data.Quebec,data.Apparent opioid toxicity deaths,24,208.0
2020,"data.Rate per 100,000 population",data.Quebec,data.Apparent opioid toxicity deaths,24,3.7
2020,data.Number,data.Quebec,data.Apparent opioid toxicity deaths,24,316.0
2021,"data.Rate per 100,000 population",data.Quebec,data.Apparent opioid toxicity deaths,24,5.2
2021,data.Number,data.Quebec,data.Apparent opioid toxicity deaths,24,450.0
2016,"data.Rate per 100,000 population",data.New Brunswick,data.Apparent opioid toxicity deaths,13,4.5
2016,data.Number,data.New Brunswick,data.Apparent opioid toxicity deaths,13,34.0
2017,"data.Rate per 100,000 population",data.New Brunswick,data.Apparent opioid toxicity deaths,13,5.0
2017,data.Number,data.New Brunswick,data.Apparent opioid toxicity deaths,13,38.0
2018,"data.Rate per 100,000 population",data.New Brunswick,data.Apparent opioid toxicity deaths,13,3.9
2018,data.Number,data.New Brunswick,data.Apparent opioid toxicity deaths,13,30.0
2019,"data.Rate per 100,000 population",data.New Brunswick,data.Apparent opioid toxicity deaths,13,4.5
2019,data.Number,data.New Brunswick,data.Apparent opioid toxicity deaths,13,35.0
2020,"data.Rate per 100,000 population",data.New Brunswick,data.Apparent opioid toxicity deaths,13,5.7
2020,data.Number,data.New Brunswick,data.Apparent opioid toxicity deaths,13,45.0
2021,"data.Rate per 100,000 population",data.New Brunswick,data.Apparent opioid toxicity deaths,13,5.6
2021,data.Number,data.New Brunswick,data.Apparent opioid toxicity deaths,13,44.0
2016,"data.Rate per 100,000 population",data.Nova Scotia,data.Apparent opioid toxicity deaths,12,5.6
2016,data.Number,data.Nova Scotia,data.Apparent opioid toxicity deaths,12,53.0
2017,"data.Rate per 100,000 population",data.Nova Scotia,data.Apparent opioid toxicity deaths,12,6.7
2017,data.Number,data.Nova Scotia,data.Apparent opioid toxicity deaths,12,64.0
2018,"data.Rate per 100,000 population",data.Nova Scotia,data.Apparent opioid toxicity deaths,12,5.6
2018,data.Number,data.Nova Scotia,data.Apparent opioid toxicity deaths,12,54.0
2019,"data.Rate per 100,000 population",data.Nova Scotia,data.Apparent opioid toxicity deaths,12,5.9
2019,data.Number,data.Nova Scotia,data.Apparent opioid toxicity deaths,12,57.0
2020,"data.Rate per 100,000 population",data.Nova Scotia,data.Apparent opioid toxicity deaths,12,5.1
2020,data.Number,data.Nova Scotia,data.Apparent opioid toxicity deaths,12,50.0
2021,"data.Rate per 100,000 population",data.Nova Scotia,data.Apparent opioid toxicity deaths,12,3.9
2021,data.Number,data.Nova Scotia,data.Apparent opioid toxicity deaths,12,39.0
2016,"data.Rate per 100,000 population",data.Prince Edward Island,data.Apparent opioid toxicity deaths,11,3.4
2016,data.Number,data.Prince Edward Island,data.Apparent opioid toxicity deaths,11,5.0
2017,"data.Rate per 100,000 population",data.Prince Edward Island,data.Apparent opioid toxicity deaths,11,3.3
2017,data.Number,data.Prince Edward Island,data.Apparent opioid toxicity deaths,11,5.0
2018,"data.Rate per 100,000 population",data.Prince Edward Island,data.Apparent opioid toxicity deaths,11,5.2
2018,data.Number,data.Prince Edward Island,data.Apparent opioid toxicity deaths,11,8.0
2019,"data.Rate per 100,000 population",data.Prince Edward Island,data.Apparent opioid toxicity deaths,11,3.2
2019,data.Number,data.Prince Edward Island,data.Apparent opioid toxicity deaths,11,5.0
2020,"data.Rate per 100,000 population",data.Prince Edward Island,data.Apparent opioid toxicity deaths,11,5.0
2020,data.Number,data.Prince Edward Island,data.Apparent opioid toxicity deaths,11,8.0
2021,"data.Rate per 100,000 population",data.Prince Edward Island,data.Apparent opioid toxicity deaths,11,7.3
2021,data.Number,data.Prince Edward Island,data.Apparent opioid toxicity deaths,11,12.0
2016,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Apparent opioid toxicity deaths,10,3.4
2016,data.Number,data.Newfoundland and Labrador,data.Apparent opioid toxicity deaths,10,18.0
2017,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Apparent opioid toxicity deaths,10,6.2
2017,data.Number,data.Newfoundland and Labrador,data.Apparent opioid toxicity deaths,10,33.0
2018,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Apparent opioid toxicity deaths,10,2.3
2018,data.Number,data.Newfoundland and Labrador,data.Apparent opioid toxicity deaths,10,12.0
2019,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Apparent opioid toxicity deaths,10,3.4
2019,data.Number,data.Newfoundland and Labrador,data.Apparent opioid toxicity deaths,10,18.0
2020,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Apparent opioid toxicity deaths,10,4.6
2020,data.Number,data.Newfoundland and Labrador,data.Apparent opioid toxicity deaths,10,24.0
2021,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Apparent opioid toxicity deaths,10,4.8
2021,data.Number,data.Newfoundland and Labrador,data.Apparent opioid toxicity deaths,10,25.0
2016,"data.Rate per 100,000 population",data.Yukon,data.Apparent opioid toxicity deaths,60,18.2
2016,data.Number,data.Yukon,data.Apparent opioid toxicity deaths,60,7.0
2017,"data.Rate per 100,000 population",data.Yukon,data.Apparent opioid toxicity deaths,60,17.7
2017,data.Number,data.Yukon,data.Apparent opioid toxicity deaths,60,7.0
2018,"data.Rate per 100,000 population",data.Yukon,data.Apparent opioid toxicity deaths,60,12.3
2018,data.Number,data.Yukon,data.Apparent opioid toxicity deaths,60,5.0
2019,"data.Rate per 100,000 population",data.Yukon,data.Apparent opioid toxicity deaths,60,9.7
2019,data.Number,data.Yukon,data.Apparent opioid toxicity deaths,60,4.0
2020,"data.Rate per 100,000 population",data.Yukon,data.Apparent opioid toxicity deaths,60,23.7
2020,data.Number,data.Yukon,data.Apparent opioid toxicity deaths,60,10.0
2021,"data.Rate per 100,000 population",data.Yukon,data.Apparent opioid toxicity deaths,60,53.2
2021,data.Number,data.Yukon,data.Apparent opioid toxicity deaths,60,23.0
2016,"data.Rate per 100,000 population",data.Northwest Territories,data.Apparent opioid toxicity deaths,61,11.2
2016,data.Number,data.Northwest Territories,data.Apparent opioid toxicity deaths,61,5.0
2017,"data.Rate per 100,000 population",data.Northwest Territories,data.Apparent opioid toxicity deaths,61,2.2
2017,data.Number,data.Northwest Territories,data.Apparent opioid toxicity deaths,61,1.0
2018,"data.Rate per 100,000 population",data.Northwest Territories,data.Apparent opioid toxicity deaths,61,4.4
2018,data.Number,data.Northwest Territories,data.Apparent opioid toxicity deaths,61,2.0
2019,"data.Rate per 100,000 population",data.Northwest Territories,data.Apparent opioid toxicity deaths,61,2.2
2019,data.Number,data.Northwest Territories,data.Apparent opioid toxicity deaths,61,1.0
2020,"data.Rate per 100,000 population",data.Northwest Territories,data.Apparent opioid toxicity deaths,61,6.6
2020,data.Number,data.Northwest Territories,data.Apparent opioid toxicity deaths,61,3.0
2021,"data.Rate per 100,000 population",data.Northwest Territories,data.Apparent opioid toxicity deaths,61,8.8
2021,data.Number,data.Northwest Territories,data.Apparent opioid toxicity deaths,61,4.0
2016,"data.Rate per 100,000 population",data.Nunavut,data.Apparent opioid toxicity deaths,62,
2016,data.Number,data.Nunavut,data.Apparent opioid toxicity deaths,62,
2017,"data.Rate per 100,000 population",data.Nunavut,data.Apparent opioid toxicity deaths,62,
2017,data.Number,data.Nunavut,data.Apparent opioid toxicity deaths,62,
2018,"data.Rate per 100,000 population",data.Nunavut,data.Apparent opioid toxicity deaths,62,
2018,data.Number,data.Nunavut,data.Apparent opioid toxicity deaths,62,
2019,"data.Rate per 100,000 population",data.Nunavut,data.Apparent opioid toxicity deaths,62,
2019,data.Number,data.Nunavut,data.Apparent opioid toxicity deaths,62,
2020,"data.Rate per 100,000 population",data.Nunavut,data.Apparent opioid toxicity deaths,62,
2020,data.Number,data.Nunavut,data.Apparent opioid toxicity deaths,62,
2021,"data.Rate per 100,000 population",data.Nunavut,data.Apparent opioid toxicity deaths,62,
2021,data.Number,data.Nunavut,data.Apparent opioid toxicity deaths,62,
2016,"data.Rate per 100,000 population",data.Canada,data.Opioid-related poisoning hospitalizations,,16.8
2016,data.Number,data.Canada,data.Opioid-related poisoning hospitalizations,,4687.0
2017,"data.Rate per 100,000 population",data.Canada,data.Opioid-related poisoning hospitalizations,,18.4
2017,data.Number,data.Canada,data.Opioid-related poisoning hospitalizations,,5203.0
2018,"data.Rate per 100,000 population",data.Canada,data.Opioid-related poisoning hospitalizations,,17.6
2018,data.Number,data.Canada,data.Opioid-related poisoning hospitalizations,,5052.0
2019,"data.Rate per 100,000 population",data.Canada,data.Opioid-related poisoning hospitalizations,,15.5
2019,data.Number,data.Canada,data.Opioid-related poisoning hospitalizations,,4514.0
2020,"data.Rate per 100,000 population",data.Canada,data.Opioid-related poisoning hospitalizations,,17.8
2020,data.Number,data.Canada,data.Opioid-related poisoning hospitalizations,,5240.0
2021,"data.Rate per 100,000 population",data.Canada,data.Opioid-related poisoning hospitalizations,,21.2
2021,data.Number,data.Canada,data.Opioid-related poisoning hospitalizations,,6273.0
2016,"data.Rate per 100,000 population",data.British Columbia,data.Opioid-related poisoning hospitalizations,59,23.8
2016,data.Number,data.British Columbia,data.Opioid-related poisoning hospitalizations,59,1156.0
2017,"data.Rate per 100,000 population",data.British Columbia,data.Opioid-related poisoning hospitalizations,59,28.5
2017,data.Number,data.British Columbia,data.Opioid-related poisoning hospitalizations,59,1407.0
2018,"data.Rate per 100,000 population",data.British Columbia,data.Opioid-related poisoning hospitalizations,59,28.3
2018,data.Number,data.British Columbia,data.Opioid-related poisoning hospitalizations,59,1418.0
2019,"data.Rate per 100,000 population",data.British Columbia,data.Opioid-related poisoning hospitalizations,59,23.5
2019,data.Number,data.British Columbia,data.Opioid-related poisoning hospitalizations,59,1196.0
2020,"data.Rate per 100,000 population",data.British Columbia,data.Opioid-related poisoning hospitalizations,59,30.7
2020,data.Number,data.British Columbia,data.Opioid-related poisoning hospitalizations,59,1586.0
2021,"data.Rate per 100,000 population",data.British Columbia,data.Opioid-related poisoning hospitalizations,59,37.6
2021,data.Number,data.British Columbia,data.Opioid-related poisoning hospitalizations,59,1955.0
2016,"data.Rate per 100,000 population",data.Alberta,data.Opioid-related poisoning hospitalizations,48,22.2
2016,data.Number,data.Alberta,data.Opioid-related poisoning hospitalizations,48,930.0
2017,"data.Rate per 100,000 population",data.Alberta,data.Opioid-related poisoning hospitalizations,48,22.3
2017,data.Number,data.Alberta,data.Opioid-related poisoning hospitalizations,48,947.0
2018,"data.Rate per 100,000 population",data.Alberta,data.Opioid-related poisoning hospitalizations,48,21.5
2018,data.Number,data.Alberta,data.Opioid-related poisoning hospitalizations,48,922.0
2019,"data.Rate per 100,000 population",data.Alberta,data.Opioid-related poisoning hospitalizations,48,16.3
2019,data.Number,data.Alberta,data.Opioid-related poisoning hospitalizations,48,709.0
2020,"data.Rate per 100,000 population",data.Alberta,data.Opioid-related poisoning hospitalizations,48,20.1
2020,data.Number,data.Alberta,data.Opioid-related poisoning hospitalizations,48,890.0
2021,"data.Rate per 100,000 population",data.Alberta,data.Opioid-related poisoning hospitalizations,48,25.7
2021,data.Number,data.Alberta,data.Opioid-related poisoning hospitalizations,48,1144.0
2016,"data.Rate per 100,000 population",data.Saskatchewan,data.Opioid-related poisoning hospitalizations,47,23.2
2016,data.Number,data.Saskatchewan,data.Opioid-related poisoning hospitalizations,47,264.0
2017,"data.Rate per 100,000 population",data.Saskatchewan,data.Opioid-related poisoning hospitalizations,47,21.2
2017,data.Number,data.Saskatchewan,data.Opioid-related poisoning hospitalizations,47,244.0
2018,"data.Rate per 100,000 population",data.Saskatchewan,data.Opioid-related poisoning hospitalizations,47,19.7
2018,data.Number,data.Saskatchewan,data.Opioid-related poisoning hospitalizations,47,229.0
2019,"data.Rate per 100,000 population",data.Saskatchewan,data.Opioid-related poisoning hospitalizations,47,22.5
2019,data.Number,data.Saskatchewan,data.Opioid-related poisoning hospitalizations,47,264.0
2020,"data.Rate per 100,000 population",data.Saskatchewan,data.Opioid-related poisoning hospitalizations,47,26.7
2020,data.Number,data.Saskatchewan,data.Opioid-related poisoning hospitalizations,47,315.0
2021,"data.Rate per 100,000 population",data.Saskatchewan,data.Opioid-related poisoning hospitalizations,47,27.2
2021,data.Number,data.Saskatchewan,data.Opioid-related poisoning hospitalizations,47,321.0
2016,"data.Rate per 100,000 population",data.Manitoba,data.Opioid-related poisoning hospitalizations,46,9.4
2016,data.Number,data.Manitoba,data.Opioid-related poisoning hospitalizations,46,123.0
2017,"data.Rate per 100,000 population",data.Manitoba,data.Opioid-related poisoning hospitalizations,46,12.1
2017,data.Number,data.Manitoba,data.Opioid-related poisoning hospitalizations,46,161.0
2018,"data.Rate per 100,000 population",data.Manitoba,data.Opioid-related poisoning hospitalizations,46,8.0
2018,data.Number,data.Manitoba,data.Opioid-related poisoning hospitalizations,46,108.0
2019,"data.Rate per 100,000 population",data.Manitoba,data.Opioid-related poisoning hospitalizations,46,6.1
2019,data.Number,data.Manitoba,data.Opioid-related poisoning hospitalizations,46,84.0
2020,"data.Rate per 100,000 population",data.Manitoba,data.Opioid-related poisoning hospitalizations,46,9.1
2020,data.Number,data.Manitoba,data.Opioid-related poisoning hospitalizations,46,126.0
2021,"data.Rate per 100,000 population",data.Manitoba,data.Opioid-related poisoning hospitalizations,46,8.8
2021,data.Number,data.Manitoba,data.Opioid-related poisoning hospitalizations,46,122.0
2016,"data.Rate per 100,000 population",data.Ontario,data.Opioid-related poisoning hospitalizations,35,13.5
2016,data.Number,data.Ontario,data.Opioid-related poisoning hospitalizations,35,1875.0
2017,"data.Rate per 100,000 population",data.Ontario,data.Opioid-related poisoning hospitalizations,35,15.1
2017,data.Number,data.Ontario,data.Opioid-related poisoning hospitalizations,35,2124.0
2018,"data.Rate per 100,000 population",data.Ontario,data.Opioid-related poisoning hospitalizations,35,14.6
2018,data.Number,data.Ontario,data.Opioid-related poisoning hospitalizations,35,2095.0
2019,"data.Rate per 100,000 population",data.Ontario,data.Opioid-related poisoning hospitalizations,35,13.6
2019,data.Number,data.Ontario,data.Opioid-related poisoning hospitalizations,35,1981.0
2020,"data.Rate per 100,000 population",data.Ontario,data.Opioid-related poisoning hospitalizations,35,13.9
2020,data.Number,data.Ontario,data.Opioid-related poisoning hospitalizations,35,2044.0
2021,"data.Rate per 100,000 population",data.Ontario,data.Opioid-related poisoning hospitalizations,35,16.5
2021,data.Number,data.Ontario,data.Opioid-related poisoning hospitalizations,35,2446.0
2016,"data.Rate per 100,000 population",data.Quebec,data.Opioid-related poisoning hospitalizations,24,
2016,data.Number,data.Quebec,data.Opioid-related poisoning hospitalizations,24,
2017,"data.Rate per 100,000 population",data.Quebec,data.Opioid-related poisoning hospitalizations,24,
2017,data.Number,data.Quebec,data.Opioid-related poisoning hospitalizations,24,
2018,"data.Rate per 100,000 population",data.Quebec,data.Opioid-related poisoning hospitalizations,24,
2018,data.Number,data.Quebec,data.Opioid-related poisoning hospitalizations,24,
2019,"data.Rate per 100,000 population",data.Quebec,data.Opioid-related poisoning hospitalizations,24,
2019,data.Number,data.Quebec,data.Opioid-related poisoning hospitalizations,24,
2020,"data.Rate per 100,000 population",data.Quebec,data.Opioid-related poisoning hospitalizations,24,
2020,data.Number,data.Quebec,data.Opioid-related poisoning hospitalizations,24,
2021,"data.Rate per 100,000 population",data.Quebec,data.Opioid-related poisoning hospitalizations,24,
2021,data.Number,data.Quebec,data.Opioid-related poisoning hospitalizations,24,
2016,"data.Rate per 100,000 population",data.New Brunswick,data.Opioid-related poisoning hospitalizations,13,16.9
2016,data.Number,data.New Brunswick,data.Opioid-related poisoning hospitalizations,13,129.0
2017,"data.Rate per 100,000 population",data.New Brunswick,data.Opioid-related poisoning hospitalizations,13,13.2
2017,data.Number,data.New Brunswick,data.Opioid-related poisoning hospitalizations,13,101.0
2018,"data.Rate per 100,000 population",data.New Brunswick,data.Opioid-related poisoning hospitalizations,13,11.3
2018,data.Number,data.New Brunswick,data.Opioid-related poisoning hospitalizations,13,87.0
2019,"data.Rate per 100,000 population",data.New Brunswick,data.Opioid-related poisoning hospitalizations,13,13.4
2019,data.Number,data.New Brunswick,data.Opioid-related poisoning hospitalizations,13,104.0
2020,"data.Rate per 100,000 population",data.New Brunswick,data.Opioid-related poisoning hospitalizations,13,13.4
2020,data.Number,data.New Brunswick,data.Opioid-related poisoning hospitalizations,13,105.0
2021,"data.Rate per 100,000 population",data.New Brunswick,data.Opioid-related poisoning hospitalizations,13,12.4
2021,data.Number,data.New Brunswick,data.Opioid-related poisoning hospitalizations,13,98.0
2016,"data.Rate per 100,000 population",data.Nova Scotia,data.Opioid-related poisoning hospitalizations,12,10.7
2016,data.Number,data.Nova Scotia,data.Opioid-related poisoning hospitalizations,12,101.0
2017,"data.Rate per 100,000 population",data.Nova Scotia,data.Opioid-related poisoning hospitalizations,12,8.7
2017,data.Number,data.Nova Scotia,data.Opioid-related poisoning hospitalizations,12,83.0
2018,"data.Rate per 100,000 population",data.Nova Scotia,data.Opioid-related poisoning hospitalizations,12,8.3
2018,data.Number,data.Nova Scotia,data.Opioid-related poisoning hospitalizations,12,80.0
2019,"data.Rate per 100,000 population",data.Nova Scotia,data.Opioid-related poisoning hospitalizations,12,8.1
2019,data.Number,data.Nova Scotia,data.Opioid-related poisoning hospitalizations,12,79.0
2020,"data.Rate per 100,000 population",data.Nova Scotia,data.Opioid-related poisoning hospitalizations,12,7.3
2020,data.Number,data.Nova Scotia,data.Opioid-related poisoning hospitalizations,12,72.0
2021,"data.Rate per 100,000 population",data.Nova Scotia,data.Opioid-related poisoning hospitalizations,12,7.2
2021,data.Number,data.Nova Scotia,data.Opioid-related poisoning hospitalizations,12,71.0
2016,"data.Rate per 100,000 population",data.Prince Edward Island,data.Opioid-related poisoning hospitalizations,11,15.0
2016,data.Number,data.Prince Edward Island,data.Opioid-related poisoning hospitalizations,11,22.0
2017,"data.Rate per 100,000 population",data.Prince Edward Island,data.Opioid-related poisoning hospitalizations,11,10.6
2017,data.Number,data.Prince Edward Island,data.Opioid-related poisoning hospitalizations,11,16.0
2018,"data.Rate per 100,000 population",data.Prince Edward Island,data.Opioid-related poisoning hospitalizations,11,13.0
2018,data.Number,data.Prince Edward Island,data.Opioid-related poisoning hospitalizations,11,20.0
2019,"data.Rate per 100,000 population",data.Prince Edward Island,data.Opioid-related poisoning hospitalizations,11,15.2
2019,data.Number,data.Prince Edward Island,data.Opioid-related poisoning hospitalizations,11,24.0
2020,"data.Rate per 100,000 population",data.Prince Edward Island,data.Opioid-related poisoning hospitalizations,11,10.5
2020,data.Number,data.Prince Edward Island,data.Opioid-related poisoning hospitalizations,11,17.0
2021,"data.Rate per 100,000 population",data.Prince Edward Island,data.Opioid-related poisoning hospitalizations,11,10.3
2021,data.Number,data.Prince Edward Island,data.Opioid-related poisoning hospitalizations,11,17.0
2016,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Opioid-related poisoning hospitalizations,10,10.6
2016,data.Number,data.Newfoundland and Labrador,data.Opioid-related poisoning hospitalizations,10,56.0
2017,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Opioid-related poisoning hospitalizations,10,17.0
2017,data.Number,data.Newfoundland and Labrador,data.Opioid-related poisoning hospitalizations,10,90.0
2018,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Opioid-related poisoning hospitalizations,10,12.7
2018,data.Number,data.Newfoundland and Labrador,data.Opioid-related poisoning hospitalizations,10,67.0
2019,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Opioid-related poisoning hospitalizations,10,9.9
2019,data.Number,data.Newfoundland and Labrador,data.Opioid-related poisoning hospitalizations,10,52.0
2020,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Opioid-related poisoning hospitalizations,10,12.3
2020,data.Number,data.Newfoundland and Labrador,data.Opioid-related poisoning hospitalizations,10,64.0
2021,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Opioid-related poisoning hospitalizations,10,13.1
2021,data.Number,data.Newfoundland and Labrador,data.Opioid-related poisoning hospitalizations,10,68.0
2016,"data.Rate per 100,000 population",data.Territories,data.Opioid-related poisoning hospitalizations,,25.8
2016,data.Number,data.Territories,data.Opioid-related poisoning hospitalizations,,31.0
2017,"data.Rate per 100,000 population",data.Territories,data.Opioid-related poisoning hospitalizations,,24.6
2017,data.Number,data.Territories,data.Opioid-related poisoning hospitalizations,,30.0
2018,"data.Rate per 100,000 population",data.Territories,data.Opioid-related poisoning hospitalizations,,21.0
2018,data.Number,data.Territories,data.Opioid-related poisoning hospitalizations,,26.0
2019,"data.Rate per 100,000 population",data.Territories,data.Opioid-related poisoning hospitalizations,,16.8
2019,data.Number,data.Territories,data.Opioid-related poisoning hospitalizations,,21.0
2020,"data.Rate per 100,000 population",data.Territories,data.Opioid-related poisoning hospitalizations,,16.6
2020,data.Number,data.Territories,data.Opioid-related poisoning hospitalizations,,21.0
