Year,Géographie,Genre,Groupe d'âge,Caractéristiques démographiques déterminées,GeoCode,Value
2016,Canada,Hommes,65 à 74 ans,Total de la population des minorités visibles,,77.5
2016,Canada,Hommes,65 à 74 ans,Pas une minorité visible,,72.3
2016,Canada,Hommes,65 à 74 ans,Identité autochtone,,50.8
2016,Canada,Hommes,65 à 74 ans,Premières Nations (Indien de l'Amérique du Nord),,46.4
2016,Canada,Hommes,65 à 74 ans,Métis,,55.9
2016,Canada,Hommes,65 à 74 ans,Inuk (Inuit),,33.0
2016,Canada,Hommes,65 à 74 ans,Identité non autochtone,,73.5
2016,Canada,Hommes,75 ans et plus,Total,,55.7
2016,Canada,Hommes,75 ans et plus,Non-immigrants,,53.1
2016,Canada,Hommes,75 ans et plus,Immigrants,,60.6
2016,Canada,Hommes,75 ans et plus,Résidents non permanents,,62.1
2016,Canada,Hommes,75 ans et plus,Total de la population des minorités visibles,,66.0
2016,Canada,Hommes,75 ans et plus,Pas une minorité visible,,54.3
2016,Canada,Hommes,75 ans et plus,Identité autochtone,,30.9
2016,Canada,Hommes,75 ans et plus,Premières Nations (Indien de l'Amérique du Nord),,27.0
2016,Canada,Hommes,75 ans et plus,Métis,,34.4
2016,Canada,Hommes,75 ans et plus,Inuk (Inuit),,20.5
2016,Canada,Hommes,75 ans et plus,Identité non autochtone,,56.1
2016,Canada,Femmes,Total,Total,,80.8
2016,Canada,Femmes,Total,Non-immigrants,,80.9
2016,Canada,Femmes,Total,Immigrants,,80.2
2016,Canada,Femmes,Total,Résidents non permanents,,89.3
2016,Canada,Femmes,Total,Total de la population des minorités visibles,,81.8
2016,Canada,Femmes,Total,Pas une minorité visible,,80.5
2016,Canada,Femmes,Total,Identité autochtone,,65.5
2016,Canada,Femmes,Total,Premières Nations (Indien de l'Amérique du Nord),,61.0
2016,Canada,Femmes,Total,Métis,,74.1
2016,Canada,Femmes,Total,Inuk (Inuit),,43.1
2016,Canada,Femmes,Total,Identité non autochtone,,81.5
2016,Canada,Femmes,15 à 24 ans,Total,,67.1
2016,Canada,Femmes,15 à 24 ans,Non-immigrants,,65.9
2016,Canada,Femmes,15 à 24 ans,Immigrants,,70.2
2016,Canada,Femmes,15 à 24 ans,Résidents non permanents,,84.6
2016,Canada,Femmes,15 à 24 ans,Total de la population des minorités visibles,,70.5
2016,Canada,Femmes,15 à 24 ans,Pas une minorité visible,,65.8
2016,Canada,Femmes,15 à 24 ans,Identité autochtone,,49.8
2016,Canada,Femmes,15 à 24 ans,Premières Nations (Indien de l'Amérique du Nord),,45.0
2016,Canada,Femmes,15 à 24 ans,Métis,,60.0
2016,Canada,Femmes,15 à 24 ans,Inuk (Inuit),,33.5
2016,Canada,Femmes,15 à 24 ans,Identité non autochtone,,68.4
2016,Canada,Femmes,25 à 64 ans,Total,,88.4
2016,Canada,Femmes,25 à 64 ans,Non-immigrants,,88.6
2016,Canada,Femmes,25 à 64 ans,Immigrants,,87.5
2016,Canada,Femmes,25 à 64 ans,Résidents non permanents,,92.9
2016,Canada,Femmes,25 à 64 ans,Total de la population des minorités visibles,,88.2
2016,Canada,Femmes,25 à 64 ans,Pas une minorité visible,,88.5
2016,Canada,Femmes,25 à 64 ans,Identité autochtone,,73.2
2016,Canada,Femmes,25 à 64 ans,Premières Nations (Indien de l'Amérique du Nord),,68.8
2016,Canada,Femmes,25 à 64 ans,Métis,,81.4
2016,Canada,Femmes,25 à 64 ans,Inuk (Inuit),,48.3
2016,Canada,Femmes,25 à 64 ans,Identité non autochtone,,89.1
2016,Canada,Femmes,65 à 74 ans,Total,,73.3
2016,Canada,Femmes,65 à 74 ans,Non-immigrants,,74.3
2016,Canada,Femmes,65 à 74 ans,Immigrants,,71.1
2016,Canada,Femmes,65 à 74 ans,Résidents non permanents,,62.3
2016,Canada,Femmes,65 à 74 ans,Total de la population des minorités visibles,,68.2
2016,Canada,Femmes,65 à 74 ans,Pas une minorité visible,,74.1
2016,Canada,Femmes,65 à 74 ans,Identité autochtone,,55.1
2016,Canada,Femmes,65 à 74 ans,Premières Nations (Indien de l'Amérique du Nord),,51.4
2016,Canada,Femmes,65 à 74 ans,Métis,,60.1
2016,Canada,Femmes,65 à 74 ans,Inuk (Inuit),,33.8
2016,Canada,Femmes,65 à 74 ans,Identité non autochtone,,73.8
2016,Canada,Femmes,75 ans et plus,Total,,54.2
2016,Canada,Femmes,75 ans et plus,Non-immigrants,,55.8
2016,Canada,Femmes,75 ans et plus,Immigrants,,50.8
2016,Canada,Femmes,75 ans et plus,Résidents non permanents,,47.1
2016,Canada,Femmes,75 ans et plus,Total de la population des minorités visibles,,48.0
2016,Canada,Femmes,75 ans et plus,Pas une minorité visible,,55.0
2016,Canada,Femmes,75 ans et plus,Identité autochtone,,33.5
2016,Canada,Femmes,75 ans et plus,Premières Nations (Indien de l'Amérique du Nord),,30.3
2016,Canada,Femmes,75 ans et plus,Métis,,36.7
2016,Canada,Femmes,75 ans et plus,Inuk (Inuit),,23.9
2016,Canada,Femmes,75 ans et plus,Identité non autochtone,,54.5
2016,Terre-Neuve-et-Labrador,Total,Total,Total,10,74.1
2016,Terre-Neuve-et-Labrador,Total,Total,Non-immigrants,10,73.6
2016,Terre-Neuve-et-Labrador,Total,Total,Immigrants,10,88.6
2016,Terre-Neuve-et-Labrador,Total,Total,Résidents non permanents,10,96.0
2016,Terre-Neuve-et-Labrador,Total,Total,Total de la population des minorités visibles,10,88.2
2016,Terre-Neuve-et-Labrador,Total,Total,Pas une minorité visible,10,73.8
2016,Terre-Neuve-et-Labrador,Total,Total,Identité autochtone,10,69.5
2016,Terre-Neuve-et-Labrador,Total,Total,Premières Nations (Indien de l'Amérique du Nord),10,70.5
2016,Terre-Neuve-et-Labrador,Total,Total,Métis,10,72.3
2016,Terre-Neuve-et-Labrador,Total,Total,Inuk (Inuit),10,62.3
2016,Terre-Neuve-et-Labrador,Total,Total,Identité non autochtone,10,74.5
2016,Terre-Neuve-et-Labrador,Total,15 à 24 ans,Total,10,64.1
2016,Terre-Neuve-et-Labrador,Total,15 à 24 ans,Non-immigrants,10,63.8
2016,Terre-Neuve-et-Labrador,Total,15 à 24 ans,Immigrants,10,59.0
2016,Terre-Neuve-et-Labrador,Total,15 à 24 ans,Résidents non permanents,10,90.9
2016,Terre-Neuve-et-Labrador,Total,15 à 24 ans,Total de la population des minorités visibles,10,76.8
2016,Terre-Neuve-et-Labrador,Total,15 à 24 ans,Pas une minorité visible,10,63.6
2016,Terre-Neuve-et-Labrador,Total,15 à 24 ans,Identité autochtone,10,60.8
2016,Terre-Neuve-et-Labrador,Total,15 à 24 ans,Premières Nations (Indien de l'Amérique du Nord),10,61.7
2016,Terre-Neuve-et-Labrador,Total,15 à 24 ans,Métis,10,65.2
2016,Terre-Neuve-et-Labrador,Total,15 à 24 ans,Inuk (Inuit),10,48.4
2016,Terre-Neuve-et-Labrador,Total,15 à 24 ans,Identité non autochtone,10,64.6
2016,Terre-Neuve-et-Labrador,Total,25 à 64 ans,Total,10,81.7
2016,Terre-Neuve-et-Labrador,Total,25 à 64 ans,Non-immigrants,10,81.3
2016,Terre-Neuve-et-Labrador,Total,25 à 64 ans,Immigrants,10,93.0
2016,Terre-Neuve-et-Labrador,Total,25 à 64 ans,Résidents non permanents,10,97.6
2016,Terre-Neuve-et-Labrador,Total,25 à 64 ans,Total de la population des minorités visibles,10,92.6
2016,Terre-Neuve-et-Labrador,Total,25 à 64 ans,Pas une minorité visible,10,81.5
2016,Terre-Neuve-et-Labrador,Total,25 à 64 ans,Identité autochtone,10,76.7
2016,Terre-Neuve-et-Labrador,Total,25 à 64 ans,Premières Nations (Indien de l'Amérique du Nord),10,77.9
2016,Terre-Neuve-et-Labrador,Total,25 à 64 ans,Métis,10,79.4
2016,Terre-Neuve-et-Labrador,Total,25 à 64 ans,Inuk (Inuit),10,69.6
2016,Terre-Neuve-et-Labrador,Total,25 à 64 ans,Identité non autochtone,10,82.2
2016,Terre-Neuve-et-Labrador,Total,65 à 74 ans,Total,10,62.1
2016,Terre-Neuve-et-Labrador,Total,65 à 74 ans,Non-immigrants,10,61.4
2016,Terre-Neuve-et-Labrador,Total,65 à 74 ans,Immigrants,10,89.3
2016,Terre-Neuve-et-Labrador,Total,65 à 74 ans,Résidents non permanents,10,100.0
2016,Terre-Neuve-et-Labrador,Total,65 à 74 ans,Total de la population des minorités visibles,10,71.7
2016,Terre-Neuve-et-Labrador,Total,65 à 74 ans,Pas une minorité visible,10,62.1
2016,Terre-Neuve-et-Labrador,Total,65 à 74 ans,Identité autochtone,10,52.9
2016,Terre-Neuve-et-Labrador,Total,65 à 74 ans,Premières Nations (Indien de l'Amérique du Nord),10,53.6
2016,Terre-Neuve-et-Labrador,Total,65 à 74 ans,Métis,10,56.3
2016,Terre-Neuve-et-Labrador,Total,65 à 74 ans,Inuk (Inuit),10,48.1
2016,Terre-Neuve-et-Labrador,Total,65 à 74 ans,Identité non autochtone,10,62.7
2016,Terre-Neuve-et-Labrador,Total,75 ans et plus,Total,10,46.8
2016,Terre-Neuve-et-Labrador,Total,75 ans et plus,Non-immigrants,10,45.8
2016,Terre-Neuve-et-Labrador,Total,75 ans et plus,Immigrants,10,82.0
2016,Terre-Neuve-et-Labrador,Total,75 ans et plus,Résidents non permanents,10,0.0
2016,Terre-Neuve-et-Labrador,Total,75 ans et plus,Total de la population des minorités visibles,10,72.5
2016,Terre-Neuve-et-Labrador,Total,75 ans et plus,Pas une minorité visible,10,46.6
2016,Terre-Neuve-et-Labrador,Total,75 ans et plus,Identité autochtone,10,34.4
2016,Terre-Neuve-et-Labrador,Total,75 ans et plus,Premières Nations (Indien de l'Amérique du Nord),10,39.0
2016,Terre-Neuve-et-Labrador,Total,75 ans et plus,Métis,10,20.4
2016,Terre-Neuve-et-Labrador,Total,75 ans et plus,Inuk (Inuit),10,31.0
2016,Terre-Neuve-et-Labrador,Total,75 ans et plus,Identité non autochtone,10,47.4
2016,Terre-Neuve-et-Labrador,Hommes,Total,Total,10,72.1
2016,Terre-Neuve-et-Labrador,Hommes,Total,Non-immigrants,10,71.3
2016,Terre-Neuve-et-Labrador,Hommes,Total,Immigrants,10,89.4
2016,Terre-Neuve-et-Labrador,Hommes,Total,Résidents non permanents,10,96.7
2016,Terre-Neuve-et-Labrador,Hommes,Total,Total de la population des minorités visibles,10,89.0
2016,Terre-Neuve-et-Labrador,Hommes,Total,Pas une minorité visible,10,71.7
2016,Terre-Neuve-et-Labrador,Hommes,Total,Identité autochtone,10,66.0
2016,Terre-Neuve-et-Labrador,Hommes,Total,Premières Nations (Indien de l'Amérique du Nord),10,67.8
2016,Terre-Neuve-et-Labrador,Hommes,Total,Métis,10,68.3
2016,Terre-Neuve-et-Labrador,Hommes,Total,Inuk (Inuit),10,55.8
2016,Terre-Neuve-et-Labrador,Hommes,Total,Identité non autochtone,10,72.6
2016,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,Total,10,62.1
2016,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,Non-immigrants,10,61.7
2016,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,Immigrants,10,58.8
2016,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,Résidents non permanents,10,89.3
2016,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,Total de la population des minorités visibles,10,76.3
2016,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,Pas une minorité visible,10,61.5
2016,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,Identité autochtone,10,58.1
2016,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,Premières Nations (Indien de l'Amérique du Nord),10,60.4
2016,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,Métis,10,61.3
2016,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,Inuk (Inuit),10,38.9
2016,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,Identité non autochtone,10,62.6
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Total,10,78.8
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Non-immigrants,10,78.1
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Immigrants,10,93.0
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Résidents non permanents,10,98.7
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Total de la population des minorités visibles,10,93.3
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Pas une minorité visible,10,78.4
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Identité autochtone,10,71.9
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Premières Nations (Indien de l'Amérique du Nord),10,73.7
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Métis,10,73.6
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Inuk (Inuit),10,63.4
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Identité non autochtone,10,79.4
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Total,10,62.6
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Non-immigrants,10,61.7
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Immigrants,10,91.8
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Résidents non permanents,10,0.0
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Total de la population des minorités visibles,10,84.0
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Pas une minorité visible,10,62.5
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Identité autochtone,10,54.3
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Premières Nations (Indien de l'Amérique du Nord),10,55.7
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Métis,10,60.4
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Inuk (Inuit),10,46.2
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Identité non autochtone,10,63.1
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Total,10,46.9
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Non-immigrants,10,45.4
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Immigrants,10,89.8
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Résidents non permanents,10,0.0
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Total de la population des minorités visibles,10,75.0
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Pas une minorité visible,10,46.7
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Identité autochtone,10,34.3
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Premières Nations (Indien de l'Amérique du Nord),10,39.7
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Métis,10,23.8
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Inuk (Inuit),10,21.7
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Identité non autochtone,10,47.5
2016,Terre-Neuve-et-Labrador,Femmes,Total,Total,10,76.1
2016,Terre-Neuve-et-Labrador,Femmes,Total,Non-immigrants,10,75.7
2016,Terre-Neuve-et-Labrador,Femmes,Total,Immigrants,10,87.7
2016,Terre-Neuve-et-Labrador,Femmes,Total,Résidents non permanents,10,95.5
2016,Terre-Neuve-et-Labrador,Femmes,Total,Total de la population des minorités visibles,10,87.3
2016,Terre-Neuve-et-Labrador,Femmes,Total,Pas une minorité visible,10,75.8
2016,Terre-Neuve-et-Labrador,Femmes,Total,Identité autochtone,10,72.6
2016,Terre-Neuve-et-Labrador,Femmes,Total,Premières Nations (Indien de l'Amérique du Nord),10,72.8
2016,Terre-Neuve-et-Labrador,Femmes,Total,Métis,10,76.1
2016,Terre-Neuve-et-Labrador,Femmes,Total,Inuk (Inuit),10,68.5
2016,Terre-Neuve-et-Labrador,Femmes,Total,Identité non autochtone,10,76.4
2016,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,Total,10,66.2
2016,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,Non-immigrants,10,66.0
2016,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,Immigrants,10,57.5
2016,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,Résidents non permanents,10,94.9
2016,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,Total de la population des minorités visibles,10,77.0
2016,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,Pas une minorité visible,10,65.8
2016,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,Identité autochtone,10,63.3
2016,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,Premières Nations (Indien de l'Amérique du Nord),10,63.0
2016,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,Métis,10,69.3
2016,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,Inuk (Inuit),10,55.9
2016,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,Identité non autochtone,10,66.6
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Total,10,84.5
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Non-immigrants,10,84.2
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Immigrants,10,93.0
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Résidents non permanents,10,96.1
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Total de la population des minorités visibles,10,92.0
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Pas une minorité visible,10,84.4
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Identité autochtone,10,80.9
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Premières Nations (Indien de l'Amérique du Nord),10,81.7
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Métis,10,84.6
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Inuk (Inuit),10,75.3
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Identité non autochtone,10,84.9
2016,Terre-Neuve-et-Labrador,Femmes,65 à 74 ans,Total,10,61.6
2016,Terre-Neuve-et-Labrador,Femmes,65 à 74 ans,Non-immigrants,10,61.0
2016,Terre-Neuve-et-Labrador,Femmes,65 à 74 ans,Immigrants,10,86.4
2016,Terre-Neuve-et-Labrador,Femmes,65 à 74 ans,Résidents non permanents,10,0.0
2016,Terre-Neuve-et-Labrador,Femmes,65 à 74 ans,Total de la population des minorités visibles,10,62.9
2016,Terre-Neuve-et-Labrador,Femmes,65 à 74 ans,Pas une minorité visible,10,61.6
2016,Terre-Neuve-et-Labrador,Femmes,65 à 74 ans,Identité autochtone,10,51.7
2016,Terre-Neuve-et-Labrador,Femmes,65 à 74 ans,Premières Nations (Indien de l'Amérique du Nord),10,51.7
2016,Terre-Neuve-et-Labrador,Femmes,65 à 74 ans,Métis,10,51.0
2016,Terre-Neuve-et-Labrador,Femmes,65 à 74 ans,Inuk (Inuit),10,51.2
2016,Terre-Neuve-et-Labrador,Femmes,65 à 74 ans,Identité non autochtone,10,62.2
2016,Terre-Neuve-et-Labrador,Femmes,75 ans et plus,Total,10,46.7
2016,Terre-Neuve-et-Labrador,Femmes,75 ans et plus,Non-immigrants,10,46.0
2016,Terre-Neuve-et-Labrador,Femmes,75 ans et plus,Immigrants,10,74.1
2016,Terre-Neuve-et-Labrador,Femmes,75 ans et plus,Résidents non permanents,10,0.0
2016,Terre-Neuve-et-Labrador,Femmes,75 ans et plus,Total de la population des minorités visibles,10,68.8
2016,Terre-Neuve-et-Labrador,Femmes,75 ans et plus,Pas une minorité visible,10,46.6
2016,Terre-Neuve-et-Labrador,Femmes,75 ans et plus,Identité autochtone,10,34.8
2016,Terre-Neuve-et-Labrador,Femmes,75 ans et plus,Premières Nations (Indien de l'Amérique du Nord),10,37.9
2016,Terre-Neuve-et-Labrador,Femmes,75 ans et plus,Métis,10,14.3
2016,Terre-Neuve-et-Labrador,Femmes,75 ans et plus,Inuk (Inuit),10,36.8
2016,Terre-Neuve-et-Labrador,Femmes,75 ans et plus,Identité non autochtone,10,47.3
2016,Île-du-Prince-Édouard,Total,Total,Total,11,78.5
2016,Île-du-Prince-Édouard,Total,Total,Non-immigrants,11,77.7
2016,Île-du-Prince-Édouard,Total,Total,Immigrants,11,88.4
2016,Île-du-Prince-Édouard,Total,Total,Résidents non permanents,11,87.8
2016,Île-du-Prince-Édouard,Total,Total,Total de la population des minorités visibles,11,84.8
2016,Île-du-Prince-Édouard,Total,Total,Pas une minorité visible,11,78.2
2016,Île-du-Prince-Édouard,Total,Total,Identité autochtone,11,73.5
2016,Île-du-Prince-Édouard,Total,Total,Premières Nations (Indien de l'Amérique du Nord),11,72.0
2016,Île-du-Prince-Édouard,Total,Total,Métis,11,79.6
2016,Île-du-Prince-Édouard,Total,Total,Inuk (Inuit),11,80.0
2016,Île-du-Prince-Édouard,Total,Total,Identité non autochtone,11,78.6
2016,Île-du-Prince-Édouard,Total,15 à 24 ans,Total,11,66.3
2016,Île-du-Prince-Édouard,Total,15 à 24 ans,Non-immigrants,11,66.3
2016,Île-du-Prince-Édouard,Total,15 à 24 ans,Immigrants,11,60.6
2016,Île-du-Prince-Édouard,Total,15 à 24 ans,Résidents non permanents,11,78.8
2016,Île-du-Prince-Édouard,Total,15 à 24 ans,Total de la population des minorités visibles,11,65.4
2016,Île-du-Prince-Édouard,Total,15 à 24 ans,Pas une minorité visible,11,66.4
2016,Île-du-Prince-Édouard,Total,15 à 24 ans,Identité autochtone,11,64.8
2016,Île-du-Prince-Édouard,Total,15 à 24 ans,Premières Nations (Indien de l'Amérique du Nord),11,62.0
