Year,Geography,Age group and family type,Statistics,GeoCode,Value
1999,Newfoundland and Labrador,Persons 18 to 64 years old,Persons who are asset resilient for at least 1 month,10,58.1
1999,Newfoundland and Labrador,Persons 18 to 64 years old,Persons who are asset resilient for at least 3 months,10,43.0
1999,Newfoundland and Labrador,Persons 18 to 64 years old,Persons who are asset resilient for at least 6 months,10,34.5
1999,Newfoundland and Labrador,Persons 65 years and older,Persons who are asset resilient for at least 1 month,10,63.4
1999,Newfoundland and Labrador,Persons 65 years and older,Persons who are asset resilient for at least 3 months,10,50.6
1999,Newfoundland and Labrador,Persons 65 years and older,Persons who are asset resilient for at least 6 months,10,40.0
1999,Newfoundland and Labrador,Persons in an economic family,Persons who are asset resilient for at least 1 month,10,57.4
1999,Newfoundland and Labrador,Persons in an economic family,Persons who are asset resilient for at least 3 months,10,44.4
1999,Newfoundland and Labrador,Persons in an economic family,Persons who are asset resilient for at least 6 months,10,34.6
1999,Newfoundland and Labrador,Persons in a couple only family,Persons who are asset resilient for at least 1 month,10,63.1
1999,Newfoundland and Labrador,Persons in a couple only family,Persons who are asset resilient for at least 3 months,10,55.5
1999,Newfoundland and Labrador,Persons in a couple only family,Persons who are asset resilient for at least 6 months,10,44.7
1999,Newfoundland and Labrador,Persons in a couple with children family,Persons who are asset resilient for at least 1 month,10,55.6
1999,Newfoundland and Labrador,Persons in a couple with children family,Persons who are asset resilient for at least 3 months,10,43.5
1999,Newfoundland and Labrador,Persons in a couple with children family,Persons who are asset resilient for at least 6 months,10,30.6
1999,Newfoundland and Labrador,Persons in a lone-parent family,Persons who are asset resilient for at least 1 month,10,26.1
1999,Newfoundland and Labrador,Persons in a lone-parent family,Persons who are asset resilient for at least 3 months,10,20.7
1999,Newfoundland and Labrador,Persons in a lone-parent family,Persons who are asset resilient for at least 6 months,10,17.2
1999,Newfoundland and Labrador,Persons in an other economic family type,Persons who are asset resilient for at least 1 month,10,64.3
1999,Newfoundland and Labrador,Persons in an other economic family type,Persons who are asset resilient for at least 3 months,10,43.7
1999,Newfoundland and Labrador,Persons in an other economic family type,Persons who are asset resilient for at least 6 months,10,39.1
1999,Newfoundland and Labrador,Persons not in an economic family,Persons who are asset resilient for at least 1 month,10,49.2
1999,Newfoundland and Labrador,Persons not in an economic family,Persons who are asset resilient for at least 3 months,10,22.6
1999,Newfoundland and Labrador,Persons not in an economic family,Persons who are asset resilient for at least 6 months,10,20.0
1999,Prince Edward Island,Persons all ages and family types,Persons who are asset resilient for at least 1 month,11,62.4
1999,Prince Edward Island,Persons all ages and family types,Persons who are asset resilient for at least 3 months,11,53.4
1999,Prince Edward Island,Persons all ages and family types,Persons who are asset resilient for at least 6 months,11,42.4
1999,Prince Edward Island,Persons under 18 years old,Persons who are asset resilient for at least 1 month,11,52.9
1999,Prince Edward Island,Persons under 18 years old,Persons who are asset resilient for at least 3 months,11,44.7
1999,Prince Edward Island,Persons under 18 years old,Persons who are asset resilient for at least 6 months,11,32.3
1999,Prince Edward Island,Persons 18 to 64 years old,Persons who are asset resilient for at least 1 month,11,63.7
1999,Prince Edward Island,Persons 18 to 64 years old,Persons who are asset resilient for at least 3 months,11,54.0
1999,Prince Edward Island,Persons 18 to 64 years old,Persons who are asset resilient for at least 6 months,11,43.3
1999,Prince Edward Island,Persons 65 years and older,Persons who are asset resilient for at least 1 month,11,75.3
1999,Prince Edward Island,Persons 65 years and older,Persons who are asset resilient for at least 3 months,11,67.9
1999,Prince Edward Island,Persons 65 years and older,Persons who are asset resilient for at least 6 months,11,58.5
1999,Prince Edward Island,Persons in an economic family,Persons who are asset resilient for at least 1 month,11,64.3
1999,Prince Edward Island,Persons in an economic family,Persons who are asset resilient for at least 3 months,11,54.9
1999,Prince Edward Island,Persons in an economic family,Persons who are asset resilient for at least 6 months,11,43.6
1999,Prince Edward Island,Persons in a couple only family,Persons who are asset resilient for at least 1 month,11,77.7
1999,Prince Edward Island,Persons in a couple only family,Persons who are asset resilient for at least 3 months,11,64.9
1999,Prince Edward Island,Persons in a couple only family,Persons who are asset resilient for at least 6 months,11,53.4
1999,Prince Edward Island,Persons in a couple with children family,Persons who are asset resilient for at least 1 month,11,62.0
1999,Prince Edward Island,Persons in a couple with children family,Persons who are asset resilient for at least 3 months,11,53.7
1999,Prince Edward Island,Persons in a couple with children family,Persons who are asset resilient for at least 6 months,11,39.9
1999,Prince Edward Island,Persons in a lone-parent family,Persons who are asset resilient for at least 1 month,11,19.8
1999,Prince Edward Island,Persons in a lone-parent family,Persons who are asset resilient for at least 3 months,11,15.1
1999,Prince Edward Island,Persons in a lone-parent family,Persons who are asset resilient for at least 6 months,11,14.1
1999,Prince Edward Island,Persons in an other economic family type,Persons who are asset resilient for at least 1 month,11,73.5
1999,Prince Edward Island,Persons in an other economic family type,Persons who are asset resilient for at least 3 months,11,63.5
1999,Prince Edward Island,Persons in an other economic family type,Persons who are asset resilient for at least 6 months,11,54.8
1999,Prince Edward Island,Persons not in an economic family,Persons who are asset resilient for at least 1 month,11,47.7
1999,Prince Edward Island,Persons not in an economic family,Persons who are asset resilient for at least 3 months,11,41.9
1999,Prince Edward Island,Persons not in an economic family,Persons who are asset resilient for at least 6 months,11,33.6
1999,Nova Scotia,Persons all ages and family types,Persons who are asset resilient for at least 1 month,12,66.6
1999,Nova Scotia,Persons all ages and family types,Persons who are asset resilient for at least 3 months,12,57.0
1999,Nova Scotia,Persons all ages and family types,Persons who are asset resilient for at least 6 months,12,47.8
1999,Nova Scotia,Persons under 18 years old,Persons who are asset resilient for at least 1 month,12,59.5
1999,Nova Scotia,Persons under 18 years old,Persons who are asset resilient for at least 3 months,12,49.6
1999,Nova Scotia,Persons under 18 years old,Persons who are asset resilient for at least 6 months,12,40.2
1999,Nova Scotia,Persons 18 to 64 years old,Persons who are asset resilient for at least 1 month,12,67.9
1999,Nova Scotia,Persons 18 to 64 years old,Persons who are asset resilient for at least 3 months,12,58.5
1999,Nova Scotia,Persons 18 to 64 years old,Persons who are asset resilient for at least 6 months,12,49.1
1999,Nova Scotia,Persons 65 years and older,Persons who are asset resilient for at least 1 month,12,72.8
1999,Nova Scotia,Persons 65 years and older,Persons who are asset resilient for at least 3 months,12,62.3
1999,Nova Scotia,Persons 65 years and older,Persons who are asset resilient for at least 6 months,12,54.8
1999,Nova Scotia,Persons in an economic family,Persons who are asset resilient for at least 1 month,12,66.9
1999,Nova Scotia,Persons in an economic family,Persons who are asset resilient for at least 3 months,12,57.9
1999,Nova Scotia,Persons in an economic family,Persons who are asset resilient for at least 6 months,12,48.5
1999,Nova Scotia,Persons in a couple only family,Persons who are asset resilient for at least 1 month,12,72.2
1999,Nova Scotia,Persons in a couple only family,Persons who are asset resilient for at least 3 months,12,65.9
1999,Nova Scotia,Persons in a couple only family,Persons who are asset resilient for at least 6 months,12,56.2
1999,Nova Scotia,Persons in a couple with children family,Persons who are asset resilient for at least 1 month,12,69.3
1999,Nova Scotia,Persons in a couple with children family,Persons who are asset resilient for at least 3 months,12,59.0
1999,Nova Scotia,Persons in a couple with children family,Persons who are asset resilient for at least 6 months,12,47.2
1999,Nova Scotia,Persons in a lone-parent family,Persons who are asset resilient for at least 1 month,12,28.7
1999,Nova Scotia,Persons in a lone-parent family,Persons who are asset resilient for at least 3 months,12,28.1
1999,Nova Scotia,Persons in a lone-parent family,Persons who are asset resilient for at least 6 months,12,25.2
1999,Nova Scotia,Persons in an other economic family type,Persons who are asset resilient for at least 1 month,12,68.5
1999,Nova Scotia,Persons in an other economic family type,Persons who are asset resilient for at least 3 months,12,56.2
1999,Nova Scotia,Persons in an other economic family type,Persons who are asset resilient for at least 6 months,12,50.3
1999,Nova Scotia,Persons not in an economic family,Persons who are asset resilient for at least 1 month,12,63.9
1999,Nova Scotia,Persons not in an economic family,Persons who are asset resilient for at least 3 months,12,50.4
1999,Nova Scotia,Persons not in an economic family,Persons who are asset resilient for at least 6 months,12,42.3
1999,New Brunswick,Persons all ages and family types,Persons who are asset resilient for at least 1 month,13,61.8
1999,New Brunswick,Persons all ages and family types,Persons who are asset resilient for at least 3 months,13,51.3
1999,New Brunswick,Persons all ages and family types,Persons who are asset resilient for at least 6 months,13,41.7
1999,New Brunswick,Persons under 18 years old,Persons who are asset resilient for at least 1 month,13,51.3
1999,New Brunswick,Persons under 18 years old,Persons who are asset resilient for at least 3 months,13,42.5
1999,New Brunswick,Persons under 18 years old,Persons who are asset resilient for at least 6 months,13,33.1
1999,New Brunswick,Persons 18 to 64 years old,Persons who are asset resilient for at least 1 month,13,64.0
1999,New Brunswick,Persons 18 to 64 years old,Persons who are asset resilient for at least 3 months,13,52.3
1999,New Brunswick,Persons 18 to 64 years old,Persons who are asset resilient for at least 6 months,13,43.0
1999,New Brunswick,Persons 65 years and older,Persons who are asset resilient for at least 1 month,13,69.4
1999,New Brunswick,Persons 65 years and older,Persons who are asset resilient for at least 3 months,13,62.3
1999,New Brunswick,Persons 65 years and older,Persons who are asset resilient for at least 6 months,13,50.6
1999,New Brunswick,Persons in an economic family,Persons who are asset resilient for at least 1 month,13,61.2
1999,New Brunswick,Persons in an economic family,Persons who are asset resilient for at least 3 months,13,51.7
1999,New Brunswick,Persons in an economic family,Persons who are asset resilient for at least 6 months,13,42.0
1999,New Brunswick,Persons in a couple only family,Persons who are asset resilient for at least 1 month,13,70.2
1999,New Brunswick,Persons in a couple only family,Persons who are asset resilient for at least 3 months,13,64.1
1999,New Brunswick,Persons in a couple only family,Persons who are asset resilient for at least 6 months,13,54.7
1999,New Brunswick,Persons in a couple with children family,Persons who are asset resilient for at least 1 month,13,58.6
1999,New Brunswick,Persons in a couple with children family,Persons who are asset resilient for at least 3 months,13,48.7
1999,New Brunswick,Persons in a couple with children family,Persons who are asset resilient for at least 6 months,13,36.6
1999,New Brunswick,Persons in a lone-parent family,Persons who are asset resilient for at least 1 month,13,23.6
1999,New Brunswick,Persons in a lone-parent family,Persons who are asset resilient for at least 3 months,13,16.7
1999,New Brunswick,Persons in a lone-parent family,Persons who are asset resilient for at least 6 months,13,14.0
1999,New Brunswick,Persons in an other economic family type,Persons who are asset resilient for at least 1 month,13,70.1
1999,New Brunswick,Persons in an other economic family type,Persons who are asset resilient for at least 3 months,13,57.5
1999,New Brunswick,Persons in an other economic family type,Persons who are asset resilient for at least 6 months,13,49.0
1999,New Brunswick,Persons not in an economic family,Persons who are asset resilient for at least 1 month,13,66.3
1999,New Brunswick,Persons not in an economic family,Persons who are asset resilient for at least 3 months,13,47.9
1999,New Brunswick,Persons not in an economic family,Persons who are asset resilient for at least 6 months,13,39.8
1999,Quebec,Persons all ages and family types,Persons who are asset resilient for at least 1 month,24,72.8
1999,Quebec,Persons all ages and family types,Persons who are asset resilient for at least 3 months,24,60.8
1999,Quebec,Persons all ages and family types,Persons who are asset resilient for at least 6 months,24,50.4
1999,Quebec,Persons under 18 years old,Persons who are asset resilient for at least 1 month,24,66.7
1999,Quebec,Persons under 18 years old,Persons who are asset resilient for at least 3 months,24,51.0
1999,Quebec,Persons under 18 years old,Persons who are asset resilient for at least 6 months,24,40.3
1999,Quebec,Persons 18 to 64 years old,Persons who are asset resilient for at least 1 month,24,73.7
1999,Quebec,Persons 18 to 64 years old,Persons who are asset resilient for at least 3 months,24,62.0
1999,Quebec,Persons 18 to 64 years old,Persons who are asset resilient for at least 6 months,24,51.3
1999,Quebec,Persons 65 years and older,Persons who are asset resilient for at least 1 month,24,79.5
1999,Quebec,Persons 65 years and older,Persons who are asset resilient for at least 3 months,24,72.2
1999,Quebec,Persons 65 years and older,Persons who are asset resilient for at least 6 months,24,64.3
1999,Quebec,Persons in an economic family,Persons who are asset resilient for at least 1 month,24,74.3
1999,Quebec,Persons in an economic family,Persons who are asset resilient for at least 3 months,24,62.1
1999,Quebec,Persons in an economic family,Persons who are asset resilient for at least 6 months,24,51.8
1999,Quebec,Persons in a couple only family,Persons who are asset resilient for at least 1 month,24,79.4
1999,Quebec,Persons in a couple only family,Persons who are asset resilient for at least 3 months,24,72.1
1999,Quebec,Persons in a couple only family,Persons who are asset resilient for at least 6 months,24,63.8
1999,Quebec,Persons in a couple with children family,Persons who are asset resilient for at least 1 month,24,73.9
1999,Quebec,Persons in a couple with children family,Persons who are asset resilient for at least 3 months,24,57.1
1999,Quebec,Persons in a couple with children family,Persons who are asset resilient for at least 6 months,24,45.2
1999,Quebec,Persons in a lone-parent family,Persons who are asset resilient for at least 1 month,24,41.7
1999,Quebec,Persons in a lone-parent family,Persons who are asset resilient for at least 3 months,24,28.7
1999,Quebec,Persons in a lone-parent family,Persons who are asset resilient for at least 6 months,24,23.2
1999,Quebec,Persons in an other economic family type,Persons who are asset resilient for at least 1 month,24,81.3
1999,Quebec,Persons in an other economic family type,Persons who are asset resilient for at least 3 months,24,74.8
1999,Quebec,Persons in an other economic family type,Persons who are asset resilient for at least 6 months,24,64.2
1999,Quebec,Persons not in an economic family,Persons who are asset resilient for at least 1 month,24,64.5
1999,Quebec,Persons not in an economic family,Persons who are asset resilient for at least 3 months,24,52.8
1999,Quebec,Persons not in an economic family,Persons who are asset resilient for at least 6 months,24,42.3
1999,Ontario,Persons all ages and family types,Persons who are asset resilient for at least 1 month,35,77.1
1999,Ontario,Persons all ages and family types,Persons who are asset resilient for at least 3 months,35,66.3
1999,Ontario,Persons all ages and family types,Persons who are asset resilient for at least 6 months,35,58.2
1999,Ontario,Persons under 18 years old,Persons who are asset resilient for at least 1 month,35,70.1
1999,Ontario,Persons under 18 years old,Persons who are asset resilient for at least 3 months,35,59.0
1999,Ontario,Persons under 18 years old,Persons who are asset resilient for at least 6 months,35,48.7
1999,Ontario,Persons 18 to 64 years old,Persons who are asset resilient for at least 1 month,35,78.0
1999,Ontario,Persons 18 to 64 years old,Persons who are asset resilient for at least 3 months,35,66.7
1999,Ontario,Persons 18 to 64 years old,Persons who are asset resilient for at least 6 months,35,59.0
1999,Ontario,Persons 65 years and older,Persons who are asset resilient for at least 1 month,35,86.2
1999,Ontario,Persons 65 years and older,Persons who are asset resilient for at least 3 months,35,78.8
1999,Ontario,Persons 65 years and older,Persons who are asset resilient for at least 6 months,35,73.0
1999,Ontario,Persons in an economic family,Persons who are asset resilient for at least 1 month,35,77.6
1999,Ontario,Persons in an economic family,Persons who are asset resilient for at least 3 months,35,67.1
1999,Ontario,Persons in an economic family,Persons who are asset resilient for at least 6 months,35,58.7
1999,Ontario,Persons in a couple only family,Persons who are asset resilient for at least 1 month,35,87.0
1999,Ontario,Persons in a couple only family,Persons who are asset resilient for at least 3 months,35,79.6
1999,Ontario,Persons in a couple only family,Persons who are asset resilient for at least 6 months,35,74.4
1999,Ontario,Persons in a couple with children family,Persons who are asset resilient for at least 1 month,35,77.0
1999,Ontario,Persons in a couple with children family,Persons who are asset resilient for at least 3 months,35,64.4
1999,Ontario,Persons in a couple with children family,Persons who are asset resilient for at least 6 months,35,53.3
1999,Ontario,Persons in a lone-parent family,Persons who are asset resilient for at least 1 month,35,39.8
1999,Ontario,Persons in a lone-parent family,Persons who are asset resilient for at least 3 months,35,30.6
1999,Ontario,Persons in a lone-parent family,Persons who are asset resilient for at least 6 months,35,25.7
1999,Ontario,Persons in an other economic family type,Persons who are asset resilient for at least 1 month,35,81.3
1999,Ontario,Persons in an other economic family type,Persons who are asset resilient for at least 3 months,35,72.2
1999,Ontario,Persons in an other economic family type,Persons who are asset resilient for at least 6 months,35,65.7
1999,Ontario,Persons not in an economic family,Persons who are asset resilient for at least 1 month,35,73.0
1999,Ontario,Persons not in an economic family,Persons who are asset resilient for at least 3 months,35,60.5
1999,Ontario,Persons not in an economic family,Persons who are asset resilient for at least 6 months,35,54.6
1999,Manitoba,Persons all ages and family types,Persons who are asset resilient for at least 1 month,46,74.1
1999,Manitoba,Persons all ages and family types,Persons who are asset resilient for at least 3 months,46,64.2
1999,Manitoba,Persons all ages and family types,Persons who are asset resilient for at least 6 months,46,56.6
1999,Manitoba,Persons under 18 years old,Persons who are asset resilient for at least 1 month,46,67.2
1999,Manitoba,Persons under 18 years old,Persons who are asset resilient for at least 3 months,46,54.2
1999,Manitoba,Persons under 18 years old,Persons who are asset resilient for at least 6 months,46,47.1
1999,Manitoba,Persons 18 to 64 years old,Persons who are asset resilient for at least 1 month,46,73.4
1999,Manitoba,Persons 18 to 64 years old,Persons who are asset resilient for at least 3 months,46,63.6
1999,Manitoba,Persons 18 to 64 years old,Persons who are asset resilient for at least 6 months,46,55.2
1999,Manitoba,Persons 65 years and older,Persons who are asset resilient for at least 1 month,46,90.1
1999,Manitoba,Persons 65 years and older,Persons who are asset resilient for at least 3 months,46,85.0
1999,Manitoba,Persons 65 years and older,Persons who are asset resilient for at least 6 months,46,80.5
1999,Manitoba,Persons in an economic family,Persons who are asset resilient for at least 1 month,46,75.1
1999,Manitoba,Persons in an economic family,Persons who are asset resilient for at least 3 months,46,65.0
1999,Manitoba,Persons in an economic family,Persons who are asset resilient for at least 6 months,46,57.8
1999,Manitoba,Persons in a couple only family,Persons who are asset resilient for at least 1 month,46,86.0
1999,Manitoba,Persons in a couple only family,Persons who are asset resilient for at least 3 months,46,79.4
1999,Manitoba,Persons in a couple only family,Persons who are asset resilient for at least 6 months,46,72.1
1999,Manitoba,Persons in a couple with children family,Persons who are asset resilient for at least 1 month,46,74.1
1999,Manitoba,Persons in a couple with children family,Persons who are asset resilient for at least 3 months,46,61.4
1999,Manitoba,Persons in a couple with children family,Persons who are asset resilient for at least 6 months,46,53.9
1999,Manitoba,Persons in a lone-parent family,Persons who are asset resilient for at least 1 month,46,42.7
1999,Manitoba,Persons in a lone-parent family,Persons who are asset resilient for at least 3 months,46,31.9
1999,Manitoba,Persons in a lone-parent family,Persons who are asset resilient for at least 6 months,46,28.2
1999,Manitoba,Persons in an other economic family type,Persons who are asset resilient for at least 1 month,46,79.2
1999,Manitoba,Persons in an other economic family type,Persons who are asset resilient for at least 3 months,46,71.9
1999,Manitoba,Persons in an other economic family type,Persons who are asset resilient for at least 6 months,46,64.4
1999,Manitoba,Persons not in an economic family,Persons who are asset resilient for at least 1 month,46,68.2
1999,Manitoba,Persons not in an economic family,Persons who are asset resilient for at least 3 months,46,59.3
1999,Manitoba,Persons not in an economic family,Persons who are asset resilient for at least 6 months,46,48.8
1999,Saskatchewan,Persons all ages and family types,Persons who are asset resilient for at least 1 month,47,79.4
1999,Saskatchewan,Persons all ages and family types,Persons who are asset resilient for at least 3 months,47,69.8
1999,Saskatchewan,Persons all ages and family types,Persons who are asset resilient for at least 6 months,47,60.4
1999,Saskatchewan,Persons under 18 years old,Persons who are asset resilient for at least 1 month,47,75.2
1999,Saskatchewan,Persons under 18 years old,Persons who are asset resilient for at least 3 months,47,63.5
1999,Saskatchewan,Persons under 18 years old,Persons who are asset resilient for at least 6 months,47,53.5
1999,Saskatchewan,Persons 18 to 64 years old,Persons who are asset resilient for at least 1 month,47,78.2
1999,Saskatchewan,Persons 18 to 64 years old,Persons who are asset resilient for at least 3 months,47,68.2
1999,Saskatchewan,Persons 18 to 64 years old,Persons who are asset resilient for at least 6 months,47,58.0
1999,Saskatchewan,Persons 65 years and older,Persons who are asset resilient for at least 1 month,47,92.3
1999,Saskatchewan,Persons 65 years and older,Persons who are asset resilient for at least 3 months,47,87.9
1999,Saskatchewan,Persons 65 years and older,Persons who are asset resilient for at least 6 months,47,83.0
1999,Saskatchewan,Persons in an economic family,Persons who are asset resilient for at least 1 month,47,80.9
1999,Saskatchewan,Persons in an economic family,Persons who are asset resilient for at least 3 months,47,70.9
1999,Saskatchewan,Persons in an economic family,Persons who are asset resilient for at least 6 months,47,61.8
1999,Saskatchewan,Persons in a couple only family,Persons who are asset resilient for at least 1 month,47,88.1
1999,Saskatchewan,Persons in a couple only family,Persons who are asset resilient for at least 3 months,47,83.7
1999,Saskatchewan,Persons in a couple only family,Persons who are asset resilient for at least 6 months,47,76.3
1999,Saskatchewan,Persons in a couple with children family,Persons who are asset resilient for at least 1 month,47,81.3
1999,Saskatchewan,Persons in a couple with children family,Persons who are asset resilient for at least 3 months,47,68.7
1999,Saskatchewan,Persons in a couple with children family,Persons who are asset resilient for at least 6 months,47,57.7
1999,Saskatchewan,Persons in a lone-parent family,Persons who are asset resilient for at least 1 month,47,37.1
1999,Saskatchewan,Persons in a lone-parent family,Persons who are asset resilient for at least 3 months,47,26.4
1999,Saskatchewan,Persons in a lone-parent family,Persons who are asset resilient for at least 6 months,47,22.8
1999,Saskatchewan,Persons in an other economic family type,Persons who are asset resilient for at least 1 month,47,85.9
1999,Saskatchewan,Persons in an other economic family type,Persons who are asset resilient for at least 3 months,47,76.4
1999,Saskatchewan,Persons in an other economic family type,Persons who are asset resilient for at least 6 months,47,68.8
1999,Saskatchewan,Persons not in an economic family,Persons who are asset resilient for at least 1 month,47,70.1
1999,Saskatchewan,Persons not in an economic family,Persons who are asset resilient for at least 3 months,47,62.8
1999,Saskatchewan,Persons not in an economic family,Persons who are asset resilient for at least 6 months,47,51.4
1999,Alberta,Persons all ages and family types,Persons who are asset resilient for at least 1 month,48,76.3
1999,Alberta,Persons all ages and family types,Persons who are asset resilient for at least 3 months,48,66.6
1999,Alberta,Persons all ages and family types,Persons who are asset resilient for at least 6 months,48,56.6
1999,Alberta,Persons under 18 years old,Persons who are asset resilient for at least 1 month,48,70.0
1999,Alberta,Persons under 18 years old,Persons who are asset resilient for at least 3 months,48,60.1
1999,Alberta,Persons under 18 years old,Persons who are asset resilient for at least 6 months,48,49.3
1999,Alberta,Persons 18 to 64 years old,Persons who are asset resilient for at least 1 month,48,77.4
1999,Alberta,Persons 18 to 64 years old,Persons who are asset resilient for at least 3 months,48,66.9
1999,Alberta,Persons 18 to 64 years old,Persons who are asset resilient for at least 6 months,48,57.0
1999,Alberta,Persons 65 years and older,Persons who are asset resilient for at least 1 month,48,86.5
1999,Alberta,Persons 65 years and older,Persons who are asset resilient for at least 3 months,48,81.9
1999,Alberta,Persons 65 years and older,Persons who are asset resilient for at least 6 months,48,74.5
1999,Alberta,Persons in an economic family,Persons who are asset resilient for at least 1 month,48,76.9
1999,Alberta,Persons in an economic family,Persons who are asset resilient for at least 3 months,48,67.4
1999,Alberta,Persons in an economic family,Persons who are asset resilient for at least 6 months,48,57.7
1999,Alberta,Persons in a couple only family,Persons who are asset resilient for at least 1 month,48,89.2
1999,Alberta,Persons in a couple only family,Persons who are asset resilient for at least 3 months,48,80.2
1999,Alberta,Persons in a couple only family,Persons who are asset resilient for at least 6 months,48,71.8
1999,Alberta,Persons in a couple with children family,Persons who are asset resilient for at least 1 month,48,75.5
1999,Alberta,Persons in a couple with children family,Persons who are asset resilient for at least 3 months,48,66.4
1999,Alberta,Persons in a couple with children family,Persons who are asset resilient for at least 6 months,48,55.8
1999,Alberta,Persons in a lone-parent family,Persons who are asset resilient for at least 1 month,48,44.9
1999,Alberta,Persons in a lone-parent family,Persons who are asset resilient for at least 3 months,48,33.4
1999,Alberta,Persons in a lone-parent family,Persons who are asset resilient for at least 6 months,48,24.1
1999,Alberta,Persons in an other economic family type,Persons who are asset resilient for at least 1 month,48,77.7
1999,Alberta,Persons in an other economic family type,Persons who are asset resilient for at least 3 months,48,67.4
1999,Alberta,Persons in an other economic family type,Persons who are asset resilient for at least 6 months,48,58.7
1999,Alberta,Persons not in an economic family,Persons who are asset resilient for at least 1 month,48,72.6
1999,Alberta,Persons not in an economic family,Persons who are asset resilient for at least 3 months,48,60.8
1999,Alberta,Persons not in an economic family,Persons who are asset resilient for at least 6 months,48,49.8
1999,British Columbia,Persons all ages and family types,Persons who are asset resilient for at least 1 month,59,75.0
1999,British Columbia,Persons all ages and family types,Persons who are asset resilient for at least 3 months,59,63.9
1999,British Columbia,Persons all ages and family types,Persons who are asset resilient for at least 6 months,59,55.3
1999,British Columbia,Persons under 18 years old,Persons who are asset resilient for at least 1 month,59,66.8
1999,British Columbia,Persons under 18 years old,Persons who are asset resilient for at least 3 months,59,55.6
1999,British Columbia,Persons under 18 years old,Persons who are asset resilient for at least 6 months,59,46.0
1999,British Columbia,Persons 18 to 64 years old,Persons who are asset resilient for at least 1 month,59,75.6
1999,British Columbia,Persons 18 to 64 years old,Persons who are asset resilient for at least 3 months,59,63.8
1999,British Columbia,Persons 18 to 64 years old,Persons who are asset resilient for at least 6 months,59,55.1
1999,British Columbia,Persons 65 years and older,Persons who are asset resilient for at least 1 month,59,86.5
1999,British Columbia,Persons 65 years and older,Persons who are asset resilient for at least 3 months,59,79.3
1999,British Columbia,Persons 65 years and older,Persons who are asset resilient for at least 6 months,59,72.7
1999,British Columbia,Persons in an economic family,Persons who are asset resilient for at least 1 month,59,76.1
1999,British Columbia,Persons in an economic family,Persons who are asset resilient for at least 3 months,59,65.1
